file_in_external	bytes	codex_wrote_at	how_you_read_it	read_this_instead
PF_A2_DAILYREWARD_CODEC_CORRECTION.tsv	62349	2026-09-01 18:24	full copy	PF_A2_DAILYREWARD_CODEC_CORRECTION.tsv
PF_A2_DAILY_ACTIVITY_NONWIRE_DELTA.tsv	8961	2026-08-30 00:29	full copy	PF_A2_DAILY_ACTIVITY_NONWIRE_DELTA.tsv
PF_A2_EMBEDDED_CHILD_COMPOSITION_DELTA.tsv	4275	2026-08-30 01:16	full copy	PF_A2_EMBEDDED_CHILD_COMPOSITION_DELTA.tsv
PF_A2_EXPRESS_GET_CODEC_CORRECTION.tsv	48963	2026-09-01 18:24	full copy	PF_A2_EXPRESS_GET_CODEC_CORRECTION.tsv
PF_A2_INSTANCE_REFRESH_CODEC_CORRECTION.tsv	41372	2026-09-01 18:24	full copy	PF_A2_INSTANCE_REFRESH_CODEC_CORRECTION.tsv
PF_A2_INVALID_PARAMETER_NONWIRE_DELTA.tsv	32429	2026-08-29 23:21	full copy	PF_A2_INVALID_PARAMETER_NONWIRE_DELTA.tsv
PF_A2_ITEMATTR_CODEC_CORRECTION.tsv	131177	2026-09-01 18:24	full copy	PF_A2_ITEMATTR_CODEC_CORRECTION.tsv
PF_A2_ITEMBAG_CODEC_CORRECTION.tsv	2149519	2026-09-01 18:24	summary only (over 2 MB)	PF_A2_ITEMBAG_CODEC_CORRECTION.SLICE.md
PF_A2_ITEMVARY_CODEC_CORRECTION.tsv	39754	2026-09-01 18:24	full copy	PF_A2_ITEMVARY_CODEC_CORRECTION.tsv
PF_A2_ITERATOR_HELPERS_NONWIRE_DELTA.tsv	24350	2026-08-29 23:22	full copy	PF_A2_ITERATOR_HELPERS_NONWIRE_DELTA.tsv
PF_A2_PET_ACTIVITY_CORRECTION.tsv	116143	2026-09-01 18:24	full copy	PF_A2_PET_ACTIVITY_CORRECTION.tsv
PF_A2_POOL_46BAA0_READER_DELTA.tsv	2205	2026-08-29 21:24	full copy	PF_A2_POOL_46BAA0_READER_DELTA.tsv
PF_A2_POOL_46F4D0_DELTA.tsv	21340	2026-08-29 21:08	full copy	PF_A2_POOL_46F4D0_DELTA.tsv
PF_A2_POOL_638690_DELTA.tsv	21365	2026-08-29 20:48	full copy	PF_A2_POOL_638690_DELTA.tsv
PF_A2_POOL_661FA0_DELTA.tsv	13126	2026-08-29 20:51	full copy	PF_A2_POOL_661FA0_DELTA.tsv
PF_A2_POST_V1_STATIC_DELTA.tsv	20985	2026-08-29 20:29	full copy	PF_A2_POST_V1_STATIC_DELTA.tsv
PF_A2_QUEST_CODEC_CORRECTION.tsv	1047985	2026-09-01 18:24	full copy	PF_A2_QUEST_CODEC_CORRECTION.tsv
PF_A2_SERIALIZER_SLOT34_DELTA.tsv	5335314	2026-08-29 21:08	summary only (over 2 MB)	PF_A2_SERIALIZER_SLOT34_DELTA.SLICE.md
PF_A2_STRING_WIRE_TAG_DELTA.tsv	201157	2026-08-29 20:29	full copy	PF_A2_STRING_WIRE_TAG_DELTA.tsv
PF_A2_SYSTEM_GIFT_CODEC_CORRECTION.tsv	49866	2026-09-01 18:24	full copy	PF_A2_SYSTEM_GIFT_CODEC_CORRECTION.tsv
PF_A2_TARGETS_6564E0_656C50_6FDB40_NONWIRE_DELTA.tsv	19914	2026-08-29 23:21	full copy	PF_A2_TARGETS_6564E0_656C50_6FDB40_NONWIRE_DELTA.tsv
PF_A2_TARGET_656690_NONWIRE_DELTA.tsv	2744	2026-08-29 23:21	full copy	PF_A2_TARGET_656690_NONWIRE_DELTA.tsv
PF_A2_V5_INVALID_PARAMETER_NONWIRE_DELTA.tsv	14524	2026-08-30 03:03	full copy	PF_A2_V5_INVALID_PARAMETER_NONWIRE_DELTA.tsv
PF_A2_WINE_CODEC_CORRECTION.tsv	129907	2026-09-01 18:24	full copy	PF_A2_WINE_CODEC_CORRECTION.tsv
PF_A3_SERIALIZER_SLOT34_DELTA.tsv	6251	2026-08-29 21:08	full copy	PF_A3_SERIALIZER_SLOT34_DELTA.tsv
PF_A3_TAG_CENSUS_DELTA.tsv	1503	2026-08-29 20:29	full copy	PF_A3_TAG_CENSUS_DELTA.tsv
PF_A6_VTABLE_CANDIDATE_DELTA.md	3936	2026-08-29 20:22	full copy	PF_A6_VTABLE_CANDIDATE_DELTA.md
PF_A6_VTABLE_CANDIDATE_DELTA.tsv	95638	2026-08-29 20:22	full copy	PF_A6_VTABLE_CANDIDATE_DELTA.tsv
PF_ACTOR_RELATION_INTERACTION_GRAPH.md	7102	2026-09-01 12:53	full copy	PF_ACTOR_RELATION_INTERACTION_GRAPH.md
PF_ACTOR_RELATION_INTERACTION_GRAPH.pair.json	556	2026-09-01 12:53	full copy	PF_ACTOR_RELATION_INTERACTION_GRAPH.pair.json
PF_ACTOR_RELATION_INTERACTION_GRAPH.tsv	104190	2026-09-01 12:53	full copy	PF_ACTOR_RELATION_INTERACTION_GRAPH.tsv
PF_ATTR_CLASS_CENSUS.md	1972	2026-09-01 18:24	full copy	PF_ATTR_CLASS_CENSUS.md
PF_ATTR_CLASS_CENSUS.tsv	120388	2026-09-01 18:24	full copy	PF_ATTR_CLASS_CENSUS.tsv
PF_ATTR_COMPUTED_SEMANTICS.tsv	22731	2026-09-01 18:24	full copy	PF_ATTR_COMPUTED_SEMANTICS.tsv
PF_ATTR_CONFLICTS.tsv	3531510	2026-09-01 18:24	summary only (over 2 MB)	PF_ATTR_CONFLICTS.SLICE.md
PF_ATTR_CONTAINER_SEMANTICS.tsv	136417	2026-09-01 18:24	full copy	PF_ATTR_CONTAINER_SEMANTICS.tsv
PF_ATTR_DATA_BINDINGS.tsv	53723	2026-09-01 18:24	full copy	PF_ATTR_DATA_BINDINGS.tsv
PF_ATTR_FIELD_SEMANTICS.md	8813	2026-09-01 18:24	full copy	PF_ATTR_FIELD_SEMANTICS.md
PF_ATTR_FIELD_SEMANTICS.tsv	1339980	2026-09-01 18:24	full copy	PF_ATTR_FIELD_SEMANTICS.tsv
PF_ATTR_FIELD_VALIDATION_DELTA.md	7959	2026-08-30 18:45	full copy	PF_ATTR_FIELD_VALIDATION_DELTA.md
PF_ATTR_FIELD_VALIDATION_DELTA.tsv	4552	2026-08-30 18:45	full copy	PF_ATTR_FIELD_VALIDATION_DELTA.tsv
PF_ATTR_FOR_SERVER.md	126593	2026-09-01 18:24	full copy	PF_ATTR_FOR_SERVER.md
PF_ATTR_GENERATION_MANIFEST.json	8204	2026-09-01 18:24	full copy	PF_ATTR_GENERATION_MANIFEST.json
PF_ATTR_INHERITANCE.tsv	40114	2026-09-01 18:24	full copy	PF_ATTR_INHERITANCE.tsv
PF_ATTR_NAME_COLOR_SELECTOR.tsv	37350	2026-09-01 18:24	full copy	PF_ATTR_NAME_COLOR_SELECTOR.tsv
PF_ATTR_PROBE_REQUESTS.tsv	151	2026-09-01 18:24	full copy	PF_ATTR_PROBE_REQUESTS.tsv
PF_ATTR_QUARANTINE.tsv	359	2026-09-01 18:24	full copy	PF_ATTR_QUARANTINE.tsv
PF_ATTR_QUEST_MARK_SELECTOR.tsv	52137	2026-09-01 18:24	full copy	PF_ATTR_QUEST_MARK_SELECTOR.tsv
PF_ATTR_REMAINING_CODEC_CENSUS.md	2593	2026-09-01 18:24	full copy	PF_ATTR_REMAINING_CODEC_CENSUS.md
PF_ATTR_REMAINING_CODEC_CENSUS.tsv	135056	2026-09-01 18:24	full copy	PF_ATTR_REMAINING_CODEC_CENSUS.tsv
PF_ATTR_ROLE_DISCRIMINATOR.tsv	42626	2026-09-01 18:24	full copy	PF_ATTR_ROLE_DISCRIMINATOR.tsv
PF_ATTR_RUNTIME_FIELDS.tsv	20578	2026-09-01 18:24	full copy	PF_ATTR_RUNTIME_FIELDS.tsv
PF_ATTR_SEMANTIC_DELTA.tsv	856188	2026-09-01 18:24	full copy	PF_ATTR_SEMANTIC_DELTA.tsv
PF_ATTR_SEMANTIC_REPORT.md	44840	2026-09-01 18:24	full copy	PF_ATTR_SEMANTIC_REPORT.md
PF_ATTR_UI_BINDINGS.tsv	12964	2026-09-01 18:24	full copy	PF_ATTR_UI_BINDINGS.tsv
PF_ATTR_UNRESOLVED.tsv	2355364	2026-09-01 18:24	summary only (over 2 MB)	PF_ATTR_UNRESOLVED.SLICE.md
PF_CAPTURE_BRANCH_SHAPES_20260830.md	5728	2026-08-29 20:28	full copy	PF_CAPTURE_BRANCH_SHAPES_20260830.md
PF_CAPTURE_BRANCH_SHAPES_20260830.tsv	33796	2026-08-29 20:28	full copy	PF_CAPTURE_BRANCH_SHAPES_20260830.tsv
PF_CAPTURE_DELTA_20260830.inventory.tsv	127368	2026-08-29 20:30	full copy	PF_CAPTURE_DELTA_20260830.inventory.tsv
PF_CAPTURE_DELTA_20260830.md	4156	2026-08-29 20:30	full copy	PF_CAPTURE_DELTA_20260830.md
PF_CAPTURE_DELTA_20260830.validation.tsv	6462	2026-08-29 20:30	full copy	PF_CAPTURE_DELTA_20260830.validation.tsv
PF_COMBAT_LETHAL_TAIL_DELTA.md	12538	2026-09-01 14:00	full copy	PF_COMBAT_LETHAL_TAIL_DELTA.md
PF_COMBAT_LETHAL_TAIL_DELTA.pair.json	1269	2026-09-01 14:00	full copy	PF_COMBAT_LETHAL_TAIL_DELTA.pair.json
PF_COMBAT_LETHAL_TAIL_DELTA.tsv	43449	2026-09-01 14:00	full copy	PF_COMBAT_LETHAL_TAIL_DELTA.tsv
PF_COMBAT_LIFECYCLE.md	2423	2026-09-01 18:24	full copy	PF_COMBAT_LIFECYCLE.md
PF_COMBAT_LIFECYCLE.tsv	41063	2026-09-01 18:24	full copy	PF_COMBAT_LIFECYCLE.tsv
PF_COMPILER_RUNTIME_TARGET_6564_CLOSURE.md	11770	2026-08-29 23:21	full copy	PF_COMPILER_RUNTIME_TARGET_6564_CLOSURE.md
PF_CRITICAL_ARTIFACT_AUTHORITY.json	33430	2026-09-01 18:30	full copy	PF_CRITICAL_ARTIFACT_AUTHORITY.json
PF_DAILY_ACTIVITY_CLOSURE.md	4236	2026-08-30 00:29	full copy	PF_DAILY_ACTIVITY_CLOSURE.md
PF_DATA_EVIDENCE.md	1390	2026-08-22 14:50	full copy	PF_DATA_EVIDENCE.md
PF_DATA_EVIDENCE.tsv	59258	2026-08-22 14:50	full copy	PF_DATA_EVIDENCE.tsv
PF_DUMP_REQUEST.md	14814	2026-08-22 14:53	full copy	PF_DUMP_REQUEST.md
PF_EMBEDDED_CHILD_COMPOSITION.md	4771	2026-08-30 01:16	full copy	PF_EMBEDDED_CHILD_COMPOSITION.md
PF_ERRATUM_TWO_IMAGES.md	2028	2026-08-22 14:50	full copy	PF_ERRATUM_TWO_IMAGES.md
PF_EXTERNAL_REPORT.md	48750	2026-08-22 14:57	full copy	PF_EXTERNAL_REPORT.md
PF_FIELD_VALIDATION.md	5487	2026-08-23 07:22	full copy	PF_FIELD_VALIDATION.md
PF_FIELD_VALIDATION.tsv	72849	2026-08-23 07:22	full copy	PF_FIELD_VALIDATION.tsv
PF_GM_PLUGIN_GATE.md	17377	2026-09-01 07:17	full copy	PF_GM_PLUGIN_GATE.md
PF_GM_PLUGIN_GATE.pair.json	777	2026-09-01 07:17	full copy	PF_GM_PLUGIN_GATE.pair.json
PF_GM_PLUGIN_GATE.tsv	27050	2026-09-01 07:17	full copy	PF_GM_PLUGIN_GATE.tsv
PF_GROUND_DROP_LIFETIME.md	21237	2026-09-01 07:59	full copy	PF_GROUND_DROP_LIFETIME.md
PF_GROUND_DROP_LIFETIME.tsv	61979	2026-09-01 07:59	full copy	PF_GROUND_DROP_LIFETIME.tsv
PF_GROUND_DROP_PICKUP_CLOSURE.md	14761	2026-09-01 15:37	full copy	PF_GROUND_DROP_PICKUP_CLOSURE.md
PF_GROUND_DROP_PICKUP_CLOSURE.pair.json	4074	2026-09-01 15:37	full copy	PF_GROUND_DROP_PICKUP_CLOSURE.pair.json
PF_GROUND_DROP_PICKUP_CLOSURE.tsv	30672	2026-09-01 15:37	full copy	PF_GROUND_DROP_PICKUP_CLOSURE.tsv
PF_GROUND_DROP_TRANSPORT.md	2779	2026-09-01 18:24	full copy	PF_GROUND_DROP_TRANSPORT.md
PF_GROUND_DROP_TRANSPORT.tsv	26924	2026-09-01 18:24	full copy	PF_GROUND_DROP_TRANSPORT.tsv
PF_HANDOFF_V1.md	31872	2026-08-22 15:00	full copy	PF_HANDOFF_V1.md
PF_INPUT_INVENTORY.md	1214	2026-08-22 15:00	full copy	PF_INPUT_INVENTORY.md
PF_INPUT_INVENTORY.tsv	364080	2026-08-22 15:00	full copy	PF_INPUT_INVENTORY.tsv
PF_ITERATOR_HELPERS_NONWIRE.md	8867	2026-08-29 23:22	full copy	PF_ITERATOR_HELPERS_NONWIRE.md
PF_MONSTER_COLOR_GATE.md	40551	2026-09-01 08:00	full copy	PF_MONSTER_COLOR_GATE.md
PF_MONSTER_COLOR_GATE.pair.json	529	2026-09-01 08:00	full copy	PF_MONSTER_COLOR_GATE.pair.json
PF_MONSTER_COLOR_GATE.tsv	110234	2026-09-01 08:00	full copy	PF_MONSTER_COLOR_GATE.tsv
PF_MONSTER_COLOR_MECHANISM_JOIN.md	8372	2026-09-01 09:45	full copy	PF_MONSTER_COLOR_MECHANISM_JOIN.md
PF_MONSTER_COLOR_MECHANISM_JOIN.tsv	13134	2026-09-01 09:45	full copy	PF_MONSTER_COLOR_MECHANISM_JOIN.tsv
PF_MONSTER_COLOR_WIRE_CONTROL.md	6473	2026-09-01 09:35	full copy	PF_MONSTER_COLOR_WIRE_CONTROL.md
PF_MONSTER_COLOR_WIRE_CONTROL.tsv	27191	2026-09-01 09:35	full copy	PF_MONSTER_COLOR_WIRE_CONTROL.tsv
PF_MONSTER_PRESENTATION.md	16783	2026-09-01 18:24	full copy	PF_MONSTER_PRESENTATION.md
PF_MONSTER_PRESENTATION.tsv	20875512	2026-09-01 18:24	summary only (over 2 MB)	PF_MONSTER_PRESENTATION.SLICE.md
PF_MONSTER_ROLE_DATA_CONTROLS.md	7838	2026-09-01 11:37	full copy	PF_MONSTER_ROLE_DATA_CONTROLS.md
PF_MONSTER_ROLE_DATA_CONTROLS.pair.json	739	2026-09-01 11:37	full copy	PF_MONSTER_ROLE_DATA_CONTROLS.pair.json
PF_MONSTER_ROLE_DATA_CONTROLS.tsv	45536	2026-09-01 11:37	full copy	PF_MONSTER_ROLE_DATA_CONTROLS.tsv
PF_POOL_46BAA0_BLOCKER.md	3610	2026-08-29 21:24	full copy	PF_POOL_46BAA0_BLOCKER.md
PF_POOL_46F4D0_CLOSURE.md	4054	2026-08-29 21:08	full copy	PF_POOL_46F4D0_CLOSURE.md
PF_POOL_638690_CLOSURE.md	6015	2026-08-29 20:48	full copy	PF_POOL_638690_CLOSURE.md
PF_POOL_661FA0_CLOSURE.md	12524	2026-08-29 20:51	full copy	PF_POOL_661FA0_CLOSURE.md
PF_POST_V1_PRIORITY_DELTA.tsv	1456	2026-08-29 20:29	full copy	PF_POST_V1_PRIORITY_DELTA.tsv
PF_POST_V1_STATIC_CLOSURE.md	5611	2026-08-29 20:29	full copy	PF_POST_V1_STATIC_CLOSURE.md
PF_PRIORITY_COMPILER_TARGET_6564_DELTA.tsv	4710	2026-08-29 23:21	full copy	PF_PRIORITY_COMPILER_TARGET_6564_DELTA.tsv
PF_PRIORITY_DAILY_ACTIVITY_DELTA.tsv	1247	2026-08-30 00:29	full copy	PF_PRIORITY_DAILY_ACTIVITY_DELTA.tsv
PF_PRIORITY_EMBEDDED_CHILD_DELTA.tsv	2777	2026-08-30 01:16	full copy	PF_PRIORITY_EMBEDDED_CHILD_DELTA.tsv
PF_PRIORITY_POOL_46F4D0_DELTA.tsv	2256	2026-08-29 21:08	full copy	PF_PRIORITY_POOL_46F4D0_DELTA.tsv
PF_PRIORITY_POOL_638690_DELTA.tsv	2242	2026-08-29 20:48	full copy	PF_PRIORITY_POOL_638690_DELTA.tsv
PF_PRIORITY_POOL_661FA0_DELTA.tsv	1884	2026-08-29 20:51	full copy	PF_PRIORITY_POOL_661FA0_DELTA.tsv
PF_PRIORITY_SERIALIZER_SLOT34_DELTA.tsv	30483	2026-08-29 21:08	full copy	PF_PRIORITY_SERIALIZER_SLOT34_DELTA.tsv
PF_PRIORITY_STATIC_TYPE_INFO_DELTA.tsv	2720	2026-08-30 01:35	full copy	PF_PRIORITY_STATIC_TYPE_INFO_DELTA.tsv
PF_PRIORITY_V5_INVALID_PARAMETER_DELTA.tsv	1678	2026-08-30 03:03	full copy	PF_PRIORITY_V5_INVALID_PARAMETER_DELTA.tsv
PF_PROTOCOL_PRIORITY.md	30541	2026-08-22 14:56	full copy	PF_PROTOCOL_PRIORITY.md
PF_PROTOCOL_PRIORITY.tsv	132502	2026-08-22 14:56	full copy	PF_PROTOCOL_PRIORITY.tsv
PF_PROTOCOL_REGISTRY.md	4267	2026-08-22 14:53	full copy	PF_PROTOCOL_REGISTRY.md
PF_PROTOCOL_REGISTRY.tsv	89506	2026-08-22 14:53	full copy	PF_PROTOCOL_REGISTRY.tsv
PF_QUEST_MARK_EVENT_CENSUS.md	8833	2026-09-01 10:31	full copy	PF_QUEST_MARK_EVENT_CENSUS.md
PF_QUEST_MARK_EVENT_CENSUS.tsv	29193	2026-09-01 10:31	full copy	PF_QUEST_MARK_EVENT_CENSUS.tsv
PF_QUEST_MARK_LIFECYCLE.md	13715	2026-09-01 10:45	full copy	PF_QUEST_MARK_LIFECYCLE.md
PF_QUEST_MARK_LIFECYCLE.tsv	23289	2026-09-01 10:45	full copy	PF_QUEST_MARK_LIFECYCLE.tsv
PF_QUEST_MARK_RESOURCE_RESOLVER.md	8165	2026-09-01 10:43	full copy	PF_QUEST_MARK_RESOURCE_RESOLVER.md
PF_QUEST_MARK_RESOURCE_RESOLVER.tsv	44435	2026-09-01 10:43	full copy	PF_QUEST_MARK_RESOURCE_RESOLVER.tsv
PF_RUNTIME_CLASSMAP.md	2923	2026-08-22 14:40	full copy	PF_RUNTIME_CLASSMAP.md
PF_RUNTIME_CLASSMAP.tsv	1947472	2026-08-22 14:40	summary only (over 2 MB)	PF_RUNTIME_CLASSMAP.SLICE.md
PF_SERIALIZER_FIELDS.md	29968	2026-08-22 14:54	full copy	PF_SERIALIZER_FIELDS.md
PF_SERIALIZER_FIELDS.tsv	25195473	2026-08-22 14:53	summary only (over 2 MB)	PF_SERIALIZER_FIELDS.SLICE.md
PF_SERIALIZER_SLOT34_CORRECTION.md	6029	2026-08-29 21:08	full copy	PF_SERIALIZER_SLOT34_CORRECTION.md
PF_SERIALIZER_SLOT34_ROOTS.tsv	15626	2026-08-29 21:08	full copy	PF_SERIALIZER_SLOT34_ROOTS.tsv
PF_STATIC_TYPE_INFO_CLASSMAP.md	1698	2026-08-30 00:29	full copy	PF_STATIC_TYPE_INFO_CLASSMAP.md
PF_STATIC_TYPE_INFO_CLASSMAP.tsv	1992	2026-08-30 00:29	full copy	PF_STATIC_TYPE_INFO_CLASSMAP.tsv
PF_TAG_CENSUS.tsv	1985	2026-08-22 14:54	full copy	PF_TAG_CENSUS.tsv
PF_TARGETS_694790_6B3440_A2_DELTA.tsv	18047	2026-08-29 21:48	full copy	PF_TARGETS_694790_6B3440_A2_DELTA.tsv
PF_TARGETS_694790_6B3440_NONWIRE.md	10629	2026-08-29 21:48	full copy	PF_TARGETS_694790_6B3440_NONWIRE.md
PF_TARGET_652A30_A2_DELTA.tsv	9295	2026-08-29 21:35	full copy	PF_TARGET_652A30_A2_DELTA.tsv
PF_TARGET_652A30_NONWIRE.md	8762	2026-08-29 21:35	full copy	PF_TARGET_652A30_NONWIRE.md
PF_V1_MANIFEST.md	4127	2026-08-22 15:04	full copy	PF_V1_MANIFEST.md
PF_V2_EFFECTIVE_STATUS.md	2948	2026-08-29 22:07	full copy	PF_V2_EFFECTIVE_STATUS.md
PF_V2_FIELD_VALIDATION.md	7685	2026-08-29 22:09	full copy	PF_V2_FIELD_VALIDATION.md
PF_V2_FIELD_VALIDATION.tsv	22058	2026-08-29 22:09	full copy	PF_V2_FIELD_VALIDATION.tsv
PF_V2_HANDOFF.md	12231	2026-08-29 22:08	full copy	PF_V2_HANDOFF.md
PF_V2_MANIFEST.md	13366	2026-08-29 22:14	full copy	PF_V2_MANIFEST.md
PF_V2_P1_OPEN.tsv	56019	2026-08-29 22:07	full copy	PF_V2_P1_OPEN.tsv
PF_V3_EFFECTIVE_STATUS.md	3281	2026-08-29 23:26	full copy	PF_V3_EFFECTIVE_STATUS.md
PF_V3_FIELD_VALIDATION.md	8720	2026-08-29 23:36	full copy	PF_V3_FIELD_VALIDATION.md
PF_V3_HANDOFF.md	10762	2026-08-29 23:29	full copy	PF_V3_HANDOFF.md
PF_V3_MANIFEST.md	16871	2026-08-29 23:46	full copy	PF_V3_MANIFEST.md
PF_V3_P1_OPEN.tsv	54699	2026-08-29 23:26	full copy	PF_V3_P1_OPEN.tsv
PF_V4_EFFECTIVE_STATUS.md	3140	2026-08-30 01:35	full copy	PF_V4_EFFECTIVE_STATUS.md
PF_V4_FIELD_VALIDATION.md	8423	2026-08-30 01:18	full copy	PF_V4_FIELD_VALIDATION.md
PF_V4_HANDOFF.md	5654	2026-08-30 02:06	full copy	PF_V4_HANDOFF.md
PF_V4_MANIFEST.md	20919	2026-08-30 02:06	full copy	PF_V4_MANIFEST.md
PF_V4_P1_OPEN.tsv	54668	2026-08-30 01:35	full copy	PF_V4_P1_OPEN.tsv
PF_V5_EFFECTIVE_STATUS.md	3407	2026-08-30 03:41	full copy	PF_V5_EFFECTIVE_STATUS.md
PF_V5_FIELD_VALIDATION.md	7101	2026-08-30 03:54	full copy	PF_V5_FIELD_VALIDATION.md
PF_V5_INVALID_PARAMETER_CLOSURE.md	8563	2026-08-30 03:03	full copy	PF_V5_INVALID_PARAMETER_CLOSURE.md
PF_V5_P1_OPEN.tsv	53841	2026-08-30 03:41	full copy	PF_V5_P1_OPEN.tsv
pf_attr_checkpoint_reader.py	26393	2026-08-31 08:44	full copy	pf_attr_checkpoint_reader.py
pf_build_compiler_runtime_target_6564_closure.py	106505	2026-08-29 23:18	full copy	pf_build_compiler_runtime_target_6564_closure.py
pf_build_daily_activity_closure.py	55421	2026-08-30 00:28	full copy	pf_build_daily_activity_closure.py
pf_build_embedded_child_composition.py	69970	2026-08-30 01:15	full copy	pf_build_embedded_child_composition.py
pf_build_iterator_helpers_nonwire.py	59836	2026-08-29 23:03	full copy	pf_build_iterator_helpers_nonwire.py
pf_build_pool_46baa0_reader_delta.py	26042	2026-08-29 21:23	full copy	pf_build_pool_46baa0_reader_delta.py
pf_build_pool_46f4d0_closure.py	54835	2026-08-29 21:08	full copy	pf_build_pool_46f4d0_closure.py
pf_build_pool_638690_closure.py	58979	2026-08-29 20:48	full copy	pf_build_pool_638690_closure.py
pf_build_pool_661fa0_closure.py	53458	2026-08-29 20:50	full copy	pf_build_pool_661fa0_closure.py
pf_build_post_v1_static_closure.py	34431	2026-08-29 20:28	full copy	pf_build_post_v1_static_closure.py
pf_build_priority.py	20550	2026-08-22 14:56	full copy	pf_build_priority.py
pf_build_serializer_slot34_correction.py	58135	2026-08-29 21:08	full copy	pf_build_serializer_slot34_correction.py
pf_build_static_type_info_classmap.py	29191	2026-08-30 00:28	full copy	pf_build_static_type_info_classmap.py
pf_build_string_tag_correction.py	22277	2026-08-29 20:29	full copy	pf_build_string_tag_correction.py
pf_build_target_652a30_nonwire.py	36708	2026-08-29 21:36	full copy	pf_build_target_652a30_nonwire.py
pf_build_targets_694790_6b3440_nonwire.py	31872	2026-08-29 21:48	full copy	pf_build_targets_694790_6b3440_nonwire.py
pf_build_v1_manifest.py	17420	2026-08-22 15:04	full copy	pf_build_v1_manifest.py
pf_build_v2_effective_status.py	18825	2026-08-29 22:07	full copy	pf_build_v2_effective_status.py
pf_build_v2_manifest.py	26674	2026-08-29 22:11	full copy	pf_build_v2_manifest.py
pf_build_v3_effective_status.py	34362	2026-08-29 23:38	full copy	pf_build_v3_effective_status.py
pf_build_v3_manifest.py	58012	2026-08-29 23:44	full copy	pf_build_v3_manifest.py
pf_build_v4_effective_status.py	65016	2026-08-30 01:34	full copy	pf_build_v4_effective_status.py
pf_build_v4_manifest.py	91165	2026-08-30 02:03	full copy	pf_build_v4_manifest.py
pf_build_v5_effective_status.py	71086	2026-08-30 03:37	full copy	pf_build_v5_effective_status.py
pf_build_v5_invalid_parameter_closure.py	103855	2026-08-30 02:58	full copy	pf_build_v5_invalid_parameter_closure.py
pf_build_v5_manifest.py	102453	2026-08-30 04:15	full copy	pf_build_v5_manifest.py
pf_capture_delta_20260830.py	41935	2026-08-29 20:30	full copy	pf_capture_delta_20260830.py
pf_extract_capture_branch_shapes_20260830.py	40610	2026-08-29 20:27	full copy	pf_extract_capture_branch_shapes_20260830.py
pf_extract_data_evidence.py	14216	2026-08-22 14:49	full copy	pf_extract_data_evidence.py
pf_extract_dump_rtti.py	32164	2026-08-22 14:40	full copy	pf_extract_dump_rtti.py
pf_extract_dump_vtable_candidates.py	34672	2026-08-29 20:21	full copy	pf_extract_dump_vtable_candidates.py
pf_extract_protocol.py	773240	2026-08-22 13:17	full copy	pf_extract_protocol.py
pf_inventory_inputs.py	10567	2026-08-22 13:26	full copy	pf_inventory_inputs.py
pf_rederive_actor_relation_interaction_graph.py	89606	2026-09-01 12:38	full copy	pf_rederive_actor_relation_interaction_graph.py
pf_rederive_attr_capture_validation.py	55831	2026-08-30 18:45	full copy	pf_rederive_attr_capture_validation.py
pf_rederive_attr_semantics.py	1530912	2026-09-01 18:20	full copy	pf_rederive_attr_semantics.py
