delta_key	action	base_file	base_line	base_row_key	message	priority	old_registry_identity_status	new_registry_identity_status	old_registry_identity_missing	new_registry_identity_missing	old_serializer_status	new_serializer_status	old_serializer_blockers	new_serializer_blockers	old_structural_status	new_structural_status	old_blocker	new_blocker	evidence_ticket	closure_scope	source
d2264e62ac7e4f994296a8b2495c59965ffec5a675dbaa9bcd1087a9f8d2e116	CHANGED	PF_PROTOCOL_PRIORITY.tsv	304	e820265efa430205806c3b6ca7fd98fe563e4db3b0b6b18eab8b77cc0ad0f158	CollectionBookAttr	3	KNOWN	KNOWN	N/A	N/A	CLOSED	OPEN	N/A	atomic_target_object_alias_unproved | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved | indirect_call_not_proven_serializer_slot | invalid_parameter_import_call_wire_effect_unproved | invalid_parameter_singleton_register_call_wire_effect_unproved | mutable_chain_target_object_alias_unproved	CLOSED	OPEN	N/A	atomic_target_object_alias_unproved | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved | indirect_call_not_proven_serializer_slot | invalid_parameter_import_call_wire_effect_unproved | invalid_parameter_singleton_register_call_wire_effect_unproved | mutable_chain_target_object_alias_unproved	SLOT34-CORRECTION	STATIC_WIRE_STRUCTURE_ONLY;V1_IMMUTABLE	IMAGE
c3c30ae9f6d9fee4d2bc2059cc3e981e3a49b88c599df05b6cce41cf749b619c	CHANGED	PF_PROTOCOL_PRIORITY.tsv	353	afcaf3b946cc3873e11d75a53cfda57a9fb01f3fbaa4559d66e21ffb9bfada5b	CollectionEffectData	3	KNOWN	KNOWN	N/A	N/A	CLOSED	OPEN	N/A	direct_call_not_proven_serializer | invalid_parameter_import_call_wire_effect_unproved	CLOSED	OPEN	N/A	direct_call_not_proven_serializer | invalid_parameter_import_call_wire_effect_unproved	SLOT34-CORRECTION	STATIC_WIRE_STRUCTURE_ONLY;V1_IMMUTABLE	IMAGE
e4ca0d90aaef4bae75eb0550d325991668fbf9c460c110ce4f0d814cd5d68b9d	CHANGED	PF_PROTOCOL_PRIORITY.tsv	239	60e8aa43ff6b667df7cec44d74d29a67dee37299cd7d7d02d6e3b12e0c3341c0	CrystalPlateAttr	3	KNOWN	KNOWN	N/A	N/A	CLOSED	OPEN	N/A	atomic_target_object_alias_unproved | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved | indirect_call_not_proven_serializer_slot | invalid_parameter_import_call_wire_effect_unproved | mutable_chain_target_object_alias_unproved	CLOSED	OPEN	N/A	atomic_target_object_alias_unproved | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved | indirect_call_not_proven_serializer_slot | invalid_parameter_import_call_wire_effect_unproved | mutable_chain_target_object_alias_unproved	SLOT34-CORRECTION	STATIC_WIRE_STRUCTURE_ONLY;V1_IMMUTABLE	IMAGE
c4d24d899578ad584b3b13e3f81f4aa051f77f9380ea0c893929080434f8e017	CHANGED	PF_PROTOCOL_PRIORITY.tsv	268	ac12381241cec8fcb65d4959c10a9a9ae211737e1017ab91c5044d35011faa7a	DailyActivityState	3	KNOWN	KNOWN	N/A	N/A	CLOSED	OPEN	N/A	direct_call_not_proven_serializer | invalid_parameter_import_call_wire_effect_unproved | invalid_parameter_singleton_register_call_wire_effect_unproved | mutable_chain_target_object_alias_unproved	CLOSED	OPEN	N/A	direct_call_not_proven_serializer | invalid_parameter_import_call_wire_effect_unproved | invalid_parameter_singleton_register_call_wire_effect_unproved | mutable_chain_target_object_alias_unproved	SLOT34-CORRECTION	STATIC_WIRE_STRUCTURE_ONLY;V1_IMMUTABLE	IMAGE
f92bf935c2767c7e1566815269de8f420b5ac06c53fedfd69754473e9d0c5301	CHANGED	PF_PROTOCOL_PRIORITY.tsv	105	a0cde279cb43335c2f9efc781b5e8b7b2ff0267d5b62b388e37f987fff2f7ba8	DailyQuestAttr	2	KNOWN	KNOWN	N/A	N/A	CLOSED	OPEN	N/A	direct_call_not_proven_serializer | invalid_parameter_import_call_wire_effect_unproved | mutable_chain_target_object_alias_unproved	CLOSED	OPEN	N/A	direct_call_not_proven_serializer | invalid_parameter_import_call_wire_effect_unproved | mutable_chain_target_object_alias_unproved	SLOT34-CORRECTION	STATIC_WIRE_STRUCTURE_ONLY;V1_IMMUTABLE	IMAGE
717c242e29396ca874e539161721c218aa1639ddc48bb9fb45a1128718830c98	CHANGED	PF_PROTOCOL_PRIORITY.tsv	192	a40f4ad015a9121d5bb63d9fb057ca798695e10ca6e7c4c01bb91db00a407d6c	DailyRewardBagAttr	3	KNOWN	KNOWN	N/A	N/A	CLOSED	OPEN	N/A	atomic_target_object_alias_unproved | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved | indirect_call_not_proven_serializer_slot | invalid_parameter_import_call_wire_effect_unproved | invalid_parameter_singleton_register_call_wire_effect_unproved | mutable_chain_target_object_alias_unproved	CLOSED	OPEN	N/A	atomic_target_object_alias_unproved | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved | indirect_call_not_proven_serializer_slot | invalid_parameter_import_call_wire_effect_unproved | invalid_parameter_singleton_register_call_wire_effect_unproved | mutable_chain_target_object_alias_unproved	SLOT34-CORRECTION	STATIC_WIRE_STRUCTURE_ONLY;V1_IMMUTABLE	IMAGE
0c773e73092c4f9e7856745686e1949719f969b7f8a3feca3f8ebc4da0f5b095	CHANGED	PF_PROTOCOL_PRIORITY.tsv	14	63f630873f5e777d8923cb195992c7456fb6cfbc90194da860b259847be2b6e7	ExpressBagAttr	3	KNOWN	KNOWN	N/A	N/A	OPEN	OPEN	direct_call_not_proven_serializer	atomic_target_object_alias_unproved | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved | indirect_call_not_proven_serializer_slot | indirect_serializer_direction_unresolved | invalid_parameter_import_call_wire_effect_unproved | invalid_parameter_singleton_register_call_wire_effect_unproved | mutable_pointer_slot_traversal_alias_unproved	OPEN	OPEN	direct_call_not_proven_serializer	atomic_target_object_alias_unproved | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved | indirect_call_not_proven_serializer_slot | indirect_serializer_direction_unresolved | invalid_parameter_import_call_wire_effect_unproved | invalid_parameter_singleton_register_call_wire_effect_unproved | mutable_pointer_slot_traversal_alias_unproved	SLOT34-CORRECTION	STATIC_WIRE_STRUCTURE_ONLY;V1_IMMUTABLE	IMAGE
202d53c91068f5ea0c4b387b54469df909a498b3464cdcc6a80edafab57b9d92	CHANGED	PF_PROTOCOL_PRIORITY.tsv	10	868f4b0634ef35adba2b7eff31bec8ec86998b74c9b86140aae65a97f37d59d4	InstanceRefreshAttr	3	KNOWN	KNOWN	N/A	N/A	CLOSED	OPEN	N/A	direct_call_not_proven_serializer | invalid_parameter_import_call_wire_effect_unproved | mutable_chain_target_object_alias_unproved	CLOSED	OPEN	N/A	direct_call_not_proven_serializer | invalid_parameter_import_call_wire_effect_unproved | mutable_chain_target_object_alias_unproved	SLOT34-CORRECTION	STATIC_WIRE_STRUCTURE_ONLY;V1_IMMUTABLE	IMAGE
a4df344216b09cd9e180bfbfd50b59b1a7eae7387bad692058a40717d9073f1b	CHANGED	PF_PROTOCOL_PRIORITY.tsv	15	023ee16d53c5c3b8556467f6ba325d479717ef3167dbe9e9bb2407c1f7bca9d8	ItemAttr	1	OPEN	OPEN	vtable	vtable | serializer	CLOSED	OPEN	N/A	atomic_target_object_alias_unproved | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved | indirect_call_not_proven_serializer_slot | indirect_serializer_direction_unresolved | registry_serializer_slot34_ambiguous	OPEN	OPEN	registry vtable UNKNOWN	registry vtable UNKNOWN | registry serializer UNKNOWN | atomic_target_object_alias_unproved | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved | indirect_call_not_proven_serializer_slot | indirect_serializer_direction_unresolved | registry_serializer_slot34_ambiguous	SLOT34-CORRECTION	STATIC_WIRE_STRUCTURE_ONLY;V1_IMMUTABLE	IMAGE
efa2470a2f2dfc202d1bd99a12edbda0dabb1ccc077388f99779f4f2b393504d	CHANGED	PF_PROTOCOL_PRIORITY.tsv	16	ea963eda955c9de037d3a63b54697976bfe6c7e5b6b313ccd3f66950170c7ea5	ItemBagAttr	1	KNOWN	KNOWN	N/A	N/A	OPEN	OPEN	direct_call_not_proven_serializer	atomic_target_object_alias_unproved | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved | indirect_call_not_proven_serializer_slot | indirect_serializer_direction_unresolved | invalid_parameter_import_call_wire_effect_unproved | invalid_parameter_singleton_register_call_wire_effect_unproved | mutable_pointer_slot_traversal_alias_unproved	OPEN	OPEN	direct_call_not_proven_serializer	atomic_target_object_alias_unproved | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved | indirect_call_not_proven_serializer_slot | indirect_serializer_direction_unresolved | invalid_parameter_import_call_wire_effect_unproved | invalid_parameter_singleton_register_call_wire_effect_unproved | mutable_pointer_slot_traversal_alias_unproved	SLOT34-CORRECTION	STATIC_WIRE_STRUCTURE_ONLY;V1_IMMUTABLE	IMAGE
f68fea984fdb2be8e0fef906381aaf6c75aa645539d21b6f6217a7fa0bc1654d	CHANGED	PF_PROTOCOL_PRIORITY.tsv	12	9a6227964a2012c257c497f07a2e45def1ae353397f1e964b07f97ff512b033c	ItemBagAttr_Equiped	1	KNOWN	KNOWN	N/A	N/A	OPEN	OPEN	direct_call_not_proven_serializer	atomic_target_object_alias_unproved | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved | indirect_call_not_proven_serializer_slot | indirect_serializer_direction_unresolved | invalid_parameter_import_call_wire_effect_unproved | invalid_parameter_singleton_register_call_wire_effect_unproved | mutable_pointer_slot_traversal_alias_unproved	OPEN	OPEN	direct_call_not_proven_serializer	atomic_target_object_alias_unproved | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved | indirect_call_not_proven_serializer_slot | indirect_serializer_direction_unresolved | invalid_parameter_import_call_wire_effect_unproved | invalid_parameter_singleton_register_call_wire_effect_unproved | mutable_pointer_slot_traversal_alias_unproved	SLOT34-CORRECTION	STATIC_WIRE_STRUCTURE_ONLY;V1_IMMUTABLE	IMAGE
5f83a871bbcf7d2acb778d56e182e172987834308a771c95e97f9ad1f6c801ce	CHANGED	PF_PROTOCOL_PRIORITY.tsv	312	d57469650e24fc8564afc5d4e82268cc92a5b8ef635d5984ef61378d472dda4c	ItemMallBagAttr	1	KNOWN	KNOWN	N/A	N/A	OPEN	OPEN	direct_call_not_proven_serializer	atomic_target_object_alias_unproved | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved | indirect_call_not_proven_serializer_slot | indirect_serializer_direction_unresolved | invalid_parameter_import_call_wire_effect_unproved | invalid_parameter_singleton_register_call_wire_effect_unproved | mutable_pointer_slot_traversal_alias_unproved	OPEN	OPEN	direct_call_not_proven_serializer	atomic_target_object_alias_unproved | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved | indirect_call_not_proven_serializer_slot | indirect_serializer_direction_unresolved | invalid_parameter_import_call_wire_effect_unproved | invalid_parameter_singleton_register_call_wire_effect_unproved | mutable_pointer_slot_traversal_alias_unproved	SLOT34-CORRECTION	STATIC_WIRE_STRUCTURE_ONLY;V1_IMMUTABLE	IMAGE
5e6c117d640f713d30220c92ef4c8f1048d8951a15ce2d91b139742242a6432e	CHANGED	PF_PROTOCOL_PRIORITY.tsv	313	2bcc9ada41b1e529b45658ca9a5e02af508ac25779b622c65e9a37adcbe3e4c5	ItemMallGiftItem	1	KNOWN	KNOWN	N/A	N/A	CLOSED	OPEN	N/A	direct_call_not_proven_serializer | invalid_parameter_import_call_wire_effect_unproved	CLOSED	OPEN	N/A	direct_call_not_proven_serializer | invalid_parameter_import_call_wire_effect_unproved	SLOT34-CORRECTION	STATIC_WIRE_STRUCTURE_ONLY;V1_IMMUTABLE	IMAGE
dce2c7732e82186aa1ce95559aa1886d1e128fd8494ed63b849e2b771f8e2036	CHANGED	PF_PROTOCOL_PRIORITY.tsv	17	0f484f107ffb95c8c902b2c040d0958e2d8b7e63700dc50fba74acb464556b87	ItemVaryAttr	1	KNOWN	KNOWN	N/A	N/A	CLOSED	OPEN	N/A	atomic_target_object_alias_unproved | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved | indirect_call_not_proven_serializer_slot | invalid_parameter_import_call_wire_effect_unproved | mutable_dword_slot_nested_targets_and_alias_unproved	CLOSED	OPEN	N/A	atomic_target_object_alias_unproved | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved | indirect_call_not_proven_serializer_slot | invalid_parameter_import_call_wire_effect_unproved | mutable_dword_slot_nested_targets_and_alias_unproved	SLOT34-CORRECTION	STATIC_WIRE_STRUCTURE_ONLY;V1_IMMUTABLE	IMAGE
8f53b2c864649b9cace6ccc28f0e2791fdaefc262d53afd5b176e193823d4a05	CHANGED	PF_PROTOCOL_PRIORITY.tsv	471	096e4d8ca42172f4521b57a32255e6863f7b27a5c1fd88f50514effaa9a7f56b	NPCAppearAttr	1	KNOWN	KNOWN	N/A	N/A	CLOSED	OPEN	N/A	direct_call_not_proven_serializer | invalid_parameter_import_call_wire_effect_unproved	CLOSED	OPEN	N/A	direct_call_not_proven_serializer | invalid_parameter_import_call_wire_effect_unproved	SLOT34-CORRECTION	STATIC_WIRE_STRUCTURE_ONLY;V1_IMMUTABLE	IMAGE
c99dceb9037791898397336b0788ef1d1281da7f4bb2ec491d146c0de2f390b5	CHANGED	PF_PROTOCOL_PRIORITY.tsv	383	703a555e15c68f6e9b7c62a2c821da48745468c6db25cc7f91504b52b764bf77	PetsData	3	KNOWN	KNOWN	N/A	N/A	CLOSED	OPEN	N/A	atomic_target_object_alias_unproved | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved | indirect_call_not_proven_serializer_slot | invalid_parameter_import_call_wire_effect_unproved | mutable_pointer_slot_traversal_alias_unproved	CLOSED	OPEN	N/A	atomic_target_object_alias_unproved | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved | indirect_call_not_proven_serializer_slot | invalid_parameter_import_call_wire_effect_unproved | mutable_pointer_slot_traversal_alias_unproved	SLOT34-CORRECTION	STATIC_WIRE_STRUCTURE_ONLY;V1_IMMUTABLE	IMAGE
f3ca4d844574d504593dfb73df13f1778fb81bb29d41ed09df9b51ae10a9570a	CHANGED	PF_PROTOCOL_PRIORITY.tsv	385	09e1a0fe780ddc275321e51c49b5808b3a73ed44c3c43090bee2d8919ab63265	PetsMergingData	3	KNOWN	KNOWN	N/A	N/A	CLOSED	OPEN	N/A	atomic_target_object_alias_unproved | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved | indirect_call_not_proven_serializer_slot | invalid_parameter_import_call_wire_effect_unproved | mutable_chain_target_object_alias_unproved	CLOSED	OPEN	N/A	atomic_target_object_alias_unproved | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved | indirect_call_not_proven_serializer_slot | invalid_parameter_import_call_wire_effect_unproved | mutable_chain_target_object_alias_unproved	SLOT34-CORRECTION	STATIC_WIRE_STRUCTURE_ONLY;V1_IMMUTABLE	IMAGE
fb9e43233603934072e8e2b6e6b304ce6b742abbe70fcf053369151c742659d4	CHANGED	PF_PROTOCOL_PRIORITY.tsv	103	75f09d5ac41be544f46064cbe355557d717e0dd4cd26a29520a68a5b6ffe637a	QuestAttr	2	KNOWN	KNOWN	N/A	N/A	CLOSED	OPEN	N/A	direct_call_not_proven_serializer | invalid_parameter_import_call_wire_effect_unproved | invalid_parameter_singleton_register_call_wire_effect_unproved | mutable_chain_target_object_alias_unproved | subcall_direction_unresolved target=0x00467790 proof=caller_mode_value_unproved	CLOSED	OPEN	N/A	direct_call_not_proven_serializer | invalid_parameter_import_call_wire_effect_unproved | invalid_parameter_singleton_register_call_wire_effect_unproved | mutable_chain_target_object_alias_unproved | subcall_direction_unresolved target=0x00467790 proof=caller_mode_value_unproved	SLOT34-CORRECTION	STATIC_WIRE_STRUCTURE_ONLY;V1_IMMUTABLE	IMAGE
967748c573e5b5a81612289adb79f3b46cab90b5bb0ff9432d4469818a74c0ff	CHANGED	PF_PROTOCOL_PRIORITY.tsv	104	70191d169048ac8329f43c6c69bd9025cb9fb8d8253c85c18b2982b478b066f8	QuestMiscAttr	2	KNOWN	KNOWN	N/A	N/A	CLOSED	OPEN	N/A	atomic_target_object_alias_unproved | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved | invalid_parameter_import_call_wire_effect_unproved | invalid_parameter_singleton_register_call_wire_effect_unproved | mutable_dword_slot_nested_targets_and_alias_unproved	CLOSED	OPEN	N/A	atomic_target_object_alias_unproved | direct_call_not_proven_serializer | dynamic_vtable_plus_0x04_target_unresolved | invalid_parameter_import_call_wire_effect_unproved | invalid_parameter_singleton_register_call_wire_effect_unproved | mutable_dword_slot_nested_targets_and_alias_unproved	SLOT34-CORRECTION	STATIC_WIRE_STRUCTURE_ONLY;V1_IMMUTABLE	IMAGE
c86ded8804b03eb733fe1885f60c3b90b51edc4b03d1d755450a5fcb100b6af0	CHANGED	PF_PROTOCOL_PRIORITY.tsv	413	564aaf39fe6748a2d6ab808e9bcb029c4a4752b6c84f4050b8a56622b519469c	ResidentEffectAttr	3	KNOWN	KNOWN	N/A	N/A	CLOSED	OPEN	N/A	direct_call_not_proven_serializer | indirect_call_not_proven_serializer_slot | invalid_parameter_import_call_wire_effect_unproved | mutable_pointer_slot_traversal_alias_unproved	CLOSED	OPEN	N/A	direct_call_not_proven_serializer | indirect_call_not_proven_serializer_slot | invalid_parameter_import_call_wire_effect_unproved | mutable_pointer_slot_traversal_alias_unproved	SLOT34-CORRECTION	STATIC_WIRE_STRUCTURE_ONLY;V1_IMMUTABLE	IMAGE
