delta_key	action	schema_variant	count_semantics	tag	frequency_before	slot34_increment	effective_frequency	lengths	proven_semantics	example_1	example_2	example_3	source
c43c6b92162f676723a1d2dcb6652728ace0cba0f61637c10b721d4313eb82de	CHANGED_FREQUENCY	SINGLETON_56	ADD_TO_EFFECTIVE_BASE	0x48	348	42	390	5+N_bytes	wstring16le; uint32le byte count; N payload bytes; tag included in full wire length	ActorAttr:W:6@file_off=0x00064B31	ActorAttr:R:6@file_off=0x00064C6B	ActorAttr:W:32@file_off=0x000657F9	IMAGE
46dab2819fcf5b4ab631da29583ddc347245df40beab5ea315bd853d885d5856	CANDIDATE_ALTERNATIVE	VTABLE_0x00F0EBB0	DO_NOT_ADD_TO_SINGLETON;ALTERNATIVE_ONLY	0x08	395	4	399	1	UNKNOWN	ItemAttr:W:5@file_off=0x0006B18B	ItemAttr:W:6@file_off=0x0006B19A	ItemAttr:R:6@file_off=0x0006B218	IMAGE
6ebf3e0ab9c691ff2486b8ccb3c84daafb7daba89911e91bc1c7280708a24393	CANDIDATE_ALTERNATIVE	VTABLE_0x00F0EBB0	DO_NOT_ADD_TO_SINGLETON;ALTERNATIVE_ONLY	0x0B	774	2	776	1	UNKNOWN	ItemAttr:W:7@file_off=0x0006B1B5	ItemAttr:R:8@file_off=0x0006B23C	N/A	IMAGE
bc205b0c1a58faa7d48bf0507ce079389ed26d98cdd9ae8c0cf9a9533b1f954e	CANDIDATE_ALTERNATIVE	VTABLE_0x00F0EBB0	DO_NOT_ADD_TO_SINGLETON;ALTERNATIVE_ONLY	0x0F	317	4	321	2	UNKNOWN	ItemAttr:W:3@file_off=0x0006B16D	ItemAttr:W:4@file_off=0x0006B17C	ItemAttr:R:4@file_off=0x0006B1FA	IMAGE
22a8856aa696277196865b41a3fcd3fbb727f74ea870066fb14f6b874c202171	CANDIDATE_ALTERNATIVE	VTABLE_0x00F0EBB0	DO_NOT_ADD_TO_SINGLETON;ALTERNATIVE_ONLY	0x14	671	2	673	4	UNKNOWN	ItemAttr:W:2@file_off=0x0006B15E	ItemAttr:R:3@file_off=0x0006B1EB	N/A	IMAGE
9bde071b6a1d7f83ad6fde314d86d89bfe2f937a44455de515df77964ac0a4ac	CANDIDATE_ALTERNATIVE	VTABLE_0x00F0EBB0	DO_NOT_ADD_TO_SINGLETON;ALTERNATIVE_ONLY	0x32	706	2	708	8	UNKNOWN	ItemAttr:W:1@file_off=0x0006B14F	ItemAttr:R:2@file_off=0x0006B1DC	N/A	IMAGE
93b2b22a8b07fc5c6de0cbd89ec0d62b5c4cc1f77cd2c62ec18b534ce06a0a38	CANDIDATE_ALTERNATIVE	VTABLE_0x00F4A188	DO_NOT_ADD_TO_SINGLETON;ALTERNATIVE_ONLY	0x08	395	4	399	1	UNKNOWN	ItemAttr:W:6@file_off=0x0006B18B	ItemAttr:W:7@file_off=0x0006B19A	ItemAttr:R:7@file_off=0x0006B218	IMAGE
40c8bb4fba8a943fef65c5f26357b054cbb3fb755190b0cd29b67b62a965e0c2	CANDIDATE_ALTERNATIVE	VTABLE_0x00F4A188	DO_NOT_ADD_TO_SINGLETON;ALTERNATIVE_ONLY	0x0B	774	2	776	1	UNKNOWN	ItemAttr:W:8@file_off=0x0006B1B5	ItemAttr:R:9@file_off=0x0006B23C	N/A	IMAGE
de95d8847720c29a87c50f556528f62abda69ae5a7768474aa8c511ab0d426b3	CANDIDATE_ALTERNATIVE	VTABLE_0x00F4A188	DO_NOT_ADD_TO_SINGLETON;ALTERNATIVE_ONLY	0x0F	317	4	321	2	UNKNOWN	ItemAttr:W:4@file_off=0x0006B16D	ItemAttr:W:5@file_off=0x0006B17C	ItemAttr:R:5@file_off=0x0006B1FA	IMAGE
b0400101f8c45c08fa1e889757b92595d15883f9bf32303930219078b2a5a80b	CANDIDATE_ALTERNATIVE	VTABLE_0x00F4A188	DO_NOT_ADD_TO_SINGLETON;ALTERNATIVE_ONLY	0x14	671	2	673	4	UNKNOWN	ItemAttr:W:3@file_off=0x0006B15E	ItemAttr:R:4@file_off=0x0006B1EB	N/A	IMAGE
653a4d635bbae70e3af498bc9b8daa7427525920661e0a76a9de5425781f7ce1	CANDIDATE_ALTERNATIVE	VTABLE_0x00F4A188	DO_NOT_ADD_TO_SINGLETON;ALTERNATIVE_ONLY	0x19	92	2	94	4	UNKNOWN	ItemAttr:W:15@file_off=0x003660B2	ItemAttr:R:15@file_off=0x003660BD	N/A	IMAGE
5acbc331a03c6464c4fc8dea1ade122fd777865b718a13db4e493de896f2ef88	CANDIDATE_ALTERNATIVE	VTABLE_0x00F4A188	DO_NOT_ADD_TO_SINGLETON;ALTERNATIVE_ONLY	0x32	706	2	708	8	UNKNOWN	ItemAttr:W:2@file_off=0x0006B14F	ItemAttr:R:3@file_off=0x0006B1DC	N/A	IMAGE
