n_ID	n_HPMAX	n_RECOVER_HP	n_STAMINAMAX	n_RECOVER_STAMINA	n_SPEED_RUN	n_STRENGH	n_CONSITUTION	n_AGILITY	n_PERCEPTION	n_INTELLECT	n_DAMMIN_PHYSICS	n_DAMMIN_MAGIC	n_DAMPLUS_PHYSICS	n_DAMPLUS_MAGIC	n_AC_PHYSICS	n_AC_MAGIC	n_ABSORB_PHYSICS	n_ABSORB_MAGIC	n_PENETRATE_PHYSICS	n_PENETRATE_MAGIC	f_ANTI_STUN	f_STUN	f_ANTI_CURSE	f_CURSE	f_HITRATE	f_DODGE	f_POWERHIT	f_ANTI_POWERHIT	f_BYPASS	f_OVERHIT	f_MULTIPLY_POWERDAM	f_ABSORB_POWERDAM	f_ABSORB_SHIELD	f_BLOCKRATE	f_MUL_DAMAGE
41	6630	331	100	5	600	100	100	100	100	100	502	502	351	351	74	74	115	115	74	74	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	281.0	100.0	100.0
42	6938	346	100	5	600	105	105	105	105	105	525	525	367	367	78	78	121	121	78	78	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	294.0	100.0	100.0
43	7252	362	100	5	600	109	109	109	109	109	549	549	384	384	83	83	126	126	83	83	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	307.0	100.0	100.0
44	7574	378	100	5	600	114	114	114	114	114	573	573	401	401	88	88	132	132	88	88	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	321.0	100.0	100.0
45	7903	395	100	5	600	119	119	119	119	119	598	598	419	419	93	93	138	138	93	93	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	335.0	100.0	100.0
46	8240	412	100	5	600	124	124	124	124	124	624	624	437	437	98	98	144	144	98	98	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	350.0	100.0	100.0
47	8584	429	100	5	600	130	130	130	130	130	650	650	455	455	104	104	150	150	104	104	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	364.0	100.0	100.0
48	8935	446	100	5	600	135	135	135	135	135	676	676	473	473	111	111	156	156	111	111	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	379.0	100.0	100.0
49	9294	464	100	5	600	140	140	140	140	140	704	704	492	492	117	117	162	162	117	117	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	394.0	100.0	100.0
50	9660	483	100	5	600	146	146	146	146	146	731	731	512	512	124	124	168	168	124	124	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	410.0	100.0	100.0
51	10033	501	100	5	600	152	152	152	152	152	760	760	532	532	132	132	175	175	132	132	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	426.0	100.0	100.0
52	10413	520	100	5	600	157	157	157	157	157	788	788	552	552	139	139	182	182	139	139	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	442.0	100.0	100.0
53	10801	540	100	5	600	163	163	163	163	163	818	818	572	572	148	148	188	188	148	148	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	458.0	100.0	100.0
54	11196	559	100	5	600	169	169	169	169	169	848	848	593	593	157	157	195	195	157	157	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	475.0	100.0	100.0
55	11599	579	100	5	600	175	175	175	175	175	878	878	615	615	166	166	202	202	166	166	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	492.0	100.0	100.0
56	12009	600	100	5	600	181	181	181	181	181	909	909	636	636	176	176	209	209	176	176	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	509.0	100.0	100.0
57	12426	621	100	5	600	188	188	188	188	188	941	941	658	658	186	186	217	217	186	186	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	527.0	100.0	100.0
58	12850	642	100	5	600	194	194	194	194	194	973	973	681	681	197	197	224	224	197	197	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	545.0	100.0	100.0
59	13282	664	100	5	600	201	201	201	201	201	1006	1006	704	704	209	209	232	232	209	209	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	564.0	100.0	100.0
60	13721	686	100	5	600	207	207	207	207	207	1039	1039	727	727	222	222	239	239	222	222	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	582.0	100.0	100.0
61	14168	708	100	5	600	214	214	214	214	214	1073	1073	751	751	233	233	247	247	233	233	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	601.0	100.0	100.0
62	14621	731	100	5	600	221	221	221	221	221	1107	1107	775	775	244	244	255	255	244	244	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	621.0	100.0	100.0
63	15082	754	100	5	600	228	228	228	228	228	1142	1142	799	799	256	256	263	263	256	256	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	640.0	100.0	100.0
64	15551	777	100	5	600	235	235	235	235	235	1178	1178	824	824	269	269	271	271	269	269	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	660.0	100.0	100.0
65	16026	801	100	5	600	242	242	242	242	242	1214	1214	849	849	282	282	280	280	282	282	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	680.0	100.0	100.0
66	16509	825	100	5	600	250	250	250	250	250	1250	1250	875	875	297	297	288	288	297	297	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	701.0	100.0	100.0
67	17000	850	100	5	600	257	257	257	257	257	1287	1287	901	901	311	311	297	297	311	311	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	722.0	100.0	100.0
68	17497	874	100	5	600	265	265	265	265	265	1325	1325	927	927	327	327	305	305	327	327	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	743.0	100.0	100.0
69	18002	900	100	5	600	272	272	272	272	272	1363	1363	954	954	343	343	314	314	343	343	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	764.0	100.0	100.0
70	18514	925	100	5	600	280	280	280	280	280	1402	1402	981	981	360	360	323	323	360	360	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	786.0	100.0	100.0
71	19034	951	100	5	600	288	288	288	288	288	1441	1441	1009	1009	378	378	332	332	378	378	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	808.0	100.0	100.0
72	19561	978	100	5	600	296	296	296	296	296	1481	1481	1037	1037	397	397	342	342	397	397	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	830.0	100.0	100.0
73	20095	1004	100	5	600	304	304	304	304	304	1522	1522	1065	1065	417	417	351	351	417	417	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	853.0	100.0	100.0
74	20636	1031	100	5	600	312	312	312	312	312	1563	1563	1094	1094	437	437	361	361	437	437	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	876.0	100.0	100.0
75	21185	1059	100	5	600	320	320	320	320	320	1604	1604	1123	1123	459	459	370	370	459	459	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	899.0	100.0	100.0
76	21741	1087	100	5	600	329	329	329	329	329	1647	1647	1152	1152	482	482	380	380	482	482	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	923.0	100.0	100.0
77	22305	1115	100	5	600	337	337	337	337	337	1689	1689	1182	1182	506	506	390	390	506	506	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	947.0	100.0	100.0
78	22876	1143	100	5	600	346	346	346	346	346	1733	1733	1213	1213	530	530	400	400	530	530	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	972.0	100.0	100.0
79	23454	1172	100	5	600	355	355	355	355	355	1776	1776	1243	1243	556	556	410	410	556	556	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	996.0	100.0	100.0
80	24039	1201	100	5	600	364	364	364	364	364	1821	1821	1274	1274	584	584	420	420	584	584	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	1021.0	100.0	100.0
81	24632	1231	100	5	600	373	373	373	373	373	1866	1866	1306	1306	612	612	430	430	612	612	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	1046.0	100.0	100.0
82	25232	1261	100	5	600	382	382	382	382	382	1911	1911	1338	1338	642	642	441	441	642	642	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	1072.0	100.0	100.0
83	25839	1291	100	5	600	391	391	391	391	391	1957	1957	1370	1370	674	674	452	452	674	674	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	1097.0	100.0	100.0
84	26454	1322	100	5	600	400	400	400	400	400	2004	2004	1402	1402	707	707	462	462	707	707	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	1123.0	100.0	100.0
85	27076	1353	100	5	600	410	410	410	410	410	2051	2051	1435	1435	741	741	473	473	741	741	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	1150.0	100.0	100.0
86	27706	1385	100	5	600	419	419	419	419	419	2098	2098	1469	1469	777	777	484	484	777	777	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	1177.0	100.0	100.0
87	28342	1417	100	5	600	429	429	429	429	429	2147	2147	1503	1503	815	815	495	495	815	815	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	1204.0	100.0	100.0
88	28986	1449	100	5	600	439	439	439	439	439	2195	2195	1537	1537	855	855	507	507	855	855	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	1231.0	100.0	100.0
89	29637	1481	100	5	600	449	449	449	449	449	2245	2245	1571	1571	897	897	518	518	897	897	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	1259.0	100.0	100.0
90	30296	1514	100	5	600	459	459	459	459	459	2295	2295	1606	1606	941	941	529	529	941	941	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	1287.0	100.0	100.0
91	30962	1548	100	5	600	469	469	469	469	469	2345	2345	1641	1641	986	986	541	541	986	986	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	1315.0	100.0	100.0
92	31635	1581	100	5	600	479	479	479	479	479	2396	2396	1677	1677	1033	1033	553	553	1033	1033	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	1344.0	100.0	100.0
93	32316	1615	100	5	600	489	489	489	489	489	2448	2448	1713	1713	1083	1083	565	565	1083	1083	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	1373.0	100.0	100.0
94	33004	1650	100	5	600	500	500	500	500	500	2500	2500	1750	1750	1135	1135	577	577	1135	1135	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	1402.0	100.0	100.0
95	33699	1684	100	5	600	510	510	510	510	510	2552	2552	1787	1787	1189	1189	589	589	1189	1189	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	1431.0	100.0	100.0
96	34401	1720	100	5	600	521	521	521	521	521	2606	2606	1824	1824	1244	1244	601	601	1244	1244	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	1461.0	100.0	100.0
97	35111	1755	100	5	600	531	531	531	531	531	2659	2659	1861	1861	1301	1301	614	614	1301	1301	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	1491.0	100.0	100.0
98	35828	1791	100	5	600	542	542	542	542	542	2714	2714	1900	1900	1361	1361	627	627	1361	1361	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	1522.0	100.0	100.0
99	36553	1827	100	5	600	553	553	553	553	553	2769	2769	1938	1938	1424	1424	639	639	1424	1424	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	1553.0	100.0	100.0
100	37285	1864	100	5	600	564	564	564	564	564	2824	2824	1977	1977	1489	1489	652	652	1489	1489	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	1584.0	100.0	100.0
101	38024	1901	100	5	600	576	576	576	576	576	2880	2880	2016	2016	1554	1554	665	665	1554	1554	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	1615.0	100.0	100.0
102	38770	1938	100	5	600	587	587	587	587	587	2937	2937	2056	2056	1623	1623	678	678	1623	1623	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	1647.0	100.0	100.0
103	39524	1976	100	5	600	598	598	598	598	598	2994	2994	2095	2095	1694	1694	691	691	1694	1694	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	1679.0	100.0	100.0
104	40285	2014	100	5	600	610	610	610	610	610	3051	3051	2136	2136	1769	1769	704	704	1769	1769	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	1711.0	100.0	100.0
105	41053	2052	100	5	600	622	622	622	622	622	3110	3110	2177	2177	1846	1846	718	718	1846	1846	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	1744.0	100.0	100.0
106	41829	2091	100	5	600	633	633	633	633	633	3168	3168	2218	2218	1924	1924	731	731	1924	1924	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	1777.0	100.0	100.0
107	42612	2130	100	5	600	645	645	645	645	645	3228	3228	2259	2259	2005	2005	745	745	2005	2005	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	1810.0	100.0	100.0
108	43402	2170	100	5	600	657	657	657	657	657	3288	3288	2301	2301	2089	2089	759	759	2089	2089	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	1844.0	100.0	100.0
109	44200	2210	100	5	600	669	669	669	669	669	3348	3348	2343	2343	2176	2176	773	773	2176	2176	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	1878.0	100.0	100.0
110	45005	2250	100	5	600	681	681	681	681	681	3409	3409	2386	2386	2268	2268	787	787	2268	2268	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	1912.0	100.0	100.0
111	45817	2290	100	5	600	694	694	694	694	694	3471	3471	2429	2429	2358	2358	801	801	2358	2358	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	1947.0	100.0	100.0
112	46637	2331	100	5	600	706	706	706	706	706	3533	3533	2473	2473	2453	2453	816	816	2453	2453	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	1981.0	100.0	100.0
113	47464	2373	100	5	600	719	719	719	719	719	3595	3595	2517	2517	2551	2551	830	830	2551	2551	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	2016.0	100.0	100.0
114	48298	2414	100	5	600	731	731	731	731	731	3658	3658	2561	2561	2653	2653	845	845	2653	2653	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	2052.0	100.0	100.0
115	49139	2456	100	5	600	744	744	744	744	744	3722	3722	2605	2605	2759	2759	859	859	2759	2759	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	2087.0	100.0	100.0
116	49988	2499	100	5	600	757	757	757	757	757	3787	3787	2650	2650	2869	2869	874	874	2869	2869	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	2124.0	100.0	100.0
117	50844	2542	100	5	600	770	770	770	770	770	3851	3851	2696	2696	2984	2984	889	889	2984	2984	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	2160.0	100.0	100.0
118	51708	2585	100	5	600	783	783	783	783	783	3917	3917	2742	2742	3103	3103	904	904	3103	3103	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	2197.0	100.0	100.0
119	52579	2628	100	5	600	796	796	796	796	796	3983	3983	2788	2788	3227	3227	920	920	3227	3227	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	2234.0	100.0	100.0
120	53457	2672	100	5	600	809	809	809	809	809	4049	4049	2834	2834	3356	3356	935	935	3356	3356	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	2271.0	100.0	100.0
121	54342	2717	100	5	600	823	823	823	823	823	4116	4116	2881	2881	3490	3490	950	950	3490	3490	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	2309.0	100.0	100.0
122	55235	2761	100	5	600	836	836	836	836	836	4184	4184	2929	2929	3628	3628	966	966	3628	3628	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	2347.0	100.0	100.0
123	56135	2806	100	5	600	850	850	850	850	850	4252	4252	2976	2976	3771	3771	982	982	3771	3771	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	1.0	1.0	2385.0	100.0	100.0
