n_ID	s_NAME	s_MAINTIP	s_TRIGGEREDTIP
2415	Graceful		
2416	Extreme		
2417	Good		
2418	Refined		
2419	Graceful		
2420	Extreme		
2421	Good		
2422	Refined		
2423	Graceful		
2424	Extreme		
2425	Good		
2426	Refined		
2427	Graceful		
2428	Extreme		
2429	Good		
2430	Refined		
2431	Graceful		
2432	Extreme		
2433	Good		
2434	Refined		
2435	Graceful		
2436	Extreme		
2437	Good		
2438	Refined		
2439	Graceful		
2440	Extreme		
2441	Good		
2442	Refined		
2443	Graceful		
2444	Extreme		
2445	Good		
2446	Refined		
2447	Graceful		
2448	Extreme		
2449	Good		
2450	Refined		
2451	Graceful		
2452	Extreme		
2453	Good		
2454	Refined		
2455	Graceful		
2456	Extreme		
2457	Good		
2458	Refined		
2459	Graceful		
2460	Extreme		
2461	Good		
2462	Refined		
2463	Graceful		
2464	Extreme		
2465	Good		
2466	Refined		
2467	Graceful		
2468	Extreme		
2469	Good		
2470	Refined		
2471	Graceful		
2472	Extreme		
2473	Good		
2474	Refined		
2475	Graceful		
2476	Extreme		
2477	Good		
2478	Refined		
2479	Graceful		
2480	Extreme		
2481	Good		
2482	Refined		
2483	Graceful		
2484	Extreme		
2485	Good		
2486	Refined		
2487	Graceful		
2488	Extreme		
2489	Good		
2490	Refined		
2491	Graceful		
2492	Extreme		
2493	Good		
2494	Refined		
2495	Graceful		
2496	Extreme		
2497	Good		
2498	Refined		
2499	Graceful		
2500	Extreme		
2501	Good		
2502	Refined		
2503	Graceful		
2504	Extreme		
2505	Good		
2506	Refined		
2507	Graceful		
2508	Extreme		
2509	Good		
2510	Refined		
2511	Graceful		
2512	Extreme		
2513	Good		
2514	Refined		
2515	Graceful		
2516	Extreme		
2517	Good		
2518	Refined		
2519	Graceful		
2520	Extreme		
2521	Good		
2522	Refined		
2523	Graceful		
2524	Extreme		
2525	Good		
2526	Refined		
2527	Graceful		
2528	Extreme		
2529	Good		
2530	Refined		
2531	Graceful		
2532	Extreme		
2533	Good		
2534	Refined		
2535	Graceful		
2536	Extreme		
2537	Good		
2538	Refined		
2539	Graceful		
2540	Extreme		
2541	Good		
2542	Refined		
2543	Graceful		
2544	Extreme		
2545	Good		
2546	Refined		
2547	Graceful		
2548	Extreme		
2549	Good		
2550	Refined		
2551	Graceful		
2552	Extreme		
2553	Good		
2554	Refined		
2555	Graceful		
2556	Extreme		
2557	Good		
2558	Refined		
2559	Graceful		
2560	Extreme		
2561	Good		
2562	Refined		
2563	Graceful		
2564	Extreme		
2565	Good		
2566	Refined		
2567	Graceful		
2568	Extreme		
2569	Good		
2570	Refined		
2571	Graceful		
2572	Extreme		
2573	Good		
2574	Refined		
2575	Graceful		
2576	Extreme		
2577	Good		
2578	Refined		
2579	Graceful		
2580	Extreme		
2581	Good		
2582	Refined		
2583	Graceful		
2584	Extreme		
2585	Good		
2586	Refined		
2587	Graceful		
2588	Extreme		
2589	Good		
2590	Refined		
2591	Graceful		
2592	Extreme		
2593	Good		
2594	Refined		
2595	Graceful		
2596	Extreme		
2597	Good		
2598	Refined		
2599	Graceful		
2600	Extreme		
2601	Good		
2602	Refined		
2603	Graceful		
2604	Extreme		
2605	Good		
2606	Refined		
2607	Graceful		
2608	Extreme		
2609	Good		
2610	Refined		
2611	Graceful		
2612	Extreme		
2613	Good		
2614	Refined		
2615	Graceful		
2616	Extreme		
2617	Good		
2618	Refined		
2619	Graceful		
2620	Extreme		
2621	Good		
2622	Refined		
2623	Graceful		
2624	Extreme		
2625	Good		
2626	Refined		
2627	Graceful		
2628	Extreme		
2629	Good		
2630	Refined		
2631	Graceful		
2632	Extreme		
2633	Good		
2634	Refined		
2635	Graceful		
2636	Extreme		
2637	Good		
2638	Refined		
2639	Graceful		
2640	Extreme		
2641	Good		
2642	Refined		
2643	Graceful		
2644	Extreme		
2645	Good		
2646	Refined		
2647	Graceful		
2648	Extreme		
2649	Good		
2650	Refined		
2651	Graceful		
2652	Extreme		
2653	Good		
2654	Refined		
2655	Graceful		
2656	Extreme		
2657	Good		
2658	Refined		
2659	Graceful		
2660	Extreme		
2661	Good		
2662	Refined		
2663	Graceful		
2664	Extreme		
2665	Good		
2666	Refined		
2667	Graceful		
2668	Extreme		
2669	Good		
2670	Refined		
2671	Graceful		
2672	Extreme		
2673	Good		
2674	Refined		
2675	Graceful		
2676	Extreme		
2677	Good		
2678	Refined		
2679	Graceful		
2680	Extreme		
2681	Good		
2682	Refined		
2683	Graceful		
2684	Extreme		
2685	Good		
2686	Refined		
2687	Graceful		
2688	Extreme		
2689	Good		
2690	Refined		
2691	Graceful		
2692	Extreme		
2693	Good		
2694	Refined		
2695	Graceful		
2696	Extreme		
2697	Good		
2698	Refined		
2699	Graceful		
2700	Extreme		
2701	Good		
2702	Refined		
2703	Graceful		
2704	Extreme		
2705	Good		
2706	Refined		
2707	Graceful		
2708	Extreme		
2709	Good		
2710	Refined		
2711	Graceful		
2712	Extreme		
2713	Good		
2714	Refined		
2715	Graceful		
2716	Extreme		
2717	Good		
2718	Refined		
2719	Graceful		
2720	Extreme		
2721	Good		
2722	Refined		
2723	Graceful		
2724	Extreme		
2725	Good		
2726	Refined		
2727	Graceful		
2728	Extreme		
2729	Good		
2730	Refined		
2731	Graceful		
2732	Extreme		
2733	Good		
2734	Refined		
2735	Graceful		
2736	Extreme		
2737	Good		
2738	Refined		
2739	Graceful		
2740	Extreme		
2741	Good		
2742	Refined		
2743	Graceful		
2744	Extreme		
2745	Good		
2746	Refined		
2747	Graceful		
2748	Extreme		
2749	Good		
2750	Refined		
2751	Graceful		
2752	Extreme		
2753	Good		
2754	Refined		
2755	Graceful		
2756	Extreme		
2757	Good		
2758	Refined		
2759	Graceful		
2760	Extreme		
2761	Good		
2762	Refined		
2763	Graceful		
2764	Extreme		
2765	Good		
2766	Refined		
2767	Graceful		
2768	Extreme		
2769	Good		
2770	Refined		
2771	Graceful		
2772	Extreme		
2773	Good		
2774	Refined		
2775	Graceful		
2776	Extreme		
2777	Good		
2778	Refined		
2779	Graceful		
2780	Extreme		
2781	Good		
2782	Refined		
2783	Graceful		
2784	Extreme		
2785	Good		
2786	Refined		
2787	Graceful		
2788	Extreme		
2789	Good		
2790	Refined		
2791	Graceful		
2792	Extreme		
2793	Good		
2794	Refined		
2795	Graceful		
2796	Extreme		
2797	Good		
2798	Refined		
2799	Graceful		
2800	Extreme		
2801	Good		
2802	Refined		
2803	Graceful		
2804	Extreme		
2805	Good		
2806	Refined		
2807	Graceful		
2808	Extreme		
2809	Good		
2810	Refined		
2811	Graceful		
2812	Extreme		
2813	Good		
2814	Refined		
2815	Graceful		
2816	Extreme		
2817	Good		
2818	Refined		
2819	Graceful		
2820	Extreme		
2821	Good		
2822	Refined		
2823	Graceful		
2824	Extreme		
2825	Good		
2826	Refined		
2827	Graceful		
2828	Extreme		
2829	Good		
2830	Refined		
2831	Graceful		
2832	Extreme		
2833	Good		
2834	Refined		
2835	Graceful		
2836	Extreme		
2837	Good		
2838	Refined		
2839	Graceful		
2840	Extreme		
2841	Good		
2842	Refined		
2843	Graceful		
2844	Extreme		
2845	Good		
2846	Refined		
2847	Graceful		
2848	Extreme		
2849	Good		
2850	Refined		
2851	Graceful		
2852	Extreme		
2853	Good		
2854	Refined		
2855	Graceful		
2856	Extreme		
2857	Good		
2858	Refined		
2859	Graceful		
2860	Extreme		
2861	Good		
2862	Refined		
2863	Graceful		
2864	Extreme		
2865	Good		
2866	Refined		
2867	Graceful		
2868	Extreme		
2869	Good		
2870	Refined		
2871	Graceful		
2872	Extreme		
2873	Good		
2874	Refined		
2875	Graceful		
2876	Extreme		
2877	Good		
2878	Refined		
2879	Graceful		
2880	Extreme		
2881	Good		
2882	Refined		
2883	Graceful		
2884	Extreme		
2885	Good		
2886	Refined		
2887	Graceful		
2888	Extreme		
2889	Good		
2890	Refined		
2891	Graceful		
2892	Extreme		
2893	Good		
2894	Refined		
2895	Graceful		
2896	Extreme		
2897	Good		
2898	Refined		
2899	Graceful		
2900	Extreme		
2901	Good		
2902	Refined		
2903	Graceful		
2904	Extreme		
2905	Good		
2906	Refined		
2907	Graceful		
2908	Extreme		
2909	Good		
2910	Refined		
2911	Graceful		
2912	Extreme		
2913	Good		
2914	Refined		
2915	Graceful		
2916	Extreme		
2917	Good		
2918	Refined		
2919	Graceful		
2920	Extreme		
2921	Good		
2922	Refined		
2923	Graceful		
2924	Extreme		
2925	Good		
2926	Refined		
2927	Graceful		
2928	Extreme		
2929	Good		
2930	Refined		
2931	Graceful		
2932	Extreme		
2933	Good		
2934	Refined		
2935	Graceful		
2936	Extreme		
2937	Good		
2938	Refined		
2939	Graceful		
2940	Extreme		
2941	Good		
2942	Refined		
2943	Graceful		
2944	Extreme		
2945	Good		
2946	Refined		
2947	Graceful		
2948	Extreme		
2949	Good		
2950	Refined		
2951	Graceful		
2952	Extreme		
2953	Good		
2954	Refined		
2955	Graceful		
2956	Extreme		
2957	Good		
2958	Refined		
2959	Graceful		
2960	Extreme		
2961	Good		
2962	Refined		
2963	Graceful		
2964	Extreme		
2965	Good		
2966	Refined		
2967	Graceful		
2968	Extreme		
2969	Good		
2970	Refined		
2971	Graceful		
2972	Extreme		
2973	Good		
2974	Refined		
2975	Graceful		
2976	Extreme		
2977	Good		
2978	Refined		
2979	Graceful		
2980	Extreme		
2981	Good		
2982	Refined		
2983	Graceful		
2984	Extreme		
2985	Good		
2986	Refined		
2987	Graceful		
2988	Extreme		
2989	Good		
2990	Refined		
2991	Graceful		
2992	Extreme		
2993	Good		
2994	Refined		
2995	Graceful		
2996	Extreme		
2997	Good		
2998	Refined		
2999	Graceful		
3000	Extreme		
3001	Good		
3002	Refined		
3003	Graceful		
3004	Extreme		
3005	Good		
3006	Refined		
3007	Graceful		
3008	Extreme		
3009	Good		
3010	Refined		
3011	Graceful		
3012	Extreme		
3013	Good		
3014	Refined		
3015	Graceful		
3016	Extreme		
3017	Good		
3018	Refined		
3019	Graceful		
3020	Extreme		
3021	Good		
3022	Refined		
3023	Graceful		
3024	Extreme		
3025	Good		
3026	Refined		
3027	Graceful		
3028	Extreme		
3029	Good		
3030	Refined		
3031	Graceful		
3032	Extreme		
3033	Good		
3034	Refined		
3035	Graceful		
3036	Extreme		
3037	Good		
3038	Refined		
3039	Graceful		
3040	Extreme		
3041	Good		
3042	Refined		
3043	Graceful		
3044	Extreme		
3045	Good		
3046	Refined		
3047	Graceful		
3048	Extreme		
3049	Good		
3050	Refined		
3051	Graceful		
3052	Extreme		
3053	Good		
3054	Refined		
3055	Graceful		
3056	Extreme		
3057	Good		
3058	Refined		
3059	Graceful		
3060	Extreme		
3061			
3062			
3063			
3065			
3066			
3067			
3069			
3070			
3071			
3073			
3074			
3075			
3077			
3078			
3079			
3081			
3082			
3083			
3085			
3086			
3087			
3089			
3090			
3091			
3093			
3094			
3095			
3097			
3098			
3099			
3101			
3102			
3103			
3105			
3106			
3107			
3109			
3110			
3111			
3113			
3114			
3115			
3117			
3118			
3119			
3121			
3122			
3123			
3125			
3126			
3127			
3129			
3130			
3131			
3133			
3134			
3135			
3137			
3138			
3139			
3141			
3142			
3143			
3145			
3146			
3147			
3149			
3150			
3151			
3153			
3154			
3155			
3157			
3158			
3159			
3161			
3162			
3163			
3165			
3166			
3167			
3169			
3170			
3171			
3173			
3174			
3175			
3501	Remain Guard		
3502	Bloodthirsty Killer		
3503	Waves Phantom		
3504	Deep Sea Djinn		
3505	Machine Teeth		
3506	Fever War		
3507	Ancient Guardian		
3508	Killing Envoy		
3509	Blue Sea Beauty		
3510	Abyss Alien		
3511	Mech Canine		
3512	Fury Murderous		
3513	Red-Hot Sun		
3514	Red-Hot Sun		
3515	Red-Hot Sun		
3516	Red-Hot Sun		
3517	Red-Hot Sun		
3518	Red-Hot Sun		
10001	High		
10002	High		
10003	High		
10004	High		
10005	High		
10006	High		
10007	High		
10008	High		
10009	High		
10010	High		
10011	High		
10012	High		
10013	High		
10014	High		
10015	High		
10016	High		
10017	High		
10018	High		
10019	High		
10020	High		
10021	High		
10022	High		
10023	High		
10024	High		
10025	High		
10026	High		
10027	High		
10028	High		
10029	High		
10030	High		
10031	High		
10032	High		
10033	High		
10034	High		
10035	High		
10036	High		
10037	High		
10038	High		
10039	High		
10040	High		
10041	High		
10042	High		
10043	High		
10044	High		
10045	High		
10046	High		
10047	High		
10048	High		
10049	High		
10050	High		
10051	High		
10052	High		
10053	High		
10054	High		
10055	High		
10056	High		
10057	High		
10058	High		
10059	High		
10060	High		
10061	High		
10062	High		
10063	High		
10064	High		
10065	High		
10066	High		
10067	High		
10068	High		
10069	High		
10070	High		
10071	High		
10072	High		
10073	High		
10074	High		
10075	High		
10076	High		
10077	High		
10078	High		
10079	High		
10080	High		
10081	High		
10082	High		
10083	High		
10084	High		
10085	High		
10086	High		
10087	High		
10088	High		
10089	High		
10090	High		
10091	High		
10092	High		
10093	High		
10094	High		
10095	High		
10096	High		
10097	High		
10098	High		
10099	High		
10100	High		
10101	Clever		
10102	Clever		
10103	Clever		
10104	Clever		
10105	Clever		
10106	Clever		
10107	Clever		
10108	Clever		
10109	Clever		
10110	Clever		
10111	Clever		
10112	Clever		
10113	Clever		
10114	Clever		
10115	Clever		
10116	Clever		
10117	Clever		
10118	Clever		
10119	Clever		
10120	Clever		
10121	Clever		
10122	Clever		
10123	Clever		
10124	Clever		
10125	Clever		
10126	Clever		
10127	Clever		
10128	Clever		
10129	Clever		
10130	Clever		
10131	Clever		
10132	Clever		
10133	Clever		
10134	Clever		
10135	Clever		
10136	Clever		
10137	Clever		
10138	Clever		
10139	Clever		
10140	Clever		
10141	Clever		
10142	Clever		
10143	Clever		
10144	Clever		
10145	Clever		
10146	Clever		
10147	Clever		
10148	Clever		
10149	Clever		
10150	Clever		
10151	Clever		
10152	Clever		
10153	Clever		
10154	Clever		
10155	Clever		
10156	Clever		
10157	Clever		
10158	Clever		
10159	Clever		
10160	Clever		
10161	Clever		
10162	Clever		
10163	Clever		
10164	Clever		
10165	Clever		
10166	Clever		
10167	Clever		
10168	Clever		
10169	Clever		
10170	Clever		
10171	Clever		
10172	Clever		
10173	Clever		
10174	Clever		
10175	Clever		
10176	Clever		
10177	Clever		
10178	Clever		
10179	Clever		
10180	Clever		
10181	Clever		
10182	Clever		
10183	Clever		
10184	Clever		
10185	Clever		
10186	Clever		
10187	Clever		
10188	Clever		
10189	Clever		
10190	Clever		
10191	Clever		
10192	Clever		
10193	Clever		
10194	Clever		
10195	Clever		
10196	Clever		
10197	Clever		
10198	Clever		
10199	Clever		
10200	Clever		
10201	Clever		
10202	Clever		
10203	Clever		
10204	Clever		
10205	Clever		
10206	Clever		
10207	Clever		
10208	Clever		
10209	Clever		
10210	Clever		
10211	Clever		
10212	Clever		
10213	Clever		
10214	Clever		
10215	Clever		
10216	Clever		
10217	Clever		
10218	Clever		
10219	Clever		
10220	Clever		
10221	Clever		
10222	Clever		
10223	Clever		
10224	Clever		
10225	Clever		
10226	Clever		
10227	Clever		
10228	Clever		
10229	Clever		
10230	Clever		
10231	Clever		
10232	Clever		
10233	Clever		
10234	Clever		
10235	Clever		
10236	Clever		
10237	Clever		
10238	Clever		
10239	Clever		
10240	Clever		
10241	Clever		
10242	Clever		
10243	Clever		
10244	Clever		
10245	Clever		
10246	Clever		
10247	Clever		
10248	Clever		
10249	Clever		
10250	Clever		
10251	Clever		
10252	Clever		
10253	Clever		
10254	Clever		
10255	Clever		
10256	Clever		
10257	Clever		
10258	Clever		
10259	Clever		
10260	Clever		
10261	Clever		
10262	Clever		
10263	Clever		
10264	Clever		
10265	Clever		
10266	Clever		
10267	Clever		
10268	Clever		
10269	Clever		
10270	Clever		
10271	Clever		
10272	Clever		
10273	Clever		
10274	Clever		
10275	Clever		
10276	Clever		
10277	Clever		
10278	Clever		
10279	Clever		
10280	Clever		
10281	Clever		
10282	Clever		
10283	Clever		
10284	Clever		
10285	Clever		
10286	Clever		
10287	Clever		
10288	Clever		
10289	Clever		
10290	Clever		
10291	Clever		
10292	Clever		
10293	Clever		
10294	Clever		
10295	Clever		
10296	Clever		
10297	Clever		
10298	Clever		
10299	Clever		
10300	Clever		
10301	Clever		
10302	Clever		
10303	Clever		
10304	Clever		
10305	Clever		
10306	Clever		
10307	Clever		
10308	Clever		
10309	Clever		
10310	Clever		
10311	Clever		
10312	Clever		
10313	Clever		
10314	Clever		
10315	Clever		
10316	Clever		
10317	Clever		
10318	Clever		
10319	Clever		
10320	Clever		
10321	Clever		
10322	Clever		
10323	Clever		
10324	Clever		
10325	Clever		
10326	Clever		
10327	Clever		
10328	Clever		
10329	Clever		
10330	Clever		
10331	Clever		
10332	Clever		
10333	Clever		
10334	Clever		
10335	Clever		
10336	Clever		
10337	Clever		
10338	Clever		
10339	Clever		
10340	Clever		
10341	Clever		
10342	Clever		
10343	Clever		
10344	Clever		
10345	Clever		
10346	Clever		
10347	Clever		
10348	Clever		
10349	Clever		
10350	Clever		
10351	Clever		
10352	Clever		
10353	Clever		
10354	Clever		
10355	Clever		
10356	Clever		
10357	Clever		
10358	Clever		
10359	Clever		
10360	Clever		
10361	Clever		
10362	Clever		
10363	Clever		
10364	Clever		
10365	Clever		
10366	Clever		
10367	Clever		
10368	Clever		
10369	Clever		
10370	Clever		
10371	Clever		
10372	Clever		
10373	Clever		
10374	Clever		
10375	Clever		
10376	Clever		
10377	Clever		
10378	Clever		
10379	Clever		
10380	Clever		
10381	Clever		
10382	Clever		
10383	Clever		
10384	Clever		
10385	Clever		
10386	Clever		
10387	Clever		
10388	Clever		
10389	Clever		
10390	Clever		
10391	Clever		
10392	Clever		
10393	Clever		
10394	Clever		
10395	Clever		
10396	Clever		
10397	Clever		
10398	Clever		
10399	Clever		
10400	Clever		
10401	Clever		
10402	Clever		
10403	Clever		
10404	Clever		
10405	Clever		
10406	Clever		
10407	Clever		
10408	Clever		
10409	Clever		
10410	Clever		
10411	Clever		
10412	Clever		
10413	Clever		
10414	Clever		
10415	Clever		
10416	Clever		
10417	Clever		
10418	Clever		
10419	Clever		
10420	Clever		
10421	Clever		
10422	Clever		
10423	Clever		
10424	Clever		
10425	Legend		
10426	Legend		
10427	Legend		
10428	Legend		
10429	Legend		
10430	Legend		
10431	Legend		
10432	Legend		
10433	Legend		
10434	Legend		
10435	Legend		
10436	Legend		
10437	Legend		
10438	Legend		
10439	Legend		
10440	Legend		
10441	Legend		
10442	Legend		
10443	Legend		
10444	Legend		
10445	Legend		
10446	Legend		
10447	Legend		
10448	Legend		
10449	Legend		
10450	Legend		
10451	Legend		
10452	Legend		
10453	Legend		
10454	Legend		
10455	Legend		
10456	Legend		
10457	Legend		
10458	Legend		
10459	Legend		
10460	Legend		
10461	Legend		
10462	Legend		
10463	Legend		
10464	Legend		
10465	Legend		
10466	Legend		
10467	Legend		
10468	Legend		
10469	Legend		
10470	Legend		
10471	Legend		
10472	Legend		
10473	Legend		
10474	Legend		
10475	Legend		
10476	Legend		
10477	Legend		
10478	Legend		
10479	Legend		
10480	Legend		
10481	Legend		
10482	Legend		
10483	Legend		
10484	Legend		
10485	Legend		
10486	Legend		
10487	Legend		
10488	Legend		
10489	Legend		
10490	Legend		
10491	Legend		
10492	Legend		
10493	Legend		
10494	Legend		
10495	Legend		
10496	Legend		
10497	Legend		
10498	Legend		
10499	Legend		
10500	Legend		
10501	Legend		
10502	Legend		
10503	Legend		
10504	Legend		
10505	Legend		
10506	Legend		
10507	Legend		
10508	Legend		
10509	Legend		
10510	Legend		
10511	Legend		
10512	Legend		
10513	Legend		
10514	Legend		
10515	Legend		
10516	Legend		
10517	Legend		
10518	Legend		
10519	Legend		
10520	Legend		
10521	Legend		
10522	Legend		
10523	Legend		
10524	Legend		
10525	Legend		
10526	Legend		
10527	Legend		
10528	Legend		
10529	Legend		
10530	Legend		
10531	Legend		
10532	Legend		
10533	Legend		
10534	Legend		
10535	Legend		
10536	Legend		
10537	Legend		
10538	Legend		
10539	Legend		
10540	Legend		
10541	Legend		
10542	Legend		
10543	Legend		
10544	Legend		
10545	Legend		
10546	Legend		
10547	Legend		
10548	Legend		
10549	Legend		
10550	Legend		
10551	Legend		
10552	Legend		
10553	Legend		
10554	Legend		
10555	Legend		
10556	Legend		
10557	Legend		
10558	Legend		
10559	Legend		
10560	Legend		
10561	Legend		
10562	Legend		
10563	Legend		
10564	Legend		
10565	Legend		
10566	Legend		
10567	Legend		
10568	Legend		
10569	Legend		
10570	Legend		
10571	Legend		
10572	Legend		
10573	Legend		
10574	Legend		
10575	Legend		
10576	Legend		
10577	Legend		
10578	Legend		
10579	Legend		
10580	Legend		
10581	Legend		
10582	Legend		
10583	Legend		
10584	Legend		
10585	Legend		
10586	Legend		
10587	Legend		
10588	Legend		
10589	Legend		
10590	Legend		
10591	Legend		
10592	Legend		
10593	Legend		
10594	Legend		
10595	Legend		
10596	Legend		
10597	Legend		
10598	Legend		
10599	Legend		
10600	Legend		
