n_ID	f_DROPS_RATE	n_NUMBER_MIN	n_NUMBER_MAX	n_ITEM_1	n_WEIGHT_1	n_ITEM_2	n_WEIGHT_2	n_ITEM_3	n_WEIGHT_3	n_ITEM_4	n_WEIGHT_4	n_ITEM_5	n_WEIGHT_5	n_ITEM_6	n_WEIGHT_6	n_ITEM_7	n_WEIGHT_7	n_ITEM_8	n_WEIGHT_8	n_ITEM_9	n_WEIGHT_9	n_ITEM_10	n_WEIGHT_10	n_ITEM_11	n_WEIGHT_11	n_ITEM_12	n_WEIGHT_12	n_ITEM_13	n_WEIGHT_13	n_ITEM_14	n_WEIGHT_14	n_ITEM_15	n_WEIGHT_15	n_ITEM_16	n_WEIGHT_16	n_ITEM_17	n_WEIGHT_17	n_ITEM_18	n_WEIGHT_18	n_ITEM_19	n_WEIGHT_19	n_ITEM_20	n_WEIGHT_20	n_ITEM_21	n_WEIGHT_21	n_ITEM_22	n_WEIGHT_22	n_ITEM_23	n_WEIGHT_23	n_ITEM_24	n_WEIGHT_24	n_ITEM_25	n_WEIGHT_25	n_ITEM_26	n_WEIGHT_26	n_ITEM_27	n_WEIGHT_27	n_ITEM_28	n_WEIGHT_28	n_ITEM_29	n_WEIGHT_29	n_ITEM_30	n_WEIGHT_30
21	100.0	1	1	2416109	40	2416117	30	2416122	10	2416133	15	2416139	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	100.0	1	1	2416111	10	2416121	40	2416124	15	2416137	30	2416141	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	100.0	1	1	2416113	30	2416119	15	2416126	40	2416134	10	2416142	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	100.0	1	1	2416114	40	2416118	10	2416127	30	2416136	15	2416143	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	100.0	1	1	2416181	30	2416187	40	2416198	5	2416203	15	2416209	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	100.0	1	1	2416183	10	2416185	30	2416200	5	2416205	40	2416212	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	100.0	1	1	2416182	40	2416189	15	2416202	5	2416207	10	2416213	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	100.0	1	1	2416184	15	2416188	40	2416199	5	2416204	10	2416211	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	100.0	1	1	2416160	25	2416147	20	2416151	30	2416156	20	2416174	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	100.0	1	1	2416146	15	2416153	40	2416159	10	2416165	30	2416176	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	100.0	1	1	2416148	30	2416155	10	2416161	15	2416166	40	2416177	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	100.0	1	1	2416149	30	2416154	40	2416158	10	2416164	15	2416178	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	100.0	1	1	2416039	40	2416049	30	2416055	10	2416061	15	2416073	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	100.0	1	1	2416038	10	2416045	15	2416051	40	2416057	30	2416069	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	100.0	1	1	2416040	40	2416047	10	2416053	30	2416059	15	2416071	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36	100.0	1	1	2416042	40	2416046	10	2416052	30	2416060	15	2416072	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37	100.0	1	1	2407501	30	2407506	30	2407510	30	2407514	10	2600562	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38	100.0	1	1	2407502	30	2407507	30	2407511	30	2407515	10	2600562	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39	100.0	1	1	2407503	25	2407508	25	2407512	25	2407516	15	2407519	10	2600562	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	100.0	1	1	2407504	25	2407505	25	2407509	25	2407513	15	2407517	10	2407518	10	2600562	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41	100.0	1	1	2602001	20	2602002	20	2602003	20	2602004	20	2602005	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	100.0	1	1	2602006	20	2602007	20	2602008	20	2602009	20	2602010	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43	100.0	1	1	2602011	20	2602012	20	2602013	20	2602014	20	2602015	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44	100.0	1	1	2602016	20	2602017	20	2602018	20	2602019	20	2602020	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45	100.0	1	1	2602021	20	2602022	20	2602023	20	2602024	20	2602025	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	100.0	1	1	2602026	20	2602027	20	2602028	20	2602029	20	2602030	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47	100.0	1	1	2602031	20	2602032	20	2602033	20	2602034	20	2602035	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
48	100.0	1	1	2602036	20	2602037	20	2602038	20	2602039	20	2602040	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
49	100.0	1	1	2602041	20	2602042	20	2602043	20	2602044	20	2602045	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50	100.0	1	1	2602046	20	2602047	20	2602048	20	2602049	20	2602050	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51	100.0	1	1	2602051	20	2602052	20	2602053	20	2602054	20	2602055	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
52	100.0	1	1	2602056	20	2602057	20	2602058	20	2602059	20	2602060	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
53	100.0	1	1	2602061	20	2602062	20	2602063	20	2602064	20	2602065	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54	100.0	1	1	2602066	20	2602067	20	2602068	20	2602069	20	2602070	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55	100.0	1	3	2414086	1	2414042	2	3510001	20	3510002	10	3510004	10	0	0	0	0	0	0	2414001	10	2414028	10	2600020	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56	100.0	1	3	2413040	1	2414086	1	2415003	1	3510001	15	3510002	10	3510004	10	2600515	10	2600516	10	2600517	10	2414036	10	2414011	10	2600020	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
57	100.0	1	3	2413030	2	2414087	3	2400063	20	3510101	15	3510004	0	0	0	0	0	0	0	2414001	15	2414006	15	2414011	15	2414023	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
58	100.0	1	1	2413024	1	2414042	2	2414012	20	2414033	20	2414056	20	2414062	20	2414040	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59	100.0	1	2	2205810	1	2205811	1	2205812	1	2205813	1	2205814	1	3510001	10	3510002	10	3510004	10	0	0	0	0	0	0	2600095	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60	100.0	1	2	2205815	1	2205816	1	2205817	1	2205818	1	2205819	1	3510002	10	3510003	10	3510004	10	0	0	0	0	0	0	2600095	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
61	100.0	1	2	2205820	2	2205821	2	2205822	2	2205823	2	2205824	2	3510003	30	3510101	20	3510004	0	0	0	0	0	0	0	2600095	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
62	100.0	1	2	2204010	1	2204011	1	2204012	1	2204013	1	2204014	1	2204210	1	2204211	1	2204212	1	2204213	1	2204214	1	2204410	1	2204411	1	2204412	1	2204413	1	2204414	1	2204606	1	2204607	1	2204608	1	2204609	1	2204610	1	2204806	1	2204807	1	2204808	1	2204809	1	2204810	1	3510003	20	3510101	15	2410178	5	2410179	5	2410180	5
63	100.0	1	2	2204015	1	2204016	1	2204017	1	2204018	1	2204019	1	2204215	1	2204216	1	2204217	1	2204218	1	2204219	1	2204415	1	2204416	1	2204417	1	2204418	1	2204419	1	2204611	1	2204612	1	2204613	1	2204614	1	2204615	1	2204811	1	2204812	1	2204813	1	2204814	1	2204815	1	3510003	20	3510101	15	2410172	5	2410173	5	2410174	5
64	100.0	1	2	2204020	1	2204021	1	2204022	1	2204023	1	2204024	1	2204220	1	2204221	1	2204222	1	2204223	1	2204224	1	2204420	1	2204421	1	2204422	1	2204423	1	2204424	1	2204616	1	2204617	1	2204618	1	2204619	1	2204620	1	2204816	1	2204817	1	2204818	1	2204819	1	2204820	1	3510003	20	3510101	15	2410175	5	2410176	5	2410177	5
65	100.0	1	1	2205006	1	2205007	1	2205008	1	2205009	1	2205010	1	2205206	1	2205207	1	2205208	1	2205209	1	2205210	1	2205406	1	2205407	1	2205408	1	2205409	1	2205410	1	2205606	1	2205607	1	2205608	1	2205609	1	2205610	1	3510001	0	3510002	0	3510004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
66	100.0	1	1	2205011	1	2205012	1	2205013	1	2205014	1	2205015	1	2205211	1	2205212	1	2205213	1	2205214	1	2205215	1	2205411	1	2205412	1	2205413	1	2205414	1	2205415	1	2205611	1	2205612	1	2205613	1	2205614	1	2205615	1	3510001	0	3510002	0	3510004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
67	100.0	1	3	2415004	1	3510004	10	3510005	5	0	0	3510007	5	3510008	5	3520001	5	3520002	5	3520003	5	3520004	5	3520005	5	3520006	5	3520007	5	0	0	3520009	5	3520010	5	3520011	5	3520013	5	3520014	5	3520015	5	3520016	5	3520017	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
68	100.0	1	1	2410052	5	2410053	5	2410054	5	3520001	5	3520002	5	2400093	5	2400092	10	2400091	15	2405558	5	2405557	10	0	15	2400007	20	2400017	20	2400027	20	2401016	10	2401015	15	2401014	20	2600095	5	2600005	25	2600061	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
69	100.0	1	1	2605511	20	2605512	20	2605513	20	2605514	20	2605515	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70	100.0	1	1	2480022	20	2480025	20	2480028	20	2480031	20	2480034	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
71	100.0	1	1	2480023	20	2480026	20	2480029	20	2480032	20	2480035	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
72	100.0	1	1	2480024	20	2480027	20	2480030	20	2480033	20	2480036	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
73	100.0	2	3	3510004	10	3510005	5	0	0	3510007	5	3510008	5	3520001	1	3520002	1	3520003	1	3520004	0	3520005	0	3520006	0	3520007	5	0	0	3520009	5	3520010	1	3520011	5	3520013	1	3520014	0	3520015	5	3520016	5	3520017	10	2601303	15	2601302	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74	100.0	1	2	2401163	50	2401263	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
75	100.0	1	2	2401164	50	2401264	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76	100.0	1	2	2401165	50	2401265	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77	100.0	1	2	2401166	50	2401266	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
78	100.0	1	2	2401167	50	2401267	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79	100.0	1	2	2401168	50	2401268	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80	100.0	1	2	2401169	50	2401269	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
81	100.0	1	2	2401170	50	2401270	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
82	100.0	1	2	2401171	50	2401271	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
83	100.0	1	2	2401172	50	2401272	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84	100.0	1	2	2401173	50	2401273	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
85	100.0	1	2	2401174	50	2401274	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
86	100.0	1	1	2410007	20	2410008	20	2410009	20	2410046	20	2410047	20	2410048	20	2410106	20	2410107	20	2410108	20	2410091	20	2410092	20	2410093	20	2410016	20	2410017	20	2410018	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
87	100.0	1	1	2410049	20	2410050	20	2410051	20	2410064	20	2410065	20	2410066	20	2410112	20	2410113	20	2410114	20	2410097	20	2410098	20	2410099	20	2410121	20	2410122	20	2410123	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
