n_ID	s_ID_MODEL_PARTS	n_ID_MODEL	n_ID_MAP	n_CONDITION_GENDER	n_TAG_LOOT	n_CREATE	n_ID_BUFF	s_HK_VER	s_TC_VER	s_JP_VER	s_TH_VER
20044	FC	402	300	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
20045	FC	402	400	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
20100	HD	5	0	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
20101	FC	500	0	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
20102	FC	500	100	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
20103	FC	500	200	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
20104	FC	500	300	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
20105	FC	500	400	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
20121	FC	501	0	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
20122	FC	501	100	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
20123	FC	501	200	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
20124	FC	501	300	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
20125	FC	501	400	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
20141	FC	502	0	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
20142	FC	502	100	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
20143	FC	502	200	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
20144	FC	502	300	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
20145	FC	502	400	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
30001	HR	21	0	1	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
30002	HR	21	1	1	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
30003	HR	21	2	1	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
30004	HR	21	3	1	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
30005	HR	21	4	1	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
30006	HR	21	5	1	128	5	0	OUT	OUT	1.10.0000	1.20.0000
30007	HR	21	6	1	128	5	0	OUT	OUT	1.10.0000	1.20.0000
30101	HR	22	0	1	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
30102	HR	22	1	1	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
30103	HR	22	2	1	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
30104	HR	22	3	1	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
30105	HR	22	4	1	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
30106	HR	22	5	1	128	5	0	OUT	OUT	1.10.0000	1.20.0000
30107	HR	22	6	1	128	5	0	OUT	OUT	1.10.0000	1.20.0000
30201	HR	23	0	1	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
30202	HR	23	1	1	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
30203	HR	23	2	1	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
30204	HR	23	3	1	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
30205	HR	23	4	1	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
30206	HR	23	5	1	128	5	0	OUT	OUT	1.10.0000	1.20.0000
30207	HR	23	6	1	128	5	0	OUT	OUT	1.10.0000	1.20.0000
30301	HR	24	0	1	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
30302	HR	24	1	1	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
30303	HR	24	2	1	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
30304	HR	24	3	1	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
30305	HR	24	4	1	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
30306	HR	24	5	1	128	5	0	OUT	OUT	1.10.0000	1.20.0000
30307	HR	24	6	1	128	5	0	OUT	OUT	1.10.0000	1.20.0000
30401	HR	25	0	1	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
30402	HR	25	1	1	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
30403	HR	25	2	1	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
30404	HR	25	3	1	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
30405	HR	25	4	1	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
30406	HR	25	5	1	128	5	0	OUT	OUT	1.10.0000	1.20.0000
30407	HR	25	6	1	128	5	0	OUT	OUT	1.10.0000	1.20.0000
30501	HR	26	0	1	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
30502	HR	26	1	1	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
30503	HR	26	2	1	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
30504	HR	26	3	1	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
30505	HR	26	4	1	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
30506	HR	26	5	1	128	5	0	OUT	OUT	1.10.0000	1.20.0000
30507	HR	26	6	1	128	5	0	OUT	OUT	1.10.0000	1.20.0000
30601	HR	27	0	1	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
30602	HR	27	1	1	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
30603	HR	27	2	1	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
30604	HR	27	3	1	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
30605	HR	27	4	1	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
30606	HR	27	5	1	128	5	0	OUT	OUT	1.10.0000	1.20.0000
30607	HR	27	6	1	128	5	0	OUT	OUT	1.10.0000	1.20.0000
30701	HR	28	0	1	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
30702	HR	28	1	1	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
30703	HR	28	2	1	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
30704	HR	28	3	1	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
30705	HR	28	4	1	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
30706	HR	28	5	1	128	5	0	OUT	OUT	1.10.0000	1.20.0000
30707	HR	28	6	1	128	5	0	OUT	OUT	1.10.0000	1.20.0000
30801	HR	29	0	1	128	5	0	OUT	OUT	1.10.0000	1.11.0000
30802	HR	29	1	1	128	5	0	OUT	OUT	1.10.0000	1.11.0000
30803	HR	29	2	1	128	5	0	OUT	OUT	1.10.0000	1.11.0000
30804	HR	29	3	1	128	5	0	OUT	OUT	1.10.0000	1.11.0000
30805	HR	29	4	1	128	5	0	OUT	OUT	1.10.0000	1.11.0000
30806	HR	29	5	1	128	5	0	OUT	OUT	1.10.0000	1.20.0000
30807	HR	29	6	1	128	5	0	OUT	OUT	1.10.0000	1.20.0000
30901	HR	30	0	1	128	5	0	OUT	OUT	1.21.0000	1.30.0000
30902	HR	30	1	1	128	5	0	OUT	OUT	1.21.0000	1.30.0000
30903	HR	30	2	1	128	5	0	OUT	OUT	1.21.0000	1.30.0000
30904	HR	30	3	1	128	5	0	OUT	OUT	1.21.0000	1.30.0000
30905	HR	30	4	1	128	5	0	OUT	OUT	1.21.0000	1.30.0000
30906	HR	30	5	1	128	5	0	OUT	OUT	1.21.0000	1.30.0000
30907	HR	30	6	1	128	5	0	OUT	OUT	1.21.0000	1.30.0000
40001	HR	21	0	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
40002	HR	21	1	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
40003	HR	21	2	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
40004	HR	21	3	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
40005	HR	21	4	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
40006	HR	21	5	2	128	5	0	OUT	OUT	1.10.0000	1.20.0000
40007	HR	21	6	2	128	5	0	OUT	OUT	1.10.0000	1.20.0000
40101	HR	22	0	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
40102	HR	22	1	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
40103	HR	22	2	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
40104	HR	22	3	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
40105	HR	22	4	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
40106	HR	22	5	2	128	5	0	OUT	OUT	1.10.0000	1.20.0000
40107	HR	22	6	2	128	5	0	OUT	OUT	1.10.0000	1.20.0000
40201	HR	23	0	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
40202	HR	23	1	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
40203	HR	23	2	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
40204	HR	23	3	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
40205	HR	23	4	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
40206	HR	23	5	2	128	5	0	OUT	OUT	1.10.0000	1.20.0000
40207	HR	23	6	2	128	5	0	OUT	OUT	1.10.0000	1.20.0000
40301	HR	24	0	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
40302	HR	24	1	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
40303	HR	24	2	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
40304	HR	24	3	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
40305	HR	24	4	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
40306	HR	24	5	2	128	5	0	OUT	OUT	1.10.0000	1.20.0000
40307	HR	24	6	2	128	5	0	OUT	OUT	1.10.0000	1.20.0000
40401	HR	25	0	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
40402	HR	25	1	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
40403	HR	25	2	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
40404	HR	25	3	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
40405	HR	25	4	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
40406	HR	25	5	2	128	5	0	OUT	OUT	1.10.0000	1.20.0000
40407	HR	25	6	2	128	5	0	OUT	OUT	1.10.0000	1.20.0000
40501	HR	26	0	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
40502	HR	26	1	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
40503	HR	26	2	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
40504	HR	26	3	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
40505	HR	26	4	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
40506	HR	26	5	2	128	5	0	OUT	OUT	1.10.0000	1.20.0000
40507	HR	26	6	2	128	5	0	OUT	OUT	1.10.0000	1.20.0000
40601	HR	27	0	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
40602	HR	27	1	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
40603	HR	27	2	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
40604	HR	27	3	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
40605	HR	27	4	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
40606	HR	27	5	2	128	5	0	OUT	OUT	1.10.0000	1.20.0000
40607	HR	27	6	2	128	5	0	OUT	OUT	1.10.0000	1.20.0000
40701	HR	28	0	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
40702	HR	28	1	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
40703	HR	28	2	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
40704	HR	28	3	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
40705	HR	28	4	2	128	5	0	OUT	1.07.0000	1.07.0000	1.07.0000
40706	HR	28	5	2	128	5	0	OUT	OUT	1.10.0000	1.20.0000
40707	HR	28	6	2	128	5	0	OUT	OUT	1.10.0000	1.20.0000
40801	HR	29	0	2	128	5	0	OUT	OUT	1.10.0000	1.11.0000
40802	HR	29	1	2	128	5	0	OUT	OUT	1.10.0000	1.11.0000
40803	HR	29	2	2	128	5	0	OUT	OUT	1.10.0000	1.11.0000
40804	HR	29	3	2	128	5	0	OUT	OUT	1.10.0000	1.11.0000
40805	HR	29	4	2	128	5	0	OUT	OUT	1.10.0000	1.11.0000
40806	HR	29	5	2	128	5	0	OUT	OUT	1.10.0000	1.20.0000
40807	HR	29	6	2	128	5	0	OUT	OUT	1.10.0000	1.20.0000
40901	HR	30	0	2	128	5	0	OUT	OUT	1.21.0000	1.30.0000
40902	HR	30	1	2	128	5	0	OUT	OUT	1.21.0000	1.30.0000
40903	HR	30	2	2	128	5	0	OUT	OUT	1.21.0000	1.30.0000
40904	HR	30	3	2	128	5	0	OUT	OUT	1.21.0000	1.30.0000
40905	HR	30	4	2	128	5	0	OUT	OUT	1.21.0000	1.30.0000
40906	HR	30	5	2	128	5	0	OUT	OUT	1.21.0000	1.30.0000
40907	HR	30	6	2	128	5	0	OUT	OUT	1.21.0000	1.30.0000
