n_ID	s_ID_ICON	s_ID_MODEL_PARTS	n_ID_MODEL	n_ID_MAP	n_ICONSLOT	n_EQUIPSLOT	n_EQUIPTYPE	n_TAG_LOOT	s_MODEL_EFFECT	s_EQUIPFX	n_BUFFGROUP_ID
101	ICON_SSTICK_004_003	SSTICK	4	3	16384	16384	2	64			4
102	ICON_SSTICK_004_004	SSTICK	4	4	16384	16384	2	64			2
103	ICON_SSTICK_004_005	SSTICK	4	5	16384	16384	2	64			1
104	ICON_SSTICK_005_000	SSTICK	5	0	16384	16384	2	64			1
105	ICON_SSTICK_005_001	SSTICK	5	1	16384	16384	2	64			1
106	ICON_SSTICK_005_002	SSTICK	5	2	16384	16384	2	64			2
107	ICON_SSTICK_005_003	SSTICK	5	3	16384	16384	2	64			3
108	ICON_SSTICK_005_004	SSTICK	5	4	16384	16384	2	64			4
109	ICON_SHIELD_000_000	SHIELD	0	0	16	16	4	64			1
110	ICON_SHIELD_000_001	SHIELD	0	1	16	16	4	64			1
111	ICON_SHIELD_000_002	SHIELD	0	2	16	16	4	64			2
112	ICON_SHIELD_000_003	SHIELD	0	3	16	16	4	64			1
113	ICON_SHIELD_000_004	SHIELD	0	4	16	16	4	64			3
114	ICON_SHIELD_000_005	SHIELD	0	5	16	16	4	64			4
115	ICON_SHIELD_001_000	SHIELD	1	0	16	16	4	64			1
116	ICON_SHIELD_001_001	SHIELD	1	1	16	16	4	64			1
117	ICON_SHIELD_001_002	SHIELD	1	2	16	16	4	64			1
118	ICON_SHIELD_001_003	SHIELD	1	3	16	16	4	64			4
119	ICON_SHIELD_001_004	SHIELD	1	4	16	16	4	64			3
120	ICON_SHIELD_001_005	SHIELD	1	5	16	16	4	64			1
121	ICON_SHIELD_001_006	SHIELD	1	6	16	16	4	64			2
122	ICON_SHIELD_002_000	SHIELD	2	0	16	16	4	64	2;2		1
123	ICON_SHIELD_002_001	SHIELD	2	1	16	16	4	64	2;2		1
124	ICON_SHIELD_002_002	SHIELD	2	2	16	16	4	64	2;2		2
125	ICON_SHIELD_002_003	SHIELD	2	3	16	16	4	64	2;2		1
126	ICON_SHIELD_002_004	SHIELD	2	4	16	16	4	64	2;2		3
127	ICON_SHIELD_002_005	SHIELD	2	5	16	16	4	64	2;2		4
128	ICON_SHIELD_003_000	SHIELD	3	0	16	16	4	64			101
129	ICON_SHIELD_003_001	SHIELD	3	1	16	16	4	64			1
130	ICON_SHIELD_003_002	SHIELD	3	2	16	16	4	64			101
131	ICON_SHIELD_003_003	SHIELD	3	3	16	16	4	64			1
132	ICON_SHIELD_003_004	SHIELD	3	4	16	16	4	64			101
133	ICON_SHIELD_004_000	SHIELD	4	0	16	16	4	64			1
134	ICON_SHIELD_004_001	SHIELD	4	1	16	16	4	64			3
135	ICON_SHIELD_004_002	SHIELD	4	2	16	16	4	64			1
136	ICON_SHIELD_004_003	SHIELD	4	3	16	16	4	64			4
137	ICON_SHIELD_004_004	SHIELD	4	4	16	16	4	64			2
138	ICON_SHIELD_004_005	SHIELD	4	5	16	16	4	64			1
139	ICON_SHIELD_005_000	SHIELD	5	0	16	16	4	64			1
140	ICON_SHIELD_005_001	SHIELD	5	1	16	16	4	64			1
141	ICON_SHIELD_005_002	SHIELD	5	2	16	16	4	64			2
142	ICON_SHIELD_005_003	SHIELD	5	3	16	16	4	64			3
143	ICON_SHIELD_005_004	SHIELD	5	4	16	16	4	64			4
144	ICON_FIREARM_000_000	FIREARM	0	0	8	24	16	64			1
145	ICON_FIREARM_000_001	FIREARM	0	1	8	24	16	64			1
146	ICON_FIREARM_000_002	FIREARM	0	2	8	24	16	64			2
147	ICON_FIREARM_000_003	FIREARM	0	3	8	24	16	64			1
148	ICON_FIREARM_000_004	FIREARM	0	4	8	24	16	64			3
149	ICON_FIREARM_000_005	FIREARM	0	5	8	24	16	64			4
150	ICON_FIREARM_001_000	FIREARM	1	0	8	24	16	64			1
151	ICON_FIREARM_001_001	FIREARM	1	1	8	24	16	64			1
152	ICON_FIREARM_001_002	FIREARM	1	2	8	24	16	64			1
153	ICON_FIREARM_001_003	FIREARM	1	3	8	24	16	64			2
154	ICON_FIREARM_001_004	FIREARM	1	4	8	24	16	64			4
155	ICON_FIREARM_001_005	FIREARM	1	5	8	24	16	64			3
156	ICON_FIREARM_002_000	FIREARM	2	0	8	24	16	64	2;1		1
157	ICON_FIREARM_002_001	FIREARM	2	1	8	24	16	64	2;1		1
158	ICON_FIREARM_002_002	FIREARM	2	2	8	24	16	64	2;1		4
159	ICON_FIREARM_002_003	FIREARM	2	3	8	24	16	64	2;1		2
160	ICON_FIREARM_002_004	FIREARM	2	4	8	24	16	64	2;1		1
161	ICON_FIREARM_002_005	FIREARM	2	5	8	24	16	64	2;1		3
162	ICON_FIREARM_003_000	FIREARM	3	0	8	24	16	64			1
163	ICON_FIREARM_003_001	FIREARM	3	1	8	24	16	64			1
164	ICON_FIREARM_003_002	FIREARM	3	2	8	24	16	64			4
165	ICON_FIREARM_003_003	FIREARM	3	3	8	24	16	64			2
166	ICON_FIREARM_003_004	FIREARM	3	4	8	24	16	64			3
167	ICON_FIREARM_004_000	FIREARM	4	0	8	24	16	64		1;W_FIREARM_004_000	101
168	ICON_FIREARM_004_001	FIREARM	4	1	8	24	16	64		1;W_FIREARM_004_001	1
169	ICON_FIREARM_004_002	FIREARM	4	2	8	24	16	64		1;W_FIREARM_004_002	101
170	ICON_FIREARM_004_003	FIREARM	4	3	8	24	16	64		1;W_FIREARM_004_003	1
171	ICON_FIREARM_004_004	FIREARM	4	4	8	24	16	64		1;W_FIREARM_004_004	1
172	ICON_FIREARM_004_005	FIREARM	4	5	8	24	16	64		1;W_FIREARM_004_005	101
173	ICON_FIREARM_004_006	FIREARM	4	6	8	24	16	64		1;W_FIREARM_004_006	1
174	ICON_FIREARM_005_000	FIREARM	5	0	8	24	16	64			1
175	ICON_FIREARM_005_001	FIREARM	5	1	8	24	16	64			1
176	ICON_FIREARM_005_002	FIREARM	5	2	8	24	16	64			2
177	ICON_FIREARM_005_003	FIREARM	5	3	8	24	16	64			3
178	ICON_FIREARM_005_004	FIREARM	5	4	8	24	16	64			4
179	ICON_SKULL_000_000	SKULL	0	0	8	24	8	64			1
180	ICON_SKULL_000_001	SKULL	0	1	8	24	8	64			1
181	ICON_SKULL_000_002	SKULL	0	2	8	24	8	64			1
182	ICON_SKULL_000_003	SKULL	0	3	8	24	8	64			3
183	ICON_SKULL_000_004	SKULL	0	4	8	24	8	64			2
184	ICON_SKULL_000_005	SKULL	0	5	8	24	8	64			4
185	ICON_SKULL_001_000	SKULL	1	0	8	24	8	64	2;2		2
186	ICON_SKULL_001_001	SKULL	1	1	8	24	8	64	2;2		1
187	ICON_SKULL_001_002	SKULL	1	2	8	24	8	64	2;2		1
188	ICON_SKULL_001_003	SKULL	1	3	8	24	8	64	2;2		4
189	ICON_SKULL_001_004	SKULL	1	4	8	24	8	64	2;2		3
190	ICON_SKULL_001_005	SKULL	1	5	8	24	8	64	2;2		1
191	ICON_SKULL_002_000	SKULL	2	0	8	24	8	64	2;2	2;W_SKULL_002_000	101
192	ICON_SKULL_002_001	SKULL	2	1	8	24	8	64	2;2	2;W_SKULL_002_001	1
193	ICON_SKULL_002_002	SKULL	2	2	8	24	8	64	2;2	2;W_SKULL_002_002	101
194	ICON_SKULL_002_003	SKULL	2	3	8	24	8	64	2;2	2;W_SKULL_002_003	1
195	ICON_SKULL_002_004	SKULL	2	4	8	24	8	64	2;2	2;W_SKULL_002_004	1
196	ICON_SKULL_002_005	SKULL	2	5	8	24	8	64	2;2	2;W_SKULL_002_005	1
197	ICON_SKULL_002_006	SKULL	2	6	8	24	8	64	2;2	2;W_SKULL_002_006	101
198	ICON_SKULL_003_000	SKULL	3	0	8	24	8	64	2;2	2;W_SKULL_003_000	1
199	ICON_SKULL_003_001	SKULL	3	1	8	24	8	64	2;2	2;W_SKULL_003_001	4
200	ICON_SKULL_003_002	SKULL	3	2	8	24	8	64	2;2	2;W_SKULL_003_002	2
201	ICON_SKULL_003_003	SKULL	3	3	8	24	8	64	2;2	2;W_SKULL_003_003	1
202	ICON_SKULL_003_004	SKULL	3	4	8	24	8	64	2;2	2;W_SKULL_003_004	3
203	ICON_SKULL_004_000	SKULL	4	0	8	24	8	64	2;2	2;W_SKULL_004_000	1
204	ICON_SKULL_004_001	SKULL	4	1	8	24	8	64	2;2	2;W_SKULL_004_001	4
205	ICON_SKULL_004_002	SKULL	4	2	8	24	8	64			2
206	ICON_SKULL_004_003	SKULL	4	3	8	24	8	64			1
207	ICON_SKULL_004_004	SKULL	4	4	8	24	8	64			3
208	ICON_SKULL_004_005	SKULL	4	5	8	24	8	64			1
209	ICON_SKULL_005_000	SKULL	5	0	8	24	8	64	2;2	2;W_SKULL_005_000	1
210	ICON_SKULL_005_001	SKULL	5	1	8	24	8	64	2;2	2;W_SKULL_005_001	1
211	ICON_SKULL_005_002	SKULL	5	2	8	24	8	64			4
212	ICON_SKULL_005_003	SKULL	5	3	8	24	8	64			2
213	ICON_SKULL_005_004	SKULL	5	4	8	24	8	64			3
214	ICON_DOLL_000_000	DOLL	0	0	8	24	32	64			1
215	ICON_DOLL_000_001	DOLL	0	1	8	24	32	64			1
216	ICON_DOLL_000_002	DOLL	0	2	8	24	32	64			1
217	ICON_DOLL_000_003	DOLL	0	3	8	24	32	64			1
218	ICON_DOLL_000_004	DOLL	0	4	8	24	32	64			2
219	ICON_DOLL_000_005	DOLL	0	5	8	24	32	64			2
220	ICON_DOLL_001_000	DOLL	1	0	8	24	32	64			1
221	ICON_DOLL_001_001	DOLL	1	1	8	24	32	64			2
222	ICON_DOLL_001_002	DOLL	1	2	8	24	32	64			4
223	ICON_DOLL_001_003	DOLL	1	3	8	24	32	64			4
224	ICON_DOLL_001_004	DOLL	1	4	8	24	32	64			2
225	ICON_DOLL_001_005	DOLL	1	5	8	24	32	64			3
226	ICON_DOLL_002_000	DOLL	2	0	8	24	32	64			1
227	ICON_DOLL_002_001	DOLL	2	1	8	24	32	64			2
228	ICON_DOLL_002_002	DOLL	2	2	8	24	32	64			2
229	ICON_DOLL_002_003	DOLL	2	3	8	24	32	64			3
230	ICON_DOLL_002_004	DOLL	2	4	8	24	32	64			3
231	ICON_DOLL_002_005	DOLL	2	5	8	24	32	64			4
232	ICON_DOLL_003_000	DOLL	3	0	8	24	32	64			101
233	ICON_DOLL_003_001	DOLL	3	1	8	24	32	64			5
234	ICON_DOLL_003_002	DOLL	3	2	8	24	32	64			101
235	ICON_DOLL_003_003	DOLL	3	3	8	24	32	64			5
236	ICON_DOLL_003_004	DOLL	3	4	8	24	32	64			101
237	ICON_DOLL_004_000	DOLL	4	0	8	24	32	64			2
238	ICON_DOLL_004_001	DOLL	4	1	8	24	32	64			3
239	ICON_DOLL_004_002	DOLL	4	2	8	24	32	64			3
240	ICON_DOLL_004_003	DOLL	4	3	8	24	32	64			4
241	ICON_DOLL_004_004	DOLL	4	4	8	24	32	64			3
242	ICON_DOLL_004_005	DOLL	4	5	8	24	32	64			4
243	ICON_DOLL_005_000	DOLL	5	0	8	24	32	64			3
244	ICON_DOLL_005_001	DOLL	5	1	8	24	32	64			4
245	ICON_DOLL_005_002	DOLL	5	2	8	24	32	64			3
246	ICON_DOLL_005_003	DOLL	5	3	8	24	32	64			4
247	ICON_DOLL_005_004	DOLL	5	4	8	24	32	64			5
248	ICON_DOLL_005_005	DOLL	5	5	8	24	32	64			4
999	ICON_SKULL_005_004	SKULL	5	4	8	24	8	64			3
