n_ID	s_Text
21	เมื่อได้รับจดหมายจากเพื่อนหรือส่งจดหมายให้เพื่อน จะได้รับ BUFF ด้วยนะ!
22	สามารถใช้อีโมชั่นเพื่อแสดงความรู้สึกได้~
23	ในพื้นที่ใหญ่ต่างๆจะมีปืนใหญ่ที่ใช้ได้ หามันให้เจอเพื่อนการเดินทางที่เร็วขึ้น!
24	ค่าขวัญจะฟื้นฟู 1 แต้ม ทุกๆ 2 นาที กรุณาใช้ใช้คุ้มค่า～
25	เมื่อได้ตำแหน่งพิเศษแล้ว สามารถใช้ในช่องสกิลขยาย แต่สามารถใส่สกิลตำแหน่งพิเศษได้แค่ 3 สกิลเท่านั้น!
26	การกระโดดของ VIP จะสูงกว่ากระโดดธรรมดาๆถึง 4 เท่า~
27	ปุ่มคีย์ลัด: Shfit+คลิกซ้าย ในสถานที่ประมูลหรือในกระเป๋า สามารถโชว์ข้อมูลไอเทมได้ทันที
28	ใช้ยาฟื้นฟูสามารถเพิ่มเลือดได้เต็มในเวลาสั้นๆ!
29	กิลด์เลเวล 3 สามารถเปิดคลังกิลด์ได้~ใส่ไอเทมได้จำนวนมาก
30	คลังกิลด์จะมีเพียงสมาชิกในกิลด์ที่เป็น VIP เท่านั้นที่รับได้ สมาชิกธรรมดาไม่สามารถใช้ได้
31	เมื่อกิลด์เลเวลถึง 3 จะเปิดใช้ฟังก์ชั่น Guild Island 
32	บน Guild Island มีภารกิจประจำวันให้ทำ ได้รับค่า EXP มากมาย
33	ถาดหลอมคริสตัลจะดูดซับส่วนบำรุง 1 ครั้งทุกๆชั่วโมง
34	เลเวลหลอมผลึกที่สามารถบำรุงได้จะเพิ่มขึ้นตามเลเวลของผู้เล่น
35	ปุ่มคีย์ลัด: Z ใช้ในตอนที่ไม่ได้ต่อสู้ สามารถนำอาวุธออกมาหรือเก็บอาวุธได้
36	นำทางเป้าหมายในเกม สามารถมองเห็นภารกิจที่ยังทำไม่สำเร็จในวันนี้ และวิธีการรับไอเทม
37	Atlantic Ocean ประกอบด้วย Rising Sun Sea และ Dark Fog Sea
38	ใน Outer Space Ocean มี Taboo Sea และ Pale Silver Sea
39	ปุ่มคีย์ลัด: Ctrl+H สามารถซ่อนตัวละครตัวเองได้ เหมาะในการใช้เก็บภาพ~
40	กด W ในตอนบิน สามารถบินได้ไวขึ้น สามารถไปที่ที่ไม่เคยไปได้อีกด้วย!
41	อยากเต้นไหม~? คำสั่งอีโมชั่นจัดให้ท่านได้~
42	การตั้งค่าจะอยู่ในหน้า "อื่นๆ" สามารถตั้งค่าการดำเนินการตามที่ตนเองถนัด~
43	ผู้เล่นที่เลเวลเกิน 30 ไปแล้วสามารถตั้งแผงลอยได้ใน "Port Royal" นะ~
44	เมื่ออาชีพ Gladiator ทำการหลบหลีก จะเพิ่มเลือดสูงสุด 5% 
45	การหลบหลีกของตัวละครจะทำให้อยู่ในสถานะไร้ศัตรู~
46	CP คือค่ากำลัง ทุกวินาทีจะฟื้นฟู 2 แต้ม~ ทุกครั้งที่ทำการหลบหลีกจะใช้ CP 25 แต้ม~
47	เข้าร่วมกิลด์สามารถรับเงินได้ทุกวันเลย~
48	สกิลที่เรียนแล้วสามารถกด Shift+คลิกซ้ายเพื่อประกาศในช่องแชทได้
49	เนื้อหาความสำเร็จสามารถกด Shift+คลิกซ้ายเพื่อประกาศในช่องแชทได้
50	จะต้องเพิ่มเพื่อนก่อน ค่าความสนิทจึงจะเพิ่มขึ้น~
51	ร่วมตี BOSS ด้วยกัน สามารถเพิ่มค่าความสนิทได้
52	ในแต่ละวันสามารถไปที่ร้านค้าค่าความสนิทเพื่อซื้อคริสตัลสีแดงและไข่สัตว์เลี้ยงได้!
53	ยาฟื้นฟูแพงเกินไปสินะ? ท่านสามารถเปลี่ยนมาซื้อพุดดิ้งที่ราคาถูกกว่าแถมฟื้นฟูได้เยอะกว่าได้!
54	อยากได้ชุดแฟชั่นอื่นๆอีกไหมล่ะ? ไปที่ร้านขายเสื้อผ้าเพื่อเลือกซื้อได้เลย!
