n_ID	n_AMOUNT	n_PETITEM_ID	n_SAILORITEM_ID	n_WEIGHT	n_CHANGETIME	s_HK_VER	s_TC_VER	s_JP_VER	s_TH_VER
219	4	2414053	2800003	250	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
220	4	2414057	2800003	250	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
221	4	2414064	2800003	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
222	4	2414066	2800003	250	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
223	4	2414069	2800003	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
224	4	2414011	2800004	250	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
225	4	2414019	2800004	250	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
226	4	2414023	2800004	250	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
227	4	2414032	2800004	250	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
228	4	2414036	2800004	250	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
229	4	2414053	2800004	250	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
230	4	2414057	2800004	250	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
231	4	2414066	2800004	250	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
232	4	2414003	2800004	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
233	4	2414021	2800005	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
234	4	2414007	2800005	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
235	4	2414061	2800005	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
236	4	2414059	2800005	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
237	4	2414013	2800005	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
238	4	2414030	2800005	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
239	4	2414026	2800005	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
240	4	2414054	2800005	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
241	4	2414009	2800005	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
242	4	2414016	2800005	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
243	4	2414025	2800005	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
244	4	2414063	2800005	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
245	4	2414012	2800005	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
246	4	2414043	2800005	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
247	4	2414033	2800005	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
248	4	2414056	2800005	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
249	4	2414062	2800005	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
250	4	2414040	2800005	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
251	4	2414051	2800005	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
252	4	2414010	2800006	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
253	4	2414004	2800006	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
254	4	2414070	2800006	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
255	4	2414020	2800006	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
256	4	2414005	2800006	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
257	4	2414014	2800006	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
258	4	2414018	2800006	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
259	4	2414024	2800006	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
260	4	2414027	2800006	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
261	4	2414031	2800006	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
262	4	2414035	2800006	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
263	4	2414037	2800006	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
264	4	2414044	2800006	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
265	4	2414046	2800006	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
266	4	2414050	2800006	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
267	4	2414065	2800006	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
281	4	2414038	2800007	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
282	4	2414041	2800007	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
283	4	2414045	2800007	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
284	4	2414047	2800007	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
285	4	2414048	2800007	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
286	4	2414049	2800007	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
287	4	2414052	2800007	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
288	4	2414055	2800007	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
289	4	2414058	2800007	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
290	4	2414060	2800007	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
291	4	2414067	2800007	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
292	4	2414068	2800007	500	1	1.00.0000	1.07.0000	1.07.0000	1.07.0000
