n_ID	s_GUILDSKILL_TYPE_NAME	s_GUILDSKILL_NAME	s_GUILDSKILL_EXPLAIN
73	ค่ากายตัวละคร	+1	ค่าสเตตัสกายของตัวละคร +1
74	ค่ากายตัวละคร	+3	ค่าสเตตัสกายของตัวละคร +3
75	ค่ากายตัวละคร	+5	ค่าสเตตัสกายของตัวละคร +5
76	ค่ากายตัวละคร	+8	ค่าสเตตัสกายของตัวละคร +8
77	ค่ากายตัวละคร	+15	ค่าสเตตัสกายของตัวละคร +15
78	ค่ากายตัวละคร	+20	ค่าสเตตัสกายของตัวละคร +20
79	ค่ากายตัวละคร	+40	ค่าสเตตัสกายของตัวละคร +40
80	ค่ากายตัวละคร	+45	ค่าสเตตัสกายของตัวละคร +45
81	ค่ากายตัวละคร	+55	ค่าสเตตัสกายของตัวละคร +55
82	ค่าว่องไวตัวละคร	+1	ค่าสเตตัสว่องไวของตัวละคร +1
83	ค่าว่องไวตัวละคร	+3	ค่าสเตตัสว่องไวของตัวละคร +3
84	ค่าว่องไวตัวละคร	+5	ค่าสเตตัสว่องไวของตัวละคร +5
85	ค่าว่องไวตัวละคร	+8	ค่าสเตตัสว่องไวของตัวละคร +8
86	ค่าว่องไวตัวละคร	+15	ค่าสเตตัสว่องไวของตัวละคร +15
87	ค่าว่องไวตัวละคร	+20	ค่าสเตตัสว่องไวของตัวละคร +20
88	ค่าว่องไวตัวละคร	+40	ค่าสเตตัสว่องไวของตัวละคร +40
89	ค่าว่องไวตัวละคร	+45	ค่าสเตตัสว่องไวของตัวละคร +45
90	ค่าว่องไวตัวละคร	+55	ค่าสเตตัสว่องไวของตัวละคร +55
91	ค่าปัญญาตัวละคร	+1	ค่าสเตตัสปัญญาของตัวละคร +1
92	ค่าปัญญาตัวละคร	+3	ค่าสเตตัสปัญญาของตัวละคร +3
93	ค่าปัญญาตัวละคร	+5	ค่าสเตตัสปัญญาของตัวละคร +5
94	ค่าปัญญาตัวละคร	+8	ค่าสเตตัสปัญญาของตัวละคร +8
95	ค่าปัญญาตัวละคร	+15	ค่าสเตตัสปัญญาของตัวละคร +15
96	ค่าปัญญาตัวละคร	+20	ค่าสเตตัสปัญญาของตัวละคร +20
97	ค่าปัญญาตัวละคร	+40	ค่าสเตตัสปัญญาของตัวละคร +40
98	ค่าปัญญาตัวละคร	+45	ค่าสเตตัสปัญญาของตัวละคร +45
99	ค่าปัญญาตัวละคร	+55	ค่าสเตตัสปัญญาของตัวละคร +55
100	ค่ารู้สึกตัวละคร	+1	ค่าสเตตัสรู้สึกของตัวละคร +1
101	ค่ารู้สึกตัวละคร	+3	ค่าสเตตัสรู้สึกของตัวละคร +3
102	ค่ารู้สึกตัวละคร	+5	ค่าสเตตัสรู้สึกของตัวละคร +5
103	ค่ารู้สึกตัวละคร	+8	ค่าสเตตัสรู้สึกของตัวละคร +8
104	ค่ารู้สึกตัวละคร	+15	ค่าสเตตัสรู้สึกของตัวละคร +15
105	ค่ารู้สึกตัวละคร	+20	ค่าสเตตัสรู้สึกของตัวละคร +20
106	ค่ารู้สึกตัวละคร	+40	ค่าสเตตัสรู้สึกของตัวละคร +40
107	ค่ารู้สึกตัวละคร	+45	ค่าสเตตัสรู้สึกของตัวละคร +45
108	ค่ารู้สึกตัวละคร	+55	ค่าสเตตัสรู้สึกของตัวละคร +55
9001	อัตราดรอปของในการต่อสู้	+1%	เมื่อการต่อสู้จบ อัตราการดรอป +1%
9003	อัตราดรอปของในการต่อสู้	+2%	เมื่อการต่อสู้จบ อัตราการดรอป +2%
9005	อัตราดรอปของในการต่อสู้	+3%	เมื่อการต่อสู้จบ อัตราการดรอป +3%
9007	อัตราดรอปของในการต่อสู้	+4%	เมื่อการต่อสู้จบ อัตราการดรอป +4%
9009	อัตราดรอปของในการต่อสู้	+5%	เมื่อการต่อสู้จบ อัตราการดรอป +5%
9010	ค่า EXP ในการต่อสู้	+1%	เมื่อการต่อสู้จบ ได้รับค่า EXP +1%
9011	ค่า EXP ในการต่อสู้	+2%	เมื่อการต่อสู้จบ ได้รับค่า EXP +2%
9012	ค่า EXP ในการต่อสู้	+3%	เมื่อการต่อสู้จบ ได้รับค่า EXP +3%
9013	ค่า EXP ในการต่อสู้	+4%	เมื่อการต่อสู้จบ ได้รับค่า EXP +4%
9014	ค่า EXP ในการต่อสู้	+5%	เมื่อการต่อสู้จบ ได้รับค่า EXP +5%
9015	ค่า EXP ในการต่อสู้	+7%	เมื่อการต่อสู้จบ ได้รับค่า EXP +7%
9016	ค่า EXP ในการต่อสู้	+8%	เมื่อการต่อสู้จบ ได้รับค่า EXP +8%
9017	ค่า EXP ในการต่อสู้	+9%	เมื่อการต่อสู้จบ ได้รับค่า EXP +9%
9018	ค่า EXP ในการต่อสู้	+10%	เมื่อการต่อสู้จบ ได้รับค่า EXP +10%
9019	แต้มสกิลในการต่อสู้	+1%	เมื่อการต่อสู้จบ ได้รับแต้มสกิล +1%
9020	แต้มสกิลในการต่อสู้	+2%	เมื่อการต่อสู้จบ ได้รับแต้มสกิล +2%
9021	แต้มสกิลในการต่อสู้	+3%	เมื่อการต่อสู้จบ ได้รับแต้มสกิล +3%
9022	แต้มสกิลในการต่อสู้	+4%	เมื่อการต่อสู้จบ ได้รับแต้มสกิล +4%
9023	แต้มสกิลในการต่อสู้	+5%	เมื่อการต่อสู้จบ ได้รับแต้มสกิล +5%
9024	แต้มสกิลในการต่อสู้	+7%	เมื่อการต่อสู้จบ ได้รับแต้มสกิล +7%
9025	แต้มสกิลในการต่อสู้	+8%	เมื่อการต่อสู้จบ ได้รับแต้มสกิล +8%
9026	แต้มสกิลในการต่อสู้	+9%	เมื่อการต่อสู้จบ ได้รับแต้มสกิล +9%
9027	แต้มสกิลในการต่อสู้	+10%	เมื่อการต่อสู้จบ ได้รับแต้มสกิล +10%
9028	ค่าความดีในการต่อสู้	+10%	เมื่อการต่อสู้จบ ได้รับค่าความดี +10%
9030	ค่าความดีในการต่อสู้	+20%	เมื่อการต่อสู้จบ ได้รับค่าความดี +20%
9032	ค่าความดีในการต่อสู้	+30%	เมื่อการต่อสู้จบ ได้รับค่าความดี +30%
9034	ค่าความดีในการต่อสู้	+40%	เมื่อการต่อสู้จบ ได้รับค่าความดี +40%
9036	ค่าความดีในการต่อสู้	+50%	เมื่อการต่อสู้จบ ได้รับค่าความดี +50%
9037	ค่าความสนิทเพื่อน	+10%	ร่วมต่อสู้กับเพื่อน เมื่อจบการต่อสู้ทั้งสองจะได้รับค่าความสนิท +10%
9039	ค่าความสนิทเพื่อน	+15%	ร่วมต่อสู้กับเพื่อน เมื่อจบการต่อสู้ทั้งสองจะได้รับค่าความสนิท +15%
9041	ค่าความสนิทเพื่อน	+20%	ร่วมต่อสู้กับเพื่อน เมื่อจบการต่อสู้ทั้งสองจะได้รับค่าความสนิท +20%
9043	ค่าความสนิทเพื่อน	+25%	ร่วมต่อสู้กับเพื่อน เมื่อจบการต่อสู้ทั้งสองจะได้รับค่าความสนิท +25%
9045	ค่าความสนิทเพื่อน	+30%	ร่วมต่อสู้กับเพื่อน เมื่อจบการต่อสู้ทั้งสองจะได้รับค่าความสนิท +30%
9046	กำหนดเวลาเพิ่ม EXP 	+250	ทุกๆ 5 นาที ได้รับ EXP +250
9047	กำหนดเวลาเพิ่ม EXP 	+500	ทุกๆ 5 นาที ได้รับ EXP +500
9048	กำหนดเวลาเพิ่ม EXP 	+750	ทุกๆ 5 นาที ได้รับ EXP +750
9049	กำหนดเวลาเพิ่ม EXP 	+1000	ทุกๆ 5 นาที ได้รับ EXP +1000
9050	กำหนดเวลาเพิ่ม EXP 	+1250	ทุกๆ 5 นาที ได้รับ EXP +1250
9051	กำหนดเวลาเพิ่ม EXP 	+1500	ทุกๆ 5 นาที ได้รับ EXP +1500
9052	กำหนดเวลาเพิ่ม EXP 	+1750	ทุกๆ 5 นาที ได้รับ EXP +1750
9053	กำหนดเวลาเพิ่ม EXP 	+2000	ทุกๆ 5 นาที ได้รับ EXP +2000
9054	กำหนดเวลาเพิ่ม EXP 	+2250	ทุกๆ 5 นาที ได้รับ EXP +2250
9055	กำหนดเวลาเพิ่มแต้มสกิล	+125	ทุกๆ 5 นาที ได้รับแต้มสกิล +125
9056	กำหนดเวลาเพิ่มแต้มสกิล	+250	ทุกๆ 5 นาที ได้รับแต้มสกิล +250
9057	กำหนดเวลาเพิ่มแต้มสกิล	+375	ทุกๆ 5 นาที ได้รับแต้มสกิล +375
9058	กำหนดเวลาเพิ่มแต้มสกิล	+500	ทุกๆ 5 นาที ได้รับแต้มสกิล +500
9059	กำหนดเวลาเพิ่มแต้มสกิล	+625	ทุกๆ 5 นาที ได้รับแต้มสกิล +625
9060	กำหนดเวลาเพิ่มแต้มสกิล	+750	ทุกๆ 5 นาที ได้รับแต้มสกิล +750
9061	กำหนดเวลาเพิ่มแต้มสกิล	+875	ทุกๆ 5 นาที ได้รับแต้มสกิล +875
9062	กำหนดเวลาเพิ่มแต้มสกิล	+1000	ทุกๆ 5 นาที ได้รับแต้มสกิล +1000
9063	กำหนดเวลาเพิ่มแต้มสกิล	+1125	ทุกๆ 5 นาที ได้รับแต้มสกิล +1125
9064	ค่าพลังตัวละคร	+2	ค่าสเตตัสพลังของตัวละคร +2
9065	ค่าพลังตัวละคร	+4	ค่าสเตตัสพลังของตัวละคร +4
9066	ค่าพลังตัวละคร	+6	ค่าสเตตัสพลังของตัวละคร +6
9067	ค่าพลังตัวละคร	+8	ค่าสเตตัสพลังของตัวละคร +8
9068	ค่าพลังตัวละคร	+10	ค่าสเตตัสพลังของตัวละคร +10
9069	ค่าพลังตัวละคร	+12	ค่าสเตตัสพลังของตัวละคร +12
9070	ค่าพลังตัวละคร	+14	ค่าสเตตัสพลังของตัวละคร +14
9071	ค่าพลังตัวละคร	+16	ค่าสเตตัสพลังของตัวละคร +16
9072	ค่าพลังตัวละคร	+18	ค่าสเตตัสพลังของตัวละคร +18
9073	ค่ากายตัวละคร	+2	ค่าสเตตัสกายของตัวละคร +2
9074	ค่ากายตัวละคร	+4	ค่าสเตตัสกายของตัวละคร +4
9075	ค่ากายตัวละคร	+6	ค่าสเตตัสกายของตัวละคร +6
9076	ค่ากายตัวละคร	+8	ค่าสเตตัสกายของตัวละคร +8
9077	ค่ากายตัวละคร	+10	ค่าสเตตัสกายของตัวละคร +10
9078	ค่ากายตัวละคร	+12	ค่าสเตตัสกายของตัวละคร +12
9079	ค่ากายตัวละคร	+14	ค่าสเตตัสกายของตัวละคร +14
9080	ค่ากายตัวละคร	+16	ค่าสเตตัสกายของตัวละคร +16
9081	ค่ากายตัวละคร	+18	ค่าสเตตัสกายของตัวละคร +18
9082	ค่าว่องไวตัวละคร	+2	ค่าสเตตัสว่องไวของตัวละคร +2
9083	ค่าว่องไวตัวละคร	+4	ค่าสเตตัสว่องไวของตัวละคร +4
9084	ค่าว่องไวตัวละคร	+6	ค่าสเตตัสว่องไวของตัวละคร +6
9085	ค่าว่องไวตัวละคร	+8	ค่าสเตตัสว่องไวของตัวละคร +8
9086	ค่าว่องไวตัวละคร	+10	ค่าสเตตัสว่องไวของตัวละคร +10
9087	ค่าว่องไวตัวละคร	+12	ค่าสเตตัสว่องไวของตัวละคร +12
9088	ค่าว่องไวตัวละคร	+14	ค่าสเตตัสว่องไวของตัวละคร +14
9089	ค่าว่องไวตัวละคร	+16	ค่าสเตตัสว่องไวของตัวละคร +16
9090	ค่าว่องไวตัวละคร	+18	ค่าสเตตัสว่องไวของตัวละคร +18
9091	ค่าปัญญาตัวละคร	+2	ค่าสเตตัสปัญญาของตัวละคร +2
9092	ค่าปัญญาตัวละคร	+4	ค่าสเตตัสปัญญาของตัวละคร +4
9093	ค่าปัญญาตัวละคร	+6	ค่าสเตตัสปัญญาของตัวละคร +6
9094	ค่าปัญญาตัวละคร	+8	ค่าสเตตัสปัญญาของตัวละคร +8
9095	ค่าปัญญาตัวละคร	+10	ค่าสเตตัสปัญญาของตัวละคร +10
9096	ค่าปัญญาตัวละคร	+12	ค่าสเตตัสปัญญาของตัวละคร +12
9097	ค่าปัญญาตัวละคร	+14	ค่าสเตตัสปัญญาของตัวละคร +14
9098	ค่าปัญญาตัวละคร	+16	ค่าสเตตัสปัญญาของตัวละคร +16
9099	ค่าปัญญาตัวละคร	+18	ค่าสเตตัสปัญญาของตัวละคร +18
9100	ค่ารู้สึกตัวละคร	+2	ค่าสเตตัสรู้สึกของตัวละคร +2
9101	ค่ารู้สึกตัวละคร	+4	ค่าสเตตัสรู้สึกของตัวละคร +4
9102	ค่ารู้สึกตัวละคร	+6	ค่าสเตตัสรู้สึกของตัวละคร +6
9103	ค่ารู้สึกตัวละคร	+8	ค่าสเตตัสรู้สึกของตัวละคร +8
9104	ค่ารู้สึกตัวละคร	+10	ค่าสเตตัสรู้สึกของตัวละคร +10
9105	ค่ารู้สึกตัวละคร	+12	ค่าสเตตัสรู้สึกของตัวละคร +12
9106	ค่ารู้สึกตัวละคร	+14	ค่าสเตตัสรู้สึกของตัวละคร +14
9107	ค่ารู้สึกตัวละคร	+16	ค่าสเตตัสรู้สึกของตัวละคร +16
9108	ค่ารู้สึกตัวละคร	+18	ค่าสเตตัสรู้สึกของตัวละคร +18
9109	อัตราดรอปของในการต่อสู้	+1%	เมื่อการต่อสู้จบ อัตราการดรอป +1%
9111	อัตราดรอปของในการต่อสู้	+2%	เมื่อการต่อสู้จบ อัตราการดรอป +2%
9113	อัตราดรอปของในการต่อสู้	+3%	เมื่อการต่อสู้จบ อัตราการดรอป +3%
9115	อัตราดรอปของในการต่อสู้	+4%	เมื่อการต่อสู้จบ อัตราการดรอป +4%
9117	อัตราดรอปของในการต่อสู้	+5%	เมื่อการต่อสู้จบ อัตราการดรอป +5%
9118	ค่า EXP ในการต่อสู้	+1%	เมื่อการต่อสู้จบ ได้รับค่า EXP +1%
9119	ค่า EXP ในการต่อสู้	+2%	เมื่อการต่อสู้จบ ได้รับค่า EXP +2%
9120	ค่า EXP ในการต่อสู้	+3%	เมื่อการต่อสู้จบ ได้รับค่า EXP +3%
9121	ค่า EXP ในการต่อสู้	+4%	เมื่อการต่อสู้จบ ได้รับค่า EXP +4%
9122	ค่า EXP ในการต่อสู้	+5%	เมื่อการต่อสู้จบ ได้รับค่า EXP +5%
9123	ค่า EXP ในการต่อสู้	+7%	เมื่อการต่อสู้จบ ได้รับค่า EXP +7%
9124	ค่า EXP ในการต่อสู้	+8%	เมื่อการต่อสู้จบ ได้รับค่า EXP +8%
9125	ค่า EXP ในการต่อสู้	+9%	เมื่อการต่อสู้จบ ได้รับค่า EXP +9%
9126	ค่า EXP ในการต่อสู้	+10%	เมื่อการต่อสู้จบ ได้รับค่า EXP +10%
9127	แต้มสกิลในการต่อสู้	+1%	เมื่อการต่อสู้จบ ได้รับแต้มสกิล +1%
9128	แต้มสกิลในการต่อสู้	+2%	เมื่อการต่อสู้จบ ได้รับแต้มสกิล +2%
9129	แต้มสกิลในการต่อสู้	+3%	เมื่อการต่อสู้จบ ได้รับแต้มสกิล +3%
9130	แต้มสกิลในการต่อสู้	+4%	เมื่อการต่อสู้จบ ได้รับแต้มสกิล +4%
9131	แต้มสกิลในการต่อสู้	+5%	เมื่อการต่อสู้จบ ได้รับแต้มสกิล +5%
9132	แต้มสกิลในการต่อสู้	+7%	เมื่อการต่อสู้จบ ได้รับแต้มสกิล +7%
9133	แต้มสกิลในการต่อสู้	+8%	เมื่อการต่อสู้จบ ได้รับแต้มสกิล +8%
9134	แต้มสกิลในการต่อสู้	+9%	เมื่อการต่อสู้จบ ได้รับแต้มสกิล +9%
9135	แต้มสกิลในการต่อสู้	+10%	เมื่อการต่อสู้จบ ได้รับแต้มสกิล +10%
9136	ค่าความดีในการต่อสู้	+10%	เมื่อการต่อสู้จบ ได้รับค่าความดี +10%
9138	ค่าความดีในการต่อสู้	+20%	เมื่อการต่อสู้จบ ได้รับค่าความดี +20%
9140	ค่าความดีในการต่อสู้	+30%	เมื่อการต่อสู้จบ ได้รับค่าความดี +30%
9142	ค่าความดีในการต่อสู้	+40%	เมื่อการต่อสู้จบ ได้รับค่าความดี +40%
9144	ค่าความดีในการต่อสู้	+50%	เมื่อการต่อสู้จบ ได้รับค่าความดี +50%
9145	ค่าความสนิทเพื่อน	+10%	ร่วมต่อสู้กับเพื่อน เมื่อจบการต่อสู้ทั้งสองจะได้รับค่าความสนิท +10%
9147	ค่าความสนิทเพื่อน	+15%	ร่วมต่อสู้กับเพื่อน เมื่อจบการต่อสู้ทั้งสองจะได้รับค่าความสนิท +15%
9149	ค่าความสนิทเพื่อน	+20%	ร่วมต่อสู้กับเพื่อน เมื่อจบการต่อสู้ทั้งสองจะได้รับค่าความสนิท +20%
9151	ค่าความสนิทเพื่อน	+25%	ร่วมต่อสู้กับเพื่อน เมื่อจบการต่อสู้ทั้งสองจะได้รับค่าความสนิท +25%
9153	ค่าความสนิทเพื่อน	+30%	ร่วมต่อสู้กับเพื่อน เมื่อจบการต่อสู้ทั้งสองจะได้รับค่าความสนิท +30%
9154	กำหนดเวลาเพิ่ม EXP 	+250	ทุกๆ 5 นาที ได้รับ EXP +250
9155	กำหนดเวลาเพิ่ม EXP 	+500	ทุกๆ 5 นาที ได้รับ EXP +500
9156	กำหนดเวลาเพิ่ม EXP 	+750	ทุกๆ 5 นาที ได้รับ EXP +750
9157	กำหนดเวลาเพิ่ม EXP 	+1000	ทุกๆ 5 นาที ได้รับ EXP +1000
9158	กำหนดเวลาเพิ่ม EXP 	+1250	ทุกๆ 5 นาที ได้รับ EXP +1250
9159	กำหนดเวลาเพิ่ม EXP 	+1500	ทุกๆ 5 นาที ได้รับ EXP +1500
9160	กำหนดเวลาเพิ่ม EXP 	+1750	ทุกๆ 5 นาที ได้รับ EXP +1750
9161	กำหนดเวลาเพิ่ม EXP 	+2000	ทุกๆ 5 นาที ได้รับ EXP +2000
9162	กำหนดเวลาเพิ่ม EXP 	+2250	ทุกๆ 5 นาที ได้รับ EXP +2250
9163	กำหนดเวลาเพิ่มแต้มสกิล	+125	ทุกๆ 5 นาที ได้รับแต้มสกิล +125
9164	กำหนดเวลาเพิ่มแต้มสกิล	+250	ทุกๆ 5 นาที ได้รับแต้มสกิล +250
9165	กำหนดเวลาเพิ่มแต้มสกิล	+375	ทุกๆ 5 นาที ได้รับแต้มสกิล +375
9166	กำหนดเวลาเพิ่มแต้มสกิล	+500	ทุกๆ 5 นาที ได้รับแต้มสกิล +500
9167	กำหนดเวลาเพิ่มแต้มสกิล	+625	ทุกๆ 5 นาที ได้รับแต้มสกิล +625
9168	กำหนดเวลาเพิ่มแต้มสกิล	+750	ทุกๆ 5 นาที ได้รับแต้มสกิล +750
9169	กำหนดเวลาเพิ่มแต้มสกิล	+875	ทุกๆ 5 นาที ได้รับแต้มสกิล +875
9170	กำหนดเวลาเพิ่มแต้มสกิล	+1000	ทุกๆ 5 นาที ได้รับแต้มสกิล +1000
9171	กำหนดเวลาเพิ่มแต้มสกิล	+1125	ทุกๆ 5 นาที ได้รับแต้มสกิล +1125
9172	ค่าพลังตัวละคร	+2	ค่าสเตตัสพลังของตัวละคร +2
9173	ค่าพลังตัวละคร	+4	ค่าสเตตัสพลังของตัวละคร +4
9174	ค่าพลังตัวละคร	+6	ค่าสเตตัสพลังของตัวละคร +6
9175	ค่าพลังตัวละคร	+8	ค่าสเตตัสพลังของตัวละคร +8
9176	ค่าพลังตัวละคร	+10	ค่าสเตตัสพลังของตัวละคร +10
9177	ค่าพลังตัวละคร	+12	ค่าสเตตัสพลังของตัวละคร +12
9178	ค่าพลังตัวละคร	+14	ค่าสเตตัสพลังของตัวละคร +14
9179	ค่าพลังตัวละคร	+16	ค่าสเตตัสพลังของตัวละคร +16
9180	ค่าพลังตัวละคร	+18	ค่าสเตตัสพลังของตัวละคร +18
9181	ค่ากายตัวละคร	+2	ค่าสเตตัสกายของตัวละคร +2
9182	ค่ากายตัวละคร	+4	ค่าสเตตัสกายของตัวละคร +4
9183	ค่ากายตัวละคร	+6	ค่าสเตตัสกายของตัวละคร +6
9184	ค่ากายตัวละคร	+8	ค่าสเตตัสกายของตัวละคร +8
9185	ค่ากายตัวละคร	+10	ค่าสเตตัสกายของตัวละคร +10
9186	ค่ากายตัวละคร	+12	ค่าสเตตัสกายของตัวละคร +12
9187	ค่ากายตัวละคร	+14	ค่าสเตตัสกายของตัวละคร +14
9188	ค่ากายตัวละคร	+16	ค่าสเตตัสกายของตัวละคร +16
9189	ค่ากายตัวละคร	+18	ค่าสเตตัสกายของตัวละคร +18
9190	ค่าว่องไวตัวละคร	+2	ค่าสเตตัสว่องไวของตัวละคร +2
9191	ค่าว่องไวตัวละคร	+4	ค่าสเตตัสว่องไวของตัวละคร +4
9192	ค่าว่องไวตัวละคร	+6	ค่าสเตตัสว่องไวของตัวละคร +6
9193	ค่าว่องไวตัวละคร	+8	ค่าสเตตัสว่องไวของตัวละคร +8
9194	ค่าว่องไวตัวละคร	+10	ค่าสเตตัสว่องไวของตัวละคร +10
9195	ค่าว่องไวตัวละคร	+12	ค่าสเตตัสว่องไวของตัวละคร +12
