n_ID	s_NAME	n_OUTCOME	n_OUTQUANTITY	n_MAKETIME	n_CONTAINER	n_MATERIAL_1	n_QUANTITY_1	n_MATERIAL_2	n_QUANTITY_2	n_MATERIAL_3	n_QUANTITY_3	n_LEARNLV	f_LUCKYRATE	n_OUTCOME_LUCKY	n_OUTQUANTITY_LUCKY
35	Lv4狂罪甜酒	2405062	10	1800	2	2600152	20	2600192	21	2600196	19	0	0.0	0	0
36	Lv4攝魂甜酒	2405063	10	1800	2	2600152	20	2600192	21	2600194	19	0	0.0	0	0
37	Lv5蠻地之風	2405073	10	3600	1	2600101	25	2600191	30	2600193	28	0	0.0	0	0
38	Lv5護城之勇	2405074	10	3600	1	2600102	25	2600191	30	2600193	28	0	0.0	0	0
39	Lv5騰躍之角	2405075	10	3600	1	2600103	25	2600191	30	2600193	28	0	0.0	0	0
40	Lv5靈心之護	2405076	10	3600	1	2600103	25	2600191	30	2600195	28	0	0.0	0	0
41	Lv5文明之界	2405077	10	3600	1	2600101	25	2600191	30	2600195	28	0	0.0	0	0
42	Lv5凝神甜酒	2405078	10	3600	2	2600151	25	2600192	30	2600196	28	0	0.0	0	0
43	Lv5燕迴甜酒	2405079	10	3600	2	2600151	25	2600192	30	2600194	28	0	0.0	0	0
44	Lv5狂罪甜酒	2405080	10	3600	2	2600152	25	2600192	30	2600196	28	0	0.0	0	0
45	Lv5攝魂甜酒	2405081	10	3600	2	2600152	25	2600192	30	2600194	28	0	0.0	0	0
46		0	0	0	0	0	0	0	0	0	0	0	0.0	0	0
47		0	0	0	0	0	0	0	0	0	0	0	0.0	0	0
48		0	0	0	0	0	0	0	0	0	0	0	0.0	0	0
49		0	0	0	0	0	0	0	0	0	0	0	0.0	0	0
50		0	0	0	0	0	0	0	0	0	0	0	0.0	0	0
51		0	0	0	0	0	0	0	0	0	0	0	0.0	0	0
52		0	0	0	0	0	0	0	0	0	0	0	0.0	0	0
53		0	0	0	0	0	0	0	0	0	0	0	0.0	0	0
54		0	0	0	0	0	0	0	0	0	0	0	0.0	0	0
55		0	0	0	0	0	0	0	0	0	0	0	0.0	0	0
56		0	0	0	0	0	0	0	0	0	0	0	0.0	0	0
57		0	0	0	0	0	0	0	0	0	0	0	0.0	0	0
58		0	0	0	0	0	0	0	0	0	0	0	0.0	0	0
59		0	0	0	0	0	0	0	0	0	0	0	0.0	0	0
60		0	0	0	0	0	0	0	0	0	0	0	0.0	0	0
61		0	0	0	0	0	0	0	0	0	0	0	0.0	0	0
62		0	0	0	0	0	0	0	0	0	0	0	0.0	0	0
63		0	0	0	0	0	0	0	0	0	0	0	0.0	0	0
64		0	0	0	0	0	0	0	0	0	0	0	0.0	0	0
65		0	0	0	0	0	0	0	0	0	0	0	0.0	0	0
66		0	0	0	0	0	0	0	0	0	0	0	0.0	0	0
67		0	0	0	0	0	0	0	0	0	0	0	0.0	0	0
68		0	0	0	0	0	0	0	0	0	0	0	0.0	0	0
69		0	0	0	0	0	0	0	0	0	0	0	0.0	0	0
70		0	0	0	0	0	0	0	0	0	0	0	0.0	0	0
71		0	0	0	0	0	0	0	0	0	0	0	0.0	0	0
72		0	0	0	0	0	0	0	0	0	0	0	0.0	0	0
73		0	0	0	0	0	0	0	0	0	0	0	0.0	0	0
74		0	0	0	0	0	0	0	0	0	0	0	0.0	0	0
75		0	0	0	0	0	0	0	0	0	0	0	0.0	0	0
76		0	0	0	0	0	0	0	0	0	0	0	0.0	0	0
77		0	0	0	0	0	0	0	0	0	0	0	0.0	0	0
78		0	0	0	0	0	0	0	0	0	0	0	0.0	0	0
79		0	0	0	0	0	0	0	0	0	0	0	0.0	0	0
80		0	0	0	0	0	0	0	0	0	0	0	0.0	0	0
81		0	0	0	0	0	0	0	0	0	0	0	0.0	0	0
82		0	0	0	0	0	0	0	0	0	0	0	0.0	0	0
83		0	0	0	0	0	0	0	0	0	0	0	0.0	0	0
84		0	0	0	0	0	0	0	0	0	0	0	0.0	0	0
85		0	0	0	0	0	0	0	0	0	0	0	0.0	0	0
