n_ID	s_NAME	n_TYPE	n_EQUIPTYPE	n_MOB_RANK	n_LEVEL_MIN	n_LEVEL_MAX	n_WEIGHT	n_EFFECT	n_ADDITIONAL_LEVEL	s_HK_VER	s_TC_VER	s_JP_VER	s_TH_VER
2090	精品	2	7	66	1	255	60	18090	2	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2091	逸品	2	7	4292	1	255	30	18091	3	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2092	極品	2	7	128	1	255	15	18092	4	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2093	良品	2	7	3	1	255	100	18093	1	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2094	精品	2	7	66	1	255	60	18094	2	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2095	逸品	2	7	4292	1	255	30	18095	3	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2096	極品	2	7	128	1	255	15	18096	4	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2097	良品	2	7	3	1	255	8	18097	1	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2098	精品	2	7	66	1	255	4	18098	2	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2099	逸品	2	7	4292	1	255	2	18099	3	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2100	極品	2	7	128	1	255	1	18100	4	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2101	良品	2	7	3	1	255	8	18101	1	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2102	精品	2	7	66	1	255	4	18102	2	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2103	逸品	2	7	4292	1	255	2	18103	3	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2104	極品	2	7	128	1	255	1	18104	4	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2105	良品	2	7	3	1	255	8	18105	1	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2106	精品	2	7	66	1	255	4	18106	2	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2107	逸品	2	7	4292	1	255	2	18107	3	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2108	極品	2	7	128	1	255	1	18108	4	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2109	良品	2	7	3	1	255	8	18109	1	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2110	精品	2	7	66	1	255	4	18110	2	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2111	逸品	2	7	4292	1	255	2	18111	3	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2112	極品	2	7	128	1	255	1	18112	4	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2113	良品	2	7	3	1	255	8	18113	1	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2114	精品	2	7	66	1	255	4	18114	2	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2115	逸品	2	7	4292	1	255	2	18115	3	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2116	極品	2	7	128	1	255	1	18116	4	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2117	良品	2	7	3	1	255	8	18117	1	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2118	精品	2	7	66	1	255	4	18118	2	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2119	逸品	2	7	4292	1	255	2	18119	3	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2120	極品	2	7	128	1	255	1	18120	4	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2121	良品	2	7	3	1	255	8	18121	1	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2122	精品	2	7	66	1	255	4	18122	2	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2123	逸品	2	7	4292	1	255	2	18123	3	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2124	極品	2	7	128	1	255	1	18124	4	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2125	良品	2	7	3	1	255	8	18125	1	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2126	精品	2	7	66	1	255	4	18126	2	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2127	逸品	2	7	4292	1	255	2	18127	3	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2128	極品	2	7	128	1	255	1	18128	4	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2129	良品	2	7	3	1	255	100	18129	1	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2130	精品	2	7	66	1	255	60	18130	2	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2131	逸品	2	7	4292	1	255	30	18131	3	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2132	極品	2	7	128	1	255	15	18132	4	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2133	良品	2	7	3	1	255	100	18133	1	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2134	精品	2	7	66	1	255	60	18134	2	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2135	逸品	2	7	4292	1	255	30	18135	3	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2136	極品	2	7	128	1	255	15	18136	4	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2137	良品	2	7	3	1	255	100	18137	1	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2138	精品	2	7	66	1	255	60	18138	2	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2139	逸品	2	7	4292	1	255	30	18139	3	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2140	極品	2	7	128	1	255	15	18140	4	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2141	良品	2	7	3	1	255	100	18141	1	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2142	精品	2	7	66	1	255	60	18142	2	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2143	逸品	2	7	4292	1	255	30	18143	3	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2144	極品	2	7	128	1	255	15	18144	4	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2145	良品	2	7	3	1	255	100	18145	1	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2146	精品	2	7	66	1	255	60	18146	2	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2147	逸品	2	7	4292	1	255	30	18147	3	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2148	極品	2	7	128	1	255	15	18148	4	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2149	良品	2	7	3	1	255	100	18149	1	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2150	精品	2	7	66	1	255	60	18150	2	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2151	逸品	2	7	4292	1	255	30	18151	3	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2152	極品	2	7	128	1	255	15	18152	4	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2153	良品	2	7	3	1	255	100	18153	1	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2154	精品	2	7	66	1	255	60	18154	2	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2155	逸品	2	7	4292	1	255	30	18155	3	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2156	極品	2	7	128	1	255	15	18156	4	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2157	良品	2	7	3	1	255	100	18157	1	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2158	精品	2	7	66	1	255	60	18158	2	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2159	逸品	2	7	4292	1	255	30	18159	3	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2160	極品	2	7	128	1	255	15	18160	4	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2161	良品	2	7	3	1	255	100	18161	1	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2162	精品	2	7	66	1	255	30	18162	2	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2163	逸品	2	7	4292	1	255	10	18163	3	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2164	極品	2	7	128	1	255	5	18164	4	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2165	良品	2	7	3	1	255	100	18165	1	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2166	精品	2	7	66	1	255	30	18166	2	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2167	逸品	2	7	4292	1	255	10	18167	3	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2168	極品	2	7	128	1	255	5	18168	4	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2169	良品	2	7	3	1	255	100	18169	1	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2170	精品	2	7	66	1	255	30	18170	2	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2171	逸品	2	7	4292	1	255	10	18171	3	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2172	極品	2	7	128	1	255	5	18172	4	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2173	良品	2	7	3	1	255	100	18173	1	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2174	精品	2	7	66	1	255	30	18174	2	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2175	逸品	2	7	4292	1	255	10	18175	3	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2176	極品	2	7	128	1	255	5	18176	4	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2177	良品	2	7	3	1	255	100	18177	1	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2178	精品	2	7	66	1	255	30	18178	2	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2179	逸品	2	7	4292	1	255	10	18179	3	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2180	極品	2	7	128	1	255	5	18180	4	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2181	良品	2	7	3	1	255	100	18181	1	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2182	精品	2	7	66	1	255	30	18182	2	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2183	逸品	2	7	4292	1	255	10	18183	3	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2184	極品	2	7	128	1	255	5	18184	4	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2185	良品	2	7	3	1	255	100	18185	1	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2186	精品	2	7	66	1	255	30	18186	2	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2187	逸品	2	7	4292	1	255	10	18187	3	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2188	極品	2	7	128	1	255	5	18188	4	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2189	良品	2	7	3	1	255	100	18189	1	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2190	精品	2	7	66	1	255	30	18190	2	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2191	逸品	2	7	4292	1	255	10	18191	3	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2192	極品	2	7	128	1	255	5	18192	4	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2193	良品	2	7	3	1	255	100	18193	1	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2194	精品	2	7	66	1	255	30	18194	2	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2195	逸品	2	7	4292	1	255	10	18195	3	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2196	極品	2	7	128	1	255	5	18196	4	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2197	良品	2	7	3	1	255	100	18197	1	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2198	精品	2	7	66	1	255	30	18198	2	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2199	逸品	2	7	4292	1	255	10	18199	3	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2200	極品	2	7	128	1	255	5	18200	4	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2201	良品	2	7	3	1	255	100	18201	1	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2202	精品	2	7	66	1	255	30	18202	2	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2203	逸品	2	7	4292	1	255	10	18203	3	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2204	極品	2	7	128	1	255	5	18204	4	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2205	良品	2	7	3	1	255	100	18205	1	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2206	精品	2	7	66	1	255	30	18206	2	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2207	逸品	2	7	4292	1	255	10	18207	3	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2208	極品	2	7	128	1	255	5	18208	4	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2209	良品	2	7	3	1	255	100	18209	1	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2210	精品	2	7	66	1	255	30	18210	2	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2211	逸品	2	7	4292	1	255	10	18211	3	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2212	極品	2	7	128	1	255	5	18212	4	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2213	良品	2	7	3	1	255	100	18213	1	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2214	精品	2	7	66	1	255	30	18214	2	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2215	逸品	2	7	4292	1	255	10	18215	3	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2216	極品	2	7	128	1	255	5	18216	4	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2217	良品	2	7	3	1	255	100	18217	1	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2218	精品	2	7	66	1	255	30	18218	2	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2219	逸品	2	7	4292	1	255	10	18219	3	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2220	極品	2	7	128	1	255	5	18220	4	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2221	良品	2	7	3	1	255	100	18221	1	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2222	精品	2	7	66	1	255	30	18222	2	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2223	逸品	2	7	4292	1	255	10	18223	3	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2224	極品	2	7	128	1	255	5	18224	4	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2225	良品	2	7	3	1	255	50	18225	1	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2226	精品	2	7	66	1	255	15	18226	2	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2227	逸品	2	7	4292	1	255	5	18227	3	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2228	極品	2	7	128	1	255	2	18228	4	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2229	良品	2	120	3	1	255	8	18229	1	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2230	精品	2	120	66	1	255	4	18230	2	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2231	逸品	2	120	4292	1	255	2	18231	3	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2232	極品	2	120	128	1	255	1	18232	4	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2233	良品	2	120	3	1	255	8	18233	1	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2234	精品	2	120	66	1	255	4	18234	2	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2235	逸品	2	120	4292	1	255	2	18235	3	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2236	極品	2	120	128	1	255	1	18236	4	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2237	良品	2	120	3	1	255	8	18237	1	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2238	精品	2	120	66	1	255	4	18238	2	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2239	逸品	2	120	4292	1	255	2	18239	3	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2240	極品	2	120	128	1	255	1	18240	4	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2241	良品	2	120	3	1	255	8	18241	1	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2242	精品	2	120	66	1	255	4	18242	2	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2243	逸品	2	120	4292	1	255	2	18243	3	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2244	極品	2	120	128	1	255	1	18244	4	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2245	良品	2	120	3	1	255	8	18245	1	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2246	精品	2	120	66	1	255	4	18246	2	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2247	逸品	2	120	4292	1	255	2	18247	3	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2248	極品	2	120	128	1	255	1	18248	4	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2249	良品	2	120	3	1	255	8	18249	1	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2250	精品	2	120	66	1	255	4	18250	2	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2251	逸品	2	120	4292	1	255	2	18251	3	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2252	極品	2	120	128	1	255	1	18252	4	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2253	良品	2	120	3	1	255	8	18253	1	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2254	精品	2	120	66	1	255	4	18254	2	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2255	逸品	2	120	4292	1	255	2	18255	3	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2256	極品	2	120	128	1	255	1	18256	4	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2257	良品	2	120	3	1	255	8	18257	1	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2258	精品	2	120	66	1	255	4	18258	2	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2259	逸品	2	120	4292	1	255	2	18259	3	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2260	極品	2	120	128	1	255	1	18260	4	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2261	良品	2	120	3	1	255	100	18261	1	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2262	精品	2	120	66	1	255	60	18262	2	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2263	逸品	2	120	4292	1	255	30	18263	3	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2264	極品	2	120	128	1	255	15	18264	4	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2265	良品	2	120	3	1	255	100	18265	1	1.01.0100	1.01.0100	1.07.0000	1.07.0000
2266	精品	2	120	66	1	255	60	18266	2	1.01.0100	1.01.0100	1.07.0000	1.07.0000
