n_ID	n_AREA	n_EVENT	n_WEIGHT	n_LBOUND_LEVEL	n_UBOUND_LEVEL	n_VARI_1	n_VARI_2	n_VARI_3	s_OUTFIT	s_RANDOMEFFECT	n_QUEST_ID	n_ITEM_ID	n_ELITEMOBGROUP	n_CLINE_TYPE	s_HK_VER	s_TC_VER	s_JP_VER	s_TH_VER
47	128	2	100	92	101	52	2801112	3	Ocean_Island_000	193;193;193;194;194;195	0	0	20444	8004	1.01.0000	1.01.0000	1.07.0000	1.07.0000
48	128	2	100	92	101	53	2801112	3	Ocean_Island_000	193;193;193;194;194;195	0	0	20445	8004	1.01.0000	1.01.0000	1.07.0000	1.07.0000
49	128	2	100	92	101	54	2801112	3	Ocean_Island_000	193;193;193;194;194;195	0	0	20444	8004	1.01.0000	1.01.0000	1.07.0000	1.07.0000
50	128	2	100	92	101	58	2801112	3	Ocean_Island_000	193;193;193;194;194;195	0	0	20445	8004	1.01.0000	1.01.0000	1.07.0000	1.07.0000
51	128	2	100	92	101	59	2801112	3	Ocean_Island_000	193;193;193;194;194;195	0	0	20444	8004	1.01.0000	1.01.0000	1.07.0000	1.07.0000
52	128	2	100	92	101	60	2801112	3	Ocean_Island_000	193;193;193;194;194;195	0	0	20445	8004	1.01.0000	1.01.0000	1.07.0000	1.07.0000
53	128	2	50	92	101	94	2801112	3	Ocean_Island_000	193;193;193;194;194;195	0	0	20444	8004	1.01.0000	1.01.0000	1.07.0000	1.07.0000
54	128	2	100	100	110	40	2801112	3	Ocean_Island_000	193;193;193;194;194;195	0	0	20446	8004	1.01.0000	1.01.0000	1.07.0000	1.07.0000
55	128	2	100	100	110	41	2801112	3	Ocean_Island_000	193;193;193;194;194;195	0	0	20447	8004	1.01.0000	1.01.0000	1.07.0000	1.07.0000
56	128	2	100	100	110	46	2801112	3	Ocean_Island_000	193;193;193;194;194;195	0	0	20446	8004	1.01.0000	1.01.0000	1.07.0000	1.07.0000
57	128	2	100	100	110	47	2801112	3	Ocean_Island_000	193;193;193;194;194;195	0	0	20447	8004	1.01.0000	1.01.0000	1.07.0000	1.07.0000
58	128	2	100	100	110	49	2801112	3	Ocean_Island_000	193;193;193;194;194;195	0	0	20446	8004	1.01.0000	1.01.0000	1.07.0000	1.07.0000
59	128	2	100	100	110	50	2801112	3	Ocean_Island_000	193;193;193;194;194;195	0	0	20447	8004	1.01.0000	1.01.0000	1.07.0000	1.07.0000
60	128	2	100	100	110	55	2801112	3	Ocean_Island_000	193;193;193;194;194;195	0	0	20446	8004	1.01.0000	1.01.0000	1.07.0000	1.07.0000
61	128	2	100	100	110	56	2801112	3	Ocean_Island_000	193;193;193;194;194;195	0	0	20447	8004	1.01.0000	1.01.0000	1.07.0000	1.07.0000
62	128	2	50	100	110	95	2801112	3	Ocean_Island_000	193;193;193;194;194;195	0	0	20446	8004	1.01.0000	1.01.0000	1.07.0000	1.07.0000
63	128	2	50	100	110	96	2801112	3	Ocean_Island_000	193;193;193;194;194;195	0	0	20447	8004	1.01.0000	1.01.0000	1.07.0000	1.07.0000
64	128	2	50	100	110	97	2801112	3	Ocean_Island_000	193;193;193;194;194;195	0	0	20446	8004	1.01.0000	1.01.0000	1.07.0000	1.07.0000
65	128	2	50	110	120	98	2801112	3	Ocean_Island_000	193;193;193;194;194;195	0	0	20706	8004	1.01.0000	1.01.0000	1.07.0000	1.07.0000
66	128	2	50	110	120	99	2801112	3	Ocean_Island_000	193;193;193;194;194;195	0	0	20707	8004	1.01.0000	1.01.0000	1.07.0000	1.07.0000
67	128	2	100	115	999	42	2801112	3	Ocean_Island_000	193;193;193;194;194;195	0	0	0	8005	1.01.0000	1.01.0000	1.07.0000	1.07.0000
68	128	2	100	115	999	48	2801112	3	Ocean_Island_000	193;193;193;194;194;195	0	0	0	8005	1.01.0000	1.01.0000	1.07.0000	1.07.0000
69	128	2	100	115	999	51	2801112	3	Ocean_Island_000	193;193;193;194;194;195	0	0	0	8005	1.01.0000	1.01.0000	1.07.0000	1.07.0000
70	128	2	100	115	999	57	2801112	3	Ocean_Island_000	193;193;193;194;194;195	0	0	0	8005	1.01.0000	1.01.0000	1.07.0000	1.07.0000
71	129	2	100	112	122	61	2801113	3	Ocean_Island_000	196;196;196;197;197;198	0	0	0	8005	1.01.0000	1.01.0000	1.07.0000	1.07.0000
72	129	2	100	112	122	63	2801113	3	Ocean_Island_000	196;196;196;197;197;198	0	0	20706	8005	1.01.0000	1.01.0000	1.07.0000	1.07.0000
73	129	2	100	112	122	65	2801113	3	Ocean_Island_000	196;196;196;197;197;198	0	0	20707	8005	1.01.0000	1.01.0000	1.07.0000	1.07.0000
74	129	2	100	112	122	67	2801113	3	Ocean_Island_000	196;196;196;197;197;198	0	0	20706	8005	1.01.0000	1.01.0000	1.07.0000	1.07.0000
75	129	2	100	112	122	69	2801113	3	Ocean_Island_000	196;196;196;197;197;198	0	0	20706	8005	1.01.0000	1.01.0000	1.07.0000	1.07.0000
76	129	2	100	112	122	71	2801113	3	Ocean_Island_000	196;196;196;197;197;198	0	0	20707	8005	1.01.0000	1.01.0000	1.07.0000	1.07.0000
77	129	2	100	112	122	73	2801113	3	Ocean_Island_000	196;196;196;197;197;198	0	0	20706	8005	1.01.0000	1.01.0000	1.07.0000	1.07.0000
78	129	2	100	112	122	75	2801113	3	Ocean_Island_000	196;196;196;197;197;198	0	0	20707	8005	1.01.0000	1.01.0000	1.07.0000	1.07.0000
79	129	2	100	112	122	77	2801113	3	Ocean_Island_000	196;196;196;197;197;198	0	0	20706	8005	1.01.0000	1.01.0000	1.07.0000	1.07.0000
80	129	2	100	112	122	79	2801113	3	Ocean_Island_000	196;196;196;197;197;198	0	0	20707	8005	1.01.0000	1.01.0000	1.07.0000	1.07.0000
81	129	2	100	112	122	81	2801113	3	Ocean_Island_000	196;196;196;197;197;198	0	0	20706	8005	1.01.0000	1.01.0000	1.07.0000	1.07.0000
82	129	2	100	112	122	83	2801113	3	Ocean_Island_000	196;196;196;197;197;198	0	0	20707	8005	1.01.0000	1.01.0000	1.07.0000	1.07.0000
83	129	2	50	112	122	100	2801113	3	Ocean_Island_000	196;196;196;197;197;198	0	0	20706	8005	1.01.0000	1.01.0000	1.07.0000	1.07.0000
84	129	2	50	112	122	101	2801113	3	Ocean_Island_000	196;196;196;197;197;198	0	0	20707	8005	1.01.0000	1.01.0000	1.07.0000	1.07.0000
85	129	2	50	112	122	102	2801113	3	Ocean_Island_000	196;196;196;197;197;198	0	0	20706	8005	1.01.0000	1.01.0000	1.07.0000	1.07.0000
86	129	2	100	115	125	62	2801113	3	Ocean_Island_000	196;196;196;197;197;198	0	0	0	8005	1.01.0000	1.01.0000	1.07.0000	1.07.0000
87	129	2	100	115	125	64	2801113	3	Ocean_Island_000	196;196;196;197;197;198	0	0	0	8005	1.01.0000	1.01.0000	1.07.0000	1.07.0000
88	129	2	100	115	125	66	2801113	3	Ocean_Island_000	196;196;196;197;197;198	0	0	0	8005	1.01.0000	1.01.0000	1.07.0000	1.07.0000
89	129	2	100	115	125	68	2801113	3	Ocean_Island_000	196;196;196;197;197;198	0	0	0	8005	1.01.0000	1.01.0000	1.07.0000	1.07.0000
90	129	2	100	115	125	70	2801113	3	Ocean_Island_000	196;196;196;197;197;198	0	0	0	8005	1.01.0000	1.01.0000	1.07.0000	1.07.0000
91	129	2	100	115	125	72	2801113	3	Ocean_Island_000	196;196;196;197;197;198	0	0	0	8005	1.01.0000	1.01.0000	1.07.0000	1.07.0000
92	129	2	100	115	125	74	2801113	3	Ocean_Island_000	196;196;196;197;197;198	0	0	0	8005	1.01.0000	1.01.0000	1.07.0000	1.07.0000
93	129	2	100	115	125	76	2801113	3	Ocean_Island_000	196;196;196;197;197;198	0	0	0	8005	1.01.0000	1.01.0000	1.07.0000	1.07.0000
94	129	2	100	115	125	78	2801113	3	Ocean_Island_000	196;196;196;197;197;198	0	0	0	8005	1.01.0000	1.01.0000	1.07.0000	1.07.0000
95	129	2	100	115	125	80	2801113	3	Ocean_Island_000	196;196;196;197;197;198	0	0	0	8005	1.01.0000	1.01.0000	1.07.0000	1.07.0000
96	129	2	100	115	125	82	2801113	3	Ocean_Island_000	196;196;196;197;197;198	0	0	0	8005	1.01.0000	1.01.0000	1.07.0000	1.07.0000
97	129	2	100	115	125	84	2801113	3	Ocean_Island_000	196;196;196;197;197;198	0	0	0	8005	1.01.0000	1.01.0000	1.07.0000	1.07.0000
98	129	2	50	115	125	103	2801113	3	Ocean_Island_000	196;196;196;197;197;198	0	0	0	8005	1.01.0000	1.01.0000	1.07.0000	1.07.0000
99	129	2	50	115	125	104	2801113	3	Ocean_Island_000	196;196;196;197;197;198	0	0	0	8005	1.01.0000	1.01.0000	1.07.0000	1.07.0000
100	129	2	50	115	125	105	2801113	3	Ocean_Island_000	196;196;196;197;197;198	0	0	0	8005	1.01.0000	1.01.0000	1.07.0000	1.07.0000
101	129	2	50	120	999	106	2801113	3	Ocean_Island_000	196;196;196;197;197;198	0	0	0	8006	1.01.0000	1.01.0000	1.07.0000	1.07.0000
102	129	2	50	120	999	107	2801113	3	Ocean_Island_000	196;196;196;197;197;198	0	0	0	8006	1.01.0000	1.01.0000	1.07.0000	1.07.0000
103	129	2	50	120	999	108	2801113	3	Ocean_Island_000	196;196;196;197;197;198	0	0	0	8006	1.01.0000	1.01.0000	1.07.0000	1.07.0000
104	304	2	100	40	50	9	2801110	3	Ocean_Island_000	187;187;187;188;188;189	0	0	0	0	1.00.0000	1.00.0000	1.09.0000	1.09.0100
105	304	2	100	40	50	12	2801110	3	Ocean_Island_000	187;187;187;188;188;189	0	0	0	0	1.00.0000	1.00.0000	1.09.0000	1.09.0100
106	304	2	100	40	50	13	2801110	3	Ocean_Island_000	187;187;187;188;188;189	0	0	0	0	1.00.0000	1.00.0000	1.09.0000	1.09.0100
107	304	2	100	50	60	2	2801110	3	Ocean_Island_000	187;187;187;188;188;189	0	0	20142	8000	1.00.0000	1.00.0000	1.09.0000	1.09.0100
108	304	2	100	50	60	4	2801110	3	Ocean_Island_000	187;187;187;188;188;189	0	0	20143	8000	1.00.0000	1.00.0000	1.09.0000	1.09.0100
109	304	2	100	50	60	6	2801110	3	Ocean_Island_000	187;187;187;188;188;189	0	0	20142	8000	1.00.0000	1.00.0000	1.09.0000	1.09.0100
110	304	2	50	50	60	85	2801110	3	Ocean_Island_000	187;187;187;188;188;189	0	0	20143	8000	1.00.0000	1.00.0000	1.09.0000	1.09.0100
111	304	2	100	60	70	5	2801110	3	Ocean_Island_000	187;187;187;188;188;189	0	0	20144	8001	1.00.0000	1.00.0000	1.09.0000	1.09.0100
112	304	2	100	60	70	8	2801110	3	Ocean_Island_000	187;187;187;188;188;189	0	0	20145	8001	1.00.0000	1.00.0000	1.09.0000	1.09.0100
113	304	2	100	60	70	10	2801110	3	Ocean_Island_000	187;187;187;188;188;189	0	0	20144	8001	1.00.0000	1.00.0000	1.09.0000	1.09.0100
114	304	2	100	60	70	14	2801110	3	Ocean_Island_000	187;187;187;188;188;189	0	0	20145	8001	1.00.0000	1.00.0000	1.09.0000	1.09.0100
115	304	2	100	60	70	16	2801110	3	Ocean_Island_000	187;187;187;188;188;189	0	0	20144	8001	1.00.0000	1.00.0000	1.09.0000	1.09.0100
116	304	2	50	60	70	86	2801110	3	Ocean_Island_000	187;187;187;188;188;189	0	0	20145	8001	1.00.0000	1.00.0000	1.09.0000	1.09.0100
117	304	2	100	70	999	11	2801110	3	Ocean_Island_000	187;187;187;188;188;189	0	0	0	8001	1.00.0000	1.00.0000	1.09.0000	1.09.0100
118	304	2	100	70	999	15	2801110	3	Ocean_Island_000	187;187;187;188;188;189	0	0	0	8001	1.00.0000	1.00.0000	1.09.0000	1.09.0100
119	304	2	50	70	999	87	2801110	3	Ocean_Island_000	187;187;187;188;188;189	0	0	0	8001	1.00.0000	1.00.0000	1.09.0000	1.09.0100
120	305	2	100	80	90	19	2801111	3	Ocean_Island_000	190;190;190;191;191;192	0	0	20442	8003	1.00.0000	1.00.0000	1.09.0000	1.09.0100
121	305	2	100	80	90	20	2801111	3	Ocean_Island_000	190;190;190;191;191;192	0	0	20443	8003	1.00.0000	1.00.0000	1.09.0000	1.09.0100
122	305	2	100	80	90	24	2801111	3	Ocean_Island_000	190;190;190;191;191;192	0	0	20442	8003	1.00.0000	1.00.0000	1.09.0000	1.09.0100
123	305	2	50	80	90	25	2801111	3	Ocean_Island_000	190;190;190;191;191;192	0	0	20443	8003	1.00.0000	1.00.0000	1.09.0000	1.09.0100
124	305	2	100	80	90	28	2801111	3	Ocean_Island_000	190;190;190;191;191;192	0	0	20442	8003	1.00.0000	1.00.0000	1.09.0000	1.09.0100
125	305	2	100	80	90	29	2801111	3	Ocean_Island_000	190;190;190;191;191;192	0	0	20443	8003	1.00.0000	1.00.0000	1.09.0000	1.09.0100
126	305	2	100	80	90	33	2801111	3	Ocean_Island_000	190;190;190;191;191;192	0	0	20442	8003	1.00.0000	1.00.0000	1.09.0000	1.09.0100
127	305	2	100	80	90	34	2801111	3	Ocean_Island_000	190;190;190;191;191;192	0	0	20443	8003	1.00.0000	1.00.0000	1.09.0000	1.09.0100
128	305	2	50	80	90	89	2801111	3	Ocean_Island_000	190;190;190;191;191;192	0	0	20442	8003	1.00.0000	1.00.0000	1.09.0000	1.09.0100
129	305	2	100	81	90	22	2801111	3	Ocean_Island_000	190;190;190;191;191;192	0	0	20443	8003	1.01.0000	1.01.0000	1.09.0000	1.09.0100
130	305	2	100	81	90	23	2801111	3	Ocean_Island_000	190;190;190;191;191;192	0	0	20442	8003	1.01.0000	1.01.0000	1.09.0000	1.09.0100
131	305	2	100	81	90	35	2801111	3	Ocean_Island_000	190;190;190;191;191;192	0	0	20443	8003	1.01.0000	1.01.0000	1.09.0000	1.09.0100
132	305	2	100	81	90	36	2801111	3	Ocean_Island_000	190;190;190;191;191;192	0	0	20442	8003	1.01.0000	1.01.0000	1.09.0000	1.09.0100
133	305	2	100	90	999	21	2801111	3	Ocean_Island_000	190;190;190;191;191;192	0	0	0	8004	1.01.0000	1.01.0000	1.09.0000	1.09.0100
134	305	2	100	90	999	26	2801111	3	Ocean_Island_000	190;190;190;191;191;192	0	0	0	8004	1.01.0000	1.01.0000	1.09.0000	1.09.0100
135	305	2	100	90	999	27	2801111	3	Ocean_Island_000	190;190;190;191;191;192	0	0	0	8004	1.01.0000	1.01.0000	1.09.0000	1.09.0100
136	305	2	100	90	999	32	2801111	3	Ocean_Island_000	190;190;190;191;191;192	0	0	0	8004	1.01.0000	1.01.0000	1.09.0000	1.09.0100
137	304	2	100	30	40	7	2801110	3	Ocean_Island_000	187;187;187;188;188;189	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
138	304	2	100	30	40	3	2801110	3	Ocean_Island_000	187;187;187;188;188;189	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
