n_ID	s_SKILL_TITLE	s_DESCRIPTION	s_TIP	s_CACULATE
56	Purify Evil Mask	เมื่อสวมใส่สามารถเพิ่มอัตราคำสาปในสกิลโจมตีแฝงคำสาป	อัตราเกิดคำสาปของลูกเรือ +$ADD_CURSE	ADD_CURSE(2)
57	Weak Evil Mask	เมื่อสวมใส่สามารถเพิ่มอัตราคำสาปในสกิลโจมตีแฝงคำสาป	อัตราเกิดคำสาปของลูกเรือ +$ADD_CURSE	ADD_CURSE(2)
58	Evil Mask	เมื่อสวมใส่สามารถเพิ่มอัตราคำสาปในสกิลโจมตีแฝงคำสาปได้ไม่มาก	อัตราเกิดคำสาปของลูกเรือ +$ADD_CURSE	ADD_CURSE(2)
59	Lament Evil Mask	เมื่อสวมใส่สามารถเพิ่มอัตราคำสาปในสกิลโจมตีแฝงคำสาป	อัตราเกิดคำสาปของลูกเรือ +$ADD_CURSE	ADD_CURSE(2)
60	Laughter Evil Mask	เมื่อสวมใส่สามารถเพิ่มอัตราคำสาปในสกิลโจมตีแฝงคำสาป	อัตราเกิดคำสาปของลูกเรือ +$ADD_CURSE	ADD_CURSE(2)
61	Vacant Correct Eye	เมื่อสวมใส่สามารถเพิ่มอัตราแม่นยำได้นิดหน่อย	อัตราแม่นยำของลูกเรือ +$ADD_HITRATE	ADD_HITRATE(2)
62	Tired Correct Eye	เมื่อสวมใส่สามารถเพิ่มอัตราแม่นยำได้เล็กน้อย	อัตราแม่นยำของลูกเรือ +$ADD_HITRATE	ADD_HITRATE(2)
63	Correct Eye	เมื่อสวมใส่สามารถเพิ่มอัตราแม่นยำได้ไม่มาก	อัตราแม่นยำของลูกเรือ +$ADD_HITRATE	ADD_HITRATE(2)
64	Gaze Correct Eye	เมื่อสวมใส่สามารถเพิ่มอัตราแม่นยำได้ปานกลาง	อัตราแม่นยำของลูกเรือ +$ADD_HITRATE	ADD_HITRATE(2)
65	Clever Correct Eye	เมื่อสวมใส่สามารถเพิ่มอัตราแม่นยำได้มาก	อัตราแม่นยำของลูกเรือ +$ADD_HITRATE	ADD_HITRATE(2)
66	Mess Lucky Feather	เมื่อสวมใส่สามารถเพิ่มอัตราหลบหลีกได้นิดหน่อย	อัตราหลบหลีกของลูกเรือ +$ADD_DODGE	ADD_DODGE(2)
67	Curl Lucky Feather	เมื่อสวมใส่สามารถเพิ่มอัตราหลบหลีกได้เล็กน้อย	อัตราหลบหลีกของลูกเรือ +$ADD_DODGE	ADD_DODGE(2)
68	Lucky Feather	เมื่อสวมใส่สามารถเพิ่มอัตราหลบหลีกได้ไม่มาก	อัตราหลบหลีกของลูกเรือ +$ADD_DODGE	ADD_DODGE(2)
69	Beauty Lucky Feather	เมื่อสวมใส่สามารถเพิ่มอัตราหลบหลีกได้ปานกลาง	อัตราหลบหลีกของลูกเรือ +$ADD_DODGE	ADD_DODGE(2)
70	Perfect Lucky Feather	เมื่อสวมใส่สามารถเพิ่มอัตราหลบหลีกได้มาก	อัตราหลบหลีกของลูกเรือ +$ADD_DODGE	ADD_DODGE(2)
71	Dim Force Crystal	เมื่อสวมใส่สามารถเพิ่มอัตราคริติคอลได้นิดหน่อย	อัตราคริติคอลของลูกเรือ +$ADD_POWERHIT	ADD_POWERHIT(2)
72	Dusk Force Crystal	เมื่อสวมใส่สามารถเพิ่มอัตราคริติคอลได้เล็กน้อย	อัตราคริติคอลของลูกเรือ +$ADD_POWERHIT	ADD_POWERHIT(2)
73	Force Crystal	เมื่อสวมใส่สามารถเพิ่มอัตราคริติคอลได้ไม่มาก	อัตราคริติคอลของลูกเรือ +$ADD_POWERHIT	ADD_POWERHIT(2)
74	Blink Force Crystal	เมื่อสวมใส่สามารถเพิ่มอัตราคริติคอลได้ปานกลาง	อัตราคริติคอลของลูกเรือ +$ADD_POWERHIT	ADD_POWERHIT(2)
75	Dazzling Force Crystal	เมื่อสวมใส่สามารถเพิ่มอัตราคริติคอลได้มาก	อัตราคริติคอลของลูกเรือ +$ADD_POWERHIT	ADD_POWERHIT(2)
76	Dim Rough Crystal	เมื่อสวมใส่สามารถเพิ่มอัตราต้านคริติคอลได้นิดหน่อย	อัตราต้านคริติคอลของลูกเรือ +$ADD_ANTI_POWERHIT	ADD_ANTI_POWERHIT(2)
77	Dusk Rough Crystal	เมื่อสวมใส่สามารถเพิ่มอัตราต้านคริติคอลได้เล็กน้อย	อัตราต้านคริติคอลของลูกเรือ +$ADD_ANTI_POWERHIT	ADD_ANTI_POWERHIT(2)
78	Rough Crystal	เมื่อสวมใส่สามารถเพิ่มอัตราต้านคริติคอลได้ไม่มาก	อัตราต้านคริติคอลของลูกเรือ +$ADD_ANTI_POWERHIT	ADD_ANTI_POWERHIT(2)
79	Blink Rough Crystal	เมื่อสวมใส่สามารถเพิ่มอัตราต้านคริติคอลได้ปานกลาง	อัตราต้านคริติคอลของลูกเรือ +$ADD_ANTI_POWERHIT	ADD_ANTI_POWERHIT(2)
80	Dazzling Rough Crystal	เมื่อสวมใส่สามารถเพิ่มอัตราต้านคริติคอลได้มาก	อัตราต้านคริติคอลของลูกเรือ +$ADD_ANTI_POWERHIT	ADD_ANTI_POWERHIT(2)
81	Fail Lax Symbol	เมื่อสวมใส่สามารถเพิ่มอัตรามองข้ามการป้องกันได้นิดหน่อย	อัตรามองข้ามการป้องกันของลูกเรือ +$ADD_BYPASS	ADD_BYPASS(2)
82	Fuzzy Lax Symbol	เมื่อสวมใส่สามารถเพิ่มอัตรามองข้ามการป้องกันได้เล็กน้อย	อัตรามองข้ามการป้องกันของลูกเรือ +$ADD_BYPASS	ADD_BYPASS(2)
83	Lax Symbol	เมื่อสวมใส่สามารถเพิ่มอัตรามองข้ามการป้องกันได้ไม่มาก	อัตรามองข้ามการป้องกันของลูกเรือ +$ADD_BYPASS	ADD_BYPASS(2)
84	Clear Lax Symbol	เมื่อสวมใส่สามารถเพิ่มอัตรามองข้ามการป้องกันได้ปานกลาง	อัตรามองข้ามการป้องกันของลูกเรือ +$ADD_BYPASS	ADD_BYPASS(2)
85	Potent Lax Symbol	เมื่อสวมใส่สามารถเพิ่มอัตรามองข้ามการป้องกันได้มาก	อัตรามองข้ามการป้องกันของลูกเรือ +$ADD_BYPASS	ADD_BYPASS(2)
86	Useless Cursed Doll	เมื่อสวมใส่สามารถเพิ่มอัตราสังหารได้นิดหน่อย	อัตราสังหารของลูกเรือ +$ADD_OVERHIT	ADD_OVERHIT(2)
87	Rip Cursed Doll	เมื่อสวมใส่สามารถเพิ่มอัตราสังหารได้เล็กน้อย	อัตราสังหารของลูกเรือ +$ADD_OVERHIT	ADD_OVERHIT(2)
88	Cursed Doll	เมื่อสวมใส่สามารถเพิ่มอัตราสังหารได้ไม่มาก	อัตราสังหารของลูกเรือ +$ADD_OVERHIT	ADD_OVERHIT(2)
89	Sturdy Cursed Doll	เมื่อสวมใส่สามารถเพิ่มอัตราสังหารได้ปานกลาง	อัตราสังหารของลูกเรือ +$ADD_OVERHIT	ADD_OVERHIT(2)
90	Perfect Cursed Doll	เมื่อสวมใส่สามารถเพิ่มอัตราสังหารได้มาก	อัตราสังหารของลูกเรือ +$ADD_OVERHIT	ADD_OVERHIT(2)
91	Rupture Demon Necklace	เมื่อสวมใส่สามารถเพิ่มอัตราคริติคอลได้นิดหน่อย	อัตราคริติคอลของลูกเรือ +$ADD_MULTIPLY_POWERDAM	ADD_MULTIPLY_POWERDAM(2)
92	Defect Demon Necklace	เมื่อสวมใส่สามารถเพิ่มอัตราคริติคอลได้เล็กน้อย	อัตราคริติคอลของลูกเรือ +$ADD_MULTIPLY_POWERDAM	ADD_MULTIPLY_POWERDAM(2)
93	Demon Necklace	เมื่อสวมใส่สามารถเพิ่มอัตราคริติคอลได้ไม่มาก	อัตราคริติคอลของลูกเรือ +$ADD_MULTIPLY_POWERDAM	ADD_MULTIPLY_POWERDAM(2)
94	Hard Demon Necklace	เมื่อสวมใส่สามารถเพิ่มอัตราคริติคอลได้ปานกลาง	อัตราคริติคอลของลูกเรือ +$ADD_MULTIPLY_POWERDAM	ADD_MULTIPLY_POWERDAM(2)
95	Perfect Demon Necklace	เมื่อสวมใส่สามารถเพิ่มอัตราคริติคอลได้มาก	อัตราคริติคอลของลูกเรือ +$ADD_MULTIPLY_POWERDAM	ADD_MULTIPLY_POWERDAM(2)
96	Wither Eternal Leaf	เมื่อสวมใส่สามารถเพิ่มลดความเสียหายคริติคอลได้นิดหน่อย	ลดความเสียหายคริติคอลของลูกเรือ +$ADD_ABSORB_POWERDAM	ADD_ABSORB_POWERDAM(2)
97	Drying Eternal Leaf	เมื่อสวมใส่สามารถเพิ่มลดความเสียหายคริติคอลได้เล็กน้อย	ลดความเสียหายคริติคอลของลูกเรือ +$ADD_ABSORB_POWERDAM	ADD_ABSORB_POWERDAM(2)
98	Eternal Leaf	เมื่อสวมใส่สามารถเพิ่มลดความเสียหายคริติคอลได้ไม่มาก	ลดความเสียหายคริติคอลของลูกเรือ +$ADD_ABSORB_POWERDAM	ADD_ABSORB_POWERDAM(2)
99	Fresh Eternal Leaf	เมื่อสวมใส่สามารถเพิ่มลดความเสียหายคริติคอลได้ปลานกลาง	ลดความเสียหายคริติคอลของลูกเรือ +$ADD_ABSORB_POWERDAM	ADD_ABSORB_POWERDAM(2)
100	Perfect Eternal Leaf	เมื่อสวมใส่สามารถเพิ่มลดความเสียหายคริติคอลได้เยอะ	ลดความเสียหายคริติคอลของลูกเรือ +$ADD_ABSORB_POWERDAM	ADD_ABSORB_POWERDAM(2)
1001	Betrayer List		\nบัญชีที่ Odyssey เขียนขึ้นมาเอง บันทึกชื่อคนที่เคยทำร้ายเธอไว้ สักวันเธอจะแก้แค้น\n\nกายภาพทะลุเกราะลูกเรือ +$ADD_PENETRATE_PHYSICS	ADD_PENETRATE_PHYSICS(1)
1002	Gun Certificate		\nหนังสือรับรองการใช้ปืนที่ Olivia ได้มาจากเผ่าแมว\n\nโจมตีหนักกายภาพลูกเรือ +$ADD_DAMPLUS_PHYSICS	ADD_DAMPLUS_PHYSICS(1)
1003	Redemption Heraldry		\nเป็นหนังสือรับรองที่ปรมาจารย์ให้ไว้เมื่อวันที่ Elizabeth เรียนจบ\n\nเวทย์ทะลุเกราะลูกเรือ +$ADD_PENETRATE_MAGIC	ADD_PENETRATE_MAGIC(1)
1004	Guawa Guess Fun		\nกิจกรรมที่เผ่า Guawa ชื่นชอบ ตอนนี้เหลือ Guawa 1 ตัว ไม่มีใครเล่นกันเขา\n\nอัตราสังหารลูกเรือ +$ADD_OVERHIT\nป้องกันกายภาพลูกเรือ +$ADD_AC_PHYSICS	ADD_OVERHIT(2)\nADD_AC_PHYSICS(1)
1005	Navy Badge		\nเหรียญกล้าหาญของ Gobao ทหารใหม่ที่ปรารถนาเข้าร่วมกองทัพ เป็นของล้ำค่าของเขา\n\nอัตราแม่นยำลูกเรือ +$ADD_HITRATE\nโจมตีหนักกายภาพลูกเรือ +$ADD_DAMPLUS_PHYSICS	ADD_HITRATE(2)\nADD_DAMPLUS_PHYSICS(1)
1006	Mother Necklace		\nสร้อยที่แม่ของ Nalu Sase ให้ตอนเด็ก ได้ยินมาว่าสามารถควบคุมอารมณ์ได้\n\nกายภาพทะลุเกราะลูกเรือ +$ADD_PENETRATE_PHYSICS\nโจมตีหนักเวทย์ลูกเรือ + $ADD_DAMPLUS_MAGIC	ADD_PENETRATE_PHYSICS(1)\nADD_DAMPLUS_MAGIC(1)
1007	Intelligent Core		\nกลไกการควบคุมร่างกาย\n\nอัตราคริติคอลลูกเรือ +$ADD_POWERHIT\nอัตรามึนงงลูกเรือ +$ADD_STUN	ADD_POWERHIT(2)\nADD_STUN(2)
1008	Magic Record		\nMagic Record ที่ Yan Yuzi เขียนไว้เมื่อหลายปีมาแล้ว\n\nเวทย์ทะลุเกราะลูกเรือ +$ADD_PENETRATE_MAGIC\nอัตราหลบหลีกลูกเรือ +$ADD_DODGE	ADD_PENETRATE_MAGIC(1)\nADD_DODGE(2)
1009	Unknown Pharmacy		\nยาที่มีแค่ Tuna เท่านั้นที่รู้ส่วนผสม แต่มันจะต้องใช้โดนการฉีดอย่างแน่นอน\n\nอัตราหลบหลีกลูกเรือ +$ADD_DODGE\nป้องกันเวทย์ลูกเรือ +$ADD_AC_MAGIC	ADD_DODGE(2)\nADD_AC_MAGIC(1)
1010	Big Chopper		\nอาวุธติดตัวของ Khayredin ไม่มีความคม แต่มีพลังแฝงอยู่\n\nโจมตีหนักกายภาพลูกเรือ +$ADD_DAMPLUS_PHYSICS\nอัตราแม่นยำลูกเรือ +$ADD_HITRATE	ADD_DAMPLUS_PHYSICS(1)\nADD_HITRATE(2)
1011	Treasure Map		\nแผนที่สมบัติที่ Croseyes เก็บไว้ในหนังสือนิยายในบ้านของเขา ถึงแม้ว่าจะเป็นเรื่องโกหกก็ตาม\n\nอัตราคริติคอลคูณสองลูกเรือ +$ADD_MULTIPLY_POWERDAM\nกายภาพทะลุเกราะลูกเรือ +$ADD_PENETRATE_PHYSICS	ADD_MULTIPLY_POWERDAM(2)\nADD_PENETRATE_PHYSICS(1)
1012	Guawa Message		\nข้อความที่ Ivah ได้มาจากคนในเผ่าเดียวกัน เมื่อสวมใส่จะเพิ่มอัตรามองข้ามการป้องกัน\n\nอัตรามองข้ามการป้องกันลูกเรือ +$ADD_BYPASS\nลดความเสียหายจากเวทย์ลูกเรือ +$ADD_ABSORB_MAGIC	ADD_BYPASS(2)\nADD_ABSORB_MAGIC(1)
2001	Basic Breechloader[Left]		\nยิงระเบิดจากทางซ้ายของเรือ 1 ลูก ทำให้เกิดความเสียหาย 250 แต้ม\n\nเหมาะกับ: Armed Brig Barge, Bermuda Ship, Main Warship	
2002	Simple Ejector		\nเมื่อสวมใส่สามารถยิง Javelin ได้ ทำให้ศัตรูได้รับความเสียหาย 60 แต้ม\n\nเหมาะกับ: Armed Brig Barge, Bermuda Ship, Main Warship	
2003	Basic Breechloader[Right]		\nยิงปืนจากกราบเรือขวาได้ 1 นัด แต่ละนัดทำให้ศัตรูได้รับความเสียหาย 250 แต้ม\n\nเหมาะกับ: Armed Brig Barge, Bermuda Ship, Main Warship	
2004	Hunter Breechloader[Left]		\nยิงปืนจากกราบเรือซ้ายได้ 3 นัด แต่ละนัดทำให้ศัตรูได้รับความเสียหาย 175 แต้ม\n\nเหมาะกับ: Bermuda Ship, Main Warship	
2005	Spear Ejector		\nเมื่อสวมใส่สามารถยิง Javelin ได้ ทำให้ศัตรูได้รับความเสียหาย 75 แต้ม\n\nเหมาะกับ: Bermuda Ship, Main Warship	
2006	Hunter Breechloader[Right]		\nยิงปืนจากกราบเรือขวาได้ 3 นัด แต่ละนัดทำให้ศัตรูได้รับความเสียหาย 175 แต้ม\n\nเหมาะกับ: Bermuda Ship, Main Warship	
2007	Military Breechloader[Left]		\nยิงปืนจากกราบเรือซ้ายได้ 5 นัด แต่ละนัดทำให้ศัตรูได้รับความเสียหาย 125 แต้ม\n\nเหมาะกับ: Main Warship	
2008	Military Javelin Ejector		\nเมื่อสวมใส่สามารถยิง Javelin ได้ ทำให้ศัตรูได้รับความเสียหาย 90 แต้ม\n\nเหมาะกับ: Main Warship	
