n_ID	n_TYPE	n_KEY_1	n_KEY_2	s_NAME	s_HK_VER	s_TC_VER	s_JP_VER	s_TH_VER
41	2	0	0	TOOLBAR3_06	1.00.0000	1.00.0000	1.00.0000	1.00.0000
42	2	0	0	TOOLBAR3_07	1.00.0000	1.00.0000	1.00.0000	1.00.0000
43	2	0	0	TOOLBAR3_08	1.00.0000	1.00.0000	1.00.0000	1.00.0000
44	2	0	0	TOOLBAR3_09	1.00.0000	1.00.0000	1.00.0000	1.00.0000
45	2	0	0	TOOLBAR3_10	1.00.0000	1.00.0000	1.00.0000	1.00.0000
46	2	0	0	TOOLBAR3_11	1.00.0000	1.00.0000	1.00.0000	1.00.0000
47	2	0	0	TOOLBAR3_12	1.00.0000	1.00.0000	1.00.0000	1.00.0000
70	3	0	0	RESTORE	1.00.0000	1.00.0000	1.00.0000	1.00.0000
71	3	0	90	WIELD	1.00.0000	1.00.0000	1.00.0000	1.00.0000
72	3	2048	82	REPLY	1.00.0000	1.00.0000	1.00.0000	1.00.0000
73	3	0	72	REVIVE	1.00.0000	1.00.0000	1.00.0000	1.00.0000
75	4	0	67	ATTRIBUTE	1.00.0000	1.00.0000	1.00.0000	1.00.0000
76	4	0	73	BACKPACK	1.00.0000	1.00.0000	1.00.0000	1.00.0000
77	4	0	75	ABILITY	1.00.0000	1.00.0000	1.00.0000	1.00.0000
78	4	0	80	TEAM	1.00.0000	1.00.0000	1.00.0000	1.00.0000
79	4	0	71	GUILD	1.00.0000	1.00.0000	1.00.0000	1.00.0000
80	4	0	74	MISSION_DIARY	1.00.0000	1.00.0000	1.00.0000	1.00.0000
81	4	0	79	COMMUNITY	1.00.0000	1.00.0000	1.00.0000	1.00.0000
82	4	0	66	ITEMMODE	1.00.0000	1.00.0000	1.00.0000	1.00.0000
83	4	0	77	MAP	1.00.0000	1.00.0000	1.00.0000	1.00.0000
84	4	0	0	ILLUSTRATED_HANDBOOK	1.00.0000	1.00.0000	1.00.0000	1.00.0000
85	4	0	0	ACTION	1.00.0000	1.00.0000	1.00.0000	1.00.0000
86	4	0	84	STORAGE	1.00.0000	1.00.0000	1.00.0000	1.00.0000
87	4	0	85	RANKING	1.00.0000	1.00.0000	1.00.0000	1.00.0000
88	4	0	76	SEARCH	1.00.0000	1.00.0000	1.00.0000	1.00.0000
89	4	0	89	ACHIEVEMENT	1.00.0000	1.00.0000	1.00.0000	1.00.0000
91	4	2048	85	CLOSE_UI	1.00.0000	1.00.0000	1.00.0000	1.00.0000
92	2	0	112	PARTY_MEMBER1	1.00.0000	1.00.0000	1.00.0000	1.00.0000
93	2	0	113	PARTY_MEMBER2	1.00.0000	1.00.0000	1.00.0000	1.00.0000
94	2	0	114	PARTY_MEMBER3	1.00.0000	1.00.0000	1.00.0000	1.00.0000
95	2	0	115	PARTY_MEMBER4	1.00.0000	1.00.0000	1.00.0000	1.00.0000
96	2	0	116	PARTY_MEMBER5	1.00.0000	1.00.0000	1.00.0000	1.00.0000
97	2	0	117	PARTY_MEMBER6	1.00.0000	1.00.0000	1.00.0000	1.00.0000
107	1	0	86	FALL	1.00.0000	1.00.0000	1.00.0000	1.00.0000
108	1	0	88	GLIDEUP	1.00.0000	1.00.0000	1.00.0000	1.00.0000
109	4	0	120	RECOUNT	1.00.0000	1.00.0000	1.00.0000	1.00.0000
110	3	2048	72	HIDEBODY	1.00.0000	1.00.0000	1.00.0000	1.00.0000
111	2	0	49	SKILLBAR1	1.09.0000	1.09.0000	1.09.0000	1.30.0000
112	2	0	50	SKILLBAR2	1.09.0000	1.09.0000	1.09.0000	1.30.0000
113	2	0	51	SKILLBAR3	1.09.0000	1.09.0000	1.09.0000	1.30.0000
114	2	0	52	SKILLBAR4	1.09.0000	1.09.0000	1.09.0000	1.30.0000
115	2	0	53	SKILLBAR5	1.09.0000	1.09.0000	1.09.0000	1.30.0000
116	2	0	54	SKILLBAR6	1.09.0000	1.09.0000	1.09.0000	1.30.0000
117	2	0	55	SKILLBAR7	1.09.0000	1.09.0000	1.09.0000	1.30.0000
118	2	0	56	SKILLBAR8	1.09.0000	1.09.0000	1.09.0000	1.30.0000
119	2	0	57	SKILLBAR9	1.09.0000	1.09.0000	1.09.0000	1.30.0000
120	2	0	48	SKILLBAR10	1.09.0000	1.09.0000	1.09.0000	1.30.0000
121	2	0	189	SIT_DOWN_RESET	1.09.0000	1.09.0000	1.09.0000	1.30.0000
122	1	0	104	MOVE_FRONT	1.09.0000	1.09.0000	1.09.0000	1.20.0000
123	1	0	98	MOVE_BACK	1.09.0000	1.09.0000	1.09.0000	1.20.0000
124	1	0	100	MOVE_LEFT	1.09.0000	1.09.0000	1.09.0000	1.20.0000
125	1	0	102	MOVE_RIGHT	1.09.0000	1.09.0000	1.09.0000	1.20.0000
126	1	0	96	MOVE_JUMP	1.09.0000	1.09.0000	1.09.0000	1.20.0000
127	1	0	103	ROTATE_LEFT	1.09.0000	1.09.0000	1.09.0000	1.20.0000
128	1	0	105	ROTATE_RIGHT	1.09.0000	1.09.0000	1.09.0000	1.20.0000
129	1	0	46	AUTOMOVE_FRONT	1.09.0000	1.09.0000	1.09.0000	1.20.0000
