n_ID	s_ICON	n_RANGE	s_ANIMATION	s_ANIMATION2	n_CLASS	s_PHASING	s_ROTATE	n_EMOTE	n_THENDO	s_HITRATE	s_BUFF_HITRATE	s_HIT_KEYFRAME	s_HITBACK	s_FXS_CASTING	s_CAST_POSTPROCESS	s_HIT_POSTPROCESS	s_EMIT_KEYFRAME	n_AMOUNT_TARGET	n_DAMAGE_AREA	n_MOB_CD	s_CONDITION	f_VAR_TPD	f_VAR_TMD	f_VAR_TPP	f_VAR_TMP	f_DAMAGE_PHYSICS	f_DAMAGE_MAGIC	f_PERCENT_HP	n_PROFIT
11		30	_C_WIELD_000;15	_F_WIELD_000;15	1			0	0	GO(0)								0	1	0	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
12		30	_C_WIELD_001;15	_F_WIELD_001;15	1			0	0	GO(0)								0	1	0	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
13		1000	_F_ATTACK_006;24	_F_ATTACK_006;24	1	0;0;0;6\n800;0;0;19		0	0	GO(0)	GO(0)	S_H_PHYSICS;0;14	-100;600;6				5;7	5	400	0	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
14		1700			0			0	0	GO(0)				PS_O_SHIP_DIRT;0			10;0\n14;1	0	0	0	2;30;36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
15		1700			0			0	0	GO(0)				PS_O_SHIP_RIGHT_CANON;0			10;0\n15;1\n18;2\n19;3	0	0	0	2;30;36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
16		10	_F_DIE_000A;36\n_F_DIE_001A;69\n_F_DIE_001A;102	_F_DIE_000A;36\n_F_DIE_001A;69\n_F_DIE_001A;102	0	0;0;0;0		0	0	GO(0)	GO(0)							0	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
17		5000	_F_ATTACK_000;16	_F_ATTACK_000;16	1			0	0	GO(0)	GO(0)	S_H_PHYSICS;17;1						1	75	0	1;4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
18		5000	_F_ATTACK_000;16	_F_ATTACK_000;16	1			0	0	GO(0)	GO(0)	S_H_PHYSICS;18;1						1	75	0	1;4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
19		5000	_F_ATTACK_000;16	_F_ATTACK_000;16	1			0	0	GO(0)	GO(0)	S_H_PHYSICS;19;1						1	75	0	1;4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
20		100	_F_ATTACK_038;85	_F_ATTACK_038;85	0	0;0;0;0		0	0	GO(0)	GO(0)	S_H_PHYSICS;0;3\nS_H_PHYSICS;0;14\nS_H_PHYSICS;0;25\nS_H_PHYSICS;0;36\nS_H_PHYSICS;0;47\nS_H_PHYSICS;0;61	0;-1;1					1	225	0	1;5	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0
21		75			0			0	0	GO(0)	GO(0)						21;0	1	200	0	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
22		5000	_F_DODGE_000;15	_F_DODGE_000;15	0	600;0;0;15		0	0	GO(0)	GO(0)	none;14;0		PS_O_DODGE;0				1	500	0	13;27;29;32;33;34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
23		5000	_F_DODGE_000;15	_F_DODGE_000;15	0	519;300;0;15	-30;0	0	0	GO(0)	GO(0)	none;14;0		PS_O_DODGE;0				1	500	0	13;27;29;32;33;34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
24		5000	_F_DODGE_000;15	_F_DODGE_000;15	0	519;-300;0;15	30;0	0	0	GO(0)	GO(0)	none;14;0		PS_O_DODGE;0				1	500	0	13;27;29;32;33;34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
25		5000	_F_DODGE_003;15	_F_DODGE_003;15	0	-600;0;0;15		0	0	GO(0)	GO(0)	none;14;0		PS_O_DODGE;0				1	500	0	13;27;29;32;33;34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
26		5000	_F_DODGE_003;15	_F_DODGE_003;15	0	-519;300;0;15	30;0	0	0	GO(0)	GO(0)	none;14;0		PS_O_DODGE;0				1	500	0	13;27;29;32;33;34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
27		5000	_F_DODGE_003;15	_F_DODGE_003;15	0	-519;-300;0;15	-30;0	0	0	GO(0)	GO(0)	none;14;0		PS_O_DODGE;0				1	500	0	13;27;29;32;33;34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
28		5000	_F_DODGE_001;15	_F_DODGE_001;15	0	0;600;0;15		0	0	GO(0)	GO(0)	none;14;0		PS_O_DODGE;0				1	500	0	13;27;29;32;33;34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
29		5000	_F_DODGE_002;15	_F_DODGE_002;15	0	0;-600;0;15		0	0	GO(0)	GO(0)	none;14;0		PS_O_DODGE;0				1	500	0	13;27;29;32;33;34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
30		5000	_F_EMPOWER_000;45	_F_EMPOWER_000;45	0	0;0;0;0		0	0	GO(0)	GO(0)	none;30;1		PS_O_EMPOWER;0				1	500	0	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
31		5000	_F_EMPOWER_000;45	_F_EMPOWER_000;45	0	0;0;0;0		0	0	GO(0)	GO(0)	none;31;1		PS_O_EMPOWER;0				1	500	0	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
32		5000	_F_EMPOWER_000;45	_F_EMPOWER_000;45	0	0;0;0;0		0	0	GO(0)	GO(0)	none;32;1		PS_O_EMPOWER;0				1	500	0	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
33		5000	_F_EMPOWER_000;45	_F_EMPOWER_000;45	0	0;0;0;0		0	0	GO(0)	GO(0)	none;33;1		PS_O_EMPOWER;0				1	500	0	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
34		5000	_F_EMPOWER_000;45	_F_EMPOWER_000;45	0	0;0;0;0		0	0	GO(0)	GO(0)	none;34;1		PS_O_EMPOWER;0				1	500	0	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
35		5000	_F_EMPOWER_000;45	_F_EMPOWER_000;45	0	0;0;0;0		0	0	GO(0)	GO(0)	none;35;1		PS_O_EMPOWER;0				1	500	0	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
36		5000	_F_EMPOWER_000;45	_F_EMPOWER_000;45	0	0;0;0;0		0	0	GO(0)	GO(0)	none;36;1		PS_O_EMPOWER;0				1	500	0	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
37		5000	_F_EMPOWER_000;45	_F_EMPOWER_000;45	0	0;0;0;0		0	0	GO(0)	GO(0)	none;37;1		PS_O_EMPOWER;0				1	500	0	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
38		5000	_F_EMPOWER_000;45	_F_EMPOWER_000;45	0	0;0;0;0		0	0	GO(0)	GO(0)	none;38;1		PS_O_EMPOWER;0				1	500	0	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
39		5000	_F_EMPOWER_000;45	_F_EMPOWER_000;45	0	0;0;0;0		0	0	GO(0)	GO(0)	none;39;1		PS_O_EMPOWER;0				1	500	0	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
40		5000	_F_EMPOWER_000;45	_F_EMPOWER_000;45	0	0;0;0;0		0	0	GO(0)	GO(0)	none;40;1		PS_O_EMPOWER;0				1	500	0	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
41		5000	_F_EMPOWER_000;45	_F_EMPOWER_000;45	0	0;0;0;0		0	0	GO(0)	GO(0)	none;41;1		PS_O_EMPOWER;0				1	500	0	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
42		5000	_F_EMPOWER_000;45	_F_EMPOWER_000;45	0	0;0;0;0		0	0	GO(0)	GO(0)	none;42;1		PS_O_EMPOWER;0				1	500	0	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
43		5000	_F_EMPOWER_000;45	_F_EMPOWER_000;45	0	0;0;0;0		0	0	GO(0)	GO(0)	none;18;1		PS_O_EMPOWER;0				1	500	0	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
44		5000	_F_EMPOWER_000;45	_F_EMPOWER_000;45	0	0;0;0;0		0	0	GO(0)	GO(0)	none;44;1		PS_O_EMPOWER;0				1	500	0	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
45		5000	_F_EMPOWER_000;45	_F_EMPOWER_000;45	0	0;0;0;0		0	0	GO(0)	GO(0)	none;45;1		PS_O_EMPOWER;0				1	500	0	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
46		5000	_F_EMPOWER_000;45	_F_EMPOWER_000;45	0	0;0;0;0		0	0	GO(0)	GO(0)	none;46;1		PS_O_EMPOWER;0				1	500	0	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
47		5000	_F_EMPOWER_000;45	_F_EMPOWER_000;45	0	0;0;0;0		0	0	GO(0)	GO(0)	none;47;1		PS_O_EMPOWER;0				1	500	0	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
48		5000	_F_EMPOWER_000;45	_F_EMPOWER_000;45	0	0;0;0;0		0	0	GO(0)	GO(0)	none;48;1		PS_O_EMPOWER;0				1	500	0	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
49		5000	_F_EMPOWER_000;45	_F_EMPOWER_000;45	0	0;0;0;0		0	0	GO(0)	GO(0)	none;49;1		PS_O_EMPOWER;0				1	500	0	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
50		5000	_F_EMPOWER_000;45	_F_EMPOWER_000;45	0	0;0;0;0		0	0	GO(0)	GO(0)	none;50;1		PS_O_EMPOWER;0				1	500	0	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
51		5000	_F_EMPOWER_000;45	_F_EMPOWER_000;45	0	0;0;0;0		0	0	GO(0)	GO(0)	none;18;1		PS_O_EMPOWER;0				1	500	0	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
52		5000	_F_EMPOWER_000;45	_F_EMPOWER_000;45	0	0;0;0;0		0	0	GO(0)	GO(0)	none;19;1		PS_O_EMPOWER;0				1	500	0	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
60		5000	_F_ATTACK_000;30	_F_ATTACK_000;30	0	0;0;0;0		0	0	GO(0)	GO(0)							1	500	0	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
61		5000	_F_ATTACK_001;50	_F_ATTACK_001;50	0	0;0;0;0		0	0	GO(0)	GO(0)							1	500	0	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
62		5000	_F_ATTACK_002;50	_F_ATTACK_002;50	0	0;0;0;0		0	0	GO(0)	GO(0)							1	500	0	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
63		5000	_F_ATTACK_003;60	_F_ATTACK_003;60	0	0;0;0;0		0	0	GO(0)	GO(0)							1	500	0	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
64		5000	_F_ATTACK_004;60	_F_ATTACK_004;60	0	0;0;0;0		0	0	GO(0)	GO(0)							1	500	0	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
65		5000	_F_ATTACK_005;50	_F_ATTACK_005;50	0	0;0;0;0		0	0	GO(0)	GO(0)							1	500	0	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
66		5000	_F_DIE_000;60	_F_DIE_000;60	0	0;0;0;0		0	0	GO(0)	GO(0)							1	500	0	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
67		5000	_F_HAPPY_000;79	_F_HAPPY_000;79	0	0;0;0;0		0	0	GO(0)	GO(0)							1	500	0	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
68		5000	_F_SAD_000;69	_F_SAD_000;69	0	0;0;0;0		0	0	GO(0)	GO(0)							1	500	0	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
69		5000	_F_TALK_000;80	_F_TALK_000;80	0	0;0;0;0		0	0	GO(0)	GO(0)							1	500	0	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
70		5000	_F_ACT_004;72	_F_ACT_004;72	0	0;0;0;0		0	0	GO(0)	GO(0)							1	500	0	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
71		5000	_F_KNOCKED_001;34\n_F_STRUGGLE_000;84\n_F_STRUGGLE_000;134\n_F_STRUGGLE_000;184\n_F_STRUGGLE_000;234\n_F_STRUGGLE_000;284\n_F_STRUGGLE_000;334	_F_KNOCKED_001;34\n_F_STRUGGLE_000;84\n_F_STRUGGLE_000;134\n_F_STRUGGLE_000;184\n_F_STRUGGLE_000;234\n_F_STRUGGLE_000;284\n_F_STRUGGLE_000;334	0	0;0;0;0		0	0	GO(0)	GO(0)							1	500	0	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
72		5000	_C_KNOCKED_000;20	_C_KNOCKED_000;20	0	0;0;0;0		0	0	GO(0)	GO(0)							1	500	0	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
73		5000	_F_EMOTION_000;100	_F_EMOTION_000;100	0	0;0;0;0		0	0	GO(0)	GO(0)							1	500	0	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
74		5000	_F_DIE_002;16	_F_DIE_002;16	0	0;0;0;0		0	0	GO(0)	GO(0)							1	500	0	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
75		5000	_F_DIE_003;22	_F_DIE_003;22	0	0;0;0;0		0	0	GO(0)	GO(0)							1	500	0	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
76		5000	_F_SHOCK_000;150	_F_SHOCK_000;150	0	0;0;0;0		0	0	GO(0)	GO(0)							1	500	0	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
80		2000	_F_WORK_001;303	_F_WORK_001;303	0	0;0;0;303	0;303	0	0	GO(0)	GO(0)			U_SKETCH_DRAW;0				1	1	0	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
82		2000	_F_STANDUP_000;40	_F_STANDUP_000;40	0	0;0;0;0		0	0	GO(0)							82;0	0	0	0	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
83		2000	_F_SIT_000;34	_F_SIT_000;34	0	0;0;0;0		0	94	GO(0)	GO(0)	none;83;0					85;30	1	10	0	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
84		2000	_F_SIT_001;40\n_F_SIT_001;60	_F_SIT_001;40	0	0;0;0;0		0	94	GO(0)	GO(0)	none;83;0					84;3\n86:50\n85;53	1	10	0	7;13;25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
88		10			0			0	0	GO(0)								0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
89		10			0			0	0	GO(0)								0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
90		2000	_C_ATTACK_000;28	_C_ATTACK_000;28	0			0	0	GO(0)	GO(0)	S_H_PHYSICS;302;12						1	2000	0	1;5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
91		9000	_C_none;1	_C_none;1	0			0	0	GO(0)							91;1	0	9000	0	20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
92		10			0			0	0	GO(0)								0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
93		10			0			0	0	GO(0)								0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
95		10	_F_FLEX_001;96	_F_FLEX_001;96	0	0;0;0;0		0	0	GO(0)								0	0	0	7;25;28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
96		10	_F_FLEX_002;100	_F_FLEX_002;100	0	0;0;0;0		0	0	GO(0)								0	0	0	7;25;28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
97		10	_F_FLEX_000;77	_F_FLEX_000;77	0	0;0;0;0		0	0	GO(0)								0	0	0	7;25;28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
98		10			0			0	0	GO(0)								0	0	0	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
99		90000	_F_READY_000;45\n_F_ATTACK_003;75\n_F_ATTACK_003;95\n_F_ATTACK_003;115\n_F_ATTACK_003;135\n_F_READY_000;235	_F_READY_000;45\n_F_ATTACK_003;75\n_F_ATTACK_003;95\n_F_ATTACK_003;115\n_F_ATTACK_003;135\n_F_READY_000;235	1	0;0;0;0		0	0	HIT(0.75)	GO(0)						95;75\n96;95\n97;115\n98;135	1	0	0	5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
100		10	_F_FLEX_001;96	_F_FLEX_001;96	0	0;0;0;0		0	0	GO(0)				SOUND_FLEXRAIN;0				0	0	0	7;25;28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
101		10	_F_FLEX_002;100	_F_FLEX_002;100	0	0;0;0;0		0	0	GO(0)				SOUND_ATTACK;0				0	0	0	7;25;28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
102		10	_F_FLEX_000;77	_F_FLEX_000;77	0	0;0;0;0		0	0	GO(0)				SOUND_FLEXNORMAL;0				0	0	0	7;25;28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
110		300	_F_JUMP_002;25	_F_JUMP_002;25	0	0;0;650;1		0	0	GO(0)							140;0	0	300	0	7;25;40	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
111		300	_F_JUMP_002;25\n_F_JUMP_001;42\n_F_JUMP_001;59	_F_JUMP_002;25\n_F_JUMP_001;42\n_F_JUMP_001;59	0	0;0;2600;1		0	0	GO(0)	GO(0)	none;1006;1		PS_O_VIP_JUMP;0				0	300	0	7;13;25;29;40	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
112		300	_F_JUMP_002;25\n_F_JUMP_001;42\n_F_JUMP_001;59	_F_JUMP_002;25\n_F_JUMP_001;42\n_F_JUMP_001;59	0	0;0;2600;1		0	0	GO(0)	GO(0)	none;1005;59		PS_O_VIP_JUMP;0				0	300	0	7;13;25;29;40	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
113		300	_F_JUMP_002;25\n_F_JUMP_001;42\n_F_JUMP_001;59	_F_JUMP_002;25\n_F_JUMP_001;42\n_F_JUMP_001;59	0	0;0;3900;1		0	0	GO(0)				S_O_STAMP_BLUE;0				0	300	0	7;25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
114	Icon_Emotion_003	100	_F_EMOTION_003;155	_F_EMOTION_003;155	0			1	0	GO(0)	GO(0)			F_EMOTION_ACTION_0;0				0	0	0	7;25;26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
140		300			0			0	0	GO(0)	GO(0)							1	300	0	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
141		90	_F_ATTACK_008;39	_F_ATTACK_008;39	16385	0;0;0;0		0	284	GO(0)	STUN(100)	S_H_PHYSICS;0;19	-1;0;1	PS_O_SINGLE_F22;0	CAMERASHOCK(C_SKILL01);20		141;19	3	225	0	2;7;14;28	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1
142		90	_F_ATTACK_015;43	_F_ATTACK_015;43	16385	0;0;0;0		0	284	HIT(100)	STUN(0)	S_H_PHYSICS;0;9\nS_H_PHYSICS;0;24\nS_H_PHYSICS;0;43	0;-1;1	PS_O_ATTACK015;0			142;43\n280;43	1	225	0	1;5;7;8;9;14;28	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0
143		90	_F_ATTACK_004;32	_F_ATTACK_004;32	16385	0;0;0;0		0	284	HIT(100)	STUN(100)	S_H_PHYSICS;1430;17	0;-1;1	PS_O_ATTACK004;0			298;1	1	250	0	0;1;5;7;28	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0
144		150	_F_ATTACK_003;32	_F_ATTACK_003;32	4096			0	0	GO(0)	GO(0)	PS_O_DEVA;144;15						1	200	0	7;13;28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
145		90	_F_ATTACK_008A;41	_F_ATTACK_008A;41	16385	0;0;0;35		0	284	HIT(100)	STUN(100)	S_H_HOMERUN;304;17	-150;100;5	PS_O_ATTACK008A;0				1	225	0	1;5;7;8;14;21;28	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0
146		90	_F_ATTACK_006;25	_F_ATTACK_006;25	16385	0;0;0;11\n750;0;0;19		0	0	HIT(100)				PS_O_ATTACK004_L;0		CAMERASHOCK(C_SKILL01);17	146;10	0	250	0	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
147		1700	_F_ATTACK_037;0	_F_ATTACK_037;0	16385	RUNEDGE;-1.05;0;6000		0	1470	HIT(100)							147;0	0	1700	0	1;5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
148		2000	_F_ATTACK_037;0	_F_ATTACK_006;25	16385	RUNEDGE;-0.9;0;6000		0	0	HIT(100)					radialblur;30;0		147;0\n1470;0	0	0	0	1;5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
149		3000	_F_ATTACK_006;24	_F_ATTACK_006;24	1	0;0;0;0\n900;0;0;15		0	0		GO(0)	nul						1	90	0	2	0.0	0.5	0.5	0.0	0.0	0.0	0.0	0
150		3000	_F_EMPOWER_000;180	_F_EMPOWER_000;180	1	0;0;0;0		0	0		GO(0)	none;150;1						1	200	0	3;13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
151		1500	_F_JUMP_000;25	_F_JUMP_000;25	1	ARC;25		0	157	GO(0)	GO(0)	none;151;20						1	500	0	25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
152		3000	_C_ATTACK_020;300	_C_ATTACK_020;300	1	0;0;0;300		0	154		GO(0)						152;1	1	90	0	6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
153		250	_F_ATTACK_005;25\n_F_SENTRY_000;30	_F_ATTACK_005;25\n_F_SENTRY_000;30	1	0;0;0;0		0	0		GO(0)	none;153;1						1	300	0	25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
154		5000	_F_JUMP_002;29\n_F_JUMP_001;45	_F_JUMP_002;29\n_F_JUMP_001;45	1	ARC;45		0	0		GO(0)							1	5000	0	6	0.0	0.5	0.5	0.0	0.0	0.0	0.0	0
155		3000	_C_ATTACK_019;26	_F_ATTACK_019;26	1	nul		0	0		GO(0)	nul						1	90	0	2	0.0	0.5	0.5	0.0	0.0	0.0	0.0	0
156		300	_C_ATTACK_003;36	_C_ATTACK_003;36	1			0	0	GO(0)	GO(0)							1	300	0	1;4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
157		2500	_F_JUMP_002;25\n_F_ATTACK_014;41	_F_JUMP_002;25\n_F_ATTACK_014;41	1	ARC;40		0	0	GO(0)	GO(0)	S_H_PHYSICS;0;40	0;-1;1					1	175	0	1;5	2.5	0.0	2.5	0.0	0.0	0.0	0.0	0
158		3000	_C_WIELD_000;15	_F_WIELD_000;15	1	nul		0	0		GO(0)	S_H_PHYSICS;0;20						1	90	0	2	0.0	0.5	0.5	0.0	0.0	0.0	0.0	0
159		3000	_C_WIELD_001;15	_F_WIELD_001;15	1	nul		0	0		GO(0)	S_H_PHYSICS;0;20						1	90	0	2	0.0	0.5	0.5	0.0	0.0	0.0	0.0	0
160		1700	_C_ATTACK_020;29	_C_ATTACK_020;29	16640			0	286	GO(0)				PS_O_FIREDART;0			160;20\n280;20	0	0	0	1;5;7;14;28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
161		1700	_C_ATTACK_020;29	_C_ATTACK_020;29	16640			0	286	HIT(100)	CURSE(100)	S_H_FLAME;1610;22		PS_O_FIREDART;0			298;23	1	1750	0	1;5;7;14;28	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0
162		3000	_C_ATTACK_003;32	_C_ATTACK_003;32	16640			0	0	GO(0)	GO(0)			PS_O_FIREARMOR;0			162;16\n1624;16	0	0	0	1;4;7;28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
163		2500	_F_ATTACK_028;22\n_F_ATTACK_027;51\n_F_ATTACK_029;83	_F_ATTACK_028;22\n_F_ATTACK_027;51\n_F_ATTACK_029;83	16512	0;0;0;0		0	0	GO(0)				PS_O_AIRARMOR;51			163;65	0	0	0	1;5;7;14;28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
164		2500	_F_ATTACK_028;45\n_F_ATTACK_023;75\n_F_ATTACK_023;105\n_F_ATTACK_023;135	_F_ATTACK_028;45\n_F_ATTACK_023;75\n_F_ATTACK_023;105\n_F_ATTACK_023;135	16640	0;0;0;0		0	0	GO(0)				PS_O_ORBITBOOM;0			1643;0\n164;3\n164;33\n164;63\n164;93\n164;123	0	10	0	5;6;7;14;28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
165		1700	_C_ATTACK_020;30	_C_ATTACK_020;30	16640	0;0;0;30		0	286					PS_O_FIREDART;0			165;22	0	0	0	5;6;7;14;28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
166		3000	_C_ATTACK_003;32	_C_ATTACK_003;32	16640			0	286	GO(0)				PS_O_FIREARMOR;0			166;16	0	0	0	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
167		1000	_C_ATTACK_021;48	_C_ATTACK_021;48	16640	0;0;0;0		0	286	GO(0)				PS_O_FIREBURST;0			167;0\n167;16\n167;32\n167;48	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
