n_ID	n_TIME
3067	67
3068	68
3069	69
3070	70
3071	71
3072	72
3073	73
3074	74
3075	75
3076	76
3077	77
3078	78
3079	79
3080	80
3081	81
3082	82
3083	83
3084	84
3085	85
3086	86
3087	87
3088	88
3089	89
3090	90
3091	91
3092	92
3093	93
3094	94
3095	95
3096	96
3097	97
3098	98
3099	99
3100	100
3101	101
3102	102
3103	103
3104	104
3105	105
3106	106
3107	107
3108	108
3109	109
3110	110
3111	111
3112	112
3113	113
3114	114
3115	115
3116	116
3117	117
3118	118
3119	119
3120	120
3121	121
3122	122
3123	123
3124	124
3125	125
3126	126
3127	127
3128	128
3129	129
3130	130
3131	131
3132	132
3133	133
3134	134
3135	135
3136	136
3137	137
3138	138
3139	139
3140	140
3141	141
3142	142
3143	143
3144	144
3145	145
3146	146
3147	147
3148	148
3149	149
3150	150
3151	151
3152	152
3153	153
3154	154
3155	155
3156	156
3157	157
3158	158
3159	159
3160	160
3161	161
3162	162
3163	163
3164	164
3165	165
3166	166
3167	167
3168	168
3169	169
3170	170
3171	171
3172	172
3173	173
3174	174
3175	175
3176	176
3177	177
3178	178
3179	179
3180	180
3181	181
3182	182
3183	183
3184	184
3185	185
3186	186
3187	187
3188	188
3189	189
3190	190
3191	191
3192	192
3193	193
3194	194
3195	195
3196	196
3197	197
3198	198
3199	199
3200	200
3201	201
3202	202
3203	203
3204	204
3205	205
3206	206
3207	207
3208	208
3209	209
3210	210
3211	211
3212	212
3213	213
3214	214
3215	215
3216	216
3217	217
3218	218
3219	219
3220	220
3221	221
3222	222
3223	223
3224	224
3225	225
3226	226
3227	227
3228	228
3229	229
3230	230
3231	231
3232	232
3233	233
3234	234
3235	235
3236	236
3237	237
3238	238
3239	239
3240	240
3241	241
3242	242
3243	243
3244	244
3245	245
3246	246
3247	247
3248	248
3249	249
3250	250
3251	251
3252	252
3253	253
3254	254
3255	255
3256	256
3257	257
3258	258
3259	259
3260	260
3261	261
3262	262
3263	263
3264	264
3265	265
3266	266
3267	267
3268	268
3269	269
3270	270
3271	271
3272	272
3273	273
3274	274
3275	275
3276	276
3277	277
3278	278
3279	279
3280	280
3281	281
3282	282
3283	283
3284	284
3285	285
3286	286
3287	287
3288	288
3289	289
3290	290
3291	291
3292	292
3293	293
3294	294
3295	295
3296	296
3297	297
3298	298
3299	299
3300	300
3301	301
3302	302
3303	303
3304	304
3305	305
3306	306
3307	307
3308	308
3309	309
3310	310
3311	311
3312	312
3313	313
3314	314
3315	315
3316	316
3317	317
3318	318
3319	319
3320	320
3321	321
3322	322
3323	323
3324	324
3325	325
3326	326
3327	327
3328	328
3329	329
3330	330
3331	331
3332	332
3333	333
3334	334
3335	335
3336	336
3337	337
3338	338
3339	339
3340	340
3341	341
3342	342
3343	343
3344	344
3345	345
3346	346
3347	347
3348	348
3349	349
3350	350
3351	351
3352	352
3353	353
3354	354
3355	355
3356	356
3357	357
3358	358
3359	359
3360	360
3361	361
3362	362
3363	363
3364	364
3365	365
3366	366
3367	367
3368	368
3369	369
3370	370
3371	371
3372	372
3373	373
3374	374
3375	375
3376	376
3377	377
3378	378
3379	379
3380	380
3381	381
3382	382
3383	383
3384	384
3385	385
3386	386
3387	387
3388	388
3389	389
3390	390
3391	391
3392	392
3393	393
3394	394
3395	395
3396	396
3397	397
3398	398
3399	399
3400	400
3401	401
3402	402
3403	403
3404	404
3405	405
3406	406
3407	407
3408	408
3409	409
3410	410
3411	411
3412	412
3413	413
3414	414
3415	415
3416	416
3417	417
3418	418
3419	419
3420	420
3421	421
3422	422
3423	423
3424	424
3425	425
3426	426
3427	427
3428	428
3429	429
3430	430
3431	431
3432	432
3433	433
3434	434
3435	435
3436	436
3437	437
3438	438
3439	439
3440	440
3441	441
3442	442
3443	443
3444	444
3445	445
3446	446
3447	447
3448	448
3449	449
3450	450
3451	451
3452	452
3453	453
3454	454
3455	455
3456	456
3457	457
3458	458
3459	459
3460	460
3461	461
3462	462
3463	463
3464	464
3465	465
3466	466
3467	467
3468	468
3469	469
3470	470
3471	471
3472	472
3473	473
3474	474
3475	475
3476	476
3477	477
3478	478
3479	479
3480	480
3481	481
3482	482
3483	483
3484	484
3485	485
3486	486
3487	487
3488	488
3489	489
3490	490
3491	491
3492	492
3493	493
3494	494
3495	495
3496	496
3497	497
3498	498
3499	499
3500	500
3501	501
3502	502
3503	503
3504	504
3505	505
3506	506
3507	507
3508	508
3509	509
3510	510
3511	511
3512	512
3513	513
3514	514
3515	515
3516	516
3517	517
3518	518
3519	519
3520	520
3521	521
3522	522
3523	523
3524	524
3525	525
3526	526
3527	527
3528	528
3529	529
3530	530
3531	531
3532	532
3533	533
3534	534
3535	535
3536	536
3537	537
3538	538
3539	539
3540	540
3541	541
3542	542
3543	543
3544	544
3545	545
3546	546
3547	547
3548	548
3549	549
3550	550
3551	551
3552	552
3553	553
3554	554
3555	555
3556	556
3557	557
3558	558
3559	559
3560	560
3561	561
3562	562
3563	563
3564	564
3565	565
3566	566
3567	567
3568	568
3569	569
3570	570
3571	571
3572	572
3573	573
3574	574
3575	575
3576	576
3577	577
3578	578
3579	579
3580	580
3581	581
3582	582
3583	583
3584	584
3585	585
3586	586
3587	587
3588	588
3589	589
3590	590
3591	591
3592	592
3593	593
3594	594
3595	595
3596	596
3597	597
3598	598
3599	599
3600	600
3601	601
3602	602
3603	603
3604	604
3605	605
3606	606
3607	607
3608	608
3609	609
3610	610
3611	611
3612	612
3613	613
3614	614
3615	615
3616	616
3617	617
3618	618
3619	619
3620	620
3621	621
3622	622
3623	623
3624	624
3625	625
3626	626
3627	627
3628	628
3629	629
3630	630
3631	631
3632	632
3633	633
3634	634
3635	635
3636	636
3637	637
3638	638
3639	639
3640	640
3641	641
3642	642
3643	643
3644	644
3645	645
3646	646
3647	647
3648	648
3649	649
3650	650
3651	651
3652	652
3653	653
3654	654
3655	655
3656	656
3657	657
3658	658
3659	659
3660	660
3661	661
3662	662
3663	663
3664	664
3665	665
3666	666
3667	667
3668	668
3669	669
3670	670
3671	671
3672	672
3673	673
3674	674
3675	675
3676	676
3677	677
3678	678
3679	679
3680	680
3681	681
3682	682
3683	683
3684	684
3685	685
3686	686
3687	687
3688	688
3689	689
3690	690
3691	691
3692	692
3693	693
3694	694
3695	695
3696	696
3697	697
3698	698
3699	699
3700	700
3701	701
3702	702
3703	703
3704	704
3705	705
3706	706
3707	707
3708	708
3709	709
3710	710
3711	711
3712	712
3713	713
3714	714
3715	715
3716	716
3717	717
3718	718
3719	719
3720	720
3721	721
3722	722
3723	723
3724	724
3725	725
3726	726
3727	727
3728	728
3729	729
3730	730
3731	731
3732	732
3733	733
3734	734
3735	735
3736	736
3737	737
3738	738
3739	739
3740	740
3741	741
3742	742
3743	743
3744	744
3745	745
3746	746
3747	747
3748	748
3749	749
3750	750
3751	751
3752	752
3753	753
3754	754
3755	755
3756	756
3757	757
3758	758
3759	759
3760	760
3761	761
3762	762
3763	763
3764	764
3765	765
3766	766
3767	767
3768	768
3769	769
3770	770
3771	771
3772	772
3773	773
3774	774
3775	775
3776	776
3777	777
3778	778
3779	779
3780	780
3781	781
3782	782
3783	783
3784	784
3785	785
3786	786
3787	787
3788	788
3789	789
3790	790
3791	791
3792	792
3793	793
3794	794
3795	795
3796	796
3797	797
3798	798
3799	799
3800	800
3801	801
3802	802
3803	803
3804	804
3805	805
3806	806
3807	807
3808	808
3809	809
3810	810
3811	811
3812	812
3813	813
3814	814
3815	815
3816	816
3817	817
3818	818
3819	819
3820	820
3821	821
3822	822
3823	823
3824	824
3825	825
3826	826
3827	827
3828	828
3829	829
3830	830
3831	831
3832	832
3833	833
3834	834
3835	835
3836	836
3837	837
3838	838
3839	839
3840	840
3841	841
3842	842
3843	843
3844	844
3845	845
3846	846
3847	847
3848	848
3849	849
3850	850
3851	851
3852	852
3853	853
3854	854
3855	855
3856	856
3857	857
3858	858
3859	859
3860	860
3861	861
3862	862
3863	863
3864	864
3865	865
3866	866
3867	867
3868	868
3869	869
3870	870
3871	871
3872	872
3873	873
3874	874
3875	875
3876	876
3877	877
3878	878
3879	879
3880	880
3881	881
3882	882
3883	883
3884	884
3885	885
3886	886
3887	887
3888	888
3889	889
3890	890
3891	891
3892	892
3893	893
3894	894
3895	895
3896	896
3897	897
3898	898
3899	899
3900	900
4001	4
4003	4
4004	0
4005	45
4006	6
4007	18
4008	6
4009	6
4010	12
4011	60
4012	18
4014	15
4015	30
4016	9
4017	30
4018	15
4019	15
4020	45
4021	24
4023	9
4024	30
4101	9
4102	15
4103	15
4104	1
4105	1
4106	30
4108	30
4109	60
4112	12
4113	6
4114	15
4115	12
4116	15
4117	7
4118	120
4119	15
4120	12
4121	1
4122	6
4123	6
4124	12
4201	10
4202	9
4203	45
4205	9
4207	90
4209	12
4210	12
4211	7
4212	15
4214	15
4215	9
4217	15
4218	15
4219	24
4220	60
4221	60
4222	20
4223	30
4224	30
4226	18
4301	12
4302	30
4304	24
4305	18
4306	3
4307	12
4308	6
4309	6
4310	12
4311	9
4312	15
4314	18
4317	120
4318	30
4319	15
4320	45
4321	6
4322	18
4402	6
4403	12
4404	9
4405	45
4406	18
4407	6
4408	12
4409	1
4410	18
4411	45
4412	18
4413	60
4414	90
4415	12
4416	12
4417	30
4418	18
4419	9
4420	45
4421	24
4422	60
4501	0
4502	30
4503	9
4504	9
4505	12
4506	25
4507	25
4508	18
4509	18
4510	12
4511	60
4512	9
4513	12
4514	9
4515	40
4516	12
4517	15
4518	30
4519	18
4520	60
4521	45
4522	0
5100	10
5101	82800
5102	3600
5103	3600
5104	21600
5105	82800
5106	82800
5107	10
5108	82800
5109	120
5110	120
5111	2
5112	120
5113	3
5114	120
5115	5
5116	60
5117	2
5118	1800
5119	1800
5137	2
7000	3
7001	3
7002	7
7003	20
7006	3
7007	3
7008	5
7009	3
7010	12
7011	15
7012	3
7013	5
7014	3
7015	5
7016	15
7017	3
7018	3
7019	5
7020	7
7021	15
7022	30
7023	8
7024	12
8002	90
8003	90
8004	90
8021	3
8022	3
8028	3
8029	5
8030	9
8031	3
8032	5
8033	9
8034	90
8040	2
8041	90
8047	3
8048	5
8049	10
8201	6
8202	4
8203	9
8204	4
8205	15
8206	9
8207	30
8210	3
8211	6
8212	9
8213	6
8214	12
8215	15
8216	45
8217	4
8221	15
8222	9
8223	15
8224	25
8225	15
8226	25
8227	45
8230	0
8231	12
8232	9
8233	6
8234	18
8235	12
8236	30
8237	45
8241	9
8242	12
8243	15
8244	9
8245	25
8246	45
8247	6
8250	30
8252	12
8253	3
8254	6
8255	30
8256	30
8257	40
8582	1
8766	3
8767	3
8768	10
8769	20
9800	15
9999	10
42001	10
42002	7
