n_ID	n_TYPE	s_STATISTIC	s_CONDITIONS	s_FREQUENCY	s_TIP	n_POINTS	n_LEVEL	n_REWARD_ITEM	n_ITEMQUANTITY	f_REWARD_EXP	f_REWARD_SP	f_REWARD_MONEY	n_REWARD_TOKEN	n_REWARD_GREATTITLE	n_BROADCASTING	s_HK_VER	s_TC_VER	s_JP_VER	s_TH_VER
130	1613	GETITEM_ANYWAY(2601001)\nGETITEM_ANYWAY(2601002)\nGETITEM_ANYWAY(2601003)	GO\nGO\nGO	1\n1\n1	8021\n8022\n8023	50	100	2605001	6	0.0	0.0	0.0	1000	0	7	1.03.0000	1.07.0000	1.07.0000	1.07.0000
140	1613	GETITEM_ANYWAY(2606030)	GO	1	140	50	115	2605001	4	0.0	0.0	0.0	1000	0	7	1.03.0000	1.07.0000	1.07.0000	1.07.0000
150	1613	GETITEM_ANYWAY(2600002)	GO	1000	150	50	120	2605001	6	0.0	0.0	0.0	2000	0	7	1.03.0000	1.07.0000	1.07.0000	1.07.0000
160	1613	GETITEM_ANYWAY(2601001)\nGETITEM_ANYWAY(2601002)\nGETITEM_ANYWAY(2601003)\nGETITEM_ANYWAY(2601004)\nGETITEM_ANYWAY(2601005)\nGETITEM_ANYWAY(2601006)\nGETITEM_ANYWAY(2601007)\nGETITEM_ANYWAY(2601008)	GO\nGO\nGO\nGO\nGO\nGO\nGO\nGO	1\n1\n1\n1\n1\n1\n1\n1	8021\n8022\n8023\n8024\n8025\n8026\n8027\n8028	100	100	2400928	1	0.0	0.0	0.0	3000	0	7	1.06.0000	1.07.0000	1.07.0000	1.07.0000
1001	1614	QUEST_FINISH(1060,0)	GO	1	1001	5	5	2605001	1	0.0	0.0	0.0	0	0	0	OUT	1.07.0000	1.07.0000	1.07.0000
1002	1614	QUEST_FINISH(1071,0)	GO	1	1002	5	10	2605001	1	0.0	0.0	0.0	100	1002	0	OUT	1.07.0000	1.07.0000	1.07.0000
1051	1614	ACHIEVEMENT_SUM()	GO	100	1051	0	40	2605001	1	0.0	0.0	0.0	100	0	0	OUT	1.07.0000	1.07.0000	1.07.0000
1052	1614	ACHIEVEMENT_SUM()	GO	500	1052	0	40	2605001	2	0.0	0.0	0.0	200	0	6	OUT	1.07.0000	1.07.0000	1.07.0000
1053	1614	ACHIEVEMENT_SUM()	GO	1000	1053	0	40	2605001	4	0.0	0.0	0.0	400	1053	7	OUT	1.07.0000	1.07.0000	1.07.0000
1101	1614	PPCLASS_GET(0)	GO	1	1101	10	60	2605001	1	0.0	0.0	0.0	200	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
1102	1614	CULTURED_EXPAND	GO	15	1102	50	120	2410070	1	0.0	0.0	0.0	2000	0	7	1.01.0000	1.07.0000	1.07.0000	1.07.0000
1103	1614	GASH_CONSUME	GO	50000	1103	50	120	2410071	1	0.0	0.0	0.0	2000	0	7	1.01.0000	1.07.0000	1.07.0000	1.07.0000
1104	1614	TOKEN_CONSUME	GO	10000	1104	5	100	2605001	2	0.0	0.0	0.0	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
1105	1614	FREETOKEN_GET	GO	15	1105	5	50	2605001	2	0.0	0.0	0.0	200	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
1106	1614	RESTORE_HP_LIQUID	GO	100000	1106	5	40	2605001	2	0.0	0.0	0.0	200	1106	2	1.01.0000	1.07.0000	1.07.0000	1.07.0000
1107	1614	REVIVE_SELF	GO	20	1107	20	100	2410072	1	0.0	0.0	0.0	500	1107	7	1.01.0000	1.07.0000	1.07.0000	1.07.0000
1108	1614	ENHANCE_SUCCESS(0)	ENHANCE_LEVEL(0,10);ITEM_QUALITY(1,1)	1	1108	5	45	2605001	1	0.0	0.0	0.0	100	0	7	1.01.0000	1.07.0000	1.07.0000	1.07.0000
1109	1614	GATHER_LUCKY	GO	10	1109	15	50	2605001	3	0.0	0.0	0.0	200	0	4	1.01.0000	1.07.0000	1.07.0000	1.07.0000
1201	1614	GLIDING_TIME(31)	SCENE(1,0)	1	1201	5	61	2605001	1	0.20000000298023224	0.0	0.0	100	0	6	1.05.0000	1.07.0000	1.07.0000	1.07.0000
1202	1614	GLIDING_TIME(41)	SCENE(2,0)	1	1202	10	61	2412703	1	0.4000000059604645	0.0	0.0	200	1202	7	1.05.0000	1.07.0000	1.07.0000	1.07.0000
1203	1614	GLIDING_TIME(40)	SCENE(3,0)	1	1203	15	61	2605001	3	0.6000000238418579	0.0	0.0	200	1203	7	1.05.0000	1.07.0000	1.07.0000	1.07.0000
1204	1614	GLIDING_TIME(19)	SCENE(4,0)	1	1204	5	30	2410169	1	0.0	0.0	0.0	200	0	6	1.05.0000	1.07.0000	1.07.0000	1.07.0000
1205	1614	GLIDING_TIME(30)	SCENE(5,0)	1	1205	5	30	2410170	1	0.0	0.0	0.0	200	0	6	1.05.0000	1.07.0000	1.07.0000	1.07.0000
1206	1614	GLIDING_TIME(45)	SCENE(6,0)	1	1206	15	30	2410171	3	0.0	0.0	0.0	200	1206	7	1.05.0000	1.07.0000	1.07.0000	1.07.0000
1207	1614	GLIDING_TIME(42)	SCENE(7,0)	1	1207	5	30	2605001	1	0.0	0.0	0.0	200	0	7	1.10.0000	1.07.0000	1.07.0000	1.07.0000
1208	1614	GLIDING_TIME(33)	SCENE(8,0)	1	1208	10	30	2605001	2	0.0	0.0	0.0	200	1208	7	1.10.0000	1.07.0000	1.07.0000	1.07.0000
1209	1614	GLIDING_TIME(22)	SCENE(9,0)	1	1209	5	30	2605001	1	0.0	0.0	0.0	200	0	7	1.10.0000	1.07.0000	1.07.0000	1.07.0000
1210	1614	GLIDING_TIME(32)	SCENE(12,0)	1	1210	5	30	2605001	2	0.0	0.0	0.0	300	0	7	1.10.0000	1.07.0000	1.07.0000	1.07.0000
1211	1614	GLIDING_TIME(31)	SCENE(14,0)	1	1211	10	30	2605001	4	0.0	0.0	0.0	300	1211	7	1.10.0000	1.07.0000	1.07.0000	1.07.0000
1212	1614	GLIDING_TIME(53)	SCENE(15,0)	1	1212	5	30	2605001	2	0.0	0.0	0.0	300	0	7	1.10.0000	1.07.0000	1.07.0000	1.07.0000
1213	1614	GLIDING_TIME(79)	SCENE(16,0)	1	1213	10	30	2605001	4	0.0	0.0	0.0	300	1213	7	1.10.0000	1.07.0000	1.07.0000	1.07.0000
1251	1614	GLIDING_TIME(40)	SCENE(1,0);CHAR_LEVEL(1,44)	1	1251	5	61	2605001	1	1.0	0.0	0.0	100	0	7	1.07.0000	1.07.0000	1.07.0000	1.07.0000
1252	1614	GLIDING_TIME(61)	SCENE(1,0);CHAR_LEVEL(1,49)	1	1252	10	61	2605001	2	1.5	0.0	0.0	100	1252	7	1.07.0000	1.07.0000	1.07.0000	1.07.0000
1253	1614	GLIDING_TIME(46)	SCENE(2,0);CHAR_LEVEL(1,44)	1	1253	5	61	2605001	1	1.0	0.0	0.0	100	0	7	1.07.0000	1.07.0000	1.07.0000	1.07.0000
1254	1614	GLIDING_TIME(52)	SCENE(2,0);CHAR_LEVEL(1,49)	1	1254	10	61	2605001	2	1.5	0.0	0.0	100	1254	7	1.07.0000	1.07.0000	1.07.0000	1.07.0000
1255	1614	GLIDING_TIME(54)	SCENE(3,0);CHAR_LEVEL(1,44)	1	1255	5	61	2605001	1	1.0	0.0	0.0	100	0	7	1.07.0000	1.07.0000	1.07.0000	1.07.0000
1256	1614	GLIDING_TIME(70)	SCENE(3,0);CHAR_LEVEL(1,49)	1	1256	10	61	2605001	2	1.5	0.0	0.0	100	1256	7	1.07.0000	1.07.0000	1.07.0000	1.07.0000
1257	1614	GLIDING_TIME(29)	SCENE(4,0)	1	1257	5	61	2605001	1	1.0	0.0	0.0	100	0	7	1.07.0000	1.07.0000	1.07.0000	1.07.0000
1258	1614	GLIDING_TIME(44)	SCENE(4,0);CHAR_LEVEL(1,49)	1	1258	10	61	2605001	2	1.5	0.0	0.0	100	1258	7	1.07.0000	1.07.0000	1.07.0000	1.07.0000
1259	1614	GLIDING_TIME(55)	SCENE(5,0)	1	1259	5	61	2605001	1	2.700000047683716	0.0	0.0	100	0	7	1.07.0000	1.07.0000	1.07.0000	1.07.0000
1260	1614	GLIDING_TIME(66)	SCENE(5,0)	1	1260	10	61	2605001	2	4.199999809265137	0.0	0.0	100	1260	7	1.07.0000	1.07.0000	1.07.0000	1.07.0000
1261	1614	GLIDING_TIME(50)	SCENE(6,0)	1	1261	5	61	2605001	1	3.0	0.0	0.0	100	0	7	1.07.0000	1.07.0000	1.07.0000	1.07.0000
1262	1614	GLIDING_TIME(65)	SCENE(6,0)	1	1262	10	61	2605001	2	4.5	0.0	0.0	100	1262	7	1.07.0000	1.07.0000	1.07.0000	1.07.0000
1301	1614	GLIDING_TIME_TOTAL	GO	600	1301	5	30	2605001	1	0.0	0.0	0.0	200	0	0	1.05.0000	1.07.0000	1.07.0000	1.07.0000
1302	1614	GLIDING_TIME_TOTAL	GO	3600	1302	10	30	2605001	2	0.0	0.0	0.0	200	0	2	1.05.0000	1.07.0000	1.07.0000	1.07.0000
1303	1614	GLIDING_TIME_TOTAL	GO	21600	1303	15	30	2605001	3	0.0	0.0	0.0	200	0	6	1.05.0000	1.07.0000	1.07.0000	1.07.0000
1304	1614	GLIDING_TIME_TOTAL	GO	86400	1304	20	30	2605001	4	0.0	0.0	0.0	200	1304	7	1.05.0000	1.07.0000	1.07.0000	1.07.0000
1401	1614	GETITEM_AUCTION(0)	GO	100	1401	10	50	2605001	2	0.0	0.0	0.0	200	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
1402	1614	GETITEM_AUCTION(0)	GO	500	1402	15	70	2605001	4	0.0	0.0	0.0	200	0	4	1.01.0000	1.07.0000	1.07.0000	1.07.0000
1403	1614	GETITEM_AUCTION(0)	GO	1000	1403	20	90	2605001	6	0.0	0.0	0.0	200	1403	7	1.01.0000	1.07.0000	1.07.0000	1.07.0000
2001	1615	KILLMOB(0)	TEAM_MEMBER(0,1,0);TARGET_LEVELDIFFERENCE(1,10)	100	2001	5	50	2605001	2	0.0	0.0	0.0	200	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
2003	1615	KILLMOB(1004)	TEAM_DIE(0,0,1004)	1	2003	10	50	2605001	2	0.0	0.0	0.0	200	0	7	1.01.0000	1.07.0000	1.07.0000	1.07.0000
2004	1615	KILLMOB(0)	MOB_RANK(0,64)	1	2004	5	40	2605001	1	0.0	0.0	0.0	200	0	7	1.01.0000	1.07.0000	1.07.0000	1.07.0000
2011	1615	INSTANCE_RANK(-1,6,1001,8)	TEAM_MEMBER(0,1,0)	1	2011	10	60	2410118	1	0.0	0.0	0.0	200	7	7	1.01.0000	1.07.0000	1.07.0000	1.07.0000
2012	1615	INSTANCE_RANK(0,5,1002,8)	GO	1	2012	10	120	2605001	6	0.0	0.0	0.0	200	0	7	1.10.0000	1.07.0000	1.07.0000	1.07.0000
2014	1615	INSTANCE_RANK(-1,6,1005,16)	TEAM_MEMBER(0,1,0)	1	2014	10	70	2410120	1	0.0	0.0	0.0	200	0	7	1.01.0000	1.07.0000	1.07.0000	1.07.0000
2016	1615	INSTANCE_RANK(-1,6,1007,32)	TEAM_MEMBER(0,1,0)	1	2016	10	100	2605001	2	0.0	0.0	0.0	200	0	7	1.01.0000	1.07.0000	1.07.0000	1.07.0000
2017	1615	INSTANCE_RANK(0,5,1008,32)	GO	1	2017	10	120	2605001	6	0.0	0.0	0.0	200	0	7	1.10.0000	1.07.0000	1.07.0000	1.07.0000
2019	1615	INSTANCE_RANK(-1,6,1023,1024)	TEAM_MEMBER(0,1,0)	1	2019	10	100	2410119	1	0.0	0.0	0.0	200	0	7	1.01.0000	1.07.0000	1.07.0000	1.07.0000
2020	1615	INSTANCE_RANK(0,5,1024,1024)	GO	1	2020	10	120	2605001	6	0.0	0.0	0.0	200	0	7	1.10.0000	1.07.0000	1.07.0000	1.07.0000
2022	1615	INSTANCE_RANK(-1,6,1010,64)	TEAM_MEMBER(0,1,0)	1	2022	10	110	2605001	2	0.0	0.0	0.0	200	0	7	1.01.0000	1.00.0000	1.00.0000	1.00.0000
2023	1615	INSTANCE_RANK(0,5,1011,64)	GO	1	2023	10	120	2605001	6	0.0	0.0	0.0	200	0	7	1.10.0000	1.07.0000	1.07.0000	1.07.0000
2025	1615	INSTANCE_RANK(0,5,1014,128)	GO	1	2025	10	120	2605001	6	0.0	0.0	0.0	200	0	7	1.10.0000	1.07.0000	1.07.0000	1.07.0000
2027	1615	INSTANCE_RANK(-1,6,1016,256)	TEAM_MEMBER(0,1,0)	1	2027	10	120	2605001	2	0.0	0.0	0.0	200	0	7	1.01.0000	1.00.0000	1.00.0000	1.00.0000
2028	1615	INSTANCE_RANK(0,5,1017,256)	GO	1	2028	10	120	2605001	6	0.0	0.0	0.0	200	0	7	1.10.0000	1.07.0000	1.07.0000	1.07.0000
2030	1615	INSTANCE_RANK(-1,6,1020,512)	TEAM_MEMBER(0,1,0)	1	2030	10	120	2605001	2	0.0	0.0	0.0	200	0	7	1.01.0000	1.00.0000	1.00.0000	1.00.0000
2031	1615	INSTANCE_RANK(0,5,1021,512)	GO	1	2031	10	120	2605001	6	0.0	0.0	0.0	200	0	7	1.10.0000	1.07.0000	1.07.0000	1.07.0000
2051	1615	KILLMOB(1004)	GO	10	2051	0	61	0	0	2.0	0.0	0.0	200	0	0	1.07.0000	1.07.0000	1.07.0000	1.07.0000
2052	1615	KILLMOB(1002)	TEAM_MEMBER(0,1,0)	15	2052	0	61	0	0	1.5	0.0	0.0	200	0	0	1.07.0000	1.07.0000	1.07.0000	1.07.0000
2053	1615	KILLMOB(1584)	GO	20	2053	0	61	0	0	4.0	0.0	0.0	200	0	0	1.07.0000	1.07.0000	1.07.0000	1.07.0000
2054	1615	KILLMOB(1604)	TEAM_MEMBER(0,1,0)	15	2054	0	61	0	0	4.0	0.0	0.0	200	0	0	1.07.0000	1.07.0000	1.07.0000	1.07.0000
2055	1615	KILLMOB(1606)	GO	20	2055	0	61	0	0	4.0	0.0	0.0	200	0	0	1.07.0000	1.07.0000	1.07.0000	1.07.0000
2101	1615	GETITEM_ANYWAY(2400834)	GO	3	2101	5	61	0	0	1.2000000476837158	0.0	0.0	0	0	0	1.05.0000	1.07.0000	1.07.0000	1.07.0000
2102	1615	GETITEM_ANYWAY(2400834)	GO	5	2102	5	61	0	0	1.7999999523162842	0.0	0.0	0	0	0	1.05.0000	1.07.0000	1.07.0000	1.07.0000
2201	1615	KILLPC(1)	GO	10	2201	5	61	2605001	1	0.0	0.0	0.0	0	0	0	1.10.0000	1.07.0000	1.07.0000	1.07.0000
2202	1615	KILLPC(1)	GO	100	2202	10	61	2605001	1	0.0	0.0	0.0	0	2202	0	1.10.0000	1.07.0000	1.07.0000	1.07.0000
2203	1615	KILLPC(1)	GO	1000	2203	15	61	2605001	2	0.0	0.0	0.0	0	2203	0	1.10.0000	1.07.0000	1.07.0000	1.07.0000
2204	1615	KILLPC(1)	GO	10000	2204	20	61	2605001	2	0.0	0.0	0.0	0	2204	0	1.10.0000	1.07.0000	1.07.0000	1.07.0000
2220	1615	KILLPC(3)	TARGET_LEVELDIFFERENCE(1,10)	5	2220	10	61	2605001	2	0.0	0.0	0.0	0	0	0	1.10.0000	1.07.0000	1.07.0000	1.07.0000
2230	1615	KILLPC(4)	SELF_HP(-1,10);TARGET_LEVELDIFFERENCE(1,0)	3	2230	10	61	2605001	2	0.0	0.0	0.0	0	0	0	1.10.0000	1.07.0000	1.07.0000	1.07.0000
2701	1615	PVP_VICTORY()	GO	1	2701	5	61	2605001	2	1.2000000476837158	0.0	0.0	0	0	0	1.11.0000	1.07.0000	1.07.0000	1.07.0000
2702	1615	PVP_VICTORY()	GO	10	2702	10	61	2605001	2	3.5999999046325684	0.0	0.0	0	0	0	1.11.0000	1.07.0000	1.07.0000	1.07.0000
2703	1615	PVP_VICTORY()	GO	100	2703	15	0	2605001	4	0.0	0.0	0.0	0	0	0	1.11.0000	1.07.0000	1.07.0000	1.07.0000
2704	1615	PVP_VICTORY()	GO	1000	2704	20	0	2605001	8	0.0	0.0	0.0	0	2704	0	1.11.0000	1.07.0000	1.07.0000	1.07.0000
2705	1615	PVP_PC_COUNTA(15)	GO	1	2705	5	0	2605001	2	0.0	0.0	0.0	0	0	0	1.11.0000	1.07.0000	1.07.0000	1.07.0000
2706	1615	PVP_PC_COUNTA(15)	GO	25	2706	10	0	2605001	4	0.0	0.0	0.0	0	0	0	1.11.0000	1.07.0000	1.07.0000	1.07.0000
2707	1615	PVP_PC_COUNTA(15)	GO	200	2707	15	0	2605001	8	0.0	0.0	0.0	0	2707	0	1.11.0000	1.07.0000	1.07.0000	1.07.0000
2708	1615	PVP_MVP()	GO	1	2708	5	0	2605001	2	0.0	0.0	0.0	0	0	0	1.11.0000	1.07.0000	1.07.0000	1.07.0000
2709	1615	PVP_MVP()	GO	10	2709	10	0	2605001	2	0.0	0.0	0.0	0	0	0	1.11.0000	1.07.0000	1.07.0000	1.07.0000
2710	1615	PVP_MVP()	GO	100	2710	15	0	2605001	4	0.0	0.0	0.0	0	0	8	1.11.0000	1.07.0000	1.07.0000	1.07.0000
2711	1615	PVP_MVP()	GO	1000	2711	20	0	2605001	8	0.0	0.0	0.0	0	2710	8	1.11.0000	1.07.0000	1.07.0000	1.07.0000
2712	1615	PVP_PC	GO	10	2712	5	61	2605001	2	1.2000000476837158	0.0	0.0	0	0	0	1.11.0000	1.07.0000	1.07.0000	1.07.0000
2713	1615	PVP_PC	GO	100	2713	10	61	2605001	2	4.800000190734863	0.0	0.0	0	0	0	1.11.0000	1.07.0000	1.07.0000	1.07.0000
2714	1615	PVP_PC	GO	1000	2714	15	0	2605001	4	0.0	0.0	0.0	0	0	8	1.11.0000	1.07.0000	1.07.0000	1.07.0000
2715	1615	PVP_PC	GO	10000	2715	20	0	2605001	8	0.0	0.0	0.0	0	2715	8	1.11.0000	1.07.0000	1.07.0000	1.07.0000
2801	1615	KILLPC(99)	CHAR_LEVEL(1,44)	1	2801	0	61	0	0	0.800000011920929	0.0	0.0	0	0	0	1.07.0000	1.07.0000	1.07.0000	1.07.0000
2802	1615	KILLPC(99)	CHAR_LEVEL(1,49)	5	2802	0	61	0	0	1.399999976158142	0.0	0.0	0	0	0	1.07.0000	1.07.0000	1.07.0000	1.07.0000
2803	1615	KILLPC(99)	CHAR_LEVEL(1,54)	10	2803	0	61	0	0	2.200000047683716	0.0	0.0	0	0	0	1.07.0000	1.07.0000	1.07.0000	1.07.0000
2804	1615	KILLPC(99)	CHAR_LEVEL(1,59)	15	2804	0	61	0	0	3.200000047683716	0.0	0.0	0	0	0	1.07.0000	1.07.0000	1.07.0000	1.07.0000
2805	1615	KILLPC(99)	CHAR_LEVEL(1,64)	20	2805	0	61	0	0	4.400000095367432	0.0	0.0	0	0	0	1.07.0000	1.07.0000	1.07.0000	1.07.0000
2806	1615	KILLPC(99)	CHAR_LEVEL(1,69)	25	2806	0	61	0	0	6.0	0.0	0.0	0	2806	0	1.07.0000	1.07.0000	1.07.0000	1.07.0000
3001	1616	QUEST_FINISH(1082,0)	GO	1	3001	5	10	2605001	1	0.0	0.0	0.0	100	1	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
3002	1616	QUEST_FINISH(78,0)	GO	1	3002	5	15	2605001	1	0.0	0.0	0.0	100	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
3003	1616	QUEST_FINISH(132,0)	GO	1	3003	5	25	2605001	3	0.0	0.0	0.0	200	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
3004	1616	QUEST_FINISH(223,0)	GO	1	3004	5	60	2605001	6	0.0	0.0	0.0	200	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
3005	1616	QUEST_FINISH(293,0)	GO	1	3005	5	65	2605001	7	0.0	0.0	0.0	200	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
3006	1616	QUEST_FINISH(360,0)	GO	1	3006	5	80	2605001	8	0.0	0.0	0.0	200	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
3007	1616	QUEST_FINISH(418,0)	GO	1	3007	5	85	2605001	9	0.0	0.0	0.0	200	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
3008	1616	QUEST_FINISH(870,0)	GO	1	3008	10	92	2605001	9	0.0	0.0	0.0	200	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
3009	1616	QUEST_FINISH(546,0)	GO	1	3009	10	92	2605001	9	0.0	0.0	0.0	200	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
3010	1616	QUEST_FINISH(600,0)	GO	1	3010	10	100	2605001	10	0.0	0.0	0.0	200	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
3011	1616	QUEST_FINISH(630,0)	GO	1	3011	5	110	2605001	11	0.0	0.0	0.0	200	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
3012	1616	QUEST_FINISH(689,0)	GO	1	3012	5	112	2605001	11	0.0	0.0	0.0	200	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
3013	1616	QUEST_FINISH(1016,0)	GO	1	3013	10	115	2605001	12	0.0	0.0	0.0	200	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
4001	1617	GETMONEY_ANYWAY	GO	1000000	4001	20	100	2605001	10	0.0	0.0	0.0	200	0	7	1.01.0000	1.00.0000	1.00.0000	1.00.0000
4004	1617	GETITEM_ANYWAY(2600095)	GO	100	4004	20	120	2605001	10	0.0	0.0	0.0	200	0	7	1.01.0000	1.07.0000	1.07.0000	1.07.0000
4100	1617	COLLECTION_OBJ_SUIT(0,1)	GO	9	4100	5	50	0	0	0.0	0.0	1000.0	200	0	7	1.05.0000	1.07.0000	1.07.0000	1.07.0000
4101	1617	COLLECTION_OBJ_SUIT(0,1)	GO	23	4101	10	50	0	0	0.0	0.0	5000.0	200	0	7	1.05.0000	1.07.0000	1.07.0000	1.07.0000
4102	1617	COLLECTION_OBJ_SUIT(0,1)	GO	42	4102	20	50	0	0	0.0	0.0	10000.0	200	0	7	1.05.0000	1.07.0000	1.07.0000	1.07.0000
4103	1617	COLLECTION_OBJ_SUIT(0,3)	GO	4	4103	5	50	2600002	40	0.0	0.0	0.0	200	0	7	1.05.0000	1.07.0000	1.07.0000	1.07.0000
4104	1617	COLLECTION_OBJ_SUIT(0,3)	GO	11	4104	10	50	2600002	110	0.0	0.0	0.0	200	0	7	1.05.0000	1.07.0000	1.07.0000	1.07.0000
4105	1617	COLLECTION_OBJ_SUIT(0,3)	GO	20	4105	20	50	2600002	200	0.0	0.0	0.0	200	0	7	1.05.0000	1.07.0000	1.07.0000	1.07.0000
4201	1617	WINE_MAKE(2405019,10)\nWINE_MAKE(2405020,11)\nWINE_MAKE(2405021,12)	GO\nGO\nGO	1\n1\n1	8401\n8402\n8403	0	61	0	0	1.5	0.0	0.0	0	4201	0	1.07.0000	1.07.0000	1.07.0000	1.07.0000
4202	1617	WINE_MAKE(2405022,13)\nWINE_MAKE(2405023,14)\nWINE_MAKE(2405024,15)	GO\nGO\nGO	1\n1\n1	8404\n8405\n8406	0	61	0	0	1.5	0.0	0.0	0	0	0	1.07.0000	1.07.0000	1.07.0000	1.07.0000
4203	1617	WINE_MAKE(2405025,16)\nWINE_MAKE(2405026,17)\nWINE_MAKE(2405027,18)	GO\nGO\nGO	1\n1\n1	8407\n8408\n8409	0	61	0	0	1.5	0.0	0.0	0	0	0	1.07.0000	1.07.0000	1.07.0000	1.07.0000
4204	1617	WINE_MAKE(2405037,19)\nWINE_MAKE(2405038,20)\nWINE_MAKE(2405039,21)	GO\nGO\nGO	2\n2\n2	8410\n8411\n8412	0	61	0	0	4.5	0.0	0.0	0	0	0	1.07.0000	1.07.0000	1.07.0000	1.07.0000
4205	1617	WINE_MAKE(2405040,22)\nWINE_MAKE(2405041,23)\nWINE_MAKE(2405042,24)	GO\nGO\nGO	2\n2\n2	8413\n8414\n8415	0	61	0	0	4.5	0.0	0.0	0	4205	0	1.07.0000	1.07.0000	1.07.0000	1.07.0000
