n_ID	s_NAME	s_COMMON	s_EQUIPED	s_USED
13	Granulated Sugar	หนึ่งในวัสดุหมักเหล้าพื้นฐาน\n(เมื่อทำการ [หมักเหล้า] ที่ [Guild Island] หรือ [ร้านเหล้า] สามารถอ่านวิธีการใช้ของวัสดุได้ในสูตร)		
14	Password list	รายชื่อรหัสที่ยังไม่ทราบแน่ชัดว่าสามารถนำมาใช้ประโยชน์ได้ ไม่แน่อาจได้ใช้ในยามจำเป็นก็ได้นะ?		สามารถนำ [Password list] [Incomplete letter] [No Detail Letter] หลอมเป็น [Complete Letter] ได้
15	Incomplete letter	ถึง......(ไม่สามารถอ่านเนื้อหาด้านในได้ อาจมีส่วนอื่นที่ต้องทำการประกอบ)		สามารถนำ [Password list] [Incomplete letter] [No Detail Letter] หลอมเป็น [Complete Letter] ได้
16	No Detail Letter	ที่......(ไม่สามารถอ่านเนื้อหาด้านในได้ อาจมีส่วนอื่นที่ต้องทำการประกอบ)		สามารถนำ [Password list] [Incomplete letter] [No Detail Letter] หลอมเป็น [Complete Letter] ได้
17	Complete Letter	เมื่อทำการปลดรหัสแล้วสามารถอ่านได้ มันเป็นของใครกันแน่นะ?		ลองเปิดดูสิ! 
18	Test Slime	ไม่สามารถเก็บได้ เป็นเพียงแค่ไอเทมจากการทดลองผิดพลาด แต่สามารถนำมาผสมได้!		สามารถเพิ่มอัตราการรวมสัตว์เลี้ยงได้! 
19	Test Slime X	ไม่สามารถเก็บได้ เป็นเพียงแค่ไอเทมจากการทดลองผิดพลาด แต่สามารถนำมาผสมได้!		สามารถเพิ่มอัตราการรวมสัตว์เลี้ยงได้! 
20	Test Slime A	ไม่สามารถเก็บได้ เป็นเพียงแค่ไอเทมจากการทดลองผิดพลาด แต่สามารถนำมาผสมได้!		สามารถเพิ่มอัตราการรวมสัตว์เลี้ยงได้! 
21	Test Slime B	ไม่สามารถเก็บได้ เป็นเพียงแค่ไอเทมจากการทดลองผิดพลาด แต่สามารถนำมาผสมได้!		สามารถเพิ่มอัตราการรวมสัตว์เลี้ยงได้! 
22	Kindly Pumpkin	ฟักทองที่ NPC บางท่านชื่นชอบ สะสมให้ครบ 25 อัน สามารถนำไปแลก Purple Pumpkin Surprise ได้ 1 อัน		
23	Color Feather	ขนนกที่ NPC บางท่านชื่นชอบ สะสมให้ครบ 25 อัน สามารถนำไปแลก [Christmas Box] ได้ 1 อัน		
24	Soft Snowflake	มีคนจำนวนมากอยากได้มัน!		
25	Element Pack (Earth) LV.1			เมื่อเปิดจะสุ่มจำนวนรับ Earth Element LV.1
26	Element Pack (Earth) LV.2			เมื่อเปิดจะสุ่มจำนวนรับ Earth Element LV.2
27	Element Pack (Earth) LV.3			เมื่อเปิดจะสุ่มจำนวนรับ Earth Element LV.3
28	Element Pack (Earth) LV.4			เมื่อเปิดจะสุ่มจำนวนรับ Earth Element LV.4
29	Element Pack (Earth) LV.5			เมื่อเปิดจะสุ่มจำนวนรับ Earth Element LV.5
30	Element Pack (Earth) Lv.6			เมื่อเปิดจะได้รับ Fire Element และมีโอกาสได้รับธาตุอื่นๆ
31	Element Pack (Earth) Lv.7			เมื่อเปิดจะได้รับ Water Element และมีโอกาสได้รับธาตุอื่นๆ
32	Element Pack (Earth) Lv.8			เมื่อเปิดจะสุ่มจำนวนรับ Earth Element 
33	Element Pack (Earth) Lv.9			เมื่อเปิดจะได้รับ Wind Element และมีโอกาสได้รับธาตุอื่นๆ
34	Element Pack (Earth) Lv.10			เมื่อเปิดจะได้รับ Fire Element และมีโอกาสได้รับธาตุอื่นๆ
35	No Use			เมื่อเปิดจะได้รับ Water Element และมีโอกาสได้รับธาตุอื่นๆ
36	No Use			เมื่อเปิดจะสุ่มจำนวนรับ Earth Element 
37	No Use			เมื่อเปิดจะได้รับ Wind Element และมีโอกาสได้รับธาตุอื่นๆ
38	No Use			เมื่อเปิดจะได้รับ Fire Element และมีโอกาสได้รับธาตุอื่นๆ
39	No Use			เมื่อเปิดจะได้รับ Water Element และมีโอกาสได้รับธาตุอื่นๆ
40	No Use			เมื่อเปิดจะสุ่มจำนวนรับ Earth Element 
41	Red Gem	ไอเทมที่ต้องการในการเสริมพลัง Sword Soul, ลบค่าถดถอย Sword Soul 		
42	Blue Gem	ไอเทมที่ต้องการในการตีบวกเครื่องป้องกัน		
43	Green Gem	ไอเทมที่ต้องการในการตีบวกเครื่องประดับ		
44	Reward Red Gem	ไอเทมที่ต้องการในการเสริมพลัง Sword Soul, ลบค่าถดถอย Sword Soul 		
45	Reward Blue Gem	ไอเทมที่ต้องการในการตีบวกเครื่องป้องกัน		
46	Reward Green Gem	ไอเทมที่ต้องการในการตีบวกเครื่องประดับ		
47	Advanced Gem Pack			เมื่อเปิดจะได้รับหินตีบวกจำนวนหนึ่ง
48	Special Gem Pack			เมื่อเปิดจะได้รับหินตีบวกจำนวนหนึ่ง
49	Reward Gem Pack			เมื่อเปิดจะได้รับหินตีบวก 2 อัน (สุ่มรับRed Gem, Blue Gem, Green Gem)
51	Ship Colourant No.1	ทำการเปลี่ยนสีเรือได้กับ [Jensen] ที่อยู่ใน [Port Royal] ขอบเขตที่ย้อมสีได้มี 30 ถึง 180		
52	Ship Colourant No.2	ทำการเปลี่ยนสีเรือได้กับ [Jensen] ที่อยู่ใน [Port Royal] ขอบเขตที่ย้อมสีได้มี 70 ถึง 220		
53	Ship Colourant No.3	ทำการเปลี่ยนสีเรือได้กับ [Jensen] ที่อยู่ใน [Port Royal] ขอบเขตที่ย้อมสีได้มี 50 ถึง 200		
54	Ship Colourant No.4	ทำการเปลี่ยนสีเรือได้กับ [Jensen] ที่อยู่ใน [Port Royal] ขอบเขตที่ย้อมสีได้มี 20 ถึง 210		
55	Ship Colourant No.5	ทำการเปลี่ยนสีเรือได้กับ [Jensen] ที่อยู่ใน [Port Royal] ขอบเขตที่ย้อมสีได้มี 30 ถึง 230		
57	Color Paint No.1	ทำการเปลี่ยนสีชุดสวมใส่ได้กับ [Adam] ที่อยู่ใน [Port Royal]ขอบเขตที่ย้อมสีได้มี 50 ถึง 150		
58	Color Paint No.2	ทำการเปลี่ยนสีชุดสวมใส่ได้กับ [Adam] ที่อยู่ใน [Port Royal]ขอบเขตที่ย้อมสีได้มี 100 ถึง 200		
59	Color Paint No.3	ทำการเปลี่ยนสีชุดสวมใส่ได้กับ [Adam] ที่อยู่ใน [Port Royal]ขอบเขตที่ย้อมสีได้มี 50 ถึง 200		
60	Color Paint No.4	ทำการเปลี่ยนสีชุดสวมใส่ได้กับ [Adam] ที่อยู่ใน [Port Royal]ขอบเขตที่ย้อมสีได้มี 20 ถึง 230		
61	Black Color Paint	ทำการเปลี่ยนสีชุดสวมใส่ให้เป็นสีดำได้กับ [Adam] ที่อยู่ใน [Port Royal] ขอบเขตที่ย้อมสีได้มี 25 ถึง 35		
62	Color Paint No.4	ขอบเขตการย้อมอยู่ที่ 20-230 เมื่อได้รับไอเทมนี้แล้ว สามารถไปหา 【Adam】 ที่ 【Port Royal】 เพื่อย้อมสีใหม่		
64	Micro Vintage Material Pack(Water)			เมื่อเปิดจะได้รับ Water และมีโอกาศได้รับ Brewing Material อื่นๆ
65	Micro Vintage Material Pack(Granulated Sugar)			เมื่อเปิดจะได้รับ Granulated Sugar และมีโอกาศได้รับ Brewing Material อื่นๆ
66	Micro Vintage Material Pack(Fine Sugar)			เมื่อเปิดจะได้รับ Fine Sugar และมีโอกาศได้รับ Brewing Material อื่นๆ
67	Light Vintage Material Pack(Water)			เมื่อเปิดจะได้รับWater และมีโอกาศได้รับ Brewing Material อื่นๆ
68	Light Vintage Material Pack(Granulated Sugar)			เมื่อเปิดจะได้รับ Granulated Sugar และมีโอกาศได้รับBrewing Material อื่นๆ
69	Light Vintage Material Pack(Fine Sugar)			เมื่อเปิดจะได้รับ Fine Sugar และมีโอกาศได้รับ Brewing Material อื่นๆ
70	Medium Vintage Material Pack(Water)			เมื่อเปิดจะได้รับWater และมีโอกาศได้รับ Brewing Material อื่นๆ
71	Medium Vintage Material Pack(Granulated Sugar)			เมื่อเปิดจะได้รับ Granulated Sugar และมีโอกาศได้รับ Brewing Material อื่นๆ
72	Medium Vintage Material Pack(Fine Sugar)			เมื่อเปิดจะได้รับ Fine Sugar และมีโอกาศได้รับ Brewing Material อื่นๆ
73	Extra Vintage Material Pack(Water)			เมื่อเปิดจะได้รับ Water และมีโอกาศได้รับ Brewing Material อื่นๆ
74	Extra Vintage Material Pack(Granulated Sugar)			เมื่อเปิดจะได้รับ Granulated Sugar และมีโอกาศได้รับ Brewing Material อื่นๆ
75	Extra Vintage Material Pack(Fine Sugar)			เมื่อเปิดจะได้รับ Fine Sugar และมีโอกาศได้รับ Brewing Material อื่นๆ
76	Thick Vintage Material Pack(Water)			เมื่อเปิดจะได้รับWater และมีโอกาศได้รับ Brewing Material อื่นๆ
77	Thick Vintage Material Pack(Granulated Sugar)			เมื่อเปิดจะได้รับ Granulated Sugar และมีโอกาศได้รับ Brewing Material อื่นๆ
78	Thick Vintage Material Pack(Fine Sugar)			เมื่อเปิดจะได้รับ Fine Sugar และมีโอกาศได้รับ Brewing Material อื่นๆ
79	Overload Vintage Material Pack(Water)			เมื่อเปิดจะได้รับWater และมีโอกาศได้รับ Brewing Material อื่นๆ
80	Overload Vintage Material Pack(Granulated Sugar)			เมื่อเปิดจะได้รับ Granulated Sugar และมีโอกาศได้รับ Brewing Material อื่นๆ
81	Incredible Key	กุญแจที่มีพลังแฝงอยู่ สามารถนำมาเปิดกล่องสมบัติเทพได้! (เกาะที่พบจากการสอดส่อง บางทีอาจมีกล่องสมบัติเทพอยู่ก็ได้)		หมายเหตุ!! เมื่อพลังงานหมดกุญแจจะหายไป! 
82	Jumbo Vintage Material Pack(Water)			เมื่อเปิดจะได้รับ Water และมีโอกาศได้รับ Brewing Material อื่นๆ
83	Jumbo Vintage Material Pack(Granulated Sugar)			เมื่อเปิดจะได้รับ Granulated Sugar และมีโอกาศได้รับ Brewing Material อื่นๆ
84	Jumbo Vintage Material Pack(Fine Sugar)			เมื่อเปิดจะได้รับ Fine Sugar และมีโอกาศได้รับ Brewing Material อื่นๆ
85	Advanced Vintage Material Pack(Water)			เมื่อเปิดจะได้รับ Water และมีโอกาศได้รับ Brewing Material อื่นๆ
86	Advanced Vintage Material Pack(Granulated Sugar)			เมื่อเปิดจะได้รับ Granulated Sugar และมีโอกาศได้รับ Brewing Material อื่นๆ
87	Advanced Vintage Material Pack(Fine Sugar)			เมื่อเปิดจะได้รับ Fine Sugar และมีโอกาศได้รับ Brewing Material อื่นๆ
88	Special Vintage Material Pack(Water)			เมื่อเปิดจะได้รับ Water และมีโอกาศได้รับ Brewing Material อื่นๆ
89	Special Vintage Material Pack(Granulated Sugar)			เมื่อเปิดจะได้รับ Granulated Sugar และมีโอกาศได้รับ Brewing Material อื่นๆ
90	Special Vintage Material Pack(Fine Sugar)			เมื่อเปิดจะได้รับ Fine Sugar และมีโอกาศได้รับ Brewing Material อื่นๆ
91	Damage Piece	ของสิ่งนี้เก่ามากแล้ว แต่ดูแล้วของสิ่งนี้น่าจะเป็นชิ้นส่วน Field Guide ที่ [Da Vinci] เคยพูดถึง นำกลับไปที่ [Port Royal] ให้ [Chalais] ผู้ช่วยของเขาดูให้สิ		
92	Broken Piece	ของสิ่งนี้เก่ามากแล้ว แต่ดูแล้วของสิ่งนี้น่าจะเป็นชิ้นส่วน Field Guide ที่ [Da Vinci] เคยพูดถึง นำกลับไปที่ [Port Royal] ให้ [Chalais] ผู้ช่วยของเขาดูให้สิ		
93	Illegible Piece	ของสิ่งนี้เก่ามากแล้ว แต่ดูแล้วของสิ่งนี้น่าจะเป็นชิ้นส่วน Field Guide ที่ [Da Vinci] เคยพูดถึง นำกลับไปที่ [Port Royal] ให้ [Chalais] ผู้ช่วยของเขาดูให้สิ		
94	Smudge Piece	ของสิ่งนี้เก่ามากแล้ว แต่ดูแล้วของสิ่งนี้น่าจะเป็นชิ้นส่วน Field Guide ที่ [Da Vinci] เคยพูดถึง นำกลับไปที่ [Port Royal] ให้ [Chalais] ผู้ช่วยของเขาดูให้สิ		
95	World Essence	ธาตุที่แยกมาจากเครื่องสวมใส่ สามารถนำไปแลกไอเทมได้		
96	Ship Soul White Jade	Soul Jade ลูกเรือระดับต้น ไอเทมที่ต้องการในการอัพเกรดสีขาวให้เป็นสีเขียว		หากมี [Ship Soul White Jade] 3 อัน สามารถรวม [Ship Soul Green Jade] ได้ 1 อัน
97	Ship Soul Green Jade	Soul Jade ลูกเรือระดับกลาง ไอเทมที่ต้องการในการอัพเกรดสีเขียวให้เป็นสีฟ้า		หากมี [Ship Soul Green Jade] 3 อัน สามารถรวม [Ship Soul Blue Jade] ได้ 1 อัน
98	Ship Soul Blue Jade	Soul Jade ลูกเรือระดับสูง ไอเทมที่ต้องการในการอัพเกรดสีฟ้าให้เป็นสีม่วง		
99	Pivot Station	ไอเทมที่ต้องการในการเปิดดันเจี้ยน 2 ดาว มันถูกฝังไว้ที่ [Nora Jana] !\n(สมาชิกในทีมจะต้องทำ Field Guide ของดันเจี้ยนให้สำเร็จจึงจะเปิดด่านได้)		
101	Small Fruit	หนึ่งในวัตถุดิบที่ใช้หมัก Fruit Wine\n(เมื่อทำการ [หมักเหล้า] ที่ [Guild Island] หรือ [ร้านเหล้า] สามารถอ่านวิธีการใช้ของวัสดุได้ในสูตร)		
102	Wild Fruit 	หนึ่งในวัตถุดิบที่ใช้หมัก Fruit Wine\n(เมื่อทำการ [หมักเหล้า] ที่ [Guild Island] หรือ [ร้านเหล้า] สามารถอ่านวิธีการใช้ของวัสดุได้ในสูตร)		
103	Empty Fruit	หนึ่งในวัตถุดิบที่ใช้หมัก Fruit Wine\n(เมื่อทำการ [หมักเหล้า] ที่ [Guild Island] หรือ [ร้านเหล้า] สามารถอ่านวิธีการใช้ของวัสดุได้ในสูตร)		
104	Mountain Fruit	หนึ่งในวัตถุดิบที่ใช้หมัก Fruit Wine\n(เมื่อทำการ [หมักเหล้า] ที่ [Guild Island] หรือ [ร้านเหล้า] สามารถอ่านวิธีการใช้ของวัสดุได้ในสูตร)		
105	Narcissus Fruit	หนึ่งในวัตถุดิบที่ใช้หมัก Fruit Wine\n(เมื่อทำการ [หมักเหล้า] ที่ [Guild Island] หรือ [ร้านเหล้า] สามารถอ่านวิธีการใช้ของวัสดุได้ในสูตร)		
151	Red Herb	หนึ่งในวัตถุดิบที่ใช้หมัก Special Wine\n(เมื่อทำการ [หมักเหล้า] ที่ [Guild Island] หรือ [ร้านเหล้า] สามารถอ่านวิธีการใช้ของวัสดุได้ในสูตร)		
152	Green Herb	หนึ่งในวัตถุดิบที่ใช้หมัก Special Wine\n(เมื่อทำการ [หมักเหล้า] ที่ [Guild Island] หรือ [ร้านเหล้า] สามารถอ่านวิธีการใช้ของวัสดุได้ในสูตร)		
153	Brown Herb	หนึ่งในวัตถุดิบที่ใช้หมัก Special Wine\n(เมื่อทำการ [หมักเหล้า] ที่ [Guild Island] หรือ [ร้านเหล้า] สามารถอ่านวิธีการใช้ของวัสดุได้ในสูตร)		
154	Light Herb	หนึ่งในวัตถุดิบที่ใช้หมัก Special Wine\n(เมื่อทำการ [หมักเหล้า] ที่ [Guild Island] หรือ [ร้านเหล้า] สามารถอ่านวิธีการใช้ของวัสดุได้ในสูตร)		
155	Shine Herb	หนึ่งในวัตถุดิบที่ใช้หมัก Special Wine\n(เมื่อทำการ [หมักเหล้า] ที่ [Guild Island] หรือ [ร้านเหล้า] สามารถอ่านวิธีการใช้ของวัสดุได้ในสูตร)		
156	Heavy Herb	หนึ่งในวัตถุดิบที่ใช้หมัก Special Wine\n(เมื่อทำการ [หมักเหล้า] ที่ [Guild Island] หรือ [ร้านเหล้า] สามารถอ่านวิธีการใช้ของวัสดุได้ในสูตร)		
191	Forest Spring	วัสดุหมักเหล้าที่หาซื้อได้ในร้านขายของชำ\n(การ [หมักเหล้า] สามารถอ่านวิธีการใช้ของวัสดุได้ในสูตร)		
192	Mountain Spring	วัสดุหมักเหล้าที่หาซื้อได้ในร้านขายของชำ\n(การ [หมักเหล้า] สามารถอ่านวิธีการใช้ของวัสดุได้ในสูตร)		
193	Special Sugar	วัสดุหมักเหล้าที่หาซื้อได้ในร้านขายของชำ\n(การ [หมักเหล้า] สามารถอ่านวิธีการใช้ของวัสดุได้ในสูตร)		
194	Purify Sugar	วัสดุหมักเหล้าที่หาซื้อได้ในร้านขายของชำ\n(การ [หมักเหล้า] สามารถอ่านวิธีการใช้ของวัสดุได้ในสูตร)		
195	Turmeric Sugar	วัสดุหมักเหล้าที่หาซื้อได้ในร้านขายของชำ\n(การ [หมักเหล้า] สามารถอ่านวิธีการใช้ของวัสดุได้ในสูตร)		
196	Fruit Sugar	วัสดุหมักเหล้าที่หาซื้อได้ในร้านขายของชำ\n(การ [หมักเหล้า] สามารถอ่านวิธีการใช้ของวัสดุได้ในสูตร)		
201	Deeply Wind Root	หนึ่งในวัสดุหมักเหล้าพิเศษ\n(เมื่อทำการ [หมักเหล้า] ที่ [Guild Island] หรือ [ร้านเหล้า] สามารถอ่านวิธีการใช้ของวัสดุได้ในสูตร)		
202	Yellow Short Root	หนึ่งในวัสดุหมักเหล้าพิเศษ\n(เมื่อทำการ [หมักเหล้า] ที่ [Guild Island] หรือ [ร้านเหล้า] สามารถอ่านวิธีการใช้ของวัสดุได้ในสูตร)		
203	Wood Thick Root	หนึ่งในวัสดุหมักเหล้าพิเศษ\n(เมื่อทำการ [หมักเหล้า] ที่ [Guild Island] หรือ [ร้านเหล้า] สามารถอ่านวิธีการใช้ของวัสดุได้ในสูตร)		
204	Red Soft Root	หนึ่งในวัสดุหมักเหล้าพิเศษ\n(เมื่อทำการ [หมักเหล้า] ที่ [Guild Island] หรือ [ร้านเหล้า] สามารถอ่านวิธีการใช้ของวัสดุได้ในสูตร)		
205	Fungus Roll Root	หนึ่งในวัสดุหมักเหล้าพิเศษ\n(เมื่อทำการ [หมักเหล้า] ที่ [Guild Island] หรือ [ร้านเหล้า] สามารถอ่านวิธีการใช้ของวัสดุได้ในสูตร)		
206	Lake Soft Root	หนึ่งในวัสดุหมักเหล้าพิเศษ\n(เมื่อทำการ [หมักเหล้า] ที่ [Guild Island] หรือ [ร้านเหล้า] สามารถอ่านวิธีการใช้ของวัสดุได้ในสูตร)		
251	Refreshing Crystal	วัสดุหมักเหล้าหายาก สามารถนำธาตุที่ได้จากการแยกมาแลกเปลี่ยนกับพ่อค้าแลกเปลี่ยนได้!		
252	Snow Short Wing	วัสดุหมักเหล้าหายาก สามารถนำธาตุที่ได้จากการแยกมาแลกเปลี่ยนกับพ่อค้าแลกเปลี่ยนได้!		
253	Deep sea Scale	วัสดุหมักเหล้าหายาก สามารถนำธาตุที่ได้จากการแยกมาแลกเปลี่ยนกับพ่อค้าแลกเปลี่ยนได้!		
254	Energy Fire	วัสดุหมักเหล้าหายาก สามารถนำธาตุที่ได้จากการแยกมาแลกเปลี่ยนกับพ่อค้าแลกเปลี่ยนได้!		
255	Flame Horn	วัสดุหมักเหล้าหายาก สามารถนำธาตุที่ได้จากการแยกมาแลกเปลี่ยนกับพ่อค้าแลกเปลี่ยนได้!		
256	Guard Cover	วัสดุหมักเหล้าหายาก สามารถนำธาตุที่ได้จากการแยกมาแลกเปลี่ยนกับพ่อค้าแลกเปลี่ยนได้!		
261	Blue Sea Fragment	ชิ้นส่วนที่มีแสงสีฟ้า เก็บสะสมเพื่อนำไปแลกไอเทม		
262	Purple Fragment	ชิ้นส่วนที่มีแสงสีม่วง เก็บสะสมเพื่อนำไปแลกไอเทม		
281	Al Timo Core	ได้รับจากภารกิจประจำวันทุกวัน\n(นำไอเทมนี้ให้หัวหน้ากิลด์ เมื่อสะสมได้จำนวนหนึ่ง จึงจะสามารถเรียกปีศาจบาปกำเนิดที่ Guild Island ได้)		
282	Beirut Gauntlets	ได้รับจากภารกิจประจำวันทุกวัน\n(นำไอเทมนี้ให้หัวหน้ากิลด์ เมื่อสะสมได้จำนวนหนึ่ง จึงจะสามารถเรียกปีศาจบาปกำเนิดที่ Guild Island ได้)		
283	Cruise Sword	ได้รับจากภารกิจประจำวันทุกวัน\n(นำไอเทมนี้ให้หัวหน้ากิลด์ เมื่อสะสมได้จำนวนหนึ่ง จึงจะสามารถเรียกปีศาจบาปกำเนิดที่ Guild Island ได้)		
284	Medea Wristband	ได้รับจากภารกิจประจำวันทุกวัน\n(นำไอเทมนี้ให้หัวหน้ากิลด์ เมื่อสะสมได้จำนวนหนึ่ง จึงจะสามารถเรียกปีศาจบาปกำเนิดที่ Guild Island ได้)		
285	Armoured Car Piece	ได้รับจากภารกิจประจำวันทุกวัน\n(นำไอเทมนี้ให้หัวหน้ากิลด์ เมื่อสะสมได้จำนวนหนึ่ง จึงจะสามารถเรียกปีศาจบาปกำเนิดที่ Guild Island ได้)		
286	Dante Helmet	ได้รับจากภารกิจประจำวันทุกวัน\n(นำไอเทมนี้ให้หัวหน้ากิลด์ เมื่อสะสมได้จำนวนหนึ่ง จึงจะสามารถเรียกปีศาจบาปกำเนิดที่ Guild Island ได้)		
287	 Nora Jana Gear	ได้รับจากภารกิจประจำวันทุกวัน\n(นำไอเทมนี้ให้หัวหน้ากิลด์ เมื่อสะสมได้จำนวนหนึ่ง จึงจะสามารถเรียกปีศาจบาปกำเนิดที่ Guild Island ได้)		
291	Guild Energy Lv.3	กำจัดปีศาจบาปกำเนิดจะดรอปพลังงาน\nกรุณานำไอเทมนี้ให้เลขา Karen สามารถเพิ่ม EXP กิลด์ได้！		
292	Guild Energy Lv.4	กำจัดปีศาจบาปกำเนิดจะดรอปพลังงาน\nกรุณานำไอเทมนี้ให้เลขา Karen สามารถเพิ่ม EXP กิลด์ได้！		
293	Guild Energy Lv.5	กำจัดปีศาจบาปกำเนิดจะดรอปพลังงาน\nกรุณานำไอเทมนี้ให้เลขา Karen สามารถเพิ่ม EXP กิลด์ได้！		
294	Guild Energy Lv.6	กำจัดปีศาจบาปกำเนิดจะดรอปพลังงาน\nกรุณานำไอเทมนี้ให้เลขา Karen สามารถเพิ่ม EXP กิลด์ได้！		
295	Guild Energy Lv.7	กำจัดปีศาจบาปกำเนิดจะดรอปพลังงาน\nกรุณานำไอเทมนี้ให้เลขา Karen สามารถเพิ่ม EXP กิลด์ได้！		
296	Guild Energy Lv.8	กำจัดปีศาจบาปกำเนิดจะดรอปพลังงาน\nกรุณานำไอเทมนี้ให้เลขา Karen สามารถเพิ่ม EXP กิลด์ได้！		
297	Guild Energy Lv.9	กำจัดปีศาจบาปกำเนิดจะดรอปพลังงาน\nกรุณานำไอเทมนี้ให้เลขา Karen สามารถเพิ่ม EXP กิลด์ได้！		
301	Red Flower	ดอกไม้ที่ขึ้นตามธรรมชาติ มันสวยงามและยังสามารถนำมาทำเป็นยาได้อีกด้วย\n(เมื่อสะสมได้จำนวนหนึ่งสามารถนำไปแลกรบัรางวัลจาก NPC ได้)		
302	None Herb	พืชที่ขึ้นตามธรรมชาติ มันสวยงามและยังสามารถนำมาทำเป็นยาได้อีกด้วย\n(เมื่อสะสมได้จำนวนหนึ่งสามารถนำไปแลกรบัรางวัลจาก NPC ได้)		
303	Yellow Flower	ดอกไม้ที่ขึ้นตามธรรมชาติ มันสวยงามและยังสามารถนำมาทำเป็นยาได้อีกด้วย\n(เมื่อสะสมได้จำนวนหนึ่งสามารถนำไปแลกรบัรางวัลจาก NPC ได้)		
304	Drop Herb	พืชที่ขึ้นตามธรรมชาติ มันสวยงามและยังสามารถนำมาทำเป็นยาได้อีกด้วย\n(เมื่อสะสมได้จำนวนหนึ่งสามารถนำไปแลกรบัรางวัลจาก NPC ได้)		
305	Pesto Flower	ดอกไม้ที่ขึ้นตามธรรมชาติ มันสวยงามและยังสามารถนำมาทำเป็นยาได้อีกด้วย\n(เมื่อสะสมได้จำนวนหนึ่งสามารถนำไปแลกรบัรางวัลจาก NPC ได้)		
321	Ingenuity White Chain	ไอเทมที่ต้องการในการโอนค่าตีบวกเครื่องสวมใส่เลเวล 1~50 (สามารถหาได้จาก Element Exchange)		
322	Ingenuity Green Chain	ไอเทมที่ต้องการในการโอนค่าตีบวกเครื่องสวมใส่เลเวล 51~80 (สามารถหาได้จาก Element Exchange)		
323	Ingenuity Blue Chain	ไอเทมที่ต้องการในการโอนค่าตีบวกเครื่องสวมใส่เลเวล 81~100 (สามารถหาได้จาก Element Exchange)		
324	Ingenuity Purple Chain	ไอเทมที่ต้องการในการโอนค่าตีบวกเครื่องสวมใส่เลเวล 101~130 (สามารถหาได้จาก Element Exchange)		
341	Nautical Locator	ตัวช่วยเมื่อเดือดร้อน สามารถวาร์ปไปที่ที่ปลอดภัยได้		คลิกขวาเพื่อใช้ สามารถย้ายผู้เล่นไปยังทางเข้าฉากได้!
342	Reborn Locator	เครื่องมือที่ต้องเตรียมในการผจญภัย เมื่อใช้สามารถวาร์ปไปยังจุดเกิดได้		คลิกขวาเพื่อใช้ สามารถย้ายผู้เล่นไปยังจุดเกิดได้!
343	 Guild Island  Locator	มีสิทธิ์ใน Guild Island  เมื่อสามารถวาร์ปไปยัง Guild Island ทันที (คนที่ไม่มี Guild Island ไม่สามารถใช้ได้!)		คลิกขวาเพื่อใช้ สามารถย้ายผู้เล่นไปยัง Guild Island ได้!
