n_ID	s_MESSAGE
69	ไอดีไอเทมที่ต้องใช้ในการใช้สกิลไม่ถูกต้อง!
70	จำนวนไอเทมที่ต้องใช้ในการใช้สกิลไม่เพียงพอ!
71	จำนวนกระสุ่นที่ต้องใช้ในการใช้สกิลไม่เพียงพอ!
72	ห้ามใช้สกิล!
73	เป้าหมายมีการป้องกันสกิล จึงไม่สามารถใช้สกิลได้!
74	กำลังใช้ไอเทมบางอย่างอยู่!
75	ไอเทมนี้ไม่สามารถใช้ได้!
76	ราศีในการใช้ไอเทมไม่ถูกต้อง!
77	กรุ๊ปเลือดในการใช้ไอเทมไม่ถูกต้อง!
78	เพศในการใช้ไอเทมไม่ถูกต้อง!
79	สเตตัสในการใช้ไอเทมไม่ถูกต้อง!
80	รูปแบบในการใช้ไอเทมไม่ถูกต้อง!
81	รูปแบบการเปิดใช้สกิลไม่ถูกต้อง ( <1 or >4 )!
82	ข้อผิดพลาดที่ไม่รู้จัก!
83	โจมตีในเวลานี้ไม่มีผล!
84	กำลังอยู่ในสถานะเกิด!
85	กำลังทำการแลกเปลี่ยน!
86	กำลังซื้อสัตว์คืน!
87	มีการใช้ซ้อนในค่าสูงสุดอยู่แล้ว!
88	ชุดราศีจะต้องอยู่ในสถานะสวมใส่จึงจะใช้ได้!
89	ไม่สามารถแสดงผลได้ที่นี่
90	อยู่ในการอธิษฐานไม่สามารถดำเนินการได้!
91	ช่องว่างในการใช้ซ้อนไม่เพียงพอ ไม่สามารถใช้ซ้อนได้อีก!
92	เมื่อใช้การฟื้นคืนชีพ จะอยู่ในสถานะไร้ศัตรู 10 วินาที ในเวลานี้จะไม่ได้รับสถานะใด ไม่ว่าจะเป็นสถานะด้านลบหรือด้านบวก!
93	สกิลที่ต้องการไม่ถูกต้อง!
94	เงื่อนไขในการใช้ไม่ถูกต้อง!
