n_ID	s_NAME	s_COMMON	s_EQUIPED	s_USED
16	Holy Sword Soul	มีพลังงานลึกลับแฝงอยู่ Sword Soul ที่ทำการตีบวกแล้ว สามารถทำให้อาวุธเพิ่มประสิทธิภาพได้ ค่าตีบวกเริ่มต้น：25\nเมื่อตีบวก Sword Soul ถึงเลเวล 16 แล้ว เมื่อใช้สกิลจะมีโอกาสได้รับค่าถดถอย 1 แต้ม เมื่อค่าถดถอยถึง 100 แต้ม Sword Soul จะถูกลดเลเวลลงมา 1 เลเวล สามารถใช้ [Energy Crystal] มาฟื้นฟูค่าถดถอยได้	ค่าตีบวกของ Sword Soul ที่สวมใส่อยู่จะมีผลต่อ เลเวลตีบวกของอาวุธ! (เลเวลตีบวกไม่สามารถเยอะกว่าค่าจำกัดของการตีบวกได้)\nค่าตีบวกของ Sword Soul ไม่สามารถโอนย้ายได้	
20	Willeson	อาวุธดีเยี่ยม ทุกคนบนเกาะกลัวมัน มันสามารถกำจัดมอนสเตอร์ได้อย่างเฉียบขาด!		
201	Dagger	อาวุธที่ลักษณะเหมาะมือ เดินทางไกลจำเป็นต้องพกไว้		
202	Sharp Dagger	เป็นไม้คุนภาพดีจากการหล่อ สามารถนำมาทำเป็นมีดคุณภาพสูงได้		
203	Colorful Wing	นกที่ป้องกันป่าเขาลำเนาไพร ใช้เสียงเรียกความอุดมสมบูรณ์กลับคือสู่ป่า		
204	Red Feather Hook	ความเย่อหยิ่งของราชาแห่งท้องฟ้า		
205	Blood Sickle	เสียงของความตายเริ่มใกล้เข้ามาแล้ว		
206	Low Dagger	อาวุธที่ลักษณะเหมาะมือ เดินทางไกลจำเป็นต้องพกไว้		
207	War Dagger Lv.5	อาวุธที่ลักษณะเหมาะมือ เดินทางไกลจำเป็นต้องพกไว้		
208	Fire Of Sharp	ดาบที่หลอมด้วยไฟที่เดือดดาล พิชิตสัตว์ร้าย แม้แต่ผู้พิชิตยังต้องระวังในความสวยงามของมัน		
209	Sharp Dagger	เป็นไม้คุนภาพดีจากการหล่อ สามารถนำมาทำเป็นมีดคุณภาพสูงได้		
210	1War Dagger Lv.5	อาวุธที่ลักษณะเหมาะมือ เดินทางไกลจำเป็นต้องพกไว้		
211	2War Dagger Lv.5	อาวุธที่ลักษณะเหมาะมือ เดินทางไกลจำเป็นต้องพกไว้		
212	War Sharp Dagger Lv.35	เป็นไม้คุนภาพดีจากการหล่อ สามารถนำมาทำเป็นมีดคุณภาพสูงได้		
213	Kingfisher Hook	นักผจญภัยแห่งท้องฟ้าผู้ไม่เคยพ่ายแพ้ใคร แม้แต่ลมพายุก็ไม่เคยเกรงกลัว		
214	Iron Fine sword			
215	Pirate Sword			
216	Colorful Wing	ได้จากนกที่ป้องกันป่าเขาลำเนาไพร		
217	Colorful Wing	ได้จากนกที่ป้องกันป่าเขาลำเนาไพร		
218	Colorful Wing	ได้จากนกที่ป้องกันป่าเขาลำเนาไพร		
219	Colorful Wing	ได้จากนกที่ป้องกันป่าเขาลำเนาไพร		
220	Colorful Wing	ได้จากนกที่ป้องกันป่าเขาลำเนาไพร		
221	War Sharp Dagger Lv.40	เป็นไม้คุนภาพดีจากการหล่อ สามารถนำมาทำเป็นมีดคุณภาพสูงได้		
222	Soldier Sword	ดาบที่ต้องพกติดตัวตลอดของทหารปลดเกษียน แต่มันก็เก่ามากแล้ว เอามาตัดฟืนจะดีกว่า		
223	Uranium Sword	ดาบหล่อทองพิเศษ เต็มไปด้วยความน่าเกรงขาม สีของมันอาจทำให้คนตกใจได้		
224	Strong Iron sword	เหมาะกับการโจมตีไว มีน้ำหนักเบา สามารถตีรำฟันแทงไปได้ทุกทิศ		
225	Ghost Magic Blade	ดาบวิญญาณได้มาจากการหล่อจากไฟนรก	สามารถทดลองสกิลในอนาคตได้!	
401	Guard Hammer	อาวุธที่ลักษณะเหมาะมือ เดินทางไกลจำเป็นต้องพกไว้		
402	Red Hammer	หล่อมาจากทองสีแดง หากใช้เป็น แม้แต่ก้อนหินยังสามารถฟันให้แตกได้		
403	Serenity Horn	โลกอันมืดมิด เป็นเสียงที่ห้ามมีอยู่ในโลกนี้ หากใครใช้มันถือว่ามีความผิด		
404	Lion Guard	ศักดิ์ศรีของสิงโต แสดงให้เห็นถึงความน่าเกรงขาม		
405	Red Disaster	เมื่อความน่ากลัวก่อเกิดขึ้น ความตายเป็นย่อมมาเยือน		
406	Low Guard Hammer	อาวุธที่ลักษณะเหมาะมือ เดินทางไกลจำเป็นต้องพกไว้		
407	War Guard Hammer Lv.5	อาวุธที่ลักษณะเหมาะมือ เดินทางไกลจำเป็นต้องพกไว้		
408	Blue Star Angel	ได้ยินมาว่าเป็นค้อนที่ Blue Star Angel มีไว้ในครอบครอง เมื่อใช้ค้อนนี้กำจัดเหล่าปีศาจร้าย จะถูกส่งไปยังสถานที่ที่สุขสม		
409	Red Hammer	หล่อมาจากทองสีแดง หากใช้เป็นแม้แต่ก้อนหินยังสามารถทุบให้แตกได้		
410	1 War Guard Hammer Lv.5	อาวุธที่ลักษณะเหมาะมือ เดินทางไกลจำเป็นต้องพกไว้		
411	2 War Guard Hammer Lv.5	อาวุธที่ลักษณะเหมาะมือ เดินทางไกลจำเป็นต้องพกไว้		
412	3 War Red Hammer Lv.5	หล่อมาจากทองสีแดง หากใช้เป็นแม้แต่ก้อนหินยังสามารถทุบให้แตกได้		
413	Lion Guard 	สิงโตที่ดุร้าย ทางที่ดีเมื่อเดินผ่านมันต้องทำเงียบให้เงียบกริบ		
414	Chinese Seal Hammer			
415	War Strength Hammer			
416	Serenity Horn	โลกอันมืดมิด เป็นเสียงที่ห้ามมีอยู่ในโลกนี้		
417	Serenity Horn	โลกอันมืดมิด เป็นเสียงที่ห้ามมีอยู่ในโลกนี้		
418	Serenity Horn	โลกอันมืดมิด เป็นเสียงที่ห้ามมีอยู่ในโลกนี้		
419	Serenity Horn	โลกอันมืดมิด เป็นเสียงที่ห้ามมีอยู่ในโลกนี้		
420	Serenity Horn	โลกอันมืดมิด เป็นเสียงที่ห้ามมีอยู่ในโลกนี้		
421	War Red Hammer Lv.40	หล่อมาจากทองสีแดง หากใช้เป็นแม้แต่ก้อนหินยังสามารถทุบให้แตกได้		
422	Obtuse Hammer	เพื่อความอยู่รอด อัศวินจึงใช้ค้อนนี้ แต่ว่าอย่าดูถูกความน่าเกรงขามของมันล่ะ		
423	Red leaves Hammer	สีแดงแวววาวของค้อน ทำให้ผู้คนจับจ้องมัน		
424	Flint Hammer	เป็นค้อนที่ทำมาจากอุกาบาต มีน้ำหนักมาก จะต้องเป็นคนที่มีกำลังแขนเยอะเท่านั้นจึงจะยกขึ้นได้		
425	Broken Star	ค้อนในตำนาน	สามารถทดลองสกิลในอนาคตได้!	
601	Shield	โล่ที่ลักษณะเหมาะมือ เดินทางไกลจำเป็นต้องพกไว้		
602	Shield	ให้ทองพิเศษในการหล่อ สามารถป้องกันการโจมตีจากการถูกโจมตีได้		
603	Moonlight	ไม่ว่าจะอยู่ในเหตุการณ์ใด มันก็จะปกป้องท่าน		
604	Lion Guard	ศักดิ์ศรีของราชสีห์ แสดงให้เห็นถึงความน่าเกรงขาม		
605	Red Guard	บนโลกที่ถูกระเรงไปด้วยสีแดง จะต้องมีมุ่มมุมหนึ่งที่ยางขาวสะอาด		
606	Low Shield	โล่ที่ลักษณะเหมาะมือ เดินทางไกลจำเป็นต้องพกไว้		
607	War Shield Lv.5	โล่ที่ลักษณะเหมาะมือ เดินทางไกลจำเป็นต้องพกไว้		
608	Angel Guard	ตำนานกล่าวไว้ว่า เป็นโล่ศักดิ์สิทธิ์ของเทวดานางฟ้า ป้องกันการโจมตีของปีศาจ		
609	Shield	ให้ทองพิเศษในการหล่อ สามารถป้องกันการโจมตีจากการถูกโจมตีได้		
610	1War Shield Lv.5	โล่ที่ลักษณะเหมาะมือ เดินทางไกลจำเป็นต้องพกไว้		
611	2War Shield Lv.5	โล่ที่ลักษณะเหมาะมือ เดินทางไกลจำเป็นต้องพกไว้		
612	3War Shield Lv.5	ให้ทองพิเศษในการหล่อ สามารถป้องกันการโจมตีจากการโจมตีมืดได้		
613	Lion Guard 	สิงโตที่ดุร้าย ทางที่ดีเมื่อเดินผ่านมันต้องทำเงียบให้เงียบกริบ		
614	Chinese Seal Shield			
615	War Strength Shield			
616	Serenity Horn	โลกอันมืดมิด เป็นเสียงที่ห้ามมีอยู่ในโลกนี้		
617	Serenity Horn	โลกอันมืดมิด เป็นเสียงที่ห้ามมีอยู่ในโลกนี้		
618	Serenity Horn	โลกอันมืดมิด เป็นเสียงที่ห้ามมีอยู่ในโลกนี้		
619	Serenity Horn	โลกอันมืดมิด เป็นเสียงที่ห้ามมีอยู่ในโลกนี้		
620	Serenity Horn	โลกอันมืดมิด เป็นเสียงที่ห้ามมีอยู่ในโลกนี้		
621	War Shield Lv.40	ให้ทองพิเศษในการหล่อ สามารถป้องกันการโจมตีจากการถูกโจมตีได้		
622	Obtuse Shield	เพื่อความอยู่รอด อัศวินจึงใช้ค้อนนี้ แต่ว่าอย่าดูถูกความน่าเกรงขามของมันล่ะ		
623	Red Leaves Shield	สีแดงแวววาวของโล่ ทำให้ผู้คนจับจ้องมัน		
624	Flint Shield	เป็นโล่ที่ทำมาจากอุกาบาต มีน้ำหนักมาก จะต้องเป็นคนที่มีกำลังแขนเยอะเท่านั้นจึงจะยกขึ้นได้		
625	Black Lion Barrier	โล่ในตำนาน	สามารถทดลองสกิลในอนาคตได้!	
801	Sky Stone	อาวุธที่ลักษณะเหมาะมือ เดินทางไกลจำเป็นต้องพกไว้		
802	Mountain Pumice	หินแมกมาที่ทำมาจากคริสตัล เมื่อ Attention ได้เห็น เขารู้ถึงพลังอันแข็งแกร่งของมันทันที		
803	Bull King Skull	อุณหภูมิรอบกายลดลง มีเสียงอันน่าหวาดกลัว ความรู้สึกนี้ผู้ที่มีชีวิตอยู่รู้สึกได้เท่านั้น		
804	Flame Amethyst	เปลวเพลิงและคริสตัลหลอมรวม แสงนั้นไม่ใช่แสงอันน่าหลงไหล		
805	Death Gaze	เป็นหรือตาย? มัวลังเลอะไรล่ะ		
806	Low Sky Stone	อาวุธที่ลักษณะเหมาะมือ เดินทางไกลจำเป็นต้องพกไว้		
807	War Sky Stone Lv.5	อาวุธที่ลักษณะเหมาะมือ เดินทางไกลจำเป็นต้องพกไว้		
808	Gold Skull	กระดูกที่สร้างมาจากทอง เป็นการทดสอบของผู้มีตาวิเศษ มันคือของจริงหรือปลอมกันแน่?		
809	Mountain Pumice	หินแมกม่าที่ทำมาจากคริสตัล เมื่อ Attention ได้เห็น เขารู้ถึงพลังอันแข็งแกร่งของมันทันที		
810	1War Sky Stone Lv.5	อาวุธที่ลักษณะเหมาะมือ เดินทางไกลจำเป็นต้องพกไว้		
811	2War Sky Stone Lv.5	อาวุธที่ลักษณะเหมาะมือ เดินทางไกลจำเป็นต้องพกไว้		
812	War Mountain Pumice Lv.35	หินแมกม่าที่ทำมาจากคริสตัล เมื่อ Attention ได้เห็น เขารู้ถึงพลังอันแข็งแกร่งของมันทันที		
813	Ghastly Crystal	เชื้อเพลงที่ใช้ไม่มีวันหมด ได้มาจากผู้บูชา		
814	Angel Enticement			
815	Night Guide			
816	Bull King Skull	ผู้โหดเหี้ยมที่ยังมีชีวิตจะมองเห็น		
817	Bull King Skull	ผู้โหดเหี้ยมที่ยังมีชีวิตจะมองเห็น		
818	Bull King Skull	ผู้โหดเหี้ยมที่ยังมีชีวิตจะมองเห็น		
819	Bull King Skull	ผู้โหดเหี้ยมที่ยังมีชีวิตจะมองเห็น		
820	Bull King Skull	ผู้โหดเหี้ยมที่ยังมีชีวิตจะมองเห็น		
821	War Mountain Pumice Lv.40	หินแมกม่าที่ทำมาจากคริสตัล เมื่อ Attention ได้เห็น เขารู้ถึงพลังอันแข็งแกร่งของมันทันที		
822	Ground Horse Timepiece	 ม้าเหลืองที่เฝ้าคุ้มครองประตู เมื่อเริ่มวิ่งจะได้ยินเสียงฝีเท้ามันอย่างไม่หยุดหย่อน		
823	Morning Ground	ท้าฟ้าสว่างไสว แต่ยังมองเห็นดาวระยิบระยับ คือการจากลาและการต้อนรับ		
824	Sincerity Prayer	ขาดแต่คำอวยพรของนางฟ้า ยังคงต้องพึ่ง Sincerity Prayer หวังว่าสักวันคงเกิดขึ้น		
825	Fallacy Skull	กระดูกที่เต็มไปด้วยคำสาป	สามารถทดลองสกิลในอนาคตได้!	
1001	Fist Gun	อาวุธที่ลักษณะเหมาะมือ เดินทางไกลจำเป็นต้องพกไว้		
1002	Strength Gun	ปืนคู่ที่ทำมาจากวัสดุขั้นพิเศษ เป็นการผสมผสานอย่างสมบูรณ์ เหมือนของปลอม		
1003	Gully Lion	สิงโตที่ชอบกินชอคโกแลตเหมือนเด็กๆ ว่าแต่มีคนอยากแก่ด้วยเหรอ?		
1004	Indigo Cannon	ซ่อนอยู่ในความลับของทะเลทั้งเจ็ด		
1005	Fighting Double Dragon	สงครามที่ลงตัว ดั่งเปลวเพลิงที่ร้อนระอุกับการต่อสู้อันดุเดือด		
1006	Low Fist Gun	อาวุธที่ลักษณะเหมาะมือ เดินทางไกลจำเป็นต้องพกไว้		
1007	War Fist Gun Lv.5	อาวุธที่ลักษณะเหมาะมือ เดินทางไกลจำเป็นต้องพกไว้		
1008	Colorful Cone	ใครบอกว่าอาวุธไม่สามารถลิ้มรสได้？ หากดูถูกอำนาจมัน นั่นหมายความว่าความซวยมาเยือนหล่ะ!		
1009	Strength Gun	ปืนคู่ที่ทำมาจากวัสดุขั้นพิเศษ เป็นการผสมผสานอย่างสมบูรณ์ เหมือนของปลอม		
1010	1War Fist Gun Lv.5	อาวุธที่ลักษณะเหมาะมือ เดินทางไกลจำเป็นต้องพกไว้		
1011	2War Fist Gun Lv.5	อาวุธที่ลักษณะเหมาะมือ เดินทางไกลจำเป็นต้องพกไว้		
1012	War Strength Gun Lv.35	ปืนคู่ที่ทำมาจากวัสดุขั้นพิเศษ เป็นการผสมผสานอย่างสมบูรณ์ เหมือนของปลอม		
1013	Black Cannon	ไม่ว่าพื้นที่นั้นจะแข็งแกร่งสักเท่าไหร่ เมื่อเจอปืนใหญ่นี้ไป วอดวายแน่		
1014	Classic Wooden Gun			
1015	Blue Machine Gun			
1016	Gully Lion	สิงโตที่ชอบกินชอคโกแลตเหมือนเด็กๆ		
1017	Gully Lion	สิงโตที่ชอบกินชอคโกแลตเหมือนเด็กๆ		
1018	Gully Lion	สิงโตที่ชอบกินชอคโกแลตเหมือนเด็กๆ		
1019	Gully Lion	สิงโตที่ชอบกินชอคโกแลตเหมือนเด็กๆ		
1020	Gully Lion	สิงโตที่ชอบกินชอคโกแลตเหมือนเด็กๆ		
1021	War Strength Gun Lv.40	ปืนคู่ที่ทำมาจากวัสดุขั้นพิเศษ เป็นการผสมผสานอย่างสมบูรณ์ เหมือนของปลอม		
1022	Pirate Short Tube	ปืนสั้นที่ได้มาจากโจรสลัด เนื่องจากใช้ถนัดมือ จึงขอให้ช่างในเมืองทำขาย		
1023	Rebellion Short Tube	ปืนที่เคยมีการปรับเปลี่ยน แต่ยังคงความแกร่ง แต่ถ้าหนักกว่านี้คงจะดี		
1024	Storm Fine Gun	ปืดที่มีชื่อเสียง เคยผ่านมือนักเล่นปืนมาแล้ว เล็งและเหนี่ยวไกได้อย่างแม่นยำ		
1025	Dragon Detonation Gun	ปืนที่สามารถยิงทะลุเกล็ดมังกรได้	สามารถทดลองสกิลในอนาคตได้!	
1201	Wood Stick	อาวุธที่ลักษณะเหมาะมือ เดินทางไกลจำเป็นต้องพกไว้		
1202	Gray Stick	ไม้คฑาที่ทำมาจากไม้ขั้นสูง ในไม้ฝังขนนกป่าไว้เป็นเครื่องราง		
1203	Rose	หน้าหนังสือมีกลิ่นดอกกุหลาบ สามารถพกไปในที่ต่างๆได้!		
1204	Forest Movement	เมื่อหดหู่ก็จงหลับตาและร้องมันออกมา!		
1205	Devil  Dungeon	อยากจะลองดีกับเผ่าความตายงั้นเหรอ? มาเลย!		
1206	Low Wood Stick	อาวุธที่ลักษณะเหมาะมือ เดินทางไกลจำเป็นต้องพกไว้		
1207	War Wood Stick Lv.5	อาวุธที่ลักษณะเหมาะมือ เดินทางไกลจำเป็นต้องพกไว้		
1208	Smiling Mask	รอยยิ้มคือคำอวยพร สามารถกำจัดความเย็นชาได้ แล้วรอยยิ้มแบบนี้ล่ะ?		
1209	Gray Stick	ไม้คฑาที่ทำมาจากไม้ขั้นสูง ในไม้ฝังขนนกป่าไว้เป็นเครื่องราง		
1210	1War Wood Stick Lv.5	อาวุธที่ลักษณะเหมาะมือ เดินทางไกลจำเป็นต้องพกไว้		
1211	2War Wood Stick Lv.5	อาวุธที่ลักษณะเหมาะมือ เดินทางไกลจำเป็นต้องพกไว้		
1212	War Gray Stick Lv.35	ไม้คฑาที่ทำมาจากไม้ขั้นสูง ในไม้ฝังขนนกป่าไว้เป็นเครื่องราง		
1213	Ocean Note	หน้าหนังสือที่ทำอย่างประณีต สามารถสัมผัสได้ถึงกลิ่นอายของทะเล		
1214	Angel Wand			
1215	Devil Feather			
1216	Rose	ต้องการมันในช่วงเวลาน้ำชา จงเพลิดเพลินไปกับมัน!		
1217	Rose	ต้องการมันในช่วงเวลาน้ำชา จงเพลิดเพลินไปกับมัน!		
1218	Rose	ต้องการมันในช่วงเวลาน้ำชา จงเพลิดเพลินไปกับมัน!		
1219	Rose	ต้องการมันในช่วงเวลาน้ำชา จงเพลิดเพลินไปกับมัน!		
1220	Rose	ต้องการมันในช่วงเวลาน้ำชา จงเพลิดเพลินไปกับมัน!		
1221	War Gray Stick Lv.40	ไม้คฑาที่ทำมาจากไม้ขั้นสูง ในไม้ฝังขนนกป่าไว้เป็นเครื่องราง		
1222	Green Wisp	ป่าที่เขียวขจี มีแสงเล็ดลอดมาเล็กน้อย หรือนั่นคือล่องรอยของElfกันนะ		
1223	Morning Sun	ดวงอาทิตย์แรกแย้ม อุ่นและอ่อนโยน		
1224	Dream hippocampus	ของที่เทพแห่งทะเลลืมเอาไว้ ปัจจุบันยังไม่สามารถทราบได้ว่ามีพลังสถิตอยู่หรือไม่		
1225	Soul Stick	มีพลังเวทย์แข็งแกร่ง สามารถใช้ต่อสู้กับเบื้องบนได้อย่างสบาย	สามารถทดลองสกิลในอนาคตได้!	
1401	Puppet Bunny			
1402	Gloomy Bunny			
1403	Elegant maid	สาวน้อยผู้อ่อนโยน จับมือกันเถอะ!		
1404	Hot Girl	ในความแกร่งของเกราะนั่น จงต่อสู้!		
1405	Gothic Lolita	ไม้กางแขนที่แขวนอยู่บนชุดกระโปรง ขอพรสิ		
1406	Archeopteryx			
1407	Uncle Pudding			
1408	Munai meow			
1409	Pluto Spirit	อาวุธที่ลักษณะเหมาะมือ เดินทางไกลจำเป็นต้องพกไว้		
1410	Low Puppet Bunny			
1411	Normal Puppet Bunny			
1412	War Puppet Bunny Lv.15			
1413	War Puppet Bunny Lv.25			
1414	War Gloomy Bunny Lv.35			
1415	Skill Exp Doll	ตุ๊กตาลึกลับ สามารถแสดงพลังได้!	สามารถทดลองสกิลในอนาคตได้!	
1416	Clown Bunny			
1417	King Firewood			
4001	Exile Headdress	เครื่องสวมใส่พื้นฐานสามารถป้องกันตนเองได้ในโลกใบใหม่		
4002	Ocean Headdress	เหมือนอยู่ในอ้อมกอดของมหาสมุทร อบอุ่นและทั่วถึง		
4003	Bloody Headdress	จะต้องฆ่าอีกเท่าไหร่ถึงจะเป็นสีแดงสด ทางที่ดีตอนนี้อย่าเพิ่งเข้าใกล้จะดีกว่า		
4004	Wild Headdress	ทำมาจากผ้าที่สวยงามจากสถานที่อันไกลห่าง ขอขอบคุณที่ฟ้าประทานสิ่งนี้มาให้		
4005	Star Headdress			
4006	Navy Headdress Lv5	ชุดฝึกทหารเรือ มีพลังป้องกันเป็นพื้นฐาน		
4007	Navy Headdress Lv15	ชุดฝึกทหารเรือ มีพลังป้องกันเป็นพื้นฐาน		
4008	Navy Headdress Lv25	ชุดฝึกทหารเรือ มีพลังป้องกันเป็นพื้นฐาน		
4009	Navy Headdress Lv35	ชุดฝึกทหารเรือ มีพลังป้องกันเป็นพื้นฐาน		
4010	Aris Headdress	เครื่องประดับหัวที่ได้มาจากพลังของ Aris เมื่อสวมใส่กับเครื่องสวมใส่ดังกล่าว จะได้รับพรของ Aris：\n\nAris Headdress\nAris Armor\nAris Legging\nAris Glove\nAris Shoe		
4011	Aris Headdress	เครื่องประดับหัวที่ได้มาจากพลังของ Aris เมื่อสวมใส่กับเครื่องสวมใส่ดังกล่าว สามารถรับพรของ Aris：\n\nAris Headdress\nAris Armor\nAris Legging\nAris Glove\nAris Shoe		
4012	Aris Headdress	เครื่องประดับหัวที่ได้มาจากพลังของ Aris เมื่อสวมใส่กับเครื่องสวมใส่ดังกล่าว สามารถรับพรของ Aris：\n\nAris Headdress\nAris Armor\nAris Legging\nAris Glove\nAris Shoe		
4013	Aris Headdress	เครื่องประดับหัวที่ได้มาจากพลังของ Aris เมื่อสวมใส่กับเครื่องสวมใส่ดังกล่าว สามารถรับพรของ Aris：\n\nAris Headdress\nAris Armor\nAris Legging\nAris Glove\nAris Shoe		
4014	Aris Headdress	เครื่องประดับหัวที่ได้มาจากพลังของ Aris เมื่อสวมใส่กับเครื่องสวมใส่ดังกล่าว สามารถรับพรของ Aris：\n\nAris Headdress\nAris Armor\nAris Legging\nAris Glove\nAris Shoe		
4015	Muse Headdress	เครื่องประดับหัวที่ได้มาจากพลังของ Muse เมื่อสวมใส่กับเครื่องสวมใส่ดังกล่าว สามารถรับพรของ Muse：\n\nMuse Headdress\nMuse Armor\nMuse Legging\nMuse Glove\nMuse Boot		
