n_ID	n_MOBEXP	n_SP	n_HPMAX	n_RECOVER_HP	n_STAMINAMAX	n_RECOVER_STAMINA	n_SPEED_RUN	n_STRENGH	n_CONSITUTION	n_AGILITY	n_PERCEPTION	n_INTELLECT	n_DAMMIN_PHYSICS	n_DAMMIN_MAGIC	n_DAMPLUS_PHYSICS	n_DAMPLUS_MAGIC	n_AC_PHYSICS	n_AC_MAGIC	n_ABSORB_PHYSICS	n_ABSORB_MAGIC	n_PENETRATE_PHYSICS	n_PENETRATE_MAGIC	f_ANTI_STUN	f_STUN	f_ANTI_CURSE	f_CURSE	f_HITRATE	f_DODGE	f_POWERHIT	f_ANTI_POWERHIT	f_BYPASS	f_OVERHIT	f_MULTIPLY_POWERDAM	f_ABSORB_POWERDAM	f_ABSORB_SHIELD	f_BLOCKRATE	f_MUL_DAMAGE
33	119	59	6750	54	100	5	600	76	76	76	76	76	219	219	32	32	131	131	0	0	0	0	1.0	1.0	1.0	1.0	0.0	0.0	12.0	0.0	2.200000047683716	2.200000047683716	1.0	0.0	0.0	0.0	100.0
34	124	62	7339	59	100	5	600	80	80	80	80	80	234	234	35	35	140	140	0	0	0	0	1.0	1.0	1.0	1.0	0.0	0.0	12.5	0.0	2.299999952316284	2.299999952316284	1.0	0.0	0.0	0.0	100.0
35	129	64	7980	63	100	5	600	84	84	84	84	84	248	248	37	37	150	150	0	0	0	0	1.0	1.0	1.0	1.0	0.0	0.0	12.5	0.0	2.4000000953674316	2.4000000953674316	1.0	0.0	0.0	0.0	100.0
36	134	67	8661	68	100	5	600	88	88	88	88	88	317	317	47	47	160	160	0	0	0	0	1.0	1.0	1.0	1.0	0.0	0.0	12.5	0.0	2.5	2.5	1.0	0.0	0.0	0.0	100.0
37	140	70	9382	73	100	5	600	92	92	92	92	92	336	336	50	50	171	171	0	0	0	0	1.0	1.0	1.0	1.0	0.0	0.0	12.5	0.0	2.5999999046325684	2.5999999046325684	1.0	0.0	0.0	0.0	100.0
38	146	73	10149	79	100	5	600	96	96	96	96	96	357	357	53	53	183	183	0	0	0	0	1.0	1.0	1.0	1.0	0.0	0.0	12.5	0.0	2.700000047683716	2.700000047683716	1.0	0.0	0.0	0.0	100.0
39	152	76	10962	84	100	5	600	100	100	100	100	100	378	378	56	56	195	195	0	0	0	0	1.0	1.0	1.0	1.0	0.0	0.0	12.5	0.0	2.799999952316284	2.799999952316284	1.0	0.0	0.0	0.0	100.0
40	158	79	11925	90	100	5	600	104	104	104	104	104	400	400	60	60	209	209	0	0	0	0	1.0	1.0	1.0	1.0	0.0	0.0	12.5	0.0	2.9000000953674316	2.9000000953674316	1.0	0.0	0.0	0.0	100.0
41	164	82	12871	97	100	5	600	109	109	109	109	109	458	458	68	68	221	221	0	0	0	0	1.5	1.5	1.5	1.5	0.0	0.0	12.5	0.0	3.0	3.0	1.0	0.0	0.0	0.0	100.0
42	171	85	13854	103	100	5	600	114	114	114	114	114	484	484	72	72	234	234	0	0	0	0	1.5	1.5	1.5	1.5	0.0	0.0	12.5	0.0	3.0999999046325684	3.0999999046325684	1.0	0.0	0.0	0.0	100.0
43	178	89	14910	110	100	5	600	119	119	119	119	119	510	510	76	76	248	248	0	0	0	0	1.5	1.5	1.5	1.5	0.0	0.0	12.5	0.0	3.200000047683716	3.200000047683716	1.0	0.0	0.0	0.0	100.0
44	185	92	16009	117	100	5	600	124	124	124	124	124	538	538	80	80	263	263	0	0	0	0	1.5	1.5	1.5	1.5	0.0	0.0	12.5	0.0	3.299999952316284	3.299999952316284	1.0	0.0	0.0	0.0	100.0
45	192	96	17184	124	100	5	600	129	129	129	129	129	566	566	84	84	279	279	0	0	0	0	1.5	1.5	1.5	1.5	0.0	0.0	12.5	0.0	3.4000000953674316	3.4000000953674316	1.0	0.0	0.0	0.0	100.0
46	199	99	18424	132	100	5	600	134	134	134	134	134	595	595	89	89	295	295	0	0	0	0	1.5	1.5	1.5	1.5	0.0	0.0	12.5	0.0	3.5	3.5	1.0	0.0	0.0	0.0	100.0
47	207	103	19710	140	100	5	600	139	139	139	139	139	626	626	93	93	313	313	0	0	0	0	1.5	1.5	1.5	1.5	0.0	0.0	12.5	0.0	3.5999999046325684	3.5999999046325684	1.0	0.0	0.0	0.0	100.0
48	215	107	21045	148	100	5	600	144	144	144	144	144	657	657	98	98	332	332	0	0	0	0	1.5	1.5	1.5	1.5	0.0	0.0	12.5	0.0	3.700000047683716	3.700000047683716	1.0	0.0	0.0	0.0	100.0
49	223	111	22486	157	100	5	600	149	149	149	149	149	689	689	103	103	351	351	0	0	0	0	1.5	1.5	1.5	1.5	0.0	0.0	12.5	0.0	3.799999952316284	3.799999952316284	1.0	0.0	0.0	0.0	100.0
50	231	115	23976	166	100	5	600	154	154	154	154	154	722	722	108	108	372	372	0	0	0	0	1.5	1.5	1.5	1.5	0.0	0.0	12.5	0.0	3.9000000953674316	3.9000000953674316	1.0	0.0	0.0	0.0	100.0
51	239	119	25564	175	100	5	600	160	160	160	160	160	757	757	113	113	395	395	0	0	0	0	2.0	2.0	2.0	2.0	0.0	0.0	12.5	0.0	4.0	4.0	1.0	0.0	0.0	0.0	100.0
52	248	124	27184	185	100	5	600	166	166	166	166	166	793	793	118	118	418	418	0	0	0	0	2.0	2.0	2.0	2.0	0.0	0.0	12.5	0.0	4.099999904632568	4.099999904632568	1.0	0.0	0.0	0.0	100.0
53	257	128	28904	195	100	5	600	172	172	172	172	172	829	829	124	124	443	443	0	0	0	0	2.0	2.0	2.0	2.0	0.0	0.0	12.5	0.0	4.199999809265137	4.199999809265137	1.0	0.0	0.0	0.0	100.0
54	266	133	30703	205	100	5	600	178	178	178	178	178	867	867	130	130	470	470	0	0	0	0	2.0	2.0	2.0	2.0	0.0	0.0	12.5	0.0	4.300000190734863	4.300000190734863	1.0	0.0	0.0	0.0	100.0
55	275	137	32585	216	100	5	600	184	184	184	184	184	906	906	135	135	498	498	0	0	0	0	2.0	2.0	2.0	2.0	0.0	0.0	12.5	0.0	4.400000095367432	4.400000095367432	1.0	0.0	0.0	0.0	100.0
56	284	142	34530	227	100	5	600	190	190	190	190	190	946	946	141	141	527	527	0	0	0	0	2.0	2.0	2.0	2.0	0.0	0.0	12.5	0.0	4.5	4.5	1.0	0.0	0.0	0.0	100.0
57	294	147	36585	238	100	5	600	196	196	196	196	196	987	987	148	148	559	559	0	0	0	0	2.0	2.0	2.0	2.0	0.0	0.0	12.5	0.0	4.599999904632568	4.599999904632568	1.0	0.0	0.0	0.0	100.0
58	304	152	38728	250	100	5	600	202	202	202	202	202	1029	1029	154	154	592	592	0	0	0	0	2.0	2.0	2.0	2.0	0.0	0.0	12.5	0.0	4.699999809265137	4.699999809265137	1.0	0.0	0.0	0.0	100.0
59	314	157	40968	262	100	5	600	208	208	208	208	208	1073	1073	160	160	627	627	0	0	0	0	2.0	2.0	2.0	2.0	0.0	0.0	12.5	0.0	4.800000190734863	4.800000190734863	1.0	0.0	0.0	0.0	100.0
60	324	162	43275	275	100	5	600	214	214	214	214	214	1118	1118	167	167	665	665	0	0	0	0	2.0	2.0	2.0	2.0	0.0	0.0	12.5	0.0	4.900000095367432	4.900000095367432	1.0	0.0	0.0	0.0	100.0
61	334	167	45704	288	100	5	600	221	221	221	221	221	1253	1253	187	187	698	698	0	0	0	0	2.5	2.5	2.5	2.5	0.0	0.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
62	347	173	48209	301	100	5	600	228	228	228	228	228	1304	1304	195	195	732	732	0	0	0	0	2.5	2.5	2.5	2.5	0.0	0.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
63	360	180	50817	315	100	5	600	235	235	235	235	235	1355	1355	203	203	769	769	0	0	0	0	2.5	2.5	2.5	2.5	0.0	0.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
64	374	187	53557	329	100	5	600	242	242	242	242	242	1410	1410	211	211	807	807	0	0	0	0	2.5	2.5	2.5	2.5	0.0	0.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
65	388	194	56377	344	100	5	600	249	249	249	249	249	1465	1465	219	219	847	847	0	0	0	0	2.5	2.5	2.5	2.5	0.0	0.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
66	403	201	59306	359	100	5	600	256	256	256	256	256	1521	1521	228	228	890	890	0	0	0	0	2.5	2.5	2.5	2.5	0.0	0.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
67	419	209	62350	374	100	5	600	263	263	263	263	263	1579	1579	236	236	934	934	0	0	0	0	2.5	2.5	2.5	2.5	0.0	0.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
68	435	217	65511	390	100	5	600	270	270	270	270	270	1638	1638	245	245	981	981	0	0	0	0	2.5	2.5	2.5	2.5	0.0	0.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
69	452	226	68789	407	100	5	600	277	277	277	277	277	1699	1699	254	254	1030	1030	0	0	0	0	2.5	2.5	2.5	2.5	0.0	0.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
70	470	235	71640	423	100	5	600	284	284	284	284	284	1761	1761	264	264	1081	1081	0	0	0	0	2.5	2.5	2.5	2.5	0.0	0.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
71	488	244	74566	441	100	5	600	292	292	292	292	292	1825	1825	273	273	1135	1135	0	0	0	0	3.0	3.0	3.0	3.0	0.0	0.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
72	507	253	77577	459	100	5	600	300	300	300	300	300	1891	1891	283	283	1191	1191	0	0	0	0	3.0	3.0	3.0	3.0	0.0	0.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
73	527	263	80671	477	100	5	600	308	308	308	308	308	1958	1958	293	293	1250	1250	0	0	0	0	3.0	3.0	3.0	3.0	0.0	0.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
74	548	274	83844	496	100	5	600	316	316	316	316	316	2027	2027	304	304	1312	1312	0	0	0	0	3.0	3.0	3.0	3.0	0.0	0.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
75	569	284	87072	515	100	5	600	324	324	324	324	324	2097	2097	314	314	1377	1377	0	0	0	0	3.0	3.0	3.0	3.0	0.0	0.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
76	591	295	90417	535	100	5	600	332	332	332	332	332	2170	2170	325	325	1445	1445	0	0	0	0	3.0	3.0	3.0	3.0	0.0	0.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
77	614	307	93814	555	100	5	600	340	340	340	340	340	2242	2242	336	336	1517	1517	0	0	0	0	3.0	3.0	3.0	3.0	0.0	0.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
78	638	319	97367	576	100	5	600	348	348	348	348	348	2318	2318	347	347	1591	1591	0	0	0	0	3.0	3.0	3.0	3.0	0.0	0.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
79	663	331	100907	597	100	5	600	356	356	356	356	356	2396	2396	359	359	1669	1669	0	0	0	0	3.0	3.0	3.0	3.0	0.0	0.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
80	689	344	104603	618	100	5	600	364	364	364	364	364	2474	2474	371	371	1751	1751	0	0	0	0	3.0	3.0	3.0	3.0	0.0	0.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
81	715	357	108391	641	100	5	600	373	373	373	373	373	2737	2737	410	410	1837	1837	0	0	0	0	3.5	3.5	3.5	3.5	1.0	1.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
82	742	371	112234	664	100	5	600	382	382	382	382	382	2826	2826	423	423	1926	1926	0	0	0	0	3.5	3.5	3.5	3.5	1.5	1.5	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
83	770	385	116171	687	100	5	600	391	391	391	391	391	2916	2916	437	437	2021	2021	0	0	0	0	3.5	3.5	3.5	3.5	2.0	2.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
84	799	399	120204	711	100	5	600	400	400	400	400	400	3009	3009	451	451	2120	2120	0	0	0	0	3.5	3.5	3.5	3.5	2.5	2.5	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
85	829	414	124329	735	100	5	600	409	409	409	409	409	3103	3103	465	465	2223	2223	0	0	0	0	3.5	3.5	3.5	3.5	3.0	3.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
86	860	430	128549	760	100	5	600	418	418	418	418	418	3200	3200	480	480	2332	2332	0	0	0	0	3.5	3.5	3.5	3.5	3.5	3.5	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
87	892	446	132902	786	100	5	600	427	427	427	427	427	3298	3298	494	494	2446	2446	0	0	0	0	3.5	3.5	3.5	3.5	4.0	4.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
88	925	462	137281	812	100	5	600	436	436	436	436	436	3399	3399	509	509	2566	2566	0	0	0	0	3.5	3.5	3.5	3.5	4.5	4.5	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
89	960	480	141798	839	100	5	600	445	445	445	445	445	3501	3501	525	525	2691	2691	0	0	0	0	3.5	3.5	3.5	3.5	5.0	5.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
90	996	498	146413	866	100	5	600	454	454	454	454	454	3606	3606	540	540	2823	2823	0	0	0	0	3.5	3.5	3.5	3.5	5.5	5.5	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
91	1033	516	151093	894	100	5	600	464	464	464	464	464	3714	3714	557	557	2958	2958	0	0	0	0	4.0	4.0	4.0	4.0	6.0	6.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
92	1072	536	155914	922	100	5	600	474	474	474	474	474	3822	3822	573	573	3100	3100	0	0	0	0	4.0	4.0	4.0	4.0	6.5	6.5	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
93	1112	556	160837	951	100	5	600	484	484	484	484	484	3933	3933	589	589	3249	3249	0	0	0	0	4.0	4.0	4.0	4.0	7.0	7.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
94	1154	577	165863	981	100	5	600	494	494	494	494	494	4028	4028	604	604	3405	3405	0	0	0	0	4.0	4.0	4.0	4.0	7.5	7.5	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
95	1197	598	170956	1011	100	5	600	504	504	504	504	504	4122	4122	618	618	3568	3568	0	0	0	0	4.0	4.0	4.0	4.0	8.0	8.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
96	1242	621	176196	1042	100	5	600	514	514	514	514	514	4218	4218	632	632	3732	3732	0	0	0	0	4.0	4.0	4.0	4.0	8.5	8.5	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
97	1289	644	181464	1073	100	5	600	524	524	524	524	524	4317	4317	647	647	3904	3904	0	0	0	0	4.0	4.0	4.0	4.0	9.0	9.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
98	1337	668	186962	1106	100	5	600	534	534	534	534	534	4416	4416	662	662	4083	4083	0	0	0	0	4.0	4.0	4.0	4.0	9.5	9.5	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
99	1387	693	192488	1138	100	5	600	544	544	544	544	544	4516	4516	677	677	4271	4271	0	0	0	0	4.0	4.0	4.0	4.0	10.0	10.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
100	1436	718	198125	1172	100	5	600	554	554	554	554	554	4618	4618	692	692	4467	4467	0	0	0	0	4.0	4.0	4.0	4.0	10.5	10.5	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
101	1487	743	203873	1206	100	5	600	565	565	565	565	565	5036	5036	755	755	4663	4663	0	0	0	0	4.5	4.5	4.5	4.5	11.0	11.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
102	1540	770	209777	1241	100	5	600	576	576	576	576	576	5136	5136	770	770	4868	4868	0	0	0	0	4.5	4.5	4.5	4.5	11.5	11.5	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
103	1595	797	215714	1276	100	5	600	587	587	587	587	587	5235	5235	785	785	5082	5082	0	0	0	0	4.5	4.5	4.5	4.5	12.0	12.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
104	1652	826	221803	1312	100	5	600	598	598	598	598	598	5336	5336	800	800	5306	5306	0	0	0	0	4.5	4.5	4.5	4.5	12.5	12.5	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
105	1711	855	228055	1349	100	5	600	609	609	609	609	609	5437	5437	815	815	5539	5539	0	0	0	0	4.5	4.5	4.5	4.5	13.0	13.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
106	1772	886	234336	1386	100	5	600	621	621	621	621	621	5540	5540	831	831	5771	5771	0	0	0	0	4.5	4.5	4.5	4.5	13.5	13.5	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
107	1835	917	240782	1424	100	5	600	633	633	633	633	633	5644	5644	846	846	6014	6014	0	0	0	0	4.5	4.5	4.5	4.5	14.0	14.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
108	1901	950	247344	1463	100	5	600	645	645	645	645	645	5748	5748	862	862	6266	6266	0	0	0	0	4.5	4.5	4.5	4.5	14.5	14.5	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
109	1969	984	253984	1502	100	5	600	657	657	657	657	657	5855	5855	878	878	6529	6529	0	0	0	0	4.5	4.5	4.5	4.5	15.0	15.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
110	2039	1019	260787	1543	100	5	600	669	669	669	669	669	5961	5961	894	894	6803	6803	0	0	0	0	4.5	4.5	4.5	4.5	15.5	15.5	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
111	2108	1054	267719	1584	100	5	600	682	682	682	682	682	6448	6448	967	967	7075	7075	0	0	0	0	5.0	5.0	5.0	5.0	16.0	16.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
112	2179	1089	274771	1625	100	5	600	695	695	695	695	695	6563	6563	984	984	7358	7358	0	0	0	0	5.0	5.0	5.0	5.0	16.5	16.5	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
113	2253	1126	281901	1668	100	5	600	708	708	708	708	708	6680	6680	1002	1002	7652	7652	0	0	0	0	5.0	5.0	5.0	5.0	17.0	17.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
114	2329	1164	289161	1711	100	5	600	721	721	721	721	721	6797	6797	1019	1019	7958	7958	0	0	0	0	5.0	5.0	5.0	5.0	17.5	17.5	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
115	2408	1204	296546	1754	100	5	600	734	734	734	734	734	6915	6915	1037	1037	8276	8276	0	0	0	0	5.0	5.0	5.0	5.0	18.0	18.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
116	2489	1244	304106	1799	100	5	600	748	748	748	748	748	7035	7035	1055	1055	8607	8607	0	0	0	0	5.0	5.0	5.0	5.0	18.5	18.5	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
117	2573	1286	311746	1844	100	5	600	762	762	762	762	762	7156	7156	1073	1073	8951	8951	0	0	0	0	5.0	5.0	5.0	5.0	19.0	19.0	12.5	0.0	5.0	5.0	1.0	0.0	0.0	0.0	100.0
