n_ID	s_SKILL_TITLE	s_DESCRIPTION	s_TIP	s_DETAIL	s_CACULATE
524	Spear Ejector	\nเมื่อสวมใส่สามารถยิง Javelin ได้ ทำให้ศัตรูได้รับความเสียหาย 75 แต้ม\n\nเหมาะกับ: Bermuda Ship, Main Warship	\nเมื่อสวมใส่สามารถยิง Javelin ได้ ทำให้ศัตรูได้รับความเสียหาย 75 แต้ม\n\nเหมาะกับ: Bermuda Ship, Main Warship		
525	Hunter Breechloader[Right] 	\nยิงปืนจากกราบเรือขวาได้ 3 นัด แต่ละนัดทำให้ศัตรูได้รับความเสียหาย 175 แต้ม\n\nเหมาะกับ: Bermuda Ship, Main Warship	\nยิงปืนจากกราบเรือขวาได้ 3 นัด แต่ละนัดทำให้ศัตรูได้รับความเสียหาย 175 แต้ม\n\nเหมาะกับ: Bermuda Ship, Main Warship		
526	Military Breechloader[Left] 	\nยิงปืนจากกราบเรือซ้ายได้ 5 นัด แต่ละนัดทำให้ศัตรูได้รับความเสียหาย 125 แต้ม\n\nเหมาะกับ: Main Warship	\nยิงปืนจากกราบเรือซ้ายได้ 5 นัด แต่ละนัดทำให้ศัตรูได้รับความเสียหาย 125 แต้ม\n\nเหมาะกับ: Main Warship		
527	Military Javelin Ejector	\nเมื่อสวมใส่สามารถยิง Javelin ได้ ทำให้ศัตรูได้รับความเสียหาย 90 แต้ม\n\nเหมาะกับ: Main Warship	\nเมื่อสวมใส่สามารถยิง Javelin ได้ ทำให้ศัตรูได้รับความเสียหาย 90 แต้ม\n\nเหมาะกับ: Main Warship		
528	Military Breechloader[Right] 	\nยิงปืนจากกราบเรือขวาได้ 5 นัด แต่ละนัดทำให้ศัตรูได้รับความเสียหาย 125 แต้ม\n\nเหมาะกับ: Main Warship	\nยิงปืนจากกราบเรือขวาได้ 5 นัด แต่ละนัดทำให้ศัตรูได้รับความเสียหาย 125 แต้ม\n\nเหมาะกับ: Main Warship		
529	Expedition Breechloader[Left] 	\nยิงปืนจากกราบเรือซ้ายได้ 7 นัด แต่ละนัดทำให้ศัตรูได้รับความเสียหาย 100 แต้ม\n\nเหมาะกับ: Main Warship	\nยิงปืนจากกราบเรือซ้ายได้ 7 นัด แต่ละนัดทำให้ศัตรูได้รับความเสียหาย 100 แต้ม\n\nเหมาะกับ: Main Warship		
530	Expedition Cluster Equipment	\nเมื่อสวมใส่สามารถยิง Javelin ได้ ทำให้ศัตรูได้รับความเสียหาย 100 แต้ม\n\nเหมาะกับ: Main Warship	\nเมื่อสวมใส่สามารถยิง Javelin ได้ ทำให้ศัตรูได้รับความเสียหาย 100 แต้ม\n\nเหมาะกับ: Main Warship		
531	Expedition Breechloader[Right] 	\nยิงปืนจากกราบเรือขวาได้ 7 นัด แต่ละนัดทำให้ศัตรูได้รับความเสียหาย 100 แต้ม\n\nเหมาะกับ: Main Warship	\nยิงปืนจากกราบเรือขวาได้ 7 นัด แต่ละนัดทำให้ศัตรูได้รับความเสียหาย 100 แต้ม\n\nเหมาะกับ: Main Warship		
550	Flame Radiation 	\nพ่นไฟไปด้านหน้า ทำให้เกิดความเสียหายต่อเนื่อง 30 แต้ม\n\nเหมาะกับ: Armed Brig Barge, Bermuda Ship, Main Warship	\nพ่นไฟไปด้านหน้า ทำให้เกิดความเสียหายต่อเนื่อง 30 แต้ม\n\nเหมาะกับ: Armed Brig Barge, Bermuda Ship, Main Warship		
551	Warship Collide	\nพุ่งเข้าใส่ ทำให้เรือของศัตรูที่อยู่ในเส้นทางได้รับความเสียหาย 200 แต้ม\n\nเหมาะกับ: Armed Brig Barge, Bermuda Ship, Main Warship	\nพุ่งเข้าใส่ ทำให้เรือของศัตรูที่อยู่ในเส้นทางได้รับความเสียหาย 200 แต้ม\n\nเหมาะกับ: Armed Brig Barge, Bermuda Ship, Main Warship		
552	Armor Warship	\nเพิ่มพลังป้องกันให้เรือตนเอง ลดความสียหายที่ได้รับ 50%\n\nเหมาะกับ: Armed Brig Barge, Bermuda Ship, Main Warship	\nเพิ่มพลังป้องกันให้เรือตนเอง ลดความสียหายที่ได้รับ 50%\n\nเหมาะกับ: Armed Brig Barge, Bermuda Ship, Main Warship		
553	Cross Mine	\nยิงระเบิดไปด้านหลัง เมื่อระเบิดจะเกิดความเสียหายเป็นเครื่องหมายบวก แต่ละทางทำความเสียหาย 50 แต้ม\n\nเหมาะกับ: Armed Brig Barge, Bermuda Ship, Main Warship	\nยิงระเบิดไปด้านหลัง เมื่อระเบิดจะเกิดความเสียหายเป็นเครื่องหมายบวก แต่ละทางทำความเสียหาย 50 แต้ม\n\nเหมาะกับ: Armed Brig Barge, Bermuda Ship, Main Warship		
554	Fishnet[Front] 	\nยิงตาข่ายไปด้านหน้า ศัตรูที่โดนตาข่ายจะลดความเร็วในการเคลื่อนที่ลง\n\nเหมาะกับ: Armed Brig Barge, Bermuda Ship, Main Warship	\nยิงตาข่ายไปด้านหน้า ศัตรูที่โดนตาข่ายจะลดความเร็วในการเคลื่อนที่ลง\n\nเหมาะกับ: Armed Brig Barge, Bermuda Ship, Main Warship		
555	Fishnet[Back] 	\nยิงตาข่ายไปด้านหลัง ศัตรูที่โดนตาข่ายจะลดความเร็วในการเคลื่อนที่ลง\n\nเหมาะกับ: Armed Brig Barge, Bermuda Ship, Main Warship	\nยิงตาข่ายไปด้านหลัง ศัตรูที่โดนตาข่ายจะลดความเร็วในการเคลื่อนที่ลง\n\nเหมาะกับ: Armed Brig Barge, Bermuda Ship, Main Warship		
556	Accelerate	\nความเร็วเรือ + 120 \n\nประเภทเรือที่เหมาะสม: Armed Brig Barge, Bermuda Ship, Main Warship	\nความเร็วเรือ+ 120 \n\nประเภทเรือที่เหมาะสม: Armed Brig Barge, Bermuda Ship, Main Warship		
557	Harpoon Chain	\nยิง Harpoon Chain ไปทางซ้ายและขวาเรือ เมื่อโจมตีแม่นยำเรือศัตรูจะถูกลากเข้ามาใกล้เรือตนเอง และทำให้เกิดความเสียหาย 50 แต้ม\n\nเหมาะกับ: Armed Brig Barge, Bermuda Ship, Main Warship	\nยิง Harpoon Chain ไปทางซ้ายและขวาเรือ เมื่อโจมตีแม่นยำเรือศัตรูจะถูกลากเข้ามาใกล้เรือตนเอง และทำให้เกิดความเสียหาย 50 แต้ม\n\nเหมาะกับ: Armed Brig Barge, Bermuda Ship, Main Warship		
600	Mortar[Left] 	\nยิง Mortar ไปทางซ้าย ทำให้เกิดความเสียหายเป็นวงกว้าง 250 แต้ม\n\nเหมาะกับ: Armed Brig Barge, Bermuda Ship, Main Warship	\nยิง Mortar ไปทางซ้าย ทำให้เกิดความเสียหายเป็นวงกว้าง 250 แต้ม\n\nเหมาะกับ: Armed Brig Barge, Bermuda Ship, Main Warship		
601	Incendiary Bomb[Left] 	\nยิงปืนไฟไปทางซ้าย ทำให้ทะเลเป็นเพลิง ทำความเสียหายต่อเนื่อง 50 แต้ม\n\nเหมาะกับ: Armed Brig Barge, Bermuda Ship, Main Warship	\nยิงปืนไฟไปทางซ้าย ทำให้ทะเลเป็นเพลิง ทำความเสียหายต่อเนื่อง 50 แต้ม\n\nเหมาะกับ: Armed Brig Barge, Bermuda Ship, Main Warship		
602	Machine Gun[Left] 	\nยิงโจมตีทางซ้ายต่อเนื่อง แต่ละนัดทำความเสียหาย 100 แต้ม\n\nเหมาะกับ: Armed Brig Barge, Bermuda Ship, Main Warship	\nยิงโจมตีทางซ้ายต่อเนื่อง แต่ละนัดทำความเสียหาย 100 แต้ม\n\nเหมาะกับ: Armed Brig Barge, Bermuda Ship, Main Warship		
603	Strength Gun[Left] 	\nยิงระเบิดไปทางซ้าย ทำให้เรือที่อยู่ในเส้นทางเกิดความเสียหาย 500 แต้ม\n\nเหมาะกับ: Armed Brig Barge, Bermuda Ship, Main Warship	\nยิงระเบิดไปทางซ้าย ทำให้เรือที่อยู่ในเส้นทางเกิดความเสียหาย 500 แต้ม\n\nเหมาะกับ: Armed Brig Barge, Bermuda Ship, Main Warship		
604	Iron Ball[Left] 	\nยิง Iron Ball จากทางซ้ายของเรือ ทำให้เกิดความเสียหาย 150 แต้ม และทำให้เกิดคลื่น มีผลกระทบต่อความเร็วเรือของศัตรู\n\nประเภทเรือที่ต้องการ: Armed Brig Barge, Bermuda Ship, Main Warship	\nยิง Iron Ball จากทางซ้ายของเรือ ทำให้เกิดความเสียหาย 150 แต้ม และทำให้เกิดคลื่น มีผลกระทบต่อความเร็วเรือของศัตรู\n\nประเภทเรือที่ต้องการ: Armed Brig Barge, Bermuda Ship, Main Warship		
605	Aerosol Bomb[Left] 	\nยิง Smoke Bomb จากทางซ้ายของเรือ ทำให้เพื่อนที่อยู่ในควันได้รับค่าหลบหลีกเพิ่มขึ้น 50%\n\nประเภทเรือที่ต้องการ: Armed Brig Barge, Bermuda Ship, Main Warship\n	\nยิง Smoke Bomb จากทางซ้ายของเรือ ทำให้เพื่อนที่อยู่ในควันได้รับค่าหลบหลีกเพิ่มขึ้น 50%\n\nประเภทเรือที่ต้องการ: Armed Brig Barge, Bermuda Ship, Main Warship\n		
650	Mortar[Right] 	\nยิง Mortar ไปทางขวา ทำให้เกิดความเสียหายเป็นวงกว้าง 250 แต้ม\n\nเหมาะกับ: Armed Brig Barge, Bermuda Ship, Main Warship	\nยิง Mortar ไปทางขวา ทำให้เกิดความเสียหายเป็นวงกว้าง 250 แต้ม\n\nเหมาะกับ: Armed Brig Barge, Bermuda Ship, Main Warship		
651	Incendiary Bomb[Right] 	\nยิงปืนไฟไปทางขวา ทำให้ทะเลเป็นเพลิง ทำความเสียหายต่อเนื่อง50 แต้ม\n\nเหมาะกับ: Armed Brig Barge, Bermuda Ship, Main Warship	\nยิงปืนไฟไปทางขวา ทำให้ทะเลเป็นเพลิง ทำความเสียหายต่อเนื่อง50 แต้ม\n\nเหมาะกับ: Armed Brig Barge, Bermuda Ship, Main Warship		
652	Machine Gun[Right] 	\nยิงโจมตีทางขวาต่อเนื่อง แต่ละนัดทำความเสียหาย 100 แต้ม\n\nเหมาะกับ: Armed Brig Barge, Bermuda Ship, Main Warship	\nยิงโจมตีทางขวาต่อเนื่อง แต่ละนัดทำความเสียหาย 100 แต้ม\n\nเหมาะกับ: Armed Brig Barge, Bermuda Ship, Main Warship		
653	Strength Gun[Right] 	\nยิงระเบิดไปทางขวา ทำให้เรือที่อยู่ในเส้นทางเกิดความเสียหาย 500 แต้ม\n\nเหมาะกับ: Armed Brig Barge, Bermuda Ship, Main Warship	\nยิงระเบิดไปทางขวา ทำให้เรือที่อยู่ในเส้นทางเกิดความเสียหาย 500 แต้ม\n\nเหมาะกับ: Armed Brig Barge, Bermuda Ship, Main Warship		
654	Iron Ball[Right] 	\nยิง Iron Ball จากทางขวาของเรือ ทำให้เกิดความเสียหาย 150 แต้ม และทำให้เกิดคลื่น มีผลกระทบต่อความเร็วเรือของศัตรู\n\nประเภทเรือที่ต้องการ: Armed Brig Barge, Bermuda Ship, Main Warship	\nยิง Iron Ball จากทางขวาของเรือ ทำให้เกิดความเสียหาย 150 แต้ม และทำให้เกิดคลื่น มีผลกระทบต่อความเร็วเรือของศัตรู\n\nประเภทเรือที่ต้องการ: Armed Brig Barge, Bermuda Ship, Main Warship		
655	Aerosol Bomb[Right] 	\nยิง Smoke Bomb จากทางขวาของเรือ ทำให้เพื่อนที่อยู่ในควันได้รับค่าหลบหลีกเพิ่มขึ้น 50%\n\nประเภทเรือที่ต้องการ: Armed Brig Barge, Bermuda Ship, Main Warship\n	\nยิง Smoke Bomb จากทางขวาของเรือ ทำให้เพื่อนที่อยู่ในควันได้รับค่าหลบหลีกเพิ่มขึ้น 50%\n\nประเภทเรือที่ต้องการ: Armed Brig Barge, Bermuda Ship, Main Warship\n		
1003	Fetters Friendship	เลือกเพื่อนของท่านเป็นเป้าหมาย เมื่อกดใช้สามารถกระโดดไปยังพื้นที่ที่เพื่อนอยู่	เลือกเพื่อนของท่านเป็นเป้าหมาย เมื่อกดใช้สามารถกระโดดไปยังพื้นที่ที่เพื่อนอยู่		
2950	Joint Jump	ส่งสัญญาณให้ผู้เล่นคนอื่นๆที่อยู่ภายใน 5 เมตร เตรียมพร้อมในการใช้ Premium Jump ผู้เล่นที่ได้รับสัญญาณนี้จะมีปุ่ม Premium Jump เด้งขึ้นมา ผู้เล่นจะต้องคลิกปุ่มนั้นก่อนที่จะหายไปเพื่อทำการ Premium Jump ส่วนการใช้ Joint Jump จะไม่มีผลต่อตนเอง	ส่งสัญญาณให้ผู้เล่นคนอื่นๆที่อยู่ภายในใน 5 เมตร เตรียมพร้อมในการใช้ Premium Jump ผู้เล่นที่ได้รับสัญญาณนี้จะมีปุ่ม Premium Jump เด้งขึ้นมา ผู้เล่นจะต้องคลิกปุ่มนั้นก่อนที่จะหายไปเพื่อทำการ Premium Jump ส่วนการใช้ Joint Jump จะไม่มีผลต่อตนเอง		
2952	Premium Jump	สามารถกระโดดได้สูงขึ้นในความช่วยเหลือจากเพื่อน	สามารถกระโดดได้สูงขึ้นในความช่วยเหลือจากเพื่อน		
2954	Super Jump	การ Premium Jump ตอนที่อยู่ในสถานะ Soul Gather สามารถกระโดดได้สูงขึ้น	การ Premium Jump ตอนที่อยู่ในสถานะ Soul Gather สามารถกระโดดได้สูงขึ้น		
2955	Magic Circle	ส่งสัญญาณให้ผู้เล่นคนอื่นๆที่อยู่ภายใน 17.5 เมตร ผู้เล่นที่ได้รับสัญญาณนี้จะมีปุ่มเด้งขึ้นมา เป้าหมายจะต้องคลิกปุ่มนั้นก่อนที่จะหายไป ท่านสามารถเปิด Magic Circle เพื่อลากเป้าหมายมายังตำแหน่งที่ท่านกำหนด	ส่งสัญญาณให้ผู้เล่นคนอื่นๆที่อยู่ภายใน 17.5 เมตร ผู้เล่นที่ได้รับสัญญาณนี้จะมีปุ่มเด้งขึ้นมา เป้าหมายจะต้องคลิกปุ่มนั้นก่อนที่จะหายไป ท่านสามารถเปิด Magic Circle เพื่อลากเป้าหมายมายังตำแหน่งที่ท่านกำหนด		
2956	Active Magic Circle	คลิกที่ปุ่ม ให้เพื่อนที่สร้าง Magic Circle ย้ายท่านไปที่นั่น	คลิกที่ปุ่ม ให้เพื่อนที่สร้าง Magic Circle ย้ายท่านไปที่นั่น		
2957	Energy Absorb	นำพลังเวทย์ 25 แต้ม ส่งให้เป้าหมาย	นำพลังเวทย์ 25 แต้ม ส่งให้เป้าหมาย		
2960	Team Energy Call	เมื่อส่ง Team Energy Call คนที่อยู่ภายใน 7.5 เมตร จะมีปุ่มเด้งขึ้น เมื่อคลิกจะสามารถเข้าร่วมการเรียกร้องของทีมได้ ทำให้ตนเองและผู้เล่นที่อยู่รอบๆฟื้นฟูค่ากำลัง 25 แต้ม และได้รับ Soul Gather 1 ขั้น	เมื่อส่ง Team Energy Call เพื่อนที่อยู่ภายใน 7.5 เมตร จะมีปุ่มเด้งขึ้น เมื่อคลิกจะสามารถเข้าร่วมการเรียกร้องของทีมได้ ทำให้ตนเองและผู้เล่นที่อยู่รอบๆฟื้นฟูค่ากำลัง 25 แต้ม และได้รับ Soul Gather 1 ขั้น		
2961	Team Energy Call	คลิกเพื่อทำการเรียกพลังงานทั้งทีม	คลิกเพื่อทำการเรียกพลังงานทั้งทีม		
2965	Team Defensive Call	เมื่อใช้ Team Defensive  Callแล้ว คนที่อยู่ในบริเวณ 7.5 เมตร จะมีปุ่มเด้งขึ้น เมื่อคลิกตนเองและผู้เล่นที่อยู่ในบริเวณมีผลของ Team Defensive Call 4 นาที ซ้อนได้ 5 ขั้น Team Defensive Call: เพิ่มพลังชีวิตสูงสุด $ADD_HPMAX ป้องกันมึนงงและคำสาป$ADD_ANTI_STUN	เมื่อใช้Team Defensive  Callแล้ว คนที่อยู่ในบริเวณ 7.5 เมตร จะมีปุ่มเด้งขึ้น เมื่อคลิกตนเองและผู้เล่นที่อยู่ในบริเวณมีผลของTeam Defensive Call 4 นาที ซ้อนได้ 5 ขั้น Team Defensive Call: เพิ่มพลังชีวิตสูงสุด $ADD_HPMAX ป้องกันมึนงงและคำสาป$ADD_ANTI_STUN		ADD_HPMAX(1)(1);ADD_ANTI_STUN(2)(1);ADD_ANTI_CURSE(2)(1)
2966	Team Defensive Call	คลิกปุ่มเพื่อดำเนินการTeam Defensive Call!	คลิกปุ่มเพื่อดำเนินการTeam Defensive Call!		
2968	Team Attacking Call	เมื่อใช้Team Attacking Callแล้ว คนที่อยู่ภายใน 7.5 เมตรจะมีปุ่มเด้งขึ้น เมื่อคลิกตนเองและผู้เล่นที่อยู่ในบริเวณมีผลของ Team Attacking Call  4 นาที ซ้อนได้ 5 ขั้น Team Attacking Call: เพิ่มโจมตีกายภาพและโจมตีเวทย์ $ADD_DAMMIPHYSICS	เมื่อใช้ Team Attacking Callแล้ว คนที่อยู่ภายใน 7.5 เมตรจะมีปุ่มเด้งขึ้น เมื่อคลิกตนเองและผู้เล่นที่อยู่ในบริเวณมีผลของTeam Attacking Call  4 นาที ซ้อนได้ 5 ขั้น Team Attacking Call: เพิ่มโจมตีกายภาพและโจมตีเวทย์ $ADD_DAMMIPHYSICS		ADD_DAMMIPHYSICS(1)
2969	Team Attacking Call	คลิกปุ่มเพื่อดำเนินการTeam Attacking Call!	คลิกปุ่มเพื่อดำเนินการTeam Attacking Call!		
2971	Sunbeam	โจมตีศัตรูในบริเวณ 17 เมตร คนที่อยู่ใน 7.5 เมตรจะมีปุ่มเด้งขึ้น หากมีคนกดปุ่มครบ 3 คน ท่านจะสามารถใช้ Sunbeam สกิลนี้สามารถโจมตีศัตรูได้ 10 คน ทำให้เกิดความเสียหายจากเวทย์ 275% และจากโจมตีกายภาพ\nหากมีคนกด 4 คน อานุภาพจะเพิ่มขึ้น: โจมตีเวทย์และกายภาพ 400%	โจมตีศัตรูในบริเวณ 17 เมตร คนที่อยู่ใน 7.5 เมตรจะมีปุ่มเด้งขึ้น หากมีคนกดปุ่มครบ 3 คน ท่านจะสามารถใช้ Sunbeam สกิลนี้สามารถโจมตีศัตรูได้ 10 คน ทำให้เกิดความเสียหายจากเวทย์ 275% และจากโจมตีกายภาพ\nหากมีคนกด 4 คน อานุภาพจะเพิ่มขึ้น: โจมตีเวทย์และกายภาพ 400%		
2972	Sunbeam	คลิกปุ่มเพื่อดำเนินการ Sunbeam!	คลิกปุ่มเพื่อดำเนินการ Sunbeam!		
2973	Sunbeam				
2975	Pray All	โจมตีศัตรูที่อยู่ใน 20 เมตรด้วย Pray All คนที่อยู่ใน 7.5 มตรจะมีปุ่ม Advance Pray All เด้งขึ้น หากมีผู้เล่นกดปุ่ม 2 คน จะมีโอกาสลากศัตรูเข้ามา	โจมตีศัตรูที่อยู่ใน 20 เมตรด้วย Pray All คนที่อยู่ใน 7.5 มตรจะมีปุ่ม Advance Pray All เด้งขึ้น หากมีผู้เล่นกดปุ่ม 2 คน จะมีโอกาสลากศัตรูเข้ามา		
2976	Advance Pray All	กดปุ่มเพื่อลากศัตรูเข้ามา!	กดปุ่มเพื่อลากศัตรูเข้ามา!		
2978	Life Transfer	เสียสละ HP โจมตีกายภาพและโจมตีเวทย์ 125% เพื่อเพิ่มชีวิตให้เป้าหมาย อาจทำให้ตนเองตายได้ การใชสกิลนี้ต้องคำนวนให้ดี	เสียสละ HP โจมตีกายภาพและโจมตีเวทย์ 125% เพื่อเพิ่มชีวิตให้เป้าหมาย อาจทำให้ตนเองตายได้ การใชสกิลนี้ต้องคำนวนให้ดี		
3000	First Strike Bite	กัดเป้าหมายตรงหน้า\n[โจมตีกายภาพ]	กัดเป้าหมายตรงหน้า\n[โจมตีกายภาพ]		
3001	Hopping Attack	โจมตีด้วยการกระโดด\n[โจมตีกายภาพ]	โจมตีด้วยการกระโดด\n[โจมตีกายภาพ]		
3002	Bite	โจมตีเป้าหมายที่ล้มอยู่\n[โจมตีกายภาพ]	โจมตีเป้าหมายที่ล้มอยู่\n[โจมตีกายภาพ]		
3003	Bitten				
3004	Bitten				
3005	Bitten				
3006	Bitten				
3007	Busted(performing)				
3008	Stun 3 seconds(performing skill)				
3009	Hopping Attack				
3010	Enemy Scan				
3011	Hunt Lap				
3012	Pinch Bite				
3013	Hunt Lap				
3014	Bite				
3020	Straight Cutter	ใช้อาวุธโจมตีเป้าหมาย\n[โจมตีกายภาพ]	ใช้อาวุธโจมตีเป้าหมาย\n[โจมตีกายภาพ]		
3022	Throwing Dart	ใช้ลูกดอกโจมตีเป้าหมาย\n[โจมตีกายภาพ]	ใช้ลูกดอกโจมตีเป้าหมาย\n[โจมตีกายภาพ]		
3024	Shield Attack	มีโอกาสโจมตีให้ศัตรูถอยตัว\n[โจมตีกายภาพ]\n\nต้องการ: ระดับความพอใจ 25 ขึ้นไป	มีโอกาสโจมตีให้ศัตรูถอยตัว\n[โจมตีกายภาพ]\n\nต้องการ: ระดับความพอใจ 25 ขึ้นไป		
3025	Advance Shield Attack	มีโอกาสโจมตีให้ศัตรูล้ม\n[โจมตีกายภาพ]\n\nต้องการ: ระดับความพอใจ 50 ขึ้นไป	มีโอกาสโจมตีให้ศัตรูล้ม\n[โจมตีกายภาพ]\n\nต้องการ: ระดับความพอใจ 50 ขึ้นไป		
3026	Horizontal Slash	บิดตัวฟันโจมตีหลายเป้าหมาย\n[โจมตีกายภาพ]	บิดตัวฟันโจมตีหลายเป้าหมาย\n[โจมตีกายภาพ]		
3027	Hacking	โจมตีหลายเป้าหมาย มีโอกาสโจมตีให้ศัตรูถอยตัว\n[โจมตีกายภาพ]\n\nต้องการ: ระดับความพอใจ 25 ขึ้นไป	โจมตีหลายเป้าหมาย มีโอกาสโจมตีให้ศัตรูถอยตัว\n[โจมตีกายภาพ]\n\nต้องการ: ระดับความพอใจ 25 ขึ้นไป		
3028	Advance Hacking	โจมตีหลายเป้าหมาย มีโอกาสโจมตีให้ศัตรูล้ม\n[โจมตีกายภาพ]\n\nต้องการ: ระดับความพอใจ 50 ขึ้นไป	โจมตีหลายเป้าหมาย มีโอกาสโจมตีให้ศัตรูล้ม\n[โจมตีกายภาพ]\n\nต้องการ: ระดับความพอใจ 50 ขึ้นไป		
3029	Sharpening	เพิ่มพลังโจมตีให้ตนเอง\n\nต้องการ: ระดับความพอใจ 75 ขึ้นไป	เพิ่มพลังโจมตีให้ตนเอง\n\nต้องการ: ระดับความพอใจ 75 ขึ้นไป		
3030	Break Point Bone	เพิ่มป้องกันและเพิ่มความเร็วในการฟื้นเลือดให้ตนเอง\n\nต้องการ: ระดับความพอใจ 75 ขึ้นไป	เพิ่มป้องกันและเพิ่มความเร็วในการฟื้นเลือดให้ตนเอง\n\nต้องการ: ระดับความพอใจ 75 ขึ้นไป		
3031	Provoke	ยั่วยุทำให้ฝ่ายตรงข้ามเสียพลังป้องกัน\n\nต้องการ: ระดับความพอใจ 75 ขึ้นไป	ยั่วยุทำให้ฝ่ายตรงข้ามเสียพลังป้องกัน\n\nต้องการ: ระดับความพอใจ 75 ขึ้นไป		
3040	Claw				
3041	Lion Roar				
3042	Rampage				
3043	Rampage				
3044	Advance Rampage				
3045	Worry				
3046	Alert				
3047	Roar				
3048	Black Fire Claw				
3049	Black Fire Call				
3050	Lion Roar				
3060	Right Hook				
3061	Throwing Stones				
3062	Earthquake				
3063	Earthquake				
3064	Earthquake				
