n_ID	s_TIP_SUBJECT	s_TIP_WORDS
34	บัตรลบ	ลบอัญมณีที่เลือกและอัญมณีที่อยู่รอบๆ
35	บัตรเปลี่ยนสีอัญมณี	เปลี่ยนสีอัญมณีที่เลือกเป็นสีอื่น
36	บัตรลบสีเหมือนกัน	ลบอัญมณีที่สีเหมือนกันทั้งหมด
37	บัตร 2 เท่า	สามารถเพิ่มคะแนนที่ได้รับเป็น 2 เท่า
38	บัตรลบ	สุ่มลบคำตอบผิด 2 ข้อ
39	บัตรผ่าน	ไม่ต้องเลือกคำตอบ ข้อนี้จะคิดถูกให้ฟรีๆ!
40	บัตรคะแนนเพิ่มเท่า	ยกเลิกคะแนนและเพิ่มเป็น 2 เท่า เป็นเวลา 30 วินาที
41	บัตรสุ่ม	สุ่มลบธาตุ 3 กลุ่มที่หน้าจอ
42	บัตรแสดงการลบ	แสดงธาตุที่สามารถลบได้ 1 กลุ่ม
43		สามารถใส่ผลึกหรือคริสตัลได้\nสามารถใส่ส่วนบำรุงได้
44	เรียกลูกเรือกลับ	
45	ลูกเรือเสียชีวิต ไม่สามารถเรียกกลับได้	
46		ใช้ 1 Token สามารถวิ่งได้ 1 รอบ
47		อัตราการผลิตคุณภาพที่เหมือนกัน
48		ค่าความสนิท: $V1 
49	ระบบ Field Guide 	ตรวจดู Field Guide ที่สะสมได้ในปัจจุบัน
50	Figures 	ตรวจดู Figures ที่สะสมได้ในปัจจุบัน
51	สมุดร่างภาพการเดินทาง	ตรวจดูภาพร่างการเดินทางที่สะสมได้ในปัจจุบัน
52	สมุดบันทึกสมบัติ	ตรวจดูสมบัติที่สะสมได้ในปัจจุบัน
53	สมุดร่างภาพแผนที่ดันเจี้ยน	ตรวจแผนที่ดันเจี้ยนที่สะสมได้ในปัจจุบัน
54		เปิดดูโพสทั้งหมด
55		สัญลักษณ์อีโมชั่น
56		เวลาข้อความฝา
57		จำนวนข้อความฝาก
58		เข้าแชนแนลที่ตั้งค่าเอง ถ้าแชนแนลไม่มีอยู่ ระบบจะเพิ่มแชนแนลใหม่ให้
59		เลือกข้อมูลของเพื่อนที่โดนบล็อคไปแล้ว
60		เวลาต่อเนื่อง(วินาที): 
61		แสดงสถานะอินเตอร์เน็ตปัจจุบัน
62		แสดงเวลากลางวันและกลางคืนในเกม
63		แสดงบริการทั้งหมดในปัจจุบัน
64		เปลี่ยนรูปแบบแผนที่
65		ตั้งค่าเงื่อนไขใช้ของฟื้นฟูอัตโนมัติ
66		พิกัดผู้เล่นในปัจจุบัน
67		เวลาจริงในปัจจุบัน
68		ทำท่าทาง
69		โกรธ
70		ดีใจ
71		เสียใจ
72		โบกมือ
73		GO!
74		ต้อนรับ
75		ขอร้อง
76		แท็กมือ
77		สำเร็จ
78		ล้มเหลว
79		มาสัมผัสความสนุกของเกมนี้กันเถอะ! เวลาอยู่ในระบบของผู้เล่น: $V1 :$V2 น.
80		พักหน่อย!เวลาอยู่ในระบบของผู้เล่น: $V2:$V3 น.
81		เล่นเกมนาน เป็นอันตรายต่อสุขภาพ พักสายตาก่อนสิ!เวลาอยู่ในระบบของผู้เล่น: $V2:$V3 น.
82		ร้านค้า
83		สนามฝากขาย
84		ฝึกสกิล
85		คลัง
86		เจ้าหน้าที่ท่าเรือ
87		ทางเข้าดันเจี้ยน
88		จุดทหารเรือ
89		จุดโจรสลัด
90		จุดร่าง Field Guide 
91		ผู้เล่น
92		เพื่อนในทีม
93		สิ่งมีชีวิตที่เป็นมิตร
94		สิ่งมีชีวิตที่เป็นศัตรู
95		ผู้เล่นทหารเรือ
96		ผู้เล่นโจรสลัด
97		ภารกิจที่สามารถรับได้
98		ภารกิจที่สามารถส่งได้
99		ภารกิจรายวันที่สามารถรับได้
100		ภารกิจรายวันที่สามารถส่งได้
101		ผ่านดันเจี้ยนในเวลาที่กำหนด จะได้รับเกรด [SSS] ในรายการนี้
102		ทีมที่กำจัดมอนสเตอร์ตามจำนวนที่กำหนดจะได้ รับเกรด [SSS] ในรายการนี้ (แต่ไม่ใช่มอนสเตอร์ทุกตัวที่นับรวมในจำนวนนี้)
103		พระราชวัง Atlantis 
104		เปิดหน้าร้านค้า
105		ตรวจดูข้อมูลและเครื่องสวมใส่ผู้เล่น
106		เปิดหน้ากระเป๋า
107		ทำ Field Guide ของแผนที่ให้สำเร็จ และคลิกปุ่มนี้จะได้รับกุญแจพิเศษสำหรับแผนที่นี้ กรุณาใช้กุญแจหาสมบัติก่อนที่มันจะหายไป!
108		เกี่ยวกับเครื่องสวมใส่
109		เปิดหน้าภารกิจ
110		รับรางวัลทุกวัน
111		สามารถหลอมได้ผลึกหลากหลายชนิด
112		ดูภาพยนต์ในเกม
113		เปิดหน้าอธิบาย
114		ผู้กล้าของแต่ละพื้นที่
115		ตรวจสอบความสำเร็จของตนเอง
116		ออกจากเกม
117		เปิดหน้าห้องเก็บเหล้า หมักเหล้าที่ใช้ได้นานาชนิด
118		เปลี่ยนแชนแนล
119		สเตตัสตัวละคร
120		สกิล
121		เพื่อน
122		บัญชีดำ
123		จดหมาย
124		กิลด์
125		ทีม
126		หมักเหล้า
127		เสริมพลังเครื่องสวมใส่
128		ย้ายค่าตีบวกไปยังเครื่องสวมใส่อื่น
129		ฝังประดับผนึกลงบนเครื่องสวมใส่
130		หลอมซ้ำเครื่องสวมใส่ 5 ชิ้น เพื่อเปลี่ยนเป็นเครื่องสวมใส่อันใหม่
131		เปลี่ยนสีเครื่องสวมใส่ภายนอก
132		หล่อ
133	อาวุธมือขวา	
134	อาวุธมือซ้าย	
135		ตั้งค่าระบบ
136		ตั้งค่าคีย์ลัด
137		ตั้งค่าเกม (อนุญาติคำเชิญเป็นต้น)
138		Field Guide 
139		ในชั้นเก็บของมีอุปกรณ์รูปลักษณ์ภายนอก
140		คำสั่งอีโมชั่น
141		ประกาศ
142		นำสัตว์เลี้ยงผสมเป็นลูกเรือ
143	ชั้นวางของ	เปิดหน้าชั้นวางของ
144	หน้าที่แล้ว	
145	หน้าต่อไป	
146		เก็บลูกเรือทั้งหมด
147		เก็บบสัตว์เลี้ยงทั้งหมด
148		เส้นทางที่มองเห็นตอนนี้
149		ขยายใหญ่
150		ย่อเล็ก
151		ตำแหน่งที่อยู่ปัจจุบันของผู้เล่น
152		ตัวละครของผู้เล่นหันหน้าไปที่
153		ติ๊กถูกเพื่อใช้ยาฟื้นฟูอัตโนมัติ
154		เลือกพลังชีวิตน้อยกว่าเท่าไหร่จึงจะใช้ยาฟื้นฟูได้ (เติมครั้งเดียวเต็มหลอด)
155		จะต้องกดรับไอเทมก่อนจึงจะเริ่มนับถอยหลัง
156		จะต้องกดรับไอเทมก่อนจึงจะเริ่มนับถอยหลัง
157		จะต้องกดรับไอเทมก่อนจึงจะเริ่มนับถอยหลัง
158		จะต้องกดรับไอเทมก่อนจึงจะเริ่มนับถอยหลัง
159		จะต้องกดรับไอเทมก่อนจึงจะเริ่มนับถอยหลัง
160		สอดส่อง
161		ข้อมูลเรือปัจจุบัน
162		ไป Guild Island จะต้องใช้ค่าขวัญ 2 แต้ม (เลเวลกิลด์จะต้องถึงเลเวล 3)
163		จำนวนวางขายปัจจุบัน/จำนวนวางขายสูงสุด
164		หักไอเทมแล้วจะทำให้ระดับความพอใจฟื้นฟูเต็ม
165		ระดับความพอใจ: $V1 
166		 $V1 /$V2
167		ใช้ยาเพิ่มค่าสเตตัสแล้ว (ยาแต่ละระดับมีผลต่างกัน)
168	แชนแนลเพื่อน 1	สามารถใส่/1+Spacebarเปลี่ยนมาเป็นแชนแนลของตนเองหรือเข้าแชนแนลเพื่อน
169	แชนแนลเพื่อน 2	สามารถใส่/2+Spacebarเปลี่ยนมาเป็นแชนแนลของตนเองหรือเข้าแชนแนลเพื่อน
170	แชนแนลเพื่อน 3	สามารถใส่/3+Spacebarเปลี่ยนมาเป็นแชนแนลของตนเองหรือเข้าแชนแนลเพื่อน
171	เปลี่ยนการตั้งค่า A	ตั้งค่าแสดงผลการเปลี่ยนหน้าจอแชทไปยังช่องทาง A
172	เปลี่ยนการตั้งค่า B	ตั้งค่าแสดงผลการเปลี่ยนหน้าจอแชทไปยังช่องทาง B
173	เปลี่ยนการตั้งค่า C	ตั้งค่าแสดงผลการเปลี่ยนหน้าจอแชทไปยังช่องทาง C
174		ตรวจดูประวัติการเล่น
175		เปิดแผนที่
176		เปิดหน้าเกม
177	วาร์ป	
178	ร้านค้า	
179	คลัง	
180	ฝากขาย	
181	เรียนสกิล	
182	เจ้าหน้าที่ดันเจี้ยน	
183	ค่ายทหารเรือ	
184	ดันเจี้ยน [Falling Sun] 	
185	ดันเจี้ยน [ Arena ] 	
186	ดันเจี้ยน [Poseidon Treasury] 	
187	ดันเจี้ยน [Kraken Lair] 	
188	ดันเจี้ยน [Hell Trial] 	
189	ดันเจี้ยน [Skyfire Tower] 	
190	จุดร่าง Field Guide 	
191	รางวัลสมบัติ Field Guide 	
192	Commercial Pier	
193	Military Pier	
194	Navy Headquarter	
195	Business Zone	
196	Top Grade Residential	
197	Royal Plaza	
198	Guard Encampment	
199	Battleship	
200	South Seaside	
201	East Seaside	
202	North Seaside	
203	Exile Encampment	
204	Seaside	
205	Chamber Encampment	
206	Green Corridor	
207	Weird Forest	
208	Ancient Remain	
209	Selling Market	
210	Slave Fighting Field	
211	Barren Alley	
212	Miasma Swamp	
213	Blackwater Pool	
214	Evil Town	
215	Sea Snake Fortress	
216	Foothill Zone	
217	Cannon Position	
218	Old Logging Field	
219	Clash Zone	
220	Karst Cave Entrance	
221	Treasure Cave	
222	Acute Corridor	
223	Treasury Restricted Zone	
224	Dragon Ramp	
225	Navy Station	
226	Tribe Mass Graves	
227	Voodoo Tribe	
228	Dead Wood	
229	Ancient Remain	
230	Silver Town	
231	Frozen Dragon	
232	Silver Peak	
233	Broken Floating Ice	
234	Frozen Alley	
235	Outside Wasteland	
236	Ghost Town	
237	Coastal Reef group	
238	Monster Bones	
239	Giant Catapult Tower	
240	Crystal Narrow Road	
241	Crater Temple	
242	Lava Highland	
243	Southwest Waterfront	
244	Monster Plain	
245	Eden Prairie	
246	Abandoned Village	
247	Ark Wreckage	
248	Eden Village	
249	Floating Rock Island	
250	 Hijack  Factory	
251	Airship Pier	
252	Drake Battle Fort	
253	Wasteland	
254	Airship Pier	
255	Central Tower	
256	North Plaza	
257	South Plaza	
258	Arsenal	
259	Research Center Ruin	
260	กู้คืน Drift Wooden box	
261	ช่วยเหลือผู้รอดชีวิต	ไม่ให้พวกเขาตาย
262		เก็บสัตว์เลี้ยงทั้งหมด
263	ปลดล็อกเครื่องสวมใส่	ยกเลิกสถานะคุ้มครองของเครื่องสวมใส่ 1 อัน เมื่อปลดล็อกแล้ว 3 วันจึงจะมีผล
264	เครื่องประดับหัว	
265	เกราะ	
266	กางเกง	
267	ถุงมือ	
268	รองเท้า	
269	สร้อย	
270	ข้อมือ	
271	แหวน	
272	เหรียญตรา	
273	ของศักดิ์สิทธิ์	
274	Sword Soul 	
275	มือหลัก 1	
276	มือรอง 1	
277	มือหลัก 2	
278	มือรอง 2	
279	มือหลัก 3	
280	มือรอง 3	
281	เพื่อนร่วมเดินทาง	
282	รูปลักษณ์ส่วนหัว	
283	รูปลักษณ์เกราะ	
284	รูปลักษณ์กางเกง	
285	รูปลักษณ์ส่วนหลัง	
286	รูปลักษณ์ใบหน้า	
287	รูปลักษณ์ปลอกขา	
288	หมุนหลัง	หมุนตัวละครไปข้างหลังในแนวตั้ง
289	หมุนหน้า	หมุนตัวละครไปข้างหน้าในแนวตั้ง
290	หมุนซ้าย	หมุนตัวละครไปทางซ้ายในแนวตั้ง
291	หมุนขวา	หมุนตัวละครไปทางขวาในแนวตั้ง
292	ขยายตัวละคร(สามารถใช้scrollเมาส์)	เลื่อน scroll เมาส์ขึ้นให้ตัวละครใหญ่ และเลื่อน scroll เมาส์ลงเพื่อย่อตัวละคร
293	ลงจากสัตว์ขี่/พาหนะ	ลงจากสัตว์ขี่หรือพาหนะที่โดยสารอยู่ปัจจุบัน
294	หลัก	โจมตีศัตรูที่อยู่รอบๆ บริเวณก่อน
295	ติดตัว	เมื่อตนเองหรือผู้เล่นถูกโจมตีถึงจะโจมตีกลับ
296	ช่วยเหลือ	โจมตีเป้าหมายที่ผู้เล่นเริ่มโจมตี
297	สแตนด์บาย	ไม่โจมตี
298	พลัง	ค่าพลังทุกๆ 1 แต้มจะเพิ่มความเสียหายจากกายภาพ 5 แต้ม
299	กาย	ค่ากายทุกๆ 1 แต้มจะเพิ่มพลังชีวิต 66 แต้ม
300	ว่องไว	ค่าว่องไวทุกๆ 1 แต้มจะเพิ่มโจมตีหนักกายภาพ 3.5 แต้ม
301	รู้สึก	ค่ารู้สึกทุกๆ 1 แต้มจะเพิ่มโจมตีหนักเวทย์ 3.5 แต้ม
302	ปัญญา	ค่าปัญญาทุกๆ 1 แต้มสามารถเพิ่มพลังเวทย์ 5 แต้ม
303	แผนที่	เพิ่มเงื่อนไขแผนที่ที่ตัวละครอยู่
304	เลเวล	เพิ่มเงื่อนไขเลเวลของตัวละคร
305	ทีม	เพิ่มเงื่อนไขตัวละครว่าอยู่ในทีมหรือไม่
306	กิลด์	เพิ่มเงื่อนไขตัวละครเข้าร่วมกิลด์แล้วหรือไม่
307	ไม่สามารถเปิดได้	จะต้องเปิดช่วงที่ 2 ก่อนจึงจะเปิดช่องที่ 3 ได้!
308	ค้นหา Red Gem	
309	ปุ่มขึ้น	เคลื่อนตัวละครไปด้านบน\nนอกจากนั้นยังสามารถคลิกขวาและเลื่อนซ้ายขวาได้อีกด้วย
310	ปุ่มลง	เคลื่อนตัวละครไปด้านล่าง\nนอกจากนั้นยังสามารถคลิกขวาและเลื่อนซ้ายขวาได้อีกด้วย
311	ปุ่มซ้าย	เคลื่อนตัวละครไปด้านซ้าย\nนอกจากนั้นยังสามารถคลิกขวาและเลื่อนซ้ายขวาได้อีกด้วย
312	ปุ่มขวา	เคลื่อนตัวละครไปด้านขวา\nนอกจากนั้นยังสามารถคลิกขวาและเลื่อนซ้ายขวาได้อีกด้วย
313	ปุ่มเหาะ	เมื่อคลิกจะเข้าสู่สถานะบิน (คีย์ลัดเริ่มต้น: Spacebar)
314		เมื่อคลิกจะร่อนลงช้าๆ (คีย์ลัดเริ่มต้น: Spacebar)
315	พื้นที่ประสิทธิผลของสถานะผู้เล่น	แสดงสถานะด้านบวกและลบที่ผู้เล่นมีอยู่ เมื่อคลิกสามารถเปลี่ยนหน้าต่างเป็นสถานะสามารถลากได้
316	พื้นที่ที่สามารถเหาะได้	เมื่อผู้เล่นต้องการเหาะเหินในพื้นที่นี้ สามารถกดปุ่มเหาะ (คีย์ลัดเริ่มต้น: Spacebar)
317	ตั้งค่าแชนแนล	คลิกเพื่อเปิดหน้าตั้งค่า
318	สัญลักษณ์อีโมชั่น	มีอีโมชั่นต่างๆให้เลือกใช้!
319	เมนูหลัก	รายชื่อฟังก์ชั่นที่ใช้บ่อยในเกม สามารถคลิกขวาที่เมนูได้ ตั้งค่าไปยังช่องคีย์ลัดด้านล่าง
320	ตั้งค่าคีย์ลัด	เมื่อคลิกสามารถตั้งค่าจำนวนหรือความเล็กใหญ่ของคีย์ลัดได้; สามารถลากเพื่อย้ายลงมายังช่องคีย์ลัดได้
321		รางวัลพิเศษ 3 อย่าง สามารถกดรับได้เมื่อนับเวลาถอยหลังเสร็จแล้ว 
322		การตั้งค่านี้จะมีผลต่อเมื่อปิดและเปิดเกมใหม่
323		เมื่อแก้ไขแล้ว สามารถจัดเรียงรูปแบบหัว, หน้า, ผมหรือร่างกายได้
324		1. จะต้องมี [หยกวิญญาณลูกเรือ] จึงจะทำการอัพเกรดได้ สามารถซื้อ [Soul Jade  Change Log] ได้ในร้านค้า และนำ [ไอเทมเก็บของลูกเรือ] ที่ไม่ต้องการไปเปลี่ยนเป็นหยกวิญญาณได้\n2. จะต้องมี [ไอเทมเพิ่มโอกาส] จึงจะอัพเกรดได้ ดรอปจาก BOSS ทุกตัว
325		สามารถเปิดหรือปิดรายละเอียดข้อมูลได้
326		เพิ่มคุณภาพให้กับลูกเรือ สามารถเสริมพลังทำลายและเพิ่มพลังชีวิตสูงสุด
328		สามารถปิดและเปิดหน้าติดตามภารกิจ
329	แชนแนลทั่วไป	สามารถใส่/s+Spacebarในช่องแชทเพื่อเปลี่ยนแชนแนล
330	แชนแนลลับ	สามารถใส่ /t หรือ /w+Spacebar ในช่องแชทสามารถเปลี่ยนช่องได้
331	แชนแนลทีม	สามารถใส่ /p+Spacebar ในช่องแชทเพื่อเปลี่ยนแชนแนล
332	แชนแนลกิลด์	สามารถใส่ /g+Spacebar ในช่องแชทเพื่อเปลี่ยนแชนแนล
333	แชนแนลรวม	สามารถใส่ /y+Spacebar ในช่องแชทเพื่อเปลี่ยนแชนแนล
334	แชนแนลบาปกำเนิด	สามารถใส่ /d+Spacebar ในช่องแชทเพื่อเปลี่ยนแชนแนล
335		ตั้งค่าเงาตัวละครและมอนสเตอร์
336		ตั้งค่าเงาวัตถุในแผนที่ (สิ่งก่อสร้างหรือพืช)
337		ความละเอียดของแผนที่\nการตั้งค่านี้จะต้องเปิดเกมใหม่จึงจะมีผล
338		ความละเอียดของตัวละคร\nการตั้งค่านี้จะต้องเปิดเกมใหม่จึงจะมีผล
339		เปิด\ปิดเอฟเฟคท้องฟ้า
340		เอฟเฟคแสงลำตัว
341		ปรับความสว่าง ตั้งค่ารูปแบบ 0~100%
342		ลบรอยขรุขระ ให้ภาพเรียบเนียน
343		เอฟเฟคพิเศษในการต่อสู้
344		ภาพที่ไกลตัวละครเท่าไหร่ก็ยิ่งมัวขึ้นเท่านั้น
345		เอฟเฟคน้ำ
346		แสดงข้อมูลบนหัวตัวละคร เมื่อเลือกแล้วจะแสดงขึ้นมา
347		แสดงข้อมูลบนหัว NPC และมอนสเตอร์ เมื่อเลือกแล้วจะแสดงขึ้นมา\nตัวเลือกชื่อรวมชื่อและฉายาด้วย
348		ตั้งค่าแสดงและไม่แสดงผู้เล่นอื่น และแสดงจำนวนตัวละคร\nเมื่อเลือกแล้วจะแสดงผู้เล่นอื่นๆ (ไม่รวมเพื่อนในทีม)
349		แสดงของส่วนหัวตัวละคร\nโชว์: แสดงเครื่องสวมใส่ ผมจะถูกบังไว้\n ไม่แสดง: แสดงแค่ทรงผม\nบังคับแสดง: แสดงทรงผมและเครื่องสวมใส่ (แต่อาจมีทรงผมเล็ดลอดออกมาดูไม่เป็นธรรมชาติ)
350		เมื่อมีภาพเคลื่อนไหวสามารถกด ESC เพื่อข้ามได้
351		แสดงเส้นกรอบตัวละครและเป้าหมาย (ไม่เหมือนกับการแสดงกรอบ)
352		ปรับระดับความโปร่งใสของหน้าต่างต่างๆ ปรับในรูปแบบ 0~50%
353		สไตล์การแสดงตัวละคร\nเบาบาง: ไล่ระดับสีขอบข้าง\nคมชัด: ไม่มีการไล่ระดับสี
354		แสดงอาวุธเมื่อเก็บใส่หลัง
355		เมื่อเลือกจะสามารถรับคำเชิญจากคนอื่นได้
356		สัตว์เลี้ยงจะช่วยเก็บไอเทมที่เป็นของตัวละคร
357		เป้าหมายสกิลหรือเป้าหมายสนทนาไกลเกินไป ตัวละครจะติดตามอัตโนมัติ
358		เมื่อใช้สกิล ระบบจะรีเซ็ทเป้าหมายอัตโนมัติ
359		ปรับสีหน้าเจอ
360		สามารถความละเอียดหน้าจอปัจจุบัน หากไม่ได้เลือกหน้าจอจะแสดงรูปแบบมัว
361		สามารถลากเมาส์ไปคลิกที่ที่ว่างทางขวาเพื่อลากช่องแชท และสามารถคลิกซ้ายที่มุมขวาล่างเพื่อขยายช่องแชท
362	บาร์ Heaven	
363	คีย์ลัด	เมื่อกดแล้วสามารถเลือกเพื่อนในทีมได้ทันที
364		เข้าใกล้สมบัติมากเท่าไหร่ แสงสมบัติก็จะขยับเร็วขึ้น เมื่อห่างจากสมบัติน้อยกว่า 4 เมตรจึงจะสามารถขุดได้
365	แถบแสดงระยะทาง	แสดงแถบระยะห่างจากสมบัติ เมื่อแถบเหลือ 0 แสดงว่าท่านยืนอยู่บนสมบัติแล้ว!
366	ยกเลิกแปลงร่าง/อำพราง	กลับเป็นรูปลักษณ์เริ่มต้น
367		เมื่อกดตัวอักษรแล้วไม่มีปุ่มเลือกขึ้นมา สามารถเปิดเมนูนี้เพื่อเพิ่มกรอบการเลือกใหม่
368	ID ข้อความผู้ฝาก	
369	ID ผู้โพส	
370	จำนวนโพส	
371	วันฝากข้อความ	
372	เวลาฝากข้อความ	
373	เวลาโพส	
374	ปิด	
375	ค่าความดี	ค่าเกียรติยศสะสมสามารถอัพเลเวลกิลด์ได้
376	ค่าความดีความชอบทางทหาร	ค่าเกียรติยศที่ได้จากสงครามกิลด์
377	จำนวนคนในปัจจุบัน/จำนวนคนนกิลด์	
378		ยังไม่สเตตัสที่ยังไม่ได้เลือก!
379	Instant Warehouse	
380	Instant Box	
381	Instant Shop	
382		เมื่อคลิกสามารถซ่อน/โชว์ตัวเลือกฟังก์ชั่นและปุ่มประกาศ
383	พ่อค้ากิลด์	
384	ฝึกฝนปืนใหญ่	
385	เคลียร์สิ่งแวดล้อม	
386	พาหนะ	
387	ขอพร	
388	กระดานข้อความฝาก	
389	วาร์ป Cannon	
390	นั่งพัก	สามารถฟื้นฟูพลังชีวิตและค่าเวทย์ต่อเนื่อง ใช้คำสั่งนี้ซ้ำอีกครั้ง,กระโดดหรือกดคีย์บอร์ดเพื่อเคลื่อนที่ จะยกเลิกฟังก์ชั่นนี้ทันที และเมื่อโดนโจมตีจะมีโอกาสยกเลิกฟังก์ชั่นนี้เช่นกัน
391		หากในการพิมพ์ไม่สามารถเลือกช่องได้ สามารถเปิดฟังก์ชั่นนี้เพื่อแก้ปัญหา
392		เลเวลผลึกจะต้องมากกว่าเลเวล 1 จึงจะทำการหลอมได้\nไอเทมหลอมสามารถหาซื้อได้ที่ร้านของชำ! 
393		เข้าใกล้เรืออับปางมากเท่าไหร่ แสงเรืออับปางก็จะขยับเร็วขึ้น เมื่อห่างจากน้อยกว่า 4 เมตรจึงจะสามารถเก็บได้
394	แถบแสดงระยะห่าง	แสดงและซ่อนแถบระยะห่างเรืออับปางเมื่อแถบนี้โชว์แสดงว่าท่านใกล้เรืออับปางเข้ามาทุกทีแล้ว!
395		ย่อหน้าต่าง
396		กิลด์เลเวล 2 จึงจะใช้พลังกิลด์ได้
397		ฉายายังไม่สามารถเลือกได้
398	สามารถตรวจสอบข้อความฝากของผู้อื่นได้	จะต้องไปที่กระดานข้อความที่ Guild Island ถึงจะใช้ฟังก์ชั่นนี้ได้
399		เซิร์ฟเวอร์นี้งดใช้ชั่วคราว!
400	จำนวนภารกิจที่รับแล้ว/สามารถรับได้ทั้งหมด	
401	ใบหน้าของผู้เล่น	
402		
403		
404		
405		
406		
407		
408		
409		
410		
411		
412		
413		
414		
415		จำนวนที่ตัวละครสามารถซื้อได้
416		จำนวนที่ตัวละครสามารถซื้อได้ในวันนี้
417		เมื่อคลิกจะทำการเก็บ ※แนะนำ: ก่อนการเก็บ กรุณาดูให้แน่ชัดว่าในกระเป๋ามีช่องว่างอยู่ 2 ช่องขั้นไป เพื่อป้องกันการผิดพลาดในการเก็บ
418	พ่อค้าหมักเหล้า	
419	สรุปการโหลตของสมาชิกกิลด์	แสดงแต้มสรุปพลังกิลด์ของสมาชิก
420		เพิ่มตามเลเวลตัวละคร เลเวลที่สามารถบำรุงได้จะเพิ่มขึ้นตามเลเวล
421		ถาดหลอมจะดูดซับส่วนบำรุงทุกๆชั่วโมง
422		กะเวลาการบำรุงครั้งต่อไป
423		ค่าบำรุงสูงสุดของแต่ละช่อง
424		เพิ่งอัตราสำเร็จอื่นๆ
425		เมื่อล้มเหลวจะไม่มีการหักจำนวน
