n_ID	s_CONDITOIN	s_ACTION
111	DISTANCE_ENEMY>(600);RATE(50);BUFF_I(4980,0,0)\nRATE(30)\nDISTANCE_ENEMY<(500);RATE(20);BUFF_I(4981,0,0)\nDISTANCE_ENEMY<(500);RATE(20);BUFF_I(4981,0,0)\nHP_I<(0.7);RATE(30);BUFF_I(4990,0,0)\nDISTANCE_ENEMY<(500);RATE(5)\nGO(0)	CHASE(2)\nCHASE(1)\nCHASE(3)\nCHASE(4)\nCHASE(5)\nCHASE(3)\nCHASE(1)
112	DISTANCE_ENEMY>(600);RATE(50);BUFF_I(4980,0,0)\nRATE(45)\nDISTANCE_ENEMY<(500);RATE(15);BUFF_I(4981,0,0)\nDISTANCE_ENEMY<(500);RATE(15);BUFF_I(4981,0,0)\nGO(0)	CHASE(2)\nCHASE(1)\nCHASE(3)\nCHASE(4)\nCHASE(1)
113	RATE(30)\nDISTANCE_ENEMY<(500);RATE(20);BUFF_I(4981,0,0)\nDISTANCE_ENEMY<(500);RATE(20);BUFF_I(4981,0,0)\nHP_I<(0.7);RATE(30);BUFF_I(4990,0,0)\nDISTANCE_ENEMY<(500);RATE(5)\nGO(0)	CHASE(1)\nCHASE(3)\nCHASE(4)\nCHASE(5)\nCHASE(3)\nCHASE(1)
114	DISTANCE_ENEMY>(600);RATE(50);BUFF_I(4980,0,0)\nRATE(30)\nDISTANCE_ENEMY<(500);RATE(20);BUFF_I(4981,0,0)\nHP_I<(0.7);RATE(30);BUFF_I(4990,0,0)\nGO(0)	CHASE(2)\nCHASE(1)\nCHASE(4)\nCHASE(5)\nCHASE(1)
120	DISTANCE_ENEMY>(700);BUFF_I(4986,0,0);RATE(30)\nDISTANCE_ENEMY<(700);BUFF_I(4985,0,0);RATE(40)\nDISTANCE_ENEMY<(700);BUFF_I(4981,0,0);RATE(10)\nGO(0)	CHASE(2)\nCHASE(4)\nCHASE(3)\nCHASE(1)
121	DISTANCE_ENEMY>(700);BUFF_I(4986,0,0);RATE(30)\nHP_I<(0.75);BUFF_I(4984,0,0);RATE(10)\nDISTANCE_ENEMY<(700);BUFF_I(4985,0,0);RATE(40)\nDISTANCE_ENEMY<(700);BUFF_I(4981,0,0);RATE(15)\nGO(0)	CHASE(2)\nCHASE(5)\nCHASE(4)\nCHASE(3)\nCHASE(1)
122	DISTANCE_ENEMY<(700);RATE(50)\nDISTANCE_ENEMY<(700);BUFF_I(4981,0,0)\nGO(0)	CHASE(1)\nCHASE(2)\nCHASE(1)
123	DISTANCE_ENEMY>(700);BUFF_I(4986,0,0);RATE(30)\nDISTANCE_ENEMY<(700);BUFF_I(4985,0,0);RATE(40)\nDISTANCE_ENEMY<(700);BUFF_I(4981,0,0);RATE(15)\nGO(0)	CHASE(2)\nCHASE(4)\nCHASE(3)\nCHASE(1)
124	DOONCE(0)\nHP_I<(0.95);BUFF_I(4980,0,0);RATE(30)\nHP_I<(0.75);BUFF_I(4984,0,0);RATE(20)\nBUFF_I(4985,0,0);RATE(40)\nBUFF_I(4981,0,0);RATE(25)\nGO(0)	CHASE(5)\nCHASE(2)\nCHASE(5)\nCHASE(4)\nCHASE(3)\nCHASE(1)
125	BUFF_I(4984,0,0);HP_I<(0.7);RATE(30)\nDISTANCE_ENEMY>(700);BUFF_I(4986,0,0);RATE(30)\nDISTANCE_ENEMY<(700);BUFF_I(4985,0,0);RATE(40)\nDISTANCE_ENEMY<(700);BUFF_I(4981,0,0);RATE(10)\nBUFF_I(3008,0,1)\nGO(0)	CHASE(5)\nCHASE(2)\nCHASE(4)\nCHASE(3)\nCHASE(6)\nCHASE(1)
126	BUFF_I(4984,0,0);HP_I<(0.7);RATE(30)\nDISTANCE_ENEMY>(700);BUFF_I(4986,0,0);RATE(30)\nHP_I<(0.75);BUFF_I(4984,0,0);RATE(20)\nDISTANCE_ENEMY<(700);BUFF_I(4985,0,0);RATE(40)\nDISTANCE_ENEMY<(700);BUFF_I(4981,0,0);RATE(10)\nBUFF_I(3008,0,1)\nGO(0)	CHASE(5)\nCHASE(2)\nCHASE(7)\nCHASE(4)\nCHASE(3)\nCHASE(6)\nCHASE(1)
130	DISTANCE_ENEMY>(400);BUFF_I(4981,0,0);RATE(5)\nDISTANCE_ENEMY>(1000);BUFF_I(4980,0,0);RATE(40)\nGO(0)	CHASE(3)\nCHASE(2)\nCHASE(1)
131	BUFF_I(3058,0,1);BUFF_I(4982,0,0)\nBUFF_I(3058,0,1);BUFF_I(4987,0,0)\nBUFF_I(3058,0,1);BUFF_I(4983,0,0)\nBUFF_I(3056,0,0)\nGO(0)	CHASE(3)\nCHASE(4)\nCHASE(5)\nCHASE(1)\nCHASE(2)
132	DOONCE(0)\nBUFF_I(4984,0,0);HP_I<(0.6);RATE(25)\nDISTANCE_ENEMY>(400);BUFF_I(4981,0,0);RATE(50)\nDISTANCE_ENEMY>(1000);BUFF_I(4980,0,0);RATE(40)\nGO(0)	CHASE(4)\nCHASE(4)\nCHASE(3)\nCHASE(2)\nCHASE(1)
133	BUFF_I(4984,0,0);HP_I<(0.6);RATE(10)\nDISTANCE_ENEMY>(400);BUFF_I(4981,0,0);RATE(20)\nDISTANCE_ENEMY>(1000);BUFF_I(4980,0,0);RATE(40)\nGO(0)	CHASE(4)\nCHASE(3)\nCHASE(2)\nCHASE(1)
134	BUFF_I(4984,0,0);HP_I<(0.6);RATE(25)\nDISTANCE_ENEMY>(400);BUFF_I(4981,0,0);RATE(20)\nDISTANCE_ENEMY>(1000);BUFF_I(4980,0,0);RATE(40)\nGO(0)	CHASE(4)\nCHASE(3)\nCHASE(2)\nCHASE(1)
136	BUFF_I(4984,0,0);HP_I<(0.5);RATE(10)\nDISTANCE_ENEMY>(400);BUFF_I(4981,0,0);RATE(20)\nBUFF_I(4980,0,0);RATE(40)\nGO(0)	CHASE(4)\nCHASE(3)\nCHASE(2)\nCHASE(1)
140	DISTANCE_ENEMY>(500);HP_I<(0.5);BUFF_I(4981,0,0);RATE(8)\nDISTANCE_ENEMY>(500);RATE(20)\nGO(0)	CHASE(3)\nCHASE(2)\nCHASE(1)
141	DISTANCE_ENEMY>(500);HP_I<(0.7);BUFF_I(4981,0,0);RATE(15)\nDISTANCE_ENEMY>(500);RATE(30)\nGO(0)	CHASE(3)\nCHASE(2)\nCHASE(1)
142	DISTANCE_ENEMY>(500);HP_I<(0.8);BUFF_I(4981,0,0);RATE(30)\nDISTANCE_ENEMY>(500);RATE(60)\nGO(0)	CHASE(3)\nCHASE(2)\nCHASE(1)
143	DISTANCE_ENEMY>(500);BUFF_I(4981,0,0);RATE(30)\nGO(0)	CHASE(2)\nCHASE(1)
144	DISTANCE_ENEMY>(500);HP_I<(0.8);BUFF_I(4981,0,0);RATE(30)\nDISTANCE_ENEMY>(500);RATE(50)\nGO(0)	CHASE(3)\nCHASE(2)\nCHASE(1)
150	BUFF_I(4980,0,0);RATE(30)\nBUFF_I(4980,0,0);RATE(50)\nGO(0)	CHASE(2)\nCHASE(3)\nCHASE(1)
151	DISTANCE_ENEMY<(400);BUFF_I(4982,0,0);RATE(20);HP_I<(0.6)\nDISTANCE_ENEMY>(500);BUFF_I(4980,0,0);RATE(30)\nDISTANCE_ENEMY>(500);BUFF_I(4980,0,0);RATE(50)\nGO(0)	CHASE(4)\nCHASE(2)\nCHASE(3)\nCHASE(1)
152	BUFF_I(4982,0,0);RATE(10)\nDISTANCE_ENEMY>(500);BUFF_I(4980,0,0);RATE(30)\nDISTANCE_ENEMY>(500);BUFF_I(4980,0,0);RATE(50)\nRATE(50)\nDISTANCE_ENEMY<(400);RATE(20)\nGO(0)	CHASE(4)\nCHASE(2)\nCHASE(3)\nCHASE(1)\nCHASE(4)\nCHASE(1)
154	DISTANCE_ENEMY<(400);BUFF_I(4982,0,0);RATE(10)\nDISTANCE_ENEMY>(500);BUFF_I(4980,0,0);RATE(50)\nRATE(50)\nDISTANCE_ENEMY<(400);RATE(20)\nGO(0)	CHASE(3)\nCHASE(2)\nCHASE(1)\nCHASE(3)\nCHASE(1)
160	HP_I<(0.5);BUFF_I(4984,0,0);RATE(15)\nDISTANCE_ENEMY>(400);BUFF_I(4980,0,0);RATE(60)\nGO(0)	CHASE(3)\nCHASE(2)\nCHASE(1)
161	HP_I<(0.5);BUFF_I(4984,0,0);RATE(15)\nDISTANCE_ENEMY>(400);BUFF_I(4980,0,0);RATE(40)\nGO(0)	CHASE(3)\nCHASE(2)\nCHASE(1)
162	HP_I<(0.5);BUFF_I(4984,0,0);RATE(15)\nDISTANCE_ENEMY>(400);BUFF_I(4980,0,0);RATE(40)\nRATE(20)\nHP_I<(0.5);RATE(7)\nGO(0)	CHASE(3)\nCHASE(2)\nCHASE(1)\nCHASE(3)\nCHASE(1)
164	HP_I<(0.5);BUFF_I(4984,0,0);RATE(15)\nDISTANCE_ENEMY>(400);BUFF_I(4980,0,0);RATE(60)\nRATE(60)\nHP_I<(0.5);BUFF_I(4988,0,0);DISTANCE_ENEMY<(500);RATE(10)\nGO(0)	CHASE(3)\nCHASE(2)\nCHASE(1)\nCHASE(4)\nCHASE(1)
165	HP_I<(0.5);BUFF_I(4984,0,0);RATE(15)\nDISTANCE_ENEMY>(400);BUFF_I(4980,0,0);RATE(40)\nRATE(45)\nHP_I<(0.5);BUFF_I(4988,0,0);DISTANCE_ENEMY<(500);RATE(30)\nGO(0)	CHASE(3)\nCHASE(2)\nCHASE(1)\nCHASE(4)\nCHASE(1)
170	BUFF_I(4980,0,0);RATE(25)\nHP_I<(0.8);BUFF_I(4986,0,0);RATE(30)\nHP_I<(0.5);BUFF_I(4987,0,0);RATE(20)\nHP_I<(0.5);BUFF_I(4981,0,0);RATE(20)\nHP_I>(0.5);BUFF_I(4985,0,0);RATE(20)\nHP_I<(0.5);BUFF_I(4985,0,0);RATE(20)\nDISTANCE_ENEMY>(250);HP_I<(0.4);BUFF_I(4982,0,0);RATE(20)\nHP_I>(0.6)\nHP_I<(0.6)\nGO(0)	CHASE(1)\nCHASE(4)\nCHASE(5)\nCHASE(6)\nCHASE(7)\nCHASE(8)\nCHASE(9)\nCHASE(2)\nCHASE(3)\nCHASE(2)
171	BUFF_I(4980,0,0);RATE(25)\nHP_I<(0.8);BUFF_I(4986,0,0);RATE(30)\nHP_I<(0.5);BUFF_I(4987,0,0);RATE(20)\nHP_I<(0.5);BUFF_I(4981,0,0);RATE(20)\nGO(0)	CHASE(1)\nCHASE(4)\nCHASE(5)\nCHASE(6)\nCHASE(2)
172	HP_I<(0.6)\nHP_ENEMY<(0.3)\nBUFF_I(3074,0,0)\nBUFF_I(8207,0,0);BUFF_I(3074,0,1)\nBUFF_I(4980,0,0);RATE(25)\nHP_I<(0.8);BUFF_I(4986,0,0);RATE(30)\nHP_I<(0.7);BUFF_I(4987,0,0);RATE(20)\nHP_I<(0.7);BUFF_I(4981,0,0);RATE(20)\nHP_I>(0.7);BUFF_I(4985,0,0);RATE(20)\nHP_I<(0.7);BUFF_I(4985,0,0);RATE(20)\nDISTANCE_ENEMY>(250);HP_I<(0.4);BUFF_I(4982,0,0);RATE(20)\nHP_I>(0.6)\nHP_I<(0.6)\nGO(0)	CHASE(14)\nCHASE(14)\nCHASE(13)\nCHASE(14)\nCHASE(1)\nCHASE(4)\nCHASE(5)\nCHASE(6)\nCHASE(7)\nCHASE(8)\nCHASE(9)\nCHASE(2)\nCHASE(3)\nCHASE(2)
173	BUFF_I(4983,0,0);HP_I<(0.5);RATE(50)\nBUFF_I(4988,0,0);HP_I<(0.7);RATE(50)\nBUFF_I(8021,0,0)\nBUFF_I(4980,0,0);RATE(25)\nHP_I<(0.8);BUFF_I(4986,0,0);RATE(30)\nHP_I<(0.5);BUFF_I(4987,0,0);RATE(20)\nHP_I<(0.7);BUFF_I(4995,0,0);RATE(20)\nHP_I>(0.5);BUFF_I(4985,0,0);RATE(20)\nHP_I<(0.5);BUFF_I(4985,0,0);RATE(20)\nHP_I<(0.4);BUFF_I(4982,0,0);RATE(20)\nHP_I>(0.6)\nHP_I<(0.6)\nGO(0)	CHASE(12)\nCHASE(11)\nCHASE(10)\nCHASE(1)\nCHASE(4)\nCHASE(5)\nCHASE(6)\nCHASE(7)\nCHASE(8)\nCHASE(9)\nCHASE(2)\nCHASE(3)\nCHASE(2)
180	KD_ENEMY(1);DISTANCE_ENEMY<(300);RATE(70)\nRATE(30)\nHP_I<(0.5);BUFF_I(4981,0,0);RATE(20)\nHP_I<(0.5);RATE(30)\nGO(0)	CHASE(4)\nCHASE(1)\nCHASE(3)\nCHASE(2)\nCHASE(1)
181	KD_ENEMY(1);DISTANCE_ENEMY<(300);RATE(70)\nRATE(20)\nHP_I<(0.7);RATE(40)\nHP_I<(0.5);BUFF_I(4981,0,0);RATE(30)\nHP_I<(0.7);DISTANCE_ENEMY<(800);BUFF_I(4984,0,0);RATE(15)\nGO(0)	CHASE(4)\nCHASE(1)\nCHASE(2)\nCHASE(3)\nCHASE(5)\nCHASE(1)
182	KD_ENEMY(1);DISTANCE_ENEMY<(300);RATE(70)\nRATE(20)\nHP_I<(0.7);RATE(40)\nHP_I<(0.7);BUFF_I(4981,0,0);RATE(40)\nHP_I<(0.7);DISTANCE_ENEMY<(800);BUFF_I(4984,0,0);RATE(15)\nGO(0)	CHASE(4)\nCHASE(1)\nCHASE(2)\nCHASE(3)\nCHASE(5)\nCHASE(1)
183	KD_ENEMY(1);RATE(70)\nHP_I>(0.7);HP_I<(0.8);BUFF_I(4989,0,0)\nHP_I>(0.4);HP_I<(0.5);BUFF_I(4989,0,0)\nHP_I>(0.1);HP_I<(0.2);BUFF_I(4989,0,0)\nHP_I<(0.4);BUFF_I(4984,0,0);RATE(40)\nHP_I<(0.5);BUFF_I(4982,0,0);RATE(20)\nHP_I<(0.6);BUFF_I(4987,0,0);RATE(40)\nHP_I>(0.7);RATE(20)\nHP_I<(0.7);RATE(20)\nHP_I<(0.9);BUFF_I(4981,0,0);RATE(40)\nHP_I<(0.7);DISTANCE_ENEMY<(800);BUFF_I(4987,0,0);RATE(15)\nGO(0)	CHASE(4)\nCHASE(7)\nCHASE(7)\nCHASE(7)\nCHASE(6)\nCHASE(4)\nCHASE(5)\nCHASE(1)\nCHASE(2)\nCHASE(3)\nCHASE(5)\nCHASE(1)
184	KD_ENEMY(1);DISTANCE_ENEMY<(300);RATE(70)\nRATE(15)\nHP_I<(0.5);BUFF_I(4981,0,0);RATE(20)\nHP_I<(0.5);RATE(30)\nGO(0)	CHASE(4)\nCHASE(1)\nCHASE(3)\nCHASE(2)\nCHASE(1)
185	KD_ENEMY(1);DISTANCE_ENEMY<(300);RATE(70)\nRATE(10)\nHP_ALLY<(0.5);BUFF_I(4984,0,0);RATE(15)\nHP_I<(0.5);BUFF_I(4981,0,0);RATE(30)\nHP_I<(0.7);RATE(40)\nGO(0)	CHASE(4)\nCHASE(1)\nCHASE(5)\nCHASE(3)\nCHASE(2)\nCHASE(1)
186	KD_ENEMY(1);DISTANCE_ENEMY<(300);RATE(70)\nRATE(10)\nHP_ALLY<(0.5);BUFF_I(4984,0,0);RATE(25)\nHP_I<(0.7);BUFF_I(4981,0,0);RATE(40)\nHP_I<(0.7);RATE(40)\nGO(0)	CHASE(4)\nCHASE(1)\nCHASE(5)\nCHASE(3)\nCHASE(2)\nCHASE(1)
190	BUFF_I(4984,0,0);HP_I<(0.5);RATE(25)\nKD_ENEMY(1);DISTANCE_ENEMY<(300)\nBUFF_I(4983,0,0);HP_I<(0.6);RATE(35)\nBUFF_I(4981,0,0);HP_I<(0.9);RATE(35)\nBUFF_I(4986,0,0);HP_I<(0.7);RATE(35)\nRATE(50)\nDISTANCE_ENEMY>(200);RATE(25)\nGO(0)	CHASE(5)\nCHASE(4)\nCHASE(7)\nCHASE(6)\nCHASE(3)\nCHASE(2)\nCHASE(6)\nCHASE(1)
191	BUFF_I(4983,0,0);DISTANCE_ENEMY>(200);RATE(25)\nBUFF_I(4981,0,0);RATE(35)\nBUFF_I(4986,0,0);RATE(35)\nRATE(50)\nRATE(20)\nRATE(20)\nGO(0)	CHASE(7)\nCHASE(6)\nCHASE(3)\nCHASE(2)\nCHASE(6)\nCHASE(3)\nCHASE(1)
192	KD_ENEMY(1);DISTANCE_ENEMY<(300)\nBUFF_I(4981,0,0);HP_I<(0.9);RATE(35)\nBUFF_I(4986,0,0);HP_I<(0.7);RATE(35)\nRATE(50)\nGO(0)	CHASE(4)\nCHASE(6)\nCHASE(3)\nCHASE(2)\nCHASE(1)
200	RATE(10)\nDISTANCE_ENEMY<(400);RATE(60)\nGO(0)	CHASE(1)\nCHASE(1)\nCHASE(2)
201	RATE(10)\nDISTANCE_ENEMY<(400);BUFF_I(4982,0,0);RATE(50)\nHP_I<(0.8);BUFF_I(4982,0,0);RATE(20)\nDISTANCE_ENEMY<(400);RATE(40)\nGO(0)	CHASE(1)\nCHASE(3)\nCHASE(3)\nCHASE(1)\nCHASE(2)
202	RATE(10)\nDISTANCE_ENEMY<(400);BUFF_I(4982,0,0);RATE(60)\nHP_I<(0.8);BUFF_I(4982,0,0);RATE(30)\nDISTANCE_ENEMY<(400);RATE(40)\nGO(0)	CHASE(1)\nCHASE(3)\nCHASE(3)\nCHASE(1)\nCHASE(2)
210	RATE(10)\nDISTANCE_ENEMY>(500);RATE(60)\nHP_I<(0.5);DISTANCE_ENEMY<(400);BUFF_I(4981,0,0);RATE(5)\nGO(0)	CHASE(1)\nCHASE(2)\nCHASE(3)\nCHASE(1)
211	RATE(20)\nDISTANCE_ENEMY>(500);RATE(60)\nHP_I<(0.7);DISTANCE_ENEMY<(400);BUFF_I(4981,0,0);RATE(15)\nGO(0)	CHASE(1)\nCHASE(2)\nCHASE(3)\nCHASE(1)
212	DISTANCE_ENEMY>(500);BUFF_I(4980,0,0);RATE(60)\nRATE(25)\nDISTANCE_ENEMY<(400);BUFF_I(4981,0,0);RATE(15)\nGO(0)	CHASE(2)\nCHASE(1)\nCHASE(3)\nCHASE(1)
213	DISTANCE_ENEMY>(500);BUFF_I(4980,0,0);RATE(60)\nRATE(25)\nDISTANCE_ENEMY<(400);BUFF_I(4981,0,0);RATE(15)\nRATE(5)\nGO(0)	CHASE(2)\nCHASE(1)\nCHASE(3)\nCHASE(3)\nCHASE(1)
214	DOONCE(0)\nBUFF_I(4984,0,0);RATE(10)\nDISTANCE_ENEMY>(500);BUFF_I(4980,0,0);RATE(60)\nDISTANCE_ENEMY<(500);BUFF_I(4982,0,0);RATE(15)\nRATE(25)\nDISTANCE_ENEMY<(400);BUFF_I(4981,0,0);RATE(15)\nRATE(5)\nGO(0)	CHASE(5)\nCHASE(5)\nCHASE(2)\nCHASE(4)\nCHASE(1)\nCHASE(3)\nCHASE(3)\nCHASE(1)
215	DISTANCE_ENEMY>(500);BUFF_I(4980,0,0);RATE(60)\nDISTANCE_ENEMY<(500);BUFF_I(4982,0,0);RATE(15)\nRATE(25)\nDISTANCE_ENEMY<(400);BUFF_I(4981,0,0);RATE(15)\nRATE(5)\nGO(0)	CHASE(2)\nCHASE(4)\nCHASE(1)\nCHASE(3)\nCHASE(3)\nCHASE(1)
220	BUFF_I(4981,0,0);BUFF_ENEMY(3042,0,1);HP_I<(0.7)\nBUFF_I(4980,0,0);RATE(30)\nBUFF_I(4986,0,0);RATE(30)\nHP_I<(0.7);BUFF_I(4985,0,0);RATE(30)\nHP_I<(0.5);BUFF_I(4983,0,0);RATE(30)\nHP_I<(0.3);BUFF_I(4984,0,0);RATE(30)\nGO(0)	CHASE(5)\nCHASE(2)\nCHASE(7)\nCHASE(3)\nCHASE(4)\nCHASE(6)\nCHASE(1)
230	BUFF_I(4984,0,0);HP_I<(0.5);RATE(7)\nDISTANCE_ENEMY>(350);RATE(80)\nDISTANCE_ENEMY<(600);RATE(40)\nGO(0)	CHASE(4)\nCHASE(2)\nCHASE(1)\nCHASE(1)
231	BUFF_I(4984,0,0);HP_I<(0.5);RATE(15)\nBUFF_I(4982,0,0);HP_I<(0.7);RATE(15)\nDISTANCE_ENEMY>(350);RATE(80)\nDISTANCE_ENEMY<(600);RATE(40)\nGO(0)	CHASE(4)\nCHASE(3)\nCHASE(2)\nCHASE(1)\nCHASE(1)
232	BUFF_I(4984,0,0);HP_I<(0.5);RATE(15)\nBUFF_I(4982,0,0);HP_I<(0.7);RATE(20)\nHP_I<(0.3);RATE(15)\nDISTANCE_ENEMY>(350);RATE(80)\nDISTANCE_ENEMY<(600);RATE(40)\nGO(0)	CHASE(4)\nCHASE(3)\nCHASE(3)\nCHASE(2)\nCHASE(1)\nCHASE(1)
240	DISTANCE_ENEMY>(400);RATE(95)\nDISTANCE_ENEMY<(450);RATE(60)\nGO(0)	CHASE(2)\nCHASE(2)\nCHASE(1)
241	BUFF_I(4983,0,0);HP_I<(0.5);RATE(15)\nDISTANCE_ENEMY>(400);RATE(95)\nDISTANCE_ENEMY<(450);RATE(60)\nGO(0)	CHASE(3)\nCHASE(2)\nCHASE(2)\nCHASE(1)
242	BUFF_I(4983,0,0);HP_I<(0.8);RATE(10)\nBUFF_I(4983,0,0);HP_I<(0.5);RATE(20)\nDISTANCE_ENEMY>(400);RATE(95)\nDISTANCE_ENEMY<(450);RATE(60)\nGO(0)	CHASE(3)\nCHASE(3)\nCHASE(2)\nCHASE(2)\nCHASE(1)
250	RATE(45)\nRATE(60)\nBUFF_I(4983,0,0);HP_I<(0.5);RATE(10)\nGO(0)	CHASE(1)\nCHASE(2)\nCHASE(3)\nCHASE(1)
251	RATE(45)\nRATE(60)\nBUFF_I(4983,0,0);HP_I<(0.7);RATE(20)\nGO(0)	CHASE(1)\nCHASE(2)\nCHASE(3)\nCHASE(1)
252	BUFF_I(4983,0,0);HP_I<(0.7);RATE(20)\nRATE(25)\nRATE(60)\nGO(0)	CHASE(3)\nCHASE(1)\nCHASE(2)\nCHASE(1)
253	DOONCE(0)\nBUFF_I(4983,0,0);RATE(20)\nRATE(45)\nRATE(60)\nRATE(15)\nGO(0)	CHASE(3)\nCHASE(3)\nCHASE(1)\nCHASE(2)\nCHASE(3)\nCHASE(1)
260	RATE(25)\nBUFF_I(4980,0,0);DISTANCE_ENEMY>(500);RATE(50)\nGO(0)	CHASE(1)\nCHASE(2)\nCHASE(1)
261	BUFF_I(4982,0,0);RATE(15)\nBUFF_I(4982,0,0);HP_I<(0.7);RATE(30)\nRATE(25)\nBUFF_I(4980,0,0);DISTANCE_ENEMY>(500);RATE(50)\nGO(0)	CHASE(3)\nCHASE(3)\nCHASE(1)\nCHASE(2)\nCHASE(1)
262	BUFF_I(4982,0,0);RATE(10)\nBUFF_I(4980,0,0);DISTANCE_ENEMY>(500);RATE(50)\nBUFF_I(4982,0,0);DISTANCE_ENEMY>(700);RATE(30)\nBUFF_I(4987,0,0);HP_I<(0.7);RATE(15)\nBUFF_I(4983,0,0);HP_I<(0.5);RATE(15)\nBUFF_I(4988,0,0);DISTANCE_ENEMY<(500);HP_I<(0.4);RATE(15)\nGO(0)	CHASE(3)\nCHASE(2)\nCHASE(3)\nCHASE(4)\nCHASE(5)\nCHASE(6)\nCHASE(1)
