n_ID	n_STACKGROUP	n_STACKSTATUS	s_ICON	n_EFFECT	n_EFFECT_SUBTYPE	n_VISIBLE	n_MESSAGE_VISIBLE	n_DURATION	n_CONSUMPTION	n_VAR_1	n_VAR_2	f_VAR_1	f_VAR_2	n_DEADLINENOTE
86	8	4	ICON_ENHANCE_000_000	3	4	0	0	4294967295	1	0	0	1.0	100.0	0
87	16	2	ICON_SERVICE_000_000	2	0	2	1	2592000	4294967295	0	0	0.0	0.0	1
89	17	2	ICON_SERVICE_000_001	7	0	2	1	2592000	4294967295	0	0	0.0	0.0	1
90	18	2	ICON_SERVICE_003_000	11	0	0	0	2592000	4294967295	0	0	0.0	0.0	1
91	19	2	ICON_VIP_000_000	12	0	2	1	2592000	4294967295	0	0	0.0	0.0	1
92	20	2	ICON_SERVICE_000_002	13	0	2	1	2592000	4294967295	0	0	0.0	0.0	1
93	21	2	ICON_EXP_000_000	4	12	1	0	1800	4294967295	0	0	5.0	5.0	0
94	22	2	ICON_SP_000_000	4	13	1	0	1800	4294967295	0	0	5.0	5.0	0
95	5	4	IS131a	4	13	0	0	4294967295	4294967295	0	0	2.0	2.0	0
96	5	4	IS131a	4	13	0	0	4294967295	4294967295	0	0	4.0	4.0	0
97	5	4	IS131a	4	13	0	0	4294967295	4294967295	0	0	6.0	6.0	0
98	5	4	IS131a	4	13	0	0	4294967295	4294967295	0	0	8.0	8.0	0
99	5	4	IS131a	4	13	0	0	4294967295	4294967295	0	0	10.0	10.0	0
100	5	4	IS131a	4	13	0	0	4294967295	4294967295	0	0	12.0	12.0	0
101	5	4	IS131a	4	13	0	0	4294967295	4294967295	0	0	14.0	14.0	0
102	5	4	IS131a	4	13	0	0	4294967295	4294967295	0	0	16.0	16.0	0
103	5	4	IS131a	4	13	0	0	4294967295	4294967295	0	0	18.0	18.0	0
104	5	4	IS131a	4	13	0	0	4294967295	4294967295	0	0	20.0	20.0	0
105	6	4	IS141a	3	1	0	0	4294967295	4294967295	0	0	1.0	1.0	0
106	6	4	IS141a	3	1	0	0	4294967295	4294967295	0	0	2.0	2.0	0
107	6	4	IS141a	3	1	0	0	4294967295	4294967295	0	0	3.0	3.0	0
108	6	4	IS141a	3	1	0	0	4294967295	4294967295	0	0	4.0	4.0	0
109	6	4	IS141a	3	1	0	0	4294967295	4294967295	0	0	5.0	5.0	0
110	6	4	IS141a	3	1	0	0	4294967295	4294967295	0	0	6.0	6.0	0
111	6	4	IS141a	3	1	0	0	4294967295	4294967295	0	0	7.0	7.0	0
112	6	4	IS141a	3	1	0	0	4294967295	4294967295	0	0	8.0	8.0	0
113	6	4	IS141a	3	1	0	0	4294967295	4294967295	0	0	9.0	9.0	0
114	6	4	IS141a	3	1	0	0	4294967295	4294967295	0	0	10.0	10.0	0
115	23	4	IST000a	4	15	0	0	4294967295	4294967295	0	0	10.0	10.0	0
116	23	4	IST000a	4	15	0	0	4294967295	4294967295	0	0	20.0	20.0	0
117	23	4	IST000a	4	15	0	0	4294967295	4294967295	0	0	30.0	30.0	0
118	23	4	IST000a	4	15	0	0	4294967295	4294967295	0	0	40.0	40.0	0
119	23	4	IST000a	4	15	0	0	4294967295	4294967295	0	0	50.0	50.0	0
120	23	4	IST000a	4	15	0	0	4294967295	4294967295	0	0	60.0	60.0	0
121	23	4	IST000a	4	15	0	0	4294967295	4294967295	0	0	70.0	70.0	0
122	23	4	IST000a	4	15	0	0	4294967295	4294967295	0	0	80.0	80.0	0
123	23	4	IST000a	4	15	0	0	4294967295	4294967295	0	0	90.0	90.0	0
124	23	4	IST000a	4	15	0	0	4294967295	4294967295	0	0	100.0	100.0	0
125	24	4	IS200a	3	3	0	0	4294967295	4294967295	0	0	1.0	1.0	0
126	24	4	IS200a	3	3	0	0	4294967295	4294967295	0	0	2.0	2.0	0
127	24	4	IS200a	3	3	0	0	4294967295	4294967295	0	0	3.0	3.0	0
128	24	4	IS200a	3	3	0	0	4294967295	4294967295	0	0	4.0	4.0	0
129	24	4	IS200a	3	3	0	0	4294967295	4294967295	0	0	5.0	5.0	0
130	24	4	IS200a	3	3	0	0	4294967295	4294967295	0	0	6.0	6.0	0
131	24	4	IS200a	3	3	0	0	4294967295	4294967295	0	0	7.0	7.0	0
132	24	4	IS200a	3	3	0	0	4294967295	4294967295	0	0	8.0	8.0	0
133	24	4	IS200a	3	3	0	0	4294967295	4294967295	0	0	9.0	9.0	0
134	24	4	IS200a	3	3	0	0	4294967295	4294967295	0	0	10.0	10.0	0
135	25	2	ICON_Collect_Treasure_017_000	4	12	1	0	1800	4294967295	0	0	5.0	5.0	0
136	26	2	ICON_Collect_Treasure_006_000	4	13	1	0	1800	4294967295	0	0	5.0	5.0	0
138	28	2	ICON_SERVICE_003_001	3	3	2	1	86400	4294967295	0	0	10.0	10.0	1
139	28	2	ICON_SERVICE_003_001	3	3	2	1	604800	4294967295	0	0	10.0	10.0	1
140	29	2	ICON_SERVICE_001_000	4	12	2	1	2592000	4294967295	0	0	30.0	30.0	1
141	30	2	ICON_SERVICE_002_000	4	13	2	1	2592000	4294967295	0	0	30.0	30.0	1
142	31	2	ICON_VIP_000_000	14	0	2	1	2592000	4294967295	0	0	0.0	0.0	1
143	32	2	ICON_VIP_000_000	15	0	2	1	2592000	4294967295	0	0	0.0	0.0	1
144	16	2	ICON_SERVICE_000_000	2	0	2	1	86400	4294967295	0	0	0.0	0.0	1
145	19	2	ICON_VIP_000_000	12	0	2	1	86400	4294967295	0	0	0.0	0.0	1
146	20	2	ICON_SERVICE_000_002	13	0	2	1	86400	4294967295	0	0	0.0	0.0	1
147	29	2	ICON_SERVICE_001_000	4	12	2	1	86400	4294967295	0	0	30.0	30.0	1
148	30	2	ICON_SERVICE_002_000	4	13	2	1	86400	4294967295	0	0	30.0	30.0	1
149	31	2	ICON_VIP_000_000	14	0	2	1	86400	4294967295	0	0	0.0	0.0	1
150	32	2	ICON_VIP_000_000	15	0	2	1	86400	4294967295	0	0	0.0	0.0	1
151	28	2	ICON_SERVICE_003_001	3	3	2	0	3600	4294967295	0	0	10.0	10.0	1
152	18	2	ICON_SERVICE_003_000	11	0	0	0	3600	4294967295	0	0	0.0	0.0	1
153	29	2	ICON_SERVICE_001_000	4	12	2	1	604800	4294967295	0	0	30.0	30.0	1
154	30	2	ICON_SERVICE_002_000	4	13	2	1	604800	4294967295	0	0	30.0	30.0	1
155	18	2	ICON_SERVICE_003_000	11	0	0	0	604800	4294967295	0	0	0.0	0.0	1
156	101	4	ICON_CONTAINER_009_000	4	12	1	0	10800	4294967295	0	0	1.0	1.0	0
157	102	4	ICON_CONTAINER_009_000	4	12	1	0	10800	4294967295	0	0	1.0	1.0	0
158	103	4	ICON_CONTAINER_009_000	4	12	1	0	10800	4294967295	0	0	1.0	1.0	0
159	104	4	ICON_CONTAINER_009_000	4	12	1	0	10800	4294967295	0	0	1.0	1.0	0
160	105	4	ICON_CONTAINER_009_000	4	12	1	0	10800	4294967295	0	0	1.0	1.0	0
161	106	4	ICON_CONTAINER_009_000	4	13	0	0	10800	4294967295	0	0	1.0	1.0	0
162	107	4	ICON_CONTAINER_009_000	4	13	0	0	10800	4294967295	0	0	1.0	1.0	0
163	108	4	ICON_CONTAINER_009_000	4	13	0	0	10800	4294967295	0	0	1.0	1.0	0
164	109	4	ICON_CONTAINER_009_000	4	13	0	0	10800	4294967295	0	0	1.0	1.0	0
165	110	4	ICON_CONTAINER_009_000	4	13	0	0	10800	4294967295	0	0	1.0	1.0	0
166	35	2		18	41	0	1	604800	4294967295	0	0	0.0	0.0	1
167	36	2		18	42	0	1	604800	4294967295	0	0	0.0	0.0	1
168	37	2		18	43	0	1	604800	4294967295	0	0	0.0	0.0	1
169	35	2		18	41	0	1	259200	4294967295	0	0	0.0	0.0	1
170	36	2		18	42	0	1	259200	4294967295	0	0	0.0	0.0	1
171	37	2		18	43	0	1	259200	4294967295	0	0	0.0	0.0	1
172	35	2		18	41	0	1	86400	4294967295	0	0	0.0	0.0	1
173	36	2		18	42	0	1	86400	4294967295	0	0	0.0	0.0	1
174	37	2		18	43	0	1	86400	4294967295	0	0	0.0	0.0	1
175	38	2	ICON_DOCUMENT_010_000	19	0	2	1	4294967295	1	0	0	0.0	0.0	0
176	36	2		18	42	0	1	2592000	4294967295	0	0	0.0	0.0	1
177	18	2	ICON_SERVICE_003_000	11	0	0	0	86400	4294967295	0	0	0.0	0.0	1
178	29	2	ICON_SERVICE_001_000	4	12	2	0	3600	4294967295	0	0	30.0	30.0	1
179	30	2	ICON_SERVICE_002_000	4	13	2	0	3600	4294967295	0	0	30.0	30.0	1
180	16	2	ICON_SERVICE_000_000	2	0	2	1	259200	4294967295	0	0	0.0	0.0	1
181	20	2	ICON_SERVICE_000_002	13	0	2	1	259200	4294967295	0	0	0.0	0.0	1
182	31	2	ICON_VIP_000_000	14	0	2	1	604800	4294967295	0	0	0.0	0.0	1
183	32	2	ICON_VIP_000_000	15	0	2	1	604800	4294967295	0	0	0.0	0.0	1
184	47	2	ICON_VIP_000_000	16	0	2	1	4294967295	15	0	0	0.0	0.0	0
185	47	2	ICON_VIP_000_000	16	0	2	1	4294967295	3	0	0	0.0	0.0	0
186	47	2	ICON_VIP_000_000	16	0	2	1	4294967295	1	0	0	0.0	0.0	0
187	48	2	ICON_MONEYBOX_000_000	5	21	1	1	600	4294967295	5	0	10.0	0.0	0
188	49	2	ICON_MONEYBOX_000_000	5	21	1	1	600	4294967295	10	0	10.0	0.0	0
189	50	2	ICON_MONEYBOX_000_000	5	21	1	1	600	4294967295	15	0	10.0	0.0	0
190	51	2	ICON_MONEYBOX_000_000	5	21	1	1	600	4294967295	10	0	10.0	0.0	0
191	52	2	ICON_MONEYBOX_000_000	5	21	1	1	600	4294967295	20	0	10.0	0.0	0
192	53	2	ICON_MONEYBOX_000_000	5	21	1	1	600	4294967295	30	0	10.0	0.0	0
193	54	2	ICON_MONEYBOX_000_000	5	21	1	1	600	4294967295	20	0	10.0	0.0	0
194	55	2	ICON_MONEYBOX_000_000	5	21	1	1	600	4294967295	35	0	10.0	0.0	0
195	56	2	ICON_MONEYBOX_000_000	5	21	1	1	600	4294967295	50	0	10.0	0.0	0
196	57	2	ICON_MONEYBOX_000_000	5	21	1	1	600	4294967295	35	0	10.0	0.0	0
197	58	2	ICON_MONEYBOX_000_000	5	21	1	1	600	4294967295	55	0	10.0	0.0	0
198	59	2	ICON_MONEYBOX_000_000	5	21	1	1	600	4294967295	75	0	10.0	0.0	0
199	60	2	ICON_SERVICE_001_000	4	12	2	1	86400	4294967295	0	0	100.0	100.0	1
200	35	2		18	41	0	0	3600	4294967295	0	0	0.0	0.0	1
201	37	2		18	43	0	0	3600	4294967295	0	0	0.0	0.0	1
202	62	2	ICON_Chest_RankSSS	21	0	2	1	4294967295	10	0	0	0.0	0.0	0
203	62	2	ICON_Chest_RankSSS	21	0	2	1	4294967295	15	0	0	0.0	0.0	0
204	62	2	ICON_Chest_RankSSS	21	0	2	1	4294967295	1	0	0	0.0	0.0	0
205	62	2	ICON_Chest_RankSSS	21	0	2	1	4294967295	1	0	0	0.0	0.0	0
206	29	2	ICON_SERVICE_001_000	4	12	2	1	259200	4294967295	0	0	30.0	30.0	1
207	30	2	ICON_SERVICE_002_000	4	13	2	1	259200	4294967295	0	0	30.0	30.0	1
208	62	2	ICON_Chest_RankSSS	21	0	2	1	4294967295	3	0	0	0.0	0.0	0
209	63	2	ICON_STONE_004_006	4	12	1	0	10800	4294967295	0	0	20.0	20.0	0
210	17	2	ICON_SERVICE_000_001	7	0	2	1	259200	4294967295	0	0	0.0	0.0	1
211	17	2	ICON_SERVICE_000_001	7	0	2	1	86400	4294967295	0	0	0.0	0.0	1
212	35	2		18	41	0	1	2592000	4294967295	0	0	0.0	0.0	1
251	251	2		24	1	0	1	4294967295	4294967295	0	0	0.0	0.0	1
252	252	2		25	1	0	1	4294967295	4294967295	0	0	0.0	0.0	1
1000	1000	8		3	2	0	0	4294967295	4294967295	0	0	1.0	1.0	0
1001	1000	8		3	2	0	0	4294967295	4294967295	0	0	1.0	1.0	0
1002	1000	8		3	2	0	0	4294967295	4294967295	0	0	2.0	2.0	0
1003	1000	8		3	2	0	0	4294967295	4294967295	0	0	2.0	2.0	0
1004	1000	8		3	2	0	0	4294967295	4294967295	0	0	3.0	3.0	0
1005	1000	8		3	2	0	0	4294967295	4294967295	0	0	3.0	3.0	0
1006	1000	8		3	2	0	0	4294967295	4294967295	0	0	4.0	4.0	0
1007	1000	8		3	2	0	0	4294967295	4294967295	0	0	4.0	4.0	0
1008	1000	8		3	2	0	0	4294967295	4294967295	0	0	5.0	5.0	0
1009	1001	8		4	12	0	0	4294967295	4294967295	0	0	1.0	1.0	0
1010	1001	8		4	12	0	0	4294967295	4294967295	0	0	2.0	2.0	0
1011	1001	8		4	12	0	0	4294967295	4294967295	0	0	3.0	3.0	0
1012	1001	8		4	12	0	0	4294967295	4294967295	0	0	4.0	4.0	0
1013	1001	8		4	12	0	0	4294967295	4294967295	0	0	6.0	6.0	0
1014	1001	8		4	12	0	0	4294967295	4294967295	0	0	7.0	7.0	0
1015	1001	8		4	12	0	0	4294967295	4294967295	0	0	8.0	8.0	0
1016	1001	8		4	12	0	0	4294967295	4294967295	0	0	9.0	9.0	0
1017	1001	8		4	12	0	0	4294967295	4294967295	0	0	10.0	10.0	0
1018	1002	8		4	13	0	0	4294967295	4294967295	0	0	1.0	1.0	0
1019	1002	8		4	13	0	0	4294967295	4294967295	0	0	2.0	2.0	0
1020	1002	8		4	13	0	0	4294967295	4294967295	0	0	3.0	3.0	0
1021	1002	8		4	13	0	0	4294967295	4294967295	0	0	4.0	4.0	0
1022	1002	8		4	13	0	0	4294967295	4294967295	0	0	5.0	5.0	0
1023	1002	8		4	13	0	0	4294967295	4294967295	0	0	6.0	6.0	0
1024	1002	8		4	13	0	0	4294967295	4294967295	0	0	8.0	8.0	0
1025	1002	8		4	13	0	0	4294967295	4294967295	0	0	9.0	9.0	0
1026	1002	8		4	13	0	0	4294967295	4294967295	0	0	10.0	10.0	0
1027	1003	8		4	14	0	0	4294967295	4294967295	0	0	10.0	10.0	0
1028	1003	8		4	14	0	0	4294967295	4294967295	0	0	10.0	10.0	0
1029	1003	8		4	14	0	0	4294967295	4294967295	0	0	20.0	20.0	0
1030	1003	8		4	14	0	0	4294967295	4294967295	0	0	20.0	20.0	0
1031	1003	8		4	14	0	0	4294967295	4294967295	0	0	30.0	30.0	0
1032	1003	8		4	14	0	0	4294967295	4294967295	0	0	30.0	30.0	0
1033	1003	8		4	14	0	0	4294967295	4294967295	0	0	40.0	40.0	0
1034	1003	8		4	14	0	0	4294967295	4294967295	0	0	40.0	40.0	0
1035	1003	8		4	14	0	0	4294967295	4294967295	0	0	50.0	50.0	0
1036	1004	8		4	15	0	0	4294967295	4294967295	0	0	5.0	5.0	0
1037	1004	8		4	15	0	0	4294967295	4294967295	0	0	5.0	5.0	0
1038	1004	8		4	15	0	0	4294967295	4294967295	0	0	10.0	10.0	0
1039	1004	8		4	15	0	0	4294967295	4294967295	0	0	10.0	10.0	0
1040	1004	8		4	15	0	0	4294967295	4294967295	0	0	20.0	20.0	0
1041	1004	8		4	15	0	0	4294967295	4294967295	0	0	20.0	20.0	0
1042	1004	8		4	15	0	0	4294967295	4294967295	0	0	25.0	25.0	0
1043	1004	8		4	15	0	0	4294967295	4294967295	0	0	25.0	25.0	0
1044	1004	8		4	15	0	0	4294967295	4294967295	0	0	30.0	30.0	0
1045	1005	8		5	22	0	0	4294967295	4294967295	1000	1000	300.0	0.0	0
1046	1005	8		5	22	0	0	4294967295	4294967295	1500	1500	300.0	0.0	0
1047	1005	8		5	22	0	0	4294967295	4294967295	3000	3000	300.0	0.0	0
1048	1005	8		5	22	0	0	4294967295	4294967295	3500	3500	300.0	0.0	0
1049	1005	8		5	22	0	0	4294967295	4294967295	5000	5000	300.0	0.0	0
1050	1005	8		5	22	0	0	4294967295	4294967295	6000	6000	300.0	0.0	0
1051	1005	8		5	22	0	0	4294967295	4294967295	8000	8000	300.0	0.0	0
1052	1005	8		5	22	0	0	4294967295	4294967295	9000	9000	300.0	0.0	0
1053	1005	8		5	22	0	0	4294967295	4294967295	10000	10000	300.0	0.0	0
1054	1006	8		5	23	0	0	4294967295	4294967295	500	500	300.0	0.0	0
1055	1006	8		5	23	0	0	4294967295	4294967295	750	750	300.0	0.0	0
1056	1006	8		5	23	0	0	4294967295	4294967295	1500	1500	300.0	0.0	0
1057	1006	8		5	23	0	0	4294967295	4294967295	1750	1750	300.0	0.0	0
1058	1006	8		5	23	0	0	4294967295	4294967295	2500	2500	300.0	0.0	0
1059	1006	8		5	23	0	0	4294967295	4294967295	3000	3000	300.0	0.0	0
1060	1006	8		5	23	0	0	4294967295	4294967295	4000	4000	300.0	0.0	0
1061	1006	8		5	23	0	0	4294967295	4294967295	4500	4500	300.0	0.0	0
1062	1006	8		5	23	0	0	4294967295	4294967295	5000	5000	300.0	0.0	0
2001	2001	4	ICON_CONTAINER_009_000	4	12	1	0	10800	4294967295	0	0	1.0	1.0	0
2002	2002	4	ICON_CONTAINER_009_000	4	12	1	0	10800	4294967295	0	0	1.0	1.0	0
2003	2003	4	ICON_CONTAINER_009_000	4	12	1	0	10800	4294967295	0	0	1.0	1.0	0
2004	2004	4	ICON_CONTAINER_009_000	4	12	1	0	10800	4294967295	0	0	1.0	1.0	0
2005	2005	4	ICON_CONTAINER_009_000	4	12	1	0	10800	4294967295	0	0	1.0	1.0	0
2006	2006	4	ICON_CONTAINER_009_000	4	13	0	0	10800	4294967295	0	0	1.0	1.0	0
2007	2007	4	ICON_CONTAINER_009_000	4	13	0	0	10800	4294967295	0	0	1.0	1.0	0
2008	2008	4	ICON_CONTAINER_009_000	4	13	0	0	10800	4294967295	0	0	1.0	1.0	0
2009	2009	4	ICON_CONTAINER_009_000	4	13	0	0	10800	4294967295	0	0	1.0	1.0	0
2010	2010	4	ICON_CONTAINER_009_000	4	13	0	0	10800	4294967295	0	0	1.0	1.0	0
2501	2501	2		23	0	0	0	259200	4294967295	0	0	1.0	1.0	0
2502	2502	2		23	0	0	0	259200	4294967295	0	0	1.0	1.0	0
2503	2503	2		23	0	0	0	259200	4294967295	0	0	1.0	1.0	0
2504	2504	2		23	0	0	0	259200	4294967295	0	0	1.0	1.0	0
2505	2505	2		23	0	0	0	259200	4294967295	0	0	1.0	1.0	0
2506	2506	2		23	0	0	0	259200	4294967295	0	0	1.0	1.0	0
2507	2507	2		23	0	0	0	259200	4294967295	0	0	1.0	1.0	0
2508	2508	2		23	0	0	0	259200	4294967295	0	0	1.0	1.0	0
2509	2509	2		23	0	0	0	259200	4294967295	0	0	1.0	1.0	0
2510	2510	2		23	0	0	0	259200	4294967295	0	0	1.0	1.0	0
8001	8001	2	ICON_SERVICE_001_000	4	12	2	0	4294967295	4294967295	0	0	10.0	10.0	1
8002	8002	2	ICON_SERVICE_002_000	4	13	2	0	4294967295	4294967295	0	0	10.0	10.0	1
9001	18	2	ICON_SERVICE_003_000	11	0	0	0	60	4294967295	0	0	0.0	0.0	1
9002	9011	2	ICON_SERVICE_003_000	21	0	1	0	4294967295	5	0	0	0.0	0.0	0
9003	9003	2	Icon_Emotion_Cry	5	21	1	0	600	4294967295	100	0	10.0	0.0	0
9005	9001	2	ICON_CULTURED_S_000	2	0	1	0	600	4294967295	0	0	0.0	0.0	1
9006	9002	2	ICON_CULTURED_S_000	1	0	1	0	600	4294967295	0	0	0.0	0.0	1
9007	9004	2	ICON_CULTURED_S_000	7	0	1	0	600	4294967295	0	0	0.0	0.0	1
9008	9006	2		18	41	0	0	259200	4294967295	0	0	0.0	0.0	1
9009	9007	2		18	42	0	0	259200	4294967295	0	0	0.0	0.0	1
9010	9008	2		18	43	0	0	259200	4294967295	0	0	0.0	0.0	1
9011	9011	2	ICON_VIP_000_000	16	0	1	0	4294967295	3	0	0	0.0	0.0	0
9012	9012	2		23	0	1	0	60	4294967295	0	0	0.0	0.0	0
