n_ID	n_TYPE	n_NOTIFY_TYPE	s_MESSAGE
141	35	0	บันทึกอยู่ในรายชื่อเพื่อนหรือเพื่อนทางจดหมายแล้ว ไม่สามารถย้ายไปบัญชีดำได้
142	66	0	ส่งสถานะส่วนตัวของท่านไปแล้ว!
143	1	0	ลบ [ $V1 ] จากบัญชีดำแล้ว
144	67	0	ส่งจดหมายสำเร็จ!
145	3	0	ซื้อสำเร็จ!
146	34	0	กรุณาใส่หัวเรื่อง!
147	34	0	กรุณาใส่เนื้อหา!
148	1	0	ปัจจุบันกิลด์มีสมาชิก $V1 คน หากมีไม่ถึง $V5 คน กิลด์จะถูกปิดภายใน $V2 วัน $V3 ชั่วโมง $V4 นาที !
149	1	0	 $V1  ถูกปิดลงแล้ว น่าเสียดายจริงๆ...
150	1	0	ครั้งนี้สุ่มได้อัตราสำเร็จในการตีบวก $V1 
151	131	0	ยินดีด้วยท่านตีบวกสำเร็จ!
152	3	0	เครื่องสวมใส่ถูกลดระดับ! พยายามเข้านะ!
153	35	0	ต้องเป็นเครื่องสวมใส่ประเภทเดียวกันจึงจะทำการโอนย้ายได้!
154	67	0	โอนย้ายสำเร็จ รีบใส่เครื่องสวมใส่อันใหม่เลยสิ!
155	1	0	เพิ่ม [ $V1 ] ไปในบัญชีดำเรียบร้อยแล้ว!
156	35	0	 $V1  ออนไลน์แล้ว รายชื่อตัวละครจะหายไปภายใน 1 นาที!
157	1	0	ยินดีด้วย $V1 เป็นหัวหน้ากิลด์แล้ว!
158	1	0	ตำแหน่งของ $V1 ถูกปรับเป็น $V2
159	34	0	ท่านไม่มีสิทธิ์ในการดำเนินการสิ่งนี้
160	34	0	ผิดพลาด! ฝ่ายตรงข้ามไม่ได้อยู่ในกิลด์ของท่าน!
161	2	0	ล้มเหลว! ค่าการผสมแต้มสเตตัสเดี่ยวไม่สามารถมากกว่าผลรวมของ 4 สเตตัสที่เหลือ!
162	35	0	ล้มเหลว! เมื่อเลเวลเลย $V1 ไปแล้ว การรีเซ็ทสเตตัสใหม่จะต้องใช้คุกกี้ $V2 คุกกี้!
163	35	0	ระดับกิลด์ไม่เพียงพอ!
164	35	0	กรุณานำผลึกที่ฝังประดับอยู่ออกมาก่อน!
165	67	0	ฝังประดับสำเร็จ! อย่าลืมผลึกสามารถพัฒนาได้เรื่อยๆ!
166	9	2	ได้รับแต้มสกิลของกิลด์!
167	35	0	กรุณาเลือกเพื่อน 1 คน!
168	35	0	ล้มเหลว! เงินในกิลด์ไม่เพียงพอ!
169	3	0	 [ $V1 ] ออกจากทีม!
170	3	0	ยกเลิกทีม!
171	3	0	ท่านทำภารกิจนี้แล้ว!
172	67	0	ได้รับของรางวัลแล้ว! รีบเปิดคลังร้านค้าดูสิ~
173	1	0	ได้รับ [ $V1 ]!
174	34	0	ท่านมีกิลด์แล้ว กรุณาออกจากกิลด์เก่าก่อน!
175	34	0	ท่ายังทำภารกิจสร้างกิลด์ไม่สำเร็จ ไม่สามารถสร้างกิลด์ได้!
176	1	0	การสร้างกิลด์ล้มเหลว
177	34	0	จำนวนสมาชิกของกิลด์ที่ท่านอยู่เต็มแล้ว!
178	34	0	ฝ่ายตรงข้ามมีกิลด์แล้ว!
179	1	0	ปฏิเสธคำเชิญเข้ากิลด์แล้ว
180	1	0	ยินดีด้วย ท่านเข้ากิลด์ $V1 แล้ว
181	1	0	ยินดีต้อนรับสู่กิลด์ $V1!
182	35	0	 $V1  ออกจากกิลด์แล้ว รายชื่อตัวละครจะหายไปใน 1 วินาที!
183	1	0	เยี่ยมไปเลย! $V1 ส่งของขวัญให้ท่าน 1 อย่าง รีบเปิดดูสิ อาจมีเซอร์ไพส์นะ!
184	1	0	ยินดีด้วย! เพิ่มระดับกิลด์เป็น $V1 แล้ว!
185	13	2	ยังมีเงินเดือนของกิลด์ที่ยังไม่ได้รับ กรุณากดรับด้วย!
186	13	1	มีรายการผจญภัยที่ยังทำไม่สำเร็จ!
187	34	0	สถานะปัจจุบันไม่สามารถส่งไปยังเกาะกิลด์ได้!
188	3	0	สถานะของสัตว์ขี่เปลี่ยนแล้ว! สามารถเรียกสัตว์เลี้ยงปรับเปลี่ยนการแสดงสถานะใหม่ได้!
189	35	0	กิจกรรมเต็มแล้ว! กรุณาลงทะเบียนในครั้งต่อไป
190	35	0	ปัจจุบันท่านไม่มีกิลด์!
191	67	0	ฟังก์ชั่นใหม่ในเกาะกิลด์เปิดใช้แล้ว!
192	35	0	ไม่สามารถรับของขวัญได้! ในกระเป๋าจะต้องมีช่องว่างอย่างน้อย 4 ช่อง!
193	35	0	ไม่เหลือช่องว่างพอที่จะทำการเปลี่ยนแปลง!
194	35	0	เลเวลกิลด์ของท่านยังไม่ถึง N จะอยู่ในสถานะถูกคุ้มครอง ไม่สามารถเข้าร่วมสงครามได้!
195	35	0	การใช้แชนแนลนี้จะต้องใช้ไอเทมประเภทขยายเสียง!
196	3	0	รหัสลับไม่ถูกต้อง!
197	1	0	ได้รับ EXP $V1 แต้ม!
198	1	0	ได้รับแต้มสกิล $V1 แต้ม!
199	1	0	ได้รับค่าชื่อเสียงกองทัพ $V1 $V2 แต้ม!
200	1	0	ทอง
201	1	0	เงิน
202	1	0	ทองแดง
203	1	0	ทหารเรือ
204	1	0	โจรสลัด
205	131	0	หลอมสำเร็จ!
206	131	0	ลดโชคลาภ หลอมผลึกพิเศษแล้ว!
207	259	0	การหลอมล้มเหลว! เสียผลึก 1 เม็ด!
208	1	0	สร้างสำเร็จ!
209	35	0	จำนวนที่เหลือไม่เพียงพอ!
210	13	2	สกิลกิลด์ถูกรีเซ็ทแล้ว กรุณาเปิดหน้าสกิลเพื่อตั้งค่าใหม่!
211	35	0	ท่านลงทะเบียนกิจกรรมนี้แล้ว!
212	35	0	เลยเวลาการลงทะเบียนนี้แล้ว!
213	35	0	จำนวนสมาชิกในทีมไม่ถูกต้อง!
214	35	0	ไอเทมไม่เพียงพอ!
215	35	0	เลเวลกิลด์ไม่ถูกต้อง!
216	35	0	ชื่อเสียงทหารเรือไม่เพียงพอ!
217	35	0	ชื่อเสียงโจรสลัดไม่เพียงพอ!
218	3	0	ตีบวกล้มเหลว เครื่องสวมใส่สูญหาย!
219	35	0	คุกกี้ไม่เพียงพอ! การตั้งค่าล้มเหลว!
220	35	0	Romeo ยังค้นหาเพื่อนร่วมเดินทางให้ท่านไม่ได้!
221	0	0	
222	37	0	ไม่สามารถออกจากกิลด์ได้! กรุณาเปลี่ยนตำแหน่ง!
223	1	0	ท่านออกจากกิลด์แล้ว!
224	1	0	 $V1  ออกจากกิลด์
225	35	0	ในเวลาสงครามกิลด์ไม่สามารถใช้ฟังก์ชั่นนี้ได้!
226	35	0	จะต้องเป็นสมาชิกในกิลด์เดียวกัน!
227	37	0	ฝ่ายตรงข้ามยังไม่ได้ตอบรับคำเชิญ!
228	35	0	ไม่สามารถนำฝึกได้! เวลาจะต้องห่างจากเวลาฝึกครั้งที่แล้ว $V1 นาที!
229	35	0	ผลึกนี้สูญเสียแสงไปแล้ว ไม่สามารถฝังประดับเป็นครั้งที่ 2 ได้
230	1	0	[กิลด์] ขอบคุณ $V1 บริจาค EXP ให้กิลด์ $V2%!
231	9	2	[กิลด์] วันนี้ได้รับเงินทุน $V1 เหรียญ! บันทึกในคลังกิลด์แล้ว!
232	9	2	[กิลด์] วันนี้ได้รับรางวัลการรบ $V1 เหรียญ! บันทึกในคลังกิลด์แล้ว!
233	35	0	กิลด์ปัจจุบันยังไม่มีเกาะ!
234	1	0	[กิลด์] ไม่สามารถอัพระดับได้! เพราะจำนวนตัวละครไม่เพียงพอ
235	1	0	ค่าความดีถึงจำนวนสูงสุดของสัปดาห์แล้ว! ที่เกินมาจะถูกบันทึกลงในสถิติของสัปดาห์หน้า!
236	35	0	ปัจจุบันยังไม่มีทีม! ไม่สามารถรับภารกิจได้!
237	35	0	สมาชิกทีมกับ Summon จะต้องอยู่ในกิลด์เดียวกัน!
238	35	0	ไม่สามารถรับภารกิจได้! สมาชิกจะต้องออนไลน์ทุกคน!
239	35	0	สมาชิกทีมจะต้องอยู่ในแชนแนลเดียวกัน!
240	35	0	ล้มเหลว! รับและส่งภารกิจจะต้องเป็นตัวละครเดียวกัน!
241	35	0	ล้มเหลว! สมาชิกทุกคนยังไม่ผ่านดันเจี้ยน!
242	8	2	ได้รับค่าความดี $V1!
243	1	0	Summon เติบโต $V1 
244	36	0	ไม่มีรูปให้ใช้แล้ว! จะต้องรีเซ็ทรูป!
245	5	0	กิจกรรมสิ้นสุด
246	1	0	กิจกรรมรอบนี้ได้รับ EXP $V1!
247	1	0	กรุณาเลือกอย่างน้อย 1 รายการ!
248	35	0	ส่วนบำรุงที่เก็บไว้ถึงจำนวนสูงสุดแล้ว!
249	35	0	เกมจบ!
250	65	0	บันทึกการตั้งค่าคีย์แล้ว!
251	2	0	เข้าหลอมโชคลาภ เสี่ยงโชคดูสิ~
252	35	0	ด้านล่างมีรอยแยก ไม่สามารถใช้ได้แล้ว!
253	1	0	 $V1  ได้รับ EXP $V2 แต้ม
254	3	0	 $V1  ออกจากแชนแนล $V2!
255	3	0	 $V1  เข้าสู่แชนแนล $V2!
256	35	0	เลเวลของตัวละครยังไม่ถึง 60 การเข้าล้มเหลว!
257	35	0	เลเวลตัวละครยังไม่ถึง 100 การเข้าล้มเหลว!
258	35	0	แชนแนลนี้มีจำนวนคนถึง 50 คนแล้ว การเข้าล้มเหลว!
259	5	0	ประสิทธิผลของแต้มสเตตัสเดี่ยว ไม่สามารถมากกว่าแต้มรวมของสเตตัสอื่นๆ
260	5	0	ต้องใช้เงินในการรีเซ็ทแต้ม
263	3	0	กรุณาเลือกไอเทม 1 อย่าง!
264	1	0	สะสมชิ้นส่วนสำเร็จ!
265	35	0	ขุดสมบัติล้มเหลว! ที่นี่ไม่มีสมบัติ!
266	5	0	ยินดีด้วย! ท่านสะสมชิ้นส่วน $V1 สำเร็จ! ดูสิว่าในกล่องมีอะไรอยู่บ้าง!
267	35	0	จะต้องตั้งทีมกับเพื่อนเท่านั้น และในทีมจะต้องไม่มีคนอื่น!
268	11	2	 $V1  เป็นเพื่อนกับท่านแล้ว!
269	3	0	ท่านยกเลิกผลการจับคู่ในครั้งนี้!
270	8	2	ค่าความสนิทของท่านและ $V1 เพิ่มขึ้น $V2 แต้ม!
271	35	0	จดหมาบในขวดของท่านไม่ถูกเก็บขึ้น Romeo ไม่สามารถหาเพื่อนให้ท่านได้อีกครั้ง!
272	67	0	ขุดเจอ $V1 ! โชคดีสุดๆ!
273	3	0	ได้รับชิ้นส่วนแผนที่ $V1 ใบ!
274	3	0	ไม่มีการตอบรับ!
275	35	0	ขุดสมบัติล้มเหลว! ในตัวไม่มีพลั่วสำหรับขุดสมบัติ
276	35	0	มีเครื่องสวมใส่นี้อยู่แล้ว
277	67	0	ได้รับเครื่องสวมใส่：[$V1] เปิดข้อมูลลูกเรือเพื่อทำการสวมใส่
278	1	0	ช่วยเพื่อนในกิลด์เปิดเหล้าสำเร็จ!
279	3	0	โอ้! ชิ้นส่วนนี้เคยสะสมไปแล้ว!
280	35	0	ซื้อล้มเหลว คุกกี้ไม่เพียงพอ!
281	67	0	ยินดีด้วยท่านเลเวลอัพแล้ว! เลเวลปัจจุบันของท่านคือ [ $V1 ]!
282	3	0	ได้รับไอเทมภารกิจ: [$V2] $V3 อัน！ ($V4/$V5)
283	5	1	 $V1  ส่งไอเทมร้านค้าให้ท่าน รีบไปรับที่ร้านค้าได้เลย!
284	35	0	จดหมายถูกน้ำทะเลจนเสียหาย ไม่สามารถใช้ได้อีก!
285	8	3	 $V1  ส่งของมาให้! ไปหา<text style="101" path="622">Safe Keeper</text>เพื่อรับของ!
286	5	0	คุกกี้ไม่เพียงพอ! กรุณาใส่ใหม่อีกครั้ง!
287	5	0	แลกเปลี่ยน Token สำเร็จ!
288	5	0	ลำดับผิดพลาด! กรุณาใส่ใหม่อีกครั้ง!
289	5	0	แลกแปลี่ยนล้มเหลว! ที่ว่างในคลังไม่เพียงพอ!
290	5	0	แลกเปลี่ยนสำเร็จ! ไอเทมเข้าไปอยู่ในคลังร้านค้าแล้ว!
291	5	0	รับสำเร็จ! กรุณาตรวจสอบไอเทมที่รับแล้ว ในคลังร้านค้า
292	35	0	มีลูกเรือท่านนี้แล้ว!
293	35	0	เกินจำนวนจำกัดของวันนี้แล้ว!
294	5	0	ข้อมูลนี้ถูกบันทึกแล้ว!
295	5	0	เกินขอบเขตที่สามารถทำการย้อมได้ กรุณาจัดสีที่ต้องการย้อมใหม่อีกครั้ง!
296	3	0	ภารกิจ: $V1  สำเร็จ!
297	35	0	ภารกิจ: $V1  ล้มเหลว!
298	3	0	MP ไม่เพียงพอ!
299	1	0	คนที่ทำการกระซิบด้วยต้องไม่ใช่ตนเอง!
300	1	0	ไม่ได้อยู่ในทีม!
301	1	0	ไม่ได้อยู่ในกิลด์!
302	1	0	ในตัวไม่มีเครื่องขยายเสียง!
303	1	0	เครื่องขยายเสียงไม่มีแบตเตอรี่แล้ว!
304	3	0	ผสมสำเร็จ ลูกเรือกำลังเปลี่ยนแปลง!
305	35	0	ผสมล้มเหลว พยายามเข้า จะต้องมีสักวันที่ทำสำเร็จอย่างแน่นอน!
306	3	0	หักเงิน
307	3	0	หัก [ $V1 ] $V2 อัน!
308	35	0	กรุณาเลือกประสิทธิผล 1 อย่าง!
309	35	0	แต้มชั้นวางของไม่เพียงพอ!
310	67	0	ได้รับผล $V1 แล้ว!
311	35	0	เกินจำนวนที่สามารถซื้อได้ของไอเทมนี้!
312	35	0	เกินจำนวนที่สามารถซื้อได้ในวันนี้ของไอเทมนี้!
313	67	0	ลบภารกิจ [ $V1 ] สำเร็จ!
314	2	0	เป้าหมายภารกิจกำจัด: $V2!($V3/$V4)
315	2	0	สกิลกำลังคูลดาวน์!
316	9	2	<text style="101" opentabpage="System_Social_Main;TAB_MAIL">กล่องจดหมาย</text>มีจดหมายที่ยังไม่ได้อ่าน!
317	1	0	กติกาในการเก็บเปลี่ยนเป็น [ $V1 ] !
318	35	0	ตำแหน่งเลเวลผิดพลาด!
319	34	0	กรุณาสร้างตัวละคร!
320	3	0	รหัสจะต้องไม่มีตัวอักษรพิเศษหรือน้อยกว่า 2 ตัวอักษร!
321	35	0	น่าเสียดาย ท่านไม่ได้รับไอเทมใดเลย!
322	65	0	ลงทะเบียน $V1 แล้ว รีบไปดูที่ตู้เก็บของสิ!
323	9	1	อย่างแรกที่ต้องทำเมื่อเข้าเกม! เริ่มรับรางวัลรายวัน <text style="101" openui="Daily_Reward"></text>!
324	9	1	<text style="101" openui="Daily_Reward">รางวัลรายวัน</text>มีไอเทมที่สามารถรับได้ รีบเปิดหน้าต่างเลย!
325	3	0	ในกระเป๋าไม่มีไอเทมที่สามารถประเมินได้!
326	2	0	สถานะในปัจจุบันไม่สามารถใช้ความสามารถนี้ได้!
327	2	0	สถานะในปัจจุบันไม่สามารถดำเนินการได้!
328	2	0	สกิลกำลังรีเซ็ท!
329	2	0	เลือกเป้าหมายไม่ถูกต้อง!
330	2	0	เลือกอาวุธไม่ถูกต้อง!
331	2	0	ค่ากำลังไม่เพียงพอ!
332	2	0	ไกลเกินไป!
333	2	0	ต้องเผชิญหน้ากับเป้าหมาย!
334	2	0	คริติคอล
335	2	0	ป้องกัน
336	2	0	ต้านทาน
337	35	0	ใส่รหัสผิด!
338	67	0	เปลี่ยนรหัสสำเร็จ!
339	65	0	หล่อสำเร็จ รีบใส่เครื่องสวมใส่อันใหม่เลยสิ!
340	67	0	ส่งกล่อง!
341	9	1	ยินดีด้วย ช่องห้องเก็บเหล้าเพิ่ม 1 ช่อง กรุณาไปยังหน้าต่าง ห้องเก็บเหล้า เพื่อยืนยัน!
342	35	0	ใช้จำนวนการส่งด่วนหมดแล้ว กรุณารีเซ็ทและดำเนินการใหม่อีกคร้ง!
343	1	0	เป้าหมายปัจจุบันไม่มีอยู่ หรือ ปัจจุบันไม่สามารถไปยังตำแหน่งนั้นได้!
344	1	0	เป้าหมายอยู่ในดันเจี้ยน ไม่สามารถเข้าได้!
345	1	0	เส้นทางมีสิ่งกีดขวาง กรุณาเลือกตำแหน่งอื่น หรือกระโดดลงมาจากที่สูง！
346	1	0	ไม่สามารถใช้ฟังก์ชั่นติดตามจากตรงนี้ได้!
347	3	0	กรุณาเลือกดันเจี้ยน 1 ดันเจี้ยน!
348	3	0	ข้าจะบอกเจ้า! ข้าเพิ่งจะได้ความสำเร็จ $V1 มาน่ะ! ฮ่าๆๆๆ
349	5	0	รีเซ็ทดันเจี้ยนสำเร็จ!
350	35	0	จำนวนธาตุที่สามารถแยกได้ไม่เพียงพอ!
351	36	0	ไม่สามารถส่งด่วนให้กับตัวเอง!
352	66	0	เรียนรู้สูตรใหม่แล้ว รีบไปที่ห้องเก็บเหล้าดูสิว่ากลั่นได้เหล้าอะไรออกมา!
353	5	0	ไม่สามารถใช้ฟังก์ชั่นนี้ที่นี่ได้!
354	5	0	ส่งเนื้อหาการแจ้งไปแล้ว! ขอบคุณที่ช่วยให้สิ่งแวดล้อมดีขึ้น!
355	5	0	ท่านแจ้ง [ $V1 ] ไปแล้ว!
356	5	0	ค่าถดถอยเหลือ 0!
357	5	0	ค่าถดถอยยังเหลืออยู่ พยายามเข้า!
358	34	0	ยังไม่ได้ตั้งค่าบาปกำเนิด!
359	35	0	ใส่ชื่อไม่ถูกต้องตามกฎระเบียบ!
360	35	0	ยังไม่เก็บเครื่องสวมใส่ ไม่สามารถลองได้!
361	9	1	 [ $V1 ] <text style="101" openui="ACHIEVEMENT_MAIN">ความสำเร็จ</text>อัพเดทความคืบหน้า ($V2/$V3)
362	9	1	 [ $V1 ] <text style="101" openui="ACHIEVEMENT_MAIN">ความสำเร็จ</text>สำเร็จ! กรุณารับรางวัล!
363	1	0	 [ $V1 ] ได้รับความสำเร็จ [$V2]!
364	9	2	เจ้าได้ตามใจหวังแล้ว! รางวัล 2 เท่า! รีบเปิดหน้าต่าง<text style="101" openui="Guild_Main">กิลด์</text>และรับรางวัลเลย!
365	9	2	ความหวังของท่านได้ถูกภูติน้อยช่วยทำให้สำเร็จแล้ว! รีบเปิดหน้าต่าง<text style="101" openui="Guild_Main">กิลด์</text>และรับรางวัลเลย!
366	36	0	ยังไม่ได้ตั้งค่าสี!
367	3	0	ใส่รหัสผิด!
368	131	0	โชคดีมาก ยินดีด้วยท่านได้รับความแข็งแกร่งในการตีบวกเพิ่มขึ้น!
369	3	0	น่าเสียดาย เทพธิดาแห่งโชคกำลังจะไปแล้ว!
370	4	0	ไอเทมนี้ไม่สามารถลบได้!
371	36	0	ไอเทมนี้ถูกล็อกแล้ว!
372	3	0	 $V1  แชร์กิจกรรม [$V2] ~
373	4	0	ล็อคไอเทมสำเร็จ
374	67	0	แชร์กิจกรรม [ $V1 ] ให้เพื่อนสำเร็จ!
375	4	0	จำนวนไม่เพียงพอ การล็อคล้มเหลว
376	34	0	กรุณาตั้งรหัส!
377	4	0	ปลดล็อกสำเร็จ
378	4	0	ไอเทมนี้ไม่จำเป็นต้องทำการล็อก!
379	4	0	เวลาการปลดล็อค: $V1  วัน $V2 ชั่วโมง $V3 นาที $V4 วินาที
380	36	0	ไอเทมที่ล็อคไว้ไม่สามารถซื้อขายหรือทำให้เกิดความสูญเสียได้!
381	4	0	ไอเทมถูกล็อคอยู่ ไม่สามารถทิ้งได้!
382	4	0	ไอเทมนี้ถูกปลดล็อคแล้ว จะต้องรออีก $V1 วัน $V2 ชั่วโมง $V3 นาที $V4 วินาที จึงสามารถปลดล็อคได้
383	2	0	ปัจจุบัน HP เต็มแล้ว!
384	2	0	สถานะปัจจุบันไม่สามารถช่วยเหลือผู้อื่นได้!
385	2	0	จะต้องห่างจากคู่ช่วยเหลือในบริเวณ 2 เมตร!
386	2	0	มีคนอื่นช่วยอยู่แล้ว!
387	2	0	ดำเนินการช่วยเหลือล้มเหลว!
388	1	0	 [เพื่อน] $V1 ออนไลน์แล้ว!
389	1	0	 [เพื่อน] $V1 ออฟไลน์แล้ว!
390	1	0	 [เพื่อน] $V1 ตายแล้ว!
391	1	0	 [เพื่อน] $V1 รู้สึก [$V2] 
392	9	2	 [เพื่อน] $V1 ได้รับความสำเร็จ [$V2] 
393	3	0	เครื่องสวมใส่นี้ได้ทำการตีบวกถึงเลเวลสูงสุดแล้ว!
394	3	0	เลเวลไม่เพียงพอ ไม่สามารถฝังประดับได้!
395	35	0	ยังไม่มีการส่งไอเทมหรือเงินใดๆทั้งสิ้น!
396	35	0	เกินจำนวนจำกัดของแถบลัด!
397	34	0	ชื่อตัวละครซ้ำ!
398	34	0	กรุณาใส่ข้อมูลเสียง!
399	11	1	ยินดีด้วยท่านสะสมชิ้นส่วน $V1 สำเร็จ ได้รับรางวัล $V2!
400	11	1	ได้รับสิทธิ์ในการขุดสมบัติในฉาก $V1! รีบไปในแผนที่ (M) แล้วรับกุญแจเลย!
401	5	0	เนื่องจาก $V1 มีภาพของดันเจี้ยนนี้แล้ว ทั้งทีมจึงได้รับกล่องสมบัติลับ!
402	1	0	ท่าน
403	1	0	 $V1  ใช้ $V2
404	1	0	 $V1  เนื่องจาก $V2 ของ $V3, HP$V4$V5
405	1	0	 $V1  เนื่องจาก $V2 ของ $V3, HP$V4$V5
406	1	0	 $V1  ได้รับผล $V3 ของ $V2
407	1	0	$V1$V2$V3$V4$V5
408	1	0	หลบ
409	1	0	(รับมือ)
410	1	0	(มองข้ามการป้องกัน)
411	1	0	(คริติคอล)
412	1	0	(สังหาร)
413	3	0	 $V1  บาดเจ็บหนักและล้มลง!
414	2	0	 $V1  ตาย!
415	2	0	 $V1  เริ่มช่วยเหลือ $V2...
416	2	0	 $V1  ช่วยเหลือ $V2 สำเร็จ!
417	35	0	เรียนสูตรนี้แล้ว!
418	3	0	แลกเปลี่ยน Gashapon สำเร็จ
