n_ID	n_PPCLASS	n_SKILL	s_HK_VER	s_TC_VER	s_JP_VER	s_TH_VER
320	2	43024	1.03.0000	1.03.0000	1.07.0000	1.07.0000
321	2	43009	1.03.0000	1.03.0000	1.07.0000	1.07.0000
322	2	43001	1.03.0000	1.03.0000	1.07.0000	1.07.0000
323	2	43020	1.01.0000	1.00.0000	1.07.0000	1.07.0000
324	2	43017	1.03.0000	1.03.0000	1.07.0000	1.07.0000
325	2	43025	1.03.0000	1.03.0000	1.07.0000	1.07.0000
401	4	41011	1.01.0000	1.00.0000	1.07.0000	1.07.0000
402	4	41014	1.01.0000	1.00.0000	1.07.0000	1.07.0000
403	4	41020	1.01.0000	1.00.0000	1.07.0000	1.07.0000
404	4	41001	1.01.0000	1.00.0000	1.07.0000	1.07.0000
405	4	41012	1.01.0000	1.00.0000	1.07.0000	1.07.0000
406	4	41003	1.01.0000	1.00.0000	1.07.0000	1.07.0000
407	4	41008	1.03.0000	1.03.0000	1.07.0000	1.07.0000
408	4	41013	1.03.0000	1.03.0000	1.07.0000	1.07.0000
409	4	41022	1.01.0000	1.00.0000	1.07.0000	1.07.0000
410	4	41007	1.03.0000	1.03.0000	1.07.0000	1.07.0000
411	4	41019	1.01.0000	1.00.0000	1.07.0000	1.07.0000
412	4	41017	1.01.0000	1.00.0000	1.07.0000	1.07.0000
413	4	41024	1.03.0000	1.03.0000	1.07.0000	1.07.0000
414	4	41004	1.03.0000	1.03.0000	1.07.0000	1.07.0000
415	4	41002	1.03.0000	1.03.0000	1.07.0000	1.07.0000
416	4	41005	1.03.0000	1.03.0000	1.07.0000	1.07.0000
417	4	41023	1.03.0000	1.03.0000	1.07.0000	1.07.0000
418	4	41006	1.03.0000	1.03.0000	1.07.0000	1.07.0000
419	4	41010	1.03.0000	1.03.0000	1.07.0000	1.07.0000
420	4	41015	1.03.0000	1.03.0000	1.07.0000	1.07.0000
421	4	41021	1.03.0000	1.03.0000	1.07.0000	1.07.0000
422	4	41016	1.03.0000	1.03.0000	1.07.0000	1.07.0000
423	4	41009	1.03.0000	1.03.0000	1.07.0000	1.07.0000
424	4	41018	1.03.0000	1.03.0000	1.07.0000	1.07.0000
425	4	41025	1.03.0000	1.03.0000	1.07.0000	1.07.0000
501	16	42013	1.01.0000	1.00.0000	1.07.0000	1.07.0000
502	16	42008	1.01.0000	1.00.0000	1.07.0000	1.07.0000
503	16	42001	1.01.0000	1.00.0000	1.07.0000	1.07.0000
504	16	42009	1.01.0000	1.00.0000	1.07.0000	1.07.0000
505	16	42011	1.01.0000	1.00.0000	1.07.0000	1.07.0000
506	16	42014	1.01.0000	1.00.0000	1.07.0000	1.07.0000
507	16	42015	1.03.0000	1.03.0000	1.07.0000	1.07.0000
508	16	42010	1.01.0000	1.00.0000	1.07.0000	1.07.0000
509	16	42012	1.03.0000	1.03.0000	1.07.0000	1.07.0000
510	16	42003	1.01.0000	1.00.0000	1.07.0000	1.07.0000
511	16	42004	1.01.0000	1.00.0000	1.07.0000	1.07.0000
512	16	42006	1.03.0000	1.03.0000	1.07.0000	1.07.0000
513	16	42005	1.03.0000	1.03.0000	1.07.0000	1.07.0000
514	16	42002	1.03.0000	1.03.0000	1.07.0000	1.07.0000
515	16	42017	1.03.0000	1.03.0000	1.07.0000	1.07.0000
516	16	42026	1.03.0000	1.03.0000	1.07.0000	1.07.0000
517	16	42023	1.03.0000	1.03.0000	1.07.0000	1.07.0000
518	16	42022	1.03.0000	1.03.0000	1.07.0000	1.07.0000
519	16	42018	1.03.0000	1.03.0000	1.07.0000	1.07.0000
520	16	42016	1.03.0000	1.03.0000	1.07.0000	1.07.0000
521	16	42019	1.03.0000	1.03.0000	1.07.0000	1.07.0000
522	16	42021	1.03.0000	1.03.0000	1.07.0000	1.07.0000
523	16	42024	1.03.0000	1.03.0000	1.07.0000	1.07.0000
524	16	42020	1.03.0000	1.03.0000	1.07.0000	1.07.0000
525	16	42007	1.03.0000	1.03.0000	1.07.0000	1.07.0000
526	16	42025	1.03.0000	1.03.0000	1.07.0000	1.07.0000
601	32	44001	1.01.0000	1.00.0000	1.07.0000	1.07.0000
602	32	44006	1.01.0000	1.00.0000	1.07.0000	1.07.0000
603	32	44007	1.01.0000	1.00.0000	1.07.0000	1.07.0000
604	32	44003	1.01.0000	1.00.0000	1.07.0000	1.07.0000
605	32	44018	1.01.0000	1.00.0000	1.07.0000	1.07.0000
606	32	44002	1.03.0000	1.03.0000	1.07.0000	1.07.0000
607	32	44016	1.01.0000	1.00.0000	1.07.0000	1.07.0000
608	32	44009	1.03.0000	1.03.0000	1.07.0000	1.07.0000
609	32	44004	1.01.0000	1.00.0000	1.07.0000	1.07.0000
610	32	44013	1.01.0000	1.00.0000	1.07.0000	1.07.0000
611	32	44023	1.01.0000	1.00.0000	1.07.0000	1.07.0000
612	32	44008	1.03.0000	1.03.0000	1.07.0000	1.07.0000
613	32	44012	1.03.0000	1.03.0000	1.07.0000	1.07.0000
614	32	44021	1.03.0000	1.03.0000	1.07.0000	1.07.0000
615	32	44019	1.03.0000	1.03.0000	1.07.0000	1.07.0000
616	32	44015	1.03.0000	1.03.0000	1.07.0000	1.07.0000
617	32	44011	1.03.0000	1.03.0000	1.07.0000	1.07.0000
618	32	44010	1.03.0000	1.03.0000	1.07.0000	1.07.0000
619	32	44017	1.03.0000	1.03.0000	1.07.0000	1.07.0000
620	32	44024	1.03.0000	1.03.0000	1.07.0000	1.07.0000
621	32	44020	1.03.0000	1.03.0000	1.07.0000	1.07.0000
622	32	44005	1.03.0000	1.03.0000	1.07.0000	1.07.0000
623	32	44022	1.03.0000	1.03.0000	1.07.0000	1.07.0000
624	32	44014	1.03.0000	1.03.0000	1.07.0000	1.07.0000
625	32	44025	1.03.0000	1.03.0000	1.07.0000	1.07.0000
