n_ID	n_GUILDLV	n_AURALV	n_GROUP	n_ID_EFFECT_RESIDENT	n_ID_EFFECT_BUFF	n_BUFF_LV	n_POINTS	s_HK_VER	s_TC_VER	s_JP_VER	s_TH_VER
75	4	3	9	0	11513	1	16	1.00.0000	1.07.0000	1.07.0000	1.07.0000
76	5	4	9	0	11514	1	20	1.00.0000	1.07.0000	1.07.0000	1.07.0000
77	6	5	9	0	11515	1	48	1.00.0000	1.07.0000	1.07.0000	1.07.0000
78	7	6	9	0	11516	1	56	1.00.0000	1.07.0000	1.07.0000	1.07.0000
79	8	7	9	0	11517	1	128	1.00.0000	1.07.0000	1.07.0000	1.07.0000
80	9	8	9	0	11518	1	144	1.00.0000	1.07.0000	1.07.0000	1.07.0000
81	10	9	9	0	11519	1	160	1.00.0000	1.07.0000	1.07.0000	1.07.0000
82	2	1	10	0	11521	1	3	1.00.0000	1.07.0000	1.07.0000	1.07.0000
83	3	2	10	0	11522	1	7	1.00.0000	1.07.0000	1.07.0000	1.07.0000
84	4	3	10	0	11523	1	16	1.00.0000	1.07.0000	1.07.0000	1.07.0000
85	5	4	10	0	11524	1	20	1.00.0000	1.07.0000	1.07.0000	1.07.0000
86	6	5	10	0	11525	1	48	1.00.0000	1.07.0000	1.07.0000	1.07.0000
87	7	6	10	0	11526	1	56	1.00.0000	1.07.0000	1.07.0000	1.07.0000
88	8	7	10	0	11527	1	128	1.00.0000	1.07.0000	1.07.0000	1.07.0000
89	9	8	10	0	11528	1	144	1.00.0000	1.07.0000	1.07.0000	1.07.0000
90	10	9	10	0	11529	1	160	1.00.0000	1.07.0000	1.07.0000	1.07.0000
91	2	1	11	0	11531	1	3	1.00.0000	1.07.0000	1.07.0000	1.07.0000
92	3	2	11	0	11532	1	7	1.00.0000	1.07.0000	1.07.0000	1.07.0000
93	4	3	11	0	11533	1	16	1.00.0000	1.07.0000	1.07.0000	1.07.0000
94	5	4	11	0	11534	1	20	1.00.0000	1.07.0000	1.07.0000	1.07.0000
95	6	5	11	0	11535	1	48	1.00.0000	1.07.0000	1.07.0000	1.07.0000
96	7	6	11	0	11536	1	56	1.00.0000	1.07.0000	1.07.0000	1.07.0000
97	8	7	11	0	11537	1	128	1.00.0000	1.07.0000	1.07.0000	1.07.0000
98	9	8	11	0	11538	1	144	1.00.0000	1.07.0000	1.07.0000	1.07.0000
99	10	9	11	0	11539	1	160	1.00.0000	1.07.0000	1.07.0000	1.07.0000
100	2	1	12	0	11541	1	3	1.00.0000	1.07.0000	1.07.0000	1.07.0000
101	3	2	12	0	11542	1	7	1.00.0000	1.07.0000	1.07.0000	1.07.0000
102	4	3	12	0	11543	1	16	1.00.0000	1.07.0000	1.07.0000	1.07.0000
103	5	4	12	0	11544	1	20	1.00.0000	1.07.0000	1.07.0000	1.07.0000
104	6	5	12	0	11545	1	48	1.00.0000	1.07.0000	1.07.0000	1.07.0000
105	7	6	12	0	11546	1	56	1.00.0000	1.07.0000	1.07.0000	1.07.0000
106	8	7	12	0	11547	1	128	1.00.0000	1.07.0000	1.07.0000	1.07.0000
107	9	8	12	0	11548	1	144	1.00.0000	1.07.0000	1.07.0000	1.07.0000
108	10	9	12	0	11549	1	160	1.00.0000	1.07.0000	1.07.0000	1.07.0000
