n_ID	s_NAME
10024	ใบหน้า 2; ดวงตา 4
10025	ใบหน้า 2; ดวงตา 5
10041	ใบหน้า 3; ดวงตา 1
10042	ใบหน้า 3; ดวงตา 2
10043	ใบหน้า 3; ดวงตา 3
10044	ใบหน้า 3; ดวงตา 4
10045	ใบหน้า 3; ดวงตา 5
10051	臉型4;瞳孔1
10052	臉型4;瞳孔2
10053	臉型4;瞳孔3
10054	臉型4;瞳孔4
10055	臉型4;瞳孔5
10061	ใบหน้า 4; ดวงตา 1
10062	ใบหน้า 4; ดวงตา 2
10063	ใบหน้า 4; ดวงตา 3
10064	ใบหน้า 4; ดวงตา 4
10065	ใบหน้า 4; ดวงตา 5
10100	ส่วนหัว 2
10101	ใบหน้า 1; ดวงตา 1
10102	ใบหน้า 1; ดวงตา 2
10103	ใบหน้า 1; ดวงตา 3
10104	ใบหน้า 1; ดวงตา 4
10105	ใบหน้า 1; ดวงตา 5
10121	ใบหน้า 2; ดวงตา 1
10122	ใบหน้า 2; ดวงตา 2
10123	ใบหน้า 2; ดวงตา 3
10124	ใบหน้า 2; ดวงตา 4
10125	ใบหน้า 2; ดวงตา 5
10141	ใบหน้า 3; ดวงตา 1
10142	ใบหน้า 3; ดวงตา 2
10143	ใบหน้า 3; ดวงตา 3
10144	ใบหน้า 3; ดวงตา 4
10145	ใบหน้า 3; ดวงตา 5
10151	臉型4;瞳孔1
10152	臉型4;瞳孔2
10153	臉型4;瞳孔3
10154	臉型4;瞳孔4
10155	臉型4;瞳孔5
10161	ใบหน้า 4; ดวงตา 1
10162	ใบหน้า 4; ดวงตา 2
10163	ใบหน้า 4; ดวงตา 3
10164	ใบหน้า 4; ดวงตา 4
10165	ใบหน้า 4; ดวงตา 5
10181	ใบหน้า 5; ดวงตา 1
10182	ใบหน้า 5; ดวงตา 2
10183	ใบหน้า 5; ดวงตา 3
10184	ใบหน้า 5; ดวงตา 4
10185	ใบหน้า 5; ดวงตา 5
20000	ส่วนหัว 1
20001	ใบหน้า 1; ดวงตา 1
20002	ใบหน้า 1; ดวงตา 2
20003	ใบหน้า 1; ดวงตา 3
20004	ใบหน้า 1; ดวงตา 4
20005	ใบหน้า 1; ดวงตา 5
20021	ใบหน้า 2; ดวงตา 1
20022	ใบหน้า 2; ดวงตา 2
20023	ใบหน้า 2; ดวงตา 3
20024	ใบหน้า 2; ดวงตา 4
20025	ใบหน้า 2; ดวงตา 5
20041	ใบหน้า 3; ดวงตา 1
20042	ใบหน้า 3; ดวงตา 2
20043	ใบหน้า 3; ดวงตา 3
20044	ใบหน้า 3; ดวงตา 4
20045	ใบหน้า 3; ดวงตา 5
20051	臉型4;瞳孔1
20052	臉型4;瞳孔2
20053	臉型4;瞳孔3
20054	臉型4;瞳孔4
20055	臉型4;瞳孔5
20100	ส่วนหัว 2
20101	ใบหน้า 1; ดวงตา 1
20102	ใบหน้า 1; ดวงตา 2
20103	ใบหน้า 1; ดวงตา 3
20104	ใบหน้า 1; ดวงตา 4
20105	ใบหน้า 1; ดวงตา 5
20121	ใบหน้า 2; ดวงตา 1
20122	ใบหน้า 2; ดวงตา 2
20123	ใบหน้า 2; ดวงตา 3
20124	ใบหน้า 2; ดวงตา 4
20125	ใบหน้า 2; ดวงตา 5
20141	ใบหน้า 3; ดวงตา 1
20142	ใบหน้า 3; ดวงตา 2
20143	ใบหน้า 3; ดวงตา 3
20144	ใบหน้า 3; ดวงตา 4
20145	ใบหน้า 3; ดวงตา 5
20151	臉型4;瞳孔1
20152	臉型4;瞳孔2
20153	臉型4;瞳孔3
20154	臉型4;瞳孔4
20155	臉型4;瞳孔5
29101	臉型伊莉莎白
30001	ทรงผม 1; สีผม 1
30002	ทรงผม 1; สีผม 2
30003	ทรงผม 1; สีผม 3
30004	ทรงผม 1; สีผม 4
30005	ทรงผม 1; สีผม 5
30006	ทรงผม 1; สีผม 6
30007	ทรงผม 1; สีผม 7
30101	ทรงผม 2; สีผม 1
30102	ทรงผม 2; สีผม 2
30103	ทรงผม 2; สีผม 3
30104	ทรงผม 2; สีผม 4
30105	ทรงผม 2; สีผม 5
30106	ทรงผม 2; สีผม 6
30107	ทรงผม 2; สีผม 7
30201	ทรงผม 3; สีผม 1
30202	ทรงผม 3; สีผม 2
30203	ทรงผม 3; สีผม 3
30204	ทรงผม 3; สีผม 4
30205	ทรงผม 3; สีผม 5
30206	ทรงผม 3; สีผม 6
30207	ทรงผม 3; สีผม 7
30301	ทรงผม 4; สีผม 1
30302	ทรงผม 4; สีผม 2
30303	ทรงผม 4; สีผม 3
30304	ทรงผม 4; สีผม 4
30305	ทรงผม 4; สีผม 5
30306	ทรงผม 4; สีผม 6
30307	ทรงผม 4; สีผม 7
30401	ทรงผม 5; สีผม 1
30402	ทรงผม 5; สีผม 2
30403	ทรงผม 5; สีผม 3
30404	ทรงผม 5; สีผม 4
30405	ทรงผม 5; สีผม 5
30406	ทรงผม 5; สีผม 6
30407	ทรงผม 5; สีผม 7
30501	ทรงผม 6; สีผม 1
30502	ทรงผม 6; สีผม 2
30503	ทรงผม 6; สีผม 3
30504	ทรงผม 6; สีผม 4
30505	ทรงผม 6; สีผม 5
30506	ทรงผม 6; สีผม 6
30507	ทรงผม 6; สีผม 7
30601	ทรงผม 7; สีผม 1
30602	ทรงผม 7; สีผม 2
30603	ทรงผม 7; สีผม 3
30604	ทรงผม 7; สีผม 4
30605	ทรงผม 7; สีผม 5
30606	ทรงผม 7; สีผม 6
30607	ทรงผม 7; สีผม 7
30701	ทรงผม 8; สีผม 1
30702	ทรงผม 8; สีผม 2
30703	ทรงผม 8; สีผม 3
30704	ทรงผม 8; สีผม 4
30705	ทรงผม 8; สีผม 5
30706	ทรงผม 8; สีผม 6
30707	ทรงผม 8; สีผม 7
30801	ทรงผม 9;สีผม 1
30802	ทรงผม 9;สีผม 2
30803	ทรงผม 9;สีผม 3
30804	ทรงผม 9;สีผม 4
30805	ทรงผม 9;สีผม 5
30806	ทรงผม 9;สีผม 6
30807	ทรงผม 9;สีผม 7
30901	ทรงผม 10; สีผม 1
30902	ทรงผม 10; สีผม 2
30903	ทรงผม 10; สีผม 3
30904	ทรงผม 10; สีผม 4
30905	ทรงผม 10; สีผม 5
30906	ทรงผม 10; สีผม 6
30907	ทรงผม 10; สีผม 7
40001	ทรงผม 1; สีผม 1
40002	ทรงผม 1; สีผม 2
40003	ทรงผม 1; สีผม 3
40004	ทรงผม 1; สีผม 4
40005	ทรงผม 1; สีผม 5
40006	ทรงผม 1; สีผม 6
40007	ทรงผม 1; สีผม 7
40101	ทรงผม 2; สีผม 1
40102	ทรงผม 2; สีผม 2
40103	ทรงผม 2; สีผม 3
40104	ทรงผม 2; สีผม 4
40105	ทรงผม 2; สีผม 5
40106	ทรงผม 2; สีผม 6
40107	ทรงผม 2; สีผม 7
40201	ทรงผม 3; สีผม 1
40202	ทรงผม 3; สีผม 2
40203	ทรงผม 3; สีผม 3
40204	ทรงผม 3; สีผม 4
40205	ทรงผม 3; สีผม 5
40206	ทรงผม 3; สีผม 6
40207	ทรงผม 3; สีผม 7
40301	ทรงผม 4; สีผม 1
40302	ทรงผม 4; สีผม 2
40303	ทรงผม 4; สีผม 3
40304	ทรงผม 4; สีผม 4
40305	ทรงผม 4; สีผม 5
40306	ทรงผม 4; สีผม 6
40307	ทรงผม 4; สีผม 7
40401	ทรงผม 5; สีผม 1
40402	ทรงผม 5; สีผม 2
40403	ทรงผม 5; สีผม 3
40404	ทรงผม 5; สีผม 4
40405	ทรงผม 5; สีผม 5
40406	ทรงผม 5; สีผม 6
40407	ทรงผม 5; สีผม 7
40501	ทรงผม 6; สีผม 1
40502	ทรงผม 6; สีผม 2
40503	ทรงผม 6; สีผม 3
40504	ทรงผม 6; สีผม 4
40505	ทรงผม 6; สีผม 5
40506	ทรงผม 6; สีผม 6
40507	ทรงผม 6; สีผม 7
40601	ทรงผม 7; สีผม 1
40602	ทรงผม 7; สีผม 2
40603	ทรงผม 7; สีผม 3
40604	ทรงผม 7; สีผม 4
40605	ทรงผม 7; สีผม 5
40606	ทรงผม 7; สีผม 6
40607	ทรงผม 7; สีผม 7
40701	ทรงผม 8; สีผม 1
40702	ทรงผม 8; สีผม 2
40703	ทรงผม 8; สีผม 3
40704	ทรงผม 8; สีผม 4
40705	ทรงผม 8; สีผม 5
40706	ทรงผม 8; สีผม 6
40707	ทรงผม 8; สีผม 7
40801	ทรงผม 9;สีผม 1
40802	ทรงผม 9;สีผม 2
40803	ทรงผม 9;สีผม 3
40804	ทรงผม 9;สีผม 4
40805	ทรงผม 9;สีผม 5
40806	ทรงผม 9;สีผม 6
40807	ทรงผม 9;สีผม 7
40901	ทรงผม 10; สีผม 1
40902	ทรงผม 10; สีผม 2
40903	ทรงผม 10; สีผม 3
40904	ทรงผม 10; สีผม 4
40905	ทรงผม 10; สีผม 5
40906	ทรงผม 10; สีผม 6
40907	ทรงผม 10; สีผม 7
