n_ID	n_SCENE	n_X	n_Y	n_Z	n_DIRTECTION
65	12	9662	4294954281	12110	5
66	12	10333	4294954882	12110	3
67	3	21499	19315	1844	8
68	5	4294966995	7150	450	3
69	5	4294966995	7150	450	9
70	305	5795	2538	70	9
71	128	4294961518	4958	90	5
72	128	4294964843	5176	100	11
73	128	1550	4294965385	100	11
74	9	13026	4294938878	2680	3
75	129	4294963553	4294960610	4294967226	2
76	129	2246	4294961791	4294967226	12
77	129	2668	742	4294967226	8
78	15	11267	11012	13510	11
79	6	4294956570	4294959390	1630	2
80	6	4294954750	4294955434	1800	6
81	2	18527	5905	939	2
82	7	4294952874	17125	7000	5
83	7	7511	4294955187	11700	3
84	8	3758	4294964395	1330	5
85	8	4294958396	4294964296	5665	7
86	9	7756	4294957122	850	5
87	9	15347	741	1103	3
88	11	25163	20906	470	6
89	15	4294948917	4294954535	4140	10
90	15	4294966206	4294963088	8080	11
91	1	21426	4294954715	2820	3
92	2	23590	19544	1562	8
93	304	4294966765	4294966693	90	12
94	4	4294957277	23108	1660	1
95	304	2107	2870	90	4
96	304	3468	1939	90	10
97	6	4294951296	4294960896	2540	6
98	127	4294965422	4294965696	70	3
99	7	4294965408	4294949567	12030	4
100	127	2338	1117	70	3
101	305	4294966777	4294962897	70	1
102	305	610	4294963898	70	8
103	128	4294961522	3239	170	4
104	9	7512	4294957208	820	10
105	128	4294966332	4294965603	170	10
106	129	4294965158	4294963820	4294967266	3
107	12	4294959300	4294962213	11930	4
108	12	4294962413	4294955334	12600	8
109	126	4294967138	892	90	2
110	6	14978	4294966197	4770	1
111	305	2111	1062	70	8
112	12	2355	4294964456	12750	6
113	1	14908	4737	2250	3
114	1	14116	6342	2260	4
115	4	17547	4294945154	1950	5
116	4	5877	4294946885	1920	12
117	2	4294966907	4294944995	446	12
118	2	3600	4294946880	421	12
119	3	4294957758	4170	3570	3
120	3	4294958624	8084	3270	9
121	3	4294946429	3719	550	3
122	5	4294963478	4294959068	1360	12
123	5	4294963412	4294959640	1360	6
124	5	4294962714	4294959444	1400	6
125	5	22928	4294955799	4294966996	12
126	126	0	0	90	3
127	127	0	0	70	3
128	128	0	0	100	3
129	129	0	0	4294967226	3
130	2	11925	1323	2230	3
131	2	13753	2876	2210	3
132	119	231	4294949256	2400	12
133	4	4294955094	2281	2680	4
134	1	1	11713	535	4
135	1	20794	16466	1705	9
136	1	4294959870	4294964406	207	4
137	2	4294956291	4294963657	6510	3
138	2	2735	4294947956	590	3
139	2	19321	4294963260	525	7
140	2	13124	658	2200	6
141	2	2372	4294945339	593	7
142	3	12396	4294960924	3980	10
143	3	21713	15231	2275	5
144	3	20482	20210	1795	3
145	3	4294961846	4294945739	5321	5
146	3	4294952901	4294945911	4035	11
147	3	13490	14780	1522	5
148	3	13952	19764	1821	12
149	3	4294949306	4294956437	4135	3
150	3	23794	214	3826	3
151	3	4294946395	4393	520	9
152	3	4294958750	7506	3370	4
153	3	22703	7683	2596	4
154	3	19897	4294947434	5920	12
155	3	5947	4294953755	3478	9
156	4	4294949292	19848	1423	11
157	4	2103	13501	1777	3
158	4	358	4294961933	1758	3
159	4	21320	4294950176	1990	7
160	4	4294964695	4294956953	1802	9
161	4	4294952549	366	2532	6
162	4	9743	4294956652	2400	5
163	4	21332	21146	3986	7
164	4	13856	15247	3748	9
165	4	18115	4294945040	1937	6
166	4	4294955568	1799	2574	10
167	4	5608	4294947883	1913	6
168	5	4294960832	10941	1750	2
169	5	4294961198	9454	1750	2
170	5	4294961095	10155	1750	2
171	5	13952	20213	4294967091	12
172	5	4294958915	2866	155	2
173	5	23619	20098	4294966591	11
174	5	4294959189	7767	1450	3
175	5	4294956725	4294949454	1560	6
176	5	4294947796	4294957819	840	6
177	5	4294955471	4294962858	870	9
178	5	4294963249	4294958776	1375	4
179	6	11575	11890	2846	8
180	6	4294966797	14210	990	5
181	6	4294953751	1486	860	7
182	6	4294962493	6224	245	5
183	6	4294959795	4294949722	2690	4
184	6	78	9754	302	4
185	6	4294951638	4294955061	1660	8
186	6	4294956015	10918	294	10
187	6	9435	12	4541	2
188	6	4294957449	15061	310	1
189	6	5919	4294955452	8583	11
190	6	4294954560	4294954633	1880	3
191	7	8935	6380	10411	10
192	7	4294946118	9175	5157	12
193	7	2055	4294961991	10440	6
194	7	4294952407	16424	6773	11
195	7	6231	16230	10577	10
196	7	4294960790	15088	7986	2
197	7	4294952492	2475	4795	7
198	7	17333	14660	11470	4
199	7	14147	4294951636	12380	2
200	7	4294953815	4294965162	5292	7
201	7	4294948963	16498	5980	12
202	7	17492	4953	10450	3
203	7	4294963646	4294948763	1180	7
204	7	4294958634	4678	8245	8
205	7	10492	12576	10475	11
206	8	18509	13216	2358	5
207	8	17259	17710	2220	12
208	8	18878	19171	2053	3
209	8	4294959163	1184	3785	4
210	8	14682	4294956186	2640	3
211	8	23117	4294951034	536	1
212	8	4294958729	5362	5620	5
213	8	4294956025	4294940197	621	6
214	8	4294963195	4294943291	525	6
215	8	21995	4294956354	1252	6
216	126	4294963069	4294965028	190	3
217	10	8004	17086	456	6
218	10	13411	6490	456	6
219	10	4294948007	16	4294962885	9
220	10	4294954453	4294961208	4294962885	1
221	10	4294957061	4294953713	4294962885	11
222	10	13739	4294965995	456	9
223	11	4294950285	2014	4294962885	7
224	11	11215	26782	456	12
225	11	24358	16860	456	9
226	11	157	13323	373	6
227	11	7153	26107	453	9
228	11	167	17203	341	12
229	11	25100	20998	440	12
230	11	4294952820	4294945090	4294962799	9
231	14	15066	20085	2606	3
232	14	4294966423	2050	2454	3
233	14	4294948166	17251	1887	9
234	14	4294956074	4294947656	4950	10
235	14	5346	4294955503	6170	5
236	14	4294964703	15041	2119	3
237	14	4294956267	19748	936	3
238	14	4294961996	3868	2377	2
239	14	4294951582	4294959765	936	1
240	14	11783	4294965145	4326	5
241	14	14806	14623	2606	5
242	14	4294964008	4294957299	4078	8
243	9	4294950511	4294960813	497	9
244	9	4294952730	4294952363	442	4
245	9	16747	4294963691	1023	6
246	9	4294966443	17883	816	12
247	9	14203	969	1062	1
248	9	21717	4294943249	2683	3
249	9	4294966556	4294942361	2697	5
250	9	12342	4294953549	2763	12
251	9	4294943991	4294942841	2208	6
252	12	4294956468	659	11715	9
253	12	14428	8069	10934	2
254	12	14486	11457	10873	2
255	12	8363	10228	12139	1
256	12	4294963884	4294952612	12458	5
257	12	3907	4294964062	12713	6
258	12	6214	4294966027	12715	4
259	12	1994	1239	12713	11
260	12	4294959647	5398	11610	9
261	12	9101	4294954676	12124	5
262	15	4213	20140	13446	5
263	15	4139	4294959450	8364	4
264	15	20063	4294948013	5380	8
265	15	4294946012	4294947335	4580	7
266	15	4294953400	4294948672	4528	4
267	15	16605	4294955714	5006	12
268	15	4294951636	4294950831	4423	5
269	15	4294966459	4294962209	7990	5
270	15	10433	4294948169	5543	10
271	15	4294950533	20915	12905	11
272	15	13757	4294951074	5902	9
273	15	11476	18089	13490	3
274	16	11112	4355	10	12
275	16	14881	4294941681	4870	5
276	16	1137	4294945453	8180	6
277	16	4294966012	2317	6570	12
278	16	2400	14513	5010	4
279	16	17616	25835	3060	3
280	16	4294949128	4011	9930	1
281	16	22335	4294949559	2900	6
282	16	17010	16457	370	10
283	2	17959	6257	945	8
284	8	4294958151	14845	770	9
285	1	13932	3153	2260	3
286	7	10176	4294950152	11750	6
287	7	11268	4294947684	12020	9
288	7	7588	4294949657	12060	6
289	11	4294960609	4294961166	4294962746	6
290	11	4294953612	4294953624	4294962746	6
291	11	4294959867	4294953418	4294962746	6
292	11	4294954869	4294963606	4294962896	2
293	9	14123	4294960801	830	11
294	9	4294953782	14942	653	10
295	9	4294949449	11980	629	8
296	9	4294953040	10973	540	1
297	4	4294961970	23845	2370	12
298	6	14189	12358	2900	9
299	8	25184	4294948496	530	3
300	10	18500	10200	800	2
301	14	3689	4294948192	5610	12
302	16	4294951494	4294954442	13770	9
303	11	16413	16449	400	12
304	12	10823	4294957798	12060	6
305	15	11313	11377	13564	11
306	4	4294963534	4294953866	1200	3
307	12	4294957357	11552	11072	9
308	291	3209	4294965144	2600	3
309	291	3064	2063	2600	9
310	1	7448	4294956056	930	3
311	1	10334	5871	2200	3
312	1	21434	4294954932	2747	3
313	1	18192	16129	931	3
314	1	5262	11586	943	3
315	1	11110	5352	2200	3
316	2	13025	817	2220	12
317	130	4294950193	4294953227	4660	3
318	1	3301	21254	0	2
319	1	21768	4294961075	2755	12
320	1	12359	4596	2100	9
321	1	7362	4294954661	933	9
322	3	15473	4294953383	5639	8
333	6	11463	11844	2845	3
334	6	1496	11834	1414	3
335	9	4294944062	4294942654	2211	9
336	305	4294967240	4294967251	70	6
337	3	21448	19105	1869	1
338	126	4294960424	1628	90	3
339	126	1636	4294960121	90	12
340	127	4294966899	5707	70	6
341	127	6200	544	70	9
342	128	4294961763	6161	184	3
343	304	6918	4294966504	90	9
344	304	168	4294961478	90	6
345	305	1538	4819	70	6
346	305	4294961976	4294965300	70	3
347	305	5795	2538	70	9
348	305	0	0	100	12
349	7	4294946301	9217	5156	10
350	1	2045	4294959884	930	8
351	1	22052	23351	35	3
352	125	10646	4294963325	134	3
353	139	11233	4294951235	208	4
354	139	15357	4294950239	246	3
355	139	19944	4294949277	1055	3
356	1	21681	4294960828	2771	3
357	125	4294963082	4294963272	141	3
358	2	13286	563	2199	3
359	114	4294958575	8960	42	3
360	114	4294965768	2019	28	3
361	114	11781	2526	28	3
362	114	12016	4294956343	32	3
363	114	2781	4294956563	32	3
364	124	4294966037	540	2585	3
365	124	8878	885	4274	3
366	124	1329	7859	5972	3
367	130	4294952753	4294948311	4357	1
368	130	4294953610	4294956848	7094	1
369	202	14887	4294965485	2245	4
370	1	4294960322	4294964823	186	1
371	1	4624	4294962742	4549	1
372	328	4294965450	4294948762	2220	1
373	307	773	18	0	1
374	1	3292	4294955717	931	8
375	7	1990	4294961976	10435	3
376	202	14878	4294964372	2162	4
377	1	14976	4645	2204	3
378	130	4294949316	4294963615	7048	3
379	10	13794	4294966040	455	0
380	16	4294964307	9070	6038	0
381	6	4294958359	13739	302	0
382	6	4294953123	4294961063	2502	0
383	6	10205	4294960390	7149	0
990	306	4294957336	9465	0	0
991	306	9997	9465	0	9
992	998	4294966296	940	0	9
993	1	1270	5955	940	9
994	1	1690	8923	940	9
995	1	4294967080	11170	580	9
996	130	4294958621	4294966853	3710	12
997	1	4294956931	4294966558	700	3
998	139	8795	4294951316	6000	5
999	133	8795	4294951316	6000	3
1000	130	4294942814	13364	4294966306	1
1001	139	8323	4294961607	3764	1
1002	139	10026	4294955918	5095	1
1003	139	10793	4294954230	8167	1
1004	139	4294966103	461	1377	1
1005	139	12658	4294951012	330	1
1006	118	4294949867	354	14722	1
