n_ID	s_MAIL
11	ได้ยินมาว่าหากเหาะเหินใน Port Royal แล้ว และสามารถจับมือกับเพศตรงข้ามได้เกิน 3 วินาที จะเกิดสายรุ้งบนฟ้า เมื่อข้ามผ่านมันสามารถไปยังโลกคู่ขนานได้เลยล่ะ! อยากลองดูไหมล่ะ?
12	เมื่อกี้ข้าเพิ่งหลอมได้ [ผลึกพรมลิขิต] จากถาดหลอม 1 อัน ผลึกนี้สามารถให้เพื่อนทางจดหมายได้เท่านั้น ท่านจะพอเหลือช่องว่างให้ข้าหน่อยจะได้ไหม วางใจได้ ส่วนบำรุงเดี๋ยวข้าจัดการเอง!
13	ข้าผจญภัยในมหาสมุทรทั่วทุกทิศ ข้าเดินทางจาก Deep Sea Temple ไปจนถึง Empty Island ตำแหน่งในแผนที่ทุกตำแหน่งข้าไปมาหมดแล้ว กระเป๋าของข้ามีถ้วยรางวัลขนาดใหญ่ และมีสัตว์เลี้ยงน่ารัก มันเยี่ยมมากเลยล่ะ เวลามีคนมาทำร้ายเจ้านายของมัน ถ้าท่านสนใจ ติดต่อข้าได้ทันที
14	ข้าเคยพบกับ Kraken ข้าสู้กับมันเป็นเวลานาน แต่ก็ไม่สามารถเอาชนะมันได้ เป็นเรื่องน่าเศร้า เจ้าไม่รู้สึกเสียดายของล้ำค่าที่อยู่บนตัวพวกมันเหรอ? หากได้รับจดหมายนี้ รีบตอบกลับเลยนะ! แล้วเราไปพยายามด้วยกัน!
101	กริ๊งๆ ท่านมีจดหมาย ถ้าท่านตอบกลับจดหมายนี้ภายใน 24 ชั่วโมง ท่านจะได้รับพร และได้รับเพื่อนทางจดหมายที่พร้อมจะคุยกับท่านได้ทุกเมื่อ
102	ไม่ว่าท่าจะเป็นใคร อยู่ที่ไหน เราไม่พบหน้ากันไม่เป็นไร เพียงแค่ได้รับการตอบกลับข้าก็ดีใจแล้ว
103	ทุกคืนที่ข้าหลับไหล ข้ารู้สึกเหมือนโดนผีอำตลอด หายใจลำบาก แต่เมื่อข้าตื่นขึ้นมา ก็เจอกับหมาน้อยนอนอยู่บนตัวของข้า ผู้ที่ได้รับจดหมายฉบับนี้ และขำกับมุกของข้า แสดงว่าเราน่าจะเข้ากันได้
104	ช่วงนี้ข้าน่ะ ออกล่ามอนสเตอร์บ่อยๆ แต่เมื่อรู้ตัวอีกที ข้าก็ลืมรับภารกิจไปซะสนิดเลย ความรู้สึกเหมือนเวลาทำสปาเก็ตตี้ ทำทุกอย่างเกือบเสร็จแล้ว แต่ดันลืมซื้อซอสมะเขือเทศซะนี่ ตลกใช่ไหมล่ะ ถ้าเราเจอกันได้ อาจจะเป็นเรื่องน่าขำมากกว่านี้อีกนะ
105	ในโลกของคอมพิวเตอร์ 0 และ 1 คือปิดและเปิด ในโลกของคณิตศาสตร์ 0 และ 1 คือเหตุการณ์ที่ไม่แน่นอน และในการเขียนจดหมายของข้า 0 และ 1 คืการที่ข้าเอาชนะคำว่า "ไม่มี" และเปลี่ยนมันเป็น "ความกล้า" และเมื่อเจ้าตอบจดหมายข้า 0 และ 1 คือโอกาสและอนาคตของเรา
106	ยกตัวอย่างเวลาเป็นแกนแนวนอน เวลาเป็นแกนแนวตั้ง แสดงว่าจุดที่ข้ามผ่านกัน จะต้องเป็นความสัมพันธ์ของเราอย่างแน่นอน อยากเป็นเพื่อนทางจดหมายกับข้าไหม? เรามาเขียนขีดเส้นที่สวยงามด้วยกันเถอะ
107	บนโลก 70% คือมหาสมุทร ในพื้นที่ 70% นี้ โอกาสที่จะมีคนเจอจดหมายขวดแก้วมีแค่ 0.1% เท่านั้น ทำไมถึงไม่คว้าพรมลิขิตนี้ไว้ล่ะ เรามาเริ่มมิตรภาพที่ดีกันเถอะ
108	สวัสดี ข้าชื่อจ๋ายจ๋าย แม่ชอบพูดกับข้าว่า ให้ข้าหาเพื่อนเยอะๆ ข้าเลยเริ่มเขียนจดหมายฉบับนี้ หากมีคนเก็บได้ ช่วยตอบกลับด้วยนะ แม่ข้าจะขอบคุณท่าน มีโอกาสแม่ข้าจะชวนท่านมากินข้าวที่บ้านด้วยล่ะ
109	ต้องการรู้จักเพื่อนชาย 1 คน ข้าเป็นคนที่มีเงื่อนไขไม่เยอะเท่าไหร่ ก่อนที่เราจะเริ่มความสัมพันธ์กัน ข้าอยากจะให้เรารู้จักกันทางจดหมายเสียก่อน (อายุ 22 สูง 158 หนัก 46 ชอบ: วิดีโอเกม, ภาพยนต์ บุคลิคสดใสและร่าเริง)
110	เรื่องที่สำคัญไม่ใช่ว่าวันนี้ทำอะไรไปบ้างแล้วยัง แต่มันคือการทำอะไรแล้วมีความสุขต่างหาก หรือไปหาเพื่อนคุยซักคนสองคนให้รู้สึกสบายใจ แต่ถ้าได้คุยกับคนไหนแล้วไม่สบายใจก็ให้เปลี่ยนคน แค่คุยกันถูกคอก็ทำให้ร่าเริงได้พักนึงเลยล่ะ ท่านเป็นคนที่ใช่หรือเปล่านะ?
111	[แจ้งการถูกรางวัล]! ท่านคิดว่านี่เป็นจดหมายงั้นเหรอ? ความจริงแล้วท่านถูกรางวัลล่ะ! และไม่ต้องฝากเบอร์โทรหรือที่อยู่ไว้ด้วย
112	แค่เป็นเพื่อนกับเรา เรามีของขวัญให้!
113	ฟังข้าหน่อฟังนี่หน่อยสิ มันอาจะเป็นเรื่องน่าละอายใจ แต่เรื่องนี้เป็นเรื่องที่สำคัญมาก เนื่องจากข้าเป็นคนที่หน้าตาดีคนหนึ่ง ข้าจึงถูกพวกชุดดำไล่ล่า ทำได้เพียงส่งจดหมายฉบับนี้ขอความช่วยเหลือ ข้ารอวันที่จะมีสาวสวยมาช่วยข้า! หากเจ้าตอบจดหมายข้า จะช่วยข้าได้เยอะเลยล่ะ
114	ฟ้ามืดแล้ว ลมก็แรง แต่ทำไมยังไม่มีใครตอบจดหมายข้าเลยนะ ข้าเป็นคนรูปงามขนาดนี้ ยังไม่มีใครสนใจข้าอีกรึ แค่เพื่อนทางจดหมายก็ไม่มีคนเหลียวแล หรือข้าทำอะไรผิดไป? บอกข้าหน่อยสิ! (ตอบกลับด้วยสิ!)
115	มีคนมากมายบอกว่า การเล่นเกมสามารถทำให้ลืมเรื่องทุกข์โศกได้ ดังนั้นข้าจึงมาที่นี่! ข้าชอบรับจดหมาย และชอบส่งจดหมายให้เพื่อนๆ แต่การที่ข้าส่งจดหมายให้คนแปลกหน้าเนี่ย ข้าเพิ่งเคยทำเป็นครั้งแรก เป็นเรื่องที่แปลกใหม่สำหรับข้า ท่านเคยประสบปัญหากับ "การเขียนจดหมายขวดแก้ว" ไหม? แต่กฏของเกมตั้งมาแบบนี้แล้ว หวังว่าจะมีคนตอบจดหมายของข้านะ
116	ข้าเป็นคนที่ชอบหาเพื่อน ชอบเดินทาง; ข้าไม่ชอบทำอะไรที่ไม่อยากทำ และไม่ชอบอยู่ในขอบเขต
117	ชีวิตของข้ามีความสุขมากเลยก็ว่าได้ แต่ก็ยังเหมือนขาดอะไรไปอย่างหนึ่ง ข้าน่ะ อยากจะไปเที่ยวญี่ปุ่นสักครั้ง เจ้าชอบท่องเที่ยวไหมล่ะ? ถ้าเป็นไปได้ เราไปท่องเที่ยวด้วยกัน ข้าจะรอจดหมายตอบกลับนะ!
118	เพื่อนแปลกหน้า ได้ยินมาว่า เมื่อก่อนสมัยที่ยังไม่มีอินเตอร์เน็ต เพื่อนทางจดหมายก็เหมือนเพื่อนทางเน็ต ตอนสมัยข้ายังเป็นเด็ก ข้าไม่เคยมีเพื่อนทางจดหมายเลย ไม่รู้ว่าเจ้าจะเป็นแบบข้ารึเปล่า? แต่ถึงยังเจ้าก็ได้รับจดหมายข้าแล้ว ให้คลื่นพัดพาความสัมพันธ์เรามาสู่กันดีไหม?
119	ข้าเป็นคนที่มีนิสัยไม่เลว แต่ถ้าเจ้าไม่ตอบจดหมายฉบับนี้แล้วล่ะก็ ไม่แน่ข้าอาจจะไม่คนดีเลยก็ได้ ดังนั้น เราเป็นเพื่อนทางจดหมายกันเถอะ ว่าไงล่ะ?
120	ข้าเป็นคนพูดไม่เก่ง แต่ข้าฟังเก่ง ข้าเป็นคนปลอบใจไม่เก่ง แต่ข้าเลี้ยงดูได้ ข้าชอบมีเพื่อน ข้าชอบไปไหนมาไหนกับเพื่อน! พบความเหมือนของเราหรือยังล่ะ!
121	ในตอนที่ข้าล่องลอยในทะเลอยู่นั้น ข้าทั้งดูว่าจะมีสมบัติอะไรลอยอยู่รึเปล่า แล้วในขณะเดียวกันก็คิดว่า มีเป้าหมายอะไรที่ข้ายังทำไม่สำเร็จ และแล้วข้าจะเจอเข้ากับขวดขวดหนึ่ง ข้าเข้าใจขึ้นมาทันทีเลยว่า ข้าชอบพรมลิขิต และข้าหวังว่าจะได้เพื่อนทางจดหมายเยอะๆ
122	คิดทุกวัน เขียนทุกวัน เจ้านั่นทำให้ความรู้สึกของข้าเริ่มไม่แน่ชัดแล้วนะ! วันนี้อากาศดี อารมณ์ข้าจึงไม่เดือดดาลเท่าไหร่ ช่วยตอบข้าสักฉบับก็ยังดี~~! อ้อใช้! ถ้าเป็นผู้หญิงจากโอเอซิสมันจะทำให้ข้าอารมณ์ดีขึ้น!
123	เมื่อข้าอยู่ในทะเล ข้ารู้สึกกระปรี้ปกระเปร่า! ที่ข้าต้องการคือหญิงแห่งโอเอซิส เร็วเข้า! ตอบจดหมายข้าเดี๋ยวนี้! ข้าต้องการเจ้า!
124	รักการใช้ชีวิต รักการอ่านหนังสือ รับการเล่นกีฬา และรักการเล่นเกม ข้าคือคนแปลกหน้ายุค 80 แต่ข้าก็เป็นคนที่ทันสมัยไม่ใช่เล่น ข้าอยากจะได้เพื่อนทางจดหมายซัก 1 คน! ข้ารอการตอบกลับจากเจ้าอยู่นะ
125	เจ้าเคยได้ยินเรื่องของฮาเดสรึเปล่า? ฮาเดสหน่ะเค้าเฝ้ารอคอยนานถึง 10 ปีเลยนะ เพียงแค่ได้พบคนรักของเขา; รออย่างไร้ความหวัง เหมือนข้า ข้ารอการตอบกลับของเจ้าอยู่นะ
126	ลมทะเลพัดผ่าน ทำให้รู้สึกผ่อนคลายและมีความสุข มองดูเรือล่องกลางทะเล เลยรู้สึกอยากมีเพื่อนอยู่ใกล้ๆ เจ้าช่วยเป็นเพื่อนข้าหน่อยจะได้ไหม? ตอบกลับจดหมายนี้แล้วเรามาเริ่มความสัมพันธ์กันดีกว่า
127	ท้องฟ้ายามค่ำคืนนี้ช่างสวยเหลือเกิน หากมีเพื่อนอยู่ข้างๆซักคนคงจะดี หากเจ้าเหมือนข้า ที่ยังขาดคนเคียงข้างก็ตอบกลับจดหลายนี้หน่อยนะ!
128	ไม่รู้ว่าจดหมายขวดแก้วนี้ของข้าจะมีคนพบเมื่อไหร่ แต่ข้าก็เขียนมันขึ้นด้วยความตั้งใจ ข้าหวังว่าจะมีเพื่อนคุยซักคนหนึ่ง
201	ช่วงนี้น้ำหนักข้าขึ้นมาตั้ง 2 โลแหน่ะ ให้ความรู้สึกคล้ายกับว่าวันสิ้นโลกจะมาถึง ถ้าท่านเป็นคนที่ผอม โปรดส่งจดหมายบรรยายความรู้สึกตอนผอมให้ข้าได้อ่านที; ถ้าท่านเป็นคนอ้วน เรามาลดความอ้วนด้วยกันเถอะ
202	มีอยู่วันนึงข้าไปที่ร้านค้า ข้าเจอกับโจลินอีกวันนึงข้าไปร้านเหล้าข้าเจอราเซล วันนี้ข้าจึงอยากรู้ว่าถ้าข้าเขียนจดหมายขวดแก้วข้าจะเจอกับใคร?
203	เมื่อวานข้าถูกหวย 7 ล้านแหล่ะ แต่ว่าใช้เงินคนเดียวมันก็น่าเบื่อใช่ไหมล่ะ ข้าหวังว่าจะมีผู้หญิงซักคนมาใช้เงินกับข้า ใช้ชีวิตกับข้า ถึงคนที่เก็บได้ กรุณาติดต่อ 0800-080000
204	อากาศวันนี้ดีมากเลยล่ะ ฟ้ามีคราม แต่ใจของข้ากลับเป็นสีเทา ข้าจึงคิดว่าจะปล่อยความหม่นหมองในใจลงทะเล! และหาเพื่อนที่จำทำให้ข้ากลับมาหัวใจพองโตอีกครั้ง
205	เมื่อวาน ปลาที่ข้าเลี้ยงไว้มันจากโลกนี้ไปแล้ว มันรับฟังคำระบายความในใจของข้าตอลด จนถึงวันนี้ข้าไม่รู้จะไประบบายความอัดอั้นของข้ากับใคร เพียงแค่หวังว่าจดหมายฉบับนี้จะช่วยให้ข้าพบคนที่สามารถฟังข้าระบายความใจในได้
206	ข้าทำสงครามเย็นกับแม่ข้ามาสองสามวันแล้วล่ะ แค่เพราะว่าแม่ข้าไม่ชอบที่ข้าย้อมผม ข้าบอกกับแม่ข้าว่ามันเป็นสีที่กำลังฮิตเลย ที่ข้าย้อมสีนี้ เพียงเพราะข้าไม่อยากจะเหงาและโดดเดี่ยว บนโลกนี้จะมีใครเข้าใจข้าบ้างไหม!
207	 [อ้ากกก! อารมณ์ อารมณ์ ข้าใช้อารมณ์จินตนาการ จินตนาการว่าข้าเมาอยู่ ใช้อารมณ์ในวันฝนตก วันฝนตก!] หากท่านกำลังฮัมเพลงนี้อยู่ กรุณาตอบกลับจดหมายของข้าด้วย!
208	ท่านจะเหมือนข้าหรือไม่ มีคนในใจที่ลืมไม่ลง; ข้าในตอนนี้อยากพูดกับท่านว่า เราเป็นเหมือนกัน! เราควรที่จะรู้จักกันนะ
209	ช่วงนี้ ลมทะเลทำให้ใจข้าหนาวเหน็บ คงถึงเวลาที่ข้าต้องหาเพื่อนทางจดหมายแล้ว แล้วเรามาร่วมความรู้สึก [ถึงจะยุ่งแค่ไหนก็ดื่มกาแฟแล้วไปลุยต่อกัน!] นี้กันเถอะ อย่าทิ้งจดหมายนี้ไปล่ะ!
210	วันนี้ท่านตอบจดหมายแล้วหรือยัง? จดหมายแต่ละฉบับ มีความตั้งใจแฝงอยู่ ท่านจะทิ้งมันไปแบบนี้น่ะเหรอ? รวบรวมความกล้าแล้วตอบกลับเลยสิ!
301	เมื่อวานข้าผ่านเมืองหลักมา ข้าได้ยินเรื่องระบบเพื่อนทางจดหมายอะไรซักอย่างเนี่ย ข้าจึงลองทำบ้าง! หากท่านไม่รับข้าเป็นเพื่อนทางจดหมาย ท่านจะเสียใจภายหลัง 55555+
302	มันต้องเป็นโชคชะตาแน่นอนเลยที่ทำให้เจ้าได้รับจดหมายฉบับนี้ แต่ไม่รู้ว่าเจ้าจะตอลกลับรึเปล่า? ท่านผู้ชมทั้งหลาย โปรดติดตาม
303	ข้าก็เหมือนเจ้า ไม่เคยตอบกลับจดหมายจากเพื่อนเลย จนกระทั่งโดนธนูปักที่หัวเข่า
304	ข้าได้รางวัลแล้ว! [ทดลองฟิสเนตฟรี 14 วัน] แต่ตอนนี้ข้าหุ่นดีอยู่แล้ว! ข้าจึงอยากมอบรางวัลนี้ต่อ! หากท่านต้องการให้ตอบกลับจดหมายฉบับนี้ต้อนรับ ถ้าไม่อยากได้ก็ไม่เป็นไร ไม่ต้องตอบกลับก็ได้
305	เป็นความผิดของความสวยของม้าข้า ข้าไม่ใช่คน ข้าเป็นม้า
306	วันนี้ข้าได้รับภารกิจให้ส่งจดหมาย จะต้องส่งข้อความนี้ หวังว่าจะเข้าใจข้า ช่วยข้าหน่อยนะ รับจดหมายของข้าที แล้วเราค่อยมาทำความรู้จักกัน!
307	หลังยุค 80 ผ่านไป ชีวิตรักขมขื่น หวาดกลัวไปซะทุกสิ่ง เหงาใจ ไม่มีคนคอยปลอบ! จึงใช้โอกาสนี้หาเพื่อนทางจดหมาย แล้วเรามาพูดคุยกันผ่านปลายปากกากันเถอะ
308	เมื่อเจ้าได้รับจดหมายฉบับนี้ แสดงว่าเจ้าถูกโชคหล่นทับ หากไม่ตอบกลับไม่เป็นไร ข้ายังรักเจ้า ถ้าเจ้าส่งกลับภายใน 30 นาที ข้าจะยิ่งรักเจ้ายิ่งขึ้น
309	ข้าอยากจะพัฒนาความสัมพพันธ์เราไปอีกขั้น ถ้ามีจุดดีจุดหนึ่ง ข้ามีข้อทดสอบให้เจ้าทำเล่นๆ! สองข้อนี้เจ้าเลือกข้อไหนล่ะ Ａ: โรแมนติกในสายฝนＢ: บ้าระห่ำไม่มีวันสิ้นสุด เป็นไงล่ะ? ข้ารอคำตอบเจ้าอยู่นะ
310	ตอนท่านสระผมเคยรู้สึกไหมว่ามีคนจ้องมองเจ้าอยู่? จริงๆแล้วตำราโบราญเคยอธิบายเกี่ยวกับเรื่องสระผมตอนกลางคืนอยู่ อยากรู้ไหมล่ะ? ข้ามีคำตอบให้เจ้า
311	จากนั้นผู้หญิงก็บอกว่า แกเป็นคนร้ายเหรอ? จากนั้นผู้ชายก็ส่ายหัว และอ้าปากขึ้น ทันใดนั้น! หน้าต่างก็เปิดออก และมีคนแปลกหน้าพุ่งเข้ามา เขาเป็นใครกันนั้น...? (เพื่อนทางจดหมายของข้า อยากจะอ่านต่อไหมล่ะ?)
312	ถ้าเกิดว่าความหล่อเป็นความน่าเวทนา ข้าจะไม่โทษดินฟ้า หากคนที่มีชื่อเสียงเป็นความผิดพลาด ข้าก็เคยผิดพลาดมาแล้ว หากไม่เชื่อ ก็ลองตอบจดหมายข้าดูสิเพื่อเปรียบเทียบบาปของใครเลวร้ายกว่ากัน!
313	เคยมีจดหมายที่เต็มไปด้วยความจริงใจอยู่ตรงหน้าท่าน แต่ท่านกลับไม่สนใจมัน จะมีสิ่งใดน่าเจ็บปวดมากไปกว่านี้รึเปล่า ลองคิดดูสิ รีบตอบจดหมายนี้ซะ!
314	นักผจญภัยผู้สับสน คนที่ถูกเลือกให้รับชะตากรรม ด้วยกระดาษ [ทำนาย] แผ่นนี้ เรามาเป็นเพื่อนทางจดหมายกันเถอะ!
315	เรามาทำสัญญาเป็นสามีภร...เอ้ยไม่ใช่ เป็นเพื่อนทางจดหมายกันดีกว่า!
316	นายท่าน อย่าทำแบบนี้ ท่านตาอาจมาเห็นเข้า(เขิลอาย) เรามาเป็นเพื่อนทางจดหมายกันก่อนดีกว่า!
317	C____Am____Dm____G7, ลองทายดูสิว่านี่เพลงอะไร หากทายถูก เรามาเป็นเพื่อนทางจดหมายกันนะ!
318	เฮ้ สัวสดีอันอัน! ตาของเจ้าสวยมากเลย อายุเท่าไหร่แล้วล่ะ? อยากจะเป็นเพื่อนทางจดหมายกับข้ารึเปล่า!
