n_ID	s_UI_WORDS
248	ลดค่าตีบวก
249	ทำการหัก 【 $V1 】 $V2 ชิ้น
250	เมื่อย้ายแล้ว เครื่องสวมใส่เริ่มต้นจะถูกลบทันที! 
251	แสดงตัวอย่างประสิทธิผลหลังย้าย
252	ต้องการลบ $V1 ออกจากกิลด์หรือไม่?
253	ย้าย
254	กิลด์
255	เข้าสู่เรือกิลด์
256	ข้อมูลกิลด์
257	เพิ่มสมาชิก
258	ระดับ
259	ตำแหน่ง
260	ชื่อนามสกุล
261	เลเวล
262	อาชีพ
263	ที่อยู่
264	เข้าสู้ระบบครั้งที่แล้ว
265	ข้อความฝาก
266	อ่านข้อความฝาก
267	ตรวจดูเครื่องสวมใส่
268	ปรับตำแหน่ง
269	ตั้งเป็นคำหยาบ
270	ลบสมาชิก
271	ยุบกิลด์
272	เงินทุนกิลด์
273	ระบุเงื่อนไขกิลด์
274	เงื่อนไขกิลด์
275	ต้องการออกจากกิลด์?
276	ออกกิลด์
277	ใส่ข้อมูลประกาศ
278	สัตว์ขี่กิลด์
279	เพิ่มประกาศ
280	ลบประกาศ
281	แก้ไขเงื่อนไข
282	ตรวจดูบันทึกกิลด์
283	ชื่อตำแหน่ง
284	หัวหน้า
285	รองหัวหน้า
286	ระดับสมาชิก
287	สมาชิก
288	แก้ไขตำแหน่ง
289	เงินทุนกิลด์
290	บันทึกคลังกิลด์
291	บันทึกปรับตำแหน่ง
292	ตรวจดู
293	ที่มา
294	รายรับและรายจ่าย
295	สาเหตุ
296	ยอดคงเหลือ
297	ผลการฝังประดับเริ่มต้น
298	ต้องการเข้าสู่สนามต่อสู้หรือไม่?
299	มี
300	เลือกตำแหน่ง: 
301	ยืนยันการฝังประดับ
302	ย้ายค่าตีบวก
303	เครื่องสวมใส่เริ่มต้น
304	มอบตำแหน่งหัวหน้า
305	ใส่ชื่อตัวละครที่ต้องการมอบตำแหน่ง: 
306	คำขอเลื่อนเป็นหัวหน้า
307	ไม่มีทีม
308	ไม่ได้เข้าร่วมกิลด์
309	แก้ไขรายละเอียด
310	เวลา
311	บันทึก
312	รายชื่อ
313	จำนวน
314	LV.
315	อาชีพ: 
316	อาชีพรอง: 
317	ไม่ได้เลือกฉายา
318	แต้มสเตตัสเหลือ: 
319	พลัง: 
320	กาย: 
321	ว่องไว: 
322	ปัญญา: 
323	รู้สึก: 
324	ความเร็วเคลื่อนที่: 
325	ป้องกันกายภาพ: 
326	ป้องกันเวทย์: 
327	ลดความเสียหายกายภาพ: 
328	ลดความเสียหายเวทย์: 
329	รับมือ: 
330	ลดความเสียหายการรับมือ: 
331	อัตราต้านคริติคอล: 
332	ลดความเสียหายคริติคอล: 
333	หลบหลีก: 
334	โจมตีกายภาพ: 
335	โจมตีเวทย์: 
336	โจมตีหนักกายภาพ: 
337	โจมตีหนักเวทย์: 
338	กายภาพทะลุเกราะ: 
339	เวทย์ทะลุเกราะ: 
340	คริติคอล: 
341	อัตราคริติคอล: 
342	มองข้ามการป้องกัน: 
343	อัตราสังหาร: 
344	แม่นยำ: 
345	ความเร็วโจมตี: 
346	เครื่องสวมใส่
347	ชั้นวางของ
348	คุณสมบัติเบื้องต้น
349	ข้อมูลอย่างละเอียด
350	ค่าสเตตัสตัวละคร
351	บันทึกการเติบโตของกิลด์
352	จาก $V1 เปลี่ยนเป็น $V2
353	 $V1 ได้บริจาค EXP จำนวน $V2
354	อัพเกรดกิลด์ถึงเลเวล $V1 
355	เหตุการณ์
356	สกิล
357	รีเซ็ตค่าสเตตัส
358	ต้องการรีเซ็ทค่าสเตตัสใหม่ทั้งหมดหรือไม่?
359	เมื่อถึงเลเวล $V1 แล้ว ถ้าต้องการรีเซ็ตค่าสเตตัส จะถูกหัก $V2 แต้มคุกกี้! ยังต้องการรีเซ็ตแต้มคุณสมบัติใหม่ทั้งหมดหรือไม่?
360	โหวตส่วนตัว
361	โหวตกิลด์
362	แต้มรวมคงเหลือ: 
363	แต้มกิลด์ปัจจุบัน: 
364	ต้องการนำผลึกชิ้นนี้ออกหรือไม่? \n(เมื่อนำออกแล้วไอเทมจะย้ายไปอยู่ในกระเป๋า)
365	ชื่อพลังกิลด์
366	เลเวลสกิล
367	เลเวลกิลด์
368	เลเวลถัดไป ต้องการแต้มพลังกิลด์
369	รีเซ็ตสกิลทั้งหมด
370	แนะนำ: ต้องทำการตั้งค่าแต้มให้เสร็จภายใน 2 วันหลังรีเซ็ต มิฉะนั้นจะไม่สามารถนำเลเวลสกิลมารวมกับแต้มรวมกิลด์ได้
371	เพิ่มระดับสกิล
372	ต้องการซื้อหรือไม่?
373	ต้องการขายหรือไม่?
374	ค้นหาตัวละคร
375	ลบสมาชิก
376	โอนหัวหน้าทีม
377	เลือกกิจกรรม! 
378	หมายเหตุ: ถ้าต้องการถอดผลึกที่ฝังประดับแล้วนั้น สามารถคลิกลากออกได้โดยตรงเลย! 
379	ร้านค้าซื้อขาย
380	ซื้อ
381	ขาย
382	ยกเลิก
383	พื้นที่ซื้อขาย
384	ส่วนลด: 
385	สร้างกิลด์สำเร็จ
386	ไม่มีส่วนลด
387	คลังส่วนตัว
388	ฝาก Gold
389	ถอน Gold
390	ภารกิจกิลด์
391	ตอบกลับ
392	ยืนยันการสร้าง
393	 $V1  ต้องการเชิญท่านเข้าร่วมกิลด์ $V2 ท่านต้องการเข้าร่วมหรือไม่?
394	ส่วนตัว $V1 + กิลด์ $V2 กิลด์ได้รับเพิ่ม $V3
395	ต้องการแยกเครื่องสวมใส่พวกนี้หรือไม่?
396	มุมมอง
397	ไม่สามารถแยกในตอนนี้! 
398	ค่าความดีส่วนตัว: 
399	เครื่องสวมใส่แยก
400	แยก
401	ลงทะเบียนกิจกรรม
402	รางวัลประจำวัน
403	รางวัลล็อคอิน
404	นับถอยหลัง
405	รางวัลพิเศษ
406	กดรับ
407	เริ่มหักแต้ม
408	รางวัล VIP
410	ชื่อตัวละคร
411	เลเวล
412	อาชีพ
413	ฉากที่อยู่
414	กิลด์
415	ทีม
416	ยุบทีม
417	ใส่ข้อความ ไม่เกิน 30 ตัวอักษร
418	???
419	ไอเทมที่โดนผนึกพลังไว้ จำเป็นต้องทำการประเมินก่อน
420	ลึกลับ
421	กำลังประเมิน
422	ประเมิน
423	พื้นที่ประเมิน
424	ค่าธรรมเนียมในการประเมิน
425	หมายเหตุ: เครื่องสวมใส่ที่ผ่านการประเมินแล้ว จะเปลี่ยนสถานะเป็นติดตั้งทันที
426	ประเมิน
427	ทั่วไป
428	กระซิบ
429	ทีม
430	กิลด์
431	ทั้งหมด
432	บาปกำเนิด
433	เพื่อน 1
434	เพื่อน 2
435	เพื่อน 3
436	อธิบายเกม
437	ลายละเอียด
438	วิธีการใช้งาน
439	Royal Exchange
440	ใส่คำที่ต้องการค้นหา
441	เครื่องสวมใส่ของ $V1 
442	ระดับไอเทม
443	คุณภาพขึ้นไป
444	ลบ
445	ค้นหา
446	ข้อมูลไอเทม
447	เลเวล
448	เวลาคงเหลือ
449	ชื่อผู้ขาย
450	ราคา: 
451	: 
452	ท่านได้พูดกับ $V1 ว่า: 
453	 $V1 พูดกับท่านว่า: 
454	พลังกิลด์ส่วนตัว
455	พลังกิลด์รวม
456	ไม่มี
457	[ราคะ] 
458	[ตะกละ] 
459	[โลภะ] 
460	[ริษยา] 
461	[โทสะ] 
462	[อัตตา] 
463	[เกียจคร้าน] 
464	ต้องการเอาออกจากนี่หรือไม่?
465	ขาว
466	เขียว
467	ฟ้า
468	ม่วง
469	ส้ม
470	สังคม
471	อาวุธ
472	เกราะ
473	เครื่องประดับ
474	รูปลักษณ์
475	ตีบวก
476	ผลิต
477	อื่นๆ
478	12 ชั่วโมง
479	24 ชั่วโมง
480	48 ชั่วโมง
481	เลือกประเภท
482	เปิดดูไอเทม
483	วางขายไอเทม
484	ซื้อขาย Token
485	คลิกขวาตรงไอเทมที่ต้องการซื้อ
486	กำลังเสริมความโชคดีในการตีบวก
487	นำออก
488	 $V1 กำลังฝากขายไอเทม
489	ตั้งค่าวางขาย
490	ราคาขายต่อชิ้น
491	จำนวน
492	ยอดรวม
493	เวลาเริ่มฝากขาย
494	ค่าธรรมเนียม
495	ค่าคุ้มครอง
496	$V1%（$V2/$V3）
497	ยืนยันการวางขาย
498	ใบฝากขายปัจจุบัน
499	จำนวนฝากขาย
500	ราคา Token
501	ขาย
502	จัดการ
503	ขายไอเทมฝากขาย
504	ใส่ราคา Token แต่ละชิ้น
505	ราคาขายต่อชิ้น
506	ยอดรายได้รวม
507	ครั้ง
508	ค่านายหน้า
509	จำกัด 10,000
510	ยอดเงินรวม
511	ของฝากขายของท่าน
512	จัดการการซื้อขาย
513	คืนค่าใช้จ่าย
514	ยอดเงินซื้อขาย
515	Token
516	รับ
517	รับทั้งหมด
518	เหลือ
519	วัน
520	สถิติ
521	การฝากทั้งหมด
522	ยืนยันการฝาก
523	ต้องการยกเลิกการฝากหรือไม่?
524	ยังไม่ได้เข้าแชแนลเพื่อน
525	แชนแนลเพื่อน 1 (/1)
526	แชนแนลเพื่อน 2 (/2)
527	แชนแนลเพื่อน 3 (/3)
528	[ＧＭ] 
529	[ประกาศ] 
530	[ระบบ] 
531	สกิลตนเอง
532	สกิลศัตรู
533	สกิลเพื่อน
534	ไดรับเงิน
535	ได้รับไอเทม
536	ได้รับ EXP 
537	ประกาศ GM
538	ประกาศระบบ
539	ข้อความระบบ
540	[ทั่วไป] 
541	[กระซิบ] 
542	[ทีม] 
543	[กิลด์] 
544	[ทั้งหมด] 
545	[ $V1 ] 
546	เครื่องผลิตอุปกรณ์
547	แสดงอักษร
548	ใส่ ID เดิมของเครื่องสวมใส่
549	ใส่เลเวล
550	ใส่คุณภาพ
551	ใส่ ID ประเมิน
552	ใส่ตัวแรกของ ID
553	ใส่ตัวสุดท้ายของ ID
554	ใส่จำนวนดาวมอนสเตอร์ที่ดรอป
555	ยังไม่ได้เข้าแชนแนล
556	สนทนา
557	ต่อสู้
558	ระบบ
559	แบบตัวอักษร
560	บันทึกการตั้งค่า
561	กลับคู่ค่าเริ่มต้น
562	เข้าสู่แชนแนล
563	ตั้งค่าอักษร
564	ต้องการบันทึกการตั้งค่าปัจจุบัน? เนื้อหาของทั้ง 3 หน้าจะถูกบันทึกทั้งหมด
565	ต้องการกลับสู่การตั้งค่าเดิมหรือไม่? การตั้งค่าปัจจุบันจะถูกบันทึกทับ
566	การเก็บส่วนบำรุงสูงสุด: 
567	เพิ่มอัตราสำเร็จ: 
568	เติบโตเร่งด่วน
569	จำนวนล้มเหลวของการประกัน: 
570	ขยายช่องผลึก
571	เลเวลที่สามารถพัฒนาได้: 
572	ค่าดูดซับในแต่ละชั่วโมง: 
573	ขึ้นไป
574	ผลึก\nเลเวล
575	หลอม\nอัตราสำเร็จ
576	เลเวลที่สามารถ\nฝังประดับได้
577	ถาดหลอมผลึก
578	เพิ่มความแกร่งในการหลอม
579	หัก Token
580	กำลังหลอม
581	กำลังหลอมโชค
582	คลิกรีเซ็ทจะเป็นการทิ้งไอเทมที่ยังไม่ได้นับ และไอเทมที่กำลังนับถอยหลังอยู่ ต้องการทำการรีเซ็ทหรือไม่?
583	อัพเกรดแต้มกิลด์
584	หน้าฝากข้อความของ $V1 
585	ข้อความใหม่
586	ภารกิจสำรวจในวันนี้ยังไม่สำเร็จ
587	ระดับแสง
588	กิจกรรมหน้าหลัก 「$V1」 กำลังจะเริ่ม ต้องการลงทะเบียนหรือไม่?
589	กิจกรรม 【 $V1 】 ใกล้เริ่มแล้ว! 
590	กิจกรรมกำลังจะเริ่มขึ้น ต้องการเข้าฉากเลยหรือไม่?
591	ส่วนบำรุงช่องหลอมผลึกไม่เพียงพอ ต้องการดูดซับหรือไม่?
592	ต้องการออกจากกิจกรรม?
593	กิจกรรมกำลังจะเริ่มขึ้น ต้องการเข้าร่วมหรือไม่?
594	กิจกรรมวันนี้
595	ชื่อกิจกรรม
596	เวลาเริ่ม
597	เวลากิจกรรม
598	อธิบายกิจกรรม
599	จำกัดจำนวนคน: 
600	เลเวลที่ต้องการ: 
601	เงื่อนไขอื่นๆ
602	กำลังเก็บ
603	กำลังเสี่ยงโชค
604	พบร่องรอยของเผ่าสักหน้า ต้องการใช้จ่ายคุกกี้\n $V1  แต้ม เพื่อลองดวงดูไหม?
605	กิจกรรม
606	คนที่เหลือ: $V1 คน
607	คะแนน
608	เลือกชุดสำรวจวันนี้: 
609	ประเภทขี้เกียจ
610	ประเภทเคร่งครัด
611	ประเภทหัวแข็ง
612	(ภายใน $V1 นาที จะต้องทำ $V2 ให้สำเร็จ)
613	คิดรวมในภารกิจชุดอาหารได้หรือไม่: 
614	ใช่
615	ไม่
616	ชุดสำรวจรายวัน
617	จำนวนรายการชุดสำรวจวันนี้: 
618	สำเร็จกิจกรรม: $V1 อัน\nสำเร็จภารกิจ $V2, $V3, $V4, $V5\nคลิกยืนยันเพื่อเริ่มการสำรวจในวันนี้! 
619	อัน
620	ขยายสูงสุด $V1 ใช้แต้ม $V2 แต้ม
621	※นี่คือการขยายถาวร จำนวนสูงสุด $V1 
622	เพิ่มจำนวนการดูดซับ $V1 แต้ม ใช้จ่าย $V2 แต้ม สามารถหักออก $V3 ครั้ง
623	※จำนวนการดูดซับที่ต่างกันสามารถสะสมเพิ่มในจำนวนรวม จำนวนการดูดซับเหมือนกันจะสะสมเพิ่มจำนวนครั้ง
624	กลับจุดเกิด
625	ใช้ไอเทมขยาย
626	ผลการตีบวกอื่นๆ
627	ใช้จ่าย $V1 แต้มเพื่อขยาย
628	※เมื่อเปิดชั้นที่ 2 ครบ 6 ช่องแล้ว การดูดซับแต่ละชั่วโมงเพิ่มเป็น $V1 แต้ม
629	※เมื่อเปิดชั้นที่ 3 ครบ 9 ช่องแล้ว การดูดซับแต่ละชั่วโมงเพิ่มเป็น $V1 แต้ม
630	ผลของคุณภาพ
631	ผลการฝังประดับ
632	ผลการเสริมประกอบ
633	คืนชีพที่ $V1 จะเสีย EXP $V2 แต้ม
634	ใช้แต้ม $V1 แต้ม เพื่อคืนชีพที่เดิม เมื่อคืนชีพจะได้รับผล 『$V2』
635	คืนชีพที่เดิมต้องการแต้มร้านค้า $V1 แต้ม ปัจจุบันมีแต้มไม่เพียงพอ ไม่สามารถดำเนินการได้!
636	ท่านตายแล้ว กรุณาเลือกวิธีการคืนชีพ
637	กลับไปยัง $V1 จะเสีย EXP $V2 แต้ม
638	ใช้จ่าย $V1 แต้มเพื่อคืนชีพที่เดิม
639	ยืนยันการส่ง
640	เวลารีเซ็ท: 
641	เวลาที่เหลือ: 
642	เหลือเวลา: 
643	สิ้นสุดการค้นหา การค้นหาครั้งนี้เจอผู้เล่น $V1 คน
644	ชื่อลูกเรือ
645	เครื่องสวมใส่
646	เลเวลหลังการเรียก: 
647	โจมตีกายภาพ: 
648	โจมตีเวทย์: 
649	สกิลเฉพาะ
650	ข้อมูลลูกเรือ
651	 $V1 ส่งกล่องมา 1 อัน! 
652	 $V1 ส่งกล่องมา 1 อัน! กรุณาไปรับที่เจ้าหน้าที่คลัง! 
653	เลือกกล่องสมบัติ 1 กล่อง
654	เลือกรางวัล
655	ลบสีย้อม
656	กล่อง Pandora
657	คลิกตกลงจะหักกุญแจ 1 อัน! 
658	ความจุที่เหลือ: 
659	เคลื่อนที่อัตโนมัติ...
660	กำลังค้นหาเส้นทาง...
661	สีผม
662	เพิ่มอัตราสำเร็จ $V1 % ใช้จ่าย $V2 แต้ม เป็นเวลา 10 นาที
663	※ซื้อเวลาสะสมเพิ่มอีกครั้ง
664	เพิ่มจำนวนที่ไม่สูญหาย $V1 ครั้ง ใช้จ่าย $V2 แต้ม
665	คืนชีพที่เดิม
666	ตั้งค่าจับคู่: $V1 
667	อุปกรณ์รูปลักษณ์
668	เลือกเกม
669	กรุณาเลือกเกมที่ต้องการลงทะเบียน (หน้า 1): 
670	เลเวลที่ต้องการ: 
671	กิจกรรมหน้าหลัก
672	ตั้งค่าปุ่มคีย์ลัด
673	บังคับตัวละคร
674	ตั้งค่าคีย์ลัด
675	ฟังก์ชั่น
676	หน้าหลัก
677	ฟังก์ชั่น
678	ตั้งค่าปุ่ม
679	ตั้งค่าบันทึกให้ตัวละครตัวนี้เท่านั้น
680	กรุณาใส่คีย์ที่ต้องการปรับเปลี่ยน (ESC=คือการตั้งค่าให้ว่างเปล่า)
681	ปุ่มถูกใช้แล้ว! 
682	กดปุ่มเปลี่ยนแปลงแล้ว และกด[ปุ่มเลียนแบบ]จึงจะเป็นการตั้งค่าเลียนแบบ! 
683	ต้องการตั้งค่าเป็นค่าเริ่มต้นหรือไม่? การตั้งค่าที่บันทึกไว้จะถูกลบ! 
684	ต้องการลบภารกิจนี้หรือไม่? (ภารกิจที่เกี่ยวเนื่องจะถูกลบออกหมด)
685	ยังไม่ได้กดปุ่มเลียนแบบ การเปลี่ยนแปลงการตั้งค่าจะไม่มีการบันทึก! 
686	Knowledge Master
687	ข้อปัจจุบัน/จำนวนข้อทั้งหมด
688	เวลาที่เหลือ
689	คะแนนที่ได้จากข้อนี้
690	คะแนนรวม
691	อันดับชื่อ
692	ชื่อผู้เล่น
693	คะแนน
694	ตอบถูกต่อเนื่อง: 
695	ออกจากเกม
696	เชิญ PK
697	การ์ดจะต้องใช้ก่อนการตอบคำถาม! 
698	ส่วนหัว
699	ตอบกลับ: $V1 
700	แชแนลปัจจุบัน: $V1 
701	กลับเข้าเกม
702	กลับหน้าเลือกตัวละคร
703	เปลี่ยนแชแนล
704	ออกจากเกม
705	  (ยังไม่ได้เรียน)
706	เลือกแชแนล: 
707	ไป
708	การออกจากเกมทันทีจะทำให้ตัวละครค้างอยู่ในเกมเป็นเวลา $V1 วินาที! กรุณาใช้อย่างระวัง! 
709	เปิดได้สูงสุด 40 ช่อง ต้องการใช้หรือไม่?
710	จำนวนนับถอยหลังการออกจากระบบ: 
711	ต้องการออกจากเกมหรือไม่?\n แนะนำ: การออกเกมกลางคันจะทำให้คะแนนที่ได้ในเกมนั้นเป็นโมฆะ
712	ไม่มี
713	จำนวนผลึกที่ใช้
714	คะแนนที่ได้จากรอบนี้
715	Bejeweled
716	หักกองทุนกิลด์ $V1 ยืนยันหรือไม่?
717	เวลา
718	Jigsaw
719	Same
720	จำนวนรูปที่ทำลาย
721	Whac-a-mole
722	จำนวนที่ตีโดน
723	Follow me
724	จำนวนรอบ
725	Take Gold
726	Pirate Regatta
727	Shoot Dish
728	  (สวมใส่อยู่)
729	กิจกรรมจะต้องไปลงทะเบียนที่ $V1 ต้องการไปตอนนี้เลยหรือไม่?
730	ใช่แล้ว กรุณานำทางเราไป (หัก 1 Token)
731	ไม่ล่ะ เราอยากไปด้วยตัวเอง
732	ห้องเก็บเหล้า
733	ช่วยเปิดเหล้า
734	เหล้าหมัก
735	ปลดผนึก
736	ออก
737	สูตรหมักเหล้า
738	เหล้าผลไม้
739	เหล้าท้องถิ่น
740	เหล้าปรุงพิเศษ
741	หม้อปรุงยา
742	ชื่อสินค้า
743	ประสิทธิผล
744	เนื้อหาสูตร
745	อาวุธ
746	วัตถุดิบ 1
747	วัตถุดิบ 2
748	วัตถุดิบ 3
749	เวลาการหมัก
750	การหมัก
751	ล็อคเอาท์ทันที
752	เลือกคุณสมบัติอุปกรณ์
753	ขาว
754	เขียว
755	ฟ้า
756	ม่วง
757	หมายเหตุ: การเคลื่อนย้ายสามารถใช้ได้กับอุปกรณ์ประเภทเดียวกันเท่านั้น
758	เนื้อหาที่ส่งเกี่ยวข้องกับข้อมูลส่วนตัวหรือรายละเอียดการโฆษณา กรุณาอย่าทำการส่งถี่เกินไป
759	เมื่อล็อคอินไอเทมไปยังตู้เก็บของแล้วจะไม่สามารถนำออกมาได้ ยืนยันการล็อคอินหรือไม่?
760	แต้ม=ตู้เก็บของ:
761	วิเคราะห์บาปกำเนิด:
762	ตัวละครที่เกี่ยวข้อง:
763	บาปกำเนิดของท่านคือ $V1 
764	วิเคราะห์นิสัย:
765	ตั้งค่าบาปกำเนิด
766	ยังไม่ทำการเลือกบาปกำเนิด
767	คำสั่งอีโมชั่น
