n_ID	s_TITLE	s_CONTENT	s_ITEM_TEXT_1	s_ITEM_TEXT_2	s_ITEM_TEXT_3	s_ITEM_TEXT_4	s_ITEM_TEXT_5	s_ITEM_TEXT_6	s_ITEM_TEXT_7	s_ITEM_TEXT_8	s_ITEM_TEXT_9	s_ITEM_TEXT_10
11	เรียนสกิล	แต่ละครั้งที่ต้องการเพิ่มเลเวลสกิล จะต้องไปหา <text style="101" path="164">[52500164]</text> เพื่อเรียนสกิลนะ~										
1001	ดันเจี้ยน-Falling Sun	นอกจากเครื่องสวมใส่ต่างๆแล้ว เมื่อทำภารกิจสำเร็จ สามารถเพิ่มลูกเรือ [[52508506]] ได้	เมื่อทำภารกิจสำเร็จ สามารถเพิ่ม [Gobao] เป็นทรัพยากรณ์ในการเปลี่ยนจิตวิญญาณเรือ	การผ่านดันเจี้ยน Field Guide นอกจากได้รับ Token แล้ว ในรูปแบบ 2 ดาว สามารถได้รับคะแนอื่นๆเพิ่ม!	เครื่องสวมใส่เลเวล 44~48 ของแต่ละอาชีพ จะต้องผ่านการประเมิน จึงจะสวมใส่ได้	ไอเทมเพิ่มคุณภาพลูกเรือ สามารถนำมารวมกันเพื่อเพิ่มอัตราสำเร็จได้	เพื่อลูกเรือที่หายาก มาพยายามทำให้ได้คุณภาพดีดีกันเถอะ!	มีโอกาสได้รับเครื่องสวมใส่ลูกเรือเลเวล 1				
1002	ดันเจี้ยน-Supernatural  Arena 	สามารถได้รับเครื่องสวมใส่ และไอเทมต่างๆ	เครื่องสวมใส่เลเวล Lv.64~68 ของแต่ละอาชีพ จะต้องผ่านการประเมิน จึงจะสวมใส่ได้	ไอเทมเพิ่มคุณภาพลูกเรือ สามารถนำมารวมกันเพื่อเพิ่มอัตราสำเร็จได้	เพื่อลูกเรือที่หายาก มาพยายามทำให้ได้คุณภาพดีดีกันเถอะ!	มีโอกาสได้รับเครื่องสวมใส่ลูกเรือเลเวล 1						
1003	ดันเจี้ยน-Rough Sea Fortress	สามารถได้รับเครื่องสวมใส่ และไอเทมต่างๆ	เครื่องสวมใส่เลเวล Lv.74~78 ของแต่ละอาชีพ จะต้องผ่านการประเมิน จึงจะสวมใส่ได้	การผ่านดันเจี้ยน Field Guide นอกจากได้รับ Token แล้ว ในรูปแบบ 2 ดาว สามารถได้รับคะแนอื่นๆเพิ่ม!	ไอเทมเพิ่มคุณภาพลูกเรือ สามารถนำมารวมกันเพื่อเพิ่มอัตราสำเร็จได้	เพื่อลูกเรือที่หายาก มาพยายามทำให้ได้คุณภาพดีดีกันเถอะ!	มีโอกาสได้รับเครื่องสวมใส่ลูกเรือเลเวล 2	ไอเทมสำคัญในการเพิ่มอานุภาพให้สมบัติ!				
1004	ดันเจี้ยน-Poseidon Hall	สามารถได้รับเครื่องสวมใส่ และไอเทมต่างๆ	เครื่องสวมใส่เลเวล Lv.84~88 ของแต่ละอาชีพ จะต้องผ่านการประเมิน จึงจะสวมใส่ได้	การผ่านดันเจี้ยน Field Guide นอกจากได้รับ Token แล้ว ในรูปแบบ 2 ดาว สามารถได้รับคะแนอื่นๆเพิ่ม!	ไอเทมเพิ่มคุณภาพลูกเรือ สามารถนำมารวมกันเพื่อเพิ่มอัตราสำเร็จได้	เพื่อลูกเรือที่หายาก มาพยายามทำให้ได้คุณภาพดีดีกันเถอะ!	มีโอกาสได้รับเครื่องสวมใส่ลูกเรือเลเวล 2	ไอเทมสำคัญในการเพิ่มอานุภาพให้สมบัติ!				
1005	ดันเจี้ยน-Kraken Lair	สามารถได้รับเครื่องสวมใส่ และไอเทมต่างๆ	เครื่องสวมใส่เลเวล Lv.94~98 ของแต่ละอาชีพ จะต้องผ่านการประเมิน จึงจะสวมใส่ได้	การผ่านดันเจี้ยน Field Guide นอกจากได้รับ Token แล้ว ในรูปแบบ 2 ดาว สามารถได้รับคะแนอื่นๆเพิ่ม!	ไอเทมเพิ่มคุณภาพลูกเรือ สามารถนำมารวมกันเพื่อเพิ่มอัตราสำเร็จได้	เพื่อลูกเรือที่หายาก มาพยายามทำให้ได้คุณภาพดีดีกันเถอะ!	มีโอกาสได้รับเครื่องสวมใส่ลูกเรือเลเวล 3	ไอเทมสำคัญในการเพิ่มอานุภาพให้สมบัติ!				
1006	ดันเจี้ยน-Doom Church	สามารถได้รับเครื่องสวมใส่ และไอเทมต่างๆ	เครื่องสวมใส่เลเวล Lv.104~108 ของแต่ละอาชีพ จะต้องผ่านการประเมิน จึงจะสวมใส่ได้	การผ่านดันเจี้ยน Field Guide นอกจากได้รับ Token แล้ว ในรูปแบบ 2 ดาว สามารถได้รับคะแนอื่นๆเพิ่ม!	ไอเทมเพิ่มคุณภาพลูกเรือ สามารถนำมารวมกันเพื่อเพิ่มอัตราสำเร็จได้	เพื่อลูกเรือที่หายาก มาพยายามทำให้ได้คุณภาพดีดีกันเถอะ!	มีโอกาสได้รับเครื่องสวมใส่ลูกเรือเลเวล 3	ไอเทมสำคัญในการเพิ่มอานุภาพให้สมบัติ!				
1007	ดันเจี้ยน-Hell Trial	สามารถได้รับเครื่องสวมใส่ และไอเทมต่างๆ	เครื่องสวมใส่เลเวล Lv.114~118 ของแต่ละอาชีพ จะต้องผ่านการประเมิน จึงจะสวมใส่ได้	การผ่านดันเจี้ยน Field Guide นอกจากได้รับ Token แล้ว ในรูปแบบ 2 ดาว สามารถได้รับคะแนอื่นๆเพิ่ม!	ไอเทมเพิ่มคุณภาพลูกเรือ สามารถนำมารวมกันเพื่อเพิ่มอัตราสำเร็จได้	เพื่อลูกเรือที่หายาก มาพยายามทำให้ได้คุณภาพดีดีกันเถอะ!	มีโอกาสได้รับเครื่องสวมใส่ลูกเรือเลเวล 4	ไอเทมสำคัญในการเพิ่มอานุภาพให้สมบัติ!				
1008	ดันเจี้ยน-Skyfire Tower	สามารถได้รับเครื่องสวมใส่ และไอเทมต่างๆ	เครื่องสวมใส่เลเวล Lv.119~123 ของแต่ละอาชีพ จะต้องผ่านการประเมิน จึงจะสวมใส่ได้	การผ่านดันเจี้ยน Field Guide นอกจากได้รับ Token แล้ว ในรูปแบบ 2 ดาว สามารถได้รับคะแนอื่นๆเพิ่ม!	ไอเทมเพิ่มคุณภาพลูกเรือ สามารถนำมารวมกันเพื่อเพิ่มอัตราสำเร็จได้	เพื่อลูกเรือที่หายาก มาพยายามทำให้ได้คุณภาพดีดีกันเถอะ!	มีโอกาสได้รับเครื่องสวมใส่ลูกเรือเลเวล 4	ไอเทมสำคัญในการเพิ่มอานุภาพให้สมบัติ!				
1031	ดันเจี้ยน-ดันเจี้ยน 2Star	สามารถได้รับเครื่องสวมใส่ และไอเทมต่างๆ	มีโอกาศได้รับเครื่องสวมใส่ของแต่ละอาชีพสีม่วง จะต้องผ่านการประเมิน จึงจะสวมใส่ได้	ไอเทมสำคัญในการเพิ่มอานุภาพให้สมบัติ!	ไอเทมเพิ่มคุณภาพลูกเรือ สามารถนำมารวมกันเพื่อเพิ่มอัตราสำเร็จได้	สามารถเปลี่ยนลูกเรือให้เป็นหยกวิญญาณเลเวลสูงได้	มีโอกาสได้รับเครื่องสวมใส่ลูกเรือเลเวล 4 และเลเวล 5					
1101	ดันเจี้ยน 2 คน&ภารกิจสำรวจเกาะ	อัพเลเวลช้าไปงั้นเหรอ? ใน [52300003] มีสองวิธีที่ทำให้เก็บเลเวลเร็วขึ้น! หากทำสำเร็จ 3 หรือ 5 ครั้งจะได้รับรางวัล <text style="101" openui="ACHIEVEMENT_MAIN">ความสำเร็จ</text> อีกด้วย!	เมื่อใช้แล้วจะได้รับ EXP เพิ่ม หรือไข่แต้มสกิล!									
1201	ขยันอัพเลเวล	อัพเลเวลช้าไปงั้นเหรอ? การกำจัด BOSS ในดันเจี้ยนซ้ำอีกครั้ง จะได้รับ EXP <text style="101" openui="ACHIEVEMENT_MAIN">ความสำเร็จ</text> เป็นรางวัลอีกด้วย!										
1301	ลองกำจัด	เมื่อเริ่มต้น [52300004] จะมีเป้าหมายค่ายศัตรู สามารถกำจัดพวกศัตรูเพื่อรับ EXP!										
2001	ผจญภัยบนเกาะ	ทำการสอดส่อง สามารถผจญภัยในเกาะได้ ในเกาะมีสมบัติมากมายซ่อนอยู่!	ของเล่นแกล้งคนต่างๆรอให้ผู้เล่นมาเล่น!	สามารถได้รับเบาะแสในการหาสมบัติบนเกาะ!	ไม่อยากให้คนมาเห็นเหรอ? บนเกาะนี้น่ะมีไอเทมอำพรางตัวอยู่มากมายเลยล่ะ!	การหาสมบัติก็ต้องมีเงินอยู่แล้ว! นอกจากกระเป๋าตังค์แล้ว เปิดกล่องสมบัติอาจเจอเซอร์ไพส์อื่นๆอีกด้วย!						
2002	สำรวจ	ทำการสอดส่องจะมีโอกาศเจอเรืออับปาง สามารถได้รับ EXP และไอเทมต่างๆได้จากที่นี่!	สะสม 3 อันมีโอกาสได้รับอุปกรณ์รูปลักษณ์	มีโอกาสได้รับสูตรหมักเหล้า	ไอเทมช่วยเหลือในมหาสมุทร							
2003	ย้อมสี	เพียงแค่มี Ship Colourant ในตัว สามารถไปที่ [52300001] เพื่อขอให้ <text style="101" path="167">[52500167]</text> ช่วยย้อมสีให้!	Ship Colouran ได้รับจากแผนที่เดินเรือเท่านั้น									
2004	Kraken	มี Kraken ออกอาละวาด หากเจอ Kraken เรียกพวกมาช่วยกันกำจัดได้เลย!!	ของใช้ของราชวงศ์ คุณภาพดี!	ของใช้ของราชวงศ์ คุณภาพดี!	ของใช้ของราชวงศ์ คุณภาพดี!		กำจัด Kraken ได้สามารถได้รับรางวัล!					
3001	Field Guide-สารบัญดินแดน	สามารถไปหา <text style="101" path="248">[52500248]</text> เพื่ออ่านคำอธิบายเกี่ยวกับ รางวัลและวิธีการสะสม <text style="101" openui="COLLECT_MAIN">Field Guide</text>!	ได้รับหลังจากทำ Field Guide สำเร็จ สามารถเปิดกล่องที่สำรวจได้ เพื่อหาสมบัติ	ชิ้นส่วน Field Guide จะต้องใช้จึงจะรู้ว่าเป็นชิ้นส่วนของรูปใด...								
3002	สารบัญดินแดน-Port Royal 	ค้นหาเพื่อรับชิ้นส่วน!!	ได้รับหลังจากทำ Field Guide สำเร็จ สามารถเปิดกล่องที่สำรวจได้ เพื่อหาสมบัติ	ชิ้นส่วน Field Guide จะต้องใช้จึงจะรู้ว่าเป็นชิ้นส่วนของรูปใด...								
3003	สารบัญดินแดน-Prison Exile Island 	เมื่อเลเวลถึง Lv.18 สามารถไปพื้นที่ใหม่เพื่อหาชิ้นส่วนได้!!	ได้รับหลังจากทำ Field Guide สำเร็จ สามารถเปิดกล่องที่สำรวจได้ เพื่อหาสมบัติ	ชิ้นส่วน Field Guide จะต้องใช้จึงจะรู้ว่าเป็นชิ้นส่วนของรูปใด...								
3004	สารบัญดินแดน-Spice Paradise Island 	เมื่อเลเวลถึง Lv.25 สามารถไปพื้นที่ใหม่เพื่อหาชิ้นส่วนได้!!	ได้รับหลังจากทำ Field Guide สำเร็จ สามารถเปิดกล่องที่สำรวจได้ เพื่อหาสมบัติ	ชิ้นส่วน Field Guide จะต้องใช้จึงจะรู้ว่าเป็นชิ้นส่วนของรูปใด...								
3005	สารบัญดินแดน-Slave Market Island 	เมื่อเลเวลถึง Lv.45 สามารถไปพื้นที่ใหม่เพื่อหาชิ้นส่วนได้!!	ได้รับหลังจากทำ Field Guide สำเร็จ สามารถเปิดกล่องที่สำรวจได้ เพื่อหาสมบัติ	ชิ้นส่วน Field Guide จะต้องใช้จึงจะรู้ว่าเป็นชิ้นส่วนของรูปใด...								
3006	สารบัญดินแดน-Evil Port 	เมื่อเลเวลถึง Lv.60 สามารถไปพื้นที่ใหม่เพื่อหาชิ้นส่วนได้!!	ได้รับหลังจากทำ Field Guide สำเร็จ สามารถเปิดกล่องที่สำรวจได้ เพื่อหาสมบัติ	ชิ้นส่วน Field Guide จะต้องใช้จึงจะรู้ว่าเป็นชิ้นส่วนของรูปใด...								
3007	สารบัญดินแดน-Ocean Walled City 	เมื่อเลเวลถึง Lv.70 สามารถไปที่-[52300127] ทำการสำรวจ อย่าลืมเก็บชิ้นส่วนมาล่ะ!	ได้รับหลังจากทำ Field Guide สำเร็จ สามารถเปิดกล่องที่สำรวจได้ เพื่อหาสมบัติ	ชิ้นส่วน Field Guide จะต้องใช้จึงจะรู้ว่าเป็นชิ้นส่วนของรูปใด...								
3008	สารบัญดินแดน-Voodoo Island	เมื่อเลเวลถึง Lv.81 สามารถไปพื้นที่ใหม่เพื่อหาชิ้นส่วนได้!!	ได้รับหลังจากทำ Field Guide สำเร็จ สามารถเปิดกล่องที่สำรวจได้ เพื่อหาสมบัติ	ชิ้นส่วน Field Guide จะต้องใช้จึงจะรู้ว่าเป็นชิ้นส่วนของรูปใด...								
3009	สารบัญดินแดน-Silver Harbour	เมื่อเลเวลถึง Lv.86 สามารถไปพื้นที่ใหม่เพื่อหาชิ้นส่วนได้!!	ได้รับหลังจากทำ Field Guide สำเร็จ สามารถเปิดกล่องที่สำรวจได้ เพื่อหาสมบัติ	ชิ้นส่วน Field Guide จะต้องใช้จึงจะรู้ว่าเป็นชิ้นส่วนของรูปใด...								
3010	สารบัญดินแดน-Death City Sea	เมื่อเลเวลถึง Lv.92 สามารถไปพื้นที่ใหม่เพื่อหาชิ้นส่วนได้!!	ได้รับหลังจากทำ Field Guide สำเร็จ สามารถเปิดกล่องที่สำรวจได้ เพื่อหาสมบัติ	ชิ้นส่วน Field Guide จะต้องใช้จึงจะรู้ว่าเป็นชิ้นส่วนของรูปใด...								
3011	สารบัญดินแดน-Hell Volcanic Island	เมื่อเลเวลถึง Lv.105 สามารถไปพื้นที่ใหม่เพื่อหาชิ้นส่วนได้!!	ได้รับหลังจากทำ Field Guide สำเร็จ สามารถเปิดกล่องที่สำรวจได้ เพื่อหาสมบัติ	ชิ้นส่วน Field Guide จะต้องใช้จึงจะรู้ว่าเป็นชิ้นส่วนของรูปใด...								
3012	สารบัญดินแดน-Drake empty Walled	เมื่อเลเวลถึง Lv.112 สามารถไปที่-[52300128] ทำการสำรวจ อย่าลืมเก็บชิ้นส่วนมาล่ะ!		ชิ้นส่วน Field Guide จะต้องใช้จึงจะรู้ว่าเป็นชิ้นส่วนของรูปใด...								
3013	สารบัญดินแดน-Lost Eden	เมื่อเลเวลถึง Lv.110 สามารถไปพื้นที่ใหม่เพื่อหาชิ้นส่วนได้!!	ได้รับหลังจากทำ Field Guide สำเร็จ สามารถเปิดกล่องที่สำรวจได้ เพื่อหาสมบัติ	ชิ้นส่วน Field Guide จะต้องใช้จึงจะรู้ว่าเป็นชิ้นส่วนของรูปใด...								
3014	สารบัญดินแดน-Sunset Deserted	เมื่อเลเวลถึง Lv.115 สามารถไปพื้นที่ใหม่เพื่อหาชิ้นส่วนได้!!	ได้รับหลังจากทำ Field Guide สำเร็จ สามารถเปิดกล่องที่สำรวจได้ เพื่อหาสมบัติ	ชิ้นส่วน Field Guide จะต้องใช้จึงจะรู้ว่าเป็นชิ้นส่วนของรูปใด...								
3201	 Field Guide-Figures 	สามารถไปหา <text style="101" path="171">[52500171]</text> เพื่ออ่านคำอธิบายเกี่ยวกับ <text style="101" openui="COLLECT_MAIN">Figures</text>	เมื่อใส่ลงตู้เก็บของแล้ว สามารถเรียกออกมาช่วยเหลือผู้เล่นได้!	เมื่อใส่ลงตู้เก็บของแล้ว สามารถเรียกออกมาช่วยเหลือผู้เล่นได้!								
3401	 Field Guide-สารบัญขุมทรัพย์	สามารถไปที่เกาะเพื่อหาสมบัติ หรือไปเอาชิ้นส่วนมาจากบนตัวของมอนสเตอร์ เมื่อสะสมครบจะได้รับรางวัล <text style="101" openui="COLLECT_MAIN">Field Guide</text>	หนึ่งในสมบัติทั้งแปด มีพลังในการโจมตีเป็นแนวกว้าง	ชิ้นส่วน Field Guide จะต้องใช้จึงจะรู้ว่าเป็นชิ้นส่วนของรูปใด...	ชิ้นส่วน Field Guide จะต้องใช้จึงจะรู้ว่าเป็นชิ้นส่วนของรูปใด...	หนึ่งในสมบัติทั้งแปด สามารถเรียก War Machine ได้						
3402	สารบัญขุมทรัพย์-Hammer of Judgment	หาสมบัติที่ [52300126] มีโอกาสได้รับชิ้นส่วนของสมบัตินี้	หนึ่งในสมบัติทั้งแปด มีพลังในการโจมตีเป็นแนวกว้าง	ชิ้นส่วน Field Guide จะต้องใช้จึงจะรู้ว่าเป็นชิ้นส่วนของรูปใด...								
3403	สารบัญขุมทรัพย์-Poseidon servant	หาสมบัติที่ [52300127] มีโอกาสได้รับชิ้นส่วนของสมบัตินี้	หนึ่งในสมบัติทั้งแปด สามารถเรียก Poseidon servant แสนน่ารักออกมาได้	ชิ้นส่วน Field Guide จะต้องใช้จึงจะรู้ว่าเป็นชิ้นส่วนของรูปใด...								
3404	สารบัญขุมทรัพย์-Ancyn Grip	หาสมบัติที่ [52300128] มีโอกาสได้รับชิ้นส่วนของสมบัตินี้	หนึ่งในสมบัติทั้งแปด สามารถได้รับทหารเทพที่ Ancyn สร้างขึ้นมาได้ชั่วคราว	ชิ้นส่วน Field Guide จะต้องใช้จึงจะรู้ว่าเป็นชิ้นส่วนของรูปใด...								
3405	สารบัญขุมทรัพย์-Lydiana Melody	หาสมบัติที่ [52300128] มีโอกาสได้รับชิ้นส่วนของสมบัตินี้	หนึ่งในสมบัติทั้งแปด ได้รับคำอวยพรจาก Lydiana ชั่วคราว	ชิ้นส่วน Field Guide จะต้องใช้จึงจะรู้ว่าเป็นชิ้นส่วนของรูปใด...								
3406	สารบัญขุมทรัพย์-Treasure Hunter Bag	หาสมบัติที่ [52300129] มีโอกาสได้รับชิ้นส่วนของสมบัตินี้	หนึ่งในสมบัติทั้งแปด สามารถได้รับบริการจากนักล่าสมบัติทันที	ชิ้นส่วน Field Guide จะต้องใช้จึงจะรู้ว่าเป็นชิ้นส่วนของรูปใด...								
3407	สารบัญขุมทรัพย์-Night Evilteeth	หาสมบัติที่ [52300129] มีโอกาสได้รับชิ้นส่วนของสมบัตินี้	หนึ่งในสมบัติทั้งแปด สามารถเรียกนักรบมาช่วยเหลือ	ชิ้นส่วน Field Guide จะต้องใช้จึงจะรู้ว่าเป็นชิ้นส่วนของรูปใด...								
3408	สารบัญขุมทรัพย์-Caille Assault Boat Key	หาสมบัติที่ [52300129] มีโอกาสได้รับชิ้นส่วนของสมบัตินี้	หนึ่งในสมบัติทั้งแปด สามารถได้รับสิทธิ์ในการควบคุมเรือบิน 6 คน	ชิ้นส่วน Field Guide จะต้องใช้จึงจะรู้ว่าเป็นชิ้นส่วนของรูปใด...								
3409	สารบัญขุมทรัพย์-Judge Certificate	หาสมบัติที่ [52300129] มีโอกาสได้รับชิ้นส่วนของสมบัตินี้	หนึ่งในสมบัติทั้งแปด สามารถเรียก Tormentor มากำจัดสิ่งที่ขวางหน้าให้ราบคาบ	ชิ้นส่วน Field Guide จะต้องใช้จึงจะรู้ว่าเป็นชิ้นส่วนของรูปใด...								
3601	Field Guide-แผนที่ขุมทรัพย์	เมื่อจบดันเจี้ยนนี้จะมีการสรุปคะแนน จะได้รับชิ้นส่วน เมื่อสะสมครบจะได้รับรางวัล <text style="101" openui="COLLECT_MAIN">Field Guide</text>	เมื่อได้รับ จะเพิ่มคะแนนจากดันเจี้ยนนี้ สามารถได้รับรางวัลที่มีคุณภาพยิ่งขึ้น	ชิ้นส่วน Field Guide จะต้องใช้จึงจะรู้ว่าเป็นชิ้นส่วนของรูปใด...								
9001	ทดสอบ1	ทดสอบอักษร1 เส้นทาง NPC <text style="101" path="167">[52500167]</text>										
9002	ทดสอบ2	ทดสอบอักษร2 เส้นทาง marker										
9003	ทดสอบ3	ทดสอบอักษร3 สี <text style="115"> [52300001] </text>										
9004	ทดสอบ4	ทดสอบ4 การเปิดหน้าต่าง <text style="101" openui="COLLECT_MAIN">Figures</text> 										
9005	ทดสอบ5	ทดสอบอักษร5										
9006	ทดสอบ6	ทดสอบอักษร6										
9007	ทดสอบ7	ทดสอบอักษร7										
9008	ทดสอบ8	ทดสอบอักษร8										
9009	ทดสอบ9	ทดสอบอักษร9										
9010	ทดสอบ10	ทดสอบอักษร10										
