n_ID	n_TYPE	n_SCENE	n_FOLLOW	s_LUASCRIPT	n_LEVEL_QUEST	n_LEVEL_EXP	n_NEXT	n_VARI_1	n_VARI_2	n_VARI_3	n_VARI_4	n_VARI_5	n_VARI_6	n_VARI_7	n_VARI_8	n_VARI_9	n_VARI_10	n_VARI_11	n_VARI_12	n_VARI_13	n_VARI_14	n_VARI_15	n_VARI_16	n_VARI_17	n_VARI_18	n_VARI_19	n_VARI_20	s_VARI_1	s_VARI_2	n_REWARD_ITEM1	n_REWARD_NUM1	n_REWARD_ITEM2	n_REWARD_NUM2	n_REWARD_ITEM3	n_REWARD_NUM3	n_REWARD_ITEM4	n_REWARD_NUM4	n_REWARD_ITEM5	n_REWARD_NUM5	n_REWARD_ITEM6	n_REWARD_NUM6	n_REWARD_CHOOSE1	n_REWARD_CHOOSENUM1	n_REWARD_CHOOSE2	n_REWARD_CHOOSENUM2	n_REWARD_CHOOSE3	n_REWARD_CHOOSENUM3	n_REWARD_CHOOSE4	n_REWARD_CHOOSENUM4	n_REWARD_CHOOSE5	n_REWARD_CHOOSENUM5	n_REWARD_CHOOSE6	n_REWARD_CHOOSENUM6	f_CASH	f_EXP	f_SP	n_GM_SWITCH	s_HK_VER	s_TC_VER	s_JP_VER	s_TH_VER
32	1	1	0	Q_CON1	10	18	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	805	0	0	0	0	_F_FLEX_000	_F_EMOTION_006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.5	1.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
33	1	1	0	Q_MOVIE_CON2	15	20	34	916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	MYRINA_000.wmv	_F_TALK_000	2410166	1	2410167	1	2410168	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.5	1.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
34	1	1	0	Q_TELE_WITH_VEHICLE2	10	20	0	33	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_F_FLEX_000	_F_TALK_000	2401006	2	2401106	2	2401206	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.5	1.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
35	2	1	0	Q_CON1	31	33	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_F_FLEX_000	_F_HAPPY_000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
36	2	1	0	Q_CON1	31	33	37	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_F_HAPPY_000	_F_FLEX_000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
37	2	1	0	Q_CON1	31	33	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_F_FLEX_000	_F_HAPPY_000	2405092	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
38	2	1	0	Q_MOVIE_CON2	30	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ROLA_000.wmv	_F_EMOTION_007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
39	6	1	0	Q_DAY_SEND2	45	45	0	38	2500004	1	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_F_EMOTION_007	_F_TALK_000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.5	1.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
40	2	1	1	Q_CHECKBUFF1	30	40	0	0	8506	8540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_F_FLEX_000	_F_HAPPY_000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
41	2	1	1	Q_SET2	35	40	0	0	42	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_F_HAPPY_000	_F_HAPPY_000	2401007	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
42	2	1	0	Q_SET5	35	40	0	0	41	2500005	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_F_FLEX_000	_F_EMOTION_002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
43	2	1	0	Q_SET5	35	40	0	0	41	2500006	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_F_FLEX_000	_F_TALK_000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
44	1	1	0	Q_SEND1	26	30	45	80	2500007	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_F_SAD_000	_F_TALK_000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.5	1.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
45	1	1	0	Q_SEND1	26	30	46	44	2500008	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_F_TALK_000	_F_SAD_000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.5	1.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
46	1	1	0	Q_CON1	26	30	47	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_F_FLEX_000	_F_HAPPY_000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.5	1.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
47	1	1	0	Q_CON1	26	35	48	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_F_FLEX_000	_F_HAPPY_000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.5	1.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
48	1	1	0	Q_CON1	26	35	101	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_F_FLEX_000	_F_HAPPY_000	2401106	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.5	1.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
49	2	1	0	Q_SEND5	39	45	0	0	2500009	1	2500017	1	2500068	1	2500010	3	0	0	0	0	0	0	0	0	0	0	0	_F_FLEX_000	_F_HAPPY_000	2208988	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
50	2	1	0	Q_CON2	39	45	0	49	180	0	0	0	0	0	0	0	0	0	0	0	359	359	0	0	0	0	0	_F_FLEX_000	_F_EMOTION_007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
51	1	2	0	Q_MOVIE_CON4	15	20	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_F_FLEX_000	MYRINA_000.wmv	2401106	3	2600342	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.5	1.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
52	1	2	0	Q_GATHER1	15	20	53	927	2500020	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.5	1.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
53	1	2	0	Q_CON1	15	20	54	52	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0		_F_HAPPY_000	2401006	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.5	1.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
54	1	2	0	Q_CON_NEW	15	20	55	53	0	0	24	2500021	5	20	6	0	0	0	0	0	0	0	0	0	0	0	0	_F_FLEX_000	_F_HAPPY_000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.5	1.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
55	1	2	0	Q_CON1	15	20	56	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_F_FLEX_000	_F_HAPPY_000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.5	1.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
56	1	2	1	Q_CON1	15	20	992	55	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	_F_FLEX_000	_F_FLEX_000	2401206	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.5	1.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
57	40	0	0	Q_SET10	10	21	0	56	992	8507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_F_EMOTION_001	_F_EMOTION_001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
58	1	2	0	Q_KILL1	15	20	59	992	29	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_F_TALK_000	_F_FLEX_000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.5	1.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
59	1	2	0	Q_KILL1	15	20	67	58	28	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_F_FLEX_000	_F_TALK_000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.5	1.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
60	1	2	0	Q_CON1	15	23	62	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_F_EMOTION_012	_F_TALK_000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.5	1.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
62	1	2	0	Q_CON_NEW	15	23	64	60	0	0	3	8765	0	4	8586	0	19	8765	0	0	0	0	0	0	0	0	0	_F_TALK_000	_F_FLEX_000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.5	1.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
64	1	2	0	Q_SEND1	15	23	65	62	2500025	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_F_DIE_000	_F_TALK_000	2600502	1	2405091	3	0	0	0	0	0	0	0	0	2204624	1	2204625	1	2204626	1	0	0	0	0	0	0	1.0	1.5	1.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
65	1	2	0	Q_CON1	15	23	66	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_F_EMOTION_012	_F_TALK_000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.5	1.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
66	1	2	0	Q_CON_NEW	15	23	89	65	0	0	25	2500025	1	20	21	0	0	0	0	0	0	0	0	0	0	0	0	_F_TALK_000	_F_EMOTION_000	2401206	3	2401006	5	0	0	0	0	0	0	0	0	2204824	1	2204825	1	2204826	1	0	0	0	0	0	0	1.0	1.5	1.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
67	1	2	0	Q_SEND1	15	20	60	59	2500018	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_F_TALK_000	_F_EMOTION_012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.5	1.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
68	1	2	0	Q_CON1	15	25	69	722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_F_FLEX_000	_F_FLEX_000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.5	1.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
69	1	2	0	Q_ADD_SKILL2	15	25	70	68	0	8508	29	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_F_TALK_000	_F_FLEX_000	2600502	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.5	1.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
70	1	2	0	Q_SEND1	15	25	357	69	2500094	1	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	_F_FLEX_000	_F_EMOTION_012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.5	1.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
71	1	2	0	Q_GATHER1	23	30	72	357	2500026	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_F_TALK_000	_F_HAPPY_000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.5	1.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
72	1	2	0	Q_KILL1	24	30	73	71	30	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_F_FLEX_000	_F_HAPPY_000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.5	1.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
73	1	2	0	Q_CON1	25	30	74	72	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	_F_FLEX_000	_F_FLEX_000	2401206	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.5	1.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
74	1	2	0	Q_KILL2	26	30	75	73	34	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_F_TALK_000	_F_FLEX_000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.5	1.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
75	1	2	0	Q_KILL1	26	30	76	74	844	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_F_TALK_000	_F_FLEX_000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.5	1.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
76	25	0	0	Q_ENTER_INSTANCE1	15	30	0	75	78	2031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_F_TALK_000	_F_TALK_000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
77	1	147	0	Q_CON1	26	30	78	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_F_HAPPY_000	_F_FLEX_000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.5	1.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
78	1	2	0	Q_TELEPORT_NEW	26	30	0	77	0	0	92	4	573	600	3	8792	255	0	0	0	0	25	0	0	0	0	0	_F_FLEX_000	_F_HAPPY_000	2401006	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.5	1.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
79	2	3	0	Q_MOVIE_KILL1	34	40	0	126	908	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	BISMARCK_000.wmv	BISMARCK_000.wmv	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
80	1	2	0	Q_CON1	26	30	44	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_F_FLEX_000	_F_SAD_000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.5	1.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
89	1	2	0	Q_GATHER1	15	23	91	66	2500032	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_F_TALK_000	_F_EMOTION_006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.5	1.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
91	1	2	1	Q_CHECKBUFF1	15	23	722	89	8509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_F_EMOTION_006	_F_EMOTION_001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.5	1.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
92	2	2	0	Q_GATHER1	23	30	0	357	2500034	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_F_TALK_000	_F_TALK_000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
93	6	2	0	Q_DAY_KILL1	45	45	0	92	507	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_F_TALK_000	_F_EMPOWER_000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0.5	1.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
94	2	2	0	Q_GATHER1	24	30	95	71	2500035	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_F_TALK_000	_F_EMOTION_001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
95	2	2	0	Q_GATHER1	24	30	0	94	2500036	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_F_EMOTION_000	_F_TALK_000	2405091	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
99	1	1	0	Q_MOVIE_GATHER_NEW	21	35	108	107	0	0	0	2500016	1	0	0	0	0	0	1	0	743	743	0	0	0	0	0	MYRINA_000.wmv	_F_FLEX_000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.5	1.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
100	40	0	0	Q_SET8	20	30	0	73	99	3	81	0	0	0	0	0	0	0	0	743	0	0	0	0	0	0	0	_F_TALK_000	_F_TALK_000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
101	1	1	0	Q_CON1	27	35	102	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_F_SAD_000	_F_FLEX_000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.5	1.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
102	1	1	0	Q_CON1	27	35	103	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_F_FLEX_000	_F_TALK_000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.5	1.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
103	1	1	0	Q_CON1	27	35	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_F_HAPPY_000	_F_FLEX_000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.5	1.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
104	1	1	0	Q_INTERFLOW3	30	35	105	885	889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_F_TALK_000	_F_FLEX_000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.5	1.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
105	1	1	0	Q_CON1	30	35	106	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_F_FLEX_000	_F_HAPPY_000	2600503	1	0	0	0	0	0	0	0	0	0	0	2204827	1	2204828	1	2204829	1	0	0	0	0	0	0	1.0	1.5	1.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
106	1	1	0	Q_CON1	30	33	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_F_TALK_000	_F_FLEX_000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.5	1.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
107	1	1	0	Q_MOVIE_CON3	30	33	99	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	_F_FLEX_000	MYRINA_000.wmv	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.5	1.0	0	1.00.0000	1.00.0000	1.00.0000	1.00.0000
