n_ID	s_QUEST_NAME	s_BRIEFING	s_QUEST_INFO_BRIEF	s_WORD1	s_WORD2	s_WORD3	s_WORD4	s_WORD5	s_WORD6	s_WORD7	s_WORD8	s_WORD9	s_WORD10	s_WORD11	s_WORD12	s_WORD13	s_WORD14	s_WORD15	s_WORD16	s_WORD17	s_WORD18	s_WORD19	s_WORD20	s_WORD21	s_WORD22	s_WORD23	s_WORD24	s_WORD25	s_WORD26	s_WORD27	s_WORD28	s_WORD29	s_WORD30	s_WORD31	s_WORD32	s_WORD33	s_WORD34	s_WORD35	s_WORD36	s_WORD37	s_WORD38	s_WORD39	s_WORD40	s_WORD41	s_WORD42	s_WORD43	s_WORD44	s_WORD45	s_WORD46	s_WORD47	s_WORD48	s_WORD49	s_WORD50
510	การท้าดวลของ Bounty Hunter 3		ใช้<text style="109">[71600044]</text>ในส่วนของ<text style="79" marker="3300215">[70500132]</text>, เอาชนะ<text style="79" path="543" marker="3300215">[52500543]</text> 3 ตัว ไปพบ<text style="79" path="253">[52500253]</text>เพื่อสนทนา	ครั้งนี้จะเป็นการท้าดวลอย่างแท้จริง เจ้ากับพวกพ้องของเราขะได้ต่อสู้ด้วยอาวุธคมดาบของจริง	คู่ต่อสู้ของข้าอยู่ที่ไหน?	นอกเมืองมี<text style="79" marker="3300215">[70500132]</text>อยู่แห่งหนึ่ง มีเสียงการต่อสู้ดังขึ้นแล้ว เจ้ายอมรับการท้าดวลหรือไม่?	ข้ารับการท้าดวล	ข้าขอคิดดูก่อน	ไม่เป็นไร รอให้คิดให้รอบคอบก่อนค่ยมาพบข้านะ	ทราบแล้ว	เจ้าจะทิ้งการสอบนี่เหรอ?	ข้ายังไม่อยากยอมแพ้	ทำได้สวย! ความสามารถเจ้าไม่แพ้<text style="79">[52500259]</text> เธอเป็นเบอณืสองของ Bounty Hunter เลยนะ!	ถ้ามีโอกาสประลองกับเธอได้	เจ้าทำได้ดีมากทีเดียว มีโอกาสข้าจะขอท้าดวลกับเจ้าด้วยตัวเองสักครั้ง และคิดว่าคงจะอีกไม่ช้านี่แน่นอน!																																						
511	เส้นทางเครื่องหอม 8		เก็บรวบรวม<text style="109">[71600042]</text>ในส่วนของ<text style="79" marker="3300284">[70500074]</text> ได้รับ<text style="109" marker="3300284">[51300209]</text> 3 ถุง เปิดใช้<text style="79" path="720">[52500720]</text>	แม้ว่า Xiao Mai จะไม่สามารถขายเครื่องหอมให้กับ Monster Hunter ได้ แต่บางที<text>[52300008]</text>อาจสามารถเปิดตลาดเครื่องหอมใหม่ $V1 เจ้าช่วยทีได้ไหม?	ข้าไปเก็บรวบรวมเครื่องหอมในพื้นที่ก่อน	......(ไม่มีคนคอยฟังข่าว)	เจ้าต้องทำภารกิจให้เสร็จก่อนรายงาน	Xiao Mai ไม่เคยเห็นเครื่องหอมนี่มาก่อน มันหายากมากแน่ๆ	เริ่มผลิตเป็นสินค้าได้หรือยัง?	Xiao Mai จะลองพยายามให้ถึงที่สุด หากสำเร็จ มันจะกลายเป็นสินค้าที่มีหนึ่งเดียวของ Magellan Chamber of Commerce																																											
512	บันทึกความทรงจำ: Silver Harbour 2		เปิดใช้<text style="79" path="721">[52500721]</text> และตอบคำถามของอีกฝ่าย	$V1, <text>[52300008]</text>มีปีศาจทะเลอยู่สินะ! ข้าคิดว่าเจ้าคงเจอมามากแล้ว เจ้าบอกข้าทีว่าปีศาจทะเลตัวไหนที่น่ากลัวที่สุด?	<text style="79">[52500276]</text>	<text style="79">[52500278]</text>	<text style="79">[52501191]</text>	นั้นไม่ใช่ปีศาจทะเลน่ากลัวที่ข้าเคยได้ยิน	ความรู้ของข้าน้อยไปงั้นเหรอ?	......	......	ได้ยินว่า Floating Island Jellyfish หากดูไกลๆ จะเหมือนกับเกาะ เมื่อเข้าใกล้มันก็จะดถมตัวขึ้นมา พร้อมกับจมเรือของเจ้า เราต้องระวังให้ดี!	เรือของข้าพังด้วยมือเขาสินะ	$V1 แบบนี้ไม่ได้นะ! ในใจของเจ้าจะต้องมีความโลภอยู่ จึงถูกล่อลวงไปแบบนี้																																							
513	ขึ้นเรือ Santa Maria			(ที่กลางทะเลพบกับ<text style="79">[52508006]</text> ต้องการขึ้นเรือดังกล่าวไหม?)	ขึ้นไปยังเรือ	เดินหน้าต่อ																																															
514	Death City Sea		เอาชนะ<text style="79" path="606">[52500606]</text> 3 ตัว ไปพบ<text style="79" path="605">[52500605]</text>เพื่อรายงาน	เจ้าดู กลางทะเลมีเรือผีที่ดูน่ากลัวลอยอยู่ เหล่ากะลาสีไม่กล้าผ่านไปทางนั้น ดังนั้นข้าอยากให้เจ้าไปจัดการผีที่เรือผีนั่น!	ดูท่าข้าอาจต้องเจอกันผี	ข้าไม่ได้ส่งเจ้าไปสู้กับผี?	ข้าเป็นตัวซวยของพวกมากร้ายตั้งแต่เมื่อไหร่?	พื้นที่ทางทะเลนีเหมือน<text>[52300126]</text> แต่จริงๆ แล้วน่าจะเป็น<text>[52300001]</text> ข้าเดินเรือมาหลายปี เป็นครั้งแรกที่เจอเส้นทางแปลกๆ แบบนี้	นี่นะเหรอโลกที่สงบสุข	อย่างนี้นี่เอง เจ้าไม่ต้องกังวล ผจญภัยที่นี่ให้เต็มที่เถอะ! ข้าจะอยู่เคียงข้างเจ้า เจ้าจะไม่มีวันโดดเดี่ยวอีกต่อไป!																																											
515	ทิวทัศน์ Death City		ไปพบ<text style="79" path="190">[52500190]</text>เพื่อทำการสนทนา และตอบคำถามของเธอให้ถูกต้อง	เจ้าไปเที่ยวเล่นถึงไหน ถึงได้มาเอาป่านนี้!	ที่น่ากลัวนี่มันคือที่ไหน?	<text>[52300001]</text>นี่เจ้าถนัดที่สุดไม่ใช่เหรอ? ในโลกที่สงบสุขนี้<text>[52300001]</text>กลับถูกอาวุธของ Nora Jana ทำลาย ผ่านมากว่าร้อยปี เวลานี้กลับกลายเป็นเพียงเมืองร้าง	ไม่มีใครรอดจริงเหรอ?	ข้าเห็นแต่พวกสัตวืประหลาดกลุ่มหนึ่ง ดูสิ! ถ้าหากไม่ได้<text>[51300408]</text>กลับมา โลกก็คงไม่เหมือนเดิม	ข้าจะไปตามหาผู้ที่อยูรอดก่อน!	เรื่องนี้ไม่เกี่ยวกับข้า	อะไรที่บอกว่าไม่เกี่ยวกับเจ้า! งั้นเจ้าก็รอความตายไปคนเดียวนะ! ข้าจะไม่สนใจเจ้าแล้ว!	อย่าทำแบบนี้สิ!	......	......	ดีมาก งั้นตอนนี้เจ้าเดินดูรอบๆ เป็นเพื่อนข้าหน่อย คอยมาวางแผนว่าจะทำยังไงต่อไป	เจ้ามีความเป็น Poseidon มากขึ้นทุกที	ยะ อย่าพูดมาก ข้าไม่ได้ทำเพื่อพวกเจ้า ข้าทำเพื่อปกป้องโลกใบนี้ ทำเพื่อโลกที่พ่อของข้าสร้างขึ้นมา...แต่คำชมนี้ข้าจะรับมันไว้																																				
516	โทสะของ Siren		เอาชนะ<text style="79" path="307">[52500307]</text> 30 ตัว ไปพบ<text style="79" path="286">[52500286]</text>เพื่อสนทนา	<text style="79">[52500307]</text>พวกนั้นไม่รู้จักที่สูงที่ต่ำ กล้ามาก่อกวนข้า!	พวกเขาก่อกวนเจ้ายังไง?	ขอเพียงพวกเขาเข้าใกล้ข้าแม้แต่นิดเดียว ข้าไม่ปล่อยไว้แน่! บอกไว้ก่อน  ข้าไม่ได้กลัวสัตว์ประหลาดหรือวิญญาณหรอกนะ เจ้าไปสั่งสอนพวกมันที!	ต้องการให้ข้าไปจัดการผีสินะ!	<text style="79">[52500307]</text>ที่น่ารังเกียจกว่า Sea Cockroach ถูกจัดการหรือยัง?	รอข้าอีกเดี๋ยวนะ	หากปล่อยให้โลกนี้ล่มสลายต่อไป ดวงวิญญาณในท้องทะเลก็คงจะเพิ่มมากขึ้นเรื่อยๆ	โปรดทุ่มเทเพื่อช่วยเหลือโลกใบนี้ด้วย!	ถ้าหากปล่อยไว้แบบนี้ Sea Cockroach ก็จะเพิ่มมากขึ้นเรื่อยๆ 	......Sea Cockroach ก็มีสิทธิ์ที่จะมีชีวิตอยู่นะ	ข้าล้อเล่นน่า! เจ้าจริงจังขนาดนั้นเชียว!																																							
517	แขกที่มาโดยบังเอิญ		ไปพบ<text style="79" path="287">[52500287]</text>เพื่อสนทนา	เจ้าหญิง Atlantis คนนั้นคอยตามเจ้ามาตลอดทาง แล่นเรือข้ามสามเหลี่ยม Bermuda มาเช่นกัน เจ้าช่วยเกลี้ยกล่อมเธอที ว่าอย่าให้เธอทำเรื่องไม่ดี	ข้าจะไปพบ<text style="79" path="287">[52500287]</text>	......	......	ข้ากำลังสะกดรอย<text style="79">[52500087]</text> ถึงได้มาถึงสถานที่แปลกๆ นี่	ทำไมเรือของเจ้าดูผุผุพังพัง?	ตาเจ้ามีปัญหาหรือไง? นี่ไม่ใช่เรือของข้า เรือของ Skeleton Captain นั่นต่างหาก! ข้าถูกขังอยู่ที่นี่!																																											
518	โชคร้ายของ Viking Princess		ไปพบ<text style="79" path="288">[52500288]</text>สนทนากับกัปตัน	$V1 ที่นี่มันที่บ้าอะไร! Skeleton Captain น่ากลัวนั่นเป็นใครกันแน่?	นี่ไม่ใช่โลกที่เจ้าควรมา	ทำไมเจ้าไม่บอก Skeleton Captain พวกนั้น ว่าเขาไปให้ข้าไปจากนี่	ข้าจะไปเจรจาต่อรองกับ Skeleton Captain	......	......	ทาสอย่างเจ้ามาจากไหน! กล้ามาเล่นหูเล่นตากับเจ้าสาวของข้า!	ข้าไม่ใช่ทาส เธอก็ไม่ใช่เจ้าสาวของเจ้า	ข้าคือกัปตัน<text style="79">[52500288]</text>ชื่อดัง ข้าพูดอะไรก็ต้องเป็นตามนั้น!																																									
519	ความรักที่เลือนลอย 1		เอาชนะ<text style="79" path="308">[52500308]</text>, รวบรวม<text style="109">[51300220]</text>30 อัน ไปมอบให้กับ<text style="79" path="288">[52500288]</text>กัปตัน.	ข้าใช้ชีวิตในทะเลมาตลอดชีวิต การได้แต่งงานกับ<text style="79">[52500681]</text>เป็นความปรารถนาหนึ่งเดียวของข้า	เธอชื่อว่า<text style="79">[52500073]</text>ชัดๆ	เจ้าคิดจะปรับตัวข้า ควรที่จะไปหา<text style="79">[52500308]</text>เอา<text>[51300220]</text>จากตัวมันมาให้ข้ามากกว่านะ!	ตีมอนรวบรวม<text>[51300220]</text>สินะ!	ผลของการทำผิดกับข้า คือต้อง<text>[51300220]</text>	จะต้องเอาชนะ<text style="79">[52500308]</text>ให้ได้ใช่ไหม!	วะฮะฮ่า <text>[51300220]</text>เยอะขนาดนี้ ถือเป็นของขวัญแต่งงานก็แล้วกัน!	เจ้าหน้าหนาไปไหม	เจ้ากำลังอิจฉาชีวิตคู่ที่มีความสุขของข้าใช่ไหม?																																									
520	ความรักที่เลือนลอย 2		เก็บรวบรวม<text style="109">[71600047]</text>ในส่วนของ<text style="79" marker="3300247">[70500076]</text> ได้รับ<text style="109" marker="3300247">[51300221]</text> 5 ดอก ไปมอบให้กับ<text style="79" path="287">[52500287]</text>	ข้าถูกคำสาปบาปกำเนิดกลายเป็น Skeleton <text style="79">[52500681]</text>กลับยังคงรักข้า พวกเรานัดหมายเจอกันที่นี่ เพื่อทำปรารถนาให้เป็นจริง	เจ้าแน่ใจว่าเธอคือ<text style="79">[52500681]</text>?	เจ้าช่วยข้าเก็บ<text>[51300221]</text>มาสักหลายดอก ข้าอยากทำให้เธอดีใจ!	เก็บรวบรวม Coral สินะ!	เจ้าพูดกับพวก Skeleton Captain ว่ายังไง?	ขอข้าเก็บดอกไม้ให้หมดก่อนค่อยว่ากันนะ	ทิ้งดอกไม้สิ! นี่ข้ากำลังช่วยเจ้านะ!	เขจ้าน่าจะลองชอบเขาดู	ข้าไม่รักคนที่ลักพาตัวข้าหรอก! เจ้าตั้งใจล้อว่าข้าชอบ<text style="79">[52500087]</text>งั้นเหรอ!																																									
521	ความรักที่เลือนลอย 3		เอาชนะ<text style="79" path="309">[52500309]</text> 30 ตัว ไปพบ<text style="79" path="287">[52500287]</text>เพื่อสนทนา	ยังไงข้าก็ยอมตาย ดีกว่าต้องแต่งงานกับกัปตัน<text style="79">[52500288]</text>!	ข้าคิดว่าเขาจริงใจมาก	ไม่งั้นเจ้าก็ไปเป็นเจ้าสาวคนอื่นเถอะ ข้าเห็นว่าแถวนี้มี<text style="79">[52500192]</text>เหมาะกับเขามาก เจ้าไปถามดูหน่อยเป็นไง?	ข้าคงถูก<text style="79">[52500192]</text>จัดการละไม่ว่า!	ช่วยข้าหากเจ้าสาวได้หรือยัง?	เจ้าจะบอกว่า<text style="79">[52500192]</text>ใช่ไหม?	ไม่มี<text style="79">[52500192]</text>สักคนยอมเป็นเจ้าสาวของกัปตัน<text style="79">[52500288]</text>จริงๆ ด้วย? เขาไม่มีบุญด้านนี้เลย!	มันเป็นความคิดแย่ๆ แต่แรกแล้วล่ะ	ในเมื่อไม่ใครต้อนรับพวกเขา ข้าคงแต่งงานกับเขาไม่ได้																																									
522	ความรักที่เลือนลอย 4		เอาชนะ<text style="79" path="308">[52500308]</text>และ<text style="79" path="309">[52500309]</text> ได้รับ<text style="109">[51300222]</text> 20 ชิ้นและ<text style="109">[51300223]</text> 20 ชิ้น ไปมอบให้กับ<text style="79" path="288">[52500288]</text>	......ข้าจะแต่งงานแล้วแท้ๆ เพราะอะไรถึงยังรู้สึกโหวงๆ แบบนี้นะ?	อาจเพราะเจ้าจับเจ้าสาวผิดคน	ไม่ถูก น่าจะเพราะก่อนวันงานเตรียมการไม่ดีพอ ข้าต้องใช้<text>[51300222]</text>และ<text>[51300223]</text> เจ้าช่วยรวบรวมจากมอนสเตอร์แถวนี้ที!	งานแต่งประหยัดงบสุดๆ	จัดงานแต่งให้ข้าเร็วเข้า!	ข้าจะไป	......ทั้งๆ ที่เตรียมพร้อมแล้วเชียวนะ ข้ากลับยังรู้สึกโหวงๆ?	บอกแล้วไงว่าเจ้าจับเจ้าสาวผิดคน	ไม่ มันคงเป็นโรคกลัวฝนของข้าเอง!																																									
523	ความรักที่เลือนลอย 5		ตามหา<text style="109">[71600047]</text>ในส่วนของ<text style="79" marker="3300245">[70500077]</text> ได้รับ <text style="109" marker="3300245">[51300224]</text> ไปมอบให้กับ<text style="79" path="288">[52500288]</text>กัปตัน.	ทำไงดี!<text style="79">[52500288]</text>กัปตันเริ่มเตรียมงานแล้ว! ข้าไม่อยากเป็นเจ้าสาวของโครงกระดูกหรอกนะ!	ต้องตามหา<text style="79">[52500681]</text>ตัวจริง	ข้าได้ยินเขาว่า เขานัด<text style="79">[52500681]</text>ที่เสาหินที่มีรอยสลักแห่งหนึ่ง เจ้ารีบไปตามหาเถอะ	ตามหาเสาหินที่ถูกต้องก่อนเถอะ!	ข้ากับ<text style="79">[52500681]</text>ได้ให้คำมั่นต่อกันแล้ว	ข้าจะไปตามหาเสาหินนั่นเดี๋ยวนี้	นี่คือ.....สร้อยของ<text style="79">[52500681]</text>? ในนั้นมีภาพของฉันกับเธอ......ดูสิ<text style="79">[52500681]</text>สวยมากใช่ไหม!	ไม่ค่อยเหมือนกับ<text style="79">[52500073]</text>นะ!	เฮ้อ ข้าคงอยู่ในทะเลนานเกินไป แทบจะลืมหน้าของ<text style="79">[52500681]</text>ไปแล้ว	จะมาจับใครต่อใครเป็นเจ้าสาวง่ายๆ แบบนี้สิ	ทว่า ถ้าจับผู้หญิงทุกคนที่พบ ซักวันคงได้เจอกับ<text style="79">[52500681]</text>																																							
524	ความรักที่เลือนลอย 6		ไปพบ<text style="79" path="287">[52500287]</text>เพื่อสนทนา	ข้าจะรอ<text style="79">[52500681]</text>อยู่ที่นี่ต่อไป เจ้าพาเจ้าที่ชื่อว่า<text style="79">[52500073]</text>ไปเถอะ! เธอไม่อาจได้รับความรักของข้าหรอก	ข้าเชื่อว่าเธอคงไม่ถือสา	......	......	......เพราะอะไรทุกครั้งที่ข้าขายหน้า ต้องมีเจ้าอยู่ด้วย?	บังเอิญซะจริง	อย่าเพิ่งดีใจไป ครั้งหน้าข้าจะดูเจ้าขายหน้าบ้าง!																																											
525	ความทุกข์ยาก 1		เอาชนะ<text style="79" path="310">[52500310]</text> 30 ตัว ไปพบ<text style="79" path="292">[52500292]</text>เพื่อสนทนา	เอ? เจ้าคือ$V1ไม่ใช่เหรอ? จำข้าได้ไหม? ก่อนหน้าที่เราลงเรือลำเดียวกัน! สุดท้ายเรืออับปางจนมาติดเกาะร้างด้วยกันไง!	ข้าคิดว่าเจ้าตายซะแล้ว	ทำไมเจ้าต้องด่าข้าด้วย! เวลานั้นข้าก้แค่งีบหลับไป ต่อมาจู่ๆ ก็มีรอยแยกปรากฏขึ้น ข้าตกลงมายังโลกใบนี้ และถูกพวก Skeleton ไล่ฆ่า!	ข้าช่วยเจ้าเอาชนะทหารของ Skeleton!	เจ้าช่วยข้าขวาง Skeleton ทีได้ไหม?	มอบให้เป็นหน้าที่ข้าเถอะ!	$V1 เจ้าเก่งดีนี่! ไม่ได้เป็นนักผจญภัยมือใหม่อย่างเมื่อก่อนแล้ว	นี่คือผลของการลองพยายามสินะ	เจ้าพูดมีหลักการ ข้าจะตั้งใจเรียนรู้จากเจ้า																																									
526	ความทุกข์ยาก 2			เฮ้อ ข้าเข้าใจว่า<text>[52300001]</text>เป็นที่ที่ข้ารู้จัก ดูท่ามันคงไม่ใช่	เจ้ามีแผนอะไร?	ข้าอยากได้เรือออกทะเล ตามหาดินแดนแห่งใหม่ เพื่อนรัก เจ้ายินยอมที่จะไปพร้อมกับข้าไหม?	ไม่มีปัญหา ขอให้เจ้าเดินทางโดยสวัสดิภาพ	ตอนนี้ข้าไม่ว่าง																																													
527	หลุมพราง Skeleton		เอาชนะ<text style="79" path="310">[52500310]</text> 3 ตัว ไปพบ<text style="79" path="319">[52500319]</text>เพื่อสนทนา	ฮะฮ่า ทาสที่พาตัวเองมาติดกับ มาสิ! จับเขาไว้ ข้าจะให้เขาเป็นทาสบนเรือ!	อย่าหวังว่าข้าจะยอมไปมือเปล่านะ!	ใครก็ได้! จับเจ้าบ้านี่เอาไว้ที!	ใครจับข้า ข้าจัดการคนนั้น!	เจ้าคิดว่าตัวเองเก่งนักเหรอ? เจ้าถูกเพื่อหักหลังยังไม่รู้ตัว เขาหลอกเจ้าให้มาเป็นทาสแทนเขา!	การมีเพื่อนแบบนี้เป็นโชคร้ายของข้าจริงๆ	เหอะเหอะ......เจ้าหนีเข้าสิ! เพราะเจ้าหนีไปได้ไม่นาน โลกทั้งใบก็จะถูกพวกเรา Skeleton ยึดครองแล้ว! ฮะฮะฮ่า......																																											
528	ความทุกข์ยาก 3		ไปพบ<text style="79" path="293">[52500293]</text>เพื่อสนทนา(หมายเหตุ: เมื่อทำภารกิจสำเร็จจะมีมอนสเตอร์ปรากฏขึ้น!)	ถูกต้อง ข้าขายเจ้าเอง ไม่ได้เหรอไง?	ใจเจ้าต้องคำสาปของบาปกำเนิด	เจ้าอย่าทำให้ข้ากลัวสิ......ฮือ......เกิดอะไรขึ้น ร่างของข้าเป็นอะไรไป? ไม่! ข้าไม่อยากกลายเป็น Skeleton!	นี่คือจุดจบของคนชั่ว	......	......	ข้า......ข้าเปลี่ยนเป็น Skeleton ซะแล้ว!$V1 เจ้าช่วยข้าทีได้ไหม?	ข้าก็ไม่รู้จะทำยังไง	พระเจ้า! ข้าไม่อยากอยู่แบบนี้ไปตลอดชีวิต!	มันเป็นบาปที่เจ้าทำไว้เอง	ข้าไม่ยอม ข้าจะให้เจ้าเป็นทาสของข้า! จับเขามาให้ได้!																																							
529	Navy หนีตาย		ไปพบ<text style="79" path="294">[52500294]</text>เพื่อสนทนา	น่าโมโห! เพราะอะไรข้าต้องถูกคำสาป แต่เจ้ากลับไม่ ไม่ยุติธรรมเลย!	ช่วยไม่ได้ ชีวิตช่างไม่ยุติธรรม	.........ข้าแค้นใจนัก รูปร่าง Skeleton จะมีสาวๆ หรือกินให้อิ่มก็ไม่ได้.........	เจ้าควรสำนึกในความผิดที่ตัวเองทำไว้	ข้าไม่ผิด! ข้าอยากให้โลกสงบสุขเท่านั้น!......ช่างเถอะ ในเมื่อข้ากลายเป็น Skeleton ก็เข้าร่วม Skeleton Corps เลยแล้วกัน <text style="79">[52500294]</text> ข้าใกล้จะได้เข้าร่วมสงครามแล้ว	ข้าจะไปเยี่ยม Navy หนีตายคนนี้หน่อย!	......	......	เจ้ายืนอยู่ข้างข้า หรือยืนอยู่ข้าง Skeleton Corps กันแน่?	ดูตามสถานการณ์ละกัน	ช่างเถอะ ถ้าข้าต้องเรียนกับเขา ข้าขอตายดีกว่า																																							
530	นักฆ่า Onelisk 1		เอาชนะ<text style="79" path="311">[52500311]</text> ได้รับ<text style="109">[51300225]</text>  30 ชิ้น ไปมอบให้กับ<text style="79" path="294">[52500294]</text>	Nora Jana เรียดพวกมันโจมตี<text>[52300001]</text> สุดท้ายนี่กลับเป็นสงครามครั้งสุดท้ายของเหล่าราชนาวี	เจ้าสังหาร Onelisk เหรอ?	เฮ้อ น่าเสียดายที่นักฆ่า Onelisk อย่างข้า เวลานี้กลับตกต่ำถึงขั้นถูก<text style="79">[52500311]</text>รังแก ทั้งยังชิง<text>[51300225]</text>ข้าไปอีก	ข้าจะช่วยเจ้าชิงกลับมา!	ปืนเป็นชีวิตที่สองของข้า	ข้าจะช่วยเจ้าชิงกลับมา	ทำได้ดี นี่เป็นรางวัลของเจ้า เจ้าควรภูมิใจกับรางวัลนี้	ข้าเป็นคนถ่อมตัวนะ	มีอาวุธนี้ ข้าก็สู้ได้เต็มกำลังแล้ว																																									
531	นักฆ่า Onelisk 2		ตามหา<text style="109">[71600048]</text>ในส่วนของ<text style="79" marker="3300243">[70500078]</text> ได้รับ<text style="109" marker="3300243">[51300226]</text> 5 อัน ไปมอบให้กับ<text style="79" path="294">[52500294]</text>	เจ้าเห็น Harpoon Turret ไหม? ครั้งที่แล้วมันถูก Onelisk ชนเสียหาย ข้าอยากจะซ่อมมัน	มีอะไหล่สำรองไหม?	เสบียงของของใช้ทหารอยู่ที่ชายฝั่ง เจ้าช่วยข้านำอะไหล่กลับมาทีได้ไหม!	ข้าจะไปหาอะไหล่!	หีบอาวะอยู่ที่ชายฝั่งแล้ว หาจะหาได้ไม่ยาก	ต้องการอะไหล่ในหีบใช่ไหม!	แม้ว่าทหารของข้าจะพ่ายแพ้ <text>[52300001]</text>ตายไปจนหมด แต่ในเมื่อข้ายังอยู่ ข้าก็จะยังคงเฝ้าอยู่ที่ Harpoon Turret	เจ้าคือต้นแบบของ Navy	แม่ทัพพ่ายสงคราม จะกล้าพูดเรื่องความกล้าได้อย่างไร!																																									
532	นักฆ่า Onelisk 3		เอาชนะ<text style="79" path="310">[52500310]</text>15 ตัว<text style="79" path="311">[52500311]</text>15 ตัวและ<text style="79" path="315">[52500315]</text> 15 ตัว ไปพบ<text style="79" path="294">[52500294]</text>เพื่อรายงาน	ดูท่าข้าคงยังตายไม่ได้ ดวงวิญญาณ Navy เริ่มเผาอีกแล้ว สงครามเริ่มขึ้นอีกแล้ว!	เจ้าคิดจะสู้ลำพังเหรอ?	ไม่ใช่แน่นอน! ข้าจะช่วยเจ้าอย่างเต็มที่ ไปจัดการพวกศัตรูรอบๆ สักรอบเถอะ!	ที่แท้ข้านี่แหละที่ต้องสู้?	เจ้าทำการสังหารแล้วเหรอ?	คอยดูฝีมือของข้านะ!	ครั้งนี้เจ้าสามารถต่อสู้กับการต่อสู้ของตัวเจ้าเองแล้ว	......ข้าไม่ได้มีพลังเปลวไฟของ Navy นะ!	ซักวันเจ้าจะต้องรับรู้ความรู้สึกนี้เหมือนกัน																																									
533	ต้นตอความชั่วร้าย		ไปพบ<text style="79" path="190">[52500190]</text>เพื่อทำการสนทนา และตอบคำถามของเธอให้ถูกต้อง	เดินชม<text>[52300009]</text>รอบหนึ่ง ในที่สุดข้าก้คิดออก อยากปกป้องโลกของท่านพ่อ คงเหลือเพียงวิธีเดียว เจ้ารู้ไหมว่าคืออะไร?	อธิษฐานกับ Poseidon	จัดการพวก Skeleton	เอาชนะ Nora Jana.	วิธีการของเจ้า ถูกจับได้แล้ว!	ข้าจะกลับไปทบทวนตัวเอง	......	......	ถูกต้อง! ท่านพ่อสิ้นแล้ว เหลือข้าคอยขัดขวาง Nora Jana คนเดียวแล้ว...$V1...เจ้าจะช่วยข้าใช่ไหม?	ฟังคำสั่งจาก<text style="79">[52500190]</text>	คอยดูเถอะ! Nora Jana สังหารบิดาของข้า เขาเป็นศัตรูของข้า ข้าไม่มีทางปล่อยเขาไปแน่																																							
534	ทะเลชั่วร้ายที่วุ่นวาย		ผนึก<text style="79">[71600048]</text>ในส่วนของ<text style="79" marker="3300294">[52509090]</text>, <text style="79" marker="3300295">[52509091]</text>, <text style="79" marker="3300296">[52509092]</text>, รายงาน<text style="79" path="295">[52500295]</text>	จริงๆ เลน การศึกษาวิจัยเรื่องโลกาวินาศข้าก็ยุ่งพออยู่แล้ว ตอนนี้ยังมี<text style="79">[52500087]</text>เข้ามาวุ่นวายอีก ข้าไม่ไหวแล้วนะ!	<text style="79">[52500087]</text>เป็นอะไรอีก?	<text style="79">[52500087]</text>เพื่อบุกมายังโลกใบนี้ <text>[51300408]</text>บุกมา ทั้งยังทำให้มอนสเตอร์กลุ่มใหญ่ถูกดึงดูดมาที่นี่ด้วย	ข้าไปหา<text style="79">[52500087]</text>เดี๋ยวนี้	เขาหนีไปนานแล้ว! เจ้านำอาวุธของข้าไป ผนึก Bermuda Crack ที!	เข้าใจแล้ว	หากยังไม่ผนึกBermuda Crack อาจมีอะไรบ้าๆ ออกมาจากที่นั่นอีก	ข้าจะไปปิดช่องโหว่เดี๋ยวนี้แหละ	<text>[52300009]</text>กำลังฟื้นฟูกำลัง แต่เจ้าอย่าลืม นักโทษ<text style="79">[52500087]</text>ยังลอยนวลอยู่นะ!	ข้าจะจับเขาให้ได้ซักวัน	หากไม่สามารถจับตัว<text style="79">[52500087]</text>ได้ ข้าจะลงโทษเจ้า!																																							
535	ความวุ่นวายใน Bermuda  1		เอาชนะ 30 ตัว<text style="79" path="312">[52500312]</text>, ผนึก<text style="79" marker="3300294">[52509090]</text>	......(Bermuda Crack มีเสียงแมวร้องอย่างน่าสงสาร ร่างของ<text style="79">[52500312]</text>กำลังพุ่งตัวจากอีกโลกหนึ่ง)	เอาชนะ<text style="79">[52500312]</text> แล้วทำการผนึกวงเวทย์	......(รอยแยกของเบอร์มิวด้ายังไม่ได้รับการผนึก)	จัดการมอนสเตอร์โดยรอบก่อนทำการผนึกเถอะ	......(มอนสเตอร์ค่อยๆ คลานออกจาก Bermuda Crack)	ดูท่าคงสำเร็จแล้ว	......(Bermuda Crackถูกปิดลงแล้ว)																																											
536	ความวุ่นวายใน Bermuda  2		เอาชนะ 30 ตัว<text style="79" path="313">[52500313]</text>, ผนึก<text style="79" marker="3300295">[52509091]</text>	......(Bermuda Crack มีเสียงคำรามน่ากลัว ร่างของ<text style="79">[52500313]</text>กำลังพุ่งตัวจากอีกโลกหนึ่ง)	เอาชนะ<text style="79">[52500313]</text> แล้วทำการผนึกวงเวทย์	......(รอยแยกของเบอร์มิวด้ายังไม่ได้รับการผนึก)	จัดการมอนสเตอร์โดยรอบก่อนทำการผนึกเถอะ	......(มอนสเตอร์ค่อยๆ คลานออกจาก Bermuda Crack)	ดูท่าคงสำเร็จแล้ว	......(Bermuda Crackถูกปิดลงแล้ว)																																											
