n_ID	n_SCORECOUNT_MODE	s_ICON_KEYEVENT	n_TIP_KEYEVENT	n_MAX_KEYEVENT	n_STANDARD_LASTINGTIME	n_COLLECT_BONUS_SCORE	s_SCORES_DECREASE	n_RANKC_REWARD	n_RANKB_REWARD	n_RANKA_REWARD	n_RANKS_REWARD	n_RANKSS_REWARD	n_RANKSSS_REWARD
144	2		4294967295	4294967295	600	4294967295		2801092	2801093	2801094	2801095	2801096	2801097
145	2		4294967295	4294967295	600	4294967295		2801092	2801093	2801094	2801095	2801096	2801097
146	2		4294967295	4294967295	600	4294967295		2801092	2801093	2801094	2801095	2801096	2801097
147	2		4294967295	4294967295	600	4294967295		2801092	2801093	2801094	2801095	2801096	2801097
148	2		4294967295	4294967295	600	4294967295		2801092	2801093	2801094	2801095	2801096	2801097
149	2		4294967295	4294967295	600	4294967295		2801092	2801093	2801094	2801095	2801096	2801097
150	2		4294967295	4294967295	600	4294967295		2801092	2801093	2801094	2801095	2801096	2801097
151	2		4294967295	4294967295	600	4294967295		2801092	2801093	2801094	2801095	2801096	2801097
152	2		4294967295	4294967295	600	4294967295		2801092	2801093	2801094	2801095	2801096	2801097
153	2		4294967295	4294967295	600	4294967295		2801092	2801093	2801094	2801095	2801096	2801097
154	2		4294967295	4294967295	600	4294967295		2801092	2801093	2801094	2801095	2801096	2801097
155	2		4294967295	4294967295	600	4294967295		2801092	2801093	2801094	2801095	2801096	2801097
156	2		4294967295	4294967295	600	4294967295		2801092	2801093	2801094	2801095	2801096	2801097
1001	55	ICON_GEM_000_000	308	20	3017	4294967295	1;20\n4;20	2801001	2801002	2801003	2801004	2801005	2801006
1002	55	ICON_GEM_000_000	308	20	1786	5	1;20\n4;20	2801043	2801044	2801045	2801046	2801047	2801048
1003	39	ICON_GEM_000_000	308	20	2550	4294967295	1;20\n4;20	2801049	2801050	2801051	2801052	2801053	2801054
1004	34		4294967295	4294967295	3300	4294967295		2801007	2801008	2801009	2801010	2801011	2801012
1005	18		4294967295	4294967295	2880	4294967295		2801007	2801008	2801009	2801010	2801011	2801012
1007	55	ICON_GEM_000_000	308	15	2754	4294967295	1;20\n4;20	2801013	2801014	2801015	2801016	2801017	2801018
1008	55	ICON_GEM_000_000	308	15	1963	5	1;20\n4;20	2801156	2801157	2801158	2801159	2801160	2801161
1009	39	ICON_GEM_000_000	308	15	1080	4294967295	1;20\n4;20	2801049	2801050	2801051	2801052	2801053	2801054
1010	54		4294967295	4294967295	2818	4294967295	4;40	2801019	2801020	2801021	2801022	2801023	2801024
1011	54		4294967295	4294967295	2094	5	4;40	2801162	2801163	2801164	2801165	2801166	2801167
1012	38		4294967295	4294967295	2270	4294967295	4;40	2801049	2801050	2801051	2801052	2801053	2801054
1013	51	ICON_PM055_001_000	261	15	3039	4294967295	1;40	2801025	2801026	2801027	2801028	2801029	2801030
1014	51	ICON_PM055_001_000	261	15	2775	5	1;40	2801168	2801169	2801170	2801171	2801172	2801173
1015	51	ICON_PM055_001_000	261	15	2670	4294967295	1;40	2801049	2801050	2801051	2801052	2801053	2801054
1016	54		4294967295	4294967295	2342	4294967295	4;40	2801031	2801032	2801033	2801034	2801035	2801036
1017	54		4294967295	4294967295	1565	5	4;40	2801174	2801175	2801176	2801177	2801178	2801179
1018	38		4294967295	4294967295	1500	4294967295	4;40	2801049	2801050	2801051	2801052	2801053	2801054
1019	55	ICON_GEM_000_000	308	10	2137	4294967295	1;20\n4;20	2801037	2801038	2801039	2801040	2801041	2801042
1020	55	ICON_GEM_000_000	308	10	1621	5	1;20\n4;20	2801180	2801181	2801182	2801183	2801184	2801185
1021	39	ICON_GEM_000_000	308	10	1800	4294967295	1;20\n4;20	2801049	2801050	2801051	2801052	2801053	2801054
1022	38		4294967295	4294967295	600	4294967295	4;40	2801104	2801105	2801106	2801107	2801108	2801109
1023	55	ICON_GEM_000_000	308	15	2544	4294967295	1;20\n4;20	2801144	2801145	2801146	2801147	2801148	2801149
1024	55	ICON_GEM_000_000	308	15	2047	5	1;20\n4;20	2801150	2801151	2801152	2801153	2801154	2801155
1025	23	ICON_GEM_000_000	308	15	1200	4294967295	1;20\n4;20	2801049	2801050	2801051	2801052	2801053	2801054
1026	18		4294967295	4294967295	2880	4294967295		2801168	2801169	2801170	2801171	2801172	2801173
9998	6		4294967295	4294967295	2970	4294967295	4;40	2801019	2801020	2801021	2801022	2801023	2801024
9999	43		4294967295	10	1790	100	1;20\n4;20	2801019	2801020	2801021	2801022	2801023	2801024
