n_ID	n_CLINE_TYPE	n_CREATURE_TYPE	n_TACTIC_AI	n_LEADER_BK1	n_LEADER_BK2	n_LEADER_BK3	n_CREW1	n_CREW1_NUMBER	n_CREW2	n_CREW2_NUMBER	n_CREW3	n_CREW3_NUMBER	n_CREW4	n_CREW4_NUMBER	n_CREW5	n_CREW5_NUMBER	n_CREW6	n_CREW6_NUMBER
35	9998	35	1	540	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36	9998	36	1	541	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37	9998	37	1	542	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38	9998	38	1	543	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39	9998	39	1	881	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	9998	40	1	545	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41	9998	41	1	546	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	9998	42	1	547	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43	9998	43	1	548	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44	9998	44	1	549	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45	9998	45	1	550	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	9998	46	1	674	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47	9998	47	1	698	0	0	0	0	0	0	0	0	0	0	0	0	0	0
48	9998	48	1	699	0	0	0	0	0	0	0	0	0	0	0	0	0	0
49	9998	49	1	701	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50	9998	50	1	702	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51	9998	51	1	703	0	0	0	0	0	0	0	0	0	0	0	0	0	0
52	9998	52	1	704	0	0	0	0	0	0	0	0	0	0	0	0	0	0
53	9998	53	1	707	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54	9998	54	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55	9998	55	1	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56	9998	56	1	723	0	0	0	0	0	0	0	0	0	0	0	0	0	0
57	9998	57	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
58	9998	58	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59	9998	59	1	749	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60	9998	60	1	754	0	0	0	0	0	0	0	0	0	0	0	0	0	0
61	9998	61	1	9016	0	0	0	0	0	0	0	0	0	0	0	0	0	0
62	9998	62	1	9017	0	0	0	0	0	0	0	0	0	0	0	0	0	0
63	9998	63	1	9018	0	0	0	0	0	0	0	0	0	0	0	0	0	0
64	9998	64	1	9019	0	0	0	0	0	0	0	0	0	0	0	0	0	0
65	9998	65	1	9020	0	0	0	0	0	0	0	0	0	0	0	0	0	0
66	9998	66	1	9042	0	0	0	0	0	0	0	0	0	0	0	0	0	0
67	9998	67	1	9046	0	0	0	0	0	0	0	0	0	0	0	0	0	0
68	9998	68	1	9047	0	0	0	0	0	0	0	0	0	0	0	0	0	0
69	9998	69	1	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
70	9998	70	1	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
71	9998	71	1	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
72	9998	72	1	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
73	9998	73	1	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
74	9998	74	1	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
75	9998	75	1	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
76	9998	76	1	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
77	9998	77	1	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
78	9998	78	1	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
79	9998	79	1	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
80	9998	80	1	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
81	9998	81	1	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
82	9998	82	1	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
83	9998	83	1	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
84	9998	84	1	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
85	9998	85	1	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
86	9998	86	1	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
87	9998	87	1	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
88	9998	88	1	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
89	9998	89	1	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
90	9998	90	1	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
91	9998	91	1	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
92	9998	92	1	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
93	9998	93	1	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
94	9998	94	1	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
95	9998	95	1	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
96	9998	96	1	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
97	9998	97	1	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
98	9998	98	1	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
99	9998	99	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
100	9998	100	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
101	9998	101	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
102	9998	102	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
103	9998	103	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
104	9998	104	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
105	9998	105	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
106	9998	106	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
107	9998	107	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
108	9998	108	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
109	9998	109	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
110	9998	110	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
111	9998	111	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
112	9998	112	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
113	9998	113	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
114	9998	114	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
115	9998	115	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
116	9998	116	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
117	9998	117	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
118	9998	118	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
119	9998	119	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
120	9998	120	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
121	9998	121	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
122	9998	122	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
123	9998	123	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
124	9998	124	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
125	9998	125	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
126	9998	126	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
127	9998	127	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
128	9998	128	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
129	9998	129	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
130	9998	130	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
131	9998	131	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
132	9998	132	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
133	9998	133	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
134	9998	134	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
135	9998	135	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
136	9998	136	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
137	9998	137	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
138	9998	138	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
139	9998	139	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
140	9998	140	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
141	9998	141	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
142	9998	142	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
143	9998	143	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
144	9998	144	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
145	9998	145	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
146	9998	146	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
147	9998	147	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
148	9998	148	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
149	9998	149	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
150	9998	150	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
151	9998	151	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
152	9998	152	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
153	9998	153	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
154	9998	154	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
155	9998	155	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
156	9998	156	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
157	9998	157	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
158	9998	158	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
159	9998	159	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
160	9998	160	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
161	9998	161	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
162	9998	162	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
163	9998	163	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
164	9998	164	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
165	9998	165	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
166	9998	166	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
167	9998	167	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
168	9998	168	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
169	9998	169	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
170	9998	170	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
171	9998	171	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
172	9998	172	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
173	9998	173	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
174	9998	174	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
175	9998	175	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
176	9998	176	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
177	9998	177	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
178	9998	178	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
179	9998	179	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
180	9998	180	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
181	9998	181	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
182	9998	182	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
183	9998	183	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
184	9998	184	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
185	9998	185	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
186	9998	186	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
187	9998	187	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
188	9998	188	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
189	9998	189	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
190	9998	190	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
191	9998	191	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
192	9998	192	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
193	9998	193	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
194	9998	194	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
195	9998	195	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
196	9998	196	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
197	9998	197	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
198	9998	198	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
199	9998	199	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
200	9998	200	99	999	999	999	0	0	0	0	0	0	0	0	0	0	0	0
1000	1	1	1	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1001	1	2	1	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1002	1	3	1	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1003	1	4	1	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1004	1	5	1	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1005	1	6	1	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1006	1	7	1	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1007	1	8	1	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1008	1	9	1	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1009	1	10	1	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1010	1	11	1	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1011	1	12	1	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1012	1	13	1	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1013	1	14	1	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1014	1	15	1	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1015	1	16	1	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1016	1	17	1	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1017	1	18	1	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1018	1	19	1	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1019	1	20	1	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1020	1	21	1	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1021	1	22	1	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1022	1	23	1	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1023	1	24	1	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1024	1	25	1	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1025	1	26	1	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1026	1	27	1	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1027	1	28	1	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1028	1	29	1	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1029	1	30	1	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1030	1	31	1	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1031	1	32	1	356	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1032	1	33	1	357	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1033	1	34	1	358	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1034	1	35	1	359	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1035	1	36	1	622	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1036	1	37	1	623	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1037	1	38	1	624	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1038	1	39	1	625	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1039	1	40	1	626	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1040	1	41	1	627	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1041	1	42	1	631	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1042	1	43	1	631	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1043	1	44	1	631	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1044	1	45	1	632	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1045	1	46	1	632	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1046	1	47	1	633	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1047	1	48	1	633	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1048	1	49	1	635	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1049	1	50	1	636	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1050	1	51	1	637	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1051	1	52	1	638	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1052	1	53	1	639	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1053	1	54	1	717	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1054	1	55	1	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1055	1	56	1	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1056	1	57	1	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1057	1	58	1	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1058	1	59	1	740	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1059	1	60	1	741	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1060	1	61	1	796	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1061	1	62	1	797	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1062	1	63	1	798	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1063	1	64	1	799	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1064	1	65	1	800	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1065	1	66	1	801	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1066	1	67	1	802	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1067	1	68	1	803	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1068	1	69	1	804	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1069	1	70	1	805	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1070	1	71	1	767	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1071	1	72	1	815	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1072	1	73	1	816	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1073	1	74	1	817	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1074	1	75	1	818	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1075	1	76	1	819	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1076	1	77	1	820	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1077	1	78	1	821	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1078	1	79	1	822	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1079	1	80	1	827	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1080	1	81	1	828	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1081	1	82	1	833	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1082	1	83	1	834	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1083	1	101	1	10002	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1084	1	84	1	882	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1085	1	85	1	871	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1086	1	86	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1087	1	87	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1088	1	88	1	899	0	0	8601	1	8611	1	8617	1	8626	1	8629	1	8647	1
1089	1	89	1	902	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1090	1	90	1	903	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1091	1	91	1	904	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1092	1	92	1	905	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1093	1	93	1	909	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1094	1	94	1	910	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1095	1	95	1	911	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1096	1	96	1	913	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1097	1	97	1	916	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1098	1	98	1	917	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1099	1	99	1	918	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1100	1	100	1	920	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1101	1	102	1	634	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1102	1	103	1	917	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1103	1	104	1	897	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1104	1	105	1	928	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1105	1	106	1	929	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1106	1	107	1	930	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1107	1	108	1	933	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1108	1	109	1	855	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1109	1	110	1	9107	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110	1	111	1	934	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1111	1	112	1	937	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1112	1	113	1	942	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1200	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1201	2	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1202	2	3	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1203	2	4	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1204	2	5	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1205	2	6	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1206	2	7	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1207	2	8	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1208	2	9	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1209	2	10	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1210	2	11	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1211	2	12	1	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1212	2	13	1	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1213	2	14	1	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1214	2	15	1	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1215	2	16	1	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1216	2	17	1	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1217	2	18	1	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1218	2	19	1	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1219	2	20	1	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1220	2	21	1	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1221	2	22	1	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1222	2	23	1	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1223	2	24	1	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1224	2	25	1	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1225	2	26	1	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1226	2	27	1	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1227	2	28	1	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1228	2	29	1	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1229	2	30	1	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1230	2	31	1	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1231	2	32	1	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1232	2	33	1	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1233	2	34	1	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1234	2	35	1	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0
