n_ID	n_Type	n_Reward_Item	s_Main_Type	s_RoleModel	s_type	n_DROPID	n_CD_TYPE	s_HK_VER	s_TC_VER	s_JP_VER	s_TH_VER
204	2	2600404		BG_Map_004		2800044	124	1.00.0000	1.07.0000	1.07.0000	1.07.0000
205	2	2600405		BG_Map_005		2800045	125	1.00.0000	1.07.0000	1.07.0000	1.07.0000
206	2	2600406		BG_Map_006		2800046	126	1.00.0000	1.07.0000	1.07.0000	1.07.0000
207	2	2600407		BG_Map_007		2800047	127	1.00.0000	1.07.0000	1.07.0000	1.07.0000
208	2	2600408		BG_Map_008		2800048	128	1.00.0000	1.07.0000	1.07.0000	1.07.0000
209	2	2600409		BG_Map_009		2800049	129	1.00.0000	1.07.0000	1.07.0000	1.07.0000
210	2	2600410		BG_Map_010		2800050	130	1.00.0000	1.07.0000	1.07.0000	1.07.0000
211	2	2600411		BG_Map_011		2800051	131	1.00.0000	1.07.0000	1.07.0000	1.07.0000
212	2	2600412		BG_Map_012		2800052	132	1.00.0000	1.07.0000	1.07.0000	1.07.0000
213	2	2600413		BG_Map_013		2800053	133	1.00.0000	1.07.0000	1.07.0000	1.07.0000
214	2	2600414		BG_Map_014		2800054	134	1.00.0000	1.07.0000	1.07.0000	1.07.0000
401	4	2605601		BG_Collect_Treasure_008_000	1;4008	2800118	110	1.00.0000	1.07.0000	1.07.0000	1.07.0000
402	4	2605602		BG_Collect_Treasure_010_000	1;4020	2800119	110	1.00.0000	1.07.0000	1.07.0000	1.07.0000
403	4	2605603		BG_Collect_Treasure_031_000	1;4034	2800120	110	1.01.0000	1.07.0000	1.07.0000	1.07.0000
404	4	2605604		BG_Collect_Treasure_021_000	1;4052	2800121	110	1.01.0000	1.07.0000	1.07.0000	1.07.0000
405	4	2605605		BG_Collect_Treasure_020_000	1;4071	2800122	110	1.01.0000	1.07.0000	1.07.0000	1.07.0000
406	4	2605606		BG_Collect_Treasure_011_000	1;4086	2800123	110	1.01.0000	1.07.0000	1.07.0000	1.07.0000
407	4	2605607		BG_Collect_Treasure_035_000	1;4091	2800124	110	1.01.0000	1.07.0000	1.07.0000	1.07.0000
408	4	2605608		BG_Collect_Treasure_029_000	1;4096	2800125	110	1.01.0000	1.07.0000	1.07.0000	1.07.0000
409	4	2605609		BG_Collect_Treasure_039_000	1;4101	2800126	110	1.10.0000	1.07.0000	1.07.0000	1.07.0000
501	4	2601101		BG_Collect_Treasure_000_000		2800127	110	1.00.0000	1.07.0000	1.07.0000	1.07.0000
502	4	2601102		BG_Collect_Treasure_005_000		2800128	110	1.00.0000	1.07.0000	1.07.0000	1.07.0000
503	4	2601103		BG_Collect_Treasure_001_000		2800129	110	1.00.0000	1.07.0000	1.07.0000	1.07.0000
504	4	2601104		BG_Collect_Treasure_013_000		2800130	110	1.00.0000	1.07.0000	1.07.0000	1.07.0000
505	4	2601105		BG_Collect_Treasure_036_000		2800131	110	1.00.0000	1.07.0000	1.07.0000	1.07.0000
506	4	2601106		BG_Collect_Treasure_023_000		2800132	110	1.00.0000	1.07.0000	1.07.0000	1.07.0000
507	4	2601107		BG_Collect_Treasure_033_000		2800133	110	1.00.0000	1.07.0000	1.07.0000	1.07.0000
508	4	2601108		BG_Collect_Treasure_034_000		2800134	110	1.00.0000	1.07.0000	1.07.0000	1.07.0000
509	4	2601109		BG_Collect_Treasure_012_000		2800135	110	1.00.0000	1.07.0000	1.07.0000	1.07.0000
510	4	2601110		BG_Collect_Treasure_025_000		2800136	110	1.00.0000	1.07.0000	1.07.0000	1.07.0000
511	4	2601111		BG_Collect_Treasure_032_000		2800137	110	1.00.0000	1.07.0000	1.07.0000	1.07.0000
512	4	2601112		BG_Collect_Treasure_027_000		2800138	110	1.00.0000	1.07.0000	1.07.0000	1.07.0000
513	4	2601113		BG_Collect_Treasure_028_000		2800139	110	1.00.0000	1.07.0000	1.07.0000	1.07.0000
514	4	2601114		BG_Collect_Treasure_024_000		2800140	110	1.00.0000	1.07.0000	1.07.0000	1.07.0000
515	4	2601115		BG_Collect_Treasure_015_000		2800141	110	1.00.0000	1.07.0000	1.07.0000	1.07.0000
516	4	2601116		BG_Collect_Treasure_009_000		2800142	110	1.00.0000	1.07.0000	1.07.0000	1.07.0000
517	4	2601117		BG_Collect_Treasure_007_000		2800143	110	1.00.0000	1.07.0000	1.07.0000	1.07.0000
518	4	2601118		BG_Collect_Treasure_017_000		2800144	110	1.00.0000	1.07.0000	1.07.0000	1.07.0000
519	4	2601119		BG_Collect_Treasure_006_000		2800145	110	1.00.0000	1.07.0000	1.07.0000	1.07.0000
1001	8	2600601		BG_Collect_Instance_01		0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
1003	8	2600603		BG_Collect_Instance_03		0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
1004	8	2600604		BG_Collect_Instance_04		0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
1005	8	2600605		BG_Collect_Instance_05		0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
1006	8	2600606		BG_Collect_Instance_06		0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
1007	8	2600607		BG_Collect_Instance_07		0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
1008	8	2600608		BG_Collect_Instance_08		0	0	1.05.0000	1.07.0000	1.07.0000	1.07.0000
