n_ID	s_NAME	s_HK_VER	s_TC_VER	s_JP_VER	s_TH_VER
97	VF007_NPC_004	1.03.0000	1.03.0000	1.07.0000	1.07.0000
98	VF007_NPC_005	1.03.0000	1.03.0000	1.07.0000	1.07.0000
99	VF008_NPC_000	1.03.0000	1.03.0000	1.07.0000	1.07.0000
100	VF008_NPC_001	1.03.0000	1.03.0000	1.07.0000	1.07.0000
101	VF008_NPC_002	1.03.0000	1.03.0000	1.07.0000	1.07.0000
102	VF008_NPC_003	1.03.0000	1.03.0000	1.07.0000	1.07.0000
103	VF008_NPC_004	1.03.0000	1.03.0000	1.07.0000	1.07.0000
104	VF009_NPC_000	1.03.0000	1.03.0000	1.07.0000	1.07.0000
105	VF009_NPC_001	1.03.0000	1.03.0000	1.07.0000	1.07.0000
106	VF009_NPC_002	1.03.0000	1.03.0000	1.07.0000	1.07.0000
107	VF009_NPC_003	1.03.0000	1.03.0000	1.07.0000	1.07.0000
108	VF009_NPC_004	1.03.0000	1.03.0000	1.07.0000	1.07.0000
109	VF009_NPC_005	1.03.0000	1.03.0000	1.07.0000	1.07.0000
110	VM012_NPC_000	1.03.0000	1.03.0000	1.07.0000	1.07.0000
111	VM012_NPC_001	1.03.0000	1.03.0000	1.07.0000	1.07.0000
112	VM012_NPC_002	1.03.0000	1.03.0000	1.07.0000	1.07.0000
113	VM012_NPC_003	1.03.0000	1.03.0000	1.07.0000	1.07.0000
114	VM013_NPC_000	1.03.0000	1.03.0000	1.07.0000	1.07.0000
115	VM013_NPC_001	1.03.0000	1.03.0000	1.07.0000	1.07.0000
116	VM013_NPC_002	1.03.0000	1.03.0000	1.07.0000	1.07.0000
117	VM013_NPC_003	1.03.0000	1.03.0000	1.07.0000	1.07.0000
118	VM024_NPC_000	1.03.0000	1.03.0000	1.07.0000	1.07.0000
119	VM024_NPC_001	1.03.0000	1.03.0000	1.07.0000	1.07.0000
120	VM024_NPC_002	1.03.0000	1.03.0000	1.07.0000	1.07.0000
121	VM024_NPC_003	1.03.0000	1.03.0000	1.07.0000	1.07.0000
122	VF011_NPC_000	1.03.0000	1.03.0000	1.07.0000	1.07.0000
123	VF011_NPC_001	1.03.0000	1.03.0000	1.07.0000	1.07.0000
124	VF011_NPC_002	1.03.0000	1.03.0000	1.07.0000	1.07.0000
125	VF011_NPC_003	1.03.0000	1.03.0000	1.07.0000	1.07.0000
126	VF011_NPC_004	1.03.0000	1.03.0000	1.07.0000	1.07.0000
127	VF012_NPC_000	1.03.0000	1.03.0000	1.07.0000	1.07.0000
128	VF012_NPC_001	1.03.0000	1.03.0000	1.07.0000	1.07.0000
129	VF012_NPC_002	1.03.0000	1.03.0000	1.07.0000	1.07.0000
130	VM014_NPC_000	1.03.0000	1.03.0000	1.07.0000	1.07.0000
131	VM014_NPC_001	1.03.0000	1.03.0000	1.07.0000	1.07.0000
132	VM014_NPC_002	1.03.0000	1.03.0000	1.07.0000	1.07.0000
133	VM015_NPC_000	1.03.0000	1.03.0000	1.07.0000	1.07.0000
134	VM015_NPC_001	1.03.0000	1.03.0000	1.07.0000	1.07.0000
135	VM015_NPC_002	1.03.0000	1.03.0000	1.07.0000	1.07.0000
136	VF021_NPC_000	1.03.0000	1.03.0000	1.07.0000	1.07.0000
137	VF021_NPC_001	1.03.0000	1.03.0000	1.07.0000	1.07.0000
138	VF021_NPC_002	1.03.0000	1.03.0000	1.07.0000	1.07.0000
139	VF013_NPC_000	1.03.0000	1.03.0000	1.07.0000	1.07.0000
140	VF013_NPC_001	1.03.0000	1.03.0000	1.07.0000	1.07.0000
141	VF013_NPC_002	1.03.0000	1.03.0000	1.07.0000	1.07.0000
142	VF013_NPC_003	1.03.0000	1.03.0000	1.07.0000	1.07.0000
143	VF013_NPC_004	1.03.0000	1.03.0000	1.07.0000	1.07.0000
144	VF014_NPC_000	1.03.0000	1.03.0000	1.07.0000	1.07.0000
145	VF014_NPC_001	1.03.0000	1.03.0000	1.07.0000	1.07.0000
146	VF014_NPC_002	1.03.0000	1.03.0000	1.07.0000	1.07.0000
147	VM016_NPC_000	1.03.0000	1.03.0000	1.07.0000	1.07.0000
148	VM016_NPC_001	1.03.0000	1.03.0000	1.07.0000	1.07.0000
149	VM016_NPC_002	1.03.0000	1.03.0000	1.07.0000	1.07.0000
150	VM016_NPC_003	1.03.0000	1.03.0000	1.07.0000	1.07.0000
151	VM016_NPC_004	1.03.0000	1.03.0000	1.07.0000	1.07.0000
152	VM016_NPC_005	1.03.0000	1.03.0000	1.07.0000	1.07.0000
153	VM016_NPC_006	1.03.0000	1.03.0000	1.07.0000	1.07.0000
154	VM016_NPC_007	1.03.0000	1.03.0000	1.07.0000	1.07.0000
155	VM016_NPC_008	1.03.0000	1.03.0000	1.07.0000	1.07.0000
156	VM016_NPC_009	1.03.0000	1.03.0000	1.07.0000	1.07.0000
157	VM016_NPC_010	1.03.0000	1.03.0000	1.07.0000	1.07.0000
158	VM016_NPC_011	1.03.0000	1.03.0000	1.07.0000	1.07.0000
159	VM016_NPC_012	1.03.0000	1.03.0000	1.07.0000	1.07.0000
160	VM017_NPC_000	1.03.0000	1.03.0000	1.07.0000	1.07.0000
161	VM017_NPC_001	1.03.0000	1.03.0000	1.07.0000	1.07.0000
162	VM017_NPC_002	1.03.0000	1.03.0000	1.07.0000	1.07.0000
163	VM017_NPC_003	1.03.0000	1.03.0000	1.07.0000	1.07.0000
164	VM017_NPC_004	1.03.0000	1.03.0000	1.07.0000	1.07.0000
165	VM018_NPC_000	1.03.0000	1.03.0000	1.07.0000	1.07.0000
166	VM018_NPC_001	1.03.0000	1.03.0000	1.07.0000	1.07.0000
167	VM018_NPC_002	1.03.0000	1.03.0000	1.07.0000	1.07.0000
168	VM019_NPC_000	1.03.0000	1.03.0000	1.07.0000	1.07.0000
169	VM019_NPC_001	1.03.0000	1.03.0000	1.07.0000	1.07.0000
170	VM019_NPC_002	1.03.0000	1.03.0000	1.07.0000	1.07.0000
171	VM019_NPC_003	1.03.0000	1.03.0000	1.07.0000	1.07.0000
172	VM019_NPC_004	1.03.0000	1.03.0000	1.07.0000	1.07.0000
173	VM020_NPC_000	1.03.0000	1.03.0000	1.07.0000	1.07.0000
174	VM021_NPC_000	1.03.0000	1.03.0000	1.07.0000	1.07.0000
175	VM022_NPC_000	1.03.0000	1.03.0000	1.07.0000	1.07.0000
176	VM022_NPC_001	1.03.0000	1.03.0000	1.07.0000	1.07.0000
177	VM022_NPC_002	1.03.0000	1.03.0000	1.07.0000	1.07.0000
182	VF015_NPC_000	1.03.0000	1.03.0000	1.07.0000	1.07.0000
183	VF015_NPC_001	1.03.0000	1.03.0000	1.07.0000	1.07.0000
184	VF015_NPC_002	1.03.0000	1.03.0000	1.07.0000	1.07.0000
185	VF015_NPC_003	1.03.0000	OUT	OUT	1.07.0000
186	VF015_NPC_004	1.03.0000	1.03.0000	1.07.0000	1.07.0000
187	VF016_NPC_000	1.03.0000	1.03.0000	1.07.0000	1.07.0000
188	VF016_NPC_001	1.03.0000	1.03.0000	1.07.0000	1.07.0000
189	VF016_NPC_002	1.03.0000	1.03.0000	1.07.0000	1.07.0000
190	VF016_NPC_003	1.03.0000	1.03.0000	1.07.0000	1.07.0000
191	VF016_NPC_004	1.03.0000	1.03.0000	1.07.0000	1.07.0000
192	VF016_NPC_005	1.03.0000	1.03.0000	1.07.0000	1.07.0000
193	VF016_NPC_006	1.03.0000	1.03.0000	1.07.0000	1.07.0000
194	VF016_NPC_007	1.03.0000	1.03.0000	1.07.0000	1.07.0000
195	VF016_NPC_008	1.03.0000	1.03.0000	1.07.0000	1.07.0000
196	VF017_NPC_000	1.03.0000	1.03.0000	1.07.0000	1.07.0000
197	VF018_NPC_000	1.03.0000	1.03.0000	1.07.0000	1.07.0000
198	VF018_NPC_001	1.03.0000	1.03.0000	1.07.0000	1.07.0000
199	VF018_NPC_002	1.03.0000	1.03.0000	1.07.0000	1.07.0000
200	VF018_NPC_003	1.03.0000	1.03.0000	1.07.0000	1.07.0000
205	VF020_NPC_000	1.03.0000	1.03.0000	1.07.0000	1.07.0000
206	VF020_NPC_001	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1001	PMALE_1_1_SELECT	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1002	PMALE_1_2_SELECT	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1003	PMALE_1_1_LOGOUT	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1004	PMALE_1_2_LOGOUT	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1005	PMALE_1_1_LIGHTATTACK	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1006	PMALE_1_1_ATTACK	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1007	PMALE_1_1_HEAVYATTACK	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1008	PMALE_1_1_LIGHTKNOCKED	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1009	PMALE_1_1_KNOCKED	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1010	PMALE_1_1_HEAVYKNOCKED	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1011	PMALE_1_1_LEAP	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1012	PMALE_1_1_YELL	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1013	PMALE_1_1_DIE	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1014	PMALE_1_2_DIE	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1015	PMALE_1_1_LEVELUP	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1016	PMALE_1_1_FLEXNORMAL	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1017	PMALE_1_1_FLEXRAIN	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1018	PMALE_1_1_FLEXSNOW	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1019	PMALE_1_1_INJURE	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1020	PMALE_1_1_EMOTION_000	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1021	PMALE_1_1_EMOTION_001	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1022	PMALE_1_1_EMOTION_002	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1023	PMALE_1_1_EMOTION_003	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1024	PMALE_1_1_EMOTION_004	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1025	PMALE_1_1_EMOTION_005	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1026	PMALE_1_1_EMOTION_006	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1027	PMALE_1_1_EMOTION_007	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1028	PMALE_1_1_EMOTION_008	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1029	PMALE_1_1_EMOTION_009	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1030	PMALE_2_1_SELECT	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1031	PMALE_2_2_SELECT	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1032	PMALE_2_1_LOGOUT	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1033	PMALE_2_2_LOGOUT	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1034	PMALE_2_1_LIGHTATTACK	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1035	PMALE_2_1_ATTACK	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1036	PMALE_2_1_HEAVYATTACK	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1037	PMALE_2_1_LIGHTKNOCKED	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1038	PMALE_2_1_KNOCKED	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1039	PMALE_2_1_HEAVYKNOCKED	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1040	PMALE_2_1_LEAP	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1041	PMALE_2_1_YELL	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1042	PMALE_2_1_DIE	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1043	PMALE_2_2_DIE	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1044	PMALE_2_1_LEVELUP	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1045	PMALE_2_1_FLEXNORMAL	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1046	PMALE_2_1_FLEXRAIN	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1047	PMALE_2_1_FLEXSNOW	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1048	PMALE_2_1_INJURE	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1049	PMALE_2_1_EMOTION_000	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1050	PMALE_2_1_EMOTION_001	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1051	PMALE_2_1_EMOTION_002	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1052	PMALE_2_1_EMOTION_003	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1053	PMALE_2_1_EMOTION_004	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1054	PMALE_2_1_EMOTION_005	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1055	PMALE_2_1_EMOTION_006	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1056	PMALE_2_1_EMOTION_007	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1057	PMALE_2_1_EMOTION_008	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1058	PMALE_2_1_EMOTION_009	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1059	PMALE_3_1_SELECT	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1060	PMALE_3_2_SELECT	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1061	PMALE_3_1_LOGOUT	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1062	PMALE_3_2_LOGOUT	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1063	PMALE_3_1_LIGHTATTACK	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1064	PMALE_3_1_ATTACK	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1065	PMALE_3_1_HEAVYATTACK	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1066	PMALE_3_1_LIGHTKNOCKED	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1067	PMALE_3_1_KNOCKED	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1068	PMALE_3_1_HEAVYKNOCKED	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1069	PMALE_3_1_LEAP	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1070	PMALE_3_1_YELL	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1071	PMALE_3_1_DIE	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1072	PMALE_3_2_DIE	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1073	PMALE_3_1_LEVELUP	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1074	PMALE_3_1_FLEXNORMAL	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1075	PMALE_3_1_FLEXRAIN	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1076	PMALE_3_1_FLEXSNOW	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1077	PMALE_3_1_INJURE	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1078	PMALE_3_1_EMOTION_000	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1079	PMALE_3_1_EMOTION_001	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1080	PMALE_3_1_EMOTION_002	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1081	PMALE_3_1_EMOTION_003	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1082	PMALE_3_1_EMOTION_004	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1083	PMALE_3_1_EMOTION_005	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1084	PMALE_3_1_EMOTION_006	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1085	PMALE_3_1_EMOTION_007	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1086	PMALE_3_1_EMOTION_008	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1087	PMALE_3_1_EMOTION_009	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1088	PFEMALE_1_1_SELECT	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1089	PFEMALE_1_2_SELECT	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1090	PFEMALE_1_1_LOGOUT	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1091	PFEMALE_1_2_LOGOUT	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1092	PFEMALE_1_1_LIGHTATTACK	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1093	PFEMALE_1_1_ATTACK	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1094	PFEMALE_1_1_HEAVYATTACK	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1095	PFEMALE_1_1_LIGHTKNOCKED	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1096	PFEMALE_1_1_KNOCKED	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1097	PFEMALE_1_1_HEAVYKNOCKED	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1098	PFEMALE_1_1_LEAP	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1099	PFEMALE_1_1_YELL	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1100	PFEMALE_1_1_DIE	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1101	PFEMALE_1_2_DIE	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1102	PFEMALE_1_1_LEVELUP	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1103	PFEMALE_1_1_FLEXNORMAL	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1104	PFEMALE_1_1_FLEXRAIN	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1105	PFEMALE_1_1_FLEXSNOW	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1106	PFEMALE_1_1_INJURE	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1107	PFEMALE_1_1_EMOTION_000	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1108	PFEMALE_1_1_EMOTION_001	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1109	PFEMALE_1_1_EMOTION_002	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1110	PFEMALE_1_1_EMOTION_003	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1111	PFEMALE_1_1_EMOTION_004	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1112	PFEMALE_1_1_EMOTION_005	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1113	PFEMALE_1_1_EMOTION_006	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1114	PFEMALE_1_1_EMOTION_007	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1115	PFEMALE_1_1_EMOTION_008	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1116	PFEMALE_1_1_EMOTION_009	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1117	PFEMALE_2_1_SELECT	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1118	PFEMALE_2_2_SELECT	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1119	PFEMALE_2_1_LOGOUT	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1120	PFEMALE_2_2_LOGOUT	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1121	PFEMALE_2_1_LIGHTATTACK	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1122	PFEMALE_2_1_ATTACK	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1123	PFEMALE_2_1_HEAVYATTACK	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1124	PFEMALE_2_1_LIGHTKNOCKED	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1125	PFEMALE_2_1_KNOCKED	1.03.0000	1.03.0000	1.07.0000	1.07.0000
1126	PFEMALE_2_1_HEAVYKNOCKED	1.03.0000	1.03.0000	1.07.0000	1.07.0000
