n_ID	n_OUTCOME	n_OUTQUANTITY	f_COMBINETIME	n_MATERIAL_1	n_QUANTITY_1	n_MATERIAL_2	n_QUANTITY_2	n_MATERIAL_3	n_QUANTITY_3	n_MATERIAL_4	n_QUANTITY_4	n_MATERIAL_5	n_QUANTITY_5	s_HK_VER	s_TC_VER	s_JP_VER	s_TH_VER
16	2600519	1	1.5	2600518	2	0	0	0	0	0	0	0	0	1.07.0000	1.07.0000	1.07.0000	1.07.0000
17	2600520	1	1.5	2600519	2	0	0	0	0	0	0	0	0	1.07.0000	1.07.0000	1.07.0000	1.07.0000
18	2600521	1	1.5	2600520	2	0	0	0	0	0	0	0	0	1.07.0000	1.07.0000	1.07.0000	1.07.0000
19	2600522	1	1.5	2600521	2	0	0	0	0	0	0	0	0	1.07.0000	1.07.0000	1.07.0000	1.07.0000
20	2600523	1	1.5	2600522	1	3500021	1	0	0	0	0	0	0	1.07.0000	1.07.0000	1.07.0000	1.07.0000
21	2600525	1	1.5	2600524	2	0	0	0	0	0	0	0	0	1.07.0000	1.07.0000	1.07.0000	1.07.0000
22	2600526	1	1.5	2600525	2	0	0	0	0	0	0	0	0	1.07.0000	1.07.0000	1.07.0000	1.07.0000
23	2600527	1	1.5	2600526	2	0	0	0	0	0	0	0	0	1.07.0000	1.07.0000	1.07.0000	1.07.0000
24	2600528	1	1.5	2600527	2	0	0	0	0	0	0	0	0	1.07.0000	1.07.0000	1.07.0000	1.07.0000
25	2600529	1	1.5	2600528	1	3500022	1	0	0	0	0	0	0	1.07.0000	1.07.0000	1.07.0000	1.07.0000
26	2600531	1	1.5	2600530	2	0	0	0	0	0	0	0	0	1.07.0000	1.07.0000	1.07.0000	1.07.0000
27	2600532	1	1.5	2600531	2	0	0	0	0	0	0	0	0	1.07.0000	1.07.0000	1.07.0000	1.07.0000
28	2600533	1	1.5	2600532	2	0	0	0	0	0	0	0	0	1.07.0000	1.07.0000	1.07.0000	1.07.0000
29	2600534	1	1.5	2600533	2	0	0	0	0	0	0	0	0	1.07.0000	1.07.0000	1.07.0000	1.07.0000
30	2600535	1	1.5	2600534	1	3500023	1	0	0	0	0	0	0	1.07.0000	1.07.0000	1.07.0000	1.07.0000
31	2601014	1	1.5	2600388	3	2600389	6	2600365	9	2601002	1	0	0	1.07.0000	1.07.0000	1.07.0000	1.07.0000
32	2601015	1	1.5	2600390	4	2600391	8	2600365	12	2601014	1	0	0	1.07.0000	1.07.0000	1.07.0000	1.07.0000
101	2400064	1	1.5	2400063	5	0	0	0	0	0	0	0	0	1.07.0000	1.07.0000	1.07.0000	1.07.0000
302	2400414	1	1.5	2400434	1	2601301	1	2601332	15	2601333	10	0	0	OUT	1.20.0000	1.20.0000	1.30.0000
303	2400415	1	1.5	2400435	1	2601305	3	2601301	2	2601337	15	2601336	10	OUT	1.20.0000	1.20.0000	1.30.0000
304	2400416	1	1.5	2400436	1	2601309	2	2601334	15	2601332	15	2601335	10	OUT	1.20.0000	1.20.0000	1.30.0000
305	2400417	1	1.5	2400437	1	2601302	3	2601331	25	0	0	0	0	OUT	1.20.0000	1.20.0000	1.30.0000
306	2400418	1	1.5	2400438	1	2601302	3	2601331	25	0	0	0	0	OUT	1.20.0000	1.20.0000	1.30.0000
307	2400419	1	1.5	2400439	1	2601303	3	2601301	3	2601332	25	0	0	OUT	1.20.0000	1.20.0000	1.30.0000
311	2400423	1	1.5	2400443	1	2601304	2	2601334	20	2601332	15	0	0	OUT	1.20.0000	1.20.0000	1.30.0000
312	2400424	1	1.5	2400444	1	2601304	3	2601306	2	2601334	20	2601337	15	OUT	1.20.0000	1.20.0000	1.30.0000
313	2400425	1	1.5	2400445	1	2601303	3	2601305	3	2601333	20	2601335	10	OUT	1.20.0000	1.20.0000	1.30.0000
314	2400426	1	1.5	2400446	1	2601302	3	2601334	15	2601333	20	0	0	OUT	1.20.0000	1.20.0000	1.30.0000
317	2400429	1	1.5	2400449	1	2601304	2	2601334	20	2601332	15	0	0	OUT	1.20.0000	1.20.0000	1.30.0000
318	2400430	1	1.5	2400450	1	2601304	3	2601306	2	2601334	20	2601337	15	OUT	1.20.0000	1.20.0000	1.30.0000
319	2400431	1	1.5	2400451	1	2601303	3	2601305	3	2601333	20	2601335	10	OUT	1.20.0000	1.20.0000	1.30.0000
320	2400432	1	1.5	2400452	1	2601302	3	2601334	15	2601333	20	0	0	OUT	1.20.0000	1.20.0000	1.30.0000
