n_ID	s_Reward_Explain	s_TITLE	s_Content_1	s_Content_2	s_Content_3	s_Content_4	s_Content_5
11		Bismarck	พลเรือเอกหญิงโหดเหี้ยมและเย็นชา ทำหน้าที่คุมคุกทหารเรือ ชื่นชอบในการทรมานนักโทษ	เธอมีอาวุธคู่กาย 2 อย่าง คือแซ่แห่งความรักและแซ่แห่งการลงโทษ ที่สามารถทำให้ทุกคนเชื่อฟังเธอ	เรือธงของเธอคือ Bismarck ได้ถูกขนานนามว่าเป็นเรือที่ไม่มีวันจม เป็นที่น่าเกรงขามท่ามกลางมหาสมุทร	ไม่ว่าจะเป็นเพื่อนหรือศัตรู ก็เกรงกลัวเธอ ก็เธอเต็มไปด้วยความน่าดึงดูดขนาดนั้น	มีรูปร่างที่เซ็กส์ซี่ ถ่ายนิตยสารมาแล้วหลายเล่ม เป็นของสะสมที่ทหารเรือและโจรสลัดขาดไม่ได้
12		Isoroku Yamamoto	พลเรือเอกหญิงที่ไม่ค่อยพูดค่อยจา ถือคำสั่งของผู้คุมเป็นหลัก มองข้ามเกียรติยศของคนทั่วไป	เชื่อในวิญญาณของ Bushido เก่งกาจในการใช้ดาบ ไม่เคยมีใครเอาชนะเธอได้	ถึงแม้ว่าจะมีท่าทีที่เย็นชา แต่เธอก็ชอบสัตว์เลี้ยงน่ารัก บ้านของเธอเลี้ยงหมาได้ 3 ตัว และแมวอีก 2 ตัว	เธอมักจะเป็นผู้นำ ออกคำสั่งบัญชาการทหาร ผ่านการสงครามมาแล้วนับครั้งไม่ถ้วน	เรือธงคือ Yamato ออกเดินเรือสอดแนมบ่อยๆ เพื่อคอยกวาดล้างโจรสลัด
13		Columbus	กัปตันในตำนานที่มีบ้านเป็นมหาสมุทร เกาะเกือบทั้งหมดในมหาสมุทรกว่าครึ่ง ที่เธอเป็นคนค้นพบและตั้งชื่อให้	ผู้ที่สามารถเป็นกะลาสีให้เธอได้นั้น จะต้องเป็นคนที่มีความสามารถ และทุกคนก็นับถือเธอ	เธอไม่ต้องการชื่อเสียงหรืออำนาจ เธอแค่ต้องการทำตามฝันเธอเท่านั้น และเกลียดการผัดวันประกันพรุ่ง	เธอปรารถนาที่จะค้นหาเกาะและมหาสุทรที่ไม่เคยมีใครไปถึงมาก่อน และค้นพบอาณาจักรที่เรียกว่าเดือนและตะวัน	เรือของเธอคือ Santa Maria สำหรับเธอแล้ว เรือลำนี้คือบ้านของเธอ
14		Magellan	หญิงผู้สืบทอดสมาคม Magellan และกำลังเดินทางไป Seven Sea เพื่อค้นหาเครื่องเทศหายากต่างๆ	ชอบเพ้อฝัน และเป็นคนที่เครียดง่าย พ่อของเธอบอกเธอว่าเธอทำการใหญ่ไม่ได้อย่างแน่นอน	เธอจิตตกตลอดเวลา คิดว่าตัวเธอเองจะต้องไม่มีใครมาขอเธอเป็นแฟนอย่างแน่นอนและในอนาคตจะต้องอยู่อย่าโดดเดี่ยว	เธอสนใจในเรื่องเครื่องเทศ ทำให้เธอเป็นผู้รอบรู้ทางด้านเครื่องเทศ	ไอดอลของเธอคือราชานักธุรกิจเดินเรือ Stark เขาคือแรงบันดาลใจของเธอ
15		Angel of Death	ธิดาของยมทูต ถึงแม้ว่าจะมีพลังการกำหนดความเป็นความตาย แต่ก็อยากเป็นแค่ผู้หญิงธรรมดาๆ	เคยเป็นเพื่อนในวันเด็กกับ Siren มาก่อน เมื่อโตขึ้นก็ไม่ได้ติดต่อกันอีก เธอคิดถึง Siren มาก	เธอชอบไปเล่นที่โลกมนุษย์ เมื่อเจอคนที่เธอชอบเธอก็จะเอาชีวิตเขาไป	เธอชอบมองดูคนตาย และยืนข้างๆร่างของคนนั้น คอยนับเวลาถอยหลังให้ ซึ่งทำให้เธอรู้สึกสนุก	ได้ยินมาว่า นักจญภัยที่ผ่านความตายมาแล้วสามารถมองเห็นสายตาที่จับจ้องของเธอได้
201		 Port Royal  Treasure Map	ท่าเรือแห่งแรกของอาณาจักร Atlantis อยู่ในน่านน้ำที่ยอดเยี่ยม มองไปข้างหน้าจะมองเห็นฉากที่ทำให้รู้สึกคึกคัก ท่าเรือมีเรือมาเทียบท่าอย่าไม่ขาดสาย	มีสิ่งของที่ต้องการทุกอย่าง ไม่ว่าจะเป็นปืน เหล้า หรือผู้หญิง ก็สามารถหาได้จากที่นี่ ที่ถนนคนเดินมีการค้าขายอย่างคึกครื้น	บาร์เหล้าข้างท่าเรือ เป็นบาร์ที่ได้รับความนิยมที่สุด โดยเฉพาะเด็กเชียร์เบียร์ของร้านนี้... พูดง่ายๆคือร้านนี้ยินดีต้อนรับทุกคน	จักรวรรดิเป็นสถานที่สำคัญในสถานที่ในพื้นที่แห่งนี้ สามารถมองเห็นโดมสูงได้จากที่ไกลๆ เป็นสถานที่ตั้งพระราชวัง Atlantis มีประวัติยาวนาน	ตั้งอยู่ในใจกลางกองบังคับบัญชาทหารเรือราชวงศ์ มีประเพณีที่ดีของทหารเรือราชวงศ์ มีการสนับสนุนอาณาจักร Atlantis ที่แข็งแกร่ง ในปีที่ผ่านมาได้เจอกับความพ่ายแพ้มามาก และผู้บัญชาการคนใหม่จะต้องกอบกู้มันขึ้นมาอีกครั้ง
202		 Prison Exile Island  Treasure Map	เดิมเป็นเหมืองแร่ร้าง เพื่อเป็นการตลอบสนองพวกโจรสลัดที่ชอบเข้ามารุกราน ทหารเรือราชวงศ์จึงสร้างที่นี่ให้เป็นคุก ไว้กักขังโจรสลัดที่มีความผิดใหญ่หลวง	เขตคุมขังนักโทษอันตราย เบื้องหน้าเป็นการต่อต้านโจรสลัด แต่เบื้องหลังเป็นการไถเอาเบาะแสและที่อยู่ของสมบัติจากพวกโจรสลัด 	สิ่งก่อสร้างที่โดดเด่นบนเกาะ โดยมีอาวุธล้อมรอบ พัศดีอยู่ที่นี่ ดูแลอย่างใกล้ชิดตรวจสอบการเคลื่อนไหวของนักโทษทุกคน	ค่ายกักขังใจกลางเกาะ ปัจจุบันไว้ใช้ขังนักโทษที่มีโทษหนัก ส่วนใหญ่แล้วจะเป็นพวกหัวหน้าโจรสลัด เป็นตัวอันตรายที่ไม่สามารถปล่อยไว้ได้	เกาะร้างที่ทำการบูรณะแล้ว เหลือเพียงพื้นที่ที่ไม่อาจเข้าถึง มีคนลือกันว่ามีผีสิงอยู่ ไม่มีใครกล้าเข้าใกล้
203		 Spice Paradise Island  Treasure Map	ตั้งแต่ Columbus เจอเครื่องเทศหายากบนเกาะนี้ จึงทำให้เป็นสถานที่ที่พ่อค้าแต่ละคนมาค้นหาเครื่องเทศ เพื่อนำกลับไปขายที่ Port Royal	บนเกาะมีชนเผ่า [Guawa Family] อยู่ แต่ก็ยังไม่เคยมีใครพบเจอเผ่าของพวกมัน	บนเกาะมีชิ้นส่วนโบราญหลงเหลืออยู่ ดึงดูดนัดโบราญสถานให้เข้ามาทำการวิจัย ได้ยินมาว่าบนป้ายศิลา บนทึกเบาะแสของอาวุธในตำนานเอาไว้	ในป่าทึบมีดอกไม้หลากหลายชนิดและสีสันสวยงาม มีกลิ่นหอมละมุน และยังมีสัตว์กินพื้นกินเนื้ออาศัยอยู่	ได้ยินมาว่า ชิ้นส่วนโบราญที่อยู่บนเกาะ เป็นชิ้นส่วนที่ตกลงมาจากท้องฟ้า แต่ก็เป็นเรื่องที่ไม่น่าเชื่อถือ และหลายๆ คนก็ไม่เชื่อเรื่องนี้
204		 Slave Market Island  Treasure Map	พ่อค้าใจหี้ยมค้าขายมนุษย์ มีทาสมากมายที่ถูกซื้อขายดั่งสิ่งของ รอคอยอยู่ในกรงให้คนมาซื้ออย่างไร้ความหวัง	ทาสที่ขายได้ราคาต่ำ จะรวมตัวอยู่ที่ตลาดแห่งนี้ หากทาสคนไหนหลบหนีหรือทำผิดกฏ จุดจบของคนนั้นคือตายสถานเดียว	หากทาสคนไหนที่มีประวัติดีก็จะถูกส่งไปยังตลาดประมูล เพื่อให้พ่อค้าทาสซื้อต่อไปทำการต่อสู้	สนามต่อสู้ของทาสเป็นสถานที่สำคัญของเมืองนี้ สนามนี้จะตัดสินความเป็นความตายของทาส และมีนักสู้ที่เก่งกาจ ที่เป็นที่ต้องการของโจรสลัดอยู่ด้วย	เกาะนี้มีหนองน้ำที่ดูแล้วน่าขนลุกและอ้างว้าง เป็นที่อยู่ของสัตว์ร้าย ทาสที่ทำผิดหรือคิดหนีจะถูกส่งมาที่นี่
205		 Evil Port  Treasure Map	สถานที่ตั้งตลาดมืด มีเรือโจรสลัดจอดอยู่เป็นแถว มีป้าประกาศจับแขวนอยู่ทุกที่ และมีเงินรางวัลนำจับระบุอยู่	ชื่อเดิมของท่าเรือที่นี่คือท่าเรือตะวันออก เป็นเมืองขึ้นของอาณาจักร Atlantis ต่อมาได้ถูกราชาโจรสลัดยึดครองได้ ทำให้โจรสลัดจากทั่วทุกทิศสามารถเข้าออกที่นี่ได้อย่างอิสระ	กองบัญชาการโจรสลัดเป็นสถานที่สำคัญของที่นี่ เมื่อก่อนเป็นของทหารเรือ แต่ตอนนี้อยู่ภายใต้อำนาจของราชาโจรสลัดแล้ว และได้ถูกตั้งชื่อใหม่เป็น Evil Port	ตลาดมืดตั้งอยู่ใกล้ๆกับท่าเรือ มีของผิดกฏหมายขายมากมาย โจรสลัดนับไม่ถ้วนมาที่นี่	ร้านเหล้าที่มีชื่อที่สุดในเมืองนี้คือร้านบาร์ปู Evil Port ไม่ว่าท่านจะทำผิดข้อหาอะไร เมื่อท่านเข้ามาเมาที่นี่ก็จะไม่มีคนกล้าตามล่าท่านอีก
206		 Ocean Walled City  Treasure Map	เมืองหลักของราชาโจรสลัด สร้างในถ้ำหินย้อยที่อยู่ใกล้ชายฝั่งทะเล เป็นที่อยู่ลับสุดยอด และต่อมาถูกพัฒนาขึ้นโดนการสร้างกำแพงล้อมรอบอย่างแน่นหนา	ที่นี่เต็มไปด้วยกลิ่นอายความเหี้ยมโหด มีเพียงแค่หัวหน้าโจรสลัดที่อยู่อันดับต้นๆเท่านี้จึงจะได้รับอัญเชิญให้พบราชาโจรสลัด	สถานที่นี้ใช้ในการวางแผนของพวกหัวหน้าโจรสลัด แต่ความจริงเอาไว้ใช้เป็นสถานที่ดื่มเหล้าเฮฮาเสียมากกว่า	ตั้งอยู่ใต้ดินล่าง Poseidon Hall ลึกมาก เป็นพระราชวังของราชาโจรสลัดและราชินีโจรสลัด ในตำนานกล่าวว่าเป็นสถานที่มีเสียงไพรเราะเร	ได้ยินมาว่าในถ้ำนี้เป็นที่เก็บสมบัติของโจรสลัด ด้านในเป็นที่อาศัยของสัตว์ร้าย มีกระดูกของนักล่าสมบัตินอนเรียงราย
207		Voodoo Island Treasure Map	เกาะลึกลับที่ตั้งอยู่ใน Outer Space Ocean เป็นชายแดนของอาณาจักร Atlantis มีทหารเรือราชวงศ์ประจำการอยู่ในน่านน้ำชายแดนนี้	เนื่องจากความแตกต่างทางวัฒนธรรม ทหารเรือจึงไม่ค่อยได้มาที่นี่ ต่อมาจึงกลายเป็นที่ตั้งของ Voodoo Tribe และทั้งสองก็กลายเป็นศัตรูกัน	ชนเผ่าวูดูในพื้นที่แห่งนี้ พวกเขามีพิษที่ร้ายแรงที่สร้างขึ้นมาเอง แม่มดจะเป็นที่เคารพของพวกเขา เพราะว่าแม่มดสามารถตัดสินชีวิตพวกเขาได้	คนในเผ่า Voodoo Tribe พวกเขาไม่สุงสิงกับโลกภายนอก แต่พวกเขามีความเชื่อในเวทย์มนต์ และไม่ชอบมนุษย์จากชนเผ่าอื่น	ป่าช้า สถานที่ที่ฝังคนตายในเกาะนี้ ช่วงนี้มีคนพูดถึงเรื่องซอมบี้ลุกขึ้นมาจากหลุมบ่อยๆ
208		Silver Harbour Treasure Map	ทางตอนใต้ของชายแดน  Outer Space Ocean มีภูเขาน้ำแข็งล้อมรอบ อาหาศหนาวและหิมะตกตลอดเวลา นักเดินเรือที่กลัวหนาวมักจะหลีกเลี่ยงพื้นที่นี้	Silver Harbour เป็นที่อยู่ของเทพธิดามหาสมุทร ดึงดูดนักล่า Kraken ให้เข้ามาล่านักล่าสามารถหลอกล่อให้ Kraken ออกมาเพื่อกำจัด	เมืองท่าเรือขนาดเล็กที่นักล่า Kraken ก่อตั้งขึ้น พวกเขาจะรวมตัวกันที่นี่ เพื่อคุยกันเรื่องของที่เก็บมาได้	เนื่องจาก Silver Harbour อยู่ห่างไกลนัก จึงเป็นที่ซ่อนเบาะแสที่ดีที่สุดของเหล่าโจรสลัด หลายคนที่ไม่อยากโดนจับก็จะมาอยู่ที่นี่	รูปปั้นแปลกประหลาดที่ตั้งอยู่บนพื้นอันเยือกเย็น เป็นรูปปั้นที่คนสมัยก่อนใช้บูชา ตำนานกล่าวว่า การบูชาจะต้องใช้คนเป็นเครื่องบูชายันให้กับปีศาจ เพื่อที่จะทำให้บ้านเมืองสงบสุข
209		Death City Sea Treasure Map	ในกลางมหาสมุทร มีพื้นที่แห่งหนึ่งเป็นตำนานเล่าขาลกันในหมูกะลาสี เราเรียกพื้นที่นั้นว่า Sea Of Bermuda เรือลำใดที่หลงเข้าไปจะต้องหายสาปสูญ	มีเรือไม่น้อยที่หลงเข้าไปใน Bermuda Sea และหายสาปสูญ ที่ตรงนั้นจึงกลายเป็นสุสานเรือไปโดยปริยาย	บนเกาะมีโบราญสถานที่หลงเหลืออยู่ เป็นอารยธรรมเก่าแก่ของอาณาจักร Atlantis 	กระดูกที่โดนคำสาป ด้วยความแค้น พวกนั้นจึงจับมนุษย์มาเป็นทาส แต่เกิดเรื่องแบบนี้ขึ้นได้อย่างไรนั้นยังคงเป็นความลับอยู่	ได้ยินมาว่า ในโบราญสถาน มีทางเข้าลึกลับอยู่ สามารถไปสู่พระราชวังลึกลับได้ ด้านในมีสมบัติมากมาย
210		Deep Sea Temple Treasure Map	การจุดจบของโลก ทุกคนที่อยู่ใน Atlantis ถูกคำสาปให้กลายเป็นโครงกระดูกมีชีวิต มีคนบางส่วนเท่านั้นที่หลบอยู่ใน Deep Sea Temple และรอดออกมาใช้ชีวิตด้วยความหวาดกลัวทุกวัน	เพื่อหนีพ้นจากคำสาป เหล่าผู้ลี้ภัยจึงเข้าไปในสถานที่ศักดิ์สิทธิ์ ครั้งเกิดน้ำท่วมครั้งใหญ่ สถานที่ศักดิ์สิทธิ์แห่งนี้จึงปล่อยร้าง	สถานที่ศักดิ์สิทธิ์ถูกสร้างให้เป็นชั้นๆ ลึกลงไปในท้องทะเลลึก ด้านล่างนั้นเป็นหลุมศพของราชา และของบูชามากมาย	พระราชวังแห่งนี้ เคยเป็นวังของราชาแห่ง Atlantis มาก่อน และถูกคุ้มครองด้วย Seabed Crusader พวกเขาเป็นทีมรักษาพระองศ์ที่ลึกลับที่สุด	พระราชวังแห่งนี้กลายเป็นที่อยู่ของผู้ลี้ภัย แต่สภาพความเป็นอยู่แย่มาก เสบียงก็ขาดแคลน ผู้ลี้ภัยกำลังเผชิญหากัลความตาย
211		Drake empty Walled Treasure Map	เพื่อครอบครอง Nora Jana กลุ่ม Drake Hijack จึงมาสร้างป้องการบินที่ Empty Island คนที่ต้องการทำการบินจะต้องได้รับอนุญาตจากพวกเขาก่อน	นักผจญภัยที่อยากขึ้นสู่ท้องฟ้า จะต้องได้รับพาสปอร์ตจาก Drake ถึงจะทำการบินได้ แต่บอกไว้ก่อนท่านจะต้องมี Fly Airship เป็นของตัวเองด้วย	เนื่องจาก Drake เป็นคนที่มีนิสัยขี้เกียด ลูกน้องของเขาจึงมีแต่พวกทุจริตและเกียดคร้าน วันๆเอาแค่กินเล่นดื่มเที่ยวที่ Empty Village ไม่อยากจะทำการต่อสู้ใดๆ	Drake empty Walled ยึดสิทธิ์ในการควบคุม คอยสอดส่องความเคลื่อนไหวทางทะเล โดยเฉพาะอาวุธ Sunset Deserted ของทหารเรือและโจรสลัด	ได้ยินมาว่า Drake เรียนรู้เทคโนโลยีมาจาก Empire of Mu จึงสร้าง Fly Airship แบบนี้มาได้
212		Hell Volcanic Island Treasure Map	บนเกาะมีภูเขาไฟที่ยังไม่ดับ และควันจากภูเขาไฟสีดำเทาลอยขึ้นปกคลุมทั่วทั้งเกาะ มีปากทางสำหรับลงสู่นรก บางทีก็มีสัตว์ร้ายขึ้นมาจากปากทางนั้น	บนเนินภูเขาไฟมีบ่อน้ำร้อนอยู่ เป็นอันตรายต่อมนุษย์ แต่เหล่าโครงกระดูกด้วยกันแล้วบ่อนี้ใช้ผ่อนคลายได้อย่างดีเลยล่ะ	ความร้อนใต้พิภพของเกาะ การปะทุในระยะยาวของไอน้ำที่ลอยขึ้นไปบนท้องฟ้า ดูแล้วงดงามมาก ด้านบนเป็นที่วางไข่ของสัตว์ร้าย ใช้ความร้อนเป็นตั่วยในการฟัก	คนที่อาศัยอยู่บนเกาะ เมื่อภูเขาไฟระเบิดทำให้ที่นี่ไม่เหลือผู้รอดชีวิตเลย ปัจจุบันจึงกลายเป็นสถานที่อาศัยของเหล่าโรงกระดูกและสัตว์ร้าย	มีเพรชเม็ดใหญ่คาอยู่ปากภูเขาไฟมันถูกเรียกว่าวันพิพากษา มีคนว่ากันว่าเป็นการลงโทษจากเทพ Nora Jana เธอต้องการที่จะให้โลกนี้พังพินาศ
213		Lost Eden Treasure Map	เรือศักดิ์สิทธิ์ที่เต็มไปด้วยผู้ลี้ภัยจาก Empire of Mu เรือลำนี้เทียบท่าอยู่ที่เกาะเกาะหนึ่ง และผู้ลี้ภัยส่วนนี้เป็นคนบุกเบิกก่อตั้งที่นี่ขึ้นมา และทำสวนสนุกขึ้น	ที่เอเดนแห่งนี้เมื่อก่อนเคยเป็นสวนต้นท้อมาก่อน เนื่องจากโจรท้องฟ้าบุกรุก ก็นำเอาความพินาศเข้ามาสู่สวนนี้ ทำให้สัตว์และพืชบนเกาะนี้ค่อยๆเปลี่ยนไป	หมู่บ้านเอเดนตั้งอยู่ที่ราบสูงของเกาะ บนเกาะนี้มีคริสตัลที่หลงเหลือจาก Empire of Mu จำนวนหนึ่ง ซึ่งพอที่จะนำพวกเขากลับไปที่เดิมได้	เกาะนี้ครึ่งนึงอยู่ในทะเล อีกครึ่งหนึ่งอยู่บนฟ้า เป็นเส้นทางการเดินทางสู่ Nora Jana ที่ดีทีเดียว	เรือที่จอดอยู่นั้น เป็นสถานที่ศักดิ์สิทธิ์ของประชากรในเอเดนมีนักบวชคอยดูเลอยู่มานานแสนนาน และห้าทุกคนดูหมิ่นสถานที่แห่งนี้ และยังสามารถปกป้องให้รอดพ้นจากสัตว์ร้ายได้อีกด้วย
214		Sunset Deserted Treasure Map	ในใจกลางเมือง Nora Jana มีเกราะร้างตั้งอยู่โดดๆ นั่นคือสิ่งก่อสร้างของ Empire of Mu ที่หลงเหลือยู่ เนื่องจากความพินาศจากสงคราม จึงหลงเหลือเพียงแค่อาวุธบางอย่างที่ยังคงทำงานอยู่เท่านั้น	ป้อมปราการของเกาะร้างแห่งนี้ สวยงามมาก ดั่งเขาวงกด สามารถหลอกล่อศัตรูและขังไว้ที่นี่ตลอดกาล	ที่ Empty Island มีหินป้อมป้องกันอยู่ ใช้ป้องกันอันตรายที่เมืองจะได้รับ แต่ต่อมาไม่สามารถต้านทานอานุภาพอาวุธสมัยใหม่ไหว	ในเมืองร้างมีครัสตัลอยู่ 7 เม็ด ตำนานกล่าวว่ามีพลังทำลายล้างอยู่ เมื่อทำการเปิดมันเมื่อไหร่ โลกนี้ก็จะพินาศ	การล่มสลายของ Empire of Mu ผู้คนเล่าขาลกันว่าเป็นความโกรธแค้นของเทพธิดา  Nora Jana แต่ในประวัติเขียนว่า เกิดจากสงคราม
