n_ID	s_CONTENT	s_Summary	s_HowToDo
2000	รายชื่อเพื่อน	แสดงรายชื่อเพื่อนปัจจุบัน ทั้งสองจะต้องเป็นเพื่อนกัน	สามารถใช้คีย์ลัด【O】 เปิดหน้าต่าง <text style="73" openui="System_Social_Main">สังคม</text><br/>หน้าต่าง【เพื่อน】 ที่อยู่ในหน้าสังคม สามารถดูข้อมูลชื่อ, อาชีพ, เลเวล, สถานที่ที่อยู่, ค่าสนิทสนมและสถานะเป็นต้น<br/>เพิ่มเพื่อนใหม่: คลิกขวาที่ผู้เล่นคนอื่น จากนั้นคลิกขวาที่เมนูเพิ่มเพื่อนเพื่อเพิ่มเพื่อน และยังสามารถคลิก【เพิ่มใหม่】 ที่อยู่ด้านล่างขวาของแถบเพื่อนเพื่อเพิ่มเพื่อนได้อีกด้วย
2001	บัญชีดำ	แสดงรายชื่อเพื่อนที่อยู่ในบัญชีดำ สามารถเพิ่มฝ่ายเดียวได้ และบล็อคข้อมูลของฝ่ายตรงข้าม	สามารถกด【O】 เพื่อเปิดหน้า <text style="73" openui="System_Social_Main">สังคม</text><br/>หน้าต่าง【บัญชีดำ】 ที่อยู่ในหน้าสังคม สามารถมองเห็นรายชื่อเพื่อนได้<br/>เพิ่มลงในบัญชีดำ: เมื่อกดเพิ่มลงบัญชีดำในหน้านี้ และใส่ชื่อผู้เล่นและกดปุ่มจะย้ายเพื่อนคนที่ใส่ชื่อลงในบัญชีดำ (ผู้เล่นที่เป็นเพื่อนกันแล้วไม่สามารถย้ายไปยังบัญชีดำได้)
2002	เพื่อนร่วมเดินทาง	ความสัมพัธ์สูงกว่าเพื่อนไปอีกขั้น!	เมื่อค่าความสนิทของเพื่อนและตนเองถึง 500 แต้ม จะได้รับการแจ้งเตือนจากระบบ สามารถรับบดทดสอบเพื่อปรับเป็นเพื่อนร่วมเดินทางได้ (เมื่อเป็นเพื่อนร่วมเดินทางแล้ว ค่าความสนิทที่ได้จากการต่อสู้ร่วมกันจะเพิ่มขึ้น)
2003	กุญแจแห่งคำสาบาน	ฟังก์ชั่นหนึ่งของระดับความสนิทสนม เมื่อถึงจำนวนหนึ่งแล้วจะได้รับรางวัล	สามารถกด【O】 เพื่อเปิดหน้า <text style="73" openui="System_Social_Main">สังคม</text><br/>หน้าต่าง【เพื่อน】 ที่อยู่ในหน้าสังคม คลิกปุ่มที่อยู่ทางด้านขวาของชื่อแผนที่ที่เพื่อนอยู่ เพื่อเปิดหน้ากุญแจแห่งคำสาบาน<br/>เมื่อสำเร็จภารกิจกุญแจแห่งคำสาบานจะได้รับรางวัลอื่นๆ
2004	สถานะการณ์เพื่อน	สามารถตรวจดูประวัติของเพื่อนและตนเอง และทุกครั้งที่เปลี่ยนฉากมีโอกาศแสดงด้านล่างจอ	สามารถเปิดหน้าต่างได้จาก 「เมนูหลัก」→สังคม→<text style="73" openui ="System_Report"> สถานะการณ์เพื่อน </text><br/>เมื่อเปิดแล้วสามารถเลือกเพื่อนหรือตนเองด้านล่างเพื่อดูประวัติได้
2005	ส่งด่วน	สามารถเลือกส่งไอเทมหรือจดหมายให้เพื่อนได้	สามารถกด【O】 เพื่อเปิดหน้า <text style="73" openui="System_Social_Main">สังคม</text> หน้าต่าง【จดหมาย】 ที่อยู่ในหน้าสังคม คลิกปุ่มจดหมายใหม่สามารถใช้ฟังก์ชั่นส่งด่วนได้<br/>ส่งจดหมาย: เลือกผู้รับด้านล่าง ใส่หัวข้อและเนื้อหาเสร็จเรียบร้อยค่อยกดส่ง ผู้รับจะได้รับจดหมายทันที<br/>กล่อง: เลือกผู้รับด้านล่างหรือใส่ชื่อผู้รับเอง ใส่หัวข้อเนื้อหาและลากไอเทมที่ต้องการส่งลงในช่องไอเทม ทุกครั้งสามารถส่งได้ 5 อย่างเท่านั้น จำนวนการส่งในแต่ละวันจำกัด คุยกับ <text style="73" path="622">[52500622]</text> ใน Port Royal สามารถเปิดตู้นิรภัยเพื่อรับกล่องได้
2006	ตู้นิรภัย	สามารถเก็บของหรือเงินได้ทันที	คุยกับ <text style="73" path="622">[52500622]</text> ใน Port Royal สามารถเปิดตู้นิรภัยเพื่อรับกล่องได้ ผู้เล่นสามารถรับกล่องได้ที่นี่ กล่องสามารถอยู่ในตู้ได้ 10 วันเท่านั้น เมื่อเลย 10 วันระบบจะทำการลบทันที
2010	ทีม	สามารถเล่นเกมร่วมกันกับผู้อื่นได้ และแชร์ประสบการณ์กัน	เชิญร่วมทีม: เมื่อคลิกผู้เล่นอื่นๆแล้ว คลิกขวาที่หน้าต่างเป้าหมาย เลือกเชิญร่วมทีม เมื่อเป้าหมายกดยืนยัน จะเข้าร่วมทีมทันที สามารถเปิดหน้าทีมได้จาก【เมนูหลัก】→สังคม→ทีมหรือคลิกขวาที่ชื่อผู้เล่นในช่องแชทและกดเลือกชวนเข้าทีมก็ได้
2020	สร้างกิลด์	สามารถรวบรวมสมาชิกและสร้างกิลด์ขึ้นมา เพื่อเป็นตัวในการเล่นและเพิ่มกิจกรรม	เมื่อเงินและเลเวลตรงตามเงื่อนไข สามารถไปหา <text style="73" path="159">[52500159]</text> ที่อยู่ใน Port Royal เพื่อสร้างกิลด์<br/>แนะนำ: หากสร้างกิลด์ครบ 7 วันแล้วยังมีสมาชิกน้อยกว่าจำนวนที่กำหนด กิลด์จะถูกยุบทันที!
2021	อัพเลเวลและชื่อเสียง	ชื่อเสียงกิลด์เฉลี่ย สามารถนำมาอัพเกรดเลเวลกิลด์ได้ เมื่ออัพเกรดแล้วสามารถได้รับโบนัสต่างๆจากกิลด์ได้	ค่า EXP กิลด์สามารถได้รับจากภารกิจในแต่ละวัน เมื่อสะสมได้จำนวนหนึ่งสามารถนำมาอัพเลเวลกิลด์ได้<br/>เมื่ออัพเลเวลกิลด์แล้ว จะสามารถใช้ฟังก์ชั่นได้หลากหลายเช่นคลังกิลด์ และ Guild Island (ขอพร, ภารกิจรายวัน) และยังสามารถได้รับสกิลกิลด์อีกด้วย!
2022	เงินรายวัน	เข้าร่วมกิลด์จะได้รับเงินนี้ทุกวัน	คุยกับ <text style="73" path="159">[52500159]</text> ที่ Port Royal  เลือกรับเงินเดือนที่สามาถรรับได้ จำนวนเงินจะคิดตามระดับกิลด์และเลเวลกิลด์
2023	ระดับกิลด์	ยิ่งบริจาคให้กิลด์มากเท่าไหร่ ยิ่งทำให้ระดับกิลด์สูงเท่านั้น และระดับกิลด์สูงเท่าไหร่ ก็จะได้เงินรายวันมากเท่านั้น!	ทำภารกิจรายวันของกิลด์เสร็จสิ้นจะได้รับค่าความดี ใช้ไอเทมค่าความดีสามารถเพิ่มระดับกิลด์ผู้เล่นได้อีกด้วย เมื่อเพิ่มระดับกิลด์ สามารถได้รับพลังกิลด์และเงินเดือนเพิ่มขึ้น!
2024	คลังกิลด์	คลังที่ใช้ร่วมกับคนในกิลด์ด้วยกัน	คุยกับ <text style="73" path="159">[52500159]</text> ที่ Port Royal สามารถเปิดคลังกิลด์ได้
2025	ภารกิจกิลด์	ภารกิจที่สามารถรับได้ที่ Guild Island เท่านั้น	ทำภารกิจกิลด์สำเร็จไม่เพียงแค่ได้รับ EXP กับแต้มสกิลเท่านั้น ยังสามารถได้รับค่าความดีและไอเทม EXP กิลด์เพิ่มอีกด้วย เพื่อความพัฒนาของกิลด์และตนเอง เรามาพยายามทำภารกิจร่วมกันเถอะ!
2026	 Guild Island 	เมื่อกลิด์เลเวล 3 สามารถเข้า Guild Island ในหน้าการเดินเรือได้	ใน Guild Island มีภารกิจพิเศษและภารกิจขอพร ในขณะเดียวกันสามารถเล่นและฝากข้อความได้ใน Guild Island อีกด้วย!<br/>ถ้ามีสมาชิกจำนวนมาก ยังสามารถเรียก BOSS ออกมาต่อสู้ได้อีกด้วย!
2027	พลังกิลด์	พลังที่สะสมจากทุกคนในกิลด์ สามารถเพิ่มพลังและโบนัสอื่นๆให้กับตัวละครได้	เพิ่มระดับกิลด์และเพิ่ม【เลเวลกิลด์】 ส่วนตัว สามารถได้รับ【ค่าพลัง】 ผู้เล่นสามารถพัฒนาพลังกิลด์ ใช้ฟังก์ชั่นอัพเลเวล จะได้รับผลที่ดียิ่งขึ้น
2028	ขอพร	เมื่อเทพแห่งโชคส่งเสียง แต่ละวันสามารถขอพรได้ 1 อย่าง จะทำให้พรที่ท่านและเพื่อนในกิลด์หวังเป็นจริง!	คุยกับ Wishing Crystal ใน Guild Island สามารถเปิดหน้าขอพรได้ เมื่อออกจากระบบสัตว์เลี้ยงและลูกเรือของผู้เล่นจะเปิดภารกิจขึ้นใน Guild Island เพียงแค่สมาชิกกิลด์คนอื่นๆทำภารกิจสำเร็จ พรที่ผู้เล่นขอก็จะได้รับในวันต่อไป
3000	ตีบวกเครื่องสวมใส่	เครื่องสวมใส่สามารถนำมาตีบวก หรือย้ายค่าตีบวกไปอีกเครื่องสวมใส่นึงได้ และยังสามารถใช้วิธีการฝังประดับในการเสริมพลังเครื่องสวมใส่ได้อีกด้วย	เมื่อตัวละครเลเวลถึงจำนวนหนึ่งแล้ว ไปคุยกั<text style="73" path="797">[52500797]</text> ที่ Port Royal จะได้รับข้อมูลตีบวกเครื่องสวมใส่ สามารถเปิดหน้าต่างตีบวกผ่านฟังก์ชั่นเกี่ยวกับเครื่องสวมใส่ในเมนูหลักได้<br/>อธิบาย: <br/>(1)【 Sword Soul】 ที่อยู่ในช่องตีบวก เลเวลตีบวกของมันจะไปยังเครื่องสวมใส่ที่ผู้เล่นใส่อยู่【พร้อมกัน]<br/>(2) การตีบวกเครื่องป้องกันสามารถโอนย้ายไปยังเครื่องป้องกันอื่นๆได้<br/>(3) นำผลึกที่ได้จากการหลอมในถาดหลอม ฝังประดับลงไปในเครื่องสวมใส่ สามารถได้รับค่าสเตตัสอื่นๆเพิ่ม
3001	ย้อมสีเครื่องสวมใส่	ไอเทมรูปลักษณ์เครื่องประดับหัว เสื้อเกราะ กางเกง สามารถใช้Color Paintทำการย้อมสีได้	สามารถเปิดได้จาก【เมนูหลัก]<br/>อธิบาย: <br/>(1) สามารถเลือกสี แดง เขียว และฟ้า 3 สีนี้ในการย้อมสิ่งที่ต้องการ และกด【ยืนยัน】 สามารถเปลี่ยนสีเครื่องสวมใส่ได้ทันที <br/>(2) Color Paint ที่ต่างกันสามารถเลือกขอบเขตของสีได้ต่างกัน หากอยู่นอกขอบเขต สีที่เลือกจะแสดงให้เห็น แต่ไม่สามารถนำมาใช้จริงได้<br/>(3) คลิก【ยืนยัน】 1 ครั้ง จะเป็นการใช้ Color Paint 1 อัน สามารถย้อมสีเครื่องประดับหัว, เกราะและกางเกงที่สวมใส่อยู่ได้
3002	แยกเครื่องสวมใส่	สามารถนำเครื่องสวมใส่มาแยกเป็นธาตุได้ สามารถนำมาสร้างไอเทมที่มีความจำเป็นได้	เปิดหน้าต่างหลอมได้ผ่าน <text style="73" path="717"> [52500717] </text> ใน <text style="73"> [52300001] </text><br/>อธิบาย: <br/> (1) ผู้เล่นสามารถ 「เลือกคุณภาพไอเทม」 เพื่อนำไอเทมที่เลือกใส่ลงใน 【พื้นที่แยกไอเทม】 ให้เต็ม หากยังมีที่ว่าง สามารถเลือกเครื่องสวมใส่คุณภาพต่างกันมาใส่ให้เต็มได้<br/> (2) นำเครื่องสวมใส่ที่ต้องการในกระเป๋าลากลงใน 【พื้นที่แยกไอเทม】 โดยไม่กำหนดคุณภาพ หากช่องเต็มแล้วจะไม่สามารถนำมาใส่ได้อีก
3003	หลอมซ้ำ	สามารถนำเครื่องสวมใส่ที่ไม่ต้องการ 5 ชิ้นมาหลอมซ้ำเพื่อรับเครื่องสวมใส่ใหม่ 1 ชิ้น	เมื่อเลเวลตัวละครถึงตามกำหนดแล้ว สามารถไปหา <text style="73"> [52300001] </text> ที่ <text style="73" path="800"> [52500800] </text> เพื่อรับข้อมูลการหลอมซ้ำ สามารถเปิดหน้าต่างนี้ได้จาก <text style="73" path="800"> [52500800] </text><br/>อธิบาย: <br/> (1) นำเครื่องสวมใส่ที่ต้องการหลอมซ้ำลากลง [พื้นที่หลอมซ้ำ]<br/> (2) ลากเครื่องสวมใส่ลงในช่องให้เต็ม<br/> (3) คลิก 「ตกลง」 เพื่อทำการหลอมซ้ำ
3004	ประเมิน	เมื่อทำการประเมินไอเทมที่ยังไม่ผ่านการประเมินแล้ว จะได้รับไอเทมที่มีคุณภาพสูงยิ่งขึ้น	การลงดันเจี้ยนหรือฆ่ามอนสเตอร์ที่มีระดับดาวสูง มีโอกาสได้รับ Unidentified Item เมื่อได้รับสามารถไปคุยกับ <text style="73" path="162">[52500162]</text> ใน Port Royal สามารถเปิดฟังก์ชั่นประเมินได้ เลือก【ประเมิน】 ระบบจะเริ่มการประเมินทันที
