n_ID	s_TITLE_BUFF	s_DESCRIPTION	s_CACULATE
556	Accelerate	เพิ่มความเร็วในการเคลื่อนที่ $ADD_SPEED_RUN	ADD_SPEED_RUN(1)(1)
604	Iron Ball	ได้รับผลกระทบการบอลเหล็ก ลดความเร็วเคลื่อนที่ $ADD_SPEED_RUN	ADD_SPEED_RUN(1)(1)
1003	Close to your partner!	อยู่ห่างจากเพื่อน 2 เมตร สามารถทำการเก็บพลังได้ ไม่ต้องกลัวลูกไฟที่พุ่งเข้ามาทำร้าย!	
1004	Gather Courage	เก็บพลังกับเพื่อนเพื่อไม่ให้โดนโจมตี!	
1039	Swordplay	ท่านกำลังวาดลวดลาย!	
1870	Slow Speed	ส่งความเย็นให้เป้าหมายทำให้ความเร็วเคลื่อนที่ลดลง $ADD_SPEED_RUN	ADD_SPEED_RUN(1)(1)
2950	Joint Jump	ให้ผู้เล่นท่านอื่นช่วยท่านให้กระโดดสูงขึ้นอีกสิ!	
2951	Joint Jump	ท่านเตรียมพร้อมในการช่วยให้ผู้อื่นกระโดด	
2955	Magic Circle	เพื่อนในทีมกำลังใช้พลังวงแหวนในการย้ายท่านไปที่อื่น	
2960	Team Energy Call	ตอบกลับการ Team Energy Call ของเพื่อนในทีม สามารถฟื้นฟูค่าเวทย์ได้อย่างรวดเร็ว	
2961	Team Energy Call	เพิ่มความเร็วในการฟื้นฟูค่าเวทย์ $ADD_RECOVER_STAMINA เพิ่มค่าเวทย์สูงสุด $ADD_STAMINAMAX	ADD_RECOVER_STAMINA(1); ADD_STAMINAMAX(1)
2965	Team Defensive Call	เพิ่มพลังชีวิตสูงสุด $ADD_HPMAX ต้านมึนงง และต้านคำสาปเพิ่มขึ้น $ADD_ANTI_STUN	ADD_HPMAX(1)(1); ADD_ANTI_STUN(2)(1)
2966	Team Defensive Call	ตอบกลับการ Team Defensive Call ของเพื่อนในทีม สามารถเพิ่มค่าป้องกันให้กับเพื่อนในทีมได้	
2968	Team Attacking Call	พลังโจมตีกายภาพและโจมตีเวทย์เพิ่มขึ้น $ADD_DAMMIMAGIC	ADD_DAMMIPHYSICS(1)(1); ADD_DAMMIMAGIC(1)(1)
2969	Team Attacking Call	ตอบกลับการ Team Attacking Call ของเพื่อนในทีม สามารถเพิ่มค่าโจมตีได้	
2971	Sunbeam	เพื่อนในทีมต้องการให้ท่าน Sunbeam	
2972	Sunbeam	เพื่อนกำลังช่วยท่าน Sunbeam	
2975	Pray All	เพื่อนของท่านต้องการให้ท่านช่วยเหลือ เพื่อทำการ Pray All	
2976	Pray All	เพื่อนกำลังช่วยท่าน Pray All	
3003	Attack Strengthen	เพิ่มพลังโจมตี $ADD_DAMMIPHYSICS	ADD_DAMMIPHYSICS(1)(1)
3004	Defense Strengthen	เพิ่มพลังป้องกัน $ADD_AC_PHYSICS	ADD_AC_PHYSICS(1)(1)
3005	Provoke	ตัดสมาธิทำให้ท่านสูญเสียการป้องกัน\nลดพลังป้องกัน $ADD_AC_PHYSICS	ADD_AC_PHYSICS(1)(1)
3006	Break Point Bone	ผ่อนคลาย!\nเพิ่มพลังป้องกัน $ADD_AC_PHYSICS เพิ่มความเร็วในการเพิ่มเลือด $ADD_RECOVER_HP	ADD_AC_PHYSICS(1)(1); ADD_RECOVER_HP(1)(1)
3008	Black Fire Claw	เวทย์มนต์ดำและเล็บแห่งเพลิง\nเพิ่มโจมตีเวทย์	
3009	Etching	ทะลุเกราะ\nพลังป้องกันลดลง $ADD_AC_PHYSICS	ADD_AC_PHYSICS(1)(1)
3010	Bleed	บาดแผลของท่านเลือดออกเรื่อยๆ\nพลังชีวิตลดลงเรื่อยๆ	
3013	Rock turtleShield	กระดองที่แข็งแกร่งเพิ่มพลังห้องกัน $ADD_AC_PHYSICS แต้ม	ADD_AC_PHYSICS(1)(1)
3014	Iron Turtle Shield	กระดองที่แข็งแกร่งเพิ่มพลังห้องกัน $ADD_AC_PHYSICS แต้ม	ADD_AC_PHYSICS(1)(1)
3015	Slight Poisoning	ร่างกายรู้สึกไม่สบาย\nพลังชีวิตลดลงอย่างช้าๆ	
3016	Poisoning	ท่านถูกพิษ!\nพลังชีวิตกำลังลด	
3017	Great Venom	พิษจากเขี้ยวกำลังกลืนกินท่าน\nพลังชีวิตลดลงอย่างหนัก	
3018	Searing	ไฟที่ร้อนแรงลุกไหม้บนตัวท่าน\nพลังชีวิตลดลงอย่างช้าๆ	
3019	Burn	ตัวของท่านถูกเผาไหม้!\nพลังชีวิตกำลังลด	
3020	Flame Ridden	เปลวเพลิงร้อนแรงลุกเต็มตัวของท่าน!\nพลังชีวิตลดลงอย่างหนัก	
3021	Cold	ลมอันหนาวเหน็บทำให้ท่านตัวสั่น!\nพลังชีวิตลดลงช้าๆ ความเร็วเคลื่อนที่ลดลง 120	
3022	Frost	ร่างกายของท่านเริ่มแข็ง\nพลังชีวิตลดลงช้าๆ ความเร็วเคลื่อนที่ลดลง 120	
3023	Frozen	ร่างกายแข็งไม่ยอมทำตามคำสั่ง!\nพลังชีวิตลดลงอย่างมาก ความเร็วเคลื่อนที่ลดลง 120	
3025	Slow Speed	การก้าวขาของท่านหน่วงขึ้น ความเร็วเคลื่อนที่ลดลง $ADD_SPEED_RUN	ADD_SPEED_RUN(1)(1)
3026	Slow Speed	การก้าวขาของท่านหน่วงขึ้น ความเร็วเคลื่อนที่ลดลง $ADD_SPEED_RUN	ADD_SPEED_RUN(1)(1)
3027	Slow Speed	การก้าวขาของท่านหน่วงขึ้น ความเร็วเคลื่อนที่ลดลง $ADD_SPEED_RUN	ADD_SPEED_RUN(1)(1)
3031	Debilitating needle	ท่านถูกฉีดด้วยยาอะไรบางอย่าง\nความเร็วเคลื่อนที่ลดลง 300 พลัง กาย ลดว่องไว	
3032	Wraith Curse	ท่านถูกคำสาป!\nท่านโดนโจมตีตลอดเวลา, ความเร็วเคลื่อนที่ลดลง $ADD_SPEED_RUN	ADD_SPEED_RUN(1)(1)
3033	Float Bubble	ท่านถูกบอลขนาดใหญ่ล้อมลอบ ไม่สามารถยิงได้!	
3042	Judgement	สัญญาณแห่งความตายสว่างอยู่บนตัวท่าน!	
3043	Ice Barrier	เกราะน้ำแข็งทำให้ท่านไม่สามารถเคลื่อนที่ได้!\nความเร็วเคลื่อนที่ลดลง 	ADD_SPEED_RUN(1)(1)
3044	Slow Speed	การก้าวขาของท่านหน่วงขึ้น ความเร็วเคลื่อนที่ลดลง $ADD_SPEED_RUN	ADD_SPEED_RUN(1)(1)
3045	Slow Speed	การก้าวขาของท่านหน่วงขึ้น ความเร็วเคลื่อนที่ลดลง $ADD_SPEED_RUN	ADD_SPEED_RUN(1)(1)
3046	Slow Speed	การก้าวขาของท่านหน่วงขึ้น ความเร็วเคลื่อนที่ลดลง $ADD_SPEED_RUN	ADD_SPEED_RUN(1)(1)
3047	Slow Speed	การก้าวขาของท่านหน่วงขึ้น ความเร็วเคลื่อนที่ลดลง $ADD_SPEED_RUN	ADD_SPEED_RUN(1)(1)
3048	Slow Speed	การก้าวขาของท่านหน่วงขึ้น ความเร็วเคลื่อนที่ลดลง $ADD_SPEED_RUN	ADD_SPEED_RUN(1)(1)
3049	Slow Speed	การก้าวขาของท่านหน่วงขึ้น ความเร็วเคลื่อนที่ลดลง $ADD_SPEED_RUN	ADD_SPEED_RUN(1)(1)
3053	Hallow	พลังจากนรกมาครอบงำท่านไว้	
3081	Icy Hell	น้ำ/น้ำลดความเร็ว ทำให้ความเร็วเคลื่อนที่ลดลง $ADD_SPEED_RUN	ADD_SPEED_RUN(1)(1)
3093	Ice Critical	ป้องกันเวทย์ลดลง	
3094	Polar Blessing	เพิ่มพลังป้องกัน และความเร็วในการฟื้นฟูพลังชีวิต	
5104	Lydiana Melody	เสียงเพลงอันไพรเราะ ช่วยให้ท่านผ่อนคลาย\nเพิ่มอัตราต้านมึนงง, เพิ่มอัตราต้านคำสาป, เพิ่มอัตราหลบหลีก	
5105	Lydiana Melody	เสียงเพลงอันไพรเราะ ช่วยให้ท่านผ่อนคลาย\nเพิ่มความเร็วเคลื่อนที่, เพิ่มความเร็วในการฟื้นฟูค่าเวทย์	
5122	Destroy Atom	เพิ่มค่าพลัง $ADD_STRENGH	ADD_STRENGH(1)(1)
5123	Cold Ice Crystal	เพิ่มค่าว่องไว $ADD_AGILITY	ADD_AGILITY(1)(1)
5124	Seven Sea Pearl	เพิ่มค่าปัญญา $ADD_INTELLECT	ADD_INTELLECT(1)(1)
5125	Paine Bottle	เพิ่มค่ารู้สึก $ADD_PERCEPTION	ADD_PERCEPTION(1)(1)
5138	#Treasure-Impersonate Tree	แปลงร่างเป็นต้นไม้	
5139	#Treasure-Fort	แปลงร่างเป็นปืนใหญ่	
5140	#Treasure-Spring Bed	แปลงร่างเป็นเตียงสปริง	
5141	#Treasure-Alert Jump	Bounce!	
5142	#Treasure-Repent	คุกเข่า!	
5143	#Treasure-Repent	คุกเข่า!	
5161	Christmas Guard	เมอร์รี่คริสต์มาส!\nเพิ่มค่าเวทย์ 2 หน่วย	
6601	Viciously Of wind Lv.1	เพิ่มค่าพลัง $ADD_STRENGH\nเพิ่ม HP สูงสุด $ADD_HPMAX	ADD_STRENGH(1)\nADD_HPMAX(1)
6602	Protect Of Brave Lv.1	เพิ่มค่ากาย $ADD_CONSITUTION\nเพิ่ม HP สูงสุด $ADD_HPMAX	ADD_CONSITUTION(1)\nADD_HPMAX(1)
6603	Curvet Of Horn Lv.1	เพิ่มค่าว่องไว $ADD_AGILITY\nเพิ่ม HP สูงสุด $ADD_HPMAX	ADD_AGILITY(1)\nADD_HPMAX(1)
6604	Lv1Soul Of Protect	เพิ่มค่ารู้สึก $ADD_PERCEPTION\nเพิ่ม HP สูงสุด $ADD_HPMAX	ADD_PERCEPTION(1)\nADD_HPMAX(1)
6605	Civilization Of World Lv.1	เพิ่มค่าปัญญา $ADD_INTELLECT\nเพิ่ม HP สูงสุด $ADD_HPMAX	ADD_INTELLECT(1)\nADD_HPMAX(1)
6606	Attention Rum Lv.1	เพิ่มอัตราแม่นยำ $ADD_HITRATE%\nเพิ่ม HP สูงสุด $ADD_HPMAX	ADD_HITRATE(2)\nADD_HPMAX(1)
6607	Swallow Nest Rum Lv.1	เพิ่มอัตราหลบหลีก $ADD_DODGE%\nเพิ่ม HP สูงสุด $ADD_HPMAX	ADD_DODGE(2)\nADD_HPMAX(1)
6608	Mad Rum Lv.1	เพิ่มอัตราคริติคอล $ADD_POWERHIT%\nเพิ่ม HP สูงสุด $ADD_HPMAX	ADD_POWERHIT(2)\nADD_HPMAX(1)
6609	Devil Rum Lv.1	เพิ่มอัตราต้านคริติคอล $ADD_ANTI_POWERHIT%\nเพิ่ม HP สูงสุด $ADD_HPMAX	ADD_ANTI_POWERHIT(2)\nADD_HPMAX(1)
6610	Attention Rum Lv.2	เพิ่มอัตราแม่นยำ $ADD_HITRATE%\nเพิ่ม HP สูงสุด $ADD_HPMAX	ADD_HITRATE(2)\nADD_HPMAX(1)
6611	Swallow Nest Rum Lv.2	เพิ่มอัตราหลบหลีก $ADD_DODGE%\nเพิ่ม HP สูงสุด $ADD_HPMAX	ADD_DODGE(2)\nADD_HPMAX(1)
6612	Mad Rum Lv.2	เพิ่มอัตราคริติคอล $ADD_POWERHIT%\nเพิ่ม HP สูงสุด $ADD_HPMAX	ADD_POWERHIT(2)\nADD_HPMAX(1)
6613	Devil Rum Lv.2	เพิ่มอัตราต้านคริติคอล $ADD_ANTI_POWERHIT%\nเพิ่ม HP สูงสุด $ADD_HPMAX	ADD_ANTI_POWERHIT(2)\nADD_HPMAX(1)
6614	Attention Rum Lv.3	เพิ่มอัตราแม่นยำ $ADD_HITRATE%\nเพิ่ม HP สูงสุด $ADD_HPMAX	ADD_HITRATE(2)\nADD_HPMAX(1)
6615	Swallow Nest Rum Lv.3	เพิ่มอัตราหลบหลีก $ADD_DODGE%\nเพิ่ม HP สูงสุด $ADD_HPMAX	ADD_DODGE(2)\nADD_HPMAX(1)
6616	Mad Rum Lv.3	เพิ่มอัตราคริติคอล $ADD_POWERHIT%\nเพิ่ม HP สูงสุด $ADD_HPMAX	ADD_POWERHIT(2)\nADD_HPMAX(1)
6617	Devil Rum Lv.3	เพิ่มอัตราต้านคริติคอล $ADD_ANTI_POWERHIT%\nเพิ่ม HP สูงสุด $ADD_HPMAX	ADD_ANTI_POWERHIT(2)\nADD_HPMAX(1)
6618	Forest Protect	เพิ่มค่าพลัง $ADD_STRENGH\nเพิ่ม HP สูงสุด $ADD_HPMAX	ADD_STRENGH(1)\nADD_HPMAX(1)
6619	Poseidon Protect	เพิ่มค่ากาย $ADD_CONSITUTION\nเพิ่ม HP สูงสุด $ADD_HPMAX	ADD_CONSITUTION(1)\nADD_HPMAX(1)
6620	Deep sea Protect	เพิ่มค่าว่องไว $ADD_AGILITY\nเพิ่ม HP สูงสุด $ADD_HPMAX	ADD_AGILITY(1)\nADD_HPMAX(1)
6621	Purgatory Protect	เพิ่มค่ารู้สึก $ADD_PERCEPTION\nเพิ่ม HP สูงสุด $ADD_HPMAX	ADD_PERCEPTION(1)\nADD_HPMAX(1)
6622	Sky Protect	เพิ่มค่าปัญญา $ADD_INTELLECT\nเพิ่ม HP สูงสุด $ADD_HPMAX	ADD_INTELLECT(1)\nADD_HPMAX(1)
6623	Event Brew Lv.1	เพิ่มสเตตัสทั้งหมด $ADD_INTELLECT แต้ม	ADD_INTELLECT(1)
6624	Event Brew Lv.2	เพิ่มสเตตัสทั้งหมด $ADD_INTELLECT แต้ม	ADD_INTELLECT(1)
6625	Event Brew Lv.3	เพิ่มสเตตัสทั้งหมด $ADD_INTELLECT แต้ม	ADD_INTELLECT(1)
6626	Event Brew Lv.4	เพิ่มสเตตัสทั้งหมด $ADD_INTELLECT แต้ม	ADD_INTELLECT(1)
6627	Event Brew Lv.5	เพิ่มสเตตัสทั้งหมด $ADD_INTELLECT แต้ม	ADD_INTELLECT(1)
6628	Event Brew Lv.6	เพิ่มสเตตัสทั้งหมด $ADD_INTELLECT แต้ม	ADD_INTELLECT(1)
6629	Event Brew Lv.7	เพิ่มสเตตัสทั้งหมด $ADD_INTELLECT แต้ม	ADD_INTELLECT(1)
6630	Event Brew Lv.8	เพิ่มสเตตัสทั้งหมด $ADD_INTELLECT แต้ม	ADD_INTELLECT(1)
6631	Event Brew Lv.9	เพิ่มสเตตัสทั้งหมด $ADD_INTELLECT แต้ม	ADD_INTELLECT(1)
6632	Event Brew Lv.10	เพิ่มสเตตัสทั้งหมด $ADD_INTELLECT แต้ม	ADD_INTELLECT(1)
6633	Ono Plum	เพิ่มค่าพลัง $ADD_STRENGH	ADD_STRENGH(1)
6634	Green Honey Nut	เพิ่มค่าว่องไว $ADD_AGILITY	ADD_AGILITY(1)
6635	Cape Mount Banana	เพิ่มค่ากาย$ADD_CONSITUTION	ADD_CONSITUTION(1)
6636	Pear	เพิ่มค่าปัญญา$ADD_INTELLECT	ADD_INTELLECT(1)
6637	Loquat Fruit	เพิ่มค่ารู้สึก $ADD_PERCEPTION	ADD_PERCEPTION(1)
6638	Primary Potion Lv.1	เพิ่มอัตราคริติคอล $ADD_POWERHIT%	ADD_POWERHIT(2)
6639	Primary Potion Lv.2	เพิ่มอัตราคริติคอล $ADD_POWERHIT%	ADD_POWERHIT(2)
6640	Primary Potion Lv.3	เพิ่มอัตราคริติคอล $ADD_POWERHIT%	ADD_POWERHIT(2)
6641	Chaotic Potion Lv.1	เพิ่มอัตราคริติคอล $ADD_MULTIPLY_POWERDAM	ADD_MULTIPLY_POWERDAM(2)
6642	Chaotic Potion Lv.2	เพิ่มอัตราคริติคอล $ADD_MULTIPLY_POWERDAM	ADD_MULTIPLY_POWERDAM(2)
6643	Chaotic Potion Lv.3	เพิ่มอัตราคริติคอล $ADD_MULTIPLY_POWERDAM	ADD_MULTIPLY_POWERDAM(2)
6644	Sky Mirror Potion Lv.1	เพิ่มอัตราแม่นยำ$ADD_HITRATE%	ADD_HITRATE(2)
6645	Sky Mirror Potion Lv.2	เพิ่มอัตราแม่นยำ$ADD_HITRATE%	ADD_HITRATE(2)
6646	Sky Mirror Potion Lv.3	เพิ่มอัตราแม่นยำ$ADD_HITRATE%	ADD_HITRATE(2)
6647	Adroit Potion Lv.1	เพิ่มอัตราหลบหลีก$ADD_DODGE%	ADD_DODGE(2)
6648	Adroit Potion Lv.2	เพิ่มอัตราหลบหลีก$ADD_DODGE%	ADD_DODGE(2)
6649	Adroit Potion Lv.3	เพิ่มอัตราหลบหลีก$ADD_DODGE%	ADD_DODGE(2)
6650	Pumpkin Wine	สเตตัสทั้งหมด +$ADD_STRENGH	ADD_STRENGH(1)
6651	Christmas Wine	สเตตัสทั้งหมด +$ADD_STRENGH	ADD_STRENGH(1)
6652	Attention Rum Lv.4	เพิ่มอัตราแม่นยำ$ADD_HITRATE%\nเพิ่ม HP สูงสุด $ADD_HPMAX	ADD_HITRATE(2)\nADD_HPMAX(1)
6653	Swallow Nest Rum Lv.4	เพิ่มอัตราหลบหลีก$ADD_DODGE%\nเพิ่ม HP สูงสุด $ADD_HPMAX	ADD_DODGE(2)\nADD_HPMAX(1)
6654	Mad Rum Lv.4	เพิ่มอัตราคริติคอล $ADD_POWERHIT%\nเพิ่ม HP สูงสุด $ADD_HPMAX	ADD_POWERHIT(2)\nADD_HPMAX(1)
6655	Devil Rum Lv.4	เพิ่มอัตราต้านคริติคอล $ADD_ANTI_POWERHIT%\nเพิ่ม HP สูงสุด $ADD_HPMAX	ADD_ANTI_POWERHIT(2)\nADD_HPMAX(1)
6656	Attention Rum Lv.5	เพิ่มอัตราแม่นยำ$ADD_HITRATE%\nเพิ่ม HP สูงสุด $ADD_HPMAX	ADD_HITRATE(2)\nADD_HPMAX(1)
6657	Swallow Nest Rum Lv.5	เพิ่มอัตราหลบหลีก$ADD_DODGE%\nเพิ่ม HP สูงสุด $ADD_HPMAX	ADD_DODGE(2)\nADD_HPMAX(1)
6658	Mad Rum Lv.5	เพิ่มอัตราคริติคอล $ADD_POWERHIT%\nเพิ่ม HP สูงสุด $ADD_HPMAX	ADD_POWERHIT(2)\nADD_HPMAX(1)
6659	Devil Rum Lv.5	เพิ่มอัตราต้านคริติคอล $ADD_ANTI_POWERHIT%\nเพิ่ม HP สูงสุด $ADD_HPMAX	ADD_ANTI_POWERHIT(2)\nADD_HPMAX(1)
6660	Viciously Of wind Lv.2	เพิ่มค่าพลัง $ADD_STRENGH\nเพิ่ม HP สูงสุด $ADD_HPMAX	ADD_STRENGH(1)\nADD_HPMAX(1)
6661	Protect Of Brave Lv.2	เพิ่มค่ากาย$ADD_CONSITUTION\nเพิ่ม HP สูงสุด $ADD_HPMAX	ADD_CONSITUTION(1)\nADD_HPMAX(1)
6662	Curvet Of Horn Lv.2	เพิ่มค่าว่องไว $ADD_AGILITY\nเพิ่ม HP สูงสุด $ADD_HPMAX	ADD_AGILITY(1)\nADD_HPMAX(1)
6663	Soul Of Protect Lv.2	เพิ่มค่ารู้สึก $ADD_PERCEPTION\nเพิ่ม HP สูงสุด $ADD_HPMAX	ADD_PERCEPTION(1)\nADD_HPMAX(1)
6664	Civilization Of World Lv.2	เพิ่มค่าปัญญา$ADD_INTELLECT\nเพิ่ม HP สูงสุด $ADD_HPMAX	ADD_INTELLECT(1)\nADD_HPMAX(1)
6665	Viciously Of wind Lv.3	เพิ่มค่าพลัง $ADD_STRENGH\nเพิ่ม HP สูงสุด $ADD_HPMAX	ADD_STRENGH(1)\nADD_HPMAX(1)
6666	Protect Of Brave Lv.3	เพิ่มค่ากาย$ADD_CONSITUTION\nเพิ่ม HP สูงสุด $ADD_HPMAX	ADD_CONSITUTION(1)\nADD_HPMAX(1)
6667	Curvet Of Horn Lv.3	เพิ่มค่าว่องไว $ADD_AGILITY\nเพิ่ม HP สูงสุด $ADD_HPMAX	ADD_AGILITY(1)\nADD_HPMAX(1)
6668	Soul Of Protect Lv.3	เพิ่มค่ารู้สึก $ADD_PERCEPTION\nเพิ่ม HP สูงสุด $ADD_HPMAX	ADD_PERCEPTION(1)\nADD_HPMAX(1)
6669	Civilization Of World Lv.3	เพิ่มค่าปัญญา$ADD_INTELLECT\nเพิ่ม HP สูงสุด $ADD_HPMAX	ADD_INTELLECT(1)\nADD_HPMAX(1)
6670	Viciously Of wind Lv.4	เพิ่มค่าพลัง $ADD_STRENGH\nเพิ่ม HP สูงสุด $ADD_HPMAX	ADD_STRENGH(1)\nADD_HPMAX(1)
6671	Protect Of Brave Lv.4	เพิ่มค่ากาย$ADD_CONSITUTION\nเพิ่ม HP สูงสุด $ADD_HPMAX	ADD_CONSITUTION(1)\nADD_HPMAX(1)
6672	Curvet Of Horn Lv.4	เพิ่มค่าว่องไว $ADD_AGILITY\nเพิ่ม HP สูงสุด $ADD_HPMAX	ADD_AGILITY(1)\nADD_HPMAX(1)
6673	Soul Of Protect Lv.4	เพิ่มค่ารู้สึก $ADD_PERCEPTION\nเพิ่ม HP สูงสุด $ADD_HPMAX	ADD_PERCEPTION(1)\nADD_HPMAX(1)
6674	Civilization Of World Lv.4	เพิ่มค่าปัญญา$ADD_INTELLECT\nเพิ่ม HP สูงสุด $ADD_HPMAX	ADD_INTELLECT(1)\nADD_HPMAX(1)
6675	Viciously Of wind Lv.5	เพิ่มค่าพลัง $ADD_STRENGH\nเพิ่ม HP สูงสุด $ADD_HPMAX	ADD_STRENGH(1)\nADD_HPMAX(1)
6676	Protect Of Brave Lv.5	เพิ่มค่ากาย$ADD_CONSITUTION\nเพิ่ม HP สูงสุด $ADD_HPMAX	ADD_CONSITUTION(1)\nADD_HPMAX(1)
6677	Curvet Of Horn Lv.5	เพิ่มค่าว่องไว $ADD_AGILITY\nเพิ่ม HP สูงสุด $ADD_HPMAX	ADD_AGILITY(1)\nADD_HPMAX(1)
6678	Soul Of Protect Lv.5	เพิ่มค่ารู้สึก $ADD_PERCEPTION\nเพิ่ม HP สูงสุด $ADD_HPMAX	ADD_PERCEPTION(1)\nADD_HPMAX(1)
6679	Civilization Of World Lv.5	เพิ่มค่าปัญญา$ADD_INTELLECT\nเพิ่ม HP สูงสุด $ADD_HPMAX	ADD_INTELLECT(1)\nADD_HPMAX(1)
8013	Cold Chill	Cold Chill ขังท่านไว้ หยุดการฟื้นฟูค่าเวทย์ และความเร็วเคลื่อนที่ลดลง 	
8014	Venom	Venom ที่น่าขยะแขยง ทำให้ท่ายรู้สึกไม่สบาย	
8015	Searing	อากาสร้อนรุ่ม ทำให้ท่ายรู้สึกไม่สบาย	
8016	Magma	ลาวาอันร้อนระอุ มันอาจชีวิตไปจากท่านได้	
8027	Hammer of Judgment - Tester	ใช้อาวุธที่ทหารเรือให้มาโจมตีนักโทษที่อยู่ในคุก	
8104	Sprint	เพิ่มความเร็วปืนใหญ่ 25% เป็นเวลา 5 วินาที	
8105	Red Team	ทีมแดง	
8106	Blue Team	ทีมน้ำเงิน	
8142	Reduce Damage	ลดความเสียหายที่ได้รับ -50%	
8500	NPC will turn into monster team-Permanent		
8501	NPC will turn into monster team-60 Second		
8502	NPC will turn into monster team-30 Second		
8503	NPC will turn into monster team-20 Second		
8504	NPC will turn into target(Non battle type)		
8505	NPC  will turn into target(battle type)		
8506	Transport Seafood	ท่านกำลังแล่นเรือส่งของ\nหากกระโดด, น้ำเข้า หรือใช้สกิล สินค้าจะตกลงพื้น	
8507	I'm Cheer Beer Girl	สเน่ห์เหลือร้าย	
8508	Ego Original Sin	พลังของท่านลดลง, จิตใจอ่อนแอ ทำให้ความเร็วเคลื่อนที่ลดลง 	
8509	Unsavory	จะตายอยู่แล้ว!	
8510	Transport Spice Barrel	ท่านกำลังแล่นเรือส่งของ\nหากกระโดด, น้ำเข้า หรือใช้สกิล สินค้าจะตกลงพื้น	
8511	Slave Prince	ราชาที่เป็นทาส มีเกียรติสูงส่ง แต่ถึงยังไงก็เป็นทาส	
8512	Transport Stowaway	ท่านกำลังแล่นเรือส่งของ\nหากกระโดด, น้ำเข้า หรือใช้สกิล สินค้าจะตกลงพื้น	
8513	Gunpowder 1	บนตัวท่านมีแต่เขม่าดินปืน	
8514	Gunpowder 2	บนตัวท่านมีแต่เขม่าดินปืน	
8515	Gunpowder 3	บนตัวท่านมีแต่เขม่าดินปืน	
8516	Transport Black market Spice Barrel	ท่านกำลังแล่นเรือส่งของ\nหากกระโดด, น้ำเข้า หรือใช้สกิล สินค้าจะตกลงพื้น	
8517	Advanced Harem Impersonate	ท่านกำลังสองจิตสองใจว่าจะตกหลุมรักตัวเองรึเปล่า	
8518	Beginner Harem Impersonate	อย่าไปส่องกระจก บอกแล้วว่าอย่าไป!	
8519	Transport Poseidon Gold	ท่านกำลังแล่นเรือส่งของ\nหากกระโดด, น้ำเข้า หรือใช้สกิล สินค้าจะตกลงพื้น	
8520	Transport Private Gold	ท่านกำลังแล่นเรือส่งของ\nหากกระโดด, น้ำเข้า หรือใช้สกิล สินค้าจะตกลงพื้น	
8521	Ancestral Spirit Guard	ท่าถูกคุ้มครอง	
8522	I'm Pirate Princess	ท่านและเจ้าหญิงAngelinaดูแล้วแยกไม่ออกเลย	
8523	Zero Degree EXP 	Cold Chill ขังท่านไว้ หยุดการฟื้นฟูค่าเวทย์ และความเร็วเคลื่อนที่ลดลง 	
8524	Transport Unsalable Spice Barrel	ท่านกำลังแล่นเรือส่งของ\nหากกระโดด, น้ำเข้า หรือใช้สกิล สินค้าจะตกลงพื้น	
8525	Food Poisoning	ท่านรู้สึกว่าร่างกายไม่ปกติ	
8526	Transport Tinderbox	ท่านกำลังแล่นเรือส่งของ\nหากกระโดด, น้ำเข้า หรือใช้สกิล สินค้าจะตกลงพื้น	
8527	Blast Break Spell	พายุล้อมรอบตัวท่าน	
