n_ID	s_SENTENCE1	s_SENTENCE2	s_SENTENCE3
18	พลังจากพ่อที่ถ่ายทอดให้ข้า คือพลังสำหรับการช่วยเหลือเจ้า	พลังจากพ่อที่ถ่ายทอดให้ข้า คือพลังสำหรับการช่วยเหลือเจ้า	พลังจากพ่อที่ถ่ายทอดให้ข้า คือพลังสำหรับการช่วยเหลือเจ้า
19			
20			
21			
22			
23			
24			
25			
26			
27			
28			
29			
30			
31			
32			
33			
34			
35			
36			
37			
38			
39			
40			
41			
42			
43			
44	ฮ่าๆๆๆ! คิดไม่ถึงเลยว่าเจ้าจะมาถึงขั้นนี้ได้...	ฮ่าๆๆๆ! คิดไม่ถึงเลยว่าเจ้าจะมาถึงขั้นนี้ได้...	ฮ่าๆๆๆ! คิดไม่ถึงเลยว่าเจ้าจะมาถึงขั้นนี้ได้...
45	ถึงแม้ว่าจะเป็นเทพเจ้าก็ไม่สามารถย้อนเวลากลับไปได้...	ถึงแม้ว่าจะเป็นเทพเจ้าก็ไม่สามารถย้อนเวลากลับไปได้...	ถึงแม้ว่าจะเป็นเทพเจ้าก็ไม่สามารถย้อนเวลากลับไปได้...
46	แต่ตอนนี้ข้าไม่สนใจอะไรทั้งนั้น	แต่ตอนนี้ข้าไม่สนใจอะไรทั้งนั้น	แต่ตอนนี้ข้าไม่สนใจอะไรทั้งนั้น
47	Poseidon Instrument สำหรับข้าแล้วก็ไม่ได้มีค่าอะไรมากมาย เจ้ารับไปเถอะ	Poseidon Instrument สำหรับข้าแล้วก็ไม่ได้มีค่าอะไรมากมาย เจ้ารับไปเถอะ	Poseidon Instrument สำหรับข้าแล้วก็ไม่ได้มีค่าอะไรมากมาย เจ้ารับไปเถอะ
48	เจ้าช้าไปหน่อยมั้ง! ที่นี่ไม่มีความมั่นคงเลยสักนิด	เจ้าช้าไปหน่อยมั้ง! ที่นี่ไม่มีความมั่นคงเลยสักนิด	เจ้าช้าไปหน่อยมั้ง! ที่นี่ไม่มีความมั่นคงเลยสักนิด
49	รีบกำจัด Sea Phantom ซะสิ ไม่งั้นจะถูกบังคับให้ส่งกลับทันที	รีบกำจัด Sea Phantom ซะสิ ไม่งั้นจะถูกบังคับให้ส่งกลับทันที	รีบกำจัด Sea Phantom ซะสิ ไม่งั้นจะถูกบังคับให้ส่งกลับทันที
50	ข้าจะคอยช่วยเหลือเจ้า ขอเจ้า...อย่ายอมแพ้...	ข้าจะคอยช่วยเหลือเจ้า ขอเจ้า...อย่ายอมแพ้...	ข้าจะคอยช่วยเหลือเจ้า ขอเจ้า...อย่ายอมแพ้...
51	บ่อแห่งชีวิต!	อย่าโอเวอร์น่า ข้าจะช่วยเจ้าเอง!	จิตในแห่งท้องสมุทร แก่นแท้ของชีวิต พลังของข้า จงช่วยรักษา....!
52	ข้าขออุทิศให้!	อย่าโอเวอร์น่า ข้าจะช่วยเจ้าเอง!	จิตในแห่งท้องสมุทร แก่นแท้ของชีวิต พลังของข้า จงช่วยรักษา....!
53	มาแล้วเหรอ...ชอบขัดจังหวะข้าอยู่เรื่อย	มาแล้วเหรอ...ชอบขัดจังหวะข้าอยู่เรื่อย	มาแล้วเหรอ...ชอบขัดจังหวะข้าอยู่เรื่อย
54	วันนี้จะเป็นวันตัดสินของเราทั้งสอง	วันนี้จะเป็นวันตัดสินของเราทั้งสอง	วันนี้จะเป็นวันตัดสินของเราทั้งสอง
55	หวังว่าเจ้าจะแกร่งกว่า Carlos นะ ....อย่าทำให้ผิดหวังล่ะ!	หวังว่าเจ้าจะแกร่งกว่า Carlos นะ ....อย่าทำให้ผิดหวังล่ะ!	หวังว่าเจ้าจะแกร่งกว่า Carlos นะ ....อย่าทำให้ผิดหวังล่ะ!
56	อาวุธทั้งหลายจงฟังคำสั่งข้า จงกำจัดสิ่งที่ขวางหน้าทั้งหมด!	อาวุธทั้งหลายจงฟังคำสั่งข้า จงกำจัดสิ่งที่ขวางหน้าทั้งหมด!	อาวุธทั้งหลายจงฟังคำสั่งข้า จงกำจัดสิ่งที่ขวางหน้าทั้งหมด!
