n_ID	n_LEVEL_MIN	n_LEVEL_MAX	n_TYPE	n_ITEM_1	n_WEIGHT_1	n_NUMBER_1	n_ITEM_2	n_WEIGHT_2	n_NUMBER_2	n_ITEM_3	n_WEIGHT_3	n_NUMBER_3	n_ITEM_4	n_WEIGHT_4	n_NUMBER_4	n_ITEM_5	n_WEIGHT_5	n_NUMBER_5	n_ITEM_6	n_WEIGHT_6	n_NUMBER_6	n_ITEM_7	n_WEIGHT_7	n_NUMBER_7	n_ITEM_8	n_WEIGHT_8	n_NUMBER_8	n_ITEM_9	n_WEIGHT_9	n_NUMBER_9	n_ITEM_10	n_WEIGHT_10	n_NUMBER_10	n_ITEM_11	n_WEIGHT_11	n_NUMBER_11	n_ITEM_12	n_WEIGHT_12	n_NUMBER_12	n_ITEM_13	n_WEIGHT_13	n_NUMBER_13	n_ITEM_14	n_WEIGHT_14	n_NUMBER_14	n_ITEM_15	n_WEIGHT_15	n_NUMBER_15	n_ITEM_16	n_WEIGHT_16	n_NUMBER_16	n_ITEM_17	n_WEIGHT_17	n_NUMBER_17	n_ITEM_18	n_WEIGHT_18	n_NUMBER_18	n_ITEM_19	n_WEIGHT_19	n_NUMBER_19	n_ITEM_20	n_WEIGHT_20	n_NUMBER_20	n_ITEM_21	n_WEIGHT_21	n_NUMBER_21	n_ITEM_22	n_WEIGHT_22	n_NUMBER_22	n_ITEM_23	n_WEIGHT_23	n_NUMBER_23	n_ITEM_24	n_WEIGHT_24	n_NUMBER_24	n_ITEM_25	n_WEIGHT_25	n_NUMBER_25	n_ITEM_26	n_WEIGHT_26	n_NUMBER_26	n_ITEM_27	n_WEIGHT_27	n_NUMBER_27	n_ITEM_28	n_WEIGHT_28	n_NUMBER_28	n_ITEM_29	n_WEIGHT_29	n_NUMBER_29	n_ITEM_30	n_WEIGHT_30	n_NUMBER_30
1001	1	30	8	2401006	350	5	2401151	200	1	2401151	100	2	2401151	50	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2400755	50	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1002	31	50	8	2401007	250	5	2401152	150	1	2401152	100	2	2401152	50	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2400755	50	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1003	51	65	8	2401008	150	5	2401153	150	1	2401153	100	2	2401153	50	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2400756	50	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1004	66	80	8	2401009	150	5	2401154	150	1	2401154	100	2	2401154	50	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2400756	50	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1005	81	90	8	2401010	150	5	2401155	150	1	2401155	100	2	2401155	50	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2400757	50	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1006	91	100	8	2401011	150	5	2401156	150	1	2401156	100	2	2401156	50	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2400758	50	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1007	101	110	8	2401012	150	5	2401157	150	1	2401157	100	2	2401157	50	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2400759	50	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1008	111	999	8	2401013	150	5	2401158	150	1	2401158	100	2	2401158	50	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2400760	50	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1101	1	30	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2600005	100	1	0	0	0	2605001	100	1	0	0	0	0	0	0	3510010	25	1	3510011	25	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1102	31	50	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2600005	100	1	0	0	0	2605001	100	1	0	0	0	0	0	0	3510010	25	1	3510011	25	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1103	51	65	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2600005	100	1	0	0	0	2605001	100	1	0	0	0	0	0	0	3510010	25	1	3510011	25	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1104	66	80	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2600005	100	1	0	0	0	2605001	100	1	0	0	0	0	0	0	3510010	25	1	3510011	25	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1105	81	90	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2600005	100	1	0	0	0	2605001	100	1	0	0	0	0	0	0	3510010	25	1	3510011	25	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1106	91	100	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2600005	100	1	0	0	0	2605001	100	1	0	0	0	0	0	0	3510010	25	1	3510011	25	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1107	101	110	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2600005	100	1	0	0	0	2605001	100	1	0	0	0	0	0	0	3510010	25	1	3510011	25	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1108	111	999	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2600005	100	1	0	0	0	2605001	100	1	0	0	0	0	0	0	3510010	25	1	3510011	25	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1201	1	30	10	2401006	350	5	2401151	200	1	2401151	100	2	2401151	50	3	2400701	100	1	0	0	0	0	0	0	0	0	0	0	0	0	2400755	200	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1202	31	50	10	2401007	250	5	2401152	150	1	2401152	100	2	2401152	50	3	2400702	100	1	0	0	0	0	0	0	0	0	0	2600091	100	1	2400755	200	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1203	51	65	10	2401008	150	5	2401153	150	1	2401153	100	2	2401153	50	3	2400703	100	1	0	0	0	0	0	0	0	0	0	2600091	100	1	2400756	200	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1204	66	80	10	2401009	150	5	2401154	150	1	2401154	100	2	2401154	50	3	2400704	100	1	0	0	0	0	0	0	0	0	0	2600092	100	1	2400756	200	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1205	81	90	10	2401010	150	5	2401155	150	1	2401155	100	2	2401155	50	3	2400705	100	1	0	0	0	0	0	0	0	0	0	2600092	100	1	2400757	200	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1206	91	100	10	2401011	150	5	2401156	150	1	2401156	100	2	2401156	50	3	2400706	100	1	0	0	0	0	0	0	0	0	0	2600093	100	1	2400758	200	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1207	101	110	10	2401012	150	5	2401157	150	1	2401157	100	2	2401157	50	3	2400707	100	1	0	0	0	0	0	0	0	0	0	2600093	100	1	2400759	200	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1208	111	999	10	2401013	150	5	2401158	150	1	2401158	100	2	2401158	50	3	2400708	100	1	0	0	0	0	0	0	0	0	0	2600094	100	1	2400760	200	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1301	1	30	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2600005	50	2	2605001	100	1	0	0	0	0	0	0	3510010	25	1	3510011	25	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1302	31	50	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2600005	50	2	2605001	100	1	0	0	0	0	0	0	3510010	25	1	3510011	25	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1303	51	65	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2600005	50	2	2605001	100	1	0	0	0	0	0	0	3510010	25	1	3510011	25	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1304	66	80	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2600005	50	2	2605001	100	1	0	0	0	0	0	0	3510010	25	1	3510011	25	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1305	81	90	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2600005	50	2	2605001	100	1	0	0	0	0	0	0	3510010	25	1	3510011	25	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1306	91	100	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2600005	50	2	2605001	100	1	0	0	0	0	0	0	3510010	25	1	3510011	25	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1307	101	110	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2600005	50	2	2605001	100	1	0	0	0	0	0	0	3510010	25	1	3510011	25	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1308	111	999	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2600005	50	2	2605001	100	1	0	0	0	0	0	0	3510010	25	1	3510011	25	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1401	1	30	12	2401006	350	5	2401151	200	1	2401151	100	2	2401151	50	3	2400701	100	1	0	0	0	0	0	0	0	0	0	0	0	0	2400755	200	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1402	31	50	12	2401007	250	5	2401152	150	1	2401152	100	2	2401152	50	3	2400702	100	1	0	0	0	0	0	0	0	0	0	2600091	100	1	2400755	200	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1403	51	65	12	2401008	150	5	2401153	150	1	2401153	100	2	2401153	50	3	2400703	100	1	0	0	0	0	0	0	0	0	0	2600091	100	1	2400756	200	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1404	66	80	12	2401009	150	5	2401154	150	1	2401154	100	2	2401154	50	3	2400704	100	1	0	0	0	0	0	0	0	0	0	2600092	100	1	2400756	200	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1405	81	90	12	2401010	150	5	2401155	150	1	2401155	100	2	2401155	50	3	2400705	100	1	0	0	0	0	0	0	0	0	0	2600092	100	1	2400757	200	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1406	91	100	12	2401011	150	5	2401156	150	1	2401156	100	2	2401156	50	3	2400706	100	1	0	0	0	0	0	0	0	0	0	2600093	100	1	2400758	200	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1407	101	110	12	2401012	150	5	2401157	150	1	2401157	100	2	2401157	50	3	2400707	100	1	0	0	0	0	0	0	0	0	0	2600093	100	1	2400759	200	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1408	111	999	12	2401013	150	5	2401158	150	1	2401158	100	2	2401158	50	3	2400708	100	1	0	0	0	0	0	0	0	0	0	2600094	100	1	2400760	200	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1501	1	30	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3509535	25	1	2600801	100	1	3510010	25	1	3510011	25	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1502	31	40	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3509535	25	1	2600801	100	1	3510010	25	1	3510011	25	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1503	41	50	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3509535	25	1	2600802	100	1	3510010	25	1	3510011	25	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1504	51	60	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3509535	25	1	2600803	100	1	3510010	25	1	3510011	25	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1505	61	70	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3509535	25	1	2600804	100	1	3510010	25	1	3510011	25	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1506	71	80	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3509535	25	1	2600805	100	1	3510010	25	1	3510011	25	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1507	81	90	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3509535	25	1	2600806	100	1	3510010	25	1	3510011	25	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1508	91	100	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3509535	25	1	2600807	100	1	3510010	25	1	3510011	25	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1509	101	110	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3509535	25	1	2600808	100	1	3510010	25	1	3510011	25	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1510	111	999	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3509535	25	1	2600809	100	1	3510010	25	1	3510011	25	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
