n_ID	n_ID_STORE	n_ID_ITEM	s_QUANTITY	n_ID_GOOD1	n_Q_GOOD1	n_ID_GOOD2	n_Q_GOOD2	n_ID_GOOD3	n_Q_GOOD3	n_ID_GOOD4	n_Q_GOOD4	s_HK_VER	s_TC_VER	s_JP_VER	s_TH_VER
32	1	2406972		2601226	10	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
33	1	2406973		2601226	10	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
34	1	2406974		2601227	10	2601202	30	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
35	1	2406975		2601227	10	2601202	30	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
36	1	2406976		2601227	10	2601202	30	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
37	1	2406977		2601228	15	2601203	30	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
38	1	2406978		2601228	15	2601203	30	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
39	1	2406979		2601228	15	2601203	30	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
40	1	2406980		2601229	15	2601204	50	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
41	1	2406981		2601229	15	2601204	50	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
42	1	2406982		2601229	15	2601204	50	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
43	1	2406983		2601230	20	2601205	50	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
44	1	2406984		2601230	20	2601205	50	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
45	1	2406985		2601230	20	2601205	50	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
46	1	2400039		2600095	1	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
47	1	2400040		2600095	2	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
48	1	2400041		2600095	3	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
49	1	2405018		2600251	1	2601201	30	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
50	1	2405036		2600252	1	2601201	30	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
51	1	2405054		2600254	1	2601201	30	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
52	1	2405072		2600255	1	2601201	30	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
53	1	2405090		2600256	1	2601201	30	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
54	1	2405151		2600251	2	2601202	30	0	0	0	0	1.00.0000	1.00.0000	1.10.0100	1.20.0000
55	1	2405152		2600252	2	2601202	30	0	0	0	0	1.00.0000	1.00.0000	1.10.0100	1.20.0000
56	1	2405153		2600254	2	2601202	30	0	0	0	0	1.00.0000	1.00.0000	1.10.0100	1.20.0000
57	1	2405154		2600255	2	2601202	30	0	0	0	0	1.00.0000	1.00.0000	1.10.0100	1.20.0000
58	1	2405155		2600256	2	2601202	30	0	0	0	0	1.00.0000	1.00.0000	1.10.0100	1.20.0000
59	1	2405156		2600251	3	2601203	30	0	0	0	0	1.00.0000	1.00.0000	1.10.0100	1.20.0000
60	1	2405157		2600252	3	2601203	30	0	0	0	0	1.00.0000	1.00.0000	1.10.0100	1.20.0000
61	1	2405158		2600254	3	2601203	30	0	0	0	0	1.00.0000	1.00.0000	1.10.0100	1.20.0000
62	1	2405159		2600255	3	2601203	30	0	0	0	0	1.00.0000	1.00.0000	1.10.0100	1.20.0000
63	1	2405160		2600256	3	2601203	30	0	0	0	0	1.00.0000	1.00.0000	1.10.0100	1.20.0000
64	1	2405161		2600251	4	2601204	30	0	0	0	0	1.00.0000	1.00.0000	1.10.0100	1.20.0000
65	1	2405162		2600252	4	2601204	30	0	0	0	0	1.00.0000	1.00.0000	1.10.0100	1.20.0000
66	1	2405163		2600254	4	2601204	30	0	0	0	0	1.00.0000	1.00.0000	1.10.0100	1.20.0000
67	1	2405164		2600255	4	2601204	30	0	0	0	0	1.00.0000	1.00.0000	1.10.0100	1.20.0000
68	1	2405165		2600256	4	2601204	30	0	0	0	0	1.00.0000	1.00.0000	1.10.0100	1.20.0000
69	1	2405166		2600251	5	2601205	30	0	0	0	0	1.00.0000	1.00.0000	1.10.0100	1.20.0000
70	1	2405167		2600252	5	2601205	30	0	0	0	0	1.00.0000	1.00.0000	1.10.0100	1.20.0000
71	1	2405168		2600254	5	2601205	30	0	0	0	0	1.00.0000	1.00.0000	1.10.0100	1.20.0000
72	1	2405169		2600255	5	2601205	30	0	0	0	0	1.00.0000	1.00.0000	1.10.0100	1.20.0000
73	1	2405170		2600256	5	2601205	30	0	0	0	0	1.00.0000	1.00.0000	1.10.0100	1.20.0000
74	1	2601277		2601276	5	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
75	1	2601278		2601277	5	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
76	1	2601279		2601278	5	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
77	1	2601280		2601279	5	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
78	1	2400804	2;5	2600095	5	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
79	1	2400811	2;5	2601280	3	2600095	5	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
80	1	2400812	2;5	2601280	3	2600095	5	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
81	1	2400805	2;5	2601253	10	2600095	1	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
82	1	2400806	2;5	2601254	10	2600095	2	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
83	1	2600321		2601251	1	2601252	1	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
84	1	2600322		2601253	2	2600095	1	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
85	1	2600323		2601254	2	2600095	1	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
86	1	2600324		2601255	2	2600095	1	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
87	1	3501051	2;1	2600095	1	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
88	1	2400099		2600041	2	0	0	0	0	0	0	1.00.0000	1.00.0000	1.08.0000	1.08.0000
89	1	2400100		2600044	3	0	0	0	0	0	0	1.00.0000	1.00.0000	1.09.0000	1.09.0000
90	0	0		0	0	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
91	1	2600801		2601251	1	2601226	3	0	0	0	0	1.00.0000	1.20.0000	1.20.0000	1.20.0000
92	1	2600802		2601252	1	2601227	3	0	0	0	0	1.00.0000	1.20.0000	1.20.0000	1.20.0000
93	1	2600803		2601252	2	2601227	5	0	0	0	0	1.00.0000	1.20.0000	1.20.0000	1.20.0000
94	1	2600804		2601253	1	2601228	3	0	0	0	0	1.00.0000	1.20.0000	1.20.0000	1.20.0000
95	1	2600805		2601253	2	2601228	5	0	0	0	0	1.00.0000	1.20.0000	1.20.0000	1.20.0000
96	1	2600806		2601254	1	2601229	3	0	0	0	0	1.00.0000	1.20.0000	1.20.0000	1.20.0000
97	1	2600807		2601254	2	2601229	5	0	0	0	0	1.00.0000	1.20.0000	1.20.0000	1.20.0000
98	1	2600808		2601255	1	2601230	3	0	0	0	0	1.00.0000	1.20.0000	1.20.0000	1.20.0000
99	1	2600809		2601255	2	2601230	5	0	0	0	0	1.00.0000	1.20.0000	1.20.0000	1.20.0000
201	2	2401325		2600701	10	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
202	2	2401329		2600701	10	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
203	2	2401333		2600701	10	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
204	2	2401337		2600701	10	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
205	2	2401341		2600701	10	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
206	2	2401345		2600701	10	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
208	2	2401326		2600702	10	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
209	2	2401330		2600702	10	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
210	2	2401334		2600702	10	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
211	2	2401338		2600702	10	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
212	2	2401342		2600702	10	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
213	2	2401346		2600702	10	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
215	2	2401327		2600703	10	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
216	2	2401331		2600703	10	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
217	2	2401335		2600703	10	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
218	2	2401339		2600703	10	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
219	2	2401343		2600703	10	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
220	2	2401347		2600703	10	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
222	2	2401328		2600704	10	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
223	2	2401332		2600704	10	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
224	2	2401336		2600704	10	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
225	2	2401340		2600704	10	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
226	2	2401344		2600704	10	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
227	2	2401348		2600704	10	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
301	3	2206001	2;1	2600801	5	0	0	0	0	0	0	1.00.0000	1.00.0000	1.08.0000	1.08.0000
302	3	2206002	2;1	2600802	5	0	0	0	0	0	0	1.00.0000	1.09.0000	1.09.0000	1.09.0000
303	3	2206003	2;1	2600803	5	0	0	0	0	0	0	1.00.0000	1.00.0000	1.08.0000	1.08.0000
304	3	2206004	2;1	2600804	5	0	0	0	0	0	0	1.00.0000	1.00.0000	1.08.0000	1.08.0000
305	3	2206005	2;1	2600805	5	0	0	0	0	0	0	1.00.0000	1.00.0000	1.08.0000	1.08.0000
306	3	2206006	2;1	2600806	5	0	0	0	0	0	0	1.00.0000	1.00.0000	1.08.0000	1.08.0000
307	3	2206007	2;1	2600807	5	0	0	0	0	0	0	1.00.0000	1.00.0000	1.08.0000	1.08.0000
308	3	2206008	2;1	2600808	5	0	0	0	0	0	0	1.00.0000	1.00.0000	1.08.0000	1.08.0000
309	3	2206009	2;1	2600809	5	0	0	0	0	0	0	1.00.0000	1.00.0000	1.08.0000	1.08.0000
401	4	2600341		2600002	3	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
402	4	2600342		2600002	3	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
403	4	2600343		2600002	3	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
404	4	2200011		2600002	10	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
405	4	2600001		2600002	2	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
406	4	2600044		2600002	5	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
407	4	2600045		2600002	5	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
408	4	2600046		2600002	5	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
409	4	2600751		2600002	3	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
410	4	2400407	1;1	2600002	30	0	0	0	0	0	0	1.00.0000	1.00.0000	1.08.0000	1.08.0000
411	4	2400408	1;1	2600002	30	0	0	0	0	0	0	1.00.0000	1.00.0000	1.08.0000	1.08.0000
412	4	2400409	1;1	2600002	30	0	0	0	0	0	0	1.00.0000	1.00.0000	1.08.0000	1.08.0000
413	4	2400410	1;1	2600002	150	0	0	0	0	0	0	1.00.0000	1.00.0000	1.08.0000	1.08.0000
414	4	2400411	1;1	2600002	150	0	0	0	0	0	0	1.00.0000	1.00.0000	1.08.0000	1.08.0000
415	4	2400412	1;1	2600002	150	0	0	0	0	0	0	1.00.0000	1.00.0000	1.08.0000	1.08.0000
601	6	2401108	2;1	2600387	25	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
602	6	3510101	2;1	2600387	10	0	0	0	0	0	0	OUT	1.09.0000	1.09.0000	1.09.0000
603	6	3510102	2;1	2600387	20	0	0	0	0	0	0	OUT	1.09.0000	1.09.0000	1.09.0000
604	6	3510103	2;1	2600387	30	0	0	0	0	0	0	OUT	1.09.0000	1.09.0000	1.09.0000
611	6	2600801		2600387	30	0	0	0	0	0	0	OUT	1.09.0000	1.09.0000	1.09.0200
612	6	2600802		2600387	35	0	0	0	0	0	0	OUT	1.09.0000	1.09.0000	1.09.0200
613	6	2600803		2600387	40	0	0	0	0	0	0	OUT	1.09.0000	1.09.0000	1.09.0200
614	6	2600804		2600387	45	0	0	0	0	0	0	OUT	1.09.0000	1.09.0000	1.09.0200
615	6	2600805		2600387	50	0	0	0	0	0	0	OUT	1.09.0000	1.09.0000	1.09.0200
616	6	2600806		2600387	55	0	0	0	0	0	0	OUT	1.09.0000	1.09.0000	1.09.0200
617	6	2600807		2600387	60	0	0	0	0	0	0	OUT	1.09.0000	1.09.0000	1.09.0200
618	6	2600808		2600387	65	0	0	0	0	0	0	OUT	1.09.0000	1.09.0000	1.09.0200
619	6	2600809		2600387	70	0	0	0	0	0	0	OUT	1.09.0000	1.09.0000	1.09.0200
701	7	2401451		2600751	10	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
702	7	2401452		2600752	10	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
703	7	2401453		2600753	10	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
704	7	2401454		2600754	10	0	0	0	0	0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
