n_ID	s_NAME	s_TITLE	s_NPC_CHATS
19	Matt	Fisherman	ข้าเป็นถึงแชมป์เปี้ยนการแข่งจับปลาของเรือนจำแห่งนี้!
20	Jefferson	Bomber	การที่สามารถใช้ประโยชน์จากวัตถุดินระเบิดของฉันได้อย่างอิสระ มันเป็นสิ่งที่อันตรายในสายตาของกองทัพเรือ
21	X	Honorable Prisoners	ถึงแม้ว่าแกจะเห็นฉัน ก็ช่วยกรุณาทำเป็นว่าฉันไม่อยู่ทีนี่
22	Kraus	Decadent Pirates	เมื่อคืนฉันฝันว่าฉันได้กลับมายังบนผืนมหาสมุทรอีกครั้งนึง
23	Seven	Prison Teller	ของที่เจ้าต้องการ <text style="79">[52500023]</text> ข้าสามารถช่วยเจ้าหาได้
24	Kuck	Miner	ตัวข้ามีกำลังที่ดุร้าย ไม่เพียงแค่ดิน แต่หินข้าก็ยังสามารถเจาะทะลุได้เลย
25	Odyssey	Pride	นิ้วของข้าแทบไม่ต้องขยับ ก็สามารถแหกคุกได้สำเร็จแล้ว แกเชื่อไหมหละ?
26	Attempt to escape pirate Prisoner		ผู้ใดสามารถพาพวกข้าหนีออกไปได้ เขาผู้นั้นคือผู้ช่วยชีวิตพวกเรา
27	Mountain Deer		
28	Drunk wolf pirates		
29	Lion pirates		
30	Desert Eagle		
31	Tornado Eagle		
32	Rock turtle		
33	Sediment Wolf		
34	Fighting Fish soldier		
35	Fighting Fish Sergeant		
36	Columbus	Marine Transport Station	มหาสมุทรที่ไร้ขอบเขต สามารถทำให้ความฝันที่ไร้ขอบเขตของเจ้านั้นเป็นจริงขึ้นมาได้ รีบตามข้ามา <text style="79">[52500036]</text>, ไปสู่หนทางอิสระกันเถอะ!
37	Port transportation		เส้นทางการเดินเรือของเกาะนี้เสนอ <text>[52300001]</text> หรือ <text>[52300004]</text> สองเส้นทางทะเล
38	Reyna	Spice Merchant	เครื่องเทศของเกาะแห่งนี้ มีค่าที่สูงมากของการทำเหมืองแร่!
39	Mo Yuzi	Naval Communications Bureau	สวัสดี สำนักงานสื่อสารราชวงศ์พร้อมให้บริการ ที่นี่คือสถานีสื่อสาร <text>[52300003]</text>ยินดีต้อนรับทุกท่านที่มาสนับสนุนและใช้บริการ
40	Carle	Nautilus Leader	แม้ว่าลึกเข้าไปในป่าเป็นสิ่งที่อันตรายมาก แต่สำหรับผลประโยชน์ทางการค้าแล้ว ทุกคนยังคงผจญภัยที่จะเก็บเครื่องเทศ
41	Martin	Commander	ฉันกำลังปฏิบัติหน้าที่ทหารเรืออยู่ รับผิดชอบในการปกป้องความปลอดภัยของบุคคลสำคัญ....ขอโทษนะ ฉันไม่สามารถเปิดเผยความลับทางการทหารได้
42	Excited Spice Merchant		คุณได้กลิ่นหอมหรือยัง ใครจะทนต่อสิ่งล่อใจของเครื่องเทศเหล่านี้ได้กันหละ?
43	Iain	Novice Adventurer	ภายในป่ามักจะเป็นที่นิยมกับหลายตำนานสยองขวัญอย่างไม่น่าเชื่อ......
44	Magellan	Maritime Daughter	ฉันต้องสานต่อปณิธานพ่อก่อนตาย โดยนำ <text style="79">[52500044]</text> สมาคมการค้าไปสู่ทั่วโลก
45	Magellan Old Man		
46	Lulala	Spice Beauty	ฉันกินเครื่องเทศมาตั้งแต่ยังเด็กจนโต ทั่วร่างกายของฉันจึงมีกลิ่นหอมที่น่าหลงใหล!
47	James	Gold Shark Leader	สมาคมพ่อค้าฉลามทองเป็นสมาคมชั้นนำของการค้าเครื่องเทศ สมาคมเล็กๆเหล่านี้ไม่ช้าก็เร็วจะถูกฉันผนวกรวมกัน
48	Avaricious Spice Merchant		เก็บเครื่องเทศมานิดหน่อย กลับไปขายแลกเงินก็ได้กำไร
49	Alien exquisite		……$V1……$V1……รีบมา……
50	Mo Yuzi	Naval Communications Bureau	สวัสดี สำนักงานสื่อสารราชวงศ์พร้อมให้บริการ ที่นี่คือสถานีสื่อสาร <text>[52300003]</text> ยินดีต้อนรับทุกท่านที่มาสนับสนุนและใช้บริการ
51	Madisen	Archaeology Professor	ซากของอารยธรรมโบราณ จึงจะเป็นของที่ไม่มีค่าของเกาะแห่งนี้
52	Plato	Atlantis Prime Minister	ข้าไม่อยู่แป๊บเดียว ประเทศก็วุ่นวายขนาดนี้เลยรึ แอตแลนติสจะไม่มีข้าได้อย่างไรกัน!
53	Plato	Wizards	การล่มสลายของราชอาณาจักร มากพอที่จะเป็นบทเรียนแก่แอตแลนติสแล้ว
54	Laura	Treasure Hunter	โอ้.....เสน่ห์ของฉันไม่ใช่แค่มาสารถแย่งชิงสมบัติ แต่ยังสามารถช่วงชิงจิตใจด้วย!
55	Sand dragon		
56	lenka		
57	Greenwood Magic Flower		
58	Thorn Hammer Bee		
59	Jungle Tiger		
60	Jungle Big Tiger		
61	Toxic Vine		
62	Ancient Civilization Alert Weapon		
63	Green scales pirates		
64	Ward Kingkong		
65	Ward Apes		
66	Port transportation		เรือขนส่งทางทะเลของท่าเรือนี้ เสนอให้เลือกสองเส้นทางทะเล <text>[52300003]</text>หรือ<text>[52300005]</text> เท่านั้น
67	Columbus	Marine Transport Station	มหาสมุทรที่ไร้ขอบเขต สามารถทำให้ความฝันที่ไร้ขอบเขตของเจ้านั้นเป็นจริงขึ้นมาได้ รีบตามข้ามา <text style="79">[52500036]</text>, ไปสู่หนทางอิสระกันเถอะ!
68	Veronica	Apprentice Witch	ที่นี่ดูสนุกจริงๆ ในกรงมีหน้าตาที่น่าสนใจอยู่มากมาย ทำให้ข้าใช้เวทย์มนต์แปลงกายได้
69	Mori Hiroko	Vagabond Messenger	สวัสดี เหล่านักผจญภัยโพ้นทะเล ขอต้อนรับสู่การบริการสื่อสารไม่มีหลักแหล่งพร้อมให้บริการ
70	Wealthy slave buyer		เงินไม่ใช่ปัญหา ข้าเชื่อว่าทาสที่มีค่ามากที่สุด ถึงจะเป็นทาสที่ดีที่สุด
71	Lecherous slave buyer		นักโทษหญิงของที่นี่แต่ละคนน่ารักทั้งนั้น เห็นแล้วน้ำลายจะไหลจริงๆ!
72	Battle Arena gambler		ฉันเดิมพันกับ Gladiator ไป 15 สนามติดต่อกันแต่แพ้หมด โชคของฉันทำไมช่างน้อยอย่างนี้!
73	Angelina	Princess Slave	ปล่อยฉันออกไป! ฉันไม่ใช่ทาส ข้าคือเจ้าหญิงแห่งAtlas
74	Aston	Slave Traders 	ที่นี่ทาสที่ใหญ่ที่สุดในหมู่ผู้ขายทาสบนถนนที่ฉันเปิด! ทาสที่ไม่สามารถหาได้จากที่อื่น หาได้จากที่นี่แน่นอน!
75	AstonLarkin	Fighter Club Chairman	<text>[52300120]</text> ที่นี่คือสนามรบทั้งชีวิตและความตาย และคือเวทีทั้งสวยงามและมีพลัง
76	Hasan	Vendor	มาเร็วๆๆ! วันนี้เลือกทาสมาเป็นพิเศษ ลดราคากันสุดพิเศษ!
77	Ringer	Escaped Slave	…..ต้องทำอย่างไร ถึงจะหนีออกจากกรงนี่ได้กันหละ?
78	Beirut	Passionate Slave	……<text style="79">[52500079]</text>, ถึงจะคาดหวังเพียงใดพวกเราก็ถูกขังอยู่ในกรงเดียวกัน
79	Maya	Beautiful Slave	……ถ้าหากแกอยู่ข้างกายข้าก็โอเคแล้ว, <text style="79">[52500078]</text>
80	Salahuddin	Prince Slaves	ข้าคือพระโอรสผู้สง่างาม กลายมาเป็นคนไร้ชาติ
81	Unwanted slaves		ถ้าหากฉันยังขายออกไปไม่ได้อีก ข้าต้องถูกส่งไปหนองน้ำเป็นอาหารของปลาปีศาจแน่ๆ
82	Duncan	Wounded Fighter	……(<text style="79">[52500082]</text>นอนอยู่บนพื้น ไม่ขยับแม่แต่นิด)
83	Kelas	Trainer	นี่คือสนามฝึกของ Gladiator ตำนาน เหล่าลูกศิษย์ของข้าได้รับการฝึกฝนอย่างเข้มงวดทั้งวันทั้งคืน
84	Qina	Fighter Apprentice 	ข้ารู้ตัวเองดีว่า ช้ายังไม่มีทักษะพร้อมที่จะสู้บนสนาม
85	Kaim	Novice Fighter 	ข้าอยากจะเป็นเหมือนเทวรูป Theodosius 
86	Mori Hiroko	Vagabond Messenger	สวัสดี เหล่านักผจญภัยโพ้นทะเล ขอต้อนรับสู่การบริการสื่อสารไม่มีหลักแหล่งพร้อมให้บริการ
87	Sea Phantom	Dark Captain	(<text style="79">[52500087]</text>ไม่สนใจว่าแกจะมีความรู้สึกเศร้าหมองอย่างไร)
88	Karen	Female Fighter	Theodosius และ Carlos พวกเค้าคือนักสู้ Gladiator ที่มีตำนานน่าเศร้าที่สุดในประวัติศาสตร์
89	Betula	Panic Slave	ช่วยด้วย.... ฉันยังไม่อยากตาย....
90	Hood	Shameless Slave Traders 	พักอยู่ในสถานที่น่าขนลุกแบบนี้ ทั้งวันอยู่อย่างหวาดกลัว
91	Local people		ตั้งแต่สมัยโบราณ พวกชาวเกาะจะนมัสการปลาปีศาจเป็นราชา
92	Penny	Cute Girl Slave	ไม่ง่ายเลยที่จะได้เป็นอิสระ กลับต้องมาใช้ชีวิตในแดนวิญญาณแบบนี้
93	Scythe Beetle		
94	An Gebo Little Firebird		
95	Dragon Gladiator		
96	Forest Green Eagle		
97	Mutant Green Eagle		
98	Gladiator Slave Girl		
99	Moor Slime		
100	Sharp snake poison ivy		
101	Swamp Tortoise		
102	Orc		
103	Orc Chief 		
104	Port transportation		เรือขนส่งทางทะเลของท่าเรือนี้ เป็นน่านน้ำที่ราชาโจรสลัดปกครองอยู่ ไม่รับประกันความปลอดภัยและทรัพย์สินของท่าน
105	Columbus	Marine Transport Station	มหาสมุทรที่ไร้ขอบเขต สามารถทำให้ความฝันที่ไร้ขอบเขตของเจ้านั้นเป็นจริงขึ้นมาได้ รีบตามข้ามา <text style="79">[52500036]</text>, ไปสู่หนทางอิสระกันเถอะ!
106	Old Tom	Pirate Dad	ข้าเป็นโจรสลัดมาสิบกว่าปี สิ่งที่ข้าชื่ชอบคือการทำเรื่องเลวๆก็คือดื่นเหล้าแล้วไม่จ่ายเงิน ฮ่าๆๆๆ!
107	Port Side Pirates		 Black beard <text style="79">[52500117]</text> และ Red Beard <text style="79">[52500118]</text> คือ <text>[52300005]</text> สองผู้นำโจรสลัดที่แข็งแกร่งที่สุด! อย่าไปยุ่งกับพวกเขาดีที่สุด
108	Sea Devil	Pirate Radio Station	พวกข้าคือกลุ่ม <text style="79">[52500108]</text> ผู้ภักดีต่อ Poseidon ผู้ยิ่งใหญ่ สถานีสื่อสารแห่งนี้เปิดให้เหล่าโจรสลัดใช้ได้อย่างอิสระ
109	Jessica	Beer Promoter Girl	ฉันเคยคบค้าสมาคมกันกับเหล่ากัปตันโจรสลัดที่มีชื่อเสียงมากมาย แต่ละคนล้วนบอกว่าอยากขอฉันแต่งงาน แต่สุดท้ายก็ไม่เห็นแม้แต่เงา ช่างน่าเกลียดซะจริง!
110	Filet	Good Man	แต่ก่อนข้านั้นก็ถูกจัดเป็นกลุ่มโจรสลัดที่โด่งดัง แต่ปัจจุบันนี้อยากเป็นเพียงแค่คนดีคนหนึ่งเท่านั้น
111	Rob	Loyalty Soldier	Poseidon ผู้ยิ่งใหญ่ส่งข้ามาที่นี่ เพื่อคัดเลือกโจรสลัดที่ยอดเยี่ยมเพื่อทำลายราชาโจรสลัด!
112	Rude pirates		เจ้าเป็นใคร! ถึงได้กล้ามาคุยกับคนอย่างข้า หากยังไม่หลบไปอีก! ฉันจะเอามีดหั่นแกซะ!
113	Pirates from afar		มาต้อนรับที่ท่าเทียบเรือโจรสลัดเช่นนี้ ข้าเพิ่งจะพบเป็นครั้งแรก
114	daul	Black Market Trader	สิ่งที่พวกเขาต้องการซื้อขายในตลาดมืด แม้จะถูกโกงก็คิดได้เพียงยอมรับว่าโชคร้าย
115	Digo	Black Market Trader	แต่เมื่อตอนนี้เมื่อสินค้าที่เจ้าต้องการ ต้องไปหาที่ตลาดมืด!
116	Mona	Black Market Trader	สิ่งของของร้านพวกข้า รับรองว่าร้านอื่นหาไม่ได้อีกแล้ว!
117	Edward	Black Braids	เหมียวน่ะเป็นกัปตันเรือ <text>[52300005]</text> คนแรกเลยนะ
118	Khayredin	Red Beard	<text style="79">[52500117]</text> เจ้าแมวบ้าตัวนี้ วิ่งออกมาวุ่นวายไปหมด
119	Hokah	Nomad Maritime	ในช่วงเวลาที่วุ่นวายแบบนี้ การค้าทางทะเลจะได้กำไรดีที่สุด
120	Mystery buyer		ฉันคิดว่าเราควรรีบช่วยลักพาตัวออกมาให้สำเร็จ แล้วพาพวกเขากลับบ้านอย่างปลอดภัย
121	Rollence	Exiled Colonel 	พวกเราคือกลุ่มทหารเรือที่รบพ่ายแพ้ ทำได้เพียงแค่ยอมจำนนต่อราขาโจรสลัด แต่กลับกลายเป็นว่าโจรสลัดกับกองทัพเรือไม่ยอมรับกัน
122	Odyssey	Wrath Witch	ต้องการใกล้ชิดกับ <text style="79">[52500204]</text> จำต้องกลายเป็นโจรสลัดที่น่าขยะแขยงให้ได้เสียก่อน
123	Filet	Chef	....ข้าผิดไปแล้ว <text style="79">[52500013]</text> กัปตัน! ยกโทษให้ข้าด้วยเถอะ!
124	Edward	Militant Black Braids	เจ้าเหมียวแกต้องไปยึด Governor's Office มาให้ได้! ฉันจะคอยแก! <text style="79">[52500118]</text>!
125	Halsey	Traitor Adjutant	กลุ่มพวกเราจะน้อยลง เมื่อไม่ได้กองทัพเรือและไม่ได้เหล่าโจรสลัด ทั้งหมดนี้เป็นความผิดของผู้บริหารระดับสูงของเรา!
126	Lost pirate		ฉันจะไป Governor's Office ขอดู <text style="79">[52500118]</text> จะมาที่นี่ได้อย่างไร?
127	Lust pirate		ภรรยาของ Poseidon ผู้ยิ่งใหญ่ <text style="79">[52500213]</text>คือเทพงูสาวงาม อยากเห็นตาของนางซักครั้งจริงๆ
128	Jonny	Black Braids Officer	ข้าต้องการ <text style="79">[52500117]</text> สู้กับกัปตัน!
129	Wiliam	Red Beard Officer	ข้าต้องการ <text style="79">[52500118]</text> สู้กับผู้ว่าการ
130	Latent bounty hunter		เฮ้เฮ้เฮ้ ใบประกาศจับค่าหัวโจรสลัดชั้นแนวหน้าล้วนซ่อนอยู่ที่ <text>[52300005]</text>, นี่คือโอกาสที่ดีที่สุดในการล่าเงินรางวัล
131	Governor guard		ผู้ดำรงตำแหน่งผู้ว่าการโจรสลัดคือ <text style="79">[52500118]</text> ผู้ยิ่งใหญ่
132	Governor guard		คำสั่งของผู้ว่าการ <text style="79">[52500117]</text> และแมวที่ไม่อนุญาตให้เข้าไปใน Governor's Office
133	Sea Devil	Port Authority Communications	พวกข้าคือกลุ่ม <text style="79">[52500108]</text> ผู้ภักดีต่อ Poseidon ผู้ยิ่งใหญ่ สถานีสื่อสารแห่งนี้เปิดให้เหล่าโจรสลัดใช้ได้อย่างอิสระ
134	Khayredin	Deceit Red Beard	เฝ้าระวังตั้งมั่นรักษา <text>[52300005]</text> คือภาระอันหนักหน่วงของผู้ว่าการโจรสลัด
135	Stark	Port Royale	ต้องการทำการค้าที่ใหญ่โต ไม่ว่าจะด้านดีหรือไม่ดีก็ตาม แกจะต้องเป็นที่นิยมสำหรับงานนี้ นี่ก็คือสิ่งที่ฉันทำให้ได้ในฐานะกษัตริย์
136	Terry	Black Market Trader	อย่าได้คิดว่าสินค้าจากพ่อค้าตลาดมืดนั้นจะถูก
137	Kate	Cute Girl Pirate	พวกผู้ชายปีนี้ นับวันยิ่งไม่ได้เรื่อง ไม่มีใครกล้าจะมาจีบฉันเลย
138	Blind Hound		
139	Sparkler Antelope		
140	Penguin Staff Sergeant		
141	Two Horns Tiger		
142	Golden Cat Navy Group		
143	Steel blade Eagle		
144	Hard Blade Eagle		
145	Black braids Pirates		
146	Black Jack		
147	Red beard Pirate Group		
148	Red Devil		
149	Ned King Kong		
150	Ned apes		
151	Mirage reel		(เนื่องจากภาพลวงตาของ <text style="79">[52500004]</text> สามารถทำให้เกิดร่างคนเหมือนจริงได้)
152	Harbor Bulletin 1		(บนบอร์ดประกาศติดเงินรางวัลในวันนี้ จัดให้เหล่านักเดินเรือและนักผจญภัยได้มีโอกาศรับเงินและประสบการณ์ที่หลากหลาย)
153	Harbor Bulletin 2		(บนบอร์ดประกาศ ประกาศติดเงินรางวัลวันนี้ จัดให้เหล่านักเดินเรือและนักผจญภัยได้มีโอกาศรับเงินและประสบการณ์ที่หลากหลาย)
154	Harbor Bulletin 3		(บนบอร์ดประกาศ ประกาศติดเงินรางวัลวันนี้ จัดให้เหล่านักเดินเรือและนักผจญภัยได้มีโอกาศรับเงินและประสบการณ์ที่หลากหลาย)
155	Port transportation		เรือขนส่งทางทะเลของท่าเรือนี้ ที่อยู่ภายใต้อำนาจของราชอาณาจักรAtlas เพื่อให้คุณปลอดภัยและสะดวกในการเดินทางทะเล
156	Columbus	Marine Transport Station	มหาสมุทรที่ไร้ขอบเขต สามารถทำให้ความฝันที่ไร้ขอบเขตของเจ้านั้นเป็นจริงขึ้นมาได้ รีบตามข้ามา <text style="79">[52500036]</text>, ไปสู่หนทางอิสระกันเถอะ!
157	Love Millie	Antique Store	ยินดีต้อนรับสู่ <text style="79">[52500157]</text> ร้านขายของชำ ทุกวันมีสินค้านำเข้ามากมาย แล้วคุณจะชื่นชอบที่มาอุดหนุนเรา
158	Dorothy		มีเวลาว่างมากมายให้น้องสาวข้า <text style="79">[52500903]</text> มาดูสินค้าเบ็ดเตล็ดที่ร้าน จะต้องได้ของที่ต้องการแน่นอน!
159	Hields	Guild Administrator	ข้ายินดีที่จะให้ข้อมูลที่เกี่ยวข้องกับกิลด์
160	Frank	Port Royal Congressman	 Port Royal แห่งนี้จะปรับปรุงตามที่ท่านได้เสนอมา
161	Locher	Finance Administrator	จำเป็นต้องนำสินค้าส่วนตัวมาวางไว้ที่คลังสินค้าที่ท่าเรือไหม?
162	Joshua	Appraisers	บนตัวเจ้ามีสิ่งที่ระบุตัวตนเจ้าไหม? ถ้าหากว่ามีโปรดนำมาแสดงให้ข้าดู ข้าจะช่วยเจ้าระบุตัวตนแท้จริงของเจ้าให้อย่างสุดความสามารถ!
163	Mackie	Royal Exchange Manager	อยากซื้อขายสินค้าใช่ไหม? มาที่นี่ถูกต้องแล้ว!
164	Nayar	Skill Trainer	ขยันฝึกวิชาการต่อสู้กับข้า จะได้มาช่วยเป็นกำลังให้เทพ Poseidon!
165	Tim	Dungeon Keeper	ผู้ท้าชิงต้องการที่จะลองต่อสู้ในระดับที่สูงขึ้นไหม?
166	Grace	Beer Promoter Girl	กินเหล้ากันไหม? ฉันจะให้คุณดื่มเหล้าให้ความเศร้าและความเหนื่อยล้าหายไปให้หมดสิ้น..... แย่แล้ว อย่าไปมองคนน่ากลัวเหล่านั้น!
167	Jensen	Shipyard Engineer	บนมหาสมุทรนั้นต้องใช้เรือลำใหญ่ ใครสนใจให้ข้าสร้าง เชิญมาสั่งซื้อได้เลย!
168	Nelson	Royal Navy Admiral	อะไรคือความยุติธรรมบนโลกนี้หนะหรือ? ราชนาวีนี่แหละคือความยุติธรรมเพียงหนึ่งเดียวเท่านั้น
169	Bismarck	Admiral	มาให้ข้าลองดูซิว่าบนร่างเจ้ามีรสชาติของการกระทำผิดมั้ย แส้รักของข้าวันนี้ยังไม่ได้ลิ้มรสบนร่างคนเลย!
170	Isoroku Yamamoto	Admiral	เส้นทางของนักรบนั้นช่างยาวไกลนักควรจะสิ้นสุดได้แล้ว
171	Drunkard Captain	Sea Watchers	แต่ก่อนข้าก็เป็นนักเดินเรื่องเหมือนเจ้า แต่ข้าดื่มเหล้าหนักไปหน่อยจนลงพุงหมดแล้ว....
172	Mo Yuzi	Naval Communications Bureau	สวัสดี สำนักงานสื่อสารราชวงศ์พร้อมให้บริการ ที่นี่คือสถานีข่าวสารแห่งAtlas  ยินดีต้อนรับทุกท่านที่มาสนับสนุนและใช้บริการ
173	Anderson	Antiquities Trader	ก็แค่รู้เคล็ดลับการค้าขาย แค่เศษโลหะยังขายเป็นเงินได้เลย
174	Clark	Navy Lieutenant Colonel	ขณะนี้ข้าอยู่ที่ <text style="79">[52500168]</text> ภายใต้คำสั่งของท่านจอมพล แต่ข้าก็ต้องการย้ายไปอยู่ที่กองกำลังพล <text style="79">[52500169]</text> เท่านั้น!
175	Willes	Minister Palace	ราชอาณาจักรประสบปัญหามากมาย ในขณะที่องค์หญิงยังทรงพระเยาว์ ในฐานะที่ข้าเป็นขุนนางใหญ่ทั้งวันทั้งคืนได้แต่เป็นห่วงถึงอนาคตของราชอาณาจักร!
176	Rosemary	Princess	ฉันไม่ต้องการคิดจะเป็นราชินีแม้แต่น้อย ถ้าเป็นไปได้ฉันอยากเป็นเพียงแค่องค์หญิงคนนึงเท่านั้น
177	Lisa	Navy Transport Officer	กองทัพเรือหลักได้จอดเทียบท่าอยู่ที่นี่ ข้ามีหน้าที่นำเรือเทียบท่ากับค่ายฝึกอบรมของกองทัพเรือในปัจจุบันและเรือขนส่งนักโทษไปเนรเทศยังเกาะ
178	Neo	Treasure Hunters Assistant	ฉันยังไม่มีวิธีที่ให้เป็นเหมือนลอร่าได้เลย เป็นธรรมดาของการผจญภัยที่แสนลำบาก
179	Seafood Businesswoman		อาหารทะเลของร้านข้าได้มาจากท่าเรือ ทั้งสดและราคาถูก
180	Daisy	Beautiful Wife	เฮ้อ.... หลังจากที่ฉันมาเป็นภรรยากับพ่อค้าธรรมดาคนหนึ่ง ฉันยังไม่คุ้นเคยเลยกับชีวิตที่ร่ำรวยแบบนี้เลย
181	Fernandez	Aristocratic Gentleman	ชนชั้นสูงของAtlas นั้นมีสายเลือดของเทพ Poseidon เท่านั้นจึงจะมีคุณสมบัติปกครองคาบสมุทรทั้งเจ็ด
182	Mysterious Stranger		......เพียงขอแค่มีชีวิตอยู่เท่านั้น เมื่อวันนั้นมาถึงข้าก็จะได้แก้แค้นด้วยน้ามือของข้าเอง
183	Columbus	Dream Voyager	ราชอาณาจักรAtlas ยังเสื่อมทรามลงเลย ปีนี้ก็คัดเลือกได้แต่ลูกเรือที่ไม่ค่อยกล้าหาญเลยใช่ไหม?
184	Hoeker	Wounded Partnership	……(<text style="79">[52500184]</text> นอนอยู่บนชายหาด ไม่ขยับแม่แต่นิด)
185	Willeson	Deserted Island Companion	......(ลูกวอลเลย์บอลลูกหนึ่งติดอยู่บนเสา มีลักษณะทรงกลมเหมือนกับหน้าคนเลย)
186	Pork Chop	Supplies	
187	Robinson	Stray Victim	แกกำลังพูดกับข้าอยู่หรือเปล่า? ข้าติดอยู่บนเกาะร้างมาสิบกว่าปี ในที่สุดข้าก็ไม่ต้องพูดคุยกับลูกวอลเลย์บอลแล้ว
188	Robinson	Survival Monk	สิ่งแวดล้มที่ข้าสร้างขึ้นทั้งหมดด้วยตัวเอง ในวันข้างหน้าหากข้าต้องออกจากเกาะนี้ไป พวกเจ้าสามารถบูรณะที่นี่ให้เป็นรีสอร์ทได้นะ
189	Robinson	Cliff Thinker	ข้าจำได้ว่าตอนที่ข้าเคยเป็น <text>[52300001]</text> หนึ่งในสี่หนุ่มหล่อที่สุด ล้วนเป็นความล้มเหลวในชีวิตของข้า
190	Siren	Devil Legend	……(<text style="79">[52500190]</text> มองข้ามแกไป)
191	Siren	Bermuda Guardian	ไม่ว่าจะต้องเสียสละหนูทดลองซักเท่าใหร่ก็ตาม ฉันขอแค่ได้กลับไปยัง <text>[51300408]</text> ก็พอแล้ว!
192	Harpy		
193	Friday Jungle		
194	Jet cat thieves No.2		
195	Port transportation		เรือขนส่งทางทะเลของท่าเรือนี้ เป็นน่านน้ำที่ราชาโจรสลัดปกครองอยู่ ไม่รับประกันความปลอดภัยและทรัพย์สินของท่าน
196	Columbus	Marine Transport Station	มหาสมุทรที่ไร้ขอบเขต สามารถทำให้ความฝันที่ไร้ขอบเขตของเจ้านั้นเป็นจริงขึ้นมาได้ รีบตามข้ามา <text style="79">[52500036]</text>, ไปสู่หนทางอิสระกันเถอะ!
197	Pirate port		ดูเหมือนอาวุธของแกจะมีคุณสมบัติที่สามารถเข้าไปใน <text>[52300006]</text> ได้มิใช่หรือ?
198	Odyssey	Consideration	ศัตรูอันดับหนึ่งของข้า ก็เหมือนกับหนูในร่องน้ำที่กำลังหลบซ่อนอยู่ในถ้ำลึก
199	Sailor pirate ship		เรือโจรสลัดเข้าเทียบท่าตรงนี้ บนเรือนั้นเต็มไปด้วยสมบัติราชบรรณาการเพื่อถวายแด่องค์เทพ Poseidon
200	Sea Devil	Pirate Radio Station	พวกข้าคือกลุ่ม <text style="79">[52500108]</text> ผู้ภักดีต่อ Poseidon ผู้ยิ่งใหญ่ สถานีสื่อสารแห่งนี้เปิดให้เหล่าโจรสลัดใช้ได้อย่างอิสระ
201	Nicholas	Miner Foreman	พวกข้าเป็นกรรมกรเหมืองแร่ ที่ถูกราชาโจรสลัด <text style="79">[52500204]</text> บังคับมา ทุกวันต้องขุดเหมืองทั้งวันทั้งคืนไม่ได้พักค่าจ้างก็ไม่ได้
202	Underground palace guard		ราชาโจรสลัดจงเจริญ!
