n_ID	n_GROUP	n_MIN_LEVEL	n_MAX_LEVEL	n_QUEST	n_QUESTFLAG	n_NUMBER	n_SCENE_ID	n_CLINE_TYPE	n_LASTING_TIME	n_SCORECOUNT_ID	n_REFRESH_TIME	n_EXIT	s_HK_VER	s_TC_VER	s_JP_VER	s_TH_VER
29	2	70	999	0	0	1	154	529	1800	0	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
30	2	70	999	0	0	1	155	530	1800	0	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
31	2	70	999	0	0	1	156	531	1800	0	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
32	2	70	999	0	0	1	169	532	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
33	2	70	999	0	0	1	170	533	1800	0	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
34	2	70	999	0	0	1	171	534	1800	0	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
35	2	70	999	0	0	1	172	535	1800	0	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
36	2	70	999	0	0	1	173	536	1800	0	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
37	2	90	999	0	0	1	42	537	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
38	2	90	999	0	0	1	43	538	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
39	2	90	999	0	0	1	44	539	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
40	2	90	999	0	0	1	45	540	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
41	2	90	999	0	0	1	46	541	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
42	2	90	999	0	0	1	47	542	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
43	2	90	999	0	0	1	84	543	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
44	2	90	999	0	0	1	85	544	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
45	2	90	999	0	0	1	86	545	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
46	2	90	999	0	0	1	87	546	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
47	2	90	999	0	0	1	88	547	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
48	2	90	999	0	0	1	89	548	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
49	2	90	999	0	0	1	157	549	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
50	2	90	999	0	0	1	158	550	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
51	2	90	999	0	0	1	159	551	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
52	2	90	999	0	0	1	160	552	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
53	2	90	999	0	0	1	161	553	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
54	2	90	999	0	0	1	162	554	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
55	2	90	999	0	0	1	174	555	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
56	2	90	999	0	0	1	175	556	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
57	2	90	999	0	0	1	176	557	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
58	2	90	999	0	0	1	177	558	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
59	2	90	999	0	0	1	178	559	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
60	2	90	999	0	0	1	179	560	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
61	2	105	999	0	0	1	48	561	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
62	2	105	999	0	0	1	49	562	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
63	2	105	999	0	0	1	50	563	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
64	2	105	999	0	0	1	51	564	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
65	2	105	999	0	0	1	52	565	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
66	2	105	999	0	0	1	53	566	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
67	2	105	999	0	0	1	90	567	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
68	2	105	999	0	0	1	91	568	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
69	2	105	999	0	0	1	92	569	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
70	2	105	999	0	0	1	93	570	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
71	2	105	999	0	0	1	94	571	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
72	2	105	999	0	0	1	95	572	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
73	2	105	999	0	0	1	163	573	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
74	2	105	999	0	0	1	164	574	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
75	2	105	999	0	0	1	165	575	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
76	2	105	999	0	0	1	166	576	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
77	2	105	999	0	0	1	167	577	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
78	2	105	999	0	0	1	168	578	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
79	2	105	999	0	0	1	180	579	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
80	2	105	999	0	0	1	181	580	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
81	2	105	999	0	0	1	182	581	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
82	2	105	999	0	0	1	183	582	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
83	2	105	999	0	0	1	184	583	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
84	2	105	999	0	0	1	185	584	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
85	2	30	999	0	0	1	54	585	1800	0	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
86	2	30	999	0	0	1	96	586	1800	0	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
87	2	30	999	0	0	1	104	587	1800	0	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
88	2	70	999	0	0	1	55	588	1800	0	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
89	2	70	999	0	0	1	56	589	1800	0	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
90	2	70	999	0	0	1	97	590	1800	0	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
91	2	70	999	0	0	1	98	591	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
92	2	70	999	0	0	1	105	592	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
93	2	70	999	0	0	1	106	593	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
94	2	90	999	0	0	1	57	594	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
95	2	90	999	0	0	1	58	595	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
96	2	90	999	0	0	1	99	596	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
97	2	90	999	0	0	1	100	597	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
98	2	90	999	0	0	1	107	598	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
99	2	90	999	0	0	1	108	599	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
100	2	105	999	0	0	1	59	600	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
101	2	105	999	0	0	1	60	601	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
102	2	105	999	0	0	1	60	600	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
103	2	105	999	0	0	1	101	603	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
104	2	105	999	0	0	1	102	604	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
105	2	105	999	0	0	1	103	605	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
106	2	105	999	0	0	1	109	606	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
107	2	105	999	0	0	1	110	607	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
108	2	105	999	0	0	1	111	608	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
109	1	25	999	0	0	6	17	801	1800	97	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
110	1	30	999	0	0	6	186	802	1800	98	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
111	1	30	999	0	0	6	18	803	1800	99	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
112	1	30	999	0	0	6	62	804	1800	100	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
113	1	30	999	0	0	6	18	805	1800	101	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
114	1	30	999	0	0	6	190	806	1800	102	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
115	1	30	999	0	0	6	187	807	1800	103	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
116	1	30	999	0	0	6	190	808	1800	104	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
117	1	30	999	0	0	6	20	809	1800	105	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
118	1	30	999	0	0	6	64	810	1800	106	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
119	1	30	999	0	0	6	21	811	1800	107	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
120	1	30	999	0	0	6	65	812	1800	108	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
121	1	30	999	0	0	6	22	813	1800	109	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
122	1	70	999	0	0	6	17	814	1800	110	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
123	1	70	999	0	0	6	186	815	1800	111	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
124	1	70	999	0	0	6	17	816	1800	112	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
125	1	70	999	0	0	6	186	817	1800	113	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
126	1	70	999	0	0	6	18	818	1800	114	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
127	1	70	999	0	0	6	62	819	1800	115	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
128	1	70	999	0	0	6	187	820	1800	116	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
129	1	70	999	0	0	6	19	821	1800	117	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
130	1	70	999	0	0	6	63	822	1800	118	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
131	1	70	999	0	0	6	20	823	1800	119	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
132	1	70	999	0	0	6	64	824	1800	120	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
133	1	70	999	0	0	6	21	825	1800	121	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
134	1	70	999	0	0	6	65	826	1800	122	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
135	1	70	999	0	0	6	66	827	1800	123	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
136	1	70	999	0	0	6	22	828	1800	124	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
137	1	70	999	0	0	6	23	829	1800	125	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
138	1	70	999	0	0	6	67	830	1800	126	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
139	1	90	999	0	0	6	186	831	1800	127	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
140	1	90	999	0	0	6	186	832	1800	128	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
141	1	90	999	0	0	6	186	833	1800	129	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
142	1	90	999	0	0	6	186	834	1800	130	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
143	1	90	999	0	0	6	187	835	1800	131	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
144	1	90	999	0	0	6	190	836	1800	132	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
145	1	90	999	0	0	6	187	837	1800	133	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
146	1	90	999	0	0	6	190	838	1800	134	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
147	1	90	999	0	0	6	187	839	1800	135	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
148	1	90	999	0	0	6	190	840	1800	136	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
149	1	90	999	0	0	6	188	841	1800	137	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
150	1	90	999	0	0	6	191	842	1800	138	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
151	1	105	999	0	0	6	24	843	1800	139	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
152	1	105	999	0	0	6	189	844	1800	140	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
153	1	105	999	0	0	6	24	845	1800	141	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
154	1	105	999	0	0	6	189	846	1800	142	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
155	1	105	999	0	0	6	25	847	1800	143	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
156	1	105	999	0	0	6	68	848	1800	144	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
157	1	105	999	0	0	6	26	849	1800	145	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
158	1	105	999	0	0	6	69	850	1800	146	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
159	1	105	999	0	0	6	27	851	1800	147	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
160	1	105	999	0	0	6	27	852	1800	148	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
161	1	105	999	0	0	6	70	853	1800	149	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
162	1	105	999	0	0	6	28	854	1800	150	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
163	1	105	999	0	0	6	28	855	1800	151	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
164	1	105	999	0	0	6	71	856	1800	152	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
165	1	105	999	0	0	6	29	857	1800	153	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
166	1	105	999	0	0	6	72	858	1800	154	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
167	1	105	999	0	0	6	30	859	1800	155	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
168	1	105	999	0	0	6	73	860	1800	156	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
170	2	30	999	0	0	6	212	862	1800	0	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
171	2	30	999	0	0	6	216	863	1800	0	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
172	2	40	999	0	0	6	220	864	1800	0	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
173	2	40	999	0	0	6	213	865	1800	0	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
174	2	50	999	0	0	6	221	866	1800	0	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
175	2	50	999	0	0	6	217	867	1800	0	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
176	2	50	999	0	0	6	217	868	1800	0	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
177	2	60	999	0	0	6	216	869	1800	0	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
178	2	65	999	0	0	6	214	870	1800	0	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
179	2	65	999	0	0	6	222	871	1800	0	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
180	2	65	999	0	0	6	223	872	1800	0	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
181	2	65	999	0	0	6	224	873	1800	0	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
182	2	70	999	0	0	6	218	874	1800	0	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
183	2	70	999	0	0	6	216	875	1800	0	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
184	2	70	999	0	0	6	225	876	1800	0	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
185	2	70	999	0	0	6	226	877	1800	0	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
186	2	70	999	0	0	6	218	878	1800	0	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
187	2	70	999	0	0	6	227	879	1800	0	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
188	2	80	999	0	0	6	228	880	1800	0	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
189	2	80	999	0	0	6	229	881	1800	0	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
190	2	80	999	0	0	6	230	882	1800	0	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
191	2	85	999	0	0	6	231	883	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
192	2	85	999	0	0	6	214	884	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
193	2	85	999	0	0	6	232	885	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
194	2	85	999	0	0	6	213	886	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
195	2	85	999	0	0	6	233	887	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
196	2	90	999	0	0	6	234	888	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
197	2	90	999	0	0	6	212	889	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
198	2	90	999	0	0	6	235	890	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
199	2	90	999	0	0	6	213	891	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
200	2	90	999	0	0	6	212	892	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
201	2	95	999	0	0	6	236	893	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
202	2	95	999	0	0	6	212	894	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
203	2	95	999	0	0	6	214	895	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
204	2	95	999	0	0	6	237	896	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
205	2	95	999	0	0	6	238	897	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
206	2	95	999	0	0	6	239	898	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
207	2	95	999	0	0	6	240	899	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
208	2	95	999	0	0	6	241	900	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
209	2	100	999	0	0	6	215	901	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
210	2	100	999	0	0	6	242	902	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
211	2	100	999	0	0	6	243	903	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
212	2	105	999	0	0	6	215	904	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
214	2	110	999	0	0	6	242	906	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
216	2	110	999	0	0	6	245	908	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
215	2	105	999	0	0	6	244	907	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
217	2	110	999	0	0	6	246	909	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
218	2	110	999	0	0	6	247	910	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
219	2	110	999	0	0	6	245	911	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
1008	32	110	999	0	0	6	113	2008	3600	1008	180	0	OUT	1.09.0000	1.09.0000	1.09.0000
1011	64	110	999	0	0	6	118	2011	3600	1011	180	0	OUT	1.09.0000	1.09.0000	1.09.0000
1016	256	110	999	0	0	6	115	2016	3600	1016	180	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
1024	1024	110	999	0	0	6	116	2024	3600	1024	180	0	OUT	1.09.0000	1.09.0000	1.09.0000
220	2	115	999	0	0	6	248	912	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
221	2	115	999	0	0	6	249	913	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
222	2	115	999	0	0	6	247	914	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
223	2	115	999	0	0	6	250	915	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
229	2	70	999	0	0	6	226	921	1800	0	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
230	2	70	999	0	0	6	226	922	1800	0	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
1001	8	40	999	0	0	6	112	2001	3600	1001	180	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
1002	8	100	999	0	0	6	112	2002	3600	1002	180	0	OUT	1.09.0000	1.09.0000	1.09.0000
1004	1	55	999	0	0	6	120	2004	3600	0	4294967295	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
1005	16	55	999	0	0	6	140	2005	3600	1005	180	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
1007	32	80	999	0	0	6	113	2007	3600	1007	180	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
224	2	120	999	0	0	6	251	916	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
225	2	120	999	0	0	6	252	917	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
1010	64	90	999	0	0	6	118	2010	3600	1010	180	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
226	2	120	999	0	0	6	253	918	1800	0	4294967295	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
