n_ID	s_NAME	s_ID_ICON	n_SKILLTYPE	n_SERIES	n_SKILLLV	n_BUFF_SAILOR	n_BUFF_PLAYER	n_BUFF_SHIP	n_SKILL_SHIP	n_EQUIP
63	校正之眼	ICON_MISSION_057_001	1	13	3	10063	0	0	0	63
64	瞪視的校正之眼	ICON_MISSION_057_001	1	13	4	10064	0	0	0	63
65	靈動的校正之眼	ICON_MISSION_057_001	1	13	5	10065	0	0	0	63
66	雜亂的幸運羽毛	ICON_OTHERS_006_000	1	14	1	10066	0	0	0	63
67	捲曲的幸運羽毛	ICON_OTHERS_006_000	1	14	2	10067	0	0	0	63
68	幸運羽毛	ICON_OTHERS_006_000	1	14	3	10068	0	0	0	63
69	漂亮的幸運羽毛	ICON_OTHERS_006_000	1	14	4	10069	0	0	0	63
70	完美的幸運羽毛	ICON_OTHERS_006_000	1	14	5	10070	0	0	0	63
71	黯淡的脫力水晶	ICON_OTHERS_003_002	1	15	1	10071	0	0	0	63
72	微暗的脫力水晶	ICON_OTHERS_003_002	1	15	2	10072	0	0	0	63
73	脫力水晶	ICON_OTHERS_003_002	1	15	3	10073	0	0	0	63
74	閃亮的脫力水晶	ICON_OTHERS_003_002	1	15	4	10074	0	0	0	63
75	刺眼的脫力水晶	ICON_OTHERS_003_002	1	15	5	10075	0	0	0	63
76	黯淡的凹凸水晶	ICON_OTHERS_007_000	1	16	1	10076	0	0	0	63
77	微暗的凹凸水晶	ICON_OTHERS_007_000	1	16	2	10077	0	0	0	63
78	凹凸水晶	ICON_OTHERS_007_000	1	16	3	10078	0	0	0	63
79	閃亮的凹凸水晶	ICON_OTHERS_007_000	1	16	4	10079	0	0	0	63
80	刺眼的凹凸水晶	ICON_OTHERS_007_000	1	16	5	10080	0	0	0	63
81	失效的渙散符	ICON_MISSION_060_000	1	17	1	10081	0	0	0	63
82	模糊的渙散符	ICON_MISSION_060_000	1	17	2	10082	0	0	0	63
83	渙散符	ICON_MISSION_060_000	1	17	3	10083	0	0	0	63
84	清晰的渙散符	ICON_MISSION_060_000	1	17	4	10084	0	0	0	63
85	強效的渙散符	ICON_MISSION_060_000	1	17	5	10085	0	0	0	63
86	沒用的詛咒人偶	ICON_MISSION_077_000	1	18	1	10086	0	0	0	63
87	破掉的詛咒人偶	ICON_MISSION_077_000	1	18	2	10087	0	0	0	63
88	詛咒人偶	ICON_MISSION_077_000	1	18	3	10088	0	0	0	63
89	紮實的詛咒人偶	ICON_MISSION_077_000	1	18	4	10089	0	0	0	63
90	完美的詛咒人偶	ICON_MISSION_077_000	1	18	5	10090	0	0	0	63
91	破裂的妖蝠項鍊	ICON_NL_013_000	1	19	1	10091	0	0	0	63
92	瑕疵的妖蝠項鍊	ICON_NL_013_000	1	19	2	10092	0	0	0	63
93	妖蝠項鍊	ICON_NL_013_000	1	19	3	10093	0	0	0	63
94	堅硬的妖蝠項鍊	ICON_NL_013_000	1	19	4	10094	0	0	0	63
95	完美的妖蝠項鍊	ICON_NL_013_000	1	19	5	10095	0	0	0	63
96	枯萎的永生之葉	ICON_MK_006_000	1	20	1	10096	0	0	0	63
97	乾燥的永生之葉	ICON_MK_006_000	1	20	2	10097	0	0	0	63
98	永生之葉	ICON_MK_006_000	1	20	3	10098	0	0	0	63
99	新鮮的永生之葉	ICON_MK_006_000	1	20	4	10099	0	0	0	63
100	完美的永生之葉	ICON_MK_006_000	1	20	5	10100	0	0	0	63
1001	背叛者清單	ICON_OTHERS_004_002	1	21	1	11001	0	0	525	63
1002	神槍之證	ICON_MISSION_002_000	1	22	1	11003	0	0	526	63
1003	救贖紋章	ICON_SKULL_004_001	1	23	1	11005	0	0	527	63
1004	瓜娃猜猜樂	ICON_DOCUMENT_011_000	1	24	1	11007	0	0	528	63
1005	海軍徽章	ICON_Navy_S	1	25	1	11008	0	0	0	63
1006	母親的項鍊	ICON_NL_009_000	1	26	1	11009	0	0	0	63
1007	智能核心	ICON_PL_006_000	1	27	1	11010	0	0	0	63
1008	魔法記錄	ICON_DOCUMENT_009_000	1	28	1	11011	0	0	0	63
1009	不明藥劑	ICON_MISSION_050_001	1	29	1	11012	0	0	0	63
1010	大斬刀	ICON_SWORD_002_000	1	30	1	11013	0	0	0	63
1011	藏寶圖	ICON_MAP_004_000	1	31	1	11014	0	0	0	63
1012	瓜娃族訊息	ICON_DOCUMENT_003_000	1	32	1	11015	0	0	0	63
2001	基本後膛炮【左舷用】	IS120	2	101	1	0	19101	0	520	63
2002	簡陋發射器	IB048	2	102	1	0	19101	0	521	63
2003	基本後膛炮【右舷用】	IS120	2	103	1	0	19101	0	522	63
2004	獵人後膛炮【左舷用】	IS120	2	104	1	0	19101	0	523	62
2005	獵魚叉發射器	IB048	2	105	1	0	19101	0	524	62
2006	獵人後膛炮【右舷用】	IS120	2	106	1	0	19101	0	525	62
2007	軍用後膛炮【左舷用】	IS120	2	107	1	0	19101	0	526	60
2008	軍用標槍發射器	IB048	2	108	1	0	19101	0	527	60
2009	軍用後膛炮【右舷用】	IS120	2	109	1	0	19101	0	528	60
2010	遠征用後膛炮【左舷用】	IS120	2	110	1	0	19101	0	529	60
2011	遠征用集束裝置	IB048	2	111	1	0	19101	0	530	60
2012	遠征用後膛炮【右舷用】	IS120	2	112	1	0	19101	0	531	60
2013	火焰放射器	IS161	2	113	1	0	19101	0	550	63
2014	戰船衝撞	IB020	2	114	1	0	19101	0	551	63
2015	鐵甲戰船	IB009	2	115	1	0	19101	0	552	63
2016	十字水雷	IB005	2	116	1	0	19101	0	553	63
2017	漁網【前方】	IB011	2	117	1	0	19101	0	554	63
2018	漁網【後方】	IB011	2	118	1	0	19101	0	555	63
2019	加速	I_STR4_1	2	119	1	0	19101	0	556	63
2020	鎖鍊魚叉	ISV003	2	120	1	0	19101	0	557	63
2021	長距離迫擊砲【左舷用】	IS1211	2	121	1	0	19101	0	600	63
2022	長距離燒夷彈【左舷用】	IS1610	2	122	1	0	19101	0	601	63
2023	連射砲【左舷用】	IS1200	2	123	1	0	19101	0	602	63
2024	強力貫穿砲【左舷用】	IS1210	2	124	1	0	19101	0	603	63
2025	黑鐵球【左舷用】	ICON_STONE_002_000	2	125	1	0	19101	0	604	63
2026	煙霧彈【左舷用】	ICON_MISSION_017_000	2	126	1	0	19101	0	605	63
2027	長距離迫擊砲【右舷用】	IS1211	2	127	1	0	19101	0	650	63
2028	長距離燒夷彈【右舷用】	IS1610	2	128	1	0	19101	0	651	63
2029	連射砲【右舷用】	IS1200	2	129	1	0	19101	0	652	63
2030	強力貫穿砲【右舷用】	IS1210	2	130	1	0	19101	0	653	63
2031	黑鐵球【右舷用】	ICON_STONE_002_000	2	131	1	0	19101	0	654	63
2032	煙霧彈【右舷用】	ICON_MISSION_017_000	2	132	1	0	19101	0	655	63
