n_ID	n_PROPERTIES_USING	n_USETYPE	n_DELETETYPE	n_Var_x	n_Var_y	f_Var_z	s_Var_s	s_note
65	11	0	1	23	0	0.0		Lv3文明之界
66	11	0	1	24	0	0.0		Lv3凝神甜酒
67	11	0	1	25	0	0.0		Lv3燕迴甜酒
68	11	0	1	26	0	0.0		Lv3狂罪甜酒
69	11	0	1	27	0	0.0		Lv3攝魂甜酒
70	11	0	1	51	0	0.0		Lv3文明之光配方
72	11	0	1	28	0	0.0		Lv4蠻地之風
73	11	0	1	29	0	0.0		Lv4護城之勇
74	11	0	1	30	0	0.0		Lv4騰躍之角
75	11	0	1	31	0	0.0		Lv4靈心之護
76	11	0	1	32	0	0.0		Lv4文明之界
77	11	0	1	33	0	0.0		Lv4凝神甜酒
78	11	0	1	34	0	0.0		Lv4燕迴甜酒
79	11	0	1	35	0	0.0		Lv4狂罪甜酒
80	11	0	1	36	0	0.0		Lv4攝魂甜酒
81	11	0	1	68	0	0.0		Lv4文明之光配方
83	11	0	1	37	0	0.0		Lv5蠻地之風
84	11	0	1	38	0	0.0		Lv5護城之勇
85	11	0	1	39	0	0.0		Lv5騰躍之角
86	11	0	1	40	0	0.0		Lv5靈心之護
87	11	0	1	41	0	0.0		Lv5文明之界
88	11	0	1	42	0	0.0		Lv5凝神甜酒
89	11	0	1	43	0	0.0		Lv5燕迴甜酒
90	11	0	1	44	0	0.0		Lv5狂罪甜酒
91	11	0	1	45	0	0.0		Lv5攝魂甜酒
92	11	0	1	85	0	0.0		Lv5文明之光配方
94	16	2	1	0	5000	10.0		#潘朵拉寶盒鑰匙-穩重
95	16	2	1	0	5000	40.0		#潘朵拉寶盒鑰匙-好奇
96	16	2	1	0	5000	80.0		#潘朵拉寶盒鑰匙-冒險
97	10	0	0	17	0	0.0	ACTIVITY_Finger_Guessing	#瓜娃猜猜樂
98	31	0	1	201	0	0.0		信件三合一
99	4	0	0	7035	0	0.0		每日合成信件任務
100	31	0	1	202	0	0.0		任務1526
105	20	0	0	0	0	0.0	DROPFALL.FXS	#召喚船員
106	21	0	0	0	0	0.0	DROPFALL.FXS	#召喚觀賞寵
107	19	0	0	0	0	0.0	DROPFALL.FXS	#召喚坐騎
108	22	0	0	0	0	0.0		#快速補血
109	8	0	1	1	100	10.0		#每日-錢袋1
110	8	0	1	1	300	10.0		#每日-錢袋2
111	8	0	1	1	700	10.0		#每日-錢袋3
112	8	0	1	1	1300	10.0		#每日-錢袋4
113	8	0	1	1	1900	10.0		#每日-錢袋5
114	8	0	1	1	2500	10.0		#每日-錢袋6
115	8	0	1	1	3100	10.0		#每日-錢袋7
116	8	0	1	1	3800	10.0		#每日-錢袋8
117	8	0	1	2	4740	25.0		#每日-經驗2
118	8	0	1	2	13680	25.0		#每日-經驗3
119	8	0	1	2	23710	25.0		#每日-經驗4
120	8	0	1	2	37305	25.0		#每日-經驗5
121	8	0	1	2	53860	25.0		#每日-經驗6
122	8	0	1	2	89820	25.0		#每日-經驗7
123	8	0	1	2	144480	25.0		#每日-經驗8
124	8	0	1	3	105	25.0		#每日-技能點1
125	8	0	1	3	2370	25.0		#每日-技能點2
126	8	0	1	3	6840	25.0		#每日-技能點3
127	8	0	1	3	11855	25.0		#每日-技能點4
128	8	0	1	3	18652	25.0		#每日-技能點5
129	8	0	1	3	26930	25.0		#每日-技能點6
130	8	0	1	3	44910	25.0		#每日-技能點7
131	8	0	1	3	72240	25.0		#每日-技能點8
132	3	2	1	50	0	0.0		#直接吸收養分_每日-吸收1
133	3	2	1	100	0	0.0		#直接吸收養分_每日-吸收2
134	3	2	1	150	0	0.0		#直接吸收養分_每日-吸收3
135	3	2	1	200	0	0.0		#直接吸收養分_每日-吸收4
136	3	2	1	250	0	0.0		#直接吸收養分_每日-吸收5
137	3	2	1	300	0	0.0		#直接吸收養分_每日-吸收6
138	6	0	1	2800001	3	0.0		#強化寶石包1
139	6	0	1	2800002	3	0.0		#強化寶石包2
140	2	2	1	5	0	0.0		#每日-提煉
141	26	0	0	0	0	0.0		#瓶中信
142	8	0	1	2	210	25.0		#每日-經驗1
143	17	0	1	0	87	0.0		#一般背包租用-30天
144	17	0	1	0	88	0.0		#VIP背包租用
145	17	0	1	0	89	0.0		#倉庫租用
146	17	0	1	0	90	0.0		#船員技能格租用
147	17	0	1	0	91	0.0		#VIP蛻變格租用
148	17	0	1	0	92	0.0		#VIP黑市拍賣上限租用
149	17	0	1	0	85	0.0		#一般背包租用-1天
150	6	0	1	2700002	3	0.0		不使用
151	6	0	1	2700003	3	0.0		不使用
152	6	0	1	2700004	3	0.0		不使用
153	6	0	1	2700005	3	0.0		不使用
154	6	0	1	2700006	3	0.0		不使用
155	6	0	1	2700007	3	0.0		不使用
156	6	0	1	2700008	3	0.0		不使用
157	6	0	1	2700009	3	0.0		不使用
158	6	0	1	2700010	3	0.0		不使用
159	6	0	1	2700011	3	0.0		不使用
160	6	0	1	2700012	3	0.0		不使用
161	6	0	1	2700013	3	0.0		不使用
162	6	0	1	2700014	3	0.0		不使用
163	6	0	1	2700015	3	0.0		不使用
164	6	0	1	2700016	3	0.0		不使用
165	6	0	1	2700017	3	0.0		不使用
166	6	0	1	2700018	3	0.0		不使用
167	6	0	1	2700019	3	0.0		不使用
168	6	0	1	2700020	3	0.0		不使用
169	6	0	1	2700021	3	0.0		不使用
170	6	0	1	2700022	3	0.0		不使用
171	6	0	1	2700023	3	0.0		不使用
172	6	0	1	2700024	3	0.0		不使用
173	6	0	1	2700025	3	0.0		不使用
174	6	0	1	2700026	3	0.0		不使用
175	6	0	1	2700027	3	0.0		不使用
176	6	0	1	2700028	3	0.0		#綜合養份包60-1
177	6	0	1	2700029	3	0.0		#綜合養份包60-2
178	6	0	1	2700030	3	0.0		#綜合養份包60-3
179	6	0	1	2700031	3	0.0		#綜合養份包80-1
180	6	0	1	2700032	3	0.0		#綜合養份包80-2
181	6	0	1	2700033	3	0.0		#綜合養份包80-3
182	6	0	1	2700034	3	0.0		#綜合養份包90-1
183	6	0	1	2700035	3	0.0		#綜合養份包90-2
184	6	0	1	2700036	3	0.0		#綜合養份包90-3
185	6	0	1	2700037	3	0.0		#綜合養份包100-1
186	6	0	1	2700038	3	0.0		#綜合養份包100-2
187	6	0	1	2700039	3	0.0		#綜合養份包100-3
188	6	0	1	2700040	3	0.0		#綜合養份包110-1
189	6	0	1	2700041	3	0.0		#綜合養份包110-2
190	6	0	1	2700042	3	0.0		#綜合養份包110-3
191	6	0	1	2700043	3	0.0		#綜合養份包115-1
192	6	0	1	2700044	3	0.0		#綜合養份包115-2
193	6	0	1	2700045	3	0.0		#綜合養份包115-3
194	6	0	1	2700046	3	0.0		#綜合養份包2-1
195	6	0	1	2700047	3	0.0		#綜合養份包2-2
196	6	0	1	2700048	3	0.0		#綜合養份包2-3
197	6	0	1	2700049	3	0.0		#綜合養份包3-1
198	6	0	1	2700050	3	0.0		#綜合養份包3-2
199	6	0	1	2700051	3	0.0		#綜合養份包3-3
200	5	0	2	91	0	0.0		#船員補血-一般
201	12	0	1	1	0	0.0		#圖鑑不明碎片
202	12	0	1	2	0	0.0		#圖鑑不明碎片
203	12	0	1	4	0	0.0		#圖鑑不明碎片
204	12	0	1	8	0	0.0		#圖鑑不明碎片
209	23	0	1	1	0	0.0		#爐石-入口點
210	9	0	1	0	0	0.0		#船員技能共用
211	6	0	1	2700052	1	0.0		#吸收精華包40
212	6	0	1	2700053	1	0.0		#吸收精華包60
213	6	0	1	2700054	1	0.0		#吸收精華包80
214	6	0	1	2700055	1	0.0		#吸收精華包90
215	6	0	1	2700056	1	0.0		#吸收精華包100
216	6	0	1	2700057	1	0.0		#吸收精華包110
217	6	0	1	2700058	1	0.0		#吸收精華包115
218	6	0	1	2700059	1	0.0		#吸收精華包2
219	6	0	1	2700060	1	0.0		#吸收精華包3
220	6	0	1	2800003	1	0.0		#船員古書1
221	6	0	1	2800004	1	0.0		#船員古書2
222	6	0	1	2800005	1	0.0		#船員古書3
223	6	0	1	2800006	1	0.0		#船員古書4
224	6	0	1	2800007	1	0.0		#船員古書5
225	6	0	1	2800008	1	0.0		#配方包1
226	6	0	1	2800009	1	0.0		#配方包2
227	6	0	1	2800010	1	0.0		#配方包3
228	6	0	1	2800011	1	0.0		#配方包4
229	6	0	1	2800012	1	0.0		#配方包5
230	6	0	1	2700061	4	0.0		#不使用
231	6	0	1	2700062	4	0.0		#不使用
232	6	0	1	2700063	4	0.0		#不使用
233	6	0	1	2700064	4	0.0		#不使用
235	25	2	1	0	0	0.0		#鑄型道具
236	27	0	1	0	0	0.0		#商城轉蛋專用
237	6	0	1	2700061	4	0.0		LV.1元素包(地)
238	6	0	1	2700062	4	0.0		LV.2元素包(地)
239	6	0	1	2700063	4	0.0		LV.3元素包(地)
240	6	0	1	2700064	4	0.0		LV.4元素包(地)
241	6	0	1	2700065	4	0.0		LV.5元素包(地)
242	6	0	1	2700070	4	0.0		#不使用
243	6	0	1	2700071	4	0.0		#不使用
244	6	0	1	2700072	4	0.0		#不使用
245	6	0	1	2700073	4	0.0		#不使用
246	6	0	1	2700074	4	0.0		#不使用
247	6	0	1	2700075	4	0.0		#不使用
248	6	0	1	2700076	4	0.0		#不使用
249	6	0	1	2700077	4	0.0		#不使用
250	6	0	1	2700078	4	0.0		#不使用
251	6	0	1	2700079	4	0.0		#不使用
252	6	0	1	2700080	4	0.0		#不使用
253	6	0	1	2800013	1	0.0		鐵匠盒-劍1
254	6	0	1	2800014	1	0.0		鐵匠盒-劍2
255	6	0	1	2800015	1	0.0		鐵匠盒-劍3
256	6	0	1	2800016	1	0.0		鐵匠盒-劍4
257	6	0	1	2800017	1	0.0		鐵匠盒-鎚1
258	6	0	1	2800018	1	0.0		鐵匠盒-鎚2
259	6	0	1	2800019	1	0.0		鐵匠盒-鎚3
260	6	0	1	2800020	1	0.0		鐵匠盒-鎚4
261	6	0	1	2800021	1	0.0		鐵匠盒-盾1
262	6	0	1	2800022	1	0.0		鐵匠盒-盾2
263	6	0	1	2800023	1	0.0		鐵匠盒-盾3
264	6	0	1	2800024	1	0.0		鐵匠盒-盾4
265	6	0	1	2800025	1	0.0		鐵匠盒-浮石1
266	6	0	1	2800026	1	0.0		鐵匠盒-浮石2
267	6	0	1	2800027	1	0.0		鐵匠盒-浮石3
268	6	0	1	2800028	1	0.0		鐵匠盒-浮石4
269	6	0	1	2800029	1	0.0		鐵匠盒-雙槍1
270	6	0	1	2800030	1	0.0		鐵匠盒-雙槍2
271	6	0	1	2800031	1	0.0		鐵匠盒-雙槍3
272	6	0	1	2800032	1	0.0		鐵匠盒-雙槍4
273	6	0	1	2800033	1	0.0		鐵匠盒-法杖1
274	6	0	1	2800034	1	0.0		鐵匠盒-法杖2
275	6	0	1	2800035	1	0.0		鐵匠盒-法杖3
276	6	0	1	2800036	1	0.0		鐵匠盒-法杖4
278	17	0	1	0	93	0.0		#任務給，經驗+5%
279	17	0	1	0	94	0.0		#任務給，技能點+5%
280	24	0	1	1	0	9.0		#力量屬性丹1
281	24	0	1	1	10	19.0		#力量屬性丹2
282	24	0	1	1	20	29.0		#力量屬性丹3
283	24	0	1	2	0	9.0		#敏捷屬性丹1
284	24	0	1	2	10	19.0		#敏捷屬性丹2
285	24	0	1	2	20	29.0		#敏捷屬性丹3
286	24	0	1	3	0	9.0		#體質屬性丹1
287	24	0	1	3	10	19.0		#體質屬性丹2
288	24	0	1	3	20	29.0		#體質屬性丹3
289	24	0	1	4	0	9.0		#智力屬性丹1
290	24	0	1	4	10	19.0		#智力屬性丹2
291	24	0	1	4	20	29.0		#智力屬性丹3
292	24	0	1	5	0	9.0		#感知屬性丹1
293	24	0	1	5	10	19.0		#感知屬性丹2
294	24	0	1	5	20	29.0		#感知屬性丹3
295	17	0	1	0	4	0.0		#任務送提煉保障次數
296	17	0	1	0	137	0.0		#船員好感度MAX
297	17	0	1	0	139	0.0		#幸運採集10%
298	17	0	1	0	138	0.0		#幸運採集10%-試用
299	5	0	2	92	0	0.0		#船員補血-天龍
300	17	0	1	1	0	0.0		#VIP服務30天
301	8	0	1	4	5	0.0		增加士氣值5
302	8	0	1	4	10	0.0		增加士氣值10
303	5	0	1	10000	0	0.0		#LV1紅藥水
304	5	0	1	10001	0	0.0		#LV2紅藥水
305	5	0	1	10002	0	0.0		#LV3紅藥水
306	5	0	1	10003	0	0.0		#LV4紅藥水
307	5	0	1	10004	0	0.0		#LV5紅藥水
308	29	0	0	0	0	0.0		#隨身倉庫
309	28	0	0	1	1	0.0		#隨身商店-一般
310	28	0	0	2	2	0.0		#隨身商店-條件
311	6	0	1	2700082	8	0.0		#Lv15戰備包(聖騎士)
312	6	0	1	2700083	8	0.0		#Lv25戰備包(聖騎士)
313	6	0	1	2700084	8	0.0		#Lv35戰備包(聖騎士)
314	17	0	1	2	0	0.0		#VIP服務1天
315	39	0	1	500	0	0.0		場景圖鑑送代幣
321	8	0	1	4	20	0.0		增加士氣值20
322	8	0	1	4	25	0.0		增加士氣值25
323	8	0	1	4	30	0.0		增加士氣值30
329	5	0	1	10005	0	0.0		#每日紅藥水-補1-1
330	5	0	1	10006	0	0.0		#每日紅藥水-補3-1
331	5	0	1	10007	0	0.0		#每日紅藥水-補4-1
332	5	0	1	10008	0	0.0		#貴族紅藥水
333	6	0	1	2800055	3	0.0		優爾妲魔方
334	6	0	1	2800056	3	0.0		克羅艾斯魔方
335	6	0	1	2800057	3	0.0		海底十字軍魔方
336	6	0	1	2800058	3	0.0		古文明衛士魔方
337	6	0	1	2800059	3	0.0		職業守護魔方
338	6	0	1	2800060	3	0.0		職業加護護魔方
339	6	0	1	2800061	3	0.0		職業精靈魔方
340	6	0	1	2800062	3	0.0		亞瑞斯套裝魔方
341	6	0	1	2800063	3	0.0		謬思套裝魔方
342	6	0	1	2800064	3	0.0		海克力斯套裝魔方
343	6	0	1	2800065	3	0.0		阿波羅套飾魔方
344	6	0	1	2800066	3	0.0		漢密斯套飾魔方
345	6	0	1	2800067	3	0.0		命運之卵
346	30	2	1	0	0	0.0		降等道具
347	8	0	1	4	15	0.0		增加士氣值15
348	31	0	1	10	2600096	1.0		#1階精華合成2階
349	31	0	1	10	2600097	1.0		#2階精華合成3階
350	8	0	1	2	100	25.0		#赫卡特-經驗極小
351	8	0	1	2	300	25.0		#赫卡特-經驗小
352	8	0	1	2	500	25.0		#赫卡特-經驗微
353	8	0	1	3	50	25.0		#赫卡特-技能點極小
354	8	0	1	3	150	25.0		#赫卡特-技能點小
355	8	0	1	3	250	25.0		#赫卡特-技能點微
356	17	0	1	0	151	0.0		#幸運採集10%，1hr
357	17	0	1	0	152	0.0		#船員特殊技能格租用，1hr
358	17	0	1	0	153	0.0		#經驗加成20％，7天
359	17	0	1	0	154	0.0		#技能點加成20％，7天
360	17	0	1	0	155	0.0		#船員技能格租用，7天
361	6	0	1	2700085	3	0.0		#綜合養份包50-1
362	6	0	1	2700086	3	0.0		#綜合養份包50-2
363	6	0	1	2700087	3	0.0		#綜合養份包50-3
364	6	0	1	2700088	3	0.0		#綜合養份包70-1
365	6	0	1	2700089	3	0.0		#綜合養份包70-2
366	6	0	1	2700090	3	0.0		#綜合養份包70-3
367	5	0	1	6619	0	0.0		#釀酒D2-體+H
368	5	0	1	6620	0	0.0		#釀酒D3-敏+H
369	5	0	1	6621	0	0.0		#釀酒D4-感+H
370	5	0	1	6622	0	0.0		#釀酒D5-智+H
371	32	0	1	3	0	0.0		#寶石方塊重置
372	32	0	1	4	0	0.0		#連連看重置
373	32	0	1	8	0	0.0		#寶藏拼圖重置
374	6	0	1	2800068	1	0.0		許願魔方
375	6	0	1	2800069	1	0.0		每日銀幣任務轉蛋
376	8	0	1	6	50	0.0		#給公會經驗值
377	8	0	1	6	60	0.0		#給公會經驗值
378	8	0	1	5	50	0.0		#給功勳值
379	6	0	1	2700091	8	0.0		#Lv40戰備包(聖騎士)
380	31	0	1	5	0	0.0		#合成頭飾膠囊
381	31	0	1	6	0	0.0		#合成上身膠囊
382	31	0	1	7	0	0.0		#合成下身膠囊
383	6	0	1	2800070	1	0.0		#頭飾膠囊
384	6	0	1	2800071	1	0.0		#上身膠囊
385	6	0	1	2800072	1	0.0		#下身膠囊
386	5	0	1	10009	0	0.0		#商店紅藥水1，回標準值的8成
387	5	0	1	10010	0	0.0		#商店紅藥水2
388	5	0	1	10011	0	0.0		#商店紅藥水3
389	5	0	1	10012	0	0.0		#商店紅藥水4
390	5	0	1	10013	0	0.0		#商店紅藥水5
391	6	0	1	2700092	7	0.0		Lv15戰備箱(劍鬥士)
392	6	0	1	2700093	7	0.0		Lv25戰備箱(劍鬥士)
393	6	0	1	2700094	7	0.0		Lv35戰備箱(劍鬥士)
394	6	0	1	2700095	7	0.0		Lv40戰備箱(劍鬥士)
395	6	0	1	2700096	6	0.0		Lv15戰備箱(神槍手)
396	6	0	1	2700097	6	0.0		Lv25戰備箱(神槍手)
397	6	0	1	2700098	6	0.0		Lv35戰備箱(神槍手)
398	6	0	1	2700099	6	0.0		Lv40戰備箱(神槍手)
399	6	0	1	2700100	6	0.0		Lv15戰備箱(風暴使者)
400	6	0	1	2700101	6	0.0		Lv25戰備箱(風暴使者)
401	6	0	1	2700102	6	0.0		Lv35戰備箱(風暴使者)
402	6	0	1	2700103	6	0.0		Lv40戰備箱(風暴使者)
403	6	0	1	2700104	6	0.0		Lv15戰備箱(聖火祭司)
404	6	0	1	2700105	6	0.0		Lv25戰備箱(聖火祭司)
405	6	0	1	2700106	6	0.0		Lv35戰備箱(聖火祭司)
406	6	0	1	2700107	6	0.0		Lv40戰備箱(聖火祭司)
407	5	0	1	6623	0	0.0		Lv1活力秘釀
408	5	0	1	6624	0	0.0		Lv2活力秘釀
409	5	0	1	6625	0	0.0		Lv3活力秘釀
410	5	0	1	6626	0	0.0		Lv4活力秘釀
411	5	0	1	6627	0	0.0		Lv5活力秘釀
412	5	0	1	6628	0	0.0		Lv6活力秘釀
413	5	0	1	6629	0	0.0		Lv7活力秘釀
414	5	0	1	6630	0	0.0		Lv8活力秘釀
415	5	0	1	6631	0	0.0		Lv9活力秘釀
416	5	0	1	6632	0	0.0		Lv10活力秘釀
417	5	0	1	5137	0	0.0		#變身道具 - 蘿絲瑪莉
418	5	0	1	5138	0	0.0		#變身道具 - 葛蕾絲
419	5	0	1	5139	0	0.0		#變身道具 - 納爾遜
420	5	0	1	5140	0	0.0		#變身道具 - 山本五十六
421	5	0	1	5141	0	0.0		#變身道具 - 海魅影
422	5	0	1	5142	0	0.0		#變身道具 - 麥迪遜
423	5	0	1	5143	0	0.0		#變身道具 - 愛德華
424	5	0	1	5144	0	0.0		#變身道具 - 安潔莉娜
425	5	0	1	5145	0	0.0		#變身道具 - 奧德賽
426	5	0	1	5146	0	0.0		#變身道具 - 柏拉圖
427	5	0	1	5147	0	0.0		#變身道具 - 賽蓮
428	23	0	1	2	0	0.0		#爐石-重生點
429	23	0	1	3	0	0.0		#爐石-公會島
430	8	0	1	2	3500	0.0		#神燈任務-經驗
431	8	0	1	3	1750	0.0		#神燈任務-技能點
432	34	0	1	0	0	0.0		#強化上限突破
433	35	0	1	0	0	0.0		#可轉手次數
434	17	0	1	0	166	0.0		隨身倉庫(7天)
435	17	0	1	0	167	0.0		隨身保管箱(7天)
436	17	0	1	0	168	0.0		隨身交易所(7天)
437	17	0	1	0	169	0.0		隨身倉庫(3天)
438	17	0	1	0	170	0.0		隨身保管箱(3天)
439	17	0	1	0	171	0.0		隨身交易所(3天)
440	17	0	1	0	172	0.0		隨身倉庫(1天)
441	17	0	1	0	173	0.0		隨身保管箱(1天)
442	17	0	1	0	174	0.0		隨身交易所(1天)
443	36	0	1	0	0	0.0		編輯人物
444	6	0	1	2800162	3	0.0		獵王魔方
445	6	0	1	2800074	2	0.0		驚喜彩蛋(1)
446	6	0	1	2800075	2	0.0		驚喜彩蛋(2)
447	6	0	1	2800076	2	0.0		驚喜彩蛋(3)
448	6	0	1	2800077	2	0.0		驚喜彩蛋(4)
449	6	0	1	2800078	2	0.0		驚喜彩蛋(5)
450	6	0	1	2800079	2	0.0		驚喜彩蛋(6)
451	6	0	1	2800080	2	0.0		驚喜彩蛋(7)
452	6	0	1	2800081	2	0.0		驚喜彩蛋(8)
453	6	0	1	2800082	2	0.0		驚喜彩蛋(9)
454	6	0	1	2800083	2	0.0		驚喜彩蛋(10)
455	6	0	1	2800084	2	0.0		驚喜彩蛋(11)
456	6	0	1	2800085	2	0.0		驚喜彩蛋(12)
457	8	0	1	2	4740	75.0		經驗值彩蛋(1)
458	8	0	1	2	8664	75.0		經驗值彩蛋(2)
459	8	0	1	2	14580	75.0		經驗值彩蛋(3)
460	8	0	1	2	21150	75.0		經驗值彩蛋(4)
461	8	0	1	2	32175	75.0		經驗值彩蛋(5)
462	8	0	1	2	40140	75.0		經驗值彩蛋(6)
463	8	0	1	2	50040	75.0		經驗值彩蛋(7)
464	8	0	1	2	64620	75.0		經驗值彩蛋(8)
465	8	0	1	2	89829	75.0		經驗值彩蛋(9)
466	8	0	1	2	126480	75.0		經驗值彩蛋(10)
467	8	0	1	2	130740	75.0		經驗值彩蛋(11)
468	8	0	1	2	144480	75.0		經驗值彩蛋(12)
469	8	0	1	3	2370	75.0		技能點彩蛋(1)
470	8	0	1	3	4332	75.0		技能點彩蛋(2)
471	8	0	1	3	7290	75.0		技能點彩蛋(3)
472	8	0	1	3	10575	75.0		技能點彩蛋(4)
473	8	0	1	3	16089	75.0		技能點彩蛋(5)
474	8	0	1	3	20070	75.0		技能點彩蛋(6)
475	8	0	1	3	25020	75.0		技能點彩蛋(7)
476	8	0	1	3	32310	75.0		技能點彩蛋(8)
477	8	0	1	3	44916	75.0		技能點彩蛋(9)
478	8	0	1	3	63240	75.0		技能點彩蛋(10)
479	8	0	1	3	65370	75.0		技能點彩蛋(11)
480	8	0	1	3	72240	75.0		技能點彩蛋(12)
481	5	0	1	6633	0	0.0		#40副本水果-力
482	5	0	1	6634	0	0.0		#40副本水果-敏
483	5	0	1	6635	0	0.0		#40副本水果-體
484	5	0	1	6636	0	0.0		#40副本水果-智
485	5	0	1	6637	0	0.0		#40副本水果-感
486	37	0	1	1	0	0.0		#圖鑑全開-共用
487	17	0	1	0	177	0.0		船員開眼庇護(1天)
488	17	0	1	0	147	0.0		戰鬥經驗庇護(1天)
489	17	0	1	0	148	0.0		戰鬥技能庇護(1天)
490	17	0	1	0	178	0.0		戰鬥經驗庇護(1hr)
491	17	0	1	0	179	0.0		戰鬥技能庇護(1hr)
492	8	0	1	4	50	0.0		增加士氣值50
493	17	0	1	3	0	0.0		#VIP服務3天
494	31	0	1	8	0	0.0		黑暗秘法娃娃
495	6	0	1	2800094	1	0.0		套裝獎勵
496	6	0	1	2700111	3	0.0		【荒野過客】套裝
497	6	0	1	2800086	1	0.0		秘法膠囊
498	6	0	1	2700112	3	0.0		【指導者】套裝
499	6	0	1	2700113	3	0.0		【戰爭機器】套裝
500	31	0	1	9	0	0.0		神秘寶藏娃娃
501	6	0	1	2700114	3	0.0		【神火使徒】套裝
502	6	0	1	2700115	3	0.0		【深淵戰甲】套裝
503	6	0	1	2800087	1	0.0		神秘膠囊
504	17	0	1	0	3	0.0		#VIP跳高服務3天
506	31	0	1	10	0	0.0		公會榮耀娃娃
509	6	0	1	2800088	1	0.0		榮耀膠囊
512	6	0	1	2800089	1	0.0		初階職業膠囊
513	6	0	1	2800163	3	0.0		海盜魔方
517	6	0	1	2800090	1	0.0		中階職業膠囊
518	31	0	1	1	0	0.0		合成審判之槌：黃昏
519	31	0	1	2	0	0.0		合成審判之槌：破曉
520	31	0	1	3	0	0.0		合成審判之槌：旭日
521	31	0	1	4	0	0.0		合成審判之槌：烈陽
522	31	0	1	11	0	0.0		克羅艾斯契約
523	31	0	1	12	0	0.0		優爾妲契約
