n_ID	n_ID_MAINTITLE	n_LINK	s_HK_VER	s_TC_VER	s_JP_VER	s_TH_VER
2002	200	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
2003	200	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
2004	200	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
2005	200	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
2006	200	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
2010	201	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
2020	202	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
2021	202	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
2022	202	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
2023	202	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
2024	202	0	1.01.0000	1.01.0000	1.01.0000	1.01.0000
2025	202	0	1.01.0000	1.01.0000	1.01.0000	1.01.0000
2026	202	0	1.01.0000	1.01.0000	1.01.0000	1.01.0000
2027	202	0	1.01.0000	1.01.0000	1.01.0000	1.01.0000
3000	300	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
3001	300	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
3002	300	15	1.00.0000	1.07.0000	1.07.0000	1.07.0000
3003	300	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
3004	300	9	1.00.0000	1.07.0000	1.07.0000	1.07.0000
3005	300	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
3010	301	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
3011	301	10	1.00.0000	1.07.0000	1.07.0000	1.07.0000
3012	301	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
3013	301	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
3020	302	17	1.00.0000	1.07.0000	1.07.0000	1.07.0000
3021	302	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
3022	302	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
3023	302	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
4000	400	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
4001	400	13	1.00.0000	1.07.0000	1.07.0000	1.07.0000
4002	400	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
5000	501	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
5010	501	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
5011	501	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
5012	501	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
5021	502	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
5022	502	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
6000	600	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
6010	601	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
