n_ID	s_NAME	s_ID_ICON	s_ID_MODEL_PARTS	n_ID_MODEL	n_ID_MAP	n_DROPMODEL_TYPE	s_MODEL_EFFECT	n_TAG_TRADE	n_QUALITY	n_ITEMLV	n_CONDITION_LV	n_CONDITION_GENDER	n_CONDITION_CLASS	n_CONDITION_CAMPS	n_CONDITION_SKILL	n_CONDITION_SKILLLV	n_ICONSLOT	n_EQUIPSLOT	n_EQUIPTYPE	s_EQUIPTYPE_EFFECT	n_TAG_LOOT	s_TAG_EXTRA	n_ID_USAGE	n_CD	n_PRICE_BUY	n_PRICE_VENDER	n_QUATITY_STACK	s_ITEM_EXIST	n_ID_BUFF	s_EQUIPFX	s_VARYDATA	n_BROADCAST	n_BROADCAST_QUANTITY	s_HK_VER	s_TC_VER	s_JP_VER	s_TH_VER
43	海商會旗碎布	ICON_MISSION_006_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
44	海商會徽章	ICON_MISSION_043_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
45	古文明機具齒輪	ICON_MISSION_038_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
48	日輪鑰匙	ICON_MISSION_003_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
49	太陽能水晶	ICON_MISSION_001_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
50	天空原鄉紀事	ICON_MISSION_004_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
51	翡翠手鐲	ICON_MISSION_008_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
52	麝香椰果	ICON_FRUIT_004_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
53	啾可菈的蛋	ICON_MISSION_045_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
54	甜蜜蜜蜂蜜	ICON_MISSION_049_001		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
55	金鯊商會聘禮	ICON_MISSION_044_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
56	鳳梨汁	ICON_WINE_002_003		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
57	半筋半肉虎排	ICON_MISSION_009_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
58	野莓比比的蛋	ICON_MISSION_045_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
59	天堂花花瓣	ICON_MISSION_063_001		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
60	上古石碑碎片	ICON_MISSION_068_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
61	警戒器零件	ICON_MISSION_038_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
62	紅色智慧水晶	ICON_MISSION_001_001		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
63	銀骨項鍊	ICON_MISSION_019_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
64	祖母綠玉盃	ICON_MISSION_064_002		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
65	小張空白紙捲	ICON_MISSION_004_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
66	日記缺頁	ICON_MISSION_084_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	1		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
67	日記本鑰匙	ICON_MISSION_052_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	1		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
68	第三張募兵告示	ICON_MISSION_075_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
69	超髒的海軍女將寫真集	ICON_MISSION_083_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
70	黑心肝翅膀	ICON_MISSION_028_002		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
71	皇家項鍊	ICON_MISSION_019_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
72	火鳥羽毛	ICON_MISSION_028_001		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
73	超嗨草藥	ICON_MISSION_020_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
74	鬥魂禁藥	ICON_MISSION_035_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
75	天鉤鷹爪	ICON_MISSION_046_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
76	蛇之唾液	ICON_MISSION_049_001		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
77	沼氣老酒	ICON_WINE_014_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
78	卡洛斯的頭盔	ICON_MISSION_039_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
79	卡洛斯的戰靴	ICON_MISSION_040_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
80	卡洛斯的戰錘	ICON_MISSION_041_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
81	角鬥士耳環	ICON_MISSION_074_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
82	神鬼戰士獎盃	ICON_MISSION_064_001		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
83	荊棘情花	ICON_MISSION_063_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
84	飄飄楓葉	ICON_LEAF_005_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
85	二手破靴	ICON_MISSION_040_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
86	淡水活魚	ICON_MISSION_055_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
87	澄色智慧水晶	ICON_MISSION_001_003		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
88	角鬥士戰牌	ICON_MISSION_072_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
89	小白菇粉末	ICON_MISSION_020_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
90	毒蛇之牙	ICON_MISSION_047_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
92	奴隸賣身契	ICON_DOCUMENT_001_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
93	獸人之眼	ICON_MISSION_057_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
94	越獄計劃書	ICON_DOCUMENT_000_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
95	醉人的香料	ICON_MISSION_020_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
96	奧德賽入獄快報	ICON_MISSION_075_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
97	完整無缺的星辰鑽石	ICON_MISSION_053_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
98	第二張暗號告示	ICON_MISSION_075_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
99	第三張暗號告示	ICON_MISSION_075_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
100	星辰鑽石	ICON_MISSION_053_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
101	拜金女戒指	ICON_MISSION_014_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
102	奧德賽通緝令	ICON_MISSION_076_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
103	奧德賽的髮束	ICON_MISSION_088_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
104	地雷引信	ICON_MISSION_018_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
105	骷髏炸彈	ICON_MISSION_017_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
106	腥味超重的龜肉	ICON_MISSION_009_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
107	黑辮子海盜旗	ICON_MISSION_026_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
108	紅鬍子海盜旗	ICON_PL_013_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
109	第一張暗號告示	ICON_MISSION_075_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
110	蒜味生肉	ICON_MISSION_009_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
111	閃亮獸皮	ICON_MISSION_048_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
112	雪貂圍巾	ICON_MISSION_033_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
113	帥氣海軍帽	ICON_MISSION_025_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
114	黃金虎爪	ICON_MISSION_046_001		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
115	夜光貓眼石	ICON_MISSION_053_002		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
116	海軍肩徽	ICON_MISSION_023_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
117	七海五號暗號之一	ICON_MISSION_075_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
118	深紅羽翼	ICON_MISSION_028_001		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
119	瑪瑙鈴鐺	ICON_MISSION_085_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
120	海商王的石頭	ICON_MISSION_071_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
121	賽蓮的湯勺	ICON_MISSION_082_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
122	黃色智慧水晶	ICON_MISSION_001_005		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
123	皇族酒盃	ICON_MISSION_064_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
124	七海五號暗號之二	ICON_MISSION_075_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
125	七海五號暗號之三	ICON_MISSION_075_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
126	中張空白紙捲	ICON_MISSION_004_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
127	大張空白紙捲	ICON_MISSION_004_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
128	一號要塞砲彈	ICON_MISSION_017_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
129	中級原罪碎片	ICON_MISSION_030_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
130	白銀魚骨	ICON_MISSION_031_001		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
131	邪光礦石	ICON_MISSION_011_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
132	次級原罪碎片	ICON_MISSION_030_001		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
133	洞穴金庫鑰匙	ICON_MISSION_052_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
134	航海贊助金	ICON_MISSION_053_002		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
135	寒天草菇	ICON_MISSION_021_001		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
136	迷迭香幼蠶	ICON_MISSION_007_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
137	暈暈樂種子	ICON_MISSION_036_000		0	0	0		23	1	1	0	0	0	0	0	0	0	0	0		2048		0	0	0	1	999		0			0	0	1.00.0000	1.00.0000	1.07.0000	1.07.0000
