n_ID	s_NAME_VARIABLE	n_VALUE_VARIABLE
84	GUILD_MEMBER_COST	500
85	COST_GUILD_FUNCTIONS_TANK1~3	5000
86	GUILDTANK_LAST_TIME	120
87	GUILD_HELP_BREW_TIMES	5
88	RECOVER_STAMINA	3
89	RECOVER_HP	2
90	DURATION_RECOVER_HP	5
91	DURATION_RECOVER_STAMINA	2
92	HEIGHT_PC	150
93	BOUNDARY_PC	75
94	CRYSTAL_ABSORB_1	50
95	CRYSTAL_ABSORB_2	60
96	CRYSTAL_ABSORB_3	80
97	ACTIVITY_ADVANCED_TIME	300
98	NUTRIENT_MIN	100
99	NUTRIENT_MAX	5000
100	DAILY_PLAN_TIME_LIMITE	12
101	SCORE_KILLING_ONE_PLAYER	20
102	SINGLE_GVG_KILLING_MAX_GUILD	50
103	DEDUCT_GUILDEXP_DECLINE_GVG	5000
104	GUILD_INVITE_TIME_LIMIT	120
105	ENHANCE_PASSLV	1
106	GUILD_NEEDLV_CHIEF'S_RING	6
107	GUILD_NEEDLV_TANK	6
108	GUILD_NEEDLV_GUILDWAR	5
109	GUILD_NEEDLV_WAREHOUSE	2
110	GUILD_NEEDLV_COLOR	3
111	GUILD_NEEDLV_GUILDBUFF	2
112	GUILD_NEEDLV_INSTENSE	2
113	GUILD_NEEDLV_TRANSFORM	5
114	GUILD_NEEDLV__FORCED_GUILDWAR	8
115	GUILD_NEEDLV_SECRET_TREASURE	9
116	GUILD_NEEDLV_ICON	7
117	GUILD_NEEDLV_CRYSTAL	4
118	RANGE_MINION_FOLLOW	500
119	RANGE_MINION_TELEPORT	4000
120	HEIGHT_MINION_TELEPORT	600
121	ENHANCE_MAX	25
122	TRANSFER_ITEM	2600006
123	IDENTIFY_RANK	8
124	IDENTIFY_ITEM	2208999
125	REOWNER_TIME	150
126	ITEMETCH_TIME	90
127	FAMILIAR_CLOSE_BOSS	3
128	FAMILIAR_CLOSE_GROUP	1080
129	FRIENDLY_POINT_MAX	100
130	FRIENDLY_POINT_REDUCE	10
131	TOKEN_ENABLE	0
132	TOKEN_RATIO	5
133	GUILD_OFFLINE_REFRESH_FREQUANCY	150
134	BROADCAST_STAY_TIME	3
135	DROP_HEIGHT	35
136	EXPRESS_TIMES	5
137	BROADCAST_FREQUENCY	1
138	TRANSFER_REDUCE	4294967294
139	GUILD_FUND_PAY_DAY	5
140	GUILD_FUND_PAY_TIME	23
141	SAILING_NUM	10
142	SOUL_WEAKEN_LV	16
143	SOUL_WEAKEN_LIMIT	100
144	WEAPON_CODE	127
145	ARMOR_CODE	7936
146	FITTINGS_CODE	122880
147	PACKAGE_MAX	100
148	PACKAGE_TIME	864000
149	SCENEMUSIC_SEPERATE_TIME	8
150	SCENEMUSIC_DECREASE_TIME	3
151	PVP_ENGAGE	3
152	STAY_ONLINE	12
153	TIME_REVIVE	3
154	TURN_DYING	20
155	INSTANCE_RECOUP_TIME	60
156	MORALIE_MIN	15
157	MORALIE_MAX	9999
158	NO_ORZ_STEP1	180
159	NO_ORZ_STEP2	120
160	NO_ORZ_STEP1_ALERT	60
161	NO_ORZ_STEP2_ALERT	30
162	NO_ORZ_STEP3_ALERT	15
163	INSTANCE_CHESTCHOOSE_TIME	30
164	FREETRADE	259200
165	CAP_LEVEL	120
166	KEYS_REVIVE	5
167	ITEM_LOCK	5
168	GUILD_ACTIVITY_COST	10000
169	BROADCAST_SHOW	100
170	SOUND_FREQUENCY	30
171	INSTANCE_LEAVEPARTY_TIME	15
172	GUILD_OFFLINE_MIN_TIME	30
173	GUILD_OFFLINE_MAX_TIME	720
174	GUILD_MAKEWISH_GUILDLV	4
175	RANGE_STARE	1800
176	RANGE_LEVEL	120
177	LETTER_BOTTLE_TIME	86400
178	GUILD_MAKEWISH_CDTIME	1200
179	MORNING_TIME	600
180	DAY_TIME	3000
181	EVENING_TIME	600
182	NIGHT_TIME	3000
183	GVG_SIGNUP_STARTTIME	40000
184	GVG_SIGNUP_ENDTIME	52359
185	GVG_FREEMODE_STARTTIME	60800
186	GVG_BATTLEFIELD_STARTTIME	62130
187	GVG_BATTLEFIELD_DURATION	900
188	GVG_MATCHTIME	60100
189	GVG_BATTLEFIELD_COUNTDOWN	30
190	GVG_BATTLEFIELD_MIDFIELD	30
191	GVG_BATTLEFIELD_BROADCAST	60
192	FLEX_START	10
193	FLEX_END	20
194	WALK_MARGIN	350
195	ACTIVITY_EXP_TIMES	1
196	SELL_NORMAL_MAX	5
197	SELL_VIP_MAX	15
198	OVERDUE_REMIND	1800
199	EYESIGHT	200
200	MIX_CHANGEBOX_NORMAL	1
201	MIX_CHANGEBOX_VIP	2
202	GOODCHANGE_MAX	30
203	BACKPACK_MAX	160
204	SAILOR_RECALL	60
205	REMAKE_TYPE	130943
206	GOLDCOIN_ITEM_ID	2600002
207	DEADLINE_NOTE_1	1800
208	DEADLINE_NOTE_2	600
209	BACKPACK_SORT_CDTIME	3
210	DROPITEMLV_MIN	4294967294
211	DROPITEMLV_MAX	2
212	ATTACK_BAREHAND	278
213	BORN_MARKER	999
214	ACTIVITY_MORESCORE_TIME	30
215	RANGE_X_SAILOR	75
216	RANGE_Y_SAILOR	50
217	RANGE_X_PET	50
218	RANGE_Y_PET	4294967246
219	AREA_PET_WALKING	300
220	OCEAN_ZOON_MIN	250
221	OCEAN_ZOON_MAX	1600
222	OCEAN_TILT_MIN	0
223	OCEAN_TILT_MAX	35
224	ELEMENT_RARE	2600095
225	ACTIVITY_DELAY_TIME	5
226	MORALIE_REGENERATION	1
227	MORALIE_INTERVAL	120
228	MINING_RADIUS	400
229	MINING_TIME	10
230	FLOOR_DROP_RANGE	100
231	FLOOR_EXIST_TIME	180
232	FLOOR_GET_RANGE	100
233	MINING_REVEAL	2500
234	DURATION_DYING	20
235	RANGE_MINION_RUN	600
236	SAILOR_AGGRO_RANGE	2500
237	ENHANCE_LIMIT_MIN_W	5
238	ENHANCE_LIMIT_MAX_W	10
239	ENHANCE_LIMIT_MIN_G	5
240	ENHANCE_LIMIT_MAX_G	15
241	ENHANCE_LIMIT_MIN_B	10
242	ENHANCE_LIMIT_MAX_B	20
243	ENHANCE_LIMIT_MIN_P	15
244	ENHANCE_LIMIT_MAX_P	25
245	ENHANCE_VARYVALUE	1
246	PEN_PAL_FRIENDS_ATLEAST	6
247	PVP_PLAYER_RANK	2048
248	PEN_PAL_BOTTLE_DAY	604800
249	SAILORSKILL_RENTSERVICE	155
250	PEN_PAL_MAIL_TIME	2
251	PEN_PAL_MAIL_FREQUENCY	5
252	FAMILIAR_CLOSE_FRIENDS	100
253	SAILOR_SKILLMAX	10
254	TRADE_TIMES	1
255	WATCH_RATE	50
256	MORALIE_GUILD	2
257	AVG_FPS	10
258	COMMUNITY_FRIENDS_ITEMMALL_MAX	100
259	CD_PVP_OFF	300
260	GAP_PVP_LEVEL	10
261	FITTINGROOM_PLAYER_DISTANCE	300
262	FITTINGROOM_MOUSE_LEFTKEY_MOVE	5
263	CD_TAG_PVPLOSE	60
264	CREATE_PEOPLE_COUNT_MUTI	10
265	CREATE_PEOPLE_COUNT_PLUS	7
266	LOADING_TEXT	70
267	SHOW_PVP_KILL_TIME	5
268	RANGE_VERTICAL	7500
269	NOVICE_SHOW_LV	14
270	CHARINFO_MORALIE_LV	30
271	LOGIN_BACKGROUND	4
272	MINLEVEL_ARENA	51
273	RESPAWN_ARENA	12
274	DURATION_ARENA	600
275	GOAL_VICTORY_ARENA	15
276	REWARD_WINNER_ARENA	2600387
277	AMOUNT_WINNER	9
278	REWARD_LOSER_ARENA	2600387
279	AMOUNT_LOSER	3
280	MVP_ARENA	10
281	RANK_LV	40
282	EXPADD_GATHER	3
283	EXPADD_SEAGET	10
284	SCORE_WINNER_ARENA	8
285	SCORE_LOSER_ARENA	1
286	MUL_REGAP	50
287	RECOVER_POWER	2
288	DURATION_RECOVER_POWER	1
289	DODGE_CAST_POWER	25
290	POWERMAX	100
291	DODGE_USE_SENSITIVITY	250
292	INSTANCE_CHESTCHOOSE_MORALIZED	45
294	TRADE_TIMES_HIGHQ	0
295	STALL_PLAYER_DISTANCE	100
296	SELL_STALL_BASIC	2
297	SELL_STALL_LIMIT	18
298	SELL_STALL_LV	30
299	PATRY_RECRUIT_TIME	600
300	REMAKE_MIN_LV	4294967294
301	REMAKE_MAX_LV	2
302	IDENTIFY_ITEM_GREEN	2209000
303	IDENTIFY_ITEM_BLUE	2209001
304	IDENTIFY_ITEM_PURPLE	2209002
305	IDENTIFY_ITEM_ORANGE	2209003
306	PLAYER_FLEX_START	120
307	PLAYER_FLEX_END	300
308	VIEWRANGE_DROP	2500
309	MORALIE_SALVAGE_RECOVER	0
310	GET_TOKENS_RATE	100
311	ENHANCE_LVDOWN_RATE	50
312	TREASURE_FINDING_MORALE	10
313	SCORE_SEA_HITDOWN	1
314	SCORE_SEA_RELIVE	1
315	SCORE_SEA_LOSE	5
316	SCORE_SEA_WIN	10
317	SCORE_SEA_FLAGSHIP	25
318	RESPAWN_SEA_ARENA	24
319	BATTLEFIELD_MIN_PLAYER	6
320	BATTLEFIELD_MAX_PLAYER	30
322	ADDITIONAL_RANDOM_GET_NEW	40
323	ADDITIONAL_RANDOM_COST	10
324	SEAARENA_TIME_WAIT	12
325	REWARD_SEA_ITEMID	2600392
326	PRESUFFIX_RANDOM_LEVEL_MIN	4294967286
327	PRESUFFIX_RANDOM_LEVEL_MAX	0
328	CHAT_ADD_FRIENDS	30
