n_ID	s_MODLE_ID	s_SCENE_NAME	s_IMAGENAME	n_SCENE_WEATHER	n_SCENE_DAYANDNIGHT	n_SCENE_TYPE	n_SCENE_SUBTYPE	n_CLINE_TYPE	s_SCENE_ICON	s_MUSIC_FILE	n_CANGLIDE	n_CANRIDE	n_LIMIT_HEIGHT	n_SAVE	n_MARKER	n_CAMERA_TYPE	n_COLLECT_MAP	n_SCENE_LV	n_VIDEO_NAME	s_HK_VER	s_TC_VER	s_JP_VER	s_TH_VER
32	Bg1016	小型島嶼-款式2	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0002	1	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
33	Bg1017	小型島嶼-款式3	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0002	1	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
34	Bg1018	小型島嶼-款式4	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0002	1	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
35	Bg1019	小型島嶼-款式5	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0002	1	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
36	Bg1020	小型島嶼-款式6	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0002	1	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
37	Bg1021	小型島嶼-款式7	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0007	1	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
38	Bg1022	小型島嶼-款式8	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0007	1	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
39	Bg1023	小型島嶼-款式9	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0008	1	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
40	Bg1024	小型島嶼-款式10	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0008	1	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
41	Bg1025	小型島嶼-款式11	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0008	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
42	Bg1026	小型島嶼-款式12	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0015	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
43	Bg1027	小型島嶼-款式13	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0015	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
44	Bg1028	小型島嶼-款式14	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0015	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
45	Bg1029	小型島嶼-款式15	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0009	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
46	Bg1030	小型島嶼-款式16	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0009	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
47	Bg1031	小型島嶼-款式17	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0009	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
48	Bg1032	小型空島-款式1	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0016	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
49	Bg1033	小型空島-款式2	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0016	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
50	Bg1034	小型空島-款式3	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0016	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
51	Bg1035	小型空島-款式4	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0017	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
52	Bg1036	小型空島-款式5	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0017	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
53	Bg1037	小型空島-款式6	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0017	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
54	Bg1038	中型島嶼-款式1	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0002	1	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
55	Bg1039	中型島嶼-款式2	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0008	1	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
56	Bg1040	中型島嶼-款式3	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0008	1	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
57	Bg1041	中型島嶼-款式4	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0015	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
58	Bg1042	中型島嶼-款式5	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0009	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
59	Bg1043	中型空島-款式1	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0016	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
60	Bg1044	中型空島-款式2	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0016	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
61	Bg1045	中型空島-款式3	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0016	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
62	Bg1046	海上二艘船-款式1_變形	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	God_scn_80	0	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
63	Bg1047	海上二艘船-款式2_變形	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Fight1	0	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
64	Bg1048	海上二艘船-款式3_變形	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	God_scn_71	0	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
65	Bg1049	海上三艘船-款式1_變形	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	God_scn_79	0	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
66	Bg1050	海上三艘船-款式2_變形	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	God_scn_80	0	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
67	Bg1051	海上三艘船-款式3_變形	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Fight1	0	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
68	Bg1052	空中二艘船-款式1_變形	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	God_scn_71	0	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
69	Bg1053	空中三艘船-款式1_變形	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	God_scn_79	0	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
70	Bg1054	空中二艘船-款式2_變形	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	God_scn_80	0	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
71	Bg1055	空中二艘船-款式3_變形	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Fight1	0	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
72	Bg1056	空中三艘船-款式2_變形	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	God_scn_71	0	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
73	Bg1057	空中三艘船-款式3_變形	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	God_scn_79	0	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
74	Bg1058	小型島嶼-款式2_變形	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0002	1	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
75	Bg1059	小型島嶼-款式3_變形	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0002	1	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
76	Bg1060	小型島嶼-款式4_變形	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0002	1	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
77	Bg1061	小型島嶼-款式5_變形	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0002	1	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
78	Bg1062	小型島嶼-款式6_變形	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0002	1	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
79	Bg1063	小型島嶼-款式7_變形	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0007	1	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
80	Bg1064	小型島嶼-款式8_變形	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0007	1	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
81	Bg1065	小型島嶼-款式9_變形	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0008	1	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
82	Bg1066	小型島嶼-款式10_變形	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0008	1	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
83	Bg1067	小型島嶼-款式11_變形	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0008	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
84	Bg1068	小型島嶼-款式12_變形	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0015	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
85	Bg1069	小型島嶼-款式13_變形	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0015	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
86	Bg1070	小型島嶼-款式14_變形	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0015	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
87	Bg1071	小型島嶼-款式15_變形	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0009	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
88	Bg1072	小型島嶼-款式16_變形	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0009	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
89	Bg1073	小型島嶼-款式17_變形	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0009	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
90	Bg1074	小型空島-款式1_變形	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0016	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
91	Bg1075	小型空島-款式2_變形	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0016	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
92	Bg1076	小型空島-款式3_變形	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0016	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
93	Bg1077	小型空島-款式4_變形	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0017	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
94	Bg1078	小型空島-款式5_變形	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0017	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
95	Bg1079	小型空島-款式6_變形	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0017	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
96	Bg1080	中型島嶼-款式1_變形	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0002	1	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
97	Bg1081	中型島嶼-款式2_變形	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0008	1	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
98	Bg1082	中型島嶼-款式3_變形	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0008	1	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
99	Bg1083	中型島嶼-款式4_變形	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0015	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
100	Bg1084	中型島嶼-款式5_變形	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0009	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
101	Bg1085	中型空島-款式1_變形	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0016	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
102	Bg1086	中型空島-款式2_變形	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0016	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
103	Bg1087	中型空島-款式3_變形	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0016	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
104	Bg1088	中型島嶼-款式1_變形	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0002	1	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
105	Bg1089	中型島嶼-款式2_變形	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0008	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
106	Bg1090	中型島嶼-款式3_變形	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0008	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
107	Bg1091	中型島嶼-款式4_變形	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0015	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
108	Bg1092	中型島嶼-款式5_變形	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0009	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
109	Bg1093	中型空島-款式1_變形	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0016	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
110	Bg1094	中型空島-款式2_變形	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0016	1	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
111	Bg1095	中型空島-款式3_變形	BgNull	5	2	4	0	4294967295	Bg_MapName_Background	Scn0016	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
112	Bg2001	墜落的太陽	Bg2001_air	5	15	4	0	4294967295	Bg_MapName_Background	Scn2001	0	0	0	0	0	0	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
113	Bg2002	海皇殿	Bg2002_air	5	8	4	0	4294967295	Bg_MapName_Background	Scn2008	0	0	0	0	0	0	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
114	Bg2003	海軍監獄1	Bg2003_air	5	2	4	0	4294967295	Bg_MapName_Background	Scn2003	0	0	0	0	0	0	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
115	Bg2004	地獄審判	Bg2004_air	5	8	4	0	4294967295	Bg_MapName_Background	Scn2004	0	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
116	Bg2018	怒海要塞	Bg2018_air	5	2	4	0	4294967295	Bg_MapName_Background	Scn0008b	0	0	0	0	0	1	0	0	0	1.05.0000	1.07.0000	1.07.0000	1.07.0000
118	Bg2007	海怪巢穴	Bg2007_air	5	8	4	0	4294967295	Bg_MapName_Background	Scn2007	0	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
119	Bg2008	公會島場景	Bg2008_air	5	15	32	0	4294967295	Bg_MapName_Background	Scn0012	1	1	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
120	Bg2009	神鬼鬥技場	Bg2009_air	5	15	4	0	4294967295	Bg_MapName_Background	Scn2002	0	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
121	Bg2010	末日聖堂	Bg0011_air	5	8	4	0	4294967295	Bg_MapName_Background	Scn0010a	0	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
124	Bg2013	海軍監獄3	Bg2013_air	5	2	4	0	4294967295	Bg_MapName_Background	Scn2003	0	0	0	0	0	0	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
125	Bg2014	海軍監獄4	Bg2014_air	5	2	4	0	4294967295	Bg_MapName_Background	Scn2003	0	0	0	0	0	0	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
126	Bg3001	亞特蘭提斯	Bg3001_air	5	10	8	14	3001	Bg_MapName_Background	Theme_Light	0	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
127	Bg3002	天外異域	Bg3002_air	5	10	8	14	3002	Bg_MapName_Background	Scn3002	0	0	0	0	0	1	0	70	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
128	Bg3003	百慕達	Bg3003_air	5	10	8	14	3003	Bg_MapName_Background	Scn0009	0	0	0	0	0	1	0	92	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
130	Bg4001	無名島	Bg4001_air	4	2	2	0	4001	Bg_MapName_Background	Scn4001	1	1	0	1	1000	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
133	Bg4002	船艙	Bg4003_air	5	2	2	0	4002	Bg_MapName_Background	Scn0001	0	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
135	Bg2015	墜落的太陽_3星版本	Bg2001_air	5	15	4	0	4294967295	Bg_MapName_Background	Scn2001	0	0	0	0	0	0	0	0	0	1.10.0000	1.07.0000	1.07.0000	1.07.0000
139	Bg4003	海神島	Bg4003_air	5	2	4	0	4294967295		Scn4003	0	0	30000	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
140	Bg2017	神鬼鬥技場(20波)	Bg2017_air	5	15	4	0	4294967295	Bg_MapName_Background	Scn2002	0	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
146	Bg5001	新手創角景	BgNull	1	2	16	0	4294967295		Theme	0	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
147	Bg1016	小型島嶼-款式2	BgNull	6	2	4	0	4294967295	Bg_MapName_Background	Scn0002	1	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
148	Bg1017	小型島嶼-款式3	BgNull	6	2	4	0	4294967295	Bg_MapName_Background	Scn0002	1	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
149	Bg1018	小型島嶼-款式4	BgNull	6	2	4	0	4294967295	Bg_MapName_Background	Scn0002	1	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
150	Bg1019	小型島嶼-款式5	BgNull	6	2	4	0	4294967295	Bg_MapName_Background	Scn0002	1	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
151	Bg1020	小型島嶼-款式6	BgNull	6	2	4	0	4294967295	Bg_MapName_Background	Scn0002	1	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
152	Bg1021	小型島嶼-款式7	BgNull	6	2	4	0	4294967295	Bg_MapName_Background	Scn0007	1	0	0	0	0	1	0	0	0	1.01.0000	1.07.0000	1.07.0000	1.07.0000
153	Bg1022	小型島嶼-款式8	BgNull	6	2	4	0	4294967295	Bg_MapName_Background	Scn0007	1	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
154	Bg1023	小型島嶼-款式9	BgNull	3	2	4	0	4294967295	Bg_MapName_Background	Scn0008	1	0	0	0	0	1	0	0	0	1.00.0000	1.07.0000	1.07.0000	1.07.0000
