n_ID	n_TYPE	n_GROUP	n_PREEFFECT	n_EFFECTID	n_BUFFID	n_ALLOTPOINT	s_HK_VER	s_TC_VER	s_JP_VER	s_TH_VER
34	2	4	33	118	0	55	1.00.0000	1.00.0000	1.07.0000	1.07.0000
35	2	4	34	119	0	80	1.00.0000	1.00.0000	1.07.0000	1.07.0000
36	2	4	35	120	0	110	1.00.0000	1.00.0000	1.07.0000	1.07.0000
37	2	4	36	121	0	145	1.00.0000	1.00.0000	1.07.0000	1.07.0000
38	2	4	37	122	0	185	1.00.0000	1.00.0000	1.07.0000	1.07.0000
39	2	4	38	123	0	230	1.00.0000	1.00.0000	1.07.0000	1.07.0000
40	2	4	39	124	0	280	1.00.0000	1.00.0000	1.07.0000	1.07.0000
41	2	5	0	125	0	10	1.00.0000	1.00.0000	1.07.0000	1.07.0000
42	2	5	41	126	0	20	1.00.0000	1.00.0000	1.07.0000	1.07.0000
43	2	5	42	127	0	35	1.00.0000	1.00.0000	1.07.0000	1.07.0000
44	2	5	43	128	0	55	1.00.0000	1.00.0000	1.07.0000	1.07.0000
45	2	5	44	129	0	80	1.00.0000	1.00.0000	1.07.0000	1.07.0000
46	2	5	45	130	0	110	1.00.0000	1.00.0000	1.07.0000	1.07.0000
47	2	5	46	131	0	145	1.00.0000	1.00.0000	1.07.0000	1.07.0000
48	2	5	47	132	0	185	1.00.0000	1.00.0000	1.07.0000	1.07.0000
49	2	5	48	133	0	230	1.00.0000	1.00.0000	1.07.0000	1.07.0000
50	2	5	49	134	0	280	1.00.0000	1.00.0000	1.07.0000	1.07.0000
1001	1	1001	0	0	11801	10	1.05.0000	1.05.0000	1.07.0000	1.07.0000
1002	1	1001	1001	0	11802	20	1.05.0000	1.05.0000	1.07.0000	1.07.0000
1003	1	1001	1002	0	11803	35	1.05.0000	1.05.0000	1.07.0000	1.07.0000
1004	1	1001	1003	0	11804	55	1.05.0000	1.05.0000	1.07.0000	1.07.0000
1005	1	1001	1004	0	11805	80	1.05.0000	1.05.0000	1.07.0000	1.07.0000
1006	1	1001	1005	0	11806	110	1.05.0000	1.05.0000	1.07.0000	1.07.0000
1007	1	1001	1006	0	11807	145	1.05.0000	1.05.0000	1.07.0000	1.07.0000
1008	1	1001	1007	0	11808	185	1.05.0000	1.05.0000	1.07.0000	1.07.0000
1009	1	1001	1008	0	11809	230	1.05.0000	1.05.0000	1.07.0000	1.07.0000
1010	1	1001	1009	0	11810	280	1.05.0000	1.05.0000	1.07.0000	1.07.0000
1011	1	1002	0	0	11811	10	1.05.0000	1.05.0000	1.07.0000	1.07.0000
1012	1	1002	1011	0	11812	20	1.05.0000	1.05.0000	1.07.0000	1.07.0000
1013	1	1002	1012	0	11813	35	1.05.0000	1.05.0000	1.07.0000	1.07.0000
1014	1	1002	1013	0	11814	55	1.05.0000	1.05.0000	1.07.0000	1.07.0000
1015	1	1002	1014	0	11815	80	1.05.0000	1.05.0000	1.07.0000	1.07.0000
1016	1	1002	1015	0	11816	110	1.05.0000	1.05.0000	1.07.0000	1.07.0000
1017	1	1002	1016	0	11817	145	1.05.0000	1.05.0000	1.07.0000	1.07.0000
1018	1	1002	1017	0	11818	185	1.05.0000	1.05.0000	1.07.0000	1.07.0000
1019	1	1002	1018	0	11819	230	1.05.0000	1.05.0000	1.07.0000	1.07.0000
1020	1	1002	1019	0	11820	280	1.05.0000	1.05.0000	1.07.0000	1.07.0000
1021	1	1003	0	0	11821	10	1.05.0000	1.05.0000	1.07.0000	1.07.0000
1022	1	1003	1021	0	11822	20	1.05.0000	1.05.0000	1.07.0000	1.07.0000
1023	1	1003	1022	0	11823	35	1.05.0000	1.05.0000	1.07.0000	1.07.0000
1024	1	1003	1023	0	11824	55	1.05.0000	1.05.0000	1.07.0000	1.07.0000
1025	1	1003	1024	0	11825	80	1.05.0000	1.05.0000	1.07.0000	1.07.0000
1026	1	1003	1025	0	11826	110	1.05.0000	1.05.0000	1.07.0000	1.07.0000
1027	1	1003	1026	0	11827	145	1.05.0000	1.05.0000	1.07.0000	1.07.0000
1028	1	1003	1027	0	11828	185	1.05.0000	1.05.0000	1.07.0000	1.07.0000
1029	1	1003	1028	0	11829	230	1.05.0000	1.05.0000	1.07.0000	1.07.0000
1030	1	1003	1029	0	11830	280	1.05.0000	1.05.0000	1.07.0000	1.07.0000
1031	1	1004	0	0	11831	10	1.05.0000	1.05.0000	1.07.0000	1.07.0000
1032	1	1004	1031	0	11832	20	1.05.0000	1.05.0000	1.07.0000	1.07.0000
1033	1	1004	1032	0	11833	35	1.05.0000	1.05.0000	1.07.0000	1.07.0000
1034	1	1004	1033	0	11834	55	1.05.0000	1.05.0000	1.07.0000	1.07.0000
1035	1	1004	1034	0	11835	80	1.05.0000	1.05.0000	1.07.0000	1.07.0000
1036	1	1004	1035	0	11836	110	1.05.0000	1.05.0000	1.07.0000	1.07.0000
1037	1	1004	1036	0	11837	145	1.05.0000	1.05.0000	1.07.0000	1.07.0000
1038	1	1004	1037	0	11838	185	1.05.0000	1.05.0000	1.07.0000	1.07.0000
1039	1	1004	1038	0	11839	230	1.05.0000	1.05.0000	1.07.0000	1.07.0000
1040	1	1004	1039	0	11840	280	1.05.0000	1.05.0000	1.07.0000	1.07.0000
1041	1	1005	0	0	11841	10	1.05.0000	1.05.0000	1.07.0000	1.07.0000
1042	1	1005	1041	0	11842	20	1.05.0000	1.05.0000	1.07.0000	1.07.0000
1043	1	1005	1042	0	11843	35	1.05.0000	1.05.0000	1.07.0000	1.07.0000
1044	1	1005	1043	0	11844	55	1.05.0000	1.05.0000	1.07.0000	1.07.0000
1045	1	1005	1044	0	11845	80	1.05.0000	1.05.0000	1.07.0000	1.07.0000
1046	1	1005	1045	0	11846	110	1.05.0000	1.05.0000	1.07.0000	1.07.0000
1047	1	1005	1046	0	11847	145	1.05.0000	1.05.0000	1.07.0000	1.07.0000
1048	1	1005	1047	0	11848	185	1.05.0000	1.05.0000	1.07.0000	1.07.0000
1049	1	1005	1048	0	11849	230	1.05.0000	1.05.0000	1.07.0000	1.07.0000
1050	1	1005	1049	0	11850	280	1.05.0000	1.05.0000	1.07.0000	1.07.0000
