n_ID	n_STACK	n_BUFF_TYPE	s_BUFF_ICON	f_DURATION	s_BUFF_CANCEL	s_BUFF_CONDITON	s_CONDITIONAL_BUFF	s_CONSTANT_BUFF	s_BUFF_FXS	s_BUFF_FXS_RIGHT	s_BUFF_FXS_LEFT	n_ANIMATION_RANK	s_ANIMATION_REPLACE
28	128	0	IB009	300.0				ADD_BYPASS(1)				0	
29	129	0	IB010	300.0				ADD_OVERHIT(1)				0	
30	130	0	IB011	300.0				ADD_MULTIPLY_POWERDAM(1)				0	
31	131	0	IB012	300.0				ADD_ABSORB_POWERDAM(1)				0	
32	132	0	IB013	300.0				ADD_ABSORB_SHIELD(1)				0	
33	133	0	IB014	300.0				ADD_BLOCKRATE(1)				0	
34	134	0	IB015	300.0				ADD_HPMAX(1)				0	
35	135	0	IB016	300.0				ADD_RECOVER_HP(1)				0	
36	136	0	IB017	300.0				ADD_STAMINAMAX(1)				0	
37	137	0	IB018	300.0				ADD_RECOVER_STAMINA(1)				0	
38	138	0	IB019	300.0				ADD_STRENGH(1)				0	
39	139	0	IB020	300.0				ADD_CONSITUTION(1)				0	
40	140	0	IB021	300.0				ADD_AGILITY(1)				0	
41	141	0	IB022	300.0				ADD_AGILITY(1)				0	
42	142	0	IB023	300.0				ADD_AGILITY(1)				0	
44	144	0	IB025	300.0								0	
45	145	0	IB026	300.0								0	
46	146	0	IB027	300.0								0	
47	147	0	IB028	300.0								0	
48	148	0	IB029	300.0								0	
49	149	0	IB030	300.0								0	
50	150	0	IB031	300.0								0	
51	3	0		0.0				ADD_SPEED_RUN(0.3)				0	
52	3	0		0.0				ADD_SPEED_RUN(0.4)				0	
53	3	0		0.0				ADD_SPEED_RUN(0.6)				0	
61	3	0		0.0				ADD_SPEED_RUN(0.3);FLY(0)				0	
62	3	0		0.0				ADD_SPEED_RUN(0.4);FLY(0)				0	
83	2	0		2.0				COUNTERMISSILE(3043,1,83)				0	
84	1	0		1.0								1	_F_READY_000;_F_SIT_001\n_F_SENTRY_000;_F_SIT_001
89	50	0	IB040	90.0								0	
90	3	0		0.0				HITMISSILE(32,1,90)				0	
91	3	0		0.0				HITMISSILE(32,1,91)				0	
92	10	0	IB004	0.0				MISSILE(92,0.5);KNOCKDOWN(304)				0	_F_SENTRY_000;_F_FALLING_000\n_F_READY_000;_F_FALLING_000
93	4	2		0.0				ADD_RECOVER_HP(-1)\nADD_SPEED_RUN(0.2)				0	
101	40	0	IB002	60.0				UNDEAD;PLAYERKILLED()				0	
102	13	0		0.0				MISSILE(84,5);COUNTERMISSILE(3043,1,83)				1	_C_WIELD_000;_F_SIT_001\n_C_WIELD_000;_F_SIT_001
140	6	0	IS140	0.0				ADD_BLOCKRATE(0.7);ADD_AC_PHYSICS(0.6);MISSILE(140,3);MISSILE(298,45)				2	_F_READY_000;_F_SHIELDING_000\n_F_SENTRY_000;_F_SHIELDING_000
200	3	0		46.0				ADD_HPMAX(2);MISSILE(148,1200)				0	
280	3	4		0.0				HITMISSILE(32,1,280);ADD_STUN(1);ADD_CURSE(1)				0	
296	5	8192		21.0				ADD_SPEED_RUN(-0.35)				0	
297	5	8192		7.0								0	
298	5	2		90.0								0	
299	2	4		0.5								0	
300	1	0		1.0								0	
301	30	2	IS1440	120.0				ADD_RECOVER_STAMINA(2)				0	
302	1	1		0.0				KNOCKDOWN(302)				0	_F_SENTRY_000;_F_FALLING_000\n_F_READY_000;_F_FALLING_000
303	1	1		2.5				ADD_SPEED_RUN(-2)				0	
304	1	1		0.0				KNOCKDOWN(304)				0	_F_SENTRY_000;_F_FALLING_000\n_F_READY_000;_F_FALLING_000
305	1	1		0.0				KNOCKDOWN(305)				0	
306	1	1		0.0				KNOCKDOWN(306)				0	
307	2	1		0.0				KNOCKDOWN(307)				0	
308	2	1		0.0				KNOCKDOWN(308)				0	
309	2	1		0.0				KNOCKDOWN(309)				0	
310	2	1		0.0				KNOCKDOWN(310)				0	
311	1	1		0.0				KNOCKDOWN(311)				0	
312	3	0		0.30000001192092896				MISSILE(312,0.2)				0	
313	32	16384	IB005	9.0					S_L_ATK_DOWN			0	
314	32	16384	IB005	15.0								1	
315	1	1		0.0				KNOCKDOWN(315)				0	
316	1	1		0.0				KNOCKDOWN(316)				0	
317	1	1		1.0				DISABLE(0)				0	
318	4	0		5.0				ADD_SPEED_RUN(-5)				0	
319	4	0		5.0				ADD_SPEED_RUN(-5)				0	
320	4	0		5.0				ADD_SPEED_RUN(-5)				0	
321	4	0		5.0				ADD_SPEED_RUN(-5)				0	
322	4	0		5.0				ADD_SPEED_RUN(-5)				0	
323	4	0		5.0				ADD_SPEED_RUN(-5)				0	
324	4	0		0.0								0	
325	4	0		0.0		BUFF_I(320,0,1);BUFF_I(326,0,0)	MISSILE(346,0.1)					0	
326	326	0		5.0					L_M080_FEEL_SAD			0	
400	3	2		0.0				ADD_HPMAX(0.2)				0	
401	3	2		0.0				ADD_DAMMIPHYSICS(1.8);ADD_DAMMIMAGIC(1.8);ADD_HPMAX(13.5);ADD_ANTI_STUN(0.15);ADD_HITRATE(0.15);ADD_DODGE(0.1);ADD_AC_PHYSICS(4.4);ADD_AC_MAGIC(4.4);ADD_PENETRATE_PHYSICS(1.8);ADD_PENETRATE_MAGIC(1.8);ADD_RECOVER_HP(2);ADD_DAMPLUS_PHYSICS(0.5);ADD_DAMPLUS_MAGIC(0.5)				0	
402	3	2		0.0				ADD_DAMMIPHYSICS(2.5);ADD_DAMMIMAGIC(2.5);ADD_HPMAX(28);ADD_ANTI_STUN(0.1);ADD_HITRATE(0.15);ADD_AC_PHYSICS(6);ADD_AC_MAGIC(6);ADD_PENETRATE_PHYSICS(3);ADD_PENETRATE_MAGIC(3);ADD_RECOVER_HP(3);ADD_DAMPLUS_PHYSICS(2.5);ADD_DAMPLUS_MAGIC(2.5);ADD_DODGE(0.15)				0	
403	3	2		0.0				ADD_DAMMIPHYSICS(9.88);ADD_DAMMIMAGIC(9.88);ADD_HPMAX(72);ADD_ANTI_STUN(0.1);ADD_ANTI_CURSE(0.1);ADD_AC_PHYSICS(8.1);ADD_AC_MAGIC(8.1);ADD_PENETRATE_PHYSICS(2.4);ADD_PENETRATE_MAGIC(2.4);ADD_MUL_DAMAGE(-0.3)				0	
406	3	2		0.0				ADD_DAMMIPHYSICS(3.8);ADD_DAMMIMAGIC(3.8);ADD_HPMAX(84);ADD_ANTI_STUN(1);ADD_ANTI_CURSE(1);ADD_HITRATE(0.35);ADD_AC_PHYSICS(4.4);ADD_AC_MAGIC(4.4);ADD_PENETRATE_PHYSICS(3);ADD_PENETRATE_MAGIC(3);ADD_RECOVER_HP(3);ADD_DAMPLUS_PHYSICS(2);ADD_DAMPLUS_MAGIC(2)				0	
407	3	2		0.0				ADD_DAMMIPHYSICS(5.2);ADD_DAMMIMAGIC(5.2);ADD_HPMAX(385);ADD_ANTI_STUN(1);ADD_ANTI_CURSE(1);ADD_HITRATE(0.35);ADD_AC_PHYSICS(4.4);ADD_AC_MAGIC(4.4);ADD_PENETRATE_PHYSICS(3);ADD_PENETRATE_MAGIC(3);ADD_RECOVER_HP(8);ADD_DAMPLUS_PHYSICS(5.2);ADD_DAMPLUS_MAGIC(5.2);ADD_HITRATE(0.25)				0	
408	3	2		0.0				ADD_DAMMIPHYSICS(15.81);ADD_DAMMIMAGIC(15.81);ADD_HPMAX(84);ADD_ANTI_STUN(10);ADD_ANTI_CURSE(0.2);ADD_AC_PHYSICS(8.1);ADD_AC_MAGIC(8.1);ADD_PENETRATE_PHYSICS(4.86);ADD_PENETRATE_MAGIC(4.86);ADD_RECOVER_HP(3.5)				0	
411	3	2		0.0		HP_I<(0.5)	ADD_MUL_DAMAGE(-0.2)	ADD_DAMMIPHYSICS(4.5);ADD_DAMMIMAGIC(4.5);ADD_HPMAX(96);ADD_ANTI_STUN(4);ADD_ANTI_CURSE(4);ADD_AC_PHYSICS(5.3);ADD_AC_MAGIC(5.3);ADD_PENETRATE_PHYSICS(1.6);ADD_PENETRATE_MAGIC(1.6);ADD_RECOVER_HP(4);ADD_ABSORB_POWERDAM(0.5);IRONFOOT(0);ADD_DAMPLUS_PHYSICS(3);ADD_DAMPLUS_MAGIC(3)				0	
412	3	2		0.0		HP_I<(0.5)	ADD_MUL_DAMAGE(-0.2)	ADD_DAMMIPHYSICS(6);ADD_DAMMIMAGIC(6);ADD_HPMAX(478);ADD_ANTI_STUN(4);ADD_ANTI_CURSE(4);ADD_AC_PHYSICS(8);ADD_AC_MAGIC(8);ADD_PENETRATE_PHYSICS(4.2);ADD_PENETRATE_MAGIC(4.2);ADD_RECOVER_HP(8);ADD_ABSORB_POWERDAM(0.8);IRONFOOT(0);ADD_DAMPLUS_PHYSICS(8);ADD_DAMPLUS_MAGIC(8);ADD_HITRATE(0.25)				0	
413	3	2		0.0		HP_I<(0.5)	ADD_MUL_DAMAGE(-0.2)	ADD_DAMMIPHYSICS(25.3);ADD_DAMMIMAGIC(25.3);ADD_HPMAX(729);ADD_ANTI_STUN(10);ADD_ANTI_CURSE(6);ADD_AC_PHYSICS(12.1);ADD_AC_MAGIC(12.1);ADD_PENETRATE_PHYSICS(4.86);ADD_PENETRATE_MAGIC(4.86);ADD_RECOVER_HP(7.5);ADD_MUL_DAMAGE(-0.3);ADD_ABSORB_POWERDAM(0.5);IRONFOOT(0)				0	
416	3	2		0.0				ADD_DAMMIPHYSICS(0.6);ADD_DAMMIMAGIC(0.6);ADD_HPMAX(9.8);ADD_PENETRATE_PHYSICS(1);ADD_PENETRATE_MAGIC(1)				0	
417	3	2		0.0				ADD_ANTI_STUN(5);ADD_ANTI_CURSE(5);ADD_DODGE(-1);IRONFOOT(0);ADD_MUL_DAMAGE(-0.9)				0	
418	3	2		0.0				ADD_ANTI_STUN(-0.8);ADD_ANTI_CURSE(-0.8);ADD_DODGE(-0.3);ADD_DAMMIPHYSICS(-0.6);ADD_DAMMIMAGIC(-0.6);ADD_HPMAX(2)				0	
419	3	2		0.0				ADD_DAMMIPHYSICS(0.5);ADD_DAMMIMAGIC(0.5);ADD_HPMAX(-4);ADD_ANTI_STUN(-0.2);ADD_ANTI_CURSE(-0.2);ADD_DODGE(-0.15)				0	
420	3	2		0.0				ADD_DAMMIPHYSICS(4.8);ADD_DAMMIMAGIC(4.8);ADD_HPMAX(215);ADD_ANTI_STUN(4);ADD_ANTI_CURSE(4);ADD_AC_PHYSICS(8);ADD_AC_MAGIC(8);ADD_PENETRATE_PHYSICS(5.6);ADD_PENETRATE_MAGIC(5.6);ADD_ABSORB_POWERDAM(0.75);ADD_RECOVER_HP(2);MISSILE(148,1200);ADD_HITRATE(0.05);IRONFOOT(0)				0	
421	3	2		0.0				ADD_DAMMIPHYSICS(6.4);ADD_DAMMIMAGIC(6.4);ADD_HPMAX(450);ADD_ANTI_STUN(4);ADD_ANTI_CURSE(4);ADD_AC_PHYSICS(8);ADD_AC_MAGIC(8);ADD_PENETRATE_PHYSICS(6);ADD_PENETRATE_MAGIC(6);ADD_ABSORB_POWERDAM(0.75);ADD_RECOVER_HP(4);MISSILE(148,1200);ADD_HITRATE(0.1);IRONFOOT(0)				0	
422	3	2		0.0				ADD_DAMMIPHYSICS(8.2);ADD_DAMMIMAGIC(8.2);ADD_HPMAX(675);ADD_ANTI_STUN(4);ADD_ANTI_CURSE(4);ADD_AC_PHYSICS(9);ADD_AC_MAGIC(9);ADD_PENETRATE_PHYSICS(9);ADD_PENETRATE_MAGIC(9);ADD_ABSORB_POWERDAM(0.75);ADD_RECOVER_HP(4);MISSILE(148,1200);ADD_HITRATE(0.15);IRONFOOT(0)				0	
423	3	2		0.0				ADD_DAMMIPHYSICS(9.1);ADD_DAMMIMAGIC(9.1);ADD_HPMAX(750);ADD_ANTI_STUN(4);ADD_ANTI_CURSE(4);ADD_AC_PHYSICS(9);ADD_AC_MAGIC(9);ADD_PENETRATE_PHYSICS(9);ADD_PENETRATE_MAGIC(9);ADD_ABSORB_POWERDAM(0.75);ADD_RECOVER_HP(6);ADD_MUL_DAMAGE(-0.3);MISSILE(148,1200);ADD_HITRATE(0.2);IRONFOOT(0)				0	
424	3	2		0.0				ADD_DAMMIPHYSICS(12);ADD_DAMMIMAGIC(12);ADD_HPMAX(925);ADD_ANTI_STUN(4);ADD_ANTI_CURSE(4);ADD_AC_PHYSICS(9);ADD_AC_MAGIC(9);ADD_PENETRATE_PHYSICS(9);ADD_PENETRATE_MAGIC(9);ADD_ABSORB_POWERDAM(0.75);ADD_RECOVER_HP(8);ADD_MUL_DAMAGE(-0.5);MISSILE(148,1200);ADD_HITRATE(0.2);IRONFOOT(0)				0	
425	3	2		0.0				ADD_DAMMIPHYSICS(2);ADD_DAMMIMAGIC(2);ADD_HPMAX(2);ADD_AC_PHYSICS(4.4);ADD_AC_MAGIC(4.4);ADD_PENETRATE_PHYSICS(1);ADD_PENETRATE_MAGIC(1)				0	
426	3	2		0.0				ADD_DAMMIPHYSICS(1.2);ADD_DAMMIMAGIC(1.1);ADD_HPMAX(2);ADD_AC_PHYSICS(0.5);ADD_AC_MAGIC(0.5);ADD_PENETRATE_PHYSICS(1);ADD_PENETRATE_MAGIC(1)				0	
427	3	2		0.0				ADD_DAMMIPHYSICS(6);ADD_DAMMIMAGIC(6);ADD_HPMAX(12.5);ADD_AC_PHYSICS(6);ADD_AC_MAGIC(6);ADD_PENETRATE_PHYSICS(3);ADD_PENETRATE_MAGIC(3)				0	
428	3	2		0.0				ADD_DAMMIPHYSICS(-0.45);ADD_DAMMIMAGIC(-0.45);ADD_HPMAX(1.8)				0	
429	3	2		0.0				ADD_ANTI_STUN(-0.1);ADD_ANTI_CURSE(-0.1);ADD_DODGE(-0.15);ADD_DAMMIPHYSICS(0.6);ADD_DAMMIMAGIC(0.6);ADD_HPMAX(0.3)				0	
430	3	2		0.0		HP_I<(0.4)	ADD_AC_PHYSICS(10);ADD_AC_MAGIC(10);ADD_ANTI_STUN(10);ADD_DODGE(3)	ADD_DAMMIPHYSICS(1);ADD_DAMMIMAGIC(1);ADD_HPMAX(100);ADD_AC_PHYSICS(3);ADD_AC_MAGIC(3);ADD_ANTI_STUN(1);ADD_DAMPLUS_PHYSICS(6.5);ADD_DAMPLUS_MAGIC(6.5);ADD_PENETRATE_PHYSICS(1);ADD_PENETRATE_MAGIC(1);ADD_RECOVER_HP(2)				0	
431	3	2		0.0				ADD_HPMAX(20);ADD_AC_PHYSICS(5);ADD_AC_MAGIC(5);ADD_DAMPLUS_PHYSICS(0.5);ADD_DAMPLUS_MAGIC(0.5);ADD_PENETRATE_PHYSICS(3);ADD_PENETRATE_MAGIC(3)				0	
432	3	2		0.0				ADD_HPMAX(10);ADD_DAMPLUS_PHYSICS(2);ADD_DAMPLUS_MAGIC(2)				0	
433	3	2		0.0		HP_I<(0.5)	ADD_MUL_DAMAGE(-0.2)	ADD_DAMMIPHYSICS(3.2);ADD_DAMMIMAGIC(3.2);ADD_HPMAX(74);ADD_ANTI_STUN(4);ADD_ANTI_CURSE(4);ADD_AC_PHYSICS(5.3);ADD_AC_MAGIC(5.3);ADD_PENETRATE_PHYSICS(1);ADD_PENETRATE_MAGIC(1);ADD_RECOVER_HP(4);ADD_ABSORB_POWERDAM(0.75);IRONFOOT(0);ADD_DAMPLUS_PHYSICS(1);ADD_DAMPLUS_MAGIC(1);ADD_HITRATE(0.05)				0	
434	3	2		0.0		HP_I<(0.5)	ADD_MUL_DAMAGE(-0.2)	ADD_DAMMIPHYSICS(3.8);ADD_DAMMIMAGIC(3.8);ADD_HPMAX(124);ADD_ANTI_STUN(4);ADD_ANTI_CURSE(4);ADD_AC_PHYSICS(5.6);ADD_AC_MAGIC(5.6);ADD_PENETRATE_PHYSICS(2);ADD_PENETRATE_MAGIC(2);ADD_RECOVER_HP(5);ADD_ABSORB_POWERDAM(0.5);IRONFOOT(0);ADD_DAMPLUS_PHYSICS(1);ADD_DAMPLUS_MAGIC(1)				0	
435	3	2		0.0				ADD_DAMMIPHYSICS(1.4);ADD_DAMMIMAGIC(1.4);ADD_HPMAX(5.8);ADD_AC_PHYSICS(4.4);ADD_AC_MAGIC(4.4);ADD_DODGE(0.1)				0	
436	3	2		0.0				ADD_HPMAX(0.5);ADD_DAMMIPHYSICS(-0.3);ADD_DAMMIMAGIC(-0.3);ADD_DAMPLUS_PHYSICS(-0.1);ADD_DAMPLUS_MAGIC(-0.1)				0	
437	3	2		0.0				ADD_DAMMIPHYSICS(1.2);ADD_DAMMIMAGIC(1.2);ADD_HPMAX(4.5);ADD_AC_PHYSICS(2);ADD_AC_MAGIC(2);ADD_DODGE(0.1)				0	
438	3	2		0.0				ADD_DAMMIPHYSICS(1.6);ADD_DAMMIMAGIC(1.6);ADD_HPMAX(6.5);ADD_AC_PHYSICS(4.4);ADD_AC_MAGIC(4.4);ADD_PENETRATE_PHYSICS(1);ADD_PENETRATE_MAGIC(1);ADD_DODGE(0.1)				0	
439	3	2		0.0				ADD_DAMMIPHYSICS(1.7);ADD_DAMMIMAGIC(1.7);ADD_HPMAX(8.2);ADD_AC_PHYSICS(4.4);ADD_AC_MAGIC(4.4);ADD_PENETRATE_PHYSICS(1);ADD_PENETRATE_MAGIC(1);ADD_DODGE(0.1)				0	
440	3	2		0.0				ADD_DAMMIPHYSICS(1.84);ADD_DAMMIMAGIC(1.84);ADD_HPMAX(10.8);ADD_AC_PHYSICS(4.4);ADD_AC_MAGIC(4.4);ADD_PENETRATE_PHYSICS(1);ADD_PENETRATE_MAGIC(1);ADD_DODGE(0.1)				0	
441	3	2		0.0				ADD_DAMMIPHYSICS(2);ADD_DAMMIMAGIC(2);ADD_HPMAX(12);ADD_AC_PHYSICS(4.4);ADD_AC_MAGIC(4.4);ADD_PENETRATE_PHYSICS(1);ADD_PENETRATE_MAGIC(1);ADD_DODGE(0.15)				0	
442	3	2		0.0				ADD_DAMMIPHYSICS(2.1);ADD_DAMMIMAGIC(2.1);ADD_HPMAX(15);ADD_AC_PHYSICS(4.4);ADD_AC_MAGIC(4.4);ADD_PENETRATE_PHYSICS(1);ADD_PENETRATE_MAGIC(1);ADD_DODGE(0.15)				0	
443	3	2		0.0				ADD_DAMMIPHYSICS(2.2);ADD_DAMMIMAGIC(2.2);ADD_HPMAX(18);ADD_AC_PHYSICS(4.4);ADD_AC_MAGIC(4.4);ADD_PENETRATE_PHYSICS(1);ADD_PENETRATE_MAGIC(1);ADD_DODGE(0.15)				0	
444	3	2		0.0				ADD_DAMMIPHYSICS(2.5);ADD_DAMMIMAGIC(2.5);ADD_HPMAX(22);ADD_AC_PHYSICS(4.4);ADD_AC_MAGIC(4.4);ADD_PENETRATE_PHYSICS(1);ADD_PENETRATE_MAGIC(1);ADD_DODGE(0.15)				0	
445	3	2		0.0		HP_I<(0.5)	ADD_MUL_DAMAGE(-0.2)	ADD_DAMMIPHYSICS(4.2);ADD_DAMMIMAGIC(4.2);ADD_HPMAX(166);ADD_ANTI_STUN(4);ADD_ANTI_CURSE(4);ADD_AC_PHYSICS(5.6);ADD_AC_MAGIC(5.6);ADD_PENETRATE_PHYSICS(2);ADD_PENETRATE_MAGIC(2);ADD_RECOVER_HP(6);ADD_ABSORB_POWERDAM(0.5);IRONFOOT(0);ADD_DAMPLUS_PHYSICS(1);ADD_DAMPLUS_MAGIC(1);ADD_HITRATE(0.1)				0	
446	3	2		0.0		HP_I<(0.5)	ADD_MUL_DAMAGE(-0.2)	ADD_DAMMIPHYSICS(4.5);ADD_DAMMIMAGIC(4.5);ADD_HPMAX(252);ADD_ANTI_STUN(4);ADD_ANTI_CURSE(4);ADD_AC_PHYSICS(5.6);ADD_AC_MAGIC(5.6);ADD_PENETRATE_PHYSICS(2);ADD_PENETRATE_MAGIC(2);ADD_RECOVER_HP(6);ADD_ABSORB_POWERDAM(0.75);IRONFOOT(0);ADD_DAMPLUS_PHYSICS(1);ADD_DAMPLUS_MAGIC(1);ADD_HITRATE(0.15)				0	
447	3	2		0.0		HP_I<(0.5)	ADD_MUL_DAMAGE(-0.2)	ADD_DAMMIPHYSICS(4.5);ADD_DAMMIMAGIC(4.5);ADD_HPMAX(240);ADD_ANTI_STUN(4);ADD_ANTI_CURSE(4);ADD_AC_PHYSICS(5.6);ADD_AC_MAGIC(5.6);ADD_PENETRATE_PHYSICS(2);ADD_PENETRATE_MAGIC(2);ADD_RECOVER_HP(6);ADD_ABSORB_POWERDAM(0.75);IRONFOOT(0);ADD_DAMPLUS_PHYSICS(2);ADD_DAMPLUS_MAGIC(2);ADD_HITRATE(0.15)				0	
448	3	2		0.0		HP_I<(0.5)	ADD_MUL_DAMAGE(-0.2)	ADD_DAMMIPHYSICS(4.5);ADD_DAMMIMAGIC(4.5);ADD_HPMAX(258);ADD_ANTI_STUN(4);ADD_ANTI_CURSE(4);ADD_AC_PHYSICS(5.6);ADD_AC_MAGIC(5.6);ADD_PENETRATE_PHYSICS(2);ADD_PENETRATE_MAGIC(2);ADD_RECOVER_HP(6);ADD_ABSORB_POWERDAM(0.75);IRONFOOT(0);ADD_DAMPLUS_PHYSICS(2);ADD_DAMPLUS_MAGIC(2);ADD_HITRATE(0.2)				0	
449	3	2		0.0		HP_I<(0.5)	ADD_MUL_DAMAGE(-0.2)	ADD_DAMMIPHYSICS(4.5);ADD_DAMMIMAGIC(4.5);ADD_HPMAX(295);ADD_ANTI_STUN(4);ADD_ANTI_CURSE(4);ADD_AC_PHYSICS(5.6);ADD_AC_MAGIC(5.6);ADD_PENETRATE_PHYSICS(2);ADD_PENETRATE_MAGIC(2);ADD_RECOVER_HP(6);ADD_ABSORB_POWERDAM(0.75);IRONFOOT(0);ADD_DAMPLUS_PHYSICS(2);ADD_DAMPLUS_MAGIC(2);ADD_HITRATE(0.2)				0	
450	3	2		0.0		HP_I<(0.5)	ADD_MUL_DAMAGE(-0.2)	ADD_DAMMIPHYSICS(4.5);ADD_DAMMIMAGIC(4.5);ADD_HPMAX(356);ADD_ANTI_STUN(4);ADD_ANTI_CURSE(4);ADD_AC_PHYSICS(5.6);ADD_AC_MAGIC(5.6);ADD_PENETRATE_PHYSICS(3);ADD_PENETRATE_MAGIC(3);ADD_RECOVER_HP(6);ADD_ABSORB_POWERDAM(0.75);IRONFOOT(0);ADD_DAMPLUS_PHYSICS(2);ADD_DAMPLUS_MAGIC(2);ADD_HITRATE(0.2)				0	
451	3	2		0.0		HP_I<(0.3)	ADD_RECOVER_HP(9)	ADD_DAMMIPHYSICS(2.2);ADD_DAMMIMAGIC(2.2);ADD_HPMAX(24);ADD_ANTI_STUN(0.2);ADD_ANTI_CURSE(0.2);ADD_AC_PHYSICS(7.5);ADD_AC_MAGIC(7.5);ADD_PENETRATE_PHYSICS(2);ADD_PENETRATE_MAGIC(2);ADD_ABSORB_POWERDAM(0.5);IRONFOOT(0);ADD_DAMPLUS_PHYSICS(1.6);ADD_DAMPLUS_MAGIC(1.6);ADD_HITRATE(0.2);ADD_DODGE(0.15)				0	
452	3	2		0.0		HP_I<(0.4)	ADD_MUL_DAMAGE(-0.9);ADD_ANTI_STUN(10);ADD_RECOVER_HP(10)	ADD_DAMMIPHYSICS(2);ADD_DAMMIMAGIC(2);ADD_HPMAX(100);ADD_AC_PHYSICS(6);ADD_AC_MAGIC(6);ADD_ANTI_STUN(0.4);ADD_RECOVER_HP(2)				0	
453	3	2		0.0				ADD_DAMMIPHYSICS(4.5);ADD_DAMMIMAGIC(4.5);ADD_HPMAX(40);ADD_ANTI_STUN(0.15);ADD_ANTI_CURSE(0.15);ADD_AC_PHYSICS(5.3);ADD_AC_MAGIC(5.3);ADD_PENETRATE_PHYSICS(1.6);ADD_PENETRATE_MAGIC(1.6);ADD_RECOVER_HP(4);ADD_ABSORB_POWERDAM(0.5);IRONFOOT(0);ADD_DAMPLUS_PHYSICS(3);ADD_DAMPLUS_MAGIC(3)				0	
454	3	2		0.0				ADD_DAMMIPHYSICS(2.6);ADD_DAMMIMAGIC(2.6);ADD_HPMAX(44);ADD_ANTI_STUN(0.1);ADD_HITRATE(0.15);ADD_AC_PHYSICS(3);ADD_AC_MAGIC(3);ADD_PENETRATE_PHYSICS(3);ADD_PENETRATE_MAGIC(3);ADD_RECOVER_HP(3);ADD_DAMPLUS_PHYSICS(2.5);ADD_DAMPLUS_MAGIC(2.5);ADD_DODGE(0.15)				0	
