# FACTPACK-L2-CLASSCENSUS-001 -- declared class names in the Pirate Force client image
# derived ONLY from pf_bridge/factpack_L1/strings_ascii.tsv (sha256 ddad39f182544feaa56af2b451c0acf96cc028ad27224588779bd5d2a8051b94)
# NONCLAIM: every row is a literal in a file.  Presence does NOT prove the class is constructed, registered, or ever hit the wire.
# wire_id is DERIVED from the name by the round-62 hash.  It is NOT read from any table in the image.
name	family	wire_id	wire_id_dec	rtti_va	rtti_file_offset	literal_kind	literal_va	in_names_table	in_round86_census	in_round38_tsv	id_collision_with_table_name	rtti_descriptor	literal_run_text
ActionItemVital	wire_vital	0x3058	12376	0x0101ADB8	0x00C185B8	standalone	0x00F48B14	True	False	True	-	.?AVActionItemVital@@	ActionItemVital
ActionPickVital	wire_vital	0x300B	12299	0x0101AD98	0x00C18598	standalone	0x00F48B04	True	False	True	-	.?AVActionPickVital@@	ActionPickVital
ActionVital	wire_vital	0x1AEA	6890	0x0101AD7C	0x00C1857C	standalone	0x00F48AF8	True	False	True	-	.?AVActionVital@@	ActionVital
Activity	other_unclassified	0x0FBF	4031	0x0101AAC0	0x00C182C0	none	-	False	False	False	-	.?AVActivity@@	-
ActivityConfirmKnowEditorEventHandler	ui_event_handler	0x1B69	7017	0x0102492C	0x00C2212C	none	-	False	False	False	-	.?AVActivityConfirmKnowEditorEventHandler@@	-
ActivityConfirmKnowEventHandler	ui_event_handler	0xC855	51285	0x01024960	0x00C22160	none	-	False	False	False	-	.?AVActivityConfirmKnowEventHandler@@	-
ActivityEventHandler	ui_event_handler	0x554D	21837	0x01024A28	0x00C22228	none	-	False	False	False	-	.?AVActivityEventHandler@@	-
ActivityGemEventHandler	ui_event_handler	0x6EAD	28333	0x010210F4	0x00C1E8F4	none	-	False	False	False	-	.?AVActivityGemEventHandler@@	-
ActivityKnowledgeEventHandler	ui_event_handler	0xAF58	44888	0x01024B10	0x00C22310	none	-	False	False	False	-	.?AVActivityKnowledgeEventHandler@@	-
ActivityLinkEventHandler	ui_event_handler	0x78D1	30929	0x010211BC	0x00C1E9BC	none	-	False	False	False	-	.?AVActivityLinkEventHandler@@	-
ActivityMainClientEditorEventHandler	ui_event_handler	0x0AE0	2784	0x01024B44	0x00C22344	none	-	False	False	False	-	.?AVActivityMainClientEditorEventHandler@@	-
ActivityMainClientEventHandler	ui_event_handler	0xBA33	47667	0x01024B78	0x00C22378	none	-	False	False	False	-	.?AVActivityMainClientEventHandler@@	-
ActivityModule_Client	module_subsystem	0x5D7E	23934	0x0101C268	0x00C19A68	standalone	0x00F25650	False	True	False	-	.?AVActivityModule_Client@@	ActivityModule_Client
ActivityNotifyEventHandler	ui_event_handler	0x8E95	36501	0x01024A4C	0x00C2224C	none	-	False	False	False	-	.?AVActivityNotifyEventHandler@@	-
ActivityPuzzleEventHandler	ui_event_handler	0x8F27	36647	0x01024BCC	0x00C223CC	none	-	False	False	False	-	.?AVActivityPuzzleEventHandler@@	-
ActivityRankingDetailRecord	persistence_record	0x9749	38729	0x0101AAFC	0x00C182FC	none	-	False	False	False	-	.?AVActivityRankingDetailRecord@@	-
ActivityRankingRecord	persistence_record	0x5DAF	23983	0x0101AAD8	0x00C182D8	none	-	False	False	False	-	.?AVActivityRankingRecord@@	-
Activity_ActivityStateChangedVital	wire_vital	0xEE8D	61069	0x01020EA0	0x00C1E6A0	standalone	0x00F3CAE0	True	False	True	-	.?AVActivity_ActivityStateChangedVital@@	Activity_ActivityStateChangedVital
Activity_ActorCommandVital	wire_vital	0x8D17	36119	0x01020E4C	0x00C1E64C	standalone	0x00F3CAA8	True	False	True	-	.?AVActivity_ActorCommandVital@@	Activity_ActorCommandVital
Activity_ActorJoinActivityVital	wire_vital	0xCA78	51832	0x01020ED4	0x00C1E6D4	standalone	0x00F3CB04	True	False	True	-	.?AVActivity_ActorJoinActivityVital@@	Activity_ActorJoinActivityVital
Activity_ActorLeaveActivityVital	wire_vital	0xD6CA	54986	0x01020F04	0x00C1E704	standalone	0x00F3CB24	True	False	True	-	.?AVActivity_ActorLeaveActivityVital@@	Activity_ActorLeaveActivityVital
Activity_BasicVital	wire_vital	0x4C1C	19484	0x01020E28	0x00C1E628	standalone	0x00F3CA94	True	False	True	-	.?AVActivity_BasicVital@@	Activity_BasicVital
Activity_CheatCodeVital	wire_vital	0x6CEC	27884	0x01020F8C	0x00C1E78C	standalone	0x00F3CA7C	True	False	True	-	.?AVActivity_CheatCodeVital@@	Activity_CheatCodeVital
Activity_Client	other_unclassified	0x3135	12597	0x0101AB28	0x00C18328	none	-	False	False	False	-	.?AVActivity_Client@@	-
Activity_NewActivityVital	wire_vital	0x858C	34188	0x01020E78	0x00C1E678	standalone	0x00F3CAC4	True	False	True	-	.?AVActivity_NewActivityVital@@	Activity_NewActivityVital
Activity_SendRankingVital	wire_vital	0x82C9	33481	0x01020F34	0x00C1E734	standalone	0x00F3CB48	True	False	True	-	.?AVActivity_SendRankingVital@@	Activity_SendRankingVital
Activity_UpdateActivityPointVital	wire_vital	0xE5C9	58825	0x01020F5C	0x00C1E75C	standalone	0x00F3CB64	True	False	True	-	.?AVActivity_UpdateActivityPointVital@@	Activity_UpdateActivityPointVital
ActorActivity_ClientReportActivityResultVital	wire_vital	0xAA3F	43583	0x01020FF0	0x00C1E7F0	standalone	0x00F3CB88	True	False	True	-	.?AVActorActivity_ClientReportActivityResultVital@@	ActorActivity_ClientReportActivityResultVital
ActorActivity_ResetDailyActivityResultVital	wire_vital	0x83B1	33713	0x0102102C	0x00C1E82C	standalone	0x00F3CBB8	True	False	True	-	.?AVActorActivity_ResetDailyActivityResultVital@@	ActorActivity_ResetDailyActivityResultVital
ActorActivity_UpdateDailyActivityStateVital	wire_vital	0x7FB6	32694	0x01020FB4	0x00C1E7B4	standalone	0x00F0B594	False	False	True	-	.?AVActorActivity_UpdateDailyActivityStateVital@@	ActorActivity_UpdateDailyActivityStateVital
ActorAttr	attr_state_block	0x12AD	4781	0x010200AC	0x00C1D8AC	standalone	0x00F0E82C	True	True	False	-	.?AVActorAttr@@	ActorAttr
ActorBindingFxData	actor_npc	0x4210	16912	0x0101A84C	0x00C1804C	none	-	False	False	False	-	.?AVActorBindingFxData@@	-
ActorChannelData	social_channel	0x34FA	13562	0x01020970	0x00C1E170	none	-	False	False	False	-	.?AVActorChannelData@@	-
ActorChannelRecord	persistence_record	0x4463	17507	0x0102094C	0x00C1E14C	none	-	False	False	False	-	.?AVActorChannelRecord@@	-
ActorCommunityDataSet	persistence_record	0x5D0E	23822	0x0101B7EC	0x00C18FEC	standalone	0x00F35728	False	True	False	-	.?AVActorCommunityDataSet@@	ActorCommunityDataSet
ActorCommunityProperty	persistence_record	0x6C4B	27723	0x0101B9E8	0x00C191E8	standalone	0x00F0E9B4	False	True	False	-	.?AVActorCommunityProperty@@	ActorCommunityProperty
ActorCommunityRecord	persistence_record	0x56B0	22192	0x0101B7C8	0x00C18FC8	none	-	False	False	False	-	.?AVActorCommunityRecord@@	-
ActorEffectsModule_Client	module_subsystem	0x820B	33291	0x0101E118	0x00C1B918	standalone	0x00F47748	False	True	False	-	.?AVActorEffectsModule_Client@@	ActorEffectsModule_Client
ActorExpressData	social_channel	0x36A6	13990	0x0101D348	0x00C1AB48	standalone	0x00F40BB0	False	True	False	-	.?AVActorExpressData@@	ActorExpressData
ActorExpressDataSet	persistence_record	0x4BDF	19423	0x0101D368	0x00C1AB68	none	-	False	False	False	-	.?AVActorExpressDataSet@@	-
ActorExpressRecord	persistence_record	0x460F	17935	0x0101D324	0x00C1AB24	none	-	False	False	False	-	.?AVActorExpressRecord@@	-
ActorGatheringInfoAttr	attr_state_block	0x65DC	26076	0x0101C0EC	0x00C198EC	standalone	0x00F3C238	False	True	False	-	.?AVActorGatheringInfoAttr@@	ActorGatheringInfoAttr
ActorInfoBoardEventHandler	ui_event_handler	0x8B5D	35677	0x01022C54	0x00C20454	none	-	False	False	False	-	.?AVActorInfoBoardEventHandler@@	-
ActorInspectVital	wire_vital	0x3E60	15968	0x0101FD30	0x00C1D530	standalone	0x00F30A78	True	False	True	-	.?AVActorInspectVital@@	ActorInspectVital
ActorLearnedPetsSkillData	combat_skill_buff	0x7FDB	32731	0x0101D708	0x00C1AF08	standalone	0x00F420F4	False	True	False	-	.?AVActorLearnedPetsSkillData@@	ActorLearnedPetsSkillData
ActorMailData	social_channel	0x2312	8978	0x0101B830	0x00C19030	standalone	0x00F35740	False	True	False	-	.?AVActorMailData@@	ActorMailData
ActorMailDataSet	persistence_record	0x34C7	13511	0x0101B84C	0x00C1904C	none	-	False	False	False	-	.?AVActorMailDataSet@@	-
ActorMailRecord	persistence_record	0x2FCC	12236	0x0101B810	0x00C19010	none	-	False	False	False	-	.?AVActorMailRecord@@	-
ActorMoveDestinaitonFX	effect_fx_missile	0x6438	25656	0x01021E7C	0x00C1F67C	none	-	False	False	False	-	.?AVActorMoveDestinaitonFX@@	-
ActorNavigationLoadStreamData	scene_world_move	0xAB78	43896	0x0101A75C	0x00C17F5C	none	-	False	False	False	-	.?AVActorNavigationLoadStreamData@@	-
ActorPetsCommonAttr	attr_state_block	0x4D95	19861	0x0101D6A4	0x00C1AEA4	standalone	0x00F41D40	False	True	False	-	.?AVActorPetsCommonAttr@@	ActorPetsCommonAttr
ActorRelationshipData	social_channel	0x5D08	23816	0x0101B894	0x00C19094	standalone	0x00F35750	False	True	False	-	.?AVActorRelationshipData@@	ActorRelationshipData
ActorRelationshipDataSet	persistence_record	0x781D	30749	0x0101B8B8	0x00C190B8	none	-	False	False	False	-	.?AVActorRelationshipDataSet@@	-
ActorRelationshipRecord	persistence_record	0x70EA	28906	0x0101B86C	0x00C1906C	none	-	False	False	False	-	.?AVActorRelationshipRecord@@	-
ActorTreasureHuntExcavatingInfoAttr	attr_state_block	0xFEBE	65214	0x0101DF20	0x00C1B720	standalone	0x00F0EA0C	False	True	False	-	.?AVActorTreasureHuntExcavatingInfoAttr@@	ActorTreasureHuntExcavatingInfoAttr
ActorUpdateStream	persistence_record	0x3E0B	15883	0x0101A7A8	0x00C17FA8	none	-	False	False	False	-	.?AVActorUpdateStream@@	-
AddEmbedSlotVitalReq	wire_vital	0x532C	21292	0x0101BF5C	0x00C1975C	standalone	0x00F3B664	True	False	True	-	.?AVAddEmbedSlotVitalReq@@	AddEmbedSlotVitalReq
AddEmbedSlotVitalRes	wire_vital	0x5354	21332	0x0101BF80	0x00C19780	standalone	0x00F3B67C	True	False	True	-	.?AVAddEmbedSlotVitalRes@@	AddEmbedSlotVitalRes
AdministratorModelPreviewEventHandler	ui_event_handler	0x1C78	7288	0x01021208	0x00C1EA08	none	-	False	False	False	-	.?AVAdministratorModelPreviewEventHandler@@	-
AppraisalModule_Client	module_subsystem	0x6570	25968	0x0101C408	0x00C19C08	standalone	0x00F3D4FC	False	True	False	-	.?AVAppraisalModule_Client@@	AppraisalModule_Client
AppraisalStopVital	wire_vital	0x45CF	17871	0x01023074	0x00C20874	standalone	0x00F3D548	True	False	True	-	.?AVAppraisalStopVital@@	AppraisalStopVital
AppraisalVital	wire_vital	0x2AB1	10929	0x01023054	0x00C20854	standalone	0x00F3D538	True	False	True	-	.?AVAppraisalVital@@	AppraisalVital
AppraiseProgressBarEventHandler	ui_event_handler	0xC673	50803	0x01023024	0x00C20824	none	-	False	False	False	-	.?AVAppraiseProgressBarEventHandler@@	-
ArenaModule_Client	module_subsystem	0x4444	17476	0x0101E530	0x00C1BD30	pooled_tail	0x00F34A18	False	True	False	-	.?AVArenaModule_Client@@	I@ArenaModule_Client
Attribute	other_unclassified	0x1306	4870	0x0101B18C	0x00C1898C	standalone	0x00F0E748	False	True	False	-	.?AVAttribute@@	Attribute
AttributePtrMap	persistence_record	0x3041	12353	0x0101F350	0x00C1CB50	none	-	False	False	False	-	.?AVAttributePtrMap@@	-
AvatarAttr	attr_state_block	0x16A0	5792	0x0101B1A4	0x00C189A4	standalone	0x00F0E754	False	True	False	-	.?AVAvatarAttr@@	AvatarAttr
AvatarLoadStream	persistence_record	0x365E	13918	0x0101A788	0x00C17F88	none	-	False	False	False	-	.?AVAvatarLoadStream@@	-
AvatarLoadStreamData	data_blob	0x51E4	20964	0x0101A738	0x00C17F38	none	-	False	False	False	-	.?AVAvatarLoadStreamData@@	-
BackpackAttr	attr_state_block	0x1F81	8065	0x0101AD1C	0x00C1851C	standalone	0x00F0EAD4	True	True	False	-	.?AVBackpackAttr@@	BackpackAttr
BackpackEventHandler	ui_event_handler	0x53EA	21482	0x01020164	0x00C1D964	none	-	False	False	False	-	.?AVBackpackEventHandler@@	-
BasicAttr	attr_state_block	0x1244	4676	0x01020094	0x00C1D894	standalone	0x00F0E820	False	True	False	-	.?AVBasicAttr@@	BasicAttr
BasicModule_Client	module_subsystem	0x4443	17475	0x0101B580	0x00C18D80	standalone	0x00F313E4	False	True	False	-	.?AVBasicModule_Client@@	BasicModule_Client
BehaviorSound	ai_behavior	0x25A9	9641	0x0101DA64	0x00C1B264	none	-	False	False	False	-	.?AVBehaviorSound@@	-
BehaviorSoundModule	module_subsystem	0x4D7C	19836	0x0101DAA8	0x00C1B2A8	standalone	0x00F42D64	False	True	False	-	.?AVBehaviorSoundModule@@	BehaviorSoundModule
Bejeweled	other_unclassified	0x122F	4655	0x010210DC	0x00C1E8DC	none	-	False	False	False	-	.?AVBejeweled@@	-
BigLuaProxyObject_Client	other_unclassified	0x77FF	30719	0x010200F8	0x00C1D8F8	none	-	False	False	False	-	.?AVBigLuaProxyObject_Client@@	-
BigTipBaseEventHandler	ui_event_handler	0x6427	25639	0x0101A924	0x00C18124	none	-	False	False	False	-	.?AVBigTipBaseEventHandler@@	-
BigUIAnimatedImage	ui_widget	0x41A7	16807	0x0101F188	0x00C1C988	none	-	False	False	False	-	.?AVBigUIAnimatedImage@@	-
BigUIBaseEventHandler	ui_event_handler	0x5AB0	23216	0x0101A900	0x00C18100	none	-	False	False	False	-	.?AVBigUIBaseEventHandler@@	-
BigUIBaseEventHandlerZero	ui_event_handler	0x8106	33030	0x0101A8D8	0x00C180D8	none	-	False	False	False	-	.?AVBigUIBaseEventHandlerZero@@	-
BigUIBaseWindow	ui_widget	0x2F92	12178	0x0101AC9C	0x00C1849C	none	-	False	False	False	-	.?AVBigUIBaseWindow@@	-
BigUIBuffView	ui_widget	0x2335	9013	0x0101F1AC	0x00C1C9AC	none	-	False	False	False	-	.?AVBigUIBuffView@@	-
BigUIClientAudioProvider	ui_widget	0x78FA	30970	0x0101AB80	0x00C18380	none	-	False	False	False	-	.?AVBigUIClientAudioProvider@@	-
BigUIDebugWindow	ui_widget	0x3640	13888	0x0101F144	0x00C1C944	none	-	False	False	False	-	.?AVBigUIDebugWindow@@	-
BigUIDropWindow	ui_widget	0x3058	12376	0x0101AB60	0x00C18360	none	-	False	False	False	ActionItemVital	.?AVBigUIDropWindow@@	-
BigUIImageBar	ui_widget	0x2180	8576	0x0101F2C0	0x00C1CAC0	none	-	False	False	False	-	.?AVBigUIImageBar@@	-
BigUIItemControl	ui_widget	0x36D5	14037	0x0101F240	0x00C1CA40	none	-	False	False	False	-	.?AVBigUIItemControl@@	-
BigUIMoneyPanel	ui_widget	0x2F04	12036	0x0101F260	0x00C1CA60	none	-	False	False	False	-	.?AVBigUIMoneyPanel@@	-
BigUINumberLabel	ui_widget	0x3447	13383	0x0101F220	0x00C1CA20	none	-	False	False	False	-	.?AVBigUINumberLabel@@	-
BigUIStandardWindow	ui_widget	0x4C9D	19613	0x0101F164	0x00C1C964	none	-	False	False	False	-	.?AVBigUIStandardWindow@@	-
BigUIThaiRichTextBox	ui_widget	0x522E	21038	0x0101F29C	0x00C1CA9C	none	-	False	False	False	-	.?AVBigUIThaiRichTextBox@@	-
BigUITimeInfo	ui_widget	0x22D5	8917	0x0101F280	0x00C1CA80	none	-	False	False	False	-	.?AVBigUITimeInfo@@	-
BigUITreeNode	ui_widget	0x2277	8823	0x0101F1C8	0x00C1C9C8	none	-	False	False	False	-	.?AVBigUITreeNode@@	-
BigUITreeView	ui_widget	0x237B	9083	0x0101F1E4	0x00C1C9E4	none	-	False	False	False	-	.?AVBigUITreeView@@	-
BigUIUserControl	ui_widget	0x3743	14147	0x0101F200	0x00C1CA00	none	-	False	False	False	-	.?AVBigUIUserControl@@	-
BigUIWindowEventHandler	ui_event_handler	0x6E28	28200	0x0102ADB8	0x00C285B8	none	-	False	False	False	-	.?AVBigUIWindowEventHandler@@	-
BkDisplayModule_Client	module_subsystem	0x6587	25991	0x0101E0F0	0x00C1B8F0	standalone	0x00F09F88	False	True	False	-	.?AVBkDisplayModule_Client@@	BkDisplayModule_Client
BlackListCommandEventHandler	ui_event_handler	0xA1C9	41417	0x0102310C	0x00C2090C	none	-	False	False	False	-	.?AVBlackListCommandEventHandler@@	-
BlackMarketItem	item_inventory_economy	0x2FCF	12239	0x0101C61C	0x00C19E1C	standalone	0x00F3E6EC	False	True	False	-	.?AVBlackMarketItem@@	BlackMarketItem
BlackMarketItemFilter	item_inventory_economy	0x5C9A	23706	0x0101C664	0x00C19E64	none	-	False	False	False	-	.?AVBlackMarketItemFilter@@	-
BlackMarketItemPtrMap	persistence_record	0x5B02	23298	0x0101C688	0x00C19E88	none	-	False	False	False	-	.?AVBlackMarketItemPtrMap@@	-
BlackMarketItem_Client	item_inventory_economy	0x6477	25719	0x0101C63C	0x00C19E3C	none	-	False	False	False	-	.?AVBlackMarketItem_Client@@	-
BlackMarketModule_Client	module_subsystem	0x77C1	30657	0x0101C6AC	0x00C19EAC	standalone	0x00F1C0FC	False	True	False	-	.?AVBlackMarketModule_Client@@	BlackMarketModule_Client
BloodShowEventHandler	ui_event_handler	0x5CD6	23766	0x0102309C	0x00C2089C	none	-	False	False	False	-	.?AVBloodShowEventHandler@@	-
BoardBase	other_unclassified	0x1157	4439	0x0101B050	0x00C18850	none	-	False	False	False	-	.?AVBoardBase@@	-
BriefActorData	actor_npc	0x28D3	10451	0x0101F508	0x00C1CD08	none	-	False	False	False	-	.?AVBriefActorData@@	-
BroadcastEventEventHandler	ui_event_handler	0x8D0C	36108	0x010243AC	0x00C21BAC	none	-	False	False	False	-	.?AVBroadcastEventEventHandler@@	-
BuffTipInfo	combat_skill_buff	0x1A07	6663	0x0101A3A0	0x00C17BA0	none	-	False	False	False	-	.?AVBuffTipInfo@@	-
BuildingCrystalModule	module_subsystem	0x5E46	24134	0x0101B538	0x00C18D38	standalone	0x00F2A910	False	True	False	-	.?AVBuildingCrystalModule@@	BuildingCrystalModule
BuildingCrystal_AddCrystalLusterVital	wire_vital	0x1D0C	7436	0x0101B4D0	0x00C18CD0	standalone	0x00F3BA7C	True	False	True	-	.?AVBuildingCrystal_AddCrystalLusterVital@@	BuildingCrystal_AddCrystalLusterVital
BuildingCrystal_AddNutrientToCrystalSlotVital	wire_vital	0xA3CD	41933	0x0101B2C8	0x00C18AC8	standalone	0x00F3B8EC	True	False	True	-	.?AVBuildingCrystal_AddNutrientToCrystalSlotVital@@	BuildingCrystal_AddNutrientToCrystalSlotVital
BuildingCrystal_DoAbsorbingVital	wire_vital	0xD339	54073	0x0101B424	0x00C18C24	standalone	0x00F3B9FC	True	False	True	-	.?AVBuildingCrystal_DoAbsorbingVital@@	BuildingCrystal_DoAbsorbingVital
BuildingCrystal_ExtractCrystalFailedVital	wire_vital	0x59AB	22955	0x0101B378	0x00C18B78	standalone	0x00F3B974	True	False	True	-	.?AVBuildingCrystal_ExtractCrystalFailedVital@@	BuildingCrystal_ExtractCrystalFailedVital
BuildingCrystal_ExtractCrystalFromSlotVital	wire_vital	0x80A0	32928	0x0101B33C	0x00C18B3C	standalone	0x00F3B948	True	False	True	-	.?AVBuildingCrystal_ExtractCrystalFromSlotVital@@	BuildingCrystal_ExtractCrystalFromSlotVital
BuildingCrystal_ExtractCrystalSucceededVital	wire_vital	0x8E98	36504	0x0101B3B0	0x00C18BB0	standalone	0x00F3B9A0	True	False	True	-	.?AVBuildingCrystal_ExtractCrystalSucceededVital@@	BuildingCrystal_ExtractCrystalSucceededVital
BuildingCrystal_IncreaseCrystalSlotMaxNutrientVital	wire_vital	0x1C37	7223	0x0101B458	0x00C18C58	standalone	0x00F3BA20	True	False	True	-	.?AVBuildingCrystal_IncreaseCrystalSlotMaxNutrientVital@@	BuildingCrystal_IncreaseCrystalSlotMaxNutrientVital
BuildingCrystal_InsertCrystalToSlotVital	wire_vital	0x4D86	19846	0x0101B304	0x00C18B04	standalone	0x00F3B91C	True	False	True	-	.?AVBuildingCrystal_InsertCrystalToSlotVital@@	BuildingCrystal_InsertCrystalToSlotVital
BuildingCrystal_OpenCrystalSlotVital	wire_vital	0x0ED3	3795	0x0101B294	0x00C18A94	standalone	0x00F3B8C4	True	False	True	-	.?AVBuildingCrystal_OpenCrystalSlotVital@@	BuildingCrystal_OpenCrystalSlotVital
BuildingCrystal_PurchaseServiceVital	wire_vital	0x0D27	3367	0x0101B49C	0x00C18C9C	standalone	0x00F3BA54	True	False	True	-	.?AVBuildingCrystal_PurchaseServiceVital@@	BuildingCrystal_PurchaseServiceVital
BuildingCrystal_SpeedUpBuildCrystalVital	wire_vital	0x4942	18754	0x0101B3EC	0x00C18BEC	standalone	0x00F3B9D0	True	False	True	-	.?AVBuildingCrystal_SpeedUpBuildCrystalVital@@	BuildingCrystal_SpeedUpBuildCrystalVital
BuildingCrystal_UpdateCrystalSlotVital	wire_vital	0x2D5C	11612	0x0101B25C	0x00C18A5C	standalone	0x00F3B89C	True	False	True	-	.?AVBuildingCrystal_UpdateCrystalSlotVital@@	BuildingCrystal_UpdateCrystalSlotVital
BuildingCrystal_UpdateNextAbsorbTime	other_unclassified	0x09D3	2515	0x0101B504	0x00C18D04	standalone	0x00F3BAA4	False	True	False	-	.?AVBuildingCrystal_UpdateNextAbsorbTime@@	BuildingCrystal_UpdateNextAbsorbTime
CAIBehavior	ai_behavior	0x1A55	6741	0x0102288C	0x00C2008C	none	-	False	False	False	-	.?AVCAIBehavior@@	-
CAICondition	ai_behavior	0x1F8A	8074	0x01022870	0x00C20070	none	-	False	False	False	-	.?AVCAICondition@@	-
CAIControler	ai_behavior	0x1FF5	8181	0x01022854	0x00C20054	none	-	False	False	False	-	.?AVCAIControler@@	-
CAIState	ai_behavior	0x0DCA	3530	0x010228A8	0x00C200A8	none	-	False	False	False	-	.?AVCAIState@@	-
CAIStateCombat	ai_behavior	0x2907	10503	0x01022944	0x00C20144	none	-	False	False	False	-	.?AVCAIStateCombat@@	-
CAIStateRamble	ai_behavior	0x28BF	10431	0x010228DC	0x00C200DC	none	-	False	False	False	-	.?AVCAIStateRamble@@	-
CAIStateRamble_Idle	ai_behavior	0x489B	18587	0x010228FC	0x00C200FC	none	-	False	False	False	-	.?AVCAIStateRamble_Idle@@	-
CAIStateRamble_Walk	ai_behavior	0x49BA	18874	0x01022920	0x00C20120	none	-	False	False	False	-	.?AVCAIStateRamble_Walk@@	-
CAIState_Dead	ai_behavior	0x21C0	8640	0x010228C0	0x00C200C0	none	-	False	False	False	-	.?AVCAIState_Dead@@	-
CAchievementsAttr	attr_state_block	0x3F4F	16207	0x01022FC8	0x00C207C8	standalone	0x00F42590	False	True	False	-	.?AVCAchievementsAttr@@	CAchievementsAttr
CAchievementsBoardcastReqVital	wire_vital	0xBB41	47937	0x01026E94	0x00C24694	standalone	0x00F427C4	True	False	True	-	.?AVCAchievementsBoardcastReqVital@@	CAchievementsBoardcastReqVital
CAchievementsBoardcastResVital	wire_vital	0xBB73	47987	0x01026EC4	0x00C246C4	standalone	0x00F427E4	True	False	True	-	.?AVCAchievementsBoardcastResVital@@	CAchievementsBoardcastResVital
CAchievementsConditionBase	other_unclassified	0x8D16	36118	0x0101DBB4	0x00C1B3B4	none	-	False	False	False	Equipment_CastingItemVital	.?AVCAchievementsConditionBase@@	-
CAchievementsMsgVital	wire_vital	0x5DAA	23978	0x01026E70	0x00C24670	standalone	0x00F42760	True	False	True	-	.?AVCAchievementsMsgVital@@	CAchievementsMsgVital
CAchievementsRewardVital	wire_vital	0x79FF	31231	0x01026E1C	0x00C2461C	standalone	0x00F42724	True	False	True	-	.?AVCAchievementsRewardVital@@	CAchievementsRewardVital
CAchievementsSelectTitleVital	wire_vital	0xB014	45076	0x01026E44	0x00C24644	standalone	0x00F42740	True	False	True	-	.?AVCAchievementsSelectTitleVital@@	CAchievementsSelectTitleVital
CAchievementsTriggerBase	other_unclassified	0x7802	30722	0x0101DB8C	0x00C1B38C	none	-	False	False	False	-	.?AVCAchievementsTriggerBase@@	-
CAchievementsTriggerEvent	other_unclassified	0x84F9	34041	0x0101DB64	0x00C1B364	none	-	False	False	False	-	.?AVCAchievementsTriggerEvent@@	-
CAchievementsUpdateVital	wire_vital	0x79D5	31189	0x01026DF4	0x00C245F4	standalone	0x00F42708	True	False	True	-	.?AVCAchievementsUpdateVital@@	CAchievementsUpdateVital
CActorBase	actor_npc	0x1568	5480	0x0101A6FC	0x00C17EFC	none	-	False	False	False	-	.?AVCActorBase@@	-
CActorBaseClient	actor_npc	0x35E6	13798	0x0101A82C	0x00C1802C	none	-	False	False	False	-	.?AVCActorBaseClient@@	-
CActorBuff	combat_skill_buff	0x159D	5533	0x0101A4F4	0x00C17CF4	none	-	False	False	False	-	.?AVCActorBuff@@	-
CActorBuffProxy	combat_skill_buff	0x31AF	12719	0x0101A534	0x00C17D34	none	-	False	False	False	-	.?AVCActorBuffProxy@@	-
CActorMove	scene_world_move	0x1640	5696	0x0101A6E0	0x00C17EE0	none	-	False	False	False	-	.?AVCActorMove@@	-
