source	index	table	rows	cols	start	end	version	flags
CONSTDATA_TH	066	DAILY_INFO_REWARD	7	26	0x007A600E	0x007A6802	5	0
CONSTDATA_TH	067	ENHANCEMENT_RULES	25	6	0x007A6802	0x007A6C6A	5	0
CONSTDATA_TH	068	EQUIPMENT_ZONE	9	7	0x007A6C6A	0x007A6EB4	5	0
CONSTDATA_TH	069	PETDATA	109	13	0x007A6EB4	0x007A90FC	5	PETDATA_TIP
CONSTDATA_TH	070	SAILOR_AVATAR	3	17	0x007A90FC	0x007A94AC	5	0
CONSTDATA_TH	071	SAILOR_QUALITY	5	8	0x007A94AC	0x007A9680	5	0
CONSTDATA_TH	072	SAILOR_FRIENDLY	4	5	0x007A9680	0x007A985A	5	0
CONSTDATA_TH	073	SAILOR_SKILL	144	11	0x007A985A	0x007ACC50	5	SAILOR_SKILL_TIP
CONSTDATA_TH	074	PET_MIX	178	10	0x007ACC50	0x007B1BAC	5	0
CONSTDATA_TH	075	COIN_CONSUME	21	9	0x007B1BAC	0x007B25FA	5	COIN_CONSUME_TEXT
CONSTDATA_TH	076	SUIT	101	13	0x007B25FA	0x007B57B6	5	SUIT_TIP
CONSTDATA_TH	077	EFFECT_STORAGE	100	11	0x007B57B6	0x007B869E	5	0
CONSTDATA_TH	078	EFFECT_RESIDENT	249	15	0x007B869E	0x007BD5E2	5	EFFECT_TEXT
CONSTDATA_TH	079	EFFECT_COLLECT	4	2	0x007BD5E2	0x007BD732	5	0
CONSTDATA_TH	080	SCENE_WEATHER	7	11	0x007BD732	0x007BDACC	5	0
CONSTDATA_TH	081	SCENE_TILE	18	5	0x007BDACC	0x007BDD18	5	0
CONSTDATA_TH	082	MARKER	390	6	0x007BDD18	0x007C026C	5	0
CONSTDATA_TH	083	SCENE_AREA	270	7	0x007C026C	0x007C3A2C	5	0
CONSTDATA_TH	084	Trigger	312	4	0x007C3A2C	0x007C5046	5	Trigger_TIP
CONSTDATA_TH	085	FACTION	38	2	0x007C5046	0x007C52C0	5	0
CONSTDATA_TH	086	GUILD_STATUS	10	8	0x007C52C0	0x007C55F8	5	0
CONSTDATA_TH	087	GUILD_MEMBER	6	25	0x007C55F8	0x007C6884	5	0
CONSTDATA_TH	088	GUILD_AURA	96	12	0x007C6884	0x007C976E	5	GUILDAURA_TEXT
CONSTDATA_TH	089	GUILD_GOLD	19	4	0x007C976E	0x007C9968	5	0
CONSTDATA_TH	090	STANDARD_QUEST	255	4	0x007C9968	0x007CAA16	5	0
CONSTDATA_TH	091	FONT_COLOR	57	4	0x007CAA16	0x007CAE3E	5	0
CONSTDATA_TH	092	ACTIVITY	2	35	0x007CAE3E	0x007CB686	5	0
CONSTDATA_TH	093	DAILY_PLAN	3	7	0x007CB686	0x007CB878	5	0
CONSTDATA_TH	094	COLLECT	64	12	0x007CB878	0x007CE31E	5	COLLECT_TEXT
CONSTDATA_TH	095	VEHICLE	79	10	0x007CE31E	0x007CF2AE	5	0
CONSTDATA_TH	096	DROPS_QUEST	311	101	0x007CF2AE	0x007EEB9E	5	0
CONSTDATA_TH	097	VOW_LOCK	14	15	0x007EEB9E	0x007EF518	5	VOWTEXT
CONSTDATA_TH	098	STANDARD_LV	255	4	0x007EF518	0x007F05C0	5	0
CONSTDATA_TH	099	ACHIEVEMENT	156	20	0x007F05C0	0x007F94D8	5	ACHIEVEMENT_TIP
CONSTDATA_TH	100	7SINS	7	2	0x007F94D8	0x007F9580	5	7SINS_TEXT
CONSTDATA_TH	101	MAP_SCENE_LIST	15	15	0x007F9580	0x007FA044	5	SCENE_NAME_TIP
CONSTDATA_TH	102	UI_CONFIRM	106	8	0x007FA044	0x007FB30C	5	UI_MESSAGE
CONSTDATA_TH	103	EMOTION	16	6	0x007FB30C	0x007FB9A6	5	0
CONSTDATA_TH	104	REPORT	20	5	0x007FB9A6	0x007FC0B2	5	708
CONSTDATA_TH	105	MOVIE	14	9	0x007FC0B2	0x007FC902	5	MOVIE_TIP
CONSTDATA_TH	106	HELP_DATA	88	7	0x007FC902	0x007FEC6C	5	0
CONSTDATA_TH	107	HELP_IMAGE	27	11	0x007FEC6C	0x007FFC82	5	0
CONSTDATA_TH	108	SAILING_RESULT	138	19	0x007FFC82	0x0080791C	5	0
CONSTDATA_TH	109	SHIP	17	12	0x0080791C	0x0080842E	5	SHIP_TEXT
CONSTDATA_TH	110	FLOOR_EFFECT	0	13	0x0080842E	0x00808612	5	0
CONSTDATA_TH	111	GET_SHIPCORPSE	8	11	0x00808612	0x00808C52	5	0
CONSTDATA_TH	112	PVP_PROPERTIES	4	17	0x00808C52	0x00809168	3	0
CONSTDATA_TH	113	GAME_TARGET_HINT	52	17	0x00809168	0x0080B06E	5	0
CONSTDATA_TH	114	BUFF_GROUP	250	4	0x0080B06E	0x0080C0C0	5	0
CONSTDATA_TH	115	STALL_SET	11	10	0x0080C0C0	0x0080C85A	5	0
CONSTDATA_TH	116	CUTIN	15	4	0x0080C85A	0x0080CAE0	5	0
CONSTDATA_TH	117	GUILDEVENT	0	13	0x0080CAE0	0x0080CCD6	5	0
CONSTDATA_TH	118	RANK_REWARD	0	15	0x0080CCD6	0x0080CF14	5	0
CONSTDATA_TH	119	SCROLL_VOICE	11	3	0x0080CF14	0x0080D3E6	5	0
TEXTDATA_TH	000	VERSION_PHASE_TIP	6	3	0x00000004	0x00000248	5	0
TEXTDATA_TH	001	FUNCTION_CONTROL_TIP	9	3	0x00000248	0x000004D8	5	0
TEXTDATA_TH	002	DROPS_ACTIVITY_TIP	8	3	0x000004D8	0x00000E66	5	0
TEXTDATA_TH	003	MESSAGE	907	4	0x00000E66	0x000145CE	5	0
TEXTDATA_TH	004	UI_MESSAGE	1954	2	0x000145CE	0x0002DA6A	5	0
TEXTDATA_TH	005	TIP_MESSAGE	560	3	0x0002DA6A	0x00038968	5	0
TEXTDATA_TH	006	EQUIPMENT_BASE_TIP	1341	5	0x00038968	0x00072224	5	0
TEXTDATA_TH	007	EQUIP_AVATAR_TIP	422	5	0x00072224	0x0007F52C	5	0
TEXTDATA_TH	008	ITEM_CONSUMABLES_TIP	1679	5	0x0007F52C	0x00100F36	5	0
TEXTDATA_TH	009	ITEM_MISC_TIP	1922	5	0x00100F36	0x0019DD26	5	0
TEXTDATA_TH	010	ITEMMALL_TEXT	574	5	0x0019DD26	0x001BC5C2	5	0
TEXTDATA_TH	011	ITEM_QUEST_TIP	638	5	0x001BC5C2	0x001CD972	5	0
TEXTDATA_TH	012	ADDITIONAL_TIP	6304	4	0x001CD972	0x001F8AAC	5	0
TEXTDATA_TH	013	STORE_NORMAL_TIP	17	2	0x001F8AAC	0x001F8D4C	5	0
TEXTDATA_TH	014	STORE_CONDITION_TIP	5	2	0x001F8D4C	0x001F8E72	5	0
TEXTDATA_TH	015	STORE_GOODS_TIP	8	2	0x001F8E72	0x001F9042	5	0
TEXTDATA_TH	016	STORE_SMITH_TIP	2	2	0x001F9042	0x001F90CC	5	0
TEXTDATA_TH	017	PETDATA_TIP	109	2	0x001F90CC	0x001F9F20	5	0
TEXTDATA_TH	018	SUIT_TIP	172	2	0x001F9F20	0x001FB56E	5	0
TEXTDATA_TH	019	VARIABLE_TEXT	117	4	0x001FB56E	0x001FE3F8	5	0
TEXTDATA_TH	020	MAINMENU_TIP	32	2	0x001FE3F8	0x001FE762	5	0
TEXTDATA_TH	021	MESSAGE_BATTLE	20	3	0x001FE762	0x001FEC7A	5	0
TEXTDATA_TH	022	MOBS_TIP	3139	4	0x001FEC7A	0x002431D6	5	0
TEXTDATA_TH	023	MOB_TALK_TEXT	56	4	0x002431D6	0x002458AA	5	0
TEXTDATA_TH	024	SCENE_NAME_TIP	330	3	0x002458AA	0x0024D9C6	5	0
TEXTDATA_TH	025	MAIL_TEXT	19	4	0x0024D9C6	0x0024F350	5	0
TEXTDATA_TH	026	MAIL_SEND_DEFALT_TEXT	70	2	0x0024F350	0x0025509E	5	0
TEXTDATA_TH	027	CONTENT_CLASS	6	3	0x0025509E	0x00256546	5	0
TEXTDATA_TH	028	MESSAGE_ERROR_BATTLE	94	2	0x00256546	0x00257E84	5	0
TEXTDATA_TH	029	HELP_CONTENT	91	4	0x00257E84	0x0026332A	5	0
TEXTDATA_TH	030	INVALID_CHARNAME	6	2	0x0026332A	0x0026341A	5	0
TEXTDATA_TH	031	INSTANCE_TIP	229	3	0x0026341A	0x00266528	5	0
TEXTDATA_TH	032	Activity_Text	17	4	0x00266528	0x00266E2C	5	0
TEXTDATA_TH	033	GUILDAURA_TEXT	288	4	0x00266E2C	0x0026F7A6	5	0
TEXTDATA_TH	034	HOTKEY_TIP	114	2	0x0026F7A6	0x00270710	5	0
TEXTDATA_TH	035	KEY_TIP	92	2	0x00270710	0x00270C80	5	0
TEXTDATA_TH	036	CHAT_EMOTION_TIP	96	4	0x00270C80	0x00273A28	5	0
TEXTDATA_TH	037	CHAT_EMOTION_ICON	38	3	0x00273A28	0x002743A4	5	0
TEXTDATA_TH	038	COLLECT_TEXT	77	8	0x002743A4	0x002844CE	5	0
TEXTDATA_TH	039	SHIP_TEXT	14	3	0x002844CE	0x0028483E	5	0
TEXTDATA_TH	040	SAILING_TEXT	8	4	0x0028483E	0x00284D6C	5	0
TEXTDATA_TH	041	EFFECT_TEXT	182	3	0x00284D6C	0x002897C4	5	0
TEXTDATA_TH	042	SAILOR_SKILL_TIP	144	5	0x002897C4	0x00293B66	5	0
TEXTDATA_TH	043	DIRTYWORD	2247	2	0x00293B66	0x00298B8C	5	0
TEXTDATA_TH	044	DIRTYTITLE	1556	2	0x00298B8C	0x0029D38A	5	0
TEXTDATA_TH	045	DIRTYMARK	56	2	0x0029D38A	0x0029D618	5	0
TEXTDATA_TH	046	VOWTEXT	25	3	0x0029D618	0x0029E5E0	5	0
TEXTDATA_TH	047	BUFF_TIP	1682	4	0x0029E5E0	0x002EA90E	5	0
TEXTDATA_TH	048	SKILL_TEXT	940	6	0x002EA90E	0x0033542C	5	0
TEXTDATA_TH	049	ACHIEVEMENT_TIP	337	3	0x0033542C	0x0033FF7C	5	0
TEXTDATA_TH	050	GREATTITLE	98	3	0x0033FF7C	0x003417E6	5	0
TEXTDATA_TH	051	CHARCREATE_LOOK_TIP	401	2	0x003417E6	0x0034505E	4	0
TEXTDATA_TH	052	CHARCREATE_SKIN_TIP	20	2	0x0034505E	0x00345318	5	0
TEXTDATA_TH	053	7SINS_TEST	4	5	0x00345318	0x0034565E	4	0
TEXTDATA_TH	054	7SINS_TEXT	7	4	0x0034565E	0x00345B50	4	0
TEXTDATA_TH	055	Trigger_TIP	312	5	0x00345B50	0x00354354	5	0
TEXTDATA_TH	056	Loading_Text	54	2	0x00354354	0x00355F72	5	0
TEXTDATA_TH	057	MOVIE_TIP	34	3	0x00355F72	0x003566CC	5	0
TEXTDATA_TH	058	Report_Text	20	3	0x003566CC	0x0035745E	5	0
TEXTDATA_TH	059	FLOOR_DROP_NAME	23	3	0x0035745E	0x00357C00	5	0
TEXTDATA_TH	060	SCENE_AREA_TIP	75	2	0x00357C00	0x00358768	5	0
TEXTDATA_TH	061	GMTOOL	97	3	0x00358768	0x00359A72	5	0
TEXTDATA_TH	062	TITLE_MISSILE	56	2	0x00359A72	0x0035A39C	5	0
TEXTDATA_TH	063	GAME_TARGET_HINT_TEXT	62	13	0x0035A39C	0x00361FC4	5	0
TEXTDATA_TH	064	COIN_CONSUME_TEXT	21	2	0x00361FC4	0x0036250E	5	0
QUESTDATA_TH	000	QUEST	1544	62	0x00000004	0x000921C0	5	0
QUESTDATA_TH	001	QUESTTALK	2056	60	0x000921C0	0x00119FF6	5	QUESTTEXT
QUESTTEXT_TH	000	TEXT_QUEST	2047	54	0x00000004	0x002F8B3A	5	0
