api	namespace	method	call_count	file_count	arity_min	arity_max	arity_mode	arg_shape_top	arg_shape_top_count	distinct_arg_shapes	example_files	binding_status	delegate_va	delegate_body6	registration_va	binding_note
Scene.CheckPlacementAlive	Scene	CheckPlacementAlive	65	36	1	1	1	var	64	2	t_canc2plc_mod1.lua;t_canc6plc_opn6plc_mod1.lua;t_cancplc_mod1.lua	IMPLEMENTED	0x0062A5A0	8b4c240483ec	0x005F8100	
Trigger.HideModel	Trigger	HideModel	62	47	0	0	0		62	1	t_adbuff&himdlfx_buff2.lua;t_cancplc_himdfx_q1.lua;t_cat&himd.lua	UNRESOLVED				no NUL-delimited string, or no push<nameVA> + mov[esp+X],delegate pattern found
Player.ShowMessage	Player	ShowMessage	61	45	1	1	1	num	54	2	Quest/q_boat_health.lua;Quest/q_enter_instance6.lua;Quest/q_sea_join.lua	STUB_NOOP	0x0045FA00	33c0c20400cc	0x004627BD	
Quest.CanReportDailyQuest	Quest	CanReportDailyQuest	61	61	0	0	0		61	1	Quest/q_day_business.lua;Quest/q_day_choose1.lua;Quest/q_day_collect1.lua	UNRESOLVED				no NUL-delimited string, or no push<nameVA> + mov[esp+X],delegate pattern found
Quest.ReportDailyQuest	Quest	ReportDailyQuest	61	61	0	0	0		61	1	Quest/q_day_business.lua;Quest/q_day_choose1.lua;Quest/q_day_collect1.lua	STUB_NOOP	0x0045FA00	33c0c20400cc	0x00609A72	
Player.GetClass	Player	GetClass	60	14	0	0	0		60	1	Quest/q_class.lua;Quest/q_class2.lua;Quest/q_class_item.lua	IMPLEMENTED	0x00460160	a1c42e030183	0x00461F7A	
Quest.AddLvCriteriaExp	Quest	AddLvCriteriaExp	59	59	0	0	0		59	1	Quest/q_day_business.lua;Quest/q_day_choose1.lua;Quest/q_day_choose2.lua	UNRESOLVED				no NUL-delimited string, or no push<nameVA> + mov[esp+X],delegate pattern found
Quest.AddLvCriteriaSkillPoint	Quest	AddLvCriteriaSkillPoint	59	59	0	0	0		59	1	Quest/q_day_business.lua;Quest/q_day_choose1.lua;Quest/q_day_choose2.lua	IMPLEMENTED	0x006092B0	6aff682bbdba	0x006099B6	
Quest.AddLvCriteriaCash	Quest	AddLvCriteriaCash	58	58	0	0	0		58	1	Quest/q_day_business.lua;Quest/q_day_choose1.lua;Quest/q_day_choose2.lua	IMPLEMENTED	0x00609420	6aff68a933ba	0x006099E5	
Trigger.PlayFx	Trigger	PlayFx	57	44	0	0	0		57	1	t_adbuff&himdlfx_buff2.lua;t_cancplc_himdfx_q1.lua;t_cancplc_mobpos_sp.lua	UNRESOLVED				no NUL-delimited string, or no push<nameVA> + mov[esp+X],delegate pattern found
Trigger.TriggerShowMessage	Trigger	TriggerShowMessage	55	8	2	2	2	num|var	44	2	t_bg2017_msg.lua;t_indanix2_msg.lua;t_msg_mod.lua	UNRESOLVED				no NUL-delimited string, or no push<nameVA> + mov[esp+X],delegate pattern found
Quest.CountDownTime	Quest	CountDownTime	54	54	1	1	1	var	53	2	Quest/q_con2.lua;Quest/q_con_new.lua;Quest/q_day_gather4.lua	STUB_NOOP	0x0045FA00	33c0c20400cc	0x0060989C	
Trigger.SetTriggerStatus	Trigger	SetTriggerStatus	52	29	2	2	2	var|var	42	2	t_cat&indani_q1.lua;t_catskl_indani.lua;t_for_bg2001.lua	UNRESOLVED				no NUL-delimited string, or no push<nameVA> + mov[esp+X],delegate pattern found
Player.AddAndEquip	Player	AddAndEquip	48	11	2	2	2	num|num	29	2	Quest/q_add_equip.lua;Quest/q_class_item.lua;Quest/q_enter_instance6.lua	IMPLEMENTED	0x00461160	6aff682696b8	0x00461C5B	
Quest.GetWeekDay	Quest	GetWeekDay	48	27	0	0	0		48	1	Quest/q_con_new.lua;Quest/q_repeat_con_new.lua;Quest/q_sea_chooseside.lua	IMPLEMENTED	0x006080E0	83ec0c8b0d98	0x00609A43	
Player.CheckBuff	Player	CheckBuff	47	25	1	1	1	var	25	3	Quest/q_add_skill1.lua;Quest/q_checkbuff1.lua;Quest/q_checkbuff3.lua	UNRESOLVED				no NUL-delimited string, or no push<nameVA> + mov[esp+X],delegate pattern found
Trigger.StartTriggerAnimation	Trigger	StartTriggerAnimation	43	23	4	5	4	var|var|var|num	40	3	t_cat&indani_q1.lua;t_catskl_indani.lua;t_dani&indanix4_colct_lv.lua	UNRESOLVED				no NUL-delimited string, or no push<nameVA> + mov[esp+X],delegate pattern found
Player.Teleport	Player	Teleport	35	34	1	1	1	var	33	2	Quest/q_class_item.lua;Quest/q_con3.lua;Quest/q_con_new.lua	STUB_NOOP	0x0045FA00	33c0c20400cc	0x00461D46	
Player.AddBuff	Player	AddBuff	32	17	2	2	2	var|var	15	3	Quest/q_con_new.lua;Quest/q_repeat_con_new.lua;Quest/q_teleport_new.lua	STUB_NOOP	0x0045FA00	33c0c20400cc	0x00448CFC	
Player.EnterInstance	Player	EnterInstance	32	17	1	1	1	var	30	2	Quest/q_con_new.lua;Quest/q_day_choose2.lua;Quest/q_day_enter_instance2.lua	STUB_NOOP	0x0045FA00	33c0c20400cc	0x00461DA4	
Scene.PlacementCancel	Scene	PlacementCancel	32	15	1	1	1	var	31	2	t_canc2plc_ki1.lua;t_canc2plc_mod1.lua;t_canc4plc.lua	STUB_NOOP	0x0045FA00	33c0c20400cc	0x005F80D1	
Player.OpenUI	Player	OpenUI	31	31	0	2	0		26	2	Quest/q_avatar_change.lua;Quest/q_avatar_fusion.lua;Quest/q_brew.lua	STUB_NOOP	0x0045FA00	33c0c20400cc	0x0046223B	
Player.OpenHelpUI	Player	OpenHelpUI	26	23	1	1	1	var	22	2	Quest/q_add_equip.lua;Quest/q_add_skill2.lua;Quest/q_arch1.lua	STUB_NOOP	0x0045FA00	33c0c20400cc	0x00462589	
Player.Addmoralized	Player	Addmoralized	21	12	1	1	1	expr	11	2	Quest/q_day_business.lua;Quest/q_day_hunt.lua;Quest/q_day_watch.lua	STUB_NOOP	0x0045FA00	33c0c20400cc	0x00462440	
Quest.GetMobKillCount	Quest	GetMobKillCount	20	1	1	1	1	var	20	1	Quest/q_day_kill4.lua	IMPLEMENTED	0x006084F0	6aff688032ba	0x0060986D	
Trigger.StartAnimation	Trigger	StartAnimation	19	18	3	4	4	var|var|num|num	11	3	t_adbuff&dani_q1.lua;t_cat&dani_q1.lua;t_dani&indanix4_colct_lv.lua	UNRESOLVED				no NUL-delimited string, or no push<nameVA> + mov[esp+X],delegate pattern found
Player.CameraFocus	Player	CameraFocus	16	11	1	1	1	var	14	2	Quest/q_con_new.lua;Quest/q_repeat_con_new.lua;t_catsklxyz_q1orq1.lua	UNRESOLVED				no NUL-delimited string, or no push<nameVA> + mov[esp+X],delegate pattern found
Guild.GetGuildLevel	Guild	GetGuildLevel	15	12	0	0	0		15	1	Quest/q_day_gather1.lua;Quest/q_guild_boss1.lua;Quest/q_guild_boss2.lua	IMPLEMENTED	0x006715C0	a1c42e030183	0x00671D43	
Instance.AddKeyEvent	Instance	AddKeyEvent	15	13	1	1	1	var	15	1	t_inskyev.lua;t_inskyev_danifx.lua;t_inskyev_danifx_mod1.lua	STUB_NOOP	0x0045FA00	33c0c20400cc	0x005F7993	
Mob.CallMob	Mob	CallMob	15	15	2	2	2	var|var	15	1	Quest/q_callmob1.lua;Quest/q_guild_boss1.lua;Quest/q_guild_boss2.lua	STUB_NOOP	0x0045FA00	33c0c20400cc	0x00448BB3	
Mob.EndMove	Mob	EndMove	15	8	0	1	1		6	3	Quest/q_add_mobbuffend1.lua;Quest/q_con_new.lua;Quest/q_guard.lua	STUB_NOOP	0x0045FA00	33c0c20400cc	0x00448D5A	
Player.CheckGuild	Player	CheckGuild	15	15	0	0	0		15	1	Quest/q_day_con.lua;Quest/q_guild_boss1.lua;Quest/q_guild_boss2.lua	IMPLEMENTED	0x0045FC90	83ec08c60424	0x00461E8F	
Instance.GetInstanceID	Instance	GetInstanceID	14	7	0	0	0		14	1	t_bg2017_msg.lua;t_drp_himdfx_ui1_sp.lua;t_for_bg2001.lua	STUB_NOOP	0x0045FA00	33c0c20400cc	0x005F7B0B	
Player.CheckEquipItem	Player	CheckEquipItem	14	2	1	1	1	num	14	1	Quest/q_con3.lua;Quest/q_kill1_2.lua	UNRESOLVED				no NUL-delimited string, or no push<nameVA> + mov[esp+X],delegate pattern found
Player.CheckMoralized	Player	CheckMoralized	14	14	1	1	1	var	14	1	Quest/q_check_moralized.lua;Quest/q_day_business.lua;Quest/q_day_hunt.lua	IMPLEMENTED	0x004606E0	6aff684395b8	0x004626D2	
Trigger.HideTriggerModel	Trigger	HideTriggerModel	13	6	0	1	1	num	8	3	t_adbuff&himdlfx_buff2.lua;t_clsplc&hitmd.lua;t_for_bg2001.lua	UNRESOLVED				no NUL-delimited string, or no push<nameVA> + mov[esp+X],delegate pattern found
Instance.CallScoreCount	Instance	CallScoreCount	12	12	0	0	0		12	1	t_inscnt.lua;t_inscnt_mod1.lua;t_inscnt_mod1_t1.lua	STUB_NOOP	0x0045FA00	33c0c20400cc	0x005F7A4F	
Player.CheckCollect	Player	CheckCollect	11	11	1	1	1	var	11	1	Quest/q_day_collect1.lua;Quest/q_day_collect2.lua;Quest/q_day_collect3.lua	IMPLEMENTED	0x00460300	6aff68f394b8	0x00462384	
Player.OutVehicle	Player	OutVehicle	11	5	0	0	0		11	1	Quest/q_con_new.lua;Quest/q_kill_skxyz.lua;Quest/q_kill_skxyzr.lua	STUB_NOOP	0x0045FA00	33c0c20400cc	0x004628D7	
Trigger.CastSkillXYZ	Trigger	CastSkillXYZ	11	6	4	4	4	var|var|var|var	11	1	t_adbuff&catsklxyz_q1.lua;t_catsklxyz.lua;t_catsklxyz_q1orq1.lua	STUB_NOOP	0x0045FA00	33c0c20400cc	0x004628A8	
Player.Warp	Player	Warp	10	10	4	4	4	var|var|var|var	10	1	t_wap&adbuff_q1orq1.lua;t_wap&adbuff_t1&itm6.lua;t_wap&adbuff_t1.lua	STUB_NOOP	0x0045FA00	33c0c20400cc	0x00461D75	
Player.DropProcess	Player	DropProcess	9	8	1	1	1	var	9	1	t_drp&dani_colct_save.lua;t_drp&insbospnt_himdfx.lua;t_drp.lua	STUB_NOOP	0x0045FA00	33c0c20400cc	0x004623B3	
Quest.CheckOpenTime	Quest	CheckOpenTime	9	3	2	2	2	num|num	7	2	Quest/q_arena2.lua;Quest/q_con5.lua;Quest/q_sea_join.lua	IMPLEMENTED	0x00608170	6aff681832ba	0x00609B2E	
Trigger.CastSkill	Trigger	CastSkill	9	9	1	1	1	var	9	1	t_catskl.lua;t_catskl_himd.lua;t_catskl_indani.lua	UNRESOLVED				no NUL-delimited string, or no push<nameVA> + mov[esp+X],delegate pattern found
Mob.CheckApproachTarget	Mob	CheckApproachTarget	8	8	0	0	0		8	1	Quest/q_add_mobbuffend1.lua;Quest/q_con_new.lua;Quest/q_guard.lua	IMPLEMENTED	0x00448880	8b411483ec08	0x00448D89	
Mob.StartMove	Mob	StartMove	8	8	1	1	1	var	5	2	Quest/q_add_mobbuffend1.lua;Quest/q_con_new.lua;Quest/q_guard.lua	STUB_NOOP	0x0045FA00	33c0c20400cc	0x00448D2B	
Player.TeleportThenPlayMovie	Player	TeleportThenPlayMovie	8	7	2	2	2	var|var	6	2	Quest/q_con_new.lua;Quest/q_movie_teach5.lua;Quest/q_repeat_con_new.lua	STUB_NOOP	0x0045FA00	33c0c20400cc	0x00462674	
Quest.PlayNPCVoice	Quest	PlayNPCVoice	8	2	1	1	1	expr	8	1	Quest/q_con_new.lua;Quest/q_repeat_con_new.lua	IMPLEMENTED	0x00608C00	6aff682696b8	0x00609B5D	
Scene.ChangeMainMusic	Scene	ChangeMainMusic	8	6	0	2	2	var|expr	4	2	Quest/q_con_new.lua;Quest/q_repeat_con_new.lua;t_chanmmsc_mod1.lua	UNRESOLVED				no NUL-delimited string, or no push<nameVA> + mov[esp+X],delegate pattern found
Trigger.QuestActiveProgress	Trigger	QuestActiveProgress	8	8	1	1	1	var	8	1	t_opnq&clsq.lua;t_opnq.lua;t_opnq_ki1&clsq.lua	UNRESOLVED				no NUL-delimited string, or no push<nameVA> + mov[esp+X],delegate pattern found
Guild.CheckPlayerGuildJob	Guild	CheckPlayerGuildJob	7	7	1	1	1	var	7	1	Quest/q_guild_boss1.lua;Quest/q_guild_boss2.lua;Quest/q_guild_con1.lua	IMPLEMENTED	0x00671A10	6aff6818abba	0x00671FA6	
Instance.GetLastingTime	Instance	GetLastingTime	7	7	0	0	0		7	1	t_cls2plc_tim_t1.lua;t_nex_tim.lua;t_opn&cls2plc_tim_t1.lua	STUB_NOOP	0x0045FA00	33c0c20400cc	0x005F7A7E	
Player.CheckGender	Player	CheckGender	7	7	1	1	1	var	7	1	Quest/q_gender_con.lua;Quest/q_gender_equip1.lua;Quest/q_gender_equip2.lua	IMPLEMENTED	0x0045FF10	6aff688894b8	0x004622F7	
Player.GetCash	Player	GetCash	7	7	0	0	0		7	1	Quest/q_boat_health.lua;Quest/q_class.lua;Quest/q_class2.lua	IMPLEMENTED	0x004600A0	a1c42e030183	0x00461B70	
Player.PlayMovie	Player	PlayMovie	7	7	1	1	1	var	5	2	Quest/q_con_new.lua;Quest/q_instance_add_mobbuff2.lua;Quest/q_movie_teach1.lua	UNRESOLVED				no NUL-delimited string, or no push<nameVA> + mov[esp+X],delegate pattern found
Player.ResetMarker	Player	ResetMarker	7	7	1	1	1	var	5	2	Quest/q_bornagain.lua;Quest/q_gender_equip3.lua;Quest/q_gender_equip4.lua	STUB_NOOP	0x0045FA00	33c0c20400cc	0x00462326	
Guild.AddMeritExp	Guild	AddMeritExp	6	6	1	1	1	var	6	1	Quest/q_guild_d_gather1.lua;Quest/q_guild_levelup1.lua;Quest/q_guild_levelup2.lua	IMPLEMENTED	0x006714E0	b801000000c2	0x00671E2E	
Mob.CheckMobPosition	Mob	CheckMobPosition	6	2	5	5	5	var|var|var|var|var	6	1	t_cancplc_mobpos_sp.lua;t_opnplc_mobpos_sp.lua	IMPLEMENTED	0x004485D0	558bec83e4f8	0x00448DB8	
Mob.CheckMobalive	Mob	CheckMobalive	6	6	1	1	1	var	6	1	t_drp&dani_colct_save.lua;t_getm_q1_mob1.lua;t_getm_q1_mob1_himdlfx.lua	IMPLEMENTED	0x004483E0	6aff685894b8	0x00448C40	
Player.AddCash	Player	AddCash	6	6	1	1	1	var	4	2	Quest/q_boat_health.lua;Quest/q_class.lua;Quest/q_class2.lua	IMPLEMENTED	0x00460D90	6aff682696b8	0x00461B9F	
Player.CheckSkill	Player	CheckSkill	6	1	1	1	1	var	6	1	Quest/q_skill3.lua	IMPLEMENTED	0x0045FE10	6aff68e831ba	0x00461FD8	
Player.EnterInstanceThenPlayMovie	Player	EnterInstanceThenPlayMovie	6	5	2	2	2	var|var	4	2	Quest/q_con_new.lua;Quest/q_enter_instance7.lua;Quest/q_repeat_con_new.lua	STUB_NOOP	0x0045FA00	33c0c20400cc	0x004625B8	
Player.ItemAddon	Player	ItemAddon	6	4	3	3	3	var|var|var	4	2	Quest/q_con1.lua;Quest/q_con4.lua;Quest/q_con_new.lua	STUB_NOOP	0x0045FA00	33c0c20400cc	0x0046281B	
Player.LoadInstanceGroup	Player	LoadInstanceGroup	6	5	1	1	1	var	6	1	Quest/q_instancegroup.lua;Quest/q_teleport_new.lua;t_ins_pt.lua	STUB_NOOP	0x0045FA00	33c0c20400cc	0x00462355	
Player.TeleportWithVehicle	Player	TeleportWithVehicle	6	5	1	1	1	var	6	1	Quest/q_tele_with_vehicle1.lua;Quest/q_tele_with_vehicle2.lua;Quest/q_teleport_new.lua	STUB_NOOP	0x0045FA00	33c0c20400cc	0x00462616	
Party.EnterInstance	Party	EnterInstance	5	5	1	1	1	var	5	1	Quest/q_enter_instance11.lua;Quest/q_enter_instance4.lua;Quest/q_enter_instance6.lua	STUB_NOOP	0x0045FA00	33c0c20400cc	0x00461DA4	
Trigger.CastSkillBy	Trigger	CastSkillBy	5	5	1	1	1	var	5	1	t_catsklby.lua;t_catsklby_ki1.lua;t_catsklby_npld.lua	UNRESOLVED				no NUL-delimited string, or no push<nameVA> + mov[esp+X],delegate pattern found
Guild.GetPVPFaction	Guild	GetPVPFaction	4	4	0	0	0		4	1	Quest/q_con_new.lua;Quest/q_repeat_con_new.lua;Quest/q_sea_chooseside.lua	IMPLEMENTED	0x006714F0	6aff68b8aaba	0x00671FD5	
Player.CheckAchievement	Player	CheckAchievement	4	1	1	1	1	var	4	1	Quest/q_arch1.lua	UNRESOLVED				no NUL-delimited string, or no push<nameVA> + mov[esp+X],delegate pattern found
Player.CheckPartyLeader	Player	CheckPartyLeader	4	4	0	0	0		4	1	Quest/q_trafrd0.lua;t_catskl_pld.lua;t_catsklby_npld.lua	UNRESOLVED				no NUL-delimited string, or no push<nameVA> + mov[esp+X],delegate pattern found
Player.CheckSoulmate	Player	CheckSoulmate	4	4	0	0	0		4	1	Quest/q_day_con.lua;Quest/q_day_social.lua;Quest/q_day_social2.lua	AMBIGUOUS	0x004605C0	6aff68f394b8	0x00462411	AMBIGUOUS: method name registered 2 times with different delegates (0x004605C0 0x0062A7C0) - namespace cannot be told apart by name alone
Player.LeaveInstance	Player	LeaveInstance	4	4	0	0	0		4	1	t_inslev.lua;t_inslev_q1.lua;t_inslev_q1orq1.lua	STUB_NOOP	0x0045FA00	33c0c20400cc	0x00461DD3	
Mob.CheckMobbuff	Mob	CheckMobbuff	3	3	2	2	2	var|var	3	1	Quest/q_add_mobbuffend1.lua;Quest/q_instance_add_mobbuff1.lua;Quest/q_instance_add_mobbuff2.lua	IMPLEMENTED	0x004484C0	6aff68e831ba	0x00448C6F	
Party.CastSkillAt	Party	CastSkillAt	3	3	1	1	1	var	3	1	t_cat_pt.lua;t_indani_l_cat_pt.lua;t_indani_l_cat_pt_rat.lua	STUB_NOOP	0x0045FA00	33c0c20400cc	0x0046217F	
Player.LoadStore	Player	LoadStore	3	3	1	1	1	var	3	1	Quest/q_gather8.lua;Quest/q_store1.lua;Quest/q_store3.lua	STUB_NOOP	0x0045FA00	33c0c20400cc	0x004621DD	
Trigger.QuestFinishProgress	Trigger	QuestFinishProgress	3	3	1	1	1	var	3	1	t_clsq.lua;t_opnq&clsq.lua;t_opnq_ki1&clsq.lua	UNRESOLVED				no NUL-delimited string, or no push<nameVA> + mov[esp+X],delegate pattern found
Guild.CheckMeritExp	Guild	CheckMeritExp	2	2	1	1	1	var	2	1	Quest/q_guildfire.lua;Quest/q_guildskill.lua	IMPLEMENTED	0x006716E0	6aff688894b8	0x00671DFF	
Instance.AddBonusPoint	Instance	AddBonusPoint	2	2	0	1	0		1	2	t_drp&insbospnt_himdfx.lua;t_insbospnt_himdfx.lua	STUB_NOOP	0x0045FA00	33c0c20400cc	0x005F7ADC	
Instance.RemoveKeyEvent	Instance	RemoveKeyEvent	2	2	1	1	1	var	2	1	t_remvkyev.lua;t_remvkyev_mod1.lua	STUB_NOOP	0x0045FA00	33c0c20400cc	0x005F79C2	
Party.CheckPartyItem	Party	CheckPartyItem	2	2	2	2	2	var|var	2	1	Quest/q_teleport_new.lua;Quest/q_trafrd0.lua	IMPLEMENTED	0x0062A5C0	6aff688894b8	0x0062AB5B	
Party.GetNum	Party	GetNum	2	2	0	0	0		2	1	Quest/q_enter_instance11.lua;Quest/q_enter_instance6.lua	IMPLEMENTED	0x0062A700	a1c42e030183	0x0062A9E3	
Party.Love	Party	Love	2	2	1	1	1	var	2	1	Quest/q_ocean_kill3.lua;Quest/q_repeat_gather7.lua	UNRESOLVED				no NUL-delimited string, or no push<nameVA> + mov[esp+X],delegate pattern found
Party.PlayMovie	Party	PlayMovie	2	2	1	1	1	var	2	1	t_plymov.lua;t_plymov_chanmsc.lua	UNRESOLVED				no NUL-delimited string, or no push<nameVA> + mov[esp+X],delegate pattern found
Party.RemovePartyItem	Party	RemovePartyItem	2	2	2	2	2	expr|expr	1	2	Quest/q_teleport_new.lua;Quest/q_trafrd0.lua	STUB_NOOP	0x0045FA00	33c0c20400cc	0x0062AB8A	
Party.SignUpArena	Party	SignUpArena	2	2	0	0	0		2	1	Quest/q_arena1.lua;Quest/q_arena2.lua	STUB_NOOP	0x0045FA00	33c0c20400cc	0x0062ABE8	
Player.AddExp	Player	AddExp	2	2	1	1	1	call	2	1	t_getm_rat_exp&sp.lua;t_inskyev_getm_rat_exp&sp.lua	IMPLEMENTED	0x00460EC0	6aff682696b8	0x00461BCE	
Player.AddPpClass	Player	AddPpClass	2	2	1	1	1	var	2	1	Quest/q_class.lua;Quest/q_class2.lua	STUB_NOOP	0x0045FA00	33c0c20400cc	0x00461F1C	
Player.AddSkillPoint	Player	AddSkillPoint	2	2	1	1	1	call	2	1	t_getm_rat_exp&sp.lua;t_inskyev_getm_rat_exp&sp.lua	IMPLEMENTED	0x004613D0	6aff682696b8	0x00461CE8	
Player.CastSkillXYZ	Player	CastSkillXYZ	2	2	4	4	4	var|var|var|var	2	1	Quest/q_kill_skxyz.lua;Quest/q_kill_skxyzr.lua	STUB_NOOP	0x0045FA00	33c0c20400cc	0x004628A8	
Player.CheckParty	Player	CheckParty	2	2	0	0	0		2	1	Quest/q_repeat_gather7.lua;Quest/q_trafrd0.lua	IMPLEMENTED	0x0045FBF0	8b0dc42e0301	0x00461E02	
Player.CheckThrowAnyPenpalLetter	Player	CheckThrowAnyPenpalLetter	2	2	0	0	0		2	1	Quest/q_letter.lua;Quest/q_letter1.lua	IMPLEMENTED	0x004609A0	6aff688895b8	0x0046278E	
