scene	src_path	version	placement_count	src_sha256	src_bytes	parse_status	definition_count	placement_count_offset	output_path
Bg0015	Data/Scene/Save/Bg0015/Bg0015.npc	2	91	5d98e830888c95688537fdae98bfa74f422ca21da42baa921003585d013499b1	10497	OK	51	0x000007B4	scene/Bg0015/Bg0015.placements.tsv
Bg0016	Data/Scene/Save/Bg0016/Bg0016.npc	2	74	867916766944392d78b44a6df354cf37856b908238e76e8246c3461de49820e1	8754	OK	48	0x00000732	scene/Bg0016/Bg0016.placements.tsv
bg0017	Data/Scene/Save/bg0017/bg0017.npc	2	61	194da4579f5f76787a7105a0e80706e528055d54d14b13e350e24f0b0b72525a	7763	OK	46	0x00000734	scene/bg0017/bg0017.placements.tsv
bg0020	Data/Scene/Save/bg0020/Bg0020.npc	2	93	e1566741f25b2ec71ad6fc3d47d85e4ebdb4a7ccd5e8aff5fbef908180d0bc66	10267	OK	31	0x000004DC	scene/bg0020/Bg0020.placements.tsv
Bg0021	Data/Scene/Save/Bg0021/Bg0021.npc	2	105	07d5e545b114adcc790f261a9655ec299aa574d4b0bcd9c10657cd57ec762d0e	11311	OK	28	0x00000464	scene/Bg0021/Bg0021.placements.tsv
Bg0022	Data/Scene/Save/Bg0022/Bg0022.npc	2	69	02d699e7b6d706a1852518794cb97513a777dcc08efa94401493aafa193ac6fd	7819	OK	28	0x00000464	scene/Bg0022/Bg0022.placements.tsv
Bg0023	Data/Scene/Save/Bg0023/Bg0023.npc	2	80	fdb4330e851417b0ad30dec918f51a3db46e92dcc04409640b39661cfde20a8a	8686	OK	23	0x0000039C	scene/Bg0023/Bg0023.placements.tsv
Bg0030	Data/Scene/Save/Bg0030/Bg0030.npc	2	0	c05d231da83665dd60560fc424059d66b433774afcff4d3b053b407f057d54ba	6	OK	0	0x00000004	scene/Bg0030/Bg0030.placements.tsv
Bg0031	Data/Scene/Save/Bg0031/Bg0031.npc	2	0	c05d231da83665dd60560fc424059d66b433774afcff4d3b053b407f057d54ba	6	OK	0	0x00000004	scene/Bg0031/Bg0031.placements.tsv
Bg0032	Data/Scene/Save/Bg0032/Bg0032.npc	2	0	c05d231da83665dd60560fc424059d66b433774afcff4d3b053b407f057d54ba	6	OK	0	0x00000004	scene/Bg0032/Bg0032.placements.tsv
Bg0033	Data/Scene/Save/Bg0033/Bg0033.npc	2	0	c05d231da83665dd60560fc424059d66b433774afcff4d3b053b407f057d54ba	6	OK	0	0x00000004	scene/Bg0033/Bg0033.placements.tsv
Bg1001	Data/Scene/Save/Bg1001/Bg1001.npc	2	8	da5c560af6c483490a041f0605a1b0cfe047a7ee00e515de07567d0c1247e821	978	OK	6	0x000000E8	scene/Bg1001/Bg1001.placements.tsv
Bg1002	Data/Scene/Save/Bg1002/Bg1002.npc	2	8	5ed8550f90bb03c267cb3f53959668428ca052f74d45d853baa70e1d03709618	1148	OK	7	0x0000010E	scene/Bg1002/Bg1002.placements.tsv
Bg1003	Data/Scene/Save/Bg1003/Bg1003.npc	2	8	55feab76e356efac4c92704043df2430ed1aedcf294281cec82316352a63cee7	1208	OK	7	0x0000010E	scene/Bg1003/Bg1003.placements.tsv
Bg1004	Data/Scene/Save/Bg1004/Bg1004.npc	2	10	a406638d16d9de690af16a8008fdeb2a26852319606bc592f041f5a80b1fb06a	1126	OK	5	0x000000C2	scene/Bg1004/Bg1004.placements.tsv
Bg1005	Data/Scene/Save/Bg1005/Bg1005.npc	2	13	cd3e573d25b4a4857fae52fb19cf9b70c00de0d80289c7fc56055de12cc399e6	1597	OK	7	0x0000010E	scene/Bg1005/Bg1005.placements.tsv
Bg1006	Data/Scene/Save/Bg1006/Bg1006.npc	2	20	496e965e144eb19c2c69ad37b6a2faf1fc8a8b604f5822c14ff39c4873b5f07c	2444	OK	9	0x0000015A	scene/Bg1006/Bg1006.placements.tsv
Bg1007	Data/Scene/Save/Bg1007/Bg1007.npc	2	12	819f8a6d9cc6eded5c8291f2ab77487b60f846ab725f9649e4170edbb9d6310d	1426	OK	8	0x00000134	scene/Bg1007/Bg1007.placements.tsv
Bg1008	Data/Scene/Save/Bg1008/Bg1008.npc	2	6	2e1444e7caf407f0e85d53aa33ec8522536a4eb8f09187c9ee67f38dbf57d9e6	754	OK	5	0x000000C2	scene/Bg1008/Bg1008.placements.tsv
Bg1009	Data/Scene/Save/Bg1009/Bg1009.npc	2	9	47460e038ef680c64c975da50f53e2c1e69ac7ba4a296cb2e5b736cadf787bbe	1217	OK	7	0x0000010E	scene/Bg1009/Bg1009.placements.tsv
Bg1010	Data/Scene/Save/Bg1010/Bg1010.npc	2	14	babfd835a839712af13bcc95ce2b75a7843949f8d9dd7f65684f1e19d6074637	1708	OK	8	0x00000134	scene/Bg1010/Bg1010.placements.tsv
Bg1011	Data/Scene/Save/Bg1011/Bg1011.npc	2	8	2bddfde6b53769adf437a04b31c0bf2631dc01f11e90bb5c5ccc5da4c7b72948	940	OK	5	0x000000C2	scene/Bg1011/Bg1011.placements.tsv
Bg1012	Data/Scene/Save/Bg1012/Bg1012.npc	2	8	95595b3979821d06be0df058583ff0640a872550016a491b492d71634b12183c	1048	OK	5	0x000000C2	scene/Bg1012/Bg1012.placements.tsv
Bg1013	Data/Scene/Save/Bg1013/Bg1013.npc	2	16	4cf67fa759e0d5e167c47a9307b5613a1b564812825eaf440434b221d04df9ac	1844	OK	7	0x0000010E	scene/Bg1013/Bg1013.placements.tsv
Bg1014	Data/Scene/Save/Bg1014/Bg1014.npc	2	15	656b2b5e2cc5a121286d5f6882d0c94beda5cc52b4aa89141c3f5b29a58a11e6	1789	OK	8	0x00000134	scene/Bg1014/Bg1014.placements.tsv
Bg1016	Data/Scene/Save/Bg1016/Bg1016.npc	2	12	86eee043925f79c4d97163691c41ffec6520941eab8eaddc6a4bcf317bb2a407	1312	OK	5	0x000000C2	scene/Bg1016/Bg1016.placements.tsv
Bg1017	Data/Scene/Save/Bg1017/Bg1017.npc	2	11	cf0e655771b553c03e22c7694b4663868bf38a00e1d2b9b0423029623c00b480	1257	OK	6	0x000000E8	scene/Bg1017/Bg1017.placements.tsv
Bg1018	Data/Scene/Save/Bg1018/Bg1018.npc	2	12	4f5c284ba61ac345858688992f193ccbffe72e8aef4328aff2f6efe75bee8320	1312	OK	5	0x000000C2	scene/Bg1018/Bg1018.placements.tsv
Bg1019	Data/Scene/Save/Bg1019/Bg1019.npc	2	20	f67b6a22210a57c5c0a1aa36429a92a99854d08bb98b7385d5641dbb2a532214	2056	OK	5	0x000000C2	scene/Bg1019/Bg1019.placements.tsv
Bg1020	Data/Scene/Save/Bg1020/Bg1020.npc	2	27	6ef4a82aaf050e38705ee155b56870e17dae5019c75e78c0fc483a77bd4f0287	2745	OK	6	0x000000E8	scene/Bg1020/Bg1020.placements.tsv
Bg1021	Data/Scene/Save/Bg1021/Bg1021.npc	2	12	fb84210bf69345c3df3758ba5ae25efae13eb15caef519efcfed23e9ac60c787	1370	OK	5	0x000000CC	scene/Bg1021/Bg1021.placements.tsv
Bg1022	Data/Scene/Save/Bg1022/Bg1022.npc	2	22	3c5ccd228a773dfbe2df3b19493fac8fc3be0d08b59fe56c05e8a234400edf41	2340	OK	5	0x000000CC	scene/Bg1022/Bg1022.placements.tsv
Bg1023	Data/Scene/Save/Bg1023/Bg1023.npc	2	11	a45c48dc1343f7cf63ebbfa8699ba8975c27fe3eb8aef6a2612d1615de7c62b6	1181	OK	4	0x0000009C	scene/Bg1023/Bg1023.placements.tsv
Bg1024	Data/Scene/Save/Bg1024/Bg1024.npc	2	37	c09cdd49352631765bac7a36fa9a09a4b60ffa4a0f76f0952bb9277c535d003c	3713	OK	7	0x0000010E	scene/Bg1024/Bg1024.placements.tsv
Bg1025	Data/Scene/Save/Bg1025/Bg1025.npc	2	10	12491d2b439e4d196969f3223a9288dc45aa68ac61ea862b8df7fbedbbe10de5	1088	OK	4	0x0000009C	scene/Bg1025/Bg1025.placements.tsv
Bg1026	Data/Scene/Save/Bg1026/Bg1026.npc	2	21	12476bfd20b6ae11a3de5a5a56ea4c373747a3fd8e8656ee4b8b9e1285bf2db8	2149	OK	5	0x000000C2	scene/Bg1026/Bg1026.placements.tsv
Bg1027	Data/Scene/Save/Bg1027/Bg1027.npc	2	17	54887cbe0b5e37e811a04e4b18cdbf89d2988820581d2eb7725b51ce58a8e7a3	1853	OK	7	0x0000010E	scene/Bg1027/Bg1027.placements.tsv
Bg1028	Data/Scene/Save/Bg1028/Bg1028.npc	2	14	b7fa5e19f9ea8672617cfa97576ec991a0fa10ce9647aaf7fe9ad881626ca4fa	1460	OK	4	0x0000009C	scene/Bg1028/Bg1028.placements.tsv
Bg1029	Data/Scene/Save/Bg1029/Bg1029.npc	2	12	3b6cfa3b58c573dc5b5832f004f2cb1940c51005a862e3b8a6f5f3680807c71f	1370	OK	5	0x000000CC	scene/Bg1029/Bg1029.placements.tsv
Bg1030	Data/Scene/Save/Bg1030/Bg1030.npc	2	11	2427ceb25b3693970c40bc67eb76e3ec4cc1ffa99d7d002b680a4e2968e4cb3e	1267	OK	5	0x000000CC	scene/Bg1030/Bg1030.placements.tsv
Bg1031	Data/Scene/Save/Bg1031/Bg1031.npc	2	9	08d452f9e454f635d69f9cb479d254af48e01f80556b4e29be73f4107aadd067	931	OK	4	0x000000A4	scene/Bg1031/Bg1031.placements.tsv
Bg1032	Data/Scene/Save/Bg1032/Bg1032.npc	2	13	a9994dc3ea772b1e3581cd3cf9a1b88e22f6b420c434877503b66025f020505a	1405	OK	5	0x000000C2	scene/Bg1032/Bg1032.placements.tsv
Bg1033	Data/Scene/Save/Bg1033/Bg1033.npc	2	16	8cab1ba432c8fc549b4b129c5da1bb2d28867a7d000b7bacdcf10c3e8350d115	1798	OK	8	0x00000134	scene/Bg1033/Bg1033.placements.tsv
Bg1034	Data/Scene/Save/Bg1034/Bg1034.npc	2	16	c33ffd0f02cc66c8cb707fca00241708c5c4901131879e23f5b426d513274f94	1722	OK	6	0x000000E8	scene/Bg1034/Bg1034.placements.tsv
Bg1035	Data/Scene/Save/Bg1035/Bg1035.npc	2	14	aa45c0e0493d908ba0c9e7c9ba10f68c814724d9168cd7b47665fb32610fa3de	1498	OK	5	0x000000C2	scene/Bg1035/Bg1035.placements.tsv
Bg1036	Data/Scene/Save/Bg1036/Bg1036.npc	2	12	a52386678793b52261b70d55dcdc66705d34d010cc26a6f9ea826a3cbc97662d	1274	OK	4	0x0000009C	scene/Bg1036/Bg1036.placements.tsv
Bg1037	Data/Scene/Save/Bg1037/Bg1037.npc	2	19	04c639a5fe3105cd264bee47d57e02e527b211ee64978608744abbf28637b863	2039	OK	7	0x0000010E	scene/Bg1037/Bg1037.placements.tsv
Bg1038	Data/Scene/Save/Bg1038/Bg1038.npc	2	21	2dce3297e374fddc804b6c715417e499953e203ed26ba0b03d4190fb408c3eff	2321	OK	9	0x0000015A	scene/Bg1038/Bg1038.placements.tsv
Bg1039	Data/Scene/Save/Bg1039/Bg1039.npc	2	23	269b2b9313e0c6a9292bbefc7ad3d8a0e843a81b4be4f033b552219053b1da3e	2373	OK	6	0x000000E8	scene/Bg1039/Bg1039.placements.tsv
Bg1040	Data/Scene/Save/Bg1040/Bg1040.npc	2	17	ca9dd18bf0e3b4dfb4a29cf81b47d486f9866b4b0680ea7bd579dcdca09190ef	1815	OK	6	0x000000E8	scene/Bg1040/Bg1040.placements.tsv
Bg1041	Data/Scene/Save/Bg1041/Bg1041.npc	2	19	9bd09cf8d3e205617c4bc901d1a1b34e6354accf0aa14e7743247a99a1781392	2077	OK	8	0x00000134	scene/Bg1041/Bg1041.placements.tsv
Bg1042	Data/Scene/Save/Bg1042/Bg1042.npc	2	24	51e88344109d8ea1b912894bd41a28d511e847a8cead175961dc6e12eb84f13e	2574	OK	6	0x000000F4	scene/Bg1042/Bg1042.placements.tsv
Bg1043	Data/Scene/Save/Bg1043/Bg1043.npc	2	22	af512c7583c23fa4948b65aef0e35db13d3a0947ad981f35dacf454be8a0387e	2280	OK	6	0x000000E8	scene/Bg1043/Bg1043.placements.tsv
Bg1044	Data/Scene/Save/Bg1044/Bg1044.npc	2	18	bf066d65a7597e5dbb57296ffa9bf7b3713f4ff8b3717c753082e6414d821e4a	1908	OK	6	0x000000E8	scene/Bg1044/Bg1044.placements.tsv
Bg1045	Data/Scene/Save/Bg1045/Bg1045.npc	2	40	3c55082105b1ac60d4c1a7f39c570f1f3507501554c3b26c9c34840552400a1b	4144	OK	11	0x000001A6	scene/Bg1045/Bg1045.placements.tsv
Bg1046	Data/Scene/Save/Bg1046/Bg1046.npc	2	10	df9ad7681c03ac373e7f39b4f5ebbc57c84e5c9cc305dc6ab85466f475b8160c	1202	OK	7	0x0000010E	scene/Bg1046/Bg1046.placements.tsv
Bg1047	Data/Scene/Save/Bg1047/Bg1047.npc	2	7	f78b1d76267fdc126e2ef57494e4496d6960c6cce0acca775069a20863728d59	923	OK	7	0x0000010E	scene/Bg1047/Bg1047.placements.tsv
Bg1048	Data/Scene/Save/Bg1048/Bg1048.npc	2	11	eba28ed326a0dcf739d066800e04e6269bfd5cbf62772e8f1c7ffbb338ff3b05	1219	OK	5	0x000000C2	scene/Bg1048/Bg1048.placements.tsv
Bg1049	Data/Scene/Save/Bg1049/Bg1049.npc	2	16	b705d26160e5da74fefa92d75ec6c67f3e24d6002874f7735511ab9e745c0fdc	1962	OK	7	0x0000010E	scene/Bg1049/Bg1049.placements.tsv
Bg1050	Data/Scene/Save/Bg1050/Bg1050.npc	2	18	ec361111d4b40e928d75f2516bc8014e2c82223aac7ce0058b0b3a0ca3471b74	2214	OK	9	0x0000015A	scene/Bg1050/Bg1050.placements.tsv
Bg1051	Data/Scene/Save/Bg1051/Bg1051.npc	2	9	88f059dfdc36042ee15f0708fbcf965207eddcd92cdaa0a50fa820a9fcb85a60	1109	OK	7	0x0000010E	scene/Bg1051/Bg1051.placements.tsv
Bg1052	Data/Scene/Save/Bg1052/Bg1052.npc	2	9	5dd51a5bad21d1b5add65c51517c13bb880ec4d1a1f43dbdd30fce57216fed73	1229	OK	7	0x0000010E	scene/Bg1052/Bg1052.placements.tsv
Bg1053	Data/Scene/Save/Bg1053/Bg1053.npc	2	13	e42fad63f8a8d85143451c75c1eb913787b0ca516bf38a236031aeac0a14030d	1589	OK	7	0x0000010E	scene/Bg1053/Bg1053.placements.tsv
Bg1054	Data/Scene/Save/Bg1054/Bg1054.npc	2	7	02579fed82054188179c8e1b05cb661e7b5614a02673272bf2b61cb9abd61392	847	OK	5	0x000000C2	scene/Bg1054/Bg1054.placements.tsv
Bg1055	Data/Scene/Save/Bg1055/Bg1055.npc	2	5	0489106952d4dbc5d91267ef0ebd4cb12fe07481c03a4cf2b2f30eed07a9b8dd	661	OK	5	0x000000C2	scene/Bg1055/Bg1055.placements.tsv
Bg1056	Data/Scene/Save/Bg1056/Bg1056.npc	2	18	e17dd63f153ec26ed76609b7718538e3fe13c5527f51392e8809ab480a8eaea6	2242	OK	7	0x0000010E	scene/Bg1056/Bg1056.placements.tsv
Bg1057	Data/Scene/Save/Bg1057/Bg1057.npc	2	14	e61ec5bb0aab353f0d22341fc8a1f9991f398ebf40812bb55bd99c8b6be9277a	1686	OK	7	0x0000010E	scene/Bg1057/Bg1057.placements.tsv
Bg1058	Data/Scene/Save/Bg1058/Bg1058.npc	2	12	58122bcee02cbc8b278ee0764acdc24581eb2747f430514c96f557c60eba6a0a	1312	OK	5	0x000000C2	scene/Bg1058/Bg1058.placements.tsv
Bg1059	Data/Scene/Save/Bg1059/Bg1059.npc	2	12	70347144a7deebe6a91620699ac5e8bdb523e41b2274c1d2ed91d30c30b7504d	1312	OK	5	0x000000C2	scene/Bg1059/Bg1059.placements.tsv
Bg1060	Data/Scene/Save/Bg1060/Bg1060.npc	2	19	22cad5829c5f7d8f3e4bbadd03a12757da965083a3b9cf31fa39bce040743761	2077	OK	8	0x00000134	scene/Bg1060/Bg1060.placements.tsv
Bg1061	Data/Scene/Save/Bg1061/Bg1061.npc	2	9	06d6ee29b816364b2e09199eb6d4633650205d541a8047b24af945d3b3097e68	1033	OK	5	0x000000C2	scene/Bg1061/Bg1061.placements.tsv
Bg1062	Data/Scene/Save/Bg1062/Bg1062.npc	2	11	dbf4b9cd12c7043492eed1e310cd02615e34e0f881e42f1de1edd9ac9ad38678	1181	OK	4	0x0000009C	scene/Bg1062/Bg1062.placements.tsv
Bg1063	Data/Scene/Save/Bg1063/Bg1063.npc	2	13	2fa0267b9c7b409d40b676c1d5923d5ccecc1445192ed28cba64d1bad501a240	1467	OK	5	0x000000CC	scene/Bg1063/Bg1063.placements.tsv
Bg1064	Data/Scene/Save/Bg1064/Bg1064.npc	2	13	eeec4873805feb1f2537d77d0963f6df1562ce2094b9404f0fc389c40f3a5202	1517	OK	6	0x000000F4	scene/Bg1064/Bg1064.placements.tsv
Bg1065	Data/Scene/Save/Bg1065/Bg1065.npc	2	14	8607a9e93f1d7b22d7a369c1f9211e7cfe381819b8c76753d5388be95f9951b8	1594	OK	7	0x0000010E	scene/Bg1065/Bg1065.placements.tsv
Bg1066	Data/Scene/Save/Bg1066/Bg1066.npc	2	21	3a8aedc86fd1847835281fb366bbefab371a6fa8156c6f1f94f086bbbd68c454	2149	OK	5	0x000000C2	scene/Bg1066/Bg1066.placements.tsv
Bg1067	Data/Scene/Save/Bg1067/Bg1067.npc	2	9	32992461a74a10830d00aefda3d6524cd5e42bd3f691a79c46f79954abf6a3b3	995	OK	4	0x0000009C	scene/Bg1067/Bg1067.placements.tsv
Bg1068	Data/Scene/Save/Bg1068/Bg1068.npc	2	18	ec6cd360d722be22386c0983832218e88e3e47ad581093b80aee7e41bae0aad0	1946	OK	7	0x0000010E	scene/Bg1068/Bg1068.placements.tsv
Bg1069	Data/Scene/Save/Bg1069/Bg1069.npc	2	21	072fbf977cb31e88c8b41557f5dc58e8e05dc86a34a4c9242036c13887212878	2187	OK	6	0x000000E8	scene/Bg1069/Bg1069.placements.tsv
Bg1070	Data/Scene/Save/Bg1070/Bg1070.npc	2	14	e9c3fdb93b7e7d3e04c0c5112674e211009316571d7e6362b19aa79ee8ee1248	1460	OK	4	0x0000009C	scene/Bg1070/Bg1070.placements.tsv
Bg1071	Data/Scene/Save/Bg1071/Bg1071.npc	2	16	941c89d0d5af623764f662ba62aab4232dd5fab8de5d6663e189de3f84dcec80	1798	OK	6	0x000000F4	scene/Bg1071/Bg1071.placements.tsv
Bg1072	Data/Scene/Save/Bg1072/Bg1072.npc	2	19	933afa8d7678a444346b996f1b4ab05edc82d0f156c1b88558c351593f537475	2129	OK	7	0x0000011C	scene/Bg1072/Bg1072.placements.tsv
Bg1073	Data/Scene/Save/Bg1073/Bg1073.npc	2	10	42cd6ce21ab581026e2aa1145fc4f981007e503e6fb692a28f57ef2959a7a89f	1176	OK	5	0x000000CC	scene/Bg1073/Bg1073.placements.tsv
Bg1074	Data/Scene/Save/Bg1074/Bg1074.npc	2	11	395e88c6af7be08ece3a9dc78c3ac7c5799d83ad7687df079c514e2ff0d30fa0	1257	OK	6	0x000000E8	scene/Bg1074/Bg1074.placements.tsv
Bg1075	Data/Scene/Save/Bg1075/Bg1075.npc	2	17	f46fb42a18cfe86715b4a6f5684aeb1a335e95b3e6c05f3112558b0966b2d07d	1777	OK	5	0x000000C2	scene/Bg1075/Bg1075.placements.tsv
Bg1076	Data/Scene/Save/Bg1076/Bg1076.npc	2	17	8b585e9529c59a6649b84252ecee900014e7f077fc8404c90b574845eb1c9dcd	1777	OK	5	0x000000C2	scene/Bg1076/Bg1076.placements.tsv
Bg1077	Data/Scene/Save/Bg1077/Bg1077.npc	2	15	661bf9c5395e39ce90f7868fb28261db6080307026109428204d3376a7254038	1591	OK	5	0x000000C2	scene/Bg1077/Bg1077.placements.tsv
Bg1078	Data/Scene/Save/Bg1078/Bg1078.npc	2	27	0910c04cb2725bec9eaa5d0dbefbfe17b5f031a8628d85f4b13335e20102f6af	3085	OK	11	0x000001A6	scene/Bg1078/Bg1078.placements.tsv
Bg1079	Data/Scene/Save/Bg1079/Bg1079.npc	2	14	5a2ad81656692d1792676c82346578d94656abfc910db0adc9df63fc5c578b26	1536	OK	6	0x000000E8	scene/Bg1079/Bg1079.placements.tsv
Bg1080	Data/Scene/Save/Bg1080/Bg1080.npc	2	21	26bbf06b479d9d586333311d9443807ea12e2cfb0cdc0c1b651052739c23d2b4	2301	OK	9	0x0000015A	scene/Bg1080/Bg1080.placements.tsv
Bg1081	Data/Scene/Save/Bg1081/Bg1081.npc	2	19	f8921fad1e8d1d860aa06aa492e1dc1bfe7421c332e53b9a868e50c184d5e48e	2001	OK	6	0x000000E8	scene/Bg1081/Bg1081.placements.tsv
Bg1082	Data/Scene/Save/Bg1082/Bg1082.npc	2	19	b57414ec34054fa3c6d6f659accf94a7b8cf08d060c31ff863fe2bbe25289bae	2073	OK	7	0x0000010E	scene/Bg1082/Bg1082.placements.tsv
Bg1083	Data/Scene/Save/Bg1083/Bg1083.npc	2	21	9c04aa1bd863bf4411c159e3f6eb06c3d0f84bf2c95afef2c48cf9e2cfa9fdd0	2187	OK	6	0x000000E8	scene/Bg1083/Bg1083.placements.tsv
Bg1084	Data/Scene/Save/Bg1084/Bg1084.npc	2	19	cde4c3d134fa301b4b3a00b47ab4cec838ce898d3cf2f33d271be45d440ac1e4	2089	OK	6	0x000000F4	scene/Bg1084/Bg1084.placements.tsv
Bg1085	Data/Scene/Save/Bg1085/Bg1085.npc	2	22	6fc2b37841222da5b83a968c4f9d6a21718132feaf70f0277d426abd4e748e1e	2280	OK	6	0x000000E8	scene/Bg1085/Bg1085.placements.tsv
Bg1086	Data/Scene/Save/Bg1086/Bg1086.npc	2	20	2136b443382019e864f2566316c44189976b9170d44993f9b2a7adea471377d6	2094	OK	6	0x000000E8	scene/Bg1086/Bg1086.placements.tsv
Bg1087	Data/Scene/Save/Bg1087/Bg1087.npc	2	23	c5be2a30a41f8b7bae82fd69174f3a71df1b40dbc3750040355fc49bd4bdf908	2373	OK	6	0x000000E8	scene/Bg1087/Bg1087.placements.tsv
Bg1088	Data/Scene/Save/Bg1088/Bg1088.npc	2	25	76b14053abc40df8ea78a14ca4f2f0b700ea5ece75d53571e438afcb2569cdfe	2655	OK	8	0x00000134	scene/Bg1088/Bg1088.placements.tsv
Bg1089	Data/Scene/Save/Bg1089/Bg1089.npc	2	20	76519a1d49ee31390ff24ee1e527f46b7aad7182ffd3846a154f12d6543e54ac	2094	OK	6	0x000000E8	scene/Bg1089/Bg1089.placements.tsv
Bg1090	Data/Scene/Save/Bg1090/Bg1090.npc	2	19	afacbfe2db81afd5f5ae82c5b6c73505e2a731639802617a8884969acc29adc7	2077	OK	8	0x00000134	scene/Bg1090/Bg1090.placements.tsv
Bg1091	Data/Scene/Save/Bg1091/Bg1091.npc	2	21	a7dd761d082ae690f635c44ba31be6f90b9f8f8eb40c4516d51214a89b9a2f8d	2187	OK	6	0x000000E8	scene/Bg1091/Bg1091.placements.tsv
Bg1092	Data/Scene/Save/Bg1092/Bg1092.npc	2	19	a1ef15f5f719e0cc8173efba5e64997f4669ac87c2002586bcb43382c1ff3b00	2089	OK	6	0x000000F4	scene/Bg1092/Bg1092.placements.tsv
Bg1093	Data/Scene/Save/Bg1093/Bg1093.npc	2	21	cc0bbf16ed8ee40899b38c6554cc00d40107d2cde842b00b21423aab471d37a0	2187	OK	6	0x000000E8	scene/Bg1093/Bg1093.placements.tsv
Bg1094	Data/Scene/Save/Bg1094/Bg1094.npc	2	23	76a6aa1452e3abc45f543bf558bec35893de922cd1dc922fe4fbf737f9713e63	2411	OK	7	0x0000010E	scene/Bg1094/Bg1094.placements.tsv
